selected_indices_per_step,actual_rewards_per_step
"[0, 57, 12, 32, 53, 5, 25, 18, 31, 13, 49, 14, 6, 16, 7, 50, 45, 1, 9, 20, 58, 2, 38, 55, 15, 59, 42, 3, 17, 8, 51, 46, 11, 4, 10, 56, 29, 48, 0, 54, 21, 23, 30, 36, 22, 41, 35, 19, 26, 52, 34, 44, 33, 24, 39, 37, 43, 27, 47, 28, 40]","[62, 0, 31, 82, 12, 73, 39, 53, 23, 51, 42, 91, 88, 93, 49, 0, 0, 83, 89, 16, 0, 73, 11, 0, 0, 0, 4, 69, 16, 73, 0, 0, 92, 33, 91, 0, 1, 0, 62, 0, 46, 2, 3, 3, 42, 0, 3, 21, 1, 0, 5, 1, 0, 38, 0, 10, 0, 2, 0, 0, 2]"
"[1, 57, 49, 5, 16, 48, 50, 8, 43, 15, 23, 13, 56, 3, 14, 7, 9, 46, 12, 38, 33, 58, 11, 4, 32, 59, 31, 10, 6, 55, 25, 29, 17, 0, 2, 30, 1, 51, 54, 18, 21, 45, 52, 22, 41, 35, 19, 26, 34, 53, 37, 36, 39, 24, 20, 42, 28, 27, 40, 47, 44]","[83, 0, 42, 73, 93, 0, 0, 73, 0, 0, 2, 51, 0, 69, 91, 49, 89, 0, 31, 11, 0, 0, 92, 33, 82, 0, 23, 91, 88, 0, 39, 1, 16, 62, 73, 3, 83, 0, 0, 53, 46, 0, 0, 42, 0, 3, 21, 1, 5, 12, 10, 3, 0, 38, 16, 4, 0, 2, 2, 0, 1]"
"[2, 57, 13, 15, 7, 25, 49, 3, 46, 11, 31, 10, 24, 59, 51, 5, 18, 55, 58, 56, 0, 17, 48, 1, 45, 29, 14, 6, 23, 12, 9, 42, 52, 2, 32, 16, 50, 21, 53, 38, 34, 19, 22, 30, 41, 4, 20, 36, 54, 44, 33, 8, 35, 39, 28, 37, 26, 43, 27, 40, 47]","[73, 0, 51, 0, 49, 39, 42, 69, 0, 92, 23, 91, 38, 0, 0, 73, 53, 0, 0, 0, 62, 16, 0, 83, 0, 1, 91, 88, 2, 31, 89, 4, 0, 73, 82, 93, 0, 46, 12, 11, 5, 21, 42, 3, 0, 33, 16, 3, 0, 1, 0, 73, 3, 0, 0, 10, 1, 0, 2, 2, 0]"
"[3, 57, 14, 5, 48, 32, 18, 25, 59, 7, 13, 56, 31, 46, 17, 23, 51, 58, 30, 45, 4, 37, 3, 1, 6, 12, 49, 55, 9, 15, 2, 29, 50, 34, 11, 10, 0, 21, 53, 52, 19, 22, 38, 16, 42, 54, 41, 36, 24, 20, 44, 33, 8, 35, 39, 28, 26, 43, 27, 40, 47]","[69, 0, 91, 73, 0, 82, 53, 39, 0, 49, 51, 0, 23, 0, 16, 2, 0, 0, 3, 0, 33, 10, 69, 83, 88, 31, 42, 0, 89, 0, 73, 1, 0, 5, 92, 91, 62, 46, 12, 0, 21, 42, 11, 93, 4, 0, 0, 3, 38, 16, 1, 0, 73, 3, 0, 0, 1, 0, 2, 2, 0]"
"[4, 57, 13, 25, 32, 18, 58, 5, 56, 51, 59, 48, 23, 17, 30, 53, 31, 1, 49, 2, 6, 14, 50, 55, 45, 3, 34, 11, 10, 12, 0, 9, 29, 15, 46, 21, 36, 7, 19, 54, 22, 4, 52, 16, 42, 38, 40, 37, 24, 20, 44, 33, 8, 35, 39, 41, 26, 43, 27, 28, 47]","[33, 0, 51, 39, 82, 53, 0, 73, 0, 0, 0, 0, 2, 16, 3, 12, 23, 83, 42, 73, 88, 91, 0, 0, 0, 69, 5, 92, 91, 31, 62, 89, 1, 0, 0, 46, 3, 49, 21, 0, 42, 33, 0, 93, 4, 11, 2, 10, 38, 16, 1, 0, 73, 3, 0, 0, 1, 0, 2, 0, 0]"
"[5, 57, 32, 14, 36, 3, 18, 58, 25, 7, 13, 5, 50, 46, 1, 17, 6, 24, 56, 51, 21, 11, 8, 49, 31, 4, 53, 55, 30, 45, 2, 59, 34, 39, 23, 54, 12, 16, 9, 10, 15, 0, 48, 26, 43, 35, 19, 22, 29, 33, 52, 47, 38, 37, 28, 20, 41, 42, 27, 44, 40]","[73, 0, 82, 91, 3, 69, 53, 0, 39, 49, 51, 73, 0, 0, 83, 16, 88, 38, 0, 0, 46, 92, 73, 42, 23, 33, 12, 0, 3, 0, 73, 0, 5, 0, 2, 0, 31, 93, 89, 91, 0, 62, 0, 1, 0, 3, 21, 42, 1, 0, 0, 0, 11, 10, 0, 16, 0, 4, 2, 1, 2]"
"[6, 57, 49, 13, 16, 41, 48, 4, 9, 18, 59, 50, 11, 21, 30, 58, 31, 15, 7, 25, 26, 10, 45, 8, 46, 24, 5, 53, 55, 17, 56, 54, 51, 52, 23, 14, 32, 3, 6, 42, 1, 0, 2, 29, 12, 34, 33, 22, 19, 36, 35, 47, 38, 44, 37, 20, 39, 28, 43, 27, 40]","[88, 0, 42, 51, 93, 0, 0, 33, 89, 53, 0, 0, 92, 46, 3, 0, 23, 0, 49, 39, 1, 91, 0, 73, 0, 38, 73, 12, 0, 16, 0, 0, 0, 0, 2, 91, 82, 69, 88, 4, 83, 62, 73, 1, 31, 5, 0, 42, 21, 3, 3, 0, 11, 1, 10, 16, 0, 0, 0, 2, 2]"
"[7, 56, 0, 15, 25, 3, 17, 58, 31, 30, 4, 13, 11, 55, 53, 51, 10, 5, 23, 59, 57, 48, 45, 9, 38, 16, 50, 49, 6, 8, 54, 46, 26, 52, 2, 40, 14, 12, 21, 42, 7, 32, 1, 18, 29, 35, 22, 34, 19, 44, 33, 37, 24, 20, 36, 28, 39, 41, 27, 43, 47]","[49, 0, 62, 0, 39, 69, 16, 0, 23, 3, 33, 51, 92, 0, 12, 0, 91, 73, 2, 0, 0, 0, 0, 89, 11, 93, 0, 42, 88, 73, 0, 0, 1, 0, 73, 2, 91, 31, 46, 4, 49, 82, 83, 53, 1, 3, 42, 5, 21, 1, 0, 10, 38, 16, 3, 0, 0, 0, 2, 0, 0]"
"[8, 56, 3, 12, 32, 5, 18, 57, 14, 58, 25, 45, 23, 7, 13, 31, 1, 46, 6, 49, 17, 51, 30, 59, 37, 11, 4, 53, 48, 2, 55, 16, 50, 15, 9, 10, 0, 42, 21, 29, 8, 54, 52, 35, 22, 41, 19, 38, 34, 33, 24, 20, 36, 44, 39, 28, 26, 43, 27, 40, 47]","[73, 0, 69, 31, 82, 73, 53, 0, 91, 0, 39, 0, 2, 49, 51, 23, 83, 0, 88, 42, 16, 0, 3, 0, 10, 92, 33, 12, 0, 73, 0, 93, 0, 0, 89, 91, 62, 4, 46, 1, 73, 0, 0, 3, 42, 0, 21, 11, 5, 0, 38, 16, 3, 1, 0, 0, 1, 0, 2, 2, 0]"
"[9, 23, 11, 49, 14, 59, 4, 45, 16, 57, 47, 32, 6, 56, 31, 7, 50, 13, 15, 5, 10, 46, 1, 17, 55, 42, 25, 58, 3, 0, 29, 53, 2, 27, 36, 12, 21, 51, 18, 52, 19, 9, 22, 38, 54, 40, 48, 24, 20, 34, 44, 33, 8, 30, 35, 37, 39, 41, 26, 28, 43]","[89, 2, 92, 42, 91, 0, 33, 0, 93, 0, 0, 82, 88, 0, 23, 49, 0, 51, 0, 73, 91, 0, 83, 16, 0, 4, 39, 0, 69, 62, 1, 12, 73, 2, 3, 31, 46, 0, 53, 0, 21, 89, 42, 11, 0, 2, 0, 38, 16, 5, 1, 0, 73, 3, 3, 10, 0, 0, 1, 0, 0]"
