selected_indices_per_step,actual_rewards_per_step
"[0, 57, 12, 25, 35, 5, 31, 3, 49, 37, 58, 18, 56, 29, 32, 4, 23, 21, 55, 45, 17, 34, 13, 0, 59, 1, 2, 14, 10, 11, 6, 9, 50, 7, 51, 15, 16, 30, 8, 46, 54, 53, 38, 24, 22, 20, 19, 52, 33, 27, 26, 28, 42, 41, 43, 36, 44, 40, 39, 48, 47]","[41, 0, 34, 37, 18, 41, 40, 35, 54, 14, 0, 38, 5, 22, 37, 24, 30, 35, 2, 1, 33, 9, 33, 41, 0, 62, 40, 40, 66, 58, 63, 70, 24, 54, 21, 42, 60, 29, 57, 0, 19, 40, 21, 34, 32, 30, 34, 22, 9, 30, 27, 25, 43, 12, 28, 18, 34, 22, 24, 0, 3]"
"[1, 57, 49, 32, 34, 3, 8, 25, 14, 4, 53, 17, 58, 6, 9, 16, 45, 15, 38, 10, 46, 2, 11, 7, 13, 59, 21, 24, 27, 52, 55, 31, 51, 56, 50, 0, 5, 18, 12, 30, 54, 23, 29, 1, 40, 22, 20, 19, 42, 33, 43, 47, 37, 28, 35, 39, 26, 44, 36, 41, 48]","[62, 0, 54, 37, 9, 35, 57, 37, 40, 24, 40, 33, 0, 63, 70, 60, 1, 42, 21, 66, 0, 40, 58, 54, 33, 0, 35, 34, 30, 22, 2, 40, 21, 5, 24, 41, 41, 38, 34, 29, 19, 30, 22, 62, 22, 32, 30, 34, 43, 9, 28, 3, 14, 25, 18, 24, 27, 34, 18, 12, 0]"
"[2, 57, 13, 50, 25, 18, 30, 5, 58, 4, 49, 56, 29, 38, 12, 48, 55, 23, 45, 3, 17, 32, 0, 59, 1, 2, 10, 11, 6, 14, 31, 9, 51, 46, 15, 21, 24, 22, 19, 42, 53, 39, 54, 7, 16, 36, 33, 8, 27, 20, 26, 43, 37, 28, 44, 41, 40, 35, 34, 52, 47]","[40, 0, 33, 24, 37, 38, 29, 41, 0, 24, 54, 5, 22, 21, 34, 0, 2, 30, 1, 35, 33, 37, 41, 0, 62, 40, 66, 58, 63, 40, 40, 70, 21, 0, 42, 35, 34, 32, 34, 43, 40, 24, 19, 54, 60, 18, 9, 57, 30, 30, 27, 28, 14, 25, 34, 12, 22, 18, 9, 22, 3]"
"[3, 57, 14, 5, 25, 59, 48, 32, 23, 7, 4, 13, 17, 51, 31, 18, 53, 6, 9, 16, 45, 38, 11, 58, 56, 55, 30, 52, 26, 49, 15, 10, 50, 21, 8, 54, 0, 46, 24, 42, 39, 12, 33, 43, 2, 22, 27, 19, 35, 3, 41, 28, 34, 20, 44, 29, 37, 36, 1, 40, 47]","[35, 0, 40, 41, 37, 0, 0, 37, 30, 54, 24, 33, 33, 21, 40, 38, 40, 63, 70, 60, 1, 21, 58, 0, 5, 2, 29, 22, 27, 54, 42, 66, 24, 35, 57, 19, 41, 0, 34, 43, 24, 34, 9, 28, 40, 32, 30, 34, 18, 35, 12, 25, 9, 30, 34, 22, 14, 18, 62, 22, 3]"
"[4, 57, 13, 25, 5, 59, 18, 32, 56, 24, 17, 23, 30, 3, 58, 31, 36, 49, 37, 45, 55, 34, 12, 29, 0, 2, 1, 10, 11, 6, 14, 9, 50, 51, 15, 7, 16, 8, 46, 54, 53, 4, 21, 38, 22, 20, 19, 52, 42, 43, 40, 48, 27, 33, 26, 44, 28, 41, 39, 35, 47]","[24, 0, 33, 37, 41, 0, 38, 37, 5, 34, 33, 30, 29, 35, 0, 40, 18, 54, 14, 1, 2, 9, 34, 22, 41, 40, 62, 66, 58, 63, 40, 70, 24, 21, 42, 54, 60, 57, 0, 19, 40, 24, 35, 21, 32, 30, 34, 22, 43, 28, 22, 0, 30, 9, 27, 34, 25, 12, 24, 18, 3]"
"[5, 57, 32, 25, 12, 59, 8, 45, 4, 48, 49, 46, 11, 16, 15, 10, 30, 24, 38, 51, 9, 35, 18, 58, 21, 55, 31, 53, 26, 56, 54, 17, 23, 6, 0, 39, 5, 2, 22, 37, 27, 33, 52, 42, 19, 43, 7, 14, 13, 28, 20, 44, 34, 40, 29, 3, 50, 41, 1, 36, 47]","[41, 0, 37, 37, 34, 0, 57, 1, 24, 0, 54, 0, 58, 60, 42, 66, 29, 34, 21, 21, 70, 18, 38, 0, 35, 2, 40, 40, 27, 5, 19, 33, 30, 63, 41, 24, 41, 40, 32, 14, 30, 9, 22, 43, 34, 28, 54, 40, 33, 25, 30, 34, 9, 22, 22, 35, 24, 12, 62, 18, 3]"
"[6, 57, 49, 32, 50, 4, 53, 11, 17, 27, 14, 37, 9, 16, 45, 23, 58, 15, 59, 55, 46, 51, 52, 31, 56, 30, 54, 25, 39, 42, 5, 2, 8, 10, 21, 24, 6, 18, 36, 34, 26, 0, 33, 43, 22, 19, 7, 13, 12, 38, 35, 28, 48, 20, 41, 44, 29, 3, 1, 40, 47]","[63, 0, 54, 37, 24, 24, 40, 58, 33, 30, 40, 14, 70, 60, 1, 30, 0, 42, 0, 2, 0, 21, 22, 40, 5, 29, 19, 37, 24, 43, 41, 40, 57, 66, 35, 34, 63, 38, 18, 9, 27, 41, 9, 28, 32, 34, 54, 33, 34, 21, 18, 25, 0, 30, 12, 34, 22, 35, 62, 22, 3]"
"[7, 56, 0, 5, 45, 32, 18, 51, 25, 58, 4, 16, 48, 9, 38, 11, 50, 6, 59, 21, 57, 15, 55, 26, 49, 30, 14, 24, 10, 8, 54, 52, 7, 46, 53, 31, 17, 23, 13, 39, 42, 12, 2, 33, 43, 27, 35, 22, 34, 19, 28, 20, 37, 41, 44, 3, 29, 36, 1, 40, 47]","[54, 5, 41, 41, 1, 37, 38, 21, 37, 0, 24, 60, 0, 70, 21, 58, 24, 63, 0, 35, 0, 42, 2, 27, 54, 29, 40, 34, 66, 57, 19, 22, 54, 0, 40, 40, 33, 30, 33, 24, 43, 34, 40, 9, 28, 30, 18, 32, 9, 34, 25, 30, 14, 12, 34, 35, 22, 18, 62, 22, 3]"
"[8, 56, 3, 9, 45, 15, 50, 38, 46, 11, 42, 59, 7, 55, 36, 18, 17, 21, 23, 30, 57, 58, 29, 31, 25, 35, 54, 53, 32, 40, 49, 4, 16, 6, 10, 51, 5, 14, 12, 52, 24, 43, 13, 8, 0, 2, 33, 34, 22, 19, 27, 20, 48, 28, 26, 44, 37, 39, 41, 1, 47]","[57, 5, 35, 70, 1, 42, 24, 21, 0, 58, 43, 0, 54, 2, 18, 38, 33, 35, 30, 29, 0, 0, 22, 40, 37, 18, 19, 40, 37, 22, 54, 24, 60, 63, 66, 21, 41, 40, 34, 22, 34, 28, 33, 57, 41, 40, 9, 9, 32, 34, 30, 30, 0, 25, 27, 34, 14, 24, 12, 62, 3]"
"[9, 23, 11, 47, 16, 42, 15, 8, 33, 7, 59, 57, 30, 50, 9, 45, 6, 55, 49, 5, 17, 38, 2, 56, 32, 51, 58, 25, 10, 46, 31, 26, 44, 3, 52, 41, 54, 14, 18, 21, 34, 4, 24, 12, 0, 43, 22, 19, 27, 20, 13, 35, 37, 28, 29, 1, 36, 39, 40, 53, 48]","[70, 30, 58, 3, 60, 43, 42, 57, 9, 54, 0, 0, 29, 24, 70, 1, 63, 2, 54, 41, 33, 21, 40, 5, 37, 21, 0, 37, 66, 0, 40, 27, 34, 35, 22, 12, 19, 40, 38, 35, 9, 24, 34, 34, 41, 28, 32, 34, 30, 30, 33, 18, 14, 25, 22, 62, 18, 24, 22, 40, 0]"
