selected_indices_per_step,actual_rewards_per_step
"[0, 57, 54, 55, 42, 39, 52, 37, 40, 28, 30, 51, 17, 29, 53, 58, 41, 23, 26, 56, 59, 16, 5, 27, 45, 48, 25, 34, 47, 31, 15, 38, 33, 8, 22, 43, 49, 44, 35, 9, 21, 19, 24, 20, 6, 46, 7, 4, 14, 32, 50, 11, 36, 2, 1, 10, 13, 0, 18, 12, 3]","[1, 5, 34, 2, 27, 73, 6, 56, 81, 81, 47, 77, 2, 63, 31, 3, 75, 1, 80, 3, 2, 8, 2, 73, 3, 46, 1, 2, 3, 1, 2, 46, 1, 13, 6, 7, 2, 42, 24, 5, 14, 34, 15, 19, 11, 2, 13, 1, 10, 1, 14, 3, 1, 2, 2, 1, 2, 1, 6, 1, 2]"
"[1, 57, 54, 55, 42, 39, 52, 37, 41, 26, 51, 23, 28, 58, 29, 53, 27, 59, 15, 56, 40, 17, 30, 45, 48, 25, 35, 34, 38, 47, 31, 33, 22, 49, 8, 5, 43, 9, 44, 21, 19, 24, 20, 6, 46, 7, 16, 14, 4, 32, 50, 11, 36, 2, 1, 10, 13, 0, 18, 12, 3]","[2, 5, 34, 2, 27, 73, 6, 56, 75, 80, 77, 1, 81, 3, 63, 31, 73, 2, 2, 3, 81, 2, 47, 3, 46, 1, 24, 2, 46, 3, 1, 1, 6, 2, 13, 2, 7, 5, 42, 14, 34, 15, 19, 11, 2, 13, 8, 10, 1, 1, 14, 3, 1, 2, 2, 1, 2, 1, 6, 1, 2]"
"[2, 57, 54, 55, 42, 39, 52, 37, 40, 27, 33, 15, 24, 48, 30, 29, 41, 58, 56, 59, 26, 45, 17, 51, 34, 28, 47, 5, 31, 3, 21, 25, 16, 38, 8, 49, 23, 43, 11, 22, 19, 44, 9, 20, 35, 6, 46, 53, 7, 14, 4, 32, 50, 36, 2, 10, 1, 13, 0, 18, 12]","[2, 5, 34, 2, 27, 73, 6, 56, 81, 73, 1, 2, 15, 46, 47, 63, 75, 3, 3, 2, 80, 3, 2, 77, 2, 81, 3, 2, 1, 2, 14, 1, 8, 46, 13, 2, 1, 7, 3, 6, 34, 42, 5, 19, 24, 11, 2, 31, 13, 10, 1, 1, 14, 1, 2, 1, 2, 2, 1, 6, 1]"
"[3, 57, 54, 55, 42, 39, 52, 37, 41, 26, 51, 30, 17, 29, 28, 59, 23, 53, 16, 58, 56, 25, 48, 15, 7, 40, 27, 35, 38, 47, 34, 33, 45, 49, 22, 5, 8, 43, 9, 44, 21, 6, 19, 24, 20, 46, 4, 14, 32, 11, 50, 2, 36, 10, 1, 13, 0, 31, 3, 12, 18]","[2, 5, 34, 2, 27, 73, 6, 56, 75, 80, 77, 47, 2, 63, 81, 2, 1, 31, 8, 3, 3, 1, 46, 2, 13, 81, 73, 24, 46, 3, 2, 1, 3, 2, 6, 2, 13, 7, 5, 42, 14, 11, 34, 15, 19, 2, 1, 10, 1, 3, 14, 2, 1, 1, 2, 2, 1, 1, 2, 1, 6]"
"[4, 57, 54, 55, 42, 39, 52, 37, 41, 26, 51, 30, 17, 29, 28, 59, 23, 53, 56, 58, 16, 27, 40, 48, 49, 47, 34, 45, 3, 15, 5, 38, 31, 33, 22, 43, 44, 35, 9, 25, 21, 19, 24, 20, 8, 6, 46, 7, 14, 11, 4, 32, 50, 36, 2, 10, 13, 1, 0, 18, 12]","[1, 5, 34, 2, 27, 73, 6, 56, 75, 80, 77, 47, 2, 63, 81, 2, 1, 31, 3, 3, 8, 73, 81, 46, 2, 3, 2, 3, 2, 2, 2, 46, 1, 1, 6, 7, 42, 24, 5, 1, 14, 34, 15, 19, 13, 11, 2, 13, 10, 3, 1, 1, 14, 1, 2, 1, 2, 2, 1, 6, 1]"
"[5, 57, 54, 42, 39, 52, 37, 41, 26, 51, 30, 21, 29, 28, 59, 53, 16, 56, 58, 55, 12, 48, 25, 14, 40, 27, 35, 23, 38, 47, 34, 3, 33, 17, 8, 45, 49, 43, 22, 9, 44, 15, 6, 19, 24, 20, 46, 7, 4, 11, 50, 2, 32, 36, 5, 10, 1, 0, 13, 31, 18]","[2, 5, 34, 27, 73, 6, 56, 75, 80, 77, 47, 14, 63, 81, 2, 31, 8, 3, 3, 2, 1, 46, 1, 10, 81, 73, 24, 1, 46, 3, 2, 2, 1, 2, 13, 3, 2, 7, 6, 5, 42, 2, 11, 34, 15, 19, 2, 13, 1, 3, 14, 2, 1, 1, 2, 1, 2, 1, 2, 1, 6]"
"[6, 57, 49, 4, 14, 9, 11, 7, 47, 18, 30, 28, 26, 51, 43, 24, 29, 56, 58, 59, 55, 27, 53, 40, 39, 41, 37, 54, 38, 33, 36, 5, 21, 31, 12, 25, 15, 22, 23, 17, 42, 44, 45, 52, 19, 20, 6, 35, 8, 48, 34, 46, 16, 50, 32, 2, 10, 1, 0, 13, 3]","[11, 5, 2, 1, 10, 5, 3, 13, 3, 6, 47, 81, 80, 77, 7, 15, 63, 3, 3, 2, 2, 73, 31, 81, 73, 75, 56, 34, 46, 1, 1, 2, 14, 1, 1, 1, 2, 6, 1, 2, 27, 42, 3, 6, 34, 19, 11, 24, 13, 46, 2, 2, 8, 14, 1, 2, 1, 2, 1, 2, 2]"
"[7, 56, 0, 5, 14, 4, 32, 16, 47, 11, 7, 45, 8, 30, 51, 23, 57, 58, 59, 53, 29, 28, 27, 55, 26, 39, 40, 41, 37, 54, 17, 38, 33, 36, 42, 25, 15, 22, 9, 18, 49, 43, 44, 21, 52, 6, 19, 24, 20, 35, 48, 34, 46, 50, 2, 1, 10, 13, 31, 12, 3]","[13, 3, 1, 2, 10, 1, 1, 8, 3, 3, 13, 3, 13, 47, 77, 1, 5, 3, 2, 31, 63, 81, 73, 2, 80, 73, 81, 75, 56, 34, 2, 46, 1, 1, 27, 1, 2, 6, 5, 6, 2, 7, 42, 14, 6, 11, 34, 15, 19, 24, 46, 2, 2, 14, 2, 2, 1, 2, 1, 1, 2]"
"[8, 56, 3, 9, 7, 48, 34, 41, 54, 27, 23, 39, 45, 29, 40, 58, 30, 37, 51, 53, 28, 55, 26, 59, 17, 57, 52, 25, 38, 47, 42, 31, 5, 33, 15, 22, 49, 43, 8, 44, 35, 21, 6, 19, 24, 20, 46, 14, 4, 16, 11, 32, 50, 2, 36, 10, 1, 13, 0, 18, 12]","[13, 3, 2, 5, 13, 46, 2, 75, 34, 73, 1, 73, 3, 63, 81, 3, 47, 56, 77, 31, 81, 2, 80, 2, 2, 5, 6, 1, 46, 3, 27, 1, 2, 1, 2, 6, 2, 7, 13, 42, 24, 14, 11, 34, 15, 19, 2, 10, 1, 8, 3, 1, 14, 2, 1, 1, 2, 2, 1, 6, 1]"
"[9, 23, 11, 50, 48, 36, 25, 58, 47, 46, 34, 59, 57, 55, 29, 21, 26, 30, 27, 28, 41, 52, 45, 37, 40, 39, 51, 53, 56, 42, 54, 38, 33, 17, 15, 5, 43, 49, 22, 8, 44, 35, 19, 24, 20, 9, 16, 6, 7, 4, 14, 32, 2, 1, 10, 13, 0, 31, 18, 12, 3]","[5, 1, 3, 14, 46, 1, 1, 3, 3, 2, 2, 2, 5, 2, 63, 14, 80, 47, 73, 81, 75, 6, 3, 56, 81, 73, 77, 31, 3, 27, 34, 46, 1, 2, 2, 2, 7, 2, 6, 13, 42, 24, 34, 15, 19, 5, 8, 11, 13, 1, 10, 1, 2, 2, 1, 2, 1, 1, 6, 1, 2]"
"[10, 56, 52, 47, 39, 54, 55, 26, 57, 51, 17, 43, 28, 30, 37, 29, 58, 23, 53, 59, 40, 41, 5, 27, 25, 38, 33, 12, 31, 49, 7, 22, 16, 35, 34, 18, 8, 9, 4, 42, 44, 45, 21, 6, 19, 24, 20, 48, 15, 46, 14, 50, 32, 36, 11, 2, 10, 1, 0, 13, 3]","[1, 3, 6, 3, 73, 34, 2, 80, 5, 77, 2, 7, 81, 47, 56, 63, 3, 1, 31, 2, 81, 75, 2, 73, 1, 46, 1, 1, 1, 2, 13, 6, 8, 24, 2, 6, 13, 5, 1, 27, 42, 3, 14, 11, 34, 15, 19, 46, 2, 2, 10, 14, 1, 1, 3, 2, 1, 2, 1, 2, 2]"
"[11, 56, 57, 54, 55, 42, 39, 37, 41, 48, 28, 51, 30, 26, 17, 29, 58, 23, 53, 59, 16, 25, 52, 12, 40, 27, 35, 5, 38, 47, 34, 45, 33, 8, 22, 49, 43, 9, 15, 44, 21, 19, 24, 20, 46, 6, 7, 4, 14, 50, 36, 2, 32, 11, 10, 1, 0, 13, 31, 18, 3]","[3, 3, 5, 34, 2, 27, 73, 56, 75, 46, 81, 77, 47, 80, 2, 63, 3, 1, 31, 2, 8, 1, 6, 1, 81, 73, 24, 2, 46, 3, 2, 3, 1, 13, 6, 2, 7, 5, 2, 42, 14, 34, 15, 19, 2, 11, 13, 1, 10, 14, 1, 2, 1, 3, 1, 2, 1, 2, 1, 6, 2]"
"[12, 23, 57, 54, 55, 42, 39, 52, 41, 37, 53, 40, 26, 30, 29, 28, 51, 58, 56, 59, 5, 17, 16, 27, 48, 49, 47, 45, 34, 31, 8, 38, 33, 22, 43, 25, 15, 44, 35, 9, 21, 19, 24, 20, 6, 46, 7, 4, 14, 50, 11, 32, 36, 2, 10, 1, 13, 0, 12, 18, 3]","[1, 1, 5, 34, 2, 27, 73, 6, 75, 56, 31, 81, 80, 47, 63, 81, 77, 3, 3, 2, 2, 2, 8, 73, 46, 2, 3, 3, 2, 1, 13, 46, 1, 6, 7, 1, 2, 42, 24, 5, 14, 34, 15, 19, 11, 2, 13, 1, 10, 14, 3, 1, 1, 2, 1, 2, 2, 1, 1, 6, 2]"
"[13, 57, 54, 55, 42, 39, 52, 37, 41, 26, 51, 30, 21, 29, 28, 59, 56, 53, 16, 58, 25, 48, 12, 8, 40, 27, 35, 23, 38, 47, 34, 33, 17, 43, 49, 5, 22, 9, 44, 45, 15, 19, 24, 20, 6, 46, 7, 4, 14, 50, 11, 32, 36, 2, 10, 1, 0, 13, 31, 18, 3]","[2, 5, 34, 2, 27, 73, 6, 56, 75, 80, 77, 47, 14, 63, 81, 2, 3, 31, 8, 3, 1, 46, 1, 13, 81, 73, 24, 1, 46, 3, 2, 1, 2, 7, 2, 2, 6, 5, 42, 3, 2, 34, 15, 19, 11, 2, 13, 1, 10, 14, 3, 1, 1, 2, 1, 2, 1, 2, 1, 6, 2]"
"[14, 57, 0, 32, 7, 45, 8, 56, 50, 42, 55, 43, 59, 17, 51, 30, 23, 29, 33, 58, 28, 26, 48, 34, 22, 37, 54, 5, 27, 36, 40, 41, 39, 47, 15, 25, 38, 16, 9, 3, 49, 44, 35, 52, 21, 6, 46, 19, 24, 20, 53, 14, 4, 11, 2, 10, 1, 13, 31, 18, 12]","[10, 5, 1, 1, 13, 3, 13, 3, 14, 27, 2, 7, 2, 2, 77, 47, 1, 63, 1, 3, 81, 80, 46, 2, 6, 56, 34, 2, 73, 1, 81, 75, 73, 3, 2, 1, 46, 8, 5, 2, 2, 42, 24, 6, 14, 11, 2, 34, 15, 19, 31, 10, 1, 3, 2, 1, 2, 2, 1, 6, 1]"
"[15, 23, 50, 47, 9, 45, 5, 59, 55, 56, 46, 42, 43, 35, 36, 38, 37, 39, 40, 41, 54, 26, 27, 29, 28, 51, 53, 30, 58, 57, 17, 33, 31, 49, 25, 22, 14, 52, 44, 21, 19, 20, 24, 6, 16, 8, 7, 11, 48, 34, 4, 32, 15, 2, 1, 10, 13, 0, 18, 12, 3]","[2, 1, 14, 3, 5, 3, 2, 2, 2, 3, 2, 27, 7, 24, 1, 46, 56, 73, 81, 75, 34, 80, 73, 63, 81, 77, 31, 47, 3, 5, 2, 1, 1, 2, 1, 6, 10, 6, 42, 14, 34, 19, 15, 11, 8, 13, 13, 3, 46, 2, 1, 1, 2, 2, 2, 1, 2, 1, 6, 1, 2]"
"[16, 23, 15, 45, 9, 8, 5, 35, 52, 47, 33, 3, 59, 46, 34, 41, 37, 38, 40, 58, 39, 54, 55, 17, 56, 57, 26, 27, 29, 30, 51, 28, 49, 42, 22, 43, 7, 4, 6, 25, 14, 36, 19, 21, 20, 24, 32, 16, 50, 44, 11, 48, 53, 2, 10, 1, 13, 0, 31, 18, 12]","[8, 1, 2, 3, 5, 13, 2, 24, 6, 3, 1, 2, 2, 2, 2, 75, 56, 46, 81, 3, 73, 34, 2, 2, 3, 5, 80, 73, 63, 47, 77, 81, 2, 27, 6, 7, 13, 1, 11, 1, 10, 1, 34, 14, 19, 15, 1, 8, 14, 42, 3, 46, 31, 2, 1, 2, 2, 1, 1, 6, 1]"
