selected_indices_per_step,actual_rewards_per_step
"[0, 57, 9, 47, 38, 37, 36, 25, 54, 53, 33, 48, 56, 29, 59, 34, 35, 39, 41, 55, 4, 58, 7, 40, 11, 46, 51, 1, 52, 42, 3, 50, 27, 45, 5, 10, 8, 14, 44, 32, 2, 43, 30, 28, 26, 49, 12, 23, 15, 20, 0, 16, 13, 6, 31, 18, 24, 22, 17, 21, 19]","[1, 0, 2, 25, 57, 52, 57, 0, 14, 28, 27, 26, 11, 0, 0, 38, 42, 56, 48, 0, 0, 0, 11, 59, 2, 0, 1, 0, 30, 0, 0, 0, 1, 2, 0, 6, 14, 0, 9, 0, 0, 4, 10, 4, 4, 1, 0, 0, 0, 0, 1, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2]"
"[1, 57, 9, 47, 38, 36, 37, 25, 54, 53, 34, 48, 29, 58, 33, 35, 41, 39, 55, 56, 4, 59, 3, 46, 40, 51, 52, 7, 42, 50, 11, 27, 45, 5, 10, 8, 14, 44, 43, 32, 2, 28, 30, 26, 23, 49, 12, 20, 16, 22, 15, 1, 24, 18, 13, 31, 6, 0, 17, 21, 19]","[0, 0, 2, 25, 57, 57, 52, 0, 14, 28, 38, 26, 0, 0, 27, 42, 48, 56, 0, 11, 0, 0, 0, 0, 59, 1, 30, 11, 0, 0, 2, 1, 2, 0, 6, 14, 0, 9, 4, 0, 0, 4, 10, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[2, 57, 9, 47, 38, 37, 36, 25, 54, 53, 34, 48, 29, 58, 33, 35, 41, 39, 56, 55, 4, 7, 59, 40, 11, 46, 51, 52, 50, 42, 1, 3, 27, 45, 5, 10, 32, 8, 14, 44, 43, 28, 30, 26, 23, 49, 12, 20, 16, 22, 15, 2, 24, 18, 13, 31, 6, 0, 17, 21, 19]","[0, 0, 2, 25, 57, 52, 57, 0, 14, 28, 38, 26, 0, 0, 27, 42, 48, 56, 11, 0, 0, 11, 0, 59, 2, 0, 1, 30, 0, 0, 0, 0, 1, 2, 0, 6, 0, 14, 0, 9, 4, 4, 10, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[3, 57, 58, 9, 47, 38, 55, 37, 25, 30, 56, 7, 35, 48, 5, 33, 53, 59, 45, 54, 36, 34, 39, 41, 40, 46, 51, 4, 52, 29, 1, 42, 27, 50, 11, 10, 8, 14, 44, 2, 32, 43, 28, 26, 23, 49, 12, 20, 16, 22, 15, 3, 24, 18, 13, 31, 6, 0, 17, 21, 19]","[0, 0, 0, 2, 25, 57, 0, 52, 0, 10, 11, 11, 42, 26, 0, 27, 28, 0, 2, 14, 57, 38, 56, 48, 59, 0, 1, 0, 30, 0, 0, 0, 1, 0, 2, 6, 14, 0, 9, 0, 0, 4, 4, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[4, 57, 58, 47, 38, 9, 55, 29, 37, 25, 5, 56, 53, 33, 59, 48, 7, 35, 54, 30, 36, 34, 39, 41, 40, 11, 46, 51, 52, 1, 50, 42, 27, 3, 45, 10, 8, 14, 44, 2, 32, 43, 28, 26, 23, 49, 12, 20, 16, 22, 15, 4, 24, 18, 13, 31, 6, 0, 17, 21, 19]","[0, 0, 0, 25, 57, 2, 0, 0, 52, 0, 0, 11, 28, 27, 0, 26, 11, 42, 14, 10, 57, 38, 56, 48, 59, 2, 0, 1, 30, 0, 0, 0, 1, 0, 2, 6, 14, 0, 9, 0, 0, 4, 4, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[5, 57, 9, 47, 38, 36, 25, 54, 59, 52, 37, 34, 48, 53, 29, 33, 39, 41, 35, 55, 56, 4, 58, 7, 40, 11, 46, 51, 1, 42, 3, 27, 50, 45, 10, 8, 14, 44, 43, 32, 2, 28, 30, 26, 23, 49, 12, 20, 16, 22, 15, 5, 24, 18, 13, 31, 6, 0, 17, 21, 19]","[0, 0, 2, 25, 57, 57, 0, 14, 0, 30, 52, 38, 26, 28, 0, 27, 56, 48, 42, 0, 11, 0, 0, 11, 59, 2, 0, 1, 0, 0, 0, 1, 0, 2, 6, 14, 0, 9, 4, 0, 0, 4, 10, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[6, 57, 9, 58, 7, 46, 14, 5, 11, 6, 8, 56, 40, 33, 43, 27, 48, 41, 39, 35, 34, 37, 36, 38, 55, 47, 4, 25, 59, 50, 1, 12, 16, 29, 42, 3, 51, 54, 0, 10, 45, 32, 52, 53, 23, 44, 30, 26, 28, 15, 31, 49, 18, 2, 17, 24, 13, 22, 20, 21, 19]","[28, 0, 2, 0, 11, 0, 0, 0, 2, 28, 14, 11, 59, 27, 4, 1, 26, 48, 56, 42, 38, 52, 57, 57, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 1, 6, 2, 0, 30, 28, 0, 9, 10, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
"[7, 57, 9, 5, 27, 1, 7, 11, 56, 45, 55, 8, 14, 59, 47, 38, 25, 37, 53, 51, 29, 48, 36, 34, 41, 33, 39, 35, 40, 58, 4, 52, 54, 46, 44, 32, 42, 3, 2, 10, 43, 50, 28, 30, 26, 23, 49, 12, 20, 16, 22, 15, 24, 18, 13, 31, 6, 0, 21, 17, 19]","[11, 0, 2, 0, 1, 0, 11, 2, 11, 2, 0, 14, 0, 0, 25, 57, 0, 52, 28, 1, 0, 26, 57, 38, 48, 27, 56, 42, 59, 0, 0, 30, 14, 0, 9, 0, 0, 0, 0, 6, 4, 0, 4, 10, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[8, 57, 9, 7, 5, 56, 40, 33, 27, 43, 48, 41, 39, 36, 34, 37, 35, 38, 55, 47, 4, 58, 11, 50, 25, 59, 1, 46, 8, 14, 3, 29, 10, 32, 45, 54, 52, 53, 51, 42, 2, 23, 44, 28, 30, 26, 49, 12, 20, 16, 22, 15, 24, 18, 13, 31, 6, 0, 21, 17, 19]","[14, 0, 2, 11, 0, 11, 59, 27, 1, 4, 26, 48, 56, 57, 38, 52, 42, 57, 0, 25, 0, 0, 2, 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 0, 2, 14, 30, 28, 1, 0, 0, 0, 9, 4, 10, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[9, 57, 5, 47, 38, 36, 25, 54, 59, 52, 37, 34, 48, 53, 29, 33, 39, 41, 35, 55, 56, 4, 58, 7, 40, 11, 46, 51, 1, 42, 3, 27, 50, 45, 10, 8, 14, 44, 43, 32, 2, 28, 30, 26, 9, 23, 49, 12, 20, 16, 22, 15, 24, 18, 13, 31, 6, 0, 17, 21, 19]","[2, 0, 0, 25, 57, 57, 0, 14, 0, 30, 52, 38, 26, 28, 0, 27, 56, 48, 42, 0, 11, 0, 0, 11, 59, 2, 0, 1, 0, 0, 0, 1, 0, 2, 6, 14, 0, 9, 4, 0, 0, 4, 10, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
"[10, 57, 9, 7, 1, 30, 27, 50, 37, 36, 53, 34, 48, 25, 58, 38, 41, 33, 39, 35, 55, 47, 56, 4, 40, 3, 59, 51, 52, 54, 46, 42, 29, 5, 45, 11, 8, 14, 44, 2, 32, 43, 28, 10, 26, 23, 49, 12, 20, 16, 22, 15, 24, 18, 13, 31, 6, 0, 21, 17, 19]","[6, 0, 2, 11, 0, 10, 1, 0, 52, 57, 28, 38, 26, 0, 0, 57, 48, 27, 56, 42, 0, 25, 11, 0, 59, 0, 0, 1, 30, 14, 0, 0, 0, 0, 2, 2, 14, 0, 9, 0, 0, 4, 4, 6, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 2]"
