selected_indices_per_step,actual_rewards_per_step
"[0, 57, 47, 55, 56, 9, 11, 4, 7, 1, 27, 30, 33, 50, 29, 28, 46, 22, 26, 58, 52, 59, 38, 37, 41, 48, 53, 23, 39, 44, 51, 45, 54, 31, 35, 42, 16, 40, 43, 10, 24, 34, 20, 8, 25, 32, 36, 19, 5, 21, 49, 2, 3, 6, 14, 12, 17, 15, 0, 13, 18]","[1, 5, 3, 2, 3, 5, 3, 1, 13, 2, 73, 47, 1, 14, 63, 81, 2, 6, 80, 3, 6, 2, 46, 56, 75, 46, 31, 1, 73, 42, 77, 3, 34, 1, 24, 27, 8, 81, 7, 1, 15, 2, 19, 13, 1, 1, 1, 34, 2, 14, 2, 2, 2, 11, 10, 1, 2, 2, 1, 2, 6]"
"[1, 57, 55, 47, 9, 11, 4, 58, 46, 59, 38, 37, 53, 25, 35, 51, 30, 29, 28, 27, 33, 50, 41, 45, 44, 22, 39, 26, 52, 31, 56, 7, 48, 54, 42, 16, 24, 40, 43, 5, 10, 8, 32, 23, 34, 49, 36, 20, 19, 21, 2, 6, 3, 14, 12, 1, 17, 15, 0, 13, 18]","[2, 5, 2, 3, 5, 3, 1, 3, 2, 2, 46, 56, 31, 1, 24, 77, 47, 63, 81, 73, 1, 14, 75, 3, 42, 6, 73, 80, 6, 1, 3, 13, 46, 34, 27, 8, 15, 81, 7, 2, 1, 13, 1, 1, 2, 2, 1, 19, 34, 14, 2, 11, 2, 10, 1, 2, 2, 2, 1, 2, 6]"
"[2, 57, 47, 55, 9, 56, 11, 4, 46, 59, 38, 37, 53, 25, 35, 51, 30, 29, 50, 27, 40, 33, 7, 28, 41, 39, 44, 26, 45, 48, 52, 22, 54, 58, 43, 31, 42, 16, 24, 10, 5, 34, 32, 23, 49, 36, 20, 8, 3, 19, 21, 6, 1, 14, 12, 2, 17, 15, 0, 13, 18]","[2, 5, 3, 2, 5, 3, 3, 1, 2, 2, 46, 56, 31, 1, 24, 77, 47, 63, 14, 73, 81, 1, 13, 81, 75, 73, 42, 80, 3, 46, 6, 6, 34, 3, 7, 1, 27, 8, 15, 1, 2, 2, 1, 1, 2, 1, 19, 13, 2, 34, 14, 11, 2, 10, 1, 2, 2, 2, 1, 2, 6]"
"[3, 57, 55, 56, 47, 9, 46, 4, 59, 7, 1, 27, 30, 28, 29, 50, 33, 22, 26, 16, 58, 51, 52, 39, 41, 44, 31, 45, 10, 42, 40, 48, 37, 43, 35, 24, 54, 38, 36, 5, 8, 25, 53, 32, 23, 49, 34, 20, 19, 21, 11, 2, 6, 14, 12, 3, 17, 15, 0, 13, 18]","[2, 5, 2, 3, 3, 5, 2, 1, 2, 13, 2, 73, 47, 81, 63, 14, 1, 6, 80, 8, 3, 77, 6, 73, 75, 42, 1, 3, 1, 27, 81, 46, 56, 7, 24, 15, 34, 46, 1, 2, 13, 1, 31, 1, 1, 2, 2, 19, 34, 14, 3, 2, 11, 10, 1, 2, 2, 2, 1, 2, 6]"
"[4, 57, 55, 47, 59, 7, 1, 27, 30, 29, 28, 50, 41, 33, 22, 39, 16, 51, 52, 45, 26, 44, 31, 9, 46, 58, 56, 11, 42, 40, 48, 37, 43, 24, 35, 54, 38, 5, 36, 10, 8, 3, 25, 53, 32, 23, 34, 49, 20, 19, 21, 2, 12, 6, 14, 17, 4, 15, 0, 13, 18]","[1, 5, 2, 3, 2, 13, 2, 73, 47, 63, 81, 14, 75, 1, 6, 73, 8, 77, 6, 3, 80, 42, 1, 5, 2, 3, 3, 3, 27, 81, 46, 56, 7, 15, 24, 34, 46, 2, 1, 1, 13, 2, 1, 31, 1, 1, 2, 2, 19, 34, 14, 2, 1, 11, 10, 2, 1, 2, 1, 2, 6]"
"[5, 57, 55, 47, 56, 9, 11, 4, 59, 46, 7, 1, 27, 40, 33, 30, 28, 29, 26, 50, 39, 41, 51, 52, 24, 44, 45, 48, 42, 37, 22, 54, 31, 58, 43, 38, 35, 8, 36, 10, 16, 3, 25, 53, 32, 23, 34, 49, 20, 19, 21, 2, 12, 6, 14, 5, 17, 15, 0, 13, 18]","[2, 5, 2, 3, 3, 5, 3, 1, 2, 2, 13, 2, 73, 81, 1, 47, 81, 63, 80, 14, 73, 75, 77, 6, 15, 42, 3, 46, 27, 56, 6, 34, 1, 3, 7, 46, 24, 13, 1, 1, 8, 2, 1, 31, 1, 1, 2, 2, 19, 34, 14, 2, 1, 11, 10, 2, 2, 2, 1, 2, 6]"
"[6, 57, 9, 58, 7, 1, 11, 46, 8, 40, 33, 27, 30, 29, 28, 50, 45, 20, 41, 37, 51, 52, 38, 47, 48, 55, 26, 39, 44, 43, 22, 31, 56, 35, 54, 59, 42, 24, 5, 4, 53, 32, 23, 34, 10, 25, 49, 19, 36, 21, 16, 6, 3, 14, 2, 12, 17, 15, 0, 13, 18]","[11, 5, 5, 3, 13, 2, 3, 2, 13, 81, 1, 73, 47, 63, 81, 14, 3, 19, 75, 56, 77, 6, 46, 3, 46, 2, 80, 73, 42, 7, 6, 1, 3, 24, 34, 2, 27, 15, 2, 1, 31, 1, 1, 2, 1, 1, 2, 34, 1, 14, 8, 11, 2, 10, 2, 1, 2, 2, 1, 2, 6]"
"[7, 57, 9, 5, 27, 29, 50, 33, 30, 28, 23, 11, 47, 55, 46, 51, 52, 26, 39, 41, 45, 44, 48, 58, 31, 22, 56, 8, 37, 54, 59, 38, 35, 42, 1, 10, 40, 43, 24, 4, 16, 36, 3, 20, 53, 32, 34, 19, 25, 21, 7, 49, 2, 6, 14, 12, 17, 15, 0, 13, 18]","[13, 5, 5, 2, 73, 63, 14, 1, 47, 81, 1, 3, 3, 2, 2, 77, 6, 80, 73, 75, 3, 42, 46, 3, 1, 6, 3, 13, 56, 34, 2, 46, 24, 27, 2, 1, 81, 7, 15, 1, 8, 1, 2, 19, 31, 1, 2, 34, 1, 14, 13, 2, 2, 11, 10, 1, 2, 2, 1, 2, 6]"
"[8, 57, 9, 7, 5, 56, 27, 29, 26, 50, 30, 28, 51, 52, 20, 46, 33, 47, 55, 45, 22, 39, 41, 42, 48, 31, 58, 37, 59, 40, 43, 11, 35, 24, 54, 38, 4, 36, 44, 32, 53, 23, 34, 49, 3, 19, 25, 10, 16, 21, 8, 2, 1, 6, 14, 12, 17, 15, 0, 13, 18]","[13, 5, 5, 13, 2, 3, 73, 63, 80, 14, 47, 81, 77, 6, 19, 2, 1, 3, 2, 3, 6, 73, 75, 27, 46, 1, 3, 56, 2, 81, 7, 3, 24, 15, 34, 46, 1, 1, 42, 1, 31, 1, 2, 2, 2, 34, 1, 1, 8, 14, 13, 2, 2, 11, 10, 1, 2, 2, 1, 2, 6]"
"[9, 57, 55, 4, 47, 11, 59, 9, 46, 7, 1, 27, 30, 33, 28, 29, 50, 26, 25, 5, 56, 16, 58, 8, 14, 6, 10, 42, 39, 51, 41, 52, 45, 22, 31, 44, 40, 43, 48, 37, 35, 53, 24, 34, 20, 38, 23, 3, 54, 19, 36, 21, 49, 32, 2, 12, 17, 15, 0, 13, 18]","[5, 5, 2, 1, 3, 3, 2, 5, 2, 13, 2, 73, 47, 1, 81, 63, 14, 80, 1, 2, 3, 8, 3, 13, 10, 11, 1, 27, 73, 77, 75, 6, 3, 6, 1, 42, 81, 7, 46, 56, 24, 31, 15, 2, 19, 46, 1, 2, 34, 34, 1, 14, 2, 1, 2, 1, 2, 2, 1, 2, 6]"
