selected_indices_per_step,actual_rewards_per_step
"[0, 55, 1, 25, 50, 3, 4, 2, 48, 13, 46, 6, 8, 51, 14, 53, 11, 58, 10, 7, 5, 19, 15, 9, 16, 57, 44, 59, 41, 12, 45, 43, 49, 38, 17, 34, 33, 29, 32, 42, 54, 23, 40, 47, 18, 56, 28, 31, 35, 36, 24, 39, 21, 52, 20, 30, 27, 37, 22, 26]","[41, 2, 62, 37, 24, 35, 24, 40, 0, 33, 0, 63, 57, 21, 40, 40, 58, 0, 66, 54, 41, 34, 42, 70, 60, 0, 34, 0, 12, 34, 1, 28, 54, 21, 33, 9, 9, 22, 37, 43, 19, 30, 22, 3, 38, 5, 25, 40, 18, 18, 34, 24, 35, 22, 30, 29, 30, 14, 32, 27]"
"[1, 9, 59, 15, 14, 50, 58, 16, 31, 8, 30, 49, 34, 0, 57, 4, 6, 46, 2, 7, 17, 10, 11, 44, 12, 13, 53, 40, 45, 51, 5, 25, 55, 3, 41, 42, 54, 33, 48, 19, 38, 43, 29, 36, 47, 23, 32, 18, 35, 39, 56, 21, 24, 28, 37, 20, 22, 52, 26, 27]","[62, 70, 0, 42, 40, 24, 0, 60, 40, 57, 29, 54, 9, 41, 0, 24, 63, 0, 40, 54, 33, 66, 58, 34, 34, 33, 40, 22, 1, 21, 41, 37, 2, 35, 12, 43, 19, 9, 0, 34, 21, 28, 22, 18, 3, 30, 37, 38, 18, 24, 5, 35, 34, 25, 14, 30, 32, 22, 27, 30]"
"[2, 56, 0, 28, 3, 49, 17, 34, 55, 58, 10, 8, 11, 53, 7, 4, 14, 9, 16, 50, 57, 15, 40, 46, 45, 6, 31, 12, 41, 13, 51, 59, 25, 38, 18, 36, 21, 29, 5, 33, 48, 23, 44, 43, 42, 54, 47, 32, 19, 35, 1, 24, 39, 52, 30, 20, 22, 37, 26, 27]","[40, 5, 41, 25, 35, 54, 33, 9, 2, 0, 66, 57, 58, 40, 54, 24, 40, 70, 60, 24, 0, 42, 22, 0, 1, 63, 40, 34, 12, 33, 21, 0, 37, 21, 38, 18, 35, 22, 41, 9, 0, 30, 34, 28, 43, 19, 3, 37, 34, 18, 62, 34, 24, 22, 29, 30, 32, 14, 27, 30]"
"[3, 16, 57, 43, 45, 9, 10, 8, 15, 6, 17, 59, 50, 14, 11, 12, 0, 58, 7, 49, 46, 4, 31, 38, 47, 53, 40, 13, 2, 55, 25, 41, 51, 34, 44, 33, 18, 21, 42, 54, 29, 23, 5, 56, 36, 1, 19, 48, 32, 28, 35, 39, 24, 20, 52, 30, 26, 37, 27, 22]","[35, 60, 0, 28, 1, 70, 66, 57, 42, 63, 33, 0, 24, 40, 58, 34, 41, 0, 54, 54, 0, 24, 40, 21, 3, 40, 22, 33, 40, 2, 37, 12, 21, 9, 34, 9, 38, 35, 43, 19, 22, 30, 41, 5, 18, 62, 34, 0, 37, 25, 18, 24, 34, 30, 22, 29, 27, 14, 30, 32]"
"[4, 16, 57, 43, 45, 9, 58, 11, 59, 50, 0, 6, 14, 15, 7, 8, 49, 17, 47, 46, 10, 31, 12, 53, 40, 13, 51, 2, 55, 41, 25, 38, 34, 44, 33, 21, 42, 54, 3, 29, 23, 18, 5, 56, 36, 48, 28, 1, 19, 32, 35, 39, 24, 52, 20, 30, 26, 37, 27, 22]","[24, 60, 0, 28, 1, 70, 0, 58, 0, 24, 41, 63, 40, 42, 54, 57, 54, 33, 3, 0, 66, 40, 34, 40, 22, 33, 21, 40, 2, 12, 37, 21, 9, 34, 9, 35, 43, 19, 35, 22, 30, 38, 41, 5, 18, 0, 25, 62, 34, 37, 18, 24, 34, 22, 30, 29, 27, 14, 30, 32]"
"[5, 40, 1, 49, 9, 59, 11, 58, 16, 50, 47, 6, 0, 14, 15, 46, 8, 7, 57, 17, 4, 2, 32, 10, 12, 44, 51, 25, 31, 55, 3, 38, 45, 48, 53, 13, 43, 34, 33, 19, 41, 29, 42, 54, 23, 18, 28, 36, 35, 56, 39, 22, 24, 30, 52, 20, 26, 37, 21, 27]","[41, 22, 62, 54, 70, 0, 58, 0, 60, 24, 3, 63, 41, 40, 42, 0, 57, 54, 0, 33, 24, 40, 37, 66, 34, 34, 21, 37, 40, 2, 35, 21, 1, 0, 40, 33, 28, 9, 9, 34, 12, 22, 43, 19, 30, 38, 25, 18, 18, 5, 24, 32, 34, 29, 22, 30, 27, 14, 35, 30]"
"[6, 51, 50, 10, 15, 58, 13, 8, 14, 49, 11, 16, 9, 0, 42, 59, 57, 7, 31, 38, 44, 47, 25, 12, 4, 53, 55, 18, 40, 2, 45, 48, 46, 54, 17, 33, 41, 1, 3, 5, 34, 43, 19, 29, 56, 23, 28, 35, 32, 36, 39, 24, 22, 52, 30, 20, 37, 26, 21, 27]","[63, 21, 24, 66, 42, 0, 33, 57, 40, 54, 58, 60, 70, 41, 43, 0, 0, 54, 40, 21, 34, 3, 37, 34, 24, 40, 2, 38, 22, 40, 1, 0, 0, 19, 33, 9, 12, 62, 35, 41, 9, 28, 34, 22, 5, 30, 25, 18, 37, 18, 24, 34, 32, 22, 29, 30, 14, 27, 35, 30]"
"[7, 21, 14, 8, 43, 34, 4, 48, 50, 33, 23, 13, 25, 44, 45, 11, 10, 12, 15, 58, 55, 0, 3, 6, 49, 53, 51, 16, 9, 41, 59, 57, 46, 2, 38, 17, 40, 29, 5, 31, 42, 54, 18, 56, 1, 47, 19, 32, 28, 35, 36, 39, 24, 52, 20, 30, 37, 26, 22, 27]","[54, 35, 40, 57, 28, 9, 24, 0, 24, 9, 30, 33, 37, 34, 1, 58, 66, 34, 42, 0, 2, 41, 35, 63, 54, 40, 21, 60, 70, 12, 0, 0, 0, 40, 21, 33, 22, 22, 41, 40, 43, 19, 38, 5, 62, 3, 34, 37, 25, 18, 18, 24, 34, 22, 30, 29, 14, 27, 32, 30]"
"[8, 15, 7, 53, 4, 50, 11, 6, 14, 2, 18, 10, 55, 58, 40, 3, 16, 9, 44, 57, 59, 49, 31, 46, 13, 12, 41, 38, 48, 45, 51, 0, 25, 17, 43, 36, 34, 33, 42, 54, 21, 29, 5, 23, 47, 1, 32, 19, 28, 39, 56, 35, 24, 52, 20, 30, 26, 37, 27, 22]","[57, 42, 54, 40, 24, 24, 58, 63, 40, 40, 38, 66, 2, 0, 22, 35, 60, 70, 34, 0, 0, 54, 40, 0, 33, 34, 12, 21, 0, 1, 21, 41, 37, 33, 28, 18, 9, 9, 43, 19, 35, 22, 41, 30, 3, 62, 37, 34, 25, 24, 5, 18, 34, 22, 30, 29, 27, 14, 30, 32]"
"[9, 30, 6, 59, 16, 50, 13, 15, 7, 57, 14, 11, 58, 10, 12, 8, 49, 0, 17, 40, 46, 4, 2, 44, 55, 48, 45, 53, 41, 51, 25, 43, 34, 33, 31, 5, 22, 29, 54, 1, 3, 32, 38, 19, 47, 23, 35, 36, 42, 18, 56, 39, 24, 28, 20, 52, 26, 21, 37, 27]","[70, 29, 63, 0, 60, 24, 33, 42, 54, 0, 40, 58, 0, 66, 34, 57, 54, 41, 33, 22, 0, 24, 40, 34, 2, 0, 1, 40, 12, 21, 37, 28, 9, 9, 40, 41, 32, 22, 19, 62, 35, 37, 21, 34, 3, 30, 18, 18, 43, 38, 5, 24, 34, 25, 30, 22, 27, 35, 14, 30]"
"[10, 37, 2, 59, 15, 14, 11, 12, 16, 8, 50, 57, 7, 9, 4, 49, 46, 58, 31, 18, 6, 44, 55, 13, 0, 53, 41, 45, 17, 25, 48, 51, 43, 34, 22, 33, 29, 42, 54, 3, 5, 23, 38, 1, 47, 32, 19, 30, 36, 35, 39, 56, 40, 24, 28, 20, 52, 26, 21, 27]","[66, 14, 40, 0, 42, 40, 58, 34, 60, 57, 24, 0, 54, 70, 24, 54, 0, 0, 40, 38, 63, 34, 2, 33, 41, 40, 12, 1, 33, 37, 0, 21, 28, 9, 32, 9, 22, 43, 19, 35, 41, 30, 21, 62, 3, 37, 34, 29, 18, 18, 24, 5, 22, 34, 25, 30, 22, 27, 35, 30]"
"[11, 29, 10, 15, 8, 53, 0, 59, 14, 16, 50, 57, 9, 7, 58, 4, 6, 40, 49, 31, 46, 43, 18, 13, 12, 2, 45, 25, 41, 48, 51, 55, 34, 22, 44, 33, 38, 42, 54, 5, 17, 3, 36, 23, 1, 47, 19, 32, 35, 56, 39, 24, 30, 52, 28, 20, 37, 26, 21, 27]","[58, 22, 66, 42, 57, 40, 41, 0, 40, 60, 24, 0, 70, 54, 0, 24, 63, 22, 54, 40, 0, 28, 38, 33, 34, 40, 1, 37, 12, 0, 21, 2, 9, 32, 34, 9, 21, 43, 19, 41, 33, 35, 18, 30, 62, 3, 34, 37, 18, 5, 24, 34, 29, 22, 25, 30, 14, 27, 35, 30]"
