selected_indices_per_step,actual_rewards_per_step
"[0, 55, 1, 12, 22, 21, 28, 32, 17, 33, 29, 19, 20, 51, 23, 49, 10, 11, 6, 16, 8, 2, 7, 14, 24, 15, 31, 46, 58, 4, 18, 13, 3, 53, 5, 50, 25, 26, 9, 59, 27, 30, 41, 35, 57, 38, 37, 36, 40, 52, 39, 54, 42, 45, 34, 44, 56, 48, 43, 47]","[99, 0, 45, 63, 97, 98, 54, 10, 0, 0, 5, 94, 97, 0, 32, 17, 99, 99, 98, 13, 99, 23, 98, 4, 97, 9, 4, 0, 0, 0, 95, 54, 98, 59, 36, 0, 11, 9, 97, 0, 81, 96, 0, 7, 3, 95, 90, 2, 53, 0, 4, 94, 2, 0, 10, 2, 0, 0, 2, 2]"
"[1, 9, 59, 16, 58, 11, 10, 15, 8, 6, 4, 14, 33, 7, 49, 50, 2, 32, 42, 31, 46, 23, 5, 25, 3, 12, 57, 0, 13, 55, 48, 53, 41, 51, 17, 56, 18, 22, 21, 29, 19, 24, 20, 28, 30, 26, 27, 35, 38, 37, 34, 40, 52, 39, 36, 54, 45, 44, 43, 47]","[45, 97, 0, 13, 0, 99, 99, 9, 99, 98, 0, 4, 0, 98, 17, 0, 23, 10, 2, 4, 0, 32, 36, 11, 98, 63, 3, 99, 54, 0, 0, 59, 0, 0, 0, 0, 95, 97, 98, 5, 94, 97, 97, 54, 96, 9, 81, 7, 95, 90, 10, 53, 0, 4, 2, 94, 0, 2, 2, 2]"
"[2, 56, 0, 13, 12, 32, 15, 58, 31, 10, 11, 55, 8, 7, 6, 14, 46, 4, 45, 49, 9, 16, 59, 50, 3, 1, 5, 53, 33, 23, 25, 41, 57, 51, 17, 48, 52, 18, 22, 21, 29, 19, 24, 20, 28, 30, 26, 27, 35, 38, 37, 40, 39, 36, 54, 42, 44, 34, 43, 47]","[23, 0, 99, 54, 63, 10, 9, 0, 4, 99, 99, 0, 99, 98, 98, 4, 0, 0, 0, 17, 97, 13, 0, 0, 98, 45, 36, 59, 0, 32, 11, 0, 3, 0, 0, 0, 0, 95, 97, 98, 5, 94, 97, 97, 54, 96, 9, 81, 7, 95, 90, 53, 4, 2, 94, 2, 2, 10, 2, 2]"
"[3, 16, 12, 1, 58, 31, 25, 59, 15, 4, 5, 0, 2, 27, 33, 28, 32, 22, 21, 29, 19, 20, 23, 24, 51, 17, 30, 26, 13, 18, 46, 49, 57, 35, 10, 11, 6, 8, 7, 9, 14, 50, 53, 38, 37, 41, 36, 40, 42, 52, 55, 39, 34, 54, 45, 44, 56, 43, 48, 47]","[98, 13, 63, 45, 0, 4, 11, 0, 9, 0, 36, 99, 23, 81, 0, 54, 10, 97, 98, 5, 94, 97, 32, 97, 0, 0, 96, 9, 54, 95, 0, 17, 3, 7, 99, 99, 98, 99, 98, 97, 4, 0, 59, 95, 90, 0, 2, 53, 2, 0, 0, 4, 10, 94, 0, 2, 0, 2, 0, 2]"
"[4, 16, 57, 43, 45, 10, 3, 13, 12, 11, 15, 59, 6, 14, 2, 58, 5, 1, 31, 8, 7, 49, 48, 23, 25, 9, 0, 46, 32, 50, 53, 33, 41, 55, 17, 56, 51, 40, 35, 52, 28, 27, 30, 24, 26, 20, 21, 22, 19, 29, 18, 38, 37, 39, 36, 34, 54, 42, 44, 47]","[0, 13, 3, 2, 0, 99, 98, 54, 63, 99, 9, 0, 98, 4, 23, 0, 36, 45, 4, 99, 98, 17, 0, 32, 11, 97, 99, 0, 10, 0, 59, 0, 0, 0, 0, 0, 0, 53, 7, 0, 54, 81, 96, 97, 9, 97, 98, 97, 94, 5, 95, 95, 90, 4, 2, 10, 94, 2, 2, 2]"
"[5, 40, 39, 41, 28, 27, 30, 24, 51, 18, 17, 20, 23, 26, 21, 22, 19, 29, 46, 31, 57, 32, 25, 35, 53, 33, 56, 58, 52, 8, 7, 4, 50, 10, 11, 6, 2, 14, 49, 9, 16, 15, 0, 3, 1, 13, 12, 59, 38, 37, 36, 45, 34, 55, 54, 42, 44, 48, 43, 47]","[36, 53, 4, 0, 54, 81, 96, 97, 0, 95, 0, 97, 32, 9, 98, 97, 94, 5, 0, 4, 3, 10, 11, 7, 59, 0, 0, 0, 0, 99, 98, 0, 0, 99, 99, 98, 23, 4, 17, 97, 13, 9, 99, 98, 45, 54, 63, 0, 95, 90, 2, 0, 10, 0, 94, 2, 2, 0, 2, 2]"
"[6, 51, 50, 10, 15, 11, 31, 14, 3, 13, 12, 8, 7, 4, 2, 58, 5, 16, 46, 1, 49, 59, 48, 9, 57, 0, 32, 33, 55, 25, 45, 22, 21, 19, 20, 24, 23, 17, 29, 28, 18, 53, 30, 26, 27, 40, 38, 37, 36, 41, 35, 34, 39, 52, 54, 42, 44, 56, 43, 47]","[98, 0, 0, 99, 9, 99, 4, 4, 98, 54, 63, 99, 98, 0, 23, 0, 36, 13, 0, 45, 17, 0, 0, 97, 3, 99, 10, 0, 0, 11, 0, 97, 98, 94, 97, 97, 32, 0, 5, 54, 95, 59, 96, 9, 81, 53, 95, 90, 2, 0, 7, 10, 4, 0, 94, 2, 2, 0, 2, 2]"
"[7, 21, 0, 12, 49, 22, 2, 51, 19, 20, 24, 17, 32, 23, 29, 54, 8, 50, 42, 46, 55, 18, 6, 4, 11, 10, 31, 9, 16, 58, 14, 15, 28, 57, 53, 38, 30, 26, 37, 41, 36, 27, 3, 1, 33, 5, 13, 45, 40, 35, 59, 39, 56, 25, 34, 44, 52, 48, 47, 43]","[98, 98, 99, 63, 17, 97, 23, 0, 94, 97, 97, 0, 10, 32, 5, 94, 99, 0, 2, 0, 0, 95, 98, 0, 99, 99, 4, 97, 13, 0, 4, 9, 54, 3, 59, 95, 96, 9, 90, 0, 2, 81, 98, 45, 0, 36, 54, 0, 53, 7, 0, 4, 0, 11, 10, 2, 0, 0, 2, 2]"
"[8, 15, 7, 6, 53, 4, 14, 46, 42, 18, 24, 51, 20, 19, 32, 22, 21, 29, 17, 23, 38, 26, 37, 36, 16, 2, 45, 25, 40, 11, 10, 58, 49, 31, 9, 30, 27, 28, 50, 57, 35, 0, 12, 3, 1, 33, 41, 13, 5, 59, 34, 39, 52, 55, 56, 54, 44, 47, 43, 48]","[99, 9, 98, 98, 59, 0, 4, 0, 2, 95, 97, 0, 97, 94, 10, 97, 98, 5, 0, 32, 95, 9, 90, 2, 13, 23, 0, 11, 53, 99, 99, 0, 17, 4, 97, 96, 81, 54, 0, 3, 7, 99, 63, 98, 45, 0, 0, 54, 36, 0, 10, 4, 0, 0, 0, 94, 2, 2, 2, 0]"
"[9, 30, 6, 4, 10, 0, 8, 46, 2, 23, 16, 11, 31, 58, 49, 27, 50, 15, 33, 51, 28, 7, 14, 32, 12, 24, 20, 22, 21, 29, 19, 17, 26, 3, 1, 13, 55, 18, 5, 53, 41, 25, 59, 38, 37, 36, 40, 57, 35, 52, 39, 54, 42, 45, 56, 44, 34, 43, 47, 48]","[97, 96, 98, 0, 99, 99, 99, 0, 23, 32, 13, 99, 4, 0, 17, 81, 0, 9, 0, 0, 54, 98, 4, 10, 63, 97, 97, 97, 98, 5, 94, 0, 9, 98, 45, 54, 0, 95, 36, 59, 0, 11, 0, 95, 90, 2, 53, 3, 7, 0, 4, 94, 2, 0, 0, 2, 10, 2, 2, 0]"
