selected_indices_per_step,actual_rewards_per_step
"[0, 55, 1, 53, 32, 12, 31, 10, 15, 8, 9, 16, 2, 7, 11, 6, 14, 46, 4, 50, 58, 49, 33, 59, 13, 3, 5, 41, 57, 25, 17, 48, 56, 51, 44, 52, 23, 18, 22, 21, 19, 24, 20, 29, 28, 30, 27, 26, 35, 38, 37, 40, 36, 39, 54, 42, 45, 34, 43, 47]","[99, 0, 45, 59, 10, 63, 4, 99, 9, 99, 97, 13, 23, 98, 99, 98, 4, 0, 0, 0, 0, 17, 0, 0, 54, 98, 36, 0, 3, 11, 0, 0, 0, 0, 2, 0, 32, 95, 97, 98, 94, 97, 97, 5, 54, 96, 81, 9, 7, 95, 90, 53, 2, 4, 94, 2, 0, 10, 2, 2]"
"[1, 9, 59, 16, 58, 11, 10, 8, 6, 4, 49, 7, 50, 14, 15, 33, 31, 2, 48, 42, 5, 23, 3, 12, 13, 0, 46, 32, 57, 55, 53, 25, 41, 51, 17, 52, 56, 18, 22, 21, 19, 24, 20, 29, 28, 30, 27, 26, 35, 38, 37, 40, 39, 36, 54, 45, 44, 34, 43, 47]","[45, 97, 0, 13, 0, 99, 99, 99, 98, 0, 17, 98, 0, 4, 9, 0, 4, 23, 0, 2, 36, 32, 98, 63, 54, 99, 0, 10, 3, 0, 59, 11, 0, 0, 0, 0, 0, 95, 97, 98, 94, 97, 97, 5, 54, 96, 81, 9, 7, 95, 90, 53, 4, 2, 94, 0, 2, 10, 2, 2]"
"[2, 56, 0, 31, 12, 58, 10, 15, 11, 13, 8, 6, 7, 14, 46, 4, 16, 49, 3, 5, 32, 59, 1, 53, 51, 9, 50, 33, 57, 25, 55, 41, 48, 17, 44, 52, 23, 18, 22, 21, 29, 19, 20, 24, 28, 30, 26, 27, 35, 38, 37, 36, 40, 39, 34, 54, 42, 45, 43, 47]","[23, 0, 99, 4, 63, 0, 99, 9, 99, 54, 99, 98, 98, 4, 0, 0, 13, 17, 98, 36, 10, 0, 45, 59, 0, 97, 0, 0, 3, 11, 0, 0, 0, 0, 2, 0, 32, 95, 97, 98, 5, 94, 97, 97, 54, 96, 9, 81, 7, 95, 90, 2, 53, 4, 10, 94, 2, 0, 2, 2]"
"[3, 16, 12, 1, 58, 25, 59, 15, 31, 5, 4, 55, 0, 2, 27, 33, 28, 32, 22, 21, 29, 19, 24, 20, 23, 51, 30, 26, 17, 13, 46, 18, 49, 48, 10, 11, 6, 8, 7, 9, 14, 50, 53, 57, 41, 35, 38, 37, 36, 40, 52, 39, 54, 42, 45, 56, 44, 34, 43, 47]","[98, 13, 63, 45, 0, 11, 0, 9, 4, 36, 0, 0, 99, 23, 81, 0, 54, 10, 97, 98, 5, 94, 97, 97, 32, 0, 96, 9, 0, 54, 0, 95, 17, 0, 99, 99, 98, 99, 98, 97, 4, 0, 59, 3, 0, 7, 95, 90, 2, 53, 0, 4, 94, 2, 0, 0, 2, 10, 2, 2]"
"[4, 16, 57, 43, 45, 9, 0, 3, 31, 12, 10, 15, 11, 2, 58, 13, 59, 6, 14, 1, 8, 7, 49, 46, 32, 53, 33, 50, 5, 17, 48, 25, 23, 55, 41, 56, 51, 52, 18, 22, 21, 19, 24, 20, 29, 28, 27, 30, 26, 38, 37, 40, 35, 36, 39, 34, 54, 42, 44, 47]","[0, 13, 3, 2, 0, 97, 99, 98, 4, 63, 99, 9, 99, 23, 0, 54, 0, 98, 4, 45, 99, 98, 17, 0, 10, 59, 0, 0, 36, 0, 0, 11, 32, 0, 0, 0, 0, 0, 95, 97, 98, 94, 97, 97, 5, 54, 81, 96, 9, 95, 90, 53, 7, 2, 4, 10, 94, 2, 2, 2]"
"[5, 40, 39, 41, 28, 27, 30, 24, 51, 18, 17, 20, 23, 26, 25, 21, 22, 19, 29, 46, 57, 32, 35, 53, 33, 52, 58, 56, 37, 38, 49, 16, 36, 54, 42, 55, 31, 45, 50, 12, 3, 1, 0, 2, 15, 10, 11, 6, 7, 8, 4, 9, 14, 13, 59, 44, 34, 48, 43, 47]","[36, 53, 4, 0, 54, 81, 96, 97, 0, 95, 0, 97, 32, 9, 11, 98, 97, 94, 5, 0, 3, 10, 7, 59, 0, 0, 0, 0, 90, 95, 17, 13, 2, 94, 2, 0, 4, 0, 0, 63, 98, 45, 99, 23, 9, 99, 99, 98, 98, 99, 0, 97, 4, 54, 0, 2, 10, 0, 2, 2]"
"[6, 51, 50, 10, 0, 12, 2, 13, 11, 15, 58, 8, 7, 14, 46, 49, 4, 32, 9, 16, 3, 31, 59, 1, 5, 33, 57, 25, 55, 48, 42, 53, 17, 41, 56, 52, 23, 18, 22, 21, 19, 24, 20, 29, 28, 30, 27, 26, 35, 38, 37, 40, 39, 34, 36, 54, 45, 44, 43, 47]","[98, 0, 0, 99, 99, 63, 23, 54, 99, 9, 0, 99, 98, 4, 0, 17, 0, 10, 97, 13, 98, 4, 0, 45, 36, 0, 3, 11, 0, 0, 2, 59, 0, 0, 0, 0, 32, 95, 97, 98, 94, 97, 97, 5, 54, 96, 81, 9, 7, 95, 90, 53, 4, 10, 2, 94, 0, 2, 2, 2]"
"[7, 21, 0, 12, 22, 6, 2, 14, 17, 51, 32, 29, 10, 11, 58, 8, 15, 13, 19, 20, 23, 18, 49, 24, 46, 4, 16, 31, 53, 50, 3, 1, 25, 38, 37, 26, 33, 36, 41, 9, 30, 27, 28, 59, 5, 40, 57, 35, 39, 52, 55, 34, 54, 42, 45, 56, 44, 47, 48, 43]","[98, 98, 99, 63, 97, 98, 23, 4, 0, 0, 10, 5, 99, 99, 0, 99, 9, 54, 94, 97, 32, 95, 17, 97, 0, 0, 13, 4, 59, 0, 98, 45, 11, 95, 90, 9, 0, 2, 0, 97, 96, 81, 54, 0, 36, 53, 3, 7, 4, 0, 0, 10, 94, 2, 0, 0, 2, 2, 0, 2]"
"[8, 15, 7, 14, 43, 25, 24, 19, 23, 51, 22, 21, 17, 18, 46, 20, 29, 32, 38, 37, 26, 53, 36, 40, 4, 33, 50, 54, 57, 42, 39, 30, 27, 28, 35, 55, 58, 45, 49, 5, 52, 41, 31, 16, 56, 11, 10, 6, 2, 9, 0, 12, 3, 1, 13, 59, 34, 48, 44, 47]","[99, 9, 98, 4, 2, 11, 97, 94, 32, 0, 97, 98, 0, 95, 0, 97, 5, 10, 95, 90, 9, 59, 2, 53, 0, 0, 0, 94, 3, 2, 4, 96, 81, 54, 7, 0, 0, 0, 17, 36, 0, 0, 4, 13, 0, 99, 99, 98, 23, 97, 99, 63, 98, 45, 54, 0, 10, 0, 2, 2]"
"[9, 30, 6, 14, 29, 1, 8, 44, 10, 11, 15, 49, 33, 7, 4, 58, 50, 31, 16, 51, 2, 13, 48, 59, 18, 17, 23, 46, 32, 3, 12, 5, 0, 25, 55, 27, 28, 24, 38, 37, 26, 35, 20, 21, 22, 19, 40, 53, 41, 36, 57, 52, 39, 34, 54, 42, 45, 56, 47, 43]","[97, 96, 98, 4, 5, 45, 99, 2, 99, 99, 9, 17, 0, 98, 0, 0, 0, 4, 13, 0, 23, 54, 0, 0, 95, 0, 32, 0, 10, 98, 63, 36, 99, 11, 0, 81, 54, 97, 95, 90, 9, 7, 97, 98, 97, 94, 53, 59, 0, 2, 3, 0, 4, 10, 94, 2, 0, 0, 2, 2]"
"[10, 37, 2, 55, 16, 53, 11, 8, 7, 14, 4, 24, 20, 23, 30, 27, 46, 38, 17, 26, 28, 15, 31, 35, 19, 21, 22, 29, 18, 51, 49, 42, 58, 32, 36, 40, 6, 9, 50, 0, 12, 3, 1, 33, 5, 41, 57, 13, 25, 52, 59, 39, 34, 54, 45, 56, 44, 47, 43, 48]","[99, 90, 23, 0, 13, 59, 99, 99, 98, 4, 0, 97, 97, 32, 96, 81, 0, 95, 0, 9, 54, 9, 4, 7, 94, 98, 97, 5, 95, 0, 17, 2, 0, 10, 2, 53, 98, 97, 0, 99, 63, 98, 45, 0, 36, 0, 3, 54, 11, 0, 0, 4, 10, 94, 0, 0, 2, 2, 2, 0]"
"[11, 29, 10, 0, 13, 3, 15, 12, 2, 58, 59, 31, 6, 7, 8, 14, 4, 46, 49, 5, 32, 16, 1, 48, 9, 57, 53, 33, 50, 25, 55, 23, 18, 17, 51, 56, 45, 22, 21, 19, 20, 24, 28, 30, 26, 27, 41, 35, 38, 37, 36, 40, 39, 52, 54, 42, 44, 34, 43, 47]","[99, 5, 99, 99, 54, 98, 9, 63, 23, 0, 0, 4, 98, 98, 99, 4, 0, 0, 17, 36, 10, 13, 45, 0, 97, 3, 59, 0, 0, 11, 0, 32, 95, 0, 0, 0, 0, 97, 98, 94, 97, 97, 54, 96, 9, 81, 0, 7, 95, 90, 2, 53, 4, 0, 94, 2, 2, 10, 2, 2]"
