selected_indices_per_step,actual_rewards_per_step
"[0, 55, 57, 54, 43, 51, 20, 26, 28, 27, 30, 33, 29, 23, 24, 36, 22, 37, 39, 40, 41, 35, 52, 53, 38, 58, 47, 17, 19, 18, 45, 34, 56, 12, 8, 21, 48, 25, 42, 16, 44, 15, 49, 46, 50, 59, 31, 9, 7, 1, 4, 14, 6, 13, 11, 5, 10, 32, 2, 3]","[1, 2, 5, 34, 7, 77, 19, 80, 81, 73, 47, 1, 63, 1, 15, 1, 6, 56, 73, 81, 75, 24, 6, 31, 46, 3, 3, 2, 34, 6, 3, 2, 3, 1, 13, 14, 46, 1, 27, 8, 42, 2, 2, 2, 14, 2, 1, 5, 13, 2, 1, 10, 11, 2, 3, 2, 1, 1, 2, 2]"
"[1, 9, 59, 8, 42, 43, 54, 55, 57, 23, 44, 45, 47, 56, 16, 15, 40, 41, 52, 39, 27, 28, 26, 51, 37, 30, 33, 29, 21, 24, 58, 38, 20, 17, 35, 53, 18, 34, 19, 22, 48, 36, 49, 25, 50, 46, 12, 7, 31, 4, 14, 6, 10, 11, 32, 13, 5, 0, 2, 3]","[2, 5, 2, 13, 27, 7, 34, 2, 5, 1, 42, 3, 3, 3, 8, 2, 81, 75, 6, 73, 73, 81, 80, 77, 56, 47, 1, 63, 14, 15, 3, 46, 19, 2, 24, 31, 6, 2, 34, 6, 46, 1, 2, 1, 14, 2, 1, 13, 1, 1, 10, 11, 1, 3, 1, 2, 2, 1, 2, 2]"
"[2, 56, 40, 41, 39, 23, 54, 45, 28, 27, 26, 37, 51, 33, 30, 29, 58, 35, 38, 19, 52, 22, 24, 57, 53, 47, 20, 17, 16, 55, 18, 36, 48, 34, 44, 43, 42, 21, 8, 12, 25, 49, 15, 50, 59, 46, 7, 31, 9, 4, 14, 6, 11, 5, 10, 32, 0, 1, 3, 13]","[2, 3, 81, 75, 73, 1, 34, 3, 81, 73, 80, 56, 77, 1, 47, 63, 3, 24, 46, 34, 6, 6, 15, 5, 31, 3, 19, 2, 8, 2, 6, 1, 46, 2, 42, 7, 27, 14, 13, 1, 1, 2, 2, 14, 2, 2, 13, 1, 5, 1, 10, 11, 3, 2, 1, 1, 1, 2, 2, 2]"
"[3, 16, 57, 44, 43, 45, 40, 41, 28, 27, 51, 39, 26, 37, 20, 30, 33, 23, 35, 52, 53, 29, 38, 58, 24, 22, 17, 47, 54, 55, 34, 19, 18, 56, 8, 42, 48, 21, 36, 12, 49, 50, 25, 15, 46, 59, 9, 7, 31, 14, 4, 13, 6, 10, 11, 1, 5, 0, 32, 2]","[2, 8, 5, 42, 7, 3, 81, 75, 81, 73, 77, 73, 80, 56, 19, 47, 1, 1, 24, 6, 31, 63, 46, 3, 15, 6, 2, 3, 34, 2, 2, 34, 6, 3, 13, 27, 46, 14, 1, 1, 2, 14, 1, 2, 2, 2, 5, 13, 1, 10, 1, 2, 11, 1, 3, 2, 2, 1, 1, 2]"
"[4, 16, 57, 44, 43, 45, 40, 41, 28, 27, 51, 39, 23, 26, 53, 37, 35, 19, 33, 30, 29, 38, 58, 47, 22, 24, 52, 17, 20, 54, 56, 55, 34, 18, 8, 42, 12, 48, 36, 49, 59, 21, 50, 25, 15, 46, 7, 31, 9, 13, 14, 1, 6, 10, 11, 5, 0, 2, 3, 32]","[1, 8, 5, 42, 7, 3, 81, 75, 81, 73, 77, 73, 1, 80, 31, 56, 24, 34, 1, 47, 63, 46, 3, 3, 6, 15, 6, 2, 19, 34, 3, 2, 2, 6, 13, 27, 1, 46, 1, 2, 2, 14, 14, 1, 2, 2, 13, 1, 5, 2, 10, 2, 11, 1, 3, 2, 1, 2, 2, 1]"
"[5, 40, 39, 41, 28, 27, 51, 19, 53, 54, 30, 47, 37, 26, 35, 33, 29, 58, 23, 38, 52, 57, 24, 22, 20, 45, 34, 17, 55, 56, 16, 18, 48, 8, 36, 12, 21, 44, 43, 42, 49, 15, 25, 59, 46, 50, 31, 9, 7, 4, 14, 6, 10, 11, 13, 1, 0, 2, 3, 32]","[2, 81, 73, 75, 81, 73, 77, 34, 31, 34, 47, 3, 56, 80, 24, 1, 63, 3, 1, 46, 6, 5, 15, 6, 19, 3, 2, 2, 2, 3, 8, 6, 46, 13, 1, 1, 14, 42, 7, 27, 2, 2, 1, 2, 2, 14, 1, 5, 13, 1, 10, 11, 1, 3, 2, 2, 1, 2, 2, 1]"
"[6, 51, 24, 33, 57, 30, 23, 26, 29, 28, 27, 36, 22, 37, 39, 40, 41, 35, 52, 38, 54, 47, 53, 20, 58, 45, 55, 17, 34, 19, 56, 18, 16, 48, 12, 21, 43, 25, 31, 44, 42, 8, 15, 49, 46, 50, 59, 5, 9, 4, 7, 14, 10, 11, 1, 13, 0, 2, 3, 32]","[11, 77, 15, 1, 5, 47, 1, 80, 63, 81, 73, 1, 6, 56, 73, 81, 75, 24, 6, 46, 34, 3, 31, 19, 3, 3, 2, 2, 2, 34, 3, 6, 8, 46, 1, 14, 7, 1, 1, 42, 27, 13, 2, 2, 2, 14, 2, 2, 5, 1, 13, 10, 1, 3, 2, 2, 1, 2, 2, 1]"
"[7, 21, 18, 29, 26, 27, 30, 52, 51, 28, 23, 24, 33, 39, 40, 41, 37, 57, 35, 38, 54, 53, 47, 58, 20, 45, 34, 55, 17, 56, 12, 19, 48, 44, 43, 16, 42, 36, 8, 22, 49, 15, 50, 46, 25, 59, 9, 31, 10, 4, 14, 6, 1, 11, 5, 13, 2, 3, 0, 32]","[13, 14, 6, 63, 80, 73, 47, 6, 77, 81, 1, 15, 1, 73, 81, 75, 56, 5, 24, 46, 34, 31, 3, 3, 19, 3, 2, 2, 2, 3, 1, 34, 46, 42, 7, 8, 27, 1, 13, 6, 2, 2, 14, 2, 1, 2, 5, 1, 1, 1, 10, 11, 2, 3, 2, 2, 2, 2, 1, 1]"
"[8, 15, 7, 14, 46, 45, 4, 11, 50, 59, 42, 57, 43, 54, 55, 27, 28, 26, 30, 33, 51, 22, 29, 20, 24, 23, 37, 52, 18, 39, 40, 41, 35, 53, 47, 38, 58, 34, 17, 56, 19, 48, 36, 21, 44, 49, 16, 25, 12, 31, 9, 1, 6, 10, 5, 13, 0, 32, 2, 3]","[13, 2, 13, 10, 2, 3, 1, 3, 14, 2, 27, 5, 7, 34, 2, 73, 81, 80, 47, 1, 77, 6, 63, 19, 15, 1, 56, 6, 6, 73, 81, 75, 24, 31, 3, 46, 3, 2, 2, 3, 34, 46, 1, 14, 42, 2, 8, 1, 1, 1, 5, 2, 11, 1, 2, 2, 1, 1, 2, 2]"
"[9, 30, 26, 29, 52, 57, 22, 27, 51, 28, 20, 23, 24, 37, 33, 38, 36, 39, 40, 41, 35, 43, 53, 58, 47, 17, 54, 55, 45, 34, 12, 18, 19, 56, 48, 25, 21, 8, 42, 44, 16, 49, 59, 15, 46, 50, 7, 31, 1, 4, 13, 14, 6, 11, 5, 10, 0, 2, 32, 3]","[5, 47, 80, 63, 6, 5, 6, 73, 77, 81, 19, 1, 15, 56, 1, 46, 1, 73, 81, 75, 24, 7, 31, 3, 3, 2, 34, 2, 3, 2, 1, 6, 34, 3, 46, 1, 14, 13, 27, 42, 8, 2, 2, 2, 2, 14, 13, 1, 2, 1, 2, 10, 11, 3, 2, 1, 1, 2, 1, 2]"
"[10, 37, 30, 56, 26, 29, 57, 51, 19, 28, 27, 23, 24, 33, 36, 22, 38, 39, 40, 41, 35, 54, 52, 58, 47, 53, 45, 20, 17, 55, 12, 18, 44, 43, 34, 21, 42, 16, 48, 8, 49, 25, 50, 15, 46, 59, 7, 9, 31, 4, 14, 6, 1, 11, 13, 5, 0, 2, 32, 3]","[1, 56, 47, 3, 80, 63, 5, 77, 34, 81, 73, 1, 15, 1, 1, 6, 46, 73, 81, 75, 24, 34, 6, 3, 3, 31, 3, 19, 2, 2, 1, 6, 42, 7, 2, 14, 27, 8, 46, 13, 2, 1, 14, 2, 2, 2, 13, 5, 1, 1, 10, 11, 2, 3, 2, 2, 1, 2, 1, 2]"
"[11, 29, 27, 30, 33, 28, 54, 19, 23, 36, 51, 24, 26, 38, 37, 39, 41, 40, 35, 52, 58, 57, 22, 53, 45, 17, 47, 20, 55, 48, 34, 12, 56, 18, 44, 43, 16, 8, 42, 21, 49, 25, 15, 46, 59, 50, 9, 31, 7, 4, 14, 5, 13, 6, 1, 10, 0, 2, 32, 3]","[3, 63, 73, 47, 1, 81, 34, 34, 1, 1, 77, 15, 80, 46, 56, 73, 75, 81, 24, 6, 3, 5, 6, 31, 3, 2, 3, 19, 2, 46, 2, 1, 3, 6, 42, 7, 8, 13, 27, 14, 2, 1, 2, 2, 2, 14, 5, 1, 13, 1, 10, 2, 2, 11, 2, 1, 1, 2, 1, 2]"
"[12, 31, 0, 1, 14, 50, 45, 36, 59, 7, 8, 4, 42, 43, 57, 54, 55, 23, 44, 47, 16, 56, 41, 40, 52, 39, 27, 28, 26, 37, 51, 30, 19, 29, 22, 24, 17, 33, 58, 38, 20, 35, 53, 18, 48, 34, 21, 49, 15, 46, 25, 9, 6, 32, 11, 13, 5, 10, 2, 3]","[1, 1, 1, 2, 10, 14, 3, 1, 2, 13, 13, 1, 27, 7, 5, 34, 2, 1, 42, 3, 8, 3, 75, 81, 6, 73, 73, 81, 80, 56, 77, 47, 34, 63, 6, 15, 2, 1, 3, 46, 19, 24, 31, 6, 46, 2, 14, 2, 2, 2, 1, 5, 11, 1, 3, 2, 2, 1, 2, 2]"
"[13, 17, 0, 18, 23, 36, 19, 51, 39, 56, 54, 40, 41, 58, 47, 45, 33, 28, 27, 30, 26, 37, 29, 38, 24, 57, 35, 53, 20, 55, 52, 22, 16, 48, 34, 44, 43, 42, 21, 8, 12, 15, 49, 25, 46, 59, 50, 9, 7, 4, 31, 6, 14, 10, 11, 1, 5, 2, 3, 32]","[2, 2, 1, 6, 1, 1, 34, 77, 73, 3, 34, 81, 75, 3, 3, 3, 1, 81, 73, 47, 80, 56, 63, 46, 15, 5, 24, 31, 19, 2, 6, 6, 8, 46, 2, 42, 7, 27, 14, 13, 1, 2, 2, 1, 2, 2, 14, 5, 13, 1, 1, 11, 10, 1, 3, 2, 2, 2, 2, 1]"
"[14, 6, 49, 11, 47, 7, 50, 42, 43, 54, 57, 55, 28, 27, 26, 29, 51, 19, 30, 23, 33, 24, 37, 22, 52, 38, 39, 40, 41, 17, 53, 35, 20, 58, 34, 18, 45, 56, 48, 36, 21, 44, 16, 8, 12, 15, 25, 59, 46, 5, 31, 1, 9, 4, 13, 10, 32, 0, 2, 3]","[10, 11, 2, 3, 3, 13, 14, 27, 7, 34, 5, 2, 81, 73, 80, 63, 77, 34, 47, 1, 1, 15, 56, 6, 6, 46, 73, 81, 75, 2, 31, 24, 19, 3, 2, 6, 3, 3, 46, 1, 14, 42, 8, 13, 1, 2, 1, 2, 2, 2, 1, 2, 5, 1, 2, 1, 1, 1, 2, 2]"
"[15, 13, 0, 59, 55, 58, 23, 31, 27, 28, 26, 51, 52, 19, 30, 24, 33, 29, 22, 37, 39, 40, 41, 35, 53, 54, 38, 57, 47, 20, 17, 45, 56, 18, 36, 8, 44, 43, 34, 42, 21, 48, 16, 46, 49, 25, 9, 50, 7, 12, 4, 14, 1, 6, 10, 11, 5, 2, 3, 32]","[2, 2, 1, 2, 2, 3, 1, 1, 73, 81, 80, 77, 6, 34, 47, 15, 1, 63, 6, 56, 73, 81, 75, 24, 31, 34, 46, 5, 3, 19, 2, 3, 3, 6, 1, 13, 42, 7, 2, 27, 14, 46, 8, 2, 2, 1, 5, 14, 13, 1, 1, 10, 2, 11, 1, 3, 2, 2, 2, 1]"
"[16, 24, 20, 23, 22, 51, 56, 30, 33, 57, 27, 28, 26, 29, 37, 36, 38, 39, 40, 41, 35, 52, 58, 47, 53, 54, 45, 17, 55, 12, 19, 18, 48, 34, 8, 44, 43, 42, 21, 49, 15, 46, 25, 59, 50, 7, 9, 31, 4, 14, 5, 6, 10, 11, 1, 13, 0, 2, 3, 32]","[8, 15, 19, 1, 6, 77, 3, 47, 1, 5, 73, 81, 80, 63, 56, 1, 46, 73, 81, 75, 24, 6, 3, 3, 31, 34, 3, 2, 2, 1, 34, 6, 46, 2, 13, 42, 7, 27, 14, 2, 2, 2, 1, 2, 14, 13, 5, 1, 1, 10, 2, 11, 1, 3, 2, 2, 1, 2, 2, 1]"
"[17, 34, 0, 36, 25, 56, 43, 44, 45, 54, 55, 57, 42, 15, 16, 47, 51, 23, 30, 26, 28, 27, 29, 22, 24, 20, 37, 39, 40, 41, 33, 58, 53, 38, 35, 52, 18, 19, 21, 48, 8, 12, 50, 49, 46, 59, 7, 9, 14, 6, 1, 4, 31, 11, 5, 13, 10, 2, 3, 32]","[2, 2, 1, 1, 1, 3, 7, 42, 3, 34, 2, 5, 27, 2, 8, 3, 77, 1, 47, 80, 81, 73, 63, 6, 15, 19, 56, 73, 81, 75, 1, 3, 31, 46, 24, 6, 6, 34, 14, 46, 13, 1, 14, 2, 2, 2, 13, 5, 10, 11, 2, 1, 1, 3, 2, 2, 1, 2, 2, 1]"
"[18, 11, 17, 23, 36, 29, 28, 27, 51, 30, 24, 26, 33, 39, 40, 41, 37, 57, 35, 52, 38, 54, 47, 58, 19, 22, 45, 53, 20, 55, 34, 56, 16, 48, 8, 12, 44, 43, 42, 21, 49, 15, 25, 50, 46, 59, 9, 7, 31, 10, 4, 6, 14, 5, 13, 1, 2, 0, 32, 3]","[6, 3, 2, 1, 1, 63, 81, 73, 77, 47, 15, 80, 1, 73, 81, 75, 56, 5, 24, 6, 46, 34, 3, 3, 34, 6, 3, 31, 19, 2, 2, 3, 8, 46, 13, 1, 42, 7, 27, 14, 2, 2, 1, 14, 2, 2, 5, 13, 1, 1, 1, 11, 10, 2, 2, 2, 2, 1, 1, 2]"
"[19, 44, 42, 45, 43, 40, 41, 52, 39, 37, 33, 58, 23, 27, 28, 26, 30, 51, 35, 29, 38, 57, 53, 24, 22, 47, 20, 17, 54, 12, 34, 55, 18, 16, 56, 48, 8, 36, 21, 49, 15, 25, 50, 59, 46, 9, 7, 31, 14, 1, 13, 6, 4, 11, 10, 5, 32, 0, 2, 3]","[34, 42, 27, 3, 7, 81, 75, 6, 73, 56, 1, 3, 1, 73, 81, 80, 47, 77, 24, 63, 46, 5, 31, 15, 6, 3, 19, 2, 34, 1, 2, 2, 6, 8, 3, 46, 13, 1, 14, 2, 2, 1, 14, 2, 2, 5, 13, 1, 10, 2, 2, 11, 1, 3, 1, 2, 1, 1, 2, 2]"
