selected_indices_per_step,actual_rewards_per_step
"[0, 55, 57, 23, 58, 56, 30, 27, 29, 26, 28, 15, 17, 51, 40, 41, 39, 45, 37, 54, 33, 5, 59, 34, 52, 8, 25, 38, 22, 31, 18, 50, 42, 14, 48, 47, 53, 16, 24, 43, 12, 36, 7, 49, 32, 21, 3, 35, 20, 11, 44, 4, 9, 19, 46, 13, 6, 10, 2, 1]","[1, 2, 5, 1, 3, 3, 47, 73, 63, 80, 81, 2, 2, 77, 81, 75, 73, 3, 56, 34, 1, 2, 2, 2, 6, 13, 1, 46, 6, 1, 6, 14, 27, 10, 46, 3, 31, 8, 15, 7, 1, 1, 13, 2, 1, 14, 2, 24, 19, 3, 42, 1, 5, 34, 2, 2, 11, 1, 2, 2]"
"[1, 9, 57, 55, 30, 29, 56, 58, 24, 27, 26, 28, 17, 34, 51, 59, 45, 15, 53, 5, 23, 40, 39, 41, 37, 54, 47, 25, 31, 38, 7, 21, 49, 18, 33, 52, 3, 8, 50, 42, 16, 43, 32, 22, 36, 14, 12, 35, 48, 20, 44, 11, 4, 19, 46, 13, 10, 6, 0, 2]","[2, 5, 5, 2, 47, 63, 3, 3, 15, 73, 80, 81, 2, 2, 77, 2, 3, 2, 31, 2, 1, 81, 73, 75, 56, 34, 3, 1, 1, 46, 13, 14, 2, 6, 1, 6, 2, 13, 14, 27, 8, 7, 1, 6, 1, 10, 1, 24, 46, 19, 42, 3, 1, 34, 2, 2, 1, 11, 1, 2]"
"[2, 56, 57, 55, 23, 58, 45, 30, 27, 29, 26, 28, 34, 17, 59, 51, 15, 53, 5, 40, 39, 41, 54, 37, 52, 25, 31, 14, 50, 16, 38, 48, 35, 22, 42, 8, 33, 47, 24, 43, 18, 12, 36, 49, 7, 32, 20, 3, 21, 44, 9, 11, 4, 19, 13, 6, 46, 10, 0, 1]","[2, 3, 5, 2, 1, 3, 3, 47, 73, 63, 80, 81, 2, 2, 2, 77, 2, 31, 2, 81, 73, 75, 34, 56, 6, 1, 1, 10, 14, 8, 46, 46, 24, 6, 27, 13, 1, 3, 15, 7, 6, 1, 1, 2, 13, 1, 19, 2, 14, 42, 5, 3, 1, 34, 2, 11, 2, 1, 1, 2]"
"[3, 16, 57, 56, 45, 59, 30, 24, 29, 26, 58, 27, 28, 34, 17, 51, 55, 53, 40, 39, 41, 54, 37, 14, 52, 25, 5, 15, 31, 48, 8, 42, 50, 23, 35, 49, 21, 38, 33, 47, 18, 43, 36, 12, 7, 32, 22, 11, 20, 44, 4, 9, 19, 46, 13, 10, 6, 0, 2, 1]","[2, 8, 5, 3, 3, 2, 47, 15, 63, 80, 3, 73, 81, 2, 2, 77, 2, 31, 81, 73, 75, 34, 56, 10, 6, 1, 2, 2, 1, 46, 13, 27, 14, 1, 24, 2, 14, 46, 1, 3, 6, 7, 1, 1, 13, 1, 6, 3, 19, 42, 1, 5, 34, 2, 2, 1, 11, 1, 2, 2]"
"[4, 16, 57, 59, 56, 45, 30, 24, 29, 58, 27, 26, 28, 34, 17, 51, 55, 39, 33, 54, 15, 23, 40, 41, 37, 5, 52, 25, 3, 38, 32, 42, 50, 49, 14, 21, 18, 9, 48, 47, 53, 8, 44, 36, 43, 12, 22, 31, 20, 35, 7, 11, 19, 46, 13, 10, 6, 0, 2, 1]","[1, 8, 5, 2, 3, 3, 47, 15, 63, 3, 73, 80, 81, 2, 2, 77, 2, 73, 1, 34, 2, 1, 81, 75, 56, 2, 6, 1, 2, 46, 1, 27, 14, 2, 10, 14, 6, 5, 46, 3, 31, 13, 42, 1, 7, 1, 6, 1, 19, 24, 13, 3, 34, 2, 2, 1, 11, 1, 2, 2]"
"[5, 40, 54, 56, 30, 59, 45, 23, 34, 57, 58, 27, 29, 39, 41, 37, 33, 15, 26, 28, 55, 51, 17, 8, 52, 38, 3, 25, 22, 32, 50, 42, 48, 47, 53, 16, 24, 14, 49, 18, 43, 12, 36, 7, 31, 20, 35, 21, 11, 44, 4, 9, 19, 46, 13, 10, 6, 0, 2, 1]","[2, 81, 34, 3, 47, 2, 3, 1, 2, 5, 3, 73, 63, 73, 75, 56, 1, 2, 80, 81, 2, 77, 2, 13, 6, 46, 2, 1, 6, 1, 14, 27, 46, 3, 31, 8, 15, 10, 2, 6, 7, 1, 1, 13, 1, 19, 24, 14, 3, 42, 1, 5, 34, 2, 2, 1, 11, 1, 2, 2]"
"[6, 51, 57, 18, 56, 30, 58, 27, 28, 29, 26, 15, 23, 25, 53, 59, 55, 45, 34, 17, 5, 40, 39, 41, 54, 52, 37, 49, 32, 50, 16, 48, 21, 35, 3, 42, 38, 33, 8, 47, 24, 43, 36, 12, 14, 22, 31, 7, 20, 44, 9, 4, 11, 19, 46, 13, 10, 0, 2, 1]","[11, 77, 5, 6, 3, 47, 3, 73, 81, 63, 80, 2, 1, 1, 31, 2, 2, 3, 2, 2, 2, 81, 73, 75, 34, 6, 56, 2, 1, 14, 8, 46, 14, 24, 2, 27, 46, 1, 13, 3, 15, 7, 1, 1, 10, 6, 1, 13, 19, 42, 5, 1, 3, 34, 2, 2, 1, 1, 2, 2]"
"[7, 21, 30, 57, 56, 58, 27, 15, 23, 29, 26, 25, 28, 59, 51, 53, 45, 55, 34, 17, 40, 39, 41, 54, 37, 52, 3, 5, 31, 9, 49, 48, 50, 35, 42, 38, 33, 47, 24, 8, 18, 16, 44, 36, 43, 12, 20, 32, 22, 14, 4, 11, 19, 46, 13, 10, 6, 0, 2, 1]","[13, 14, 47, 5, 3, 3, 73, 2, 1, 63, 80, 1, 81, 2, 77, 31, 3, 2, 2, 2, 81, 73, 75, 34, 56, 6, 2, 2, 1, 5, 2, 46, 14, 24, 27, 46, 1, 3, 15, 13, 6, 8, 42, 1, 7, 1, 19, 1, 6, 10, 1, 3, 34, 2, 2, 1, 11, 1, 2, 2]"
"[8, 15, 23, 59, 56, 5, 57, 45, 30, 29, 58, 27, 26, 28, 17, 51, 53, 55, 34, 25, 40, 39, 41, 54, 37, 52, 31, 3, 50, 38, 42, 14, 48, 35, 22, 49, 16, 33, 47, 24, 18, 43, 12, 36, 7, 32, 20, 21, 11, 44, 4, 9, 19, 46, 13, 10, 6, 0, 2, 1]","[13, 2, 1, 2, 3, 2, 5, 3, 47, 63, 3, 73, 80, 81, 2, 77, 31, 2, 2, 1, 81, 73, 75, 34, 56, 6, 1, 2, 14, 46, 27, 10, 46, 24, 6, 2, 8, 1, 3, 15, 6, 7, 1, 1, 13, 1, 19, 14, 3, 42, 1, 5, 34, 2, 2, 1, 11, 1, 2, 2]"
"[9, 30, 23, 56, 57, 58, 27, 29, 26, 25, 28, 34, 17, 59, 51, 45, 55, 53, 5, 15, 7, 40, 39, 41, 37, 54, 47, 3, 31, 22, 38, 49, 52, 42, 33, 18, 8, 50, 16, 24, 43, 48, 12, 36, 32, 21, 14, 35, 20, 44, 4, 11, 19, 46, 13, 10, 6, 0, 2, 1]","[5, 47, 1, 3, 5, 3, 73, 63, 80, 1, 81, 2, 2, 2, 77, 3, 2, 31, 2, 2, 13, 81, 73, 75, 56, 34, 3, 2, 1, 6, 46, 2, 6, 27, 1, 6, 13, 14, 8, 15, 7, 46, 1, 1, 1, 14, 10, 24, 19, 42, 1, 3, 34, 2, 2, 1, 11, 1, 2, 2]"
