selected_indices_per_step,actual_rewards_per_step
"[0, 55, 23, 56, 58, 5, 30, 45, 34, 15, 18, 57, 25, 27, 48, 52, 47, 7, 59, 14, 53, 31, 8, 51, 35, 46, 33, 44, 32, 20, 4, 36, 50, 17, 41, 40, 39, 37, 38, 29, 26, 28, 49, 13, 54, 24, 6, 11, 16, 43, 12, 9, 10, 3, 2, 19, 42, 1, 21, 22]","[57, 4, 36, 27, 6, 34, 45, 40, 48, 2, 37, 9, 33, 29, 68, 51, 61, 85, 9, 91, 77, 46, 85, 29, 89, 10, 37, 11, 67, 33, 4, 97, 8, 13, 70, 80, 87, 85, 90, 91, 87, 30, 59, 20, 32, 36, 93, 90, 90, 3, 36, 92, 88, 52, 39, 45, 20, 68, 43, 50]"
"[1, 9, 57, 56, 59, 23, 30, 25, 45, 48, 15, 58, 5, 18, 34, 55, 27, 7, 53, 14, 33, 8, 6, 51, 31, 4, 52, 44, 36, 50, 32, 20, 35, 49, 47, 13, 17, 41, 40, 37, 38, 39, 11, 29, 26, 28, 12, 16, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 21, 22]","[68, 92, 9, 27, 9, 36, 45, 33, 40, 68, 2, 6, 34, 37, 48, 4, 29, 85, 77, 91, 37, 85, 93, 29, 46, 4, 51, 11, 97, 8, 67, 33, 89, 59, 61, 20, 13, 70, 80, 85, 90, 87, 90, 91, 87, 30, 36, 90, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 43, 50]"
"[2, 56, 58, 57, 18, 30, 34, 25, 45, 48, 15, 23, 59, 47, 52, 53, 33, 27, 5, 7, 55, 8, 14, 31, 6, 35, 16, 50, 51, 4, 44, 20, 32, 36, 17, 13, 41, 40, 37, 38, 26, 29, 28, 39, 43, 49, 9, 11, 10, 46, 12, 24, 54, 3, 19, 0, 42, 1, 21, 22]","[39, 27, 6, 9, 37, 45, 48, 33, 40, 68, 2, 36, 9, 61, 51, 77, 37, 29, 34, 85, 4, 85, 91, 46, 93, 89, 90, 8, 29, 4, 11, 33, 67, 97, 13, 20, 70, 80, 85, 90, 87, 91, 30, 87, 3, 59, 92, 90, 88, 10, 36, 36, 32, 52, 45, 57, 20, 68, 43, 50]"
"[3, 16, 57, 56, 59, 23, 30, 34, 45, 5, 48, 15, 58, 18, 25, 27, 52, 44, 7, 14, 53, 8, 51, 31, 33, 6, 35, 55, 9, 50, 4, 20, 32, 36, 47, 13, 17, 12, 41, 40, 37, 38, 26, 29, 28, 49, 39, 11, 43, 46, 24, 10, 54, 0, 2, 19, 42, 1, 21, 22]","[52, 90, 9, 27, 9, 36, 45, 48, 40, 34, 68, 2, 6, 37, 33, 29, 51, 11, 85, 91, 77, 85, 29, 46, 37, 93, 89, 4, 92, 8, 4, 33, 67, 97, 61, 20, 13, 36, 70, 80, 85, 90, 87, 91, 30, 59, 87, 90, 3, 10, 36, 88, 32, 57, 39, 45, 20, 68, 43, 50]"
"[4, 16, 58, 56, 57, 23, 30, 59, 34, 45, 5, 48, 27, 15, 18, 55, 25, 52, 47, 44, 20, 36, 53, 33, 26, 29, 28, 17, 12, 37, 35, 50, 39, 41, 38, 31, 40, 51, 14, 32, 7, 6, 49, 11, 8, 9, 13, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[4, 90, 6, 27, 9, 36, 45, 9, 48, 40, 34, 68, 29, 2, 37, 4, 33, 51, 61, 11, 33, 97, 77, 37, 87, 91, 30, 13, 36, 85, 89, 8, 87, 70, 90, 46, 80, 29, 91, 67, 85, 93, 59, 90, 85, 92, 20, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[5, 40, 59, 56, 57, 23, 30, 34, 45, 58, 48, 50, 18, 25, 27, 52, 15, 47, 53, 55, 33, 20, 41, 35, 36, 31, 17, 14, 7, 8, 4, 44, 32, 39, 37, 38, 49, 29, 51, 26, 28, 6, 11, 13, 9, 16, 12, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[34, 80, 9, 27, 9, 36, 45, 48, 40, 6, 68, 8, 37, 33, 29, 51, 2, 61, 77, 4, 37, 33, 70, 89, 97, 46, 13, 91, 85, 85, 4, 11, 67, 87, 85, 90, 59, 91, 29, 87, 30, 93, 90, 20, 92, 90, 36, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[6, 51, 59, 56, 57, 5, 34, 18, 45, 58, 30, 48, 15, 25, 23, 52, 7, 14, 53, 31, 8, 55, 46, 33, 20, 16, 44, 4, 27, 32, 36, 50, 17, 47, 12, 35, 41, 43, 37, 38, 13, 26, 29, 28, 40, 39, 49, 9, 11, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[93, 29, 9, 27, 9, 34, 48, 37, 40, 6, 45, 68, 2, 33, 36, 51, 85, 91, 77, 46, 85, 4, 10, 37, 33, 90, 11, 4, 29, 67, 97, 8, 13, 61, 36, 89, 70, 3, 85, 90, 20, 87, 91, 30, 80, 87, 59, 92, 90, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[7, 21, 59, 56, 57, 25, 30, 45, 5, 34, 23, 15, 58, 18, 48, 52, 14, 53, 31, 55, 8, 39, 35, 50, 51, 33, 4, 27, 44, 32, 36, 17, 47, 41, 40, 37, 38, 49, 6, 13, 29, 26, 28, 11, 24, 9, 16, 12, 43, 46, 10, 3, 20, 54, 0, 2, 42, 1, 19, 22]","[85, 43, 9, 27, 9, 33, 45, 40, 34, 48, 36, 2, 6, 37, 68, 51, 91, 77, 46, 4, 85, 87, 89, 8, 29, 37, 4, 29, 11, 67, 97, 13, 61, 70, 80, 85, 90, 59, 93, 20, 91, 87, 30, 90, 36, 92, 90, 36, 3, 10, 88, 52, 33, 32, 57, 39, 20, 68, 45, 50]"
"[8, 15, 57, 18, 56, 59, 5, 30, 58, 23, 45, 25, 34, 48, 52, 27, 7, 53, 14, 31, 51, 55, 35, 33, 6, 16, 50, 4, 44, 20, 32, 36, 47, 17, 13, 12, 41, 40, 37, 38, 26, 29, 28, 39, 49, 9, 11, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[85, 2, 9, 37, 27, 9, 34, 45, 6, 36, 40, 33, 48, 68, 51, 29, 85, 77, 91, 46, 29, 4, 89, 37, 93, 90, 8, 4, 11, 33, 67, 97, 61, 13, 20, 36, 70, 80, 85, 90, 87, 91, 30, 87, 59, 92, 90, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[9, 30, 59, 56, 18, 57, 5, 34, 45, 58, 15, 23, 25, 48, 55, 27, 7, 14, 53, 33, 8, 4, 52, 44, 20, 31, 32, 36, 50, 17, 47, 35, 6, 49, 11, 13, 51, 41, 40, 37, 38, 39, 29, 26, 28, 16, 12, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[92, 45, 9, 27, 37, 9, 34, 48, 40, 6, 2, 36, 33, 68, 4, 29, 85, 91, 77, 37, 85, 4, 51, 11, 33, 46, 67, 97, 8, 13, 61, 89, 93, 59, 90, 20, 29, 70, 80, 85, 90, 87, 91, 87, 30, 90, 36, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[10, 37, 59, 23, 57, 56, 25, 30, 45, 34, 58, 5, 15, 18, 27, 48, 55, 52, 7, 53, 14, 33, 8, 4, 44, 20, 32, 36, 50, 31, 17, 28, 47, 35, 49, 6, 11, 13, 51, 12, 41, 40, 39, 38, 9, 46, 16, 43, 29, 26, 24, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[88, 85, 9, 36, 9, 27, 33, 45, 40, 48, 6, 34, 2, 37, 29, 68, 4, 51, 85, 77, 91, 37, 85, 4, 11, 33, 67, 97, 8, 46, 13, 30, 61, 89, 59, 93, 90, 20, 29, 36, 70, 80, 87, 90, 92, 10, 90, 3, 91, 87, 36, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[11, 29, 57, 56, 58, 18, 34, 5, 45, 30, 59, 23, 15, 25, 27, 55, 20, 48, 52, 7, 53, 14, 33, 8, 51, 4, 44, 32, 31, 36, 50, 17, 12, 35, 47, 49, 41, 6, 37, 38, 13, 40, 39, 26, 28, 9, 16, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[90, 91, 9, 27, 6, 37, 48, 34, 40, 45, 9, 36, 2, 33, 29, 4, 33, 68, 51, 85, 77, 91, 37, 85, 29, 4, 11, 67, 46, 97, 8, 13, 36, 89, 61, 59, 70, 93, 85, 90, 20, 80, 87, 87, 30, 92, 90, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[12, 31, 57, 56, 58, 23, 5, 30, 48, 45, 34, 25, 52, 47, 16, 59, 50, 27, 18, 7, 8, 14, 4, 55, 20, 44, 53, 33, 15, 32, 17, 36, 28, 35, 6, 13, 41, 40, 43, 37, 38, 9, 49, 11, 51, 46, 39, 29, 26, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[36, 46, 9, 27, 6, 36, 34, 45, 68, 40, 48, 33, 51, 61, 90, 9, 8, 29, 37, 85, 85, 91, 4, 4, 33, 11, 77, 37, 2, 67, 13, 97, 30, 89, 93, 20, 70, 80, 3, 85, 90, 92, 59, 90, 29, 10, 87, 91, 87, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[13, 17, 57, 59, 56, 34, 30, 45, 15, 23, 58, 5, 48, 25, 47, 52, 41, 8, 53, 7, 35, 33, 55, 14, 51, 4, 44, 20, 27, 36, 50, 32, 18, 31, 40, 39, 37, 38, 26, 29, 28, 49, 6, 11, 9, 16, 12, 43, 46, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[20, 13, 9, 9, 27, 48, 45, 40, 2, 36, 6, 34, 68, 33, 61, 51, 70, 85, 77, 85, 89, 37, 4, 91, 29, 4, 11, 33, 29, 97, 8, 67, 37, 46, 80, 87, 85, 90, 87, 91, 30, 59, 93, 90, 92, 90, 36, 3, 10, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[14, 6, 57, 56, 58, 23, 34, 5, 45, 30, 59, 53, 8, 3, 41, 9, 50, 51, 25, 7, 33, 4, 18, 55, 48, 15, 32, 31, 52, 20, 27, 44, 11, 35, 36, 49, 13, 47, 17, 40, 37, 38, 39, 29, 26, 28, 16, 12, 43, 46, 24, 10, 54, 0, 2, 19, 42, 1, 21, 22]","[91, 93, 9, 27, 6, 36, 48, 34, 40, 45, 9, 77, 85, 52, 70, 92, 8, 29, 33, 85, 37, 4, 37, 4, 68, 2, 67, 46, 51, 33, 29, 11, 90, 89, 97, 59, 20, 61, 13, 80, 85, 90, 87, 91, 87, 30, 90, 36, 3, 10, 36, 88, 32, 57, 39, 45, 20, 68, 43, 50]"
"[15, 13, 57, 56, 58, 23, 18, 30, 29, 25, 27, 59, 45, 34, 24, 55, 26, 28, 52, 17, 48, 5, 36, 47, 53, 33, 16, 44, 12, 7, 8, 14, 4, 50, 20, 51, 41, 35, 40, 37, 31, 39, 38, 43, 49, 6, 32, 9, 11, 46, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[2, 20, 9, 27, 6, 36, 37, 45, 91, 33, 29, 9, 40, 48, 36, 4, 87, 30, 51, 13, 68, 34, 97, 61, 77, 37, 90, 11, 36, 85, 85, 91, 4, 8, 33, 29, 70, 89, 80, 85, 46, 87, 90, 3, 59, 93, 67, 92, 90, 10, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[16, 24, 59, 56, 57, 5, 30, 34, 45, 58, 15, 18, 25, 23, 48, 52, 44, 27, 7, 14, 53, 8, 33, 4, 31, 55, 36, 50, 17, 47, 32, 12, 28, 35, 6, 13, 41, 40, 20, 39, 37, 38, 9, 11, 49, 51, 46, 43, 29, 26, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[90, 36, 9, 27, 9, 34, 45, 48, 40, 6, 2, 37, 33, 36, 68, 51, 11, 29, 85, 91, 77, 85, 37, 4, 46, 4, 97, 8, 13, 61, 67, 36, 30, 89, 93, 20, 70, 80, 33, 87, 85, 90, 92, 90, 59, 29, 10, 3, 91, 87, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[17, 34, 59, 57, 56, 5, 30, 45, 15, 23, 58, 25, 48, 47, 41, 52, 8, 53, 51, 7, 14, 11, 46, 55, 33, 32, 16, 44, 4, 20, 27, 50, 18, 31, 36, 12, 35, 43, 13, 26, 29, 28, 37, 38, 40, 39, 49, 6, 9, 24, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[13, 48, 9, 9, 27, 34, 45, 40, 2, 36, 6, 33, 68, 61, 70, 51, 85, 77, 29, 85, 91, 90, 10, 4, 37, 67, 90, 11, 4, 33, 29, 8, 37, 46, 97, 36, 89, 3, 20, 87, 91, 30, 85, 90, 80, 87, 59, 93, 92, 36, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[18, 11, 57, 59, 56, 34, 30, 5, 45, 58, 23, 15, 25, 24, 48, 52, 7, 53, 14, 8, 51, 31, 46, 55, 33, 32, 16, 44, 4, 27, 36, 50, 17, 47, 12, 35, 41, 43, 13, 26, 29, 28, 20, 37, 38, 40, 39, 49, 6, 9, 10, 3, 54, 0, 2, 19, 42, 1, 21, 22]","[37, 90, 9, 9, 27, 48, 45, 34, 40, 6, 36, 2, 33, 36, 68, 51, 85, 77, 91, 85, 29, 46, 10, 4, 37, 67, 90, 11, 4, 29, 97, 8, 13, 61, 36, 89, 70, 3, 20, 87, 91, 30, 33, 85, 90, 80, 87, 59, 93, 92, 88, 52, 32, 57, 39, 45, 20, 68, 43, 50]"
"[19, 44, 58, 56, 5, 30, 18, 34, 25, 57, 27, 23, 48, 15, 59, 47, 52, 53, 33, 36, 55, 17, 7, 14, 8, 4, 45, 32, 31, 50, 20, 35, 41, 6, 49, 11, 13, 51, 40, 39, 37, 38, 29, 26, 28, 9, 16, 12, 43, 46, 10, 24, 3, 54, 0, 2, 42, 1, 21, 22]","[45, 11, 6, 27, 34, 45, 37, 48, 33, 9, 29, 36, 68, 2, 9, 61, 51, 77, 37, 97, 4, 13, 85, 91, 85, 4, 40, 67, 46, 8, 33, 89, 70, 93, 59, 90, 20, 29, 80, 87, 85, 90, 91, 87, 30, 92, 90, 36, 3, 10, 88, 36, 52, 32, 57, 39, 20, 68, 43, 50]"
"[20, 58, 56, 57, 5, 34, 30, 45, 15, 18, 25, 23, 48, 59, 47, 41, 53, 52, 8, 14, 55, 31, 7, 35, 51, 11, 46, 33, 44, 32, 4, 36, 50, 27, 17, 13, 26, 29, 28, 12, 39, 40, 37, 38, 49, 54, 6, 24, 16, 43, 9, 10, 3, 0, 2, 19, 42, 1, 21, 22]","[33, 6, 27, 9, 34, 48, 45, 40, 2, 37, 33, 36, 68, 9, 61, 70, 77, 51, 85, 91, 4, 46, 85, 89, 29, 90, 10, 37, 11, 67, 4, 97, 8, 29, 13, 20, 87, 91, 30, 36, 87, 80, 85, 90, 59, 32, 93, 36, 90, 3, 92, 88, 52, 57, 39, 45, 20, 68, 43, 50]"
"[21, 10, 59, 56, 57, 5, 30, 34, 45, 58, 25, 15, 23, 18, 48, 27, 7, 14, 53, 8, 33, 4, 55, 52, 32, 44, 31, 20, 36, 50, 17, 3, 35, 6, 51, 49, 11, 13, 47, 12, 41, 40, 39, 37, 38, 29, 26, 28, 9, 46, 16, 43, 24, 54, 0, 2, 42, 1, 19, 22]","[43, 88, 9, 27, 9, 34, 45, 48, 40, 6, 33, 2, 36, 37, 68, 29, 85, 91, 77, 85, 37, 4, 4, 51, 67, 11, 46, 33, 97, 8, 13, 52, 89, 93, 29, 59, 90, 20, 61, 36, 70, 80, 87, 85, 90, 91, 87, 30, 92, 10, 90, 3, 36, 32, 57, 39, 20, 68, 45, 50]"
"[22, 59, 56, 57, 5, 30, 18, 34, 45, 15, 58, 23, 25, 27, 48, 47, 52, 53, 33, 55, 7, 14, 8, 11, 31, 4, 44, 20, 32, 36, 50, 17, 3, 35, 6, 49, 51, 13, 41, 40, 39, 37, 38, 29, 26, 28, 9, 16, 12, 43, 46, 10, 24, 54, 0, 2, 19, 42, 1, 21]","[50, 9, 27, 9, 34, 45, 37, 48, 40, 2, 6, 36, 33, 29, 68, 61, 51, 77, 37, 4, 85, 91, 85, 90, 46, 4, 11, 33, 67, 97, 8, 13, 52, 89, 93, 59, 29, 20, 70, 80, 87, 85, 90, 91, 87, 30, 92, 90, 36, 3, 10, 88, 36, 32, 57, 39, 45, 20, 68, 43]"
"[23, 50, 58, 56, 57, 25, 30, 18, 29, 27, 59, 34, 5, 17, 45, 15, 28, 55, 24, 52, 48, 36, 53, 33, 47, 26, 12, 37, 39, 41, 40, 35, 31, 38, 14, 7, 8, 6, 11, 51, 49, 4, 32, 42, 13, 9, 16, 44, 46, 20, 10, 3, 43, 54, 0, 2, 19, 1, 21, 22]","[36, 8, 6, 27, 9, 33, 45, 37, 91, 29, 9, 48, 34, 13, 40, 2, 30, 4, 36, 51, 68, 97, 77, 37, 61, 87, 36, 85, 87, 70, 80, 89, 46, 90, 91, 85, 85, 93, 90, 29, 59, 4, 67, 20, 20, 92, 90, 11, 10, 33, 88, 52, 3, 32, 57, 39, 45, 68, 43, 50]"
"[24, 46, 58, 57, 56, 30, 18, 29, 59, 34, 45, 5, 27, 25, 23, 15, 55, 17, 28, 52, 48, 36, 47, 53, 33, 26, 44, 12, 37, 39, 40, 41, 38, 35, 31, 51, 14, 7, 32, 50, 49, 6, 8, 11, 4, 13, 54, 20, 16, 43, 9, 10, 3, 0, 2, 19, 42, 1, 21, 22]","[36, 10, 6, 9, 27, 45, 37, 91, 9, 48, 40, 34, 29, 33, 36, 2, 4, 13, 30, 51, 68, 97, 61, 77, 37, 87, 11, 36, 85, 87, 80, 70, 90, 89, 46, 29, 91, 85, 67, 8, 59, 93, 85, 90, 4, 20, 32, 33, 90, 3, 92, 88, 52, 57, 39, 45, 20, 68, 43, 50]"
"[25, 24, 57, 58, 56, 30, 48, 45, 15, 5, 23, 59, 47, 34, 41, 52, 53, 8, 14, 11, 51, 7, 3, 31, 35, 9, 46, 55, 33, 16, 44, 18, 50, 4, 27, 32, 36, 17, 43, 13, 12, 26, 29, 28, 37, 38, 6, 49, 40, 39, 20, 10, 54, 0, 2, 19, 42, 1, 21, 22]","[33, 36, 9, 6, 27, 45, 68, 40, 2, 34, 36, 9, 61, 48, 70, 51, 77, 85, 91, 90, 29, 85, 52, 46, 89, 92, 10, 4, 37, 90, 11, 37, 8, 4, 29, 67, 97, 13, 3, 20, 36, 87, 91, 30, 85, 90, 93, 59, 80, 87, 33, 88, 32, 57, 39, 45, 20, 68, 43, 50]"
