selected_indices_per_step,actual_rewards_per_step
"[0, 55, 58, 23, 56, 59, 30, 57, 29, 45, 27, 34, 26, 28, 17, 51, 5, 15, 53, 40, 39, 54, 41, 52, 37, 7, 25, 38, 31, 22, 16, 33, 8, 48, 42, 47, 24, 43, 49, 50, 21, 35, 9, 18, 19, 20, 36, 44, 14, 12, 4, 3, 32, 6, 46, 11, 10, 2, 13, 1]","[1, 2, 3, 1, 3, 2, 47, 5, 63, 3, 73, 2, 80, 81, 2, 77, 2, 2, 31, 81, 73, 34, 75, 6, 56, 13, 1, 46, 1, 6, 8, 1, 13, 46, 27, 3, 15, 7, 2, 14, 14, 24, 5, 6, 34, 19, 1, 42, 10, 1, 1, 2, 1, 11, 2, 3, 1, 2, 2, 2]"
"[1, 9, 57, 58, 56, 23, 59, 30, 29, 34, 27, 26, 17, 45, 28, 51, 55, 53, 40, 39, 54, 41, 37, 15, 38, 5, 47, 25, 22, 31, 33, 8, 49, 42, 52, 16, 18, 7, 3, 32, 24, 21, 43, 14, 50, 48, 35, 19, 20, 36, 44, 12, 4, 6, 46, 11, 10, 2, 13, 0]","[2, 5, 5, 3, 3, 1, 2, 47, 63, 2, 73, 80, 2, 3, 81, 77, 2, 31, 81, 73, 34, 75, 56, 2, 46, 2, 3, 1, 6, 1, 1, 13, 2, 27, 6, 8, 6, 13, 2, 1, 15, 14, 7, 10, 14, 46, 24, 34, 19, 1, 42, 1, 1, 11, 2, 3, 1, 2, 2, 1]"
"[2, 56, 57, 58, 23, 59, 45, 30, 29, 34, 27, 26, 17, 28, 51, 55, 15, 53, 40, 39, 54, 41, 37, 52, 5, 25, 38, 31, 14, 33, 42, 16, 22, 48, 47, 8, 24, 43, 49, 50, 21, 35, 36, 9, 18, 19, 20, 7, 44, 12, 3, 32, 4, 6, 11, 46, 10, 13, 0, 1]","[2, 3, 5, 3, 1, 2, 3, 47, 63, 2, 73, 80, 2, 81, 77, 2, 2, 31, 81, 73, 34, 75, 56, 6, 2, 1, 46, 1, 10, 1, 27, 8, 6, 46, 3, 13, 15, 7, 2, 14, 14, 24, 1, 5, 6, 34, 19, 13, 42, 1, 2, 1, 1, 11, 3, 2, 1, 2, 1, 2]"
"[3, 16, 57, 56, 59, 23, 30, 58, 29, 34, 27, 26, 17, 28, 55, 51, 53, 40, 39, 42, 41, 37, 54, 14, 52, 15, 5, 25, 38, 8, 33, 45, 22, 47, 49, 32, 43, 9, 21, 18, 7, 24, 31, 50, 48, 35, 19, 20, 36, 12, 44, 4, 6, 46, 11, 2, 10, 13, 0, 1]","[2, 8, 5, 3, 2, 1, 47, 3, 63, 2, 73, 80, 2, 81, 2, 77, 31, 81, 73, 27, 75, 56, 34, 10, 6, 2, 2, 1, 46, 13, 1, 3, 6, 3, 2, 1, 7, 5, 14, 6, 13, 15, 1, 14, 46, 24, 34, 19, 1, 1, 42, 1, 11, 2, 3, 2, 1, 2, 1, 2]"
"[4, 16, 58, 56, 57, 23, 59, 30, 29, 34, 27, 26, 17, 28, 55, 51, 53, 40, 45, 39, 54, 37, 41, 52, 38, 25, 32, 15, 33, 42, 49, 47, 22, 5, 3, 14, 43, 8, 9, 21, 18, 24, 50, 48, 35, 36, 19, 20, 44, 12, 7, 31, 6, 46, 11, 2, 10, 13, 0, 1]","[1, 8, 3, 3, 5, 1, 2, 47, 63, 2, 73, 80, 2, 81, 2, 77, 31, 81, 3, 73, 34, 56, 75, 6, 46, 1, 1, 2, 1, 27, 2, 3, 6, 2, 2, 10, 7, 13, 5, 14, 6, 15, 14, 46, 24, 1, 34, 19, 42, 1, 13, 1, 11, 2, 3, 2, 1, 2, 1, 2]"
"[5, 40, 59, 57, 56, 23, 30, 45, 34, 58, 27, 29, 15, 55, 17, 53, 51, 28, 8, 26, 39, 54, 41, 37, 52, 25, 38, 31, 33, 22, 42, 16, 49, 48, 47, 7, 24, 50, 43, 12, 35, 14, 21, 9, 18, 19, 20, 36, 44, 3, 4, 32, 6, 46, 11, 2, 10, 13, 0, 1]","[2, 81, 2, 5, 3, 1, 47, 3, 2, 3, 73, 63, 2, 2, 2, 31, 77, 81, 13, 80, 73, 34, 75, 56, 6, 1, 46, 1, 1, 6, 27, 8, 2, 46, 3, 13, 15, 14, 7, 1, 24, 10, 14, 5, 6, 34, 19, 1, 42, 2, 1, 1, 11, 2, 3, 2, 1, 2, 1, 2]"
"[6, 51, 59, 56, 57, 18, 30, 58, 34, 23, 45, 29, 27, 26, 28, 25, 55, 53, 15, 17, 40, 39, 54, 41, 52, 5, 37, 38, 9, 49, 33, 22, 48, 47, 8, 42, 24, 16, 43, 21, 32, 50, 12, 35, 7, 19, 20, 36, 44, 3, 4, 31, 14, 46, 11, 2, 10, 13, 0, 1]","[11, 77, 2, 3, 5, 6, 47, 3, 2, 1, 3, 63, 73, 80, 81, 1, 2, 31, 2, 2, 81, 73, 34, 75, 6, 2, 56, 46, 5, 2, 1, 6, 46, 3, 13, 27, 15, 8, 7, 14, 1, 14, 1, 24, 13, 34, 19, 1, 42, 2, 1, 1, 10, 2, 3, 2, 1, 2, 1, 2]"
"[7, 21, 59, 56, 57, 30, 34, 58, 23, 27, 45, 29, 25, 26, 28, 37, 55, 17, 51, 53, 15, 40, 39, 54, 41, 52, 3, 32, 38, 9, 33, 5, 49, 48, 47, 8, 42, 24, 16, 22, 43, 50, 35, 36, 12, 18, 19, 20, 44, 14, 4, 31, 6, 46, 11, 2, 10, 13, 0, 1]","[13, 14, 2, 3, 5, 47, 2, 3, 1, 73, 3, 63, 1, 80, 81, 56, 2, 2, 77, 31, 2, 81, 73, 34, 75, 6, 2, 1, 46, 5, 1, 2, 2, 46, 3, 13, 27, 15, 8, 6, 7, 14, 24, 1, 1, 6, 34, 19, 42, 10, 1, 1, 11, 2, 3, 2, 1, 2, 1, 2]"
"[8, 15, 57, 18, 56, 59, 5, 30, 58, 27, 23, 29, 26, 45, 28, 51, 53, 55, 25, 37, 34, 40, 39, 54, 41, 52, 17, 38, 31, 33, 42, 24, 50, 49, 16, 48, 47, 21, 14, 43, 22, 12, 7, 35, 9, 19, 20, 36, 44, 3, 4, 32, 6, 46, 11, 2, 10, 13, 0, 1]","[13, 2, 5, 6, 3, 2, 2, 47, 3, 73, 1, 63, 80, 3, 81, 77, 31, 2, 1, 56, 2, 81, 73, 34, 75, 6, 2, 46, 1, 1, 27, 15, 14, 2, 8, 46, 3, 14, 10, 7, 6, 1, 13, 24, 5, 34, 19, 1, 42, 2, 1, 1, 11, 2, 3, 2, 1, 2, 1, 2]"
"[9, 30, 58, 56, 57, 18, 34, 27, 23, 59, 29, 26, 5, 45, 28, 51, 53, 55, 25, 37, 40, 39, 54, 41, 52, 15, 22, 38, 8, 31, 49, 33, 17, 48, 47, 42, 24, 16, 43, 7, 21, 50, 12, 35, 19, 20, 36, 44, 14, 3, 4, 32, 6, 46, 11, 2, 10, 13, 0, 1]","[5, 47, 3, 3, 5, 6, 2, 73, 1, 2, 63, 80, 2, 3, 81, 77, 31, 2, 1, 56, 81, 73, 34, 75, 6, 2, 6, 46, 13, 1, 2, 1, 2, 46, 3, 27, 15, 8, 7, 13, 14, 14, 1, 24, 34, 19, 1, 42, 10, 2, 1, 1, 11, 2, 3, 2, 1, 2, 1, 2]"
