selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 25, 59, 45, 30, 56, 23, 5, 7, 4, 32, 18, 13, 31, 3, 1, 14, 8, 6, 2, 46, 11, 20, 10, 34, 24, 19, 17, 49, 22, 9, 50, 12, 16, 21, 53, 15, 48, 47, 58, 35, 41, 33, 44, 43, 40, 51, 37, 42, 38, 39, 52, 28, 36, 27, 26, 57, 29, 54]","[50, 11, 37, 0, 7, 14, 5, 21, 52, 22, 31, 59, 41, 46, 6, 25, 54, 57, 40, 47, 48, 8, 24, 20, 47, 1, 26, 30, 29, 53, 13, 57, 10, 33, 51, 31, 10, 37, 8, 9, 0, 3, 6, 8, 30, 18, 5, 9, 13, 36, 11, 6, 16, 18, 11, 14, 9, 0, 13, 24]","[50.0, 60.71546182545513, 62.74338924246338, 79.04198769603289, 163.48973236310678, 212.67333399575048, 181.42790418449047, 44.822368561106614, 41.44557497937036, 34.82173047681662, 34.09875929896339, 39.00133005664539, 38.05810718987093, 38.647425505485714, 34.319445927384095, 32.64455518595806, 34.30348186114637, 36.79825899057935, 35.98200375552929, 35.84212811487407, 36.636853799414205, 34.212119827837284, 31.30809725030501, 31.131769269813233, 34.21484207601722, 31.90111047966901, 27.440475660425612, 27.16784489909181, 26.482160897910077, 33.48570504458003, 27.11998159493296, 30.406941526150412, 26.759982797535063, 26.382387667816374, 27.233093414476336, 24.10801203906564, 26.699660238146105, 24.584641951586118, 21.69440262489316, 21.140988043297412, 21.139282234944492, 16.959495528916605, 15.742550279782149, 14.880313620806973, 17.72149846076854, 15.084883249470208, 17.17791026072156, 11.830655006271707, 13.97365535994953, 14.949053279470865, 12.006548329098317, 10.022153643395917, 17.50848544650356, 9.407158537868723, 9.341010466752449, 8.803516565443243, -3.3900680365293, 6.068917555493048, 3.1886581047858726]"
"[1, 9, 57, 59, 48, 16, 14, 56, 7, 30, 50, 5, 32, 18, 4, 8, 23, 46, 13, 6, 31, 20, 3, 11, 2, 25, 10, 0, 12, 24, 49, 34, 19, 21, 22, 17, 51, 53, 15, 47, 58, 45, 35, 27, 41, 52, 33, 40, 38, 28, 39, 26, 36, 43, 44, 37, 42, 29, 54, 55]","[54, 57, 0, 0, 8, 51, 57, 5, 22, 14, 10, 52, 59, 41, 31, 40, 21, 8, 46, 47, 6, 20, 25, 24, 48, 37, 47, 50, 33, 26, 53, 1, 30, 31, 13, 29, 9, 10, 37, 9, 0, 7, 3, 14, 6, 16, 8, 5, 11, 18, 6, 9, 11, 18, 30, 13, 36, 13, 24, 11]","[54.0, 63.73792595571712, 78.30441236304094, 87.77999896534965, 101.67506070502932, 144.36463028714005, 192.16730969940613, 73.33134429590666, 74.50350298106295, 58.10103506600913, 60.35735273655018, 47.11292734700076, 49.227517811619066, 46.09146909559336, 43.548287284532066, 42.55456531004674, 45.8430547387146, 39.684079412804635, 38.992093397894024, 37.90787894819657, 45.30982647463585, 37.25235681644735, 35.239441493964414, 33.941595963410265, 33.680792736016954, 33.22859490138727, 33.09244391966283, 30.630222569118374, 33.64893288345995, 29.084482698922557, 28.44715639755569, 27.657432296795232, 27.469514526367973, 27.513021546829506, 23.995944287973042, 23.523251409436426, 23.073033500122293, 21.71541723012819, 22.188886480764786, 19.14893119971154, 20.746863350270605, 18.921751745256074, 17.48077112268866, 15.612754962815394, 14.996353804669443, 14.440179063788907, 13.501194585107164, 11.247840902413618, 15.25951163022043, 10.07497584635551, 9.049327998734176, 10.308780150332264, 9.39032931517887, 11.887784376432792, 9.468890298101451, 9.290768276941453, 8.51414476874227, -2.5208238259258806, -1.5454589555389049]"
"[2, 56, 59, 5, 4, 25, 24, 58, 7, 34, 32, 18, 31, 13, 14, 23, 6, 8, 1, 11, 3, 46, 20, 10, 0, 49, 17, 12, 53, 21, 19, 22, 50, 9, 16, 45, 47, 15, 48, 52, 35, 33, 41, 51, 40, 38, 30, 27, 28, 26, 39, 36, 37, 29, 43, 44, 42, 57, 54, 55]","[48, 5, 0, 52, 31, 37, 26, 0, 22, 1, 59, 41, 6, 46, 57, 21, 47, 40, 54, 24, 25, 8, 20, 47, 50, 53, 29, 33, 10, 31, 30, 13, 10, 57, 51, 7, 9, 37, 8, 16, 3, 8, 6, 9, 5, 11, 14, 14, 18, 9, 6, 11, 13, 13, 18, 30, 36, 0, 24, 11]","[48.0, 58.68136553645675, 56.95722274588321, 54.493799051447624, 97.08684016343155, 243.97259917692855, 88.48933432145013, 45.07935892766807, 39.78069849560675, 45.64026379378397, 44.06563976898808, 43.201740684035606, 35.00127978947722, 35.370243757166506, 35.56524364172495, 33.793689194728245, 35.384079718437704, 35.90991161849797, 35.258820410048905, 33.13151013501752, 31.002909893504647, 27.381399150228333, 26.244269544419232, 27.381124299515328, 25.437368551782335, 26.8721692700827, 25.852755079129643, 25.249090235520942, 23.16913333687058, 24.302784479429306, 25.029102195622993, 21.73036447581828, 18.785686725603924, 23.94992042607333, 26.19961256939227, 21.684201854801472, 19.702486871876747, 19.77685234887523, 17.413137762880858, 17.012479107236793, 14.419154486449585, 13.452392271355905, 17.16757267083368, 11.273671102487418, 10.420471002640967, 8.72287453460627, 9.467933109966959, 9.971927703926033, 9.384368289955336, 8.379427295184684, 8.122009112875118, 7.6780272805027, 5.516752394472835, 9.805606658810234, 6.666697103092519, 7.267672785996034, 1.1746972767988488, -2.520823825925852, -12.153056116500842]"
"[3, 16, 57, 48, 45, 30, 59, 56, 50, 7, 8, 5, 32, 18, 23, 4, 14, 13, 1, 6, 31, 11, 2, 46, 20, 25, 0, 10, 49, 12, 9, 24, 19, 34, 21, 22, 17, 53, 15, 47, 58, 35, 52, 51, 33, 41, 27, 40, 38, 28, 39, 26, 43, 44, 42, 37, 36, 29, 54, 55]","[25, 51, 0, 8, 7, 14, 0, 5, 10, 22, 40, 52, 59, 41, 21, 31, 57, 46, 54, 47, 6, 24, 48, 8, 20, 37, 50, 47, 53, 33, 57, 26, 30, 1, 31, 13, 29, 10, 37, 9, 0, 3, 16, 9, 8, 6, 14, 5, 11, 18, 6, 9, 18, 30, 36, 13, 11, 13, 24, 11]","[25.0, 67.87621103188343, 56.942954682872596, 48.5459014342429, 143.86470444121818, 413.8975016244688, 335.17497235611756, 51.85423299078519, 38.527531117321445, 26.809625856704805, 30.28732721823516, 36.40225458623493, 47.870088812976114, 42.53414728576587, 36.76581314043554, 36.167028410529234, 37.61962593147282, 37.779232345746614, 38.77392653914757, 39.11969686651096, 35.38761165798411, 34.299349960052794, 33.16243564798383, 42.13693292332398, 33.963276996953724, 31.37516100021247, 32.98317623195386, 28.343466775895656, 32.85048096080955, 30.39875442424018, 37.87813307125311, 28.651280305970626, 26.138316326572372, 28.080526058121034, 28.199010379572886, 24.690558861935447, 23.499652990442492, 21.90961860717541, 20.497957663885682, 19.571670367634816, 18.304990994896986, 16.149322633990494, 19.120863188261314, 18.636005069841946, 15.155834421938009, 15.599513187035146, 13.501194585107157, 11.247840902413627, 10.060873608828366, 10.0749758463555, 10.466343483336464, 10.927161089704143, 10.701724546131219, 9.758972746618571, 9.915879586065966, 8.794426338328378, 6.436901576064869, -0.44154054715295743, -26.735232128085293]"
"[4, 16, 57, 15, 45, 58, 30, 56, 50, 25, 48, 5, 7, 1, 32, 18, 23, 3, 13, 14, 8, 12, 6, 2, 46, 0, 31, 34, 24, 20, 27, 11, 10, 49, 9, 19, 21, 22, 17, 47, 53, 35, 41, 51, 33, 26, 52, 40, 38, 59, 28, 43, 44, 39, 42, 37, 29, 36, 54, 55]","[31, 51, 0, 37, 7, 0, 14, 5, 10, 37, 8, 52, 22, 54, 59, 41, 21, 25, 46, 57, 40, 33, 47, 48, 8, 50, 6, 1, 26, 20, 14, 24, 47, 53, 57, 30, 31, 13, 29, 9, 10, 3, 6, 9, 8, 9, 16, 5, 11, 0, 18, 18, 30, 6, 36, 13, 13, 11, 24, 11]","[31.0, 73.77825477036572, 50.64740547358387, 56.49427594780876, 271.3735183956149, 160.07027971286405, 5430.759355541041, 48.9065555167501, 43.99584098421896, 36.127431801413536, 41.166047411645195, 40.17416679221276, 33.21592467636704, 35.42787651166154, 42.3961387138676, 38.38792050013797, 38.16034042186523, 36.43616842117759, 37.15542865572945, 39.19006680573656, 45.64257070346288, 37.870057409081355, 37.966349011445104, 39.212731813000936, 38.58492727748343, 40.63932842180077, 36.65152677011592, 37.44281694119459, 48.44993411064627, 95.87355739650346, 35.137736336333575, 32.505869879208674, 28.27946126765429, 27.98369379488097, 27.870964918255176, 26.28330258065548, 27.433677052928658, 24.93698406649888, 23.01900514718246, 22.424502560304518, 18.71443139078748, 15.752547328183649, 16.996370057001172, 14.626999559245458, 20.184073112100734, 16.965060327936207, 13.351079268805211, 11.336196348410454, 18.602795324250458, 14.920598481610785, 19.213341810467572, 10.898770159810061, 13.387222123070737, 9.4780649474357, 10.053487321804903, 5.558231281523717, 9.442950441857318, -1.7152887573897146, 3.8979544975310816]"
"[5, 40, 3, 25, 7, 23, 57, 30, 4, 48, 18, 32, 58, 17, 13, 31, 24, 20, 1, 14, 8, 6, 11, 2, 56, 12, 46, 27, 0, 10, 49, 53, 9, 34, 16, 50, 29, 19, 22, 21, 51, 15, 47, 45, 35, 52, 33, 28, 41, 26, 39, 38, 36, 59, 37, 43, 44, 42, 54, 55]","[52, 5, 25, 37, 22, 21, 0, 14, 31, 8, 41, 59, 0, 29, 46, 6, 26, 20, 54, 57, 40, 47, 24, 48, 5, 33, 8, 14, 50, 47, 53, 10, 57, 1, 51, 10, 13, 30, 13, 31, 9, 37, 9, 7, 3, 16, 8, 18, 6, 9, 6, 11, 11, 0, 13, 18, 30, 36, 24, 11]","[52.0, 45.880660484722526, 44.61900136985914, 39.0750318493929, 207.16041133100734, 290.59343444756786, 435.72652319496547, 43.33604963380567, 31.455407814465826, 29.239343298446116, 33.9519040309403, 53.48771665767633, 34.42252241024683, 33.578342256666296, 35.35304693514897, 32.348693818996, 30.246526680731208, 28.940772187559283, 32.12282142567548, 35.19511263002342, 33.82448907952919, 34.293664408883465, 32.98353870387522, 45.72256736658322, 63.51010896384423, 41.32088573101639, 48.88519301010109, 31.09999442909795, 35.45649336253531, 30.247549950907654, 31.670966083182126, 27.162869029953804, 32.28961900878864, 29.346345866009088, 31.95403203323024, 76.47052796139737, 27.709538217395092, 25.9953427169297, 23.306434501166954, 21.729347021996116, 30.04573014022094, 22.76412150978249, 17.929732355523598, 18.55628934394924, 16.161068259835645, 21.391845918628597, 24.868667999264375, 15.893393528658558, 32.57895496614607, 12.757274766036566, 11.598014594259409, 20.879955599638034, 11.242403932939403, 9.060955882696799, -7.269309177062576, 12.966649044533705, 11.457318410462355, -2.9499713786323056, -1.7344347883965376]"
"[6, 51, 59, 5, 48, 45, 56, 7, 32, 18, 31, 14, 13, 23, 4, 1, 8, 25, 3, 11, 2, 46, 0, 10, 49, 12, 17, 24, 50, 20, 34, 21, 19, 22, 53, 9, 16, 15, 47, 58, 52, 35, 33, 41, 40, 38, 36, 39, 30, 27, 28, 26, 37, 29, 44, 43, 42, 57, 54, 55]","[47, 9, 0, 52, 8, 7, 5, 22, 59, 41, 6, 57, 46, 21, 31, 54, 40, 37, 25, 24, 48, 8, 50, 47, 53, 33, 29, 26, 10, 20, 1, 31, 30, 13, 10, 57, 51, 37, 9, 0, 16, 3, 8, 6, 5, 11, 11, 6, 14, 14, 18, 9, 13, 13, 30, 18, 36, 0, 24, 11]","[47.0, 59.94716262944715, 58.11928405206799, 60.39868706512493, 78.5638097046018, 97.77111167063266, 55.08171079689228, 46.94843140489938, 55.5858646736866, 42.15687949186971, 35.5353841271873, 37.30632097608145, 35.39805912545086, 35.30119989823264, 33.946686193904, 37.75539282168944, 35.855604302214786, 35.912741911547016, 33.745441572602765, 31.488697793740016, 34.00927826877507, 28.151461207076082, 31.30936292138682, 30.16429670091881, 33.878671057525835, 28.471087487521967, 38.89913372466275, 27.034824643072028, 27.295166554823062, 26.294671749035633, 25.310347843928724, 26.13546013421553, 26.33073141918191, 23.33776114302971, 22.322544563238175, 22.44453095685514, 20.173518256548853, 19.915570008762764, 18.80493667688083, 17.175274260724734, 16.909748287822392, 14.342588215306742, 13.110074647342014, 11.273671102487398, 10.420471002640959, 8.326612167674032, 8.64085650745618, 8.817974279259117, 9.495627331895026, 9.97220021208063, 8.05906932190972, 7.564264586732193, 7.203629883359762, 0.25817965668200316, 9.954783920191025, 7.572234926291406, -1.7285621692452544, -1.6284670944927058, -4.933417951229483]"
"[7, 21, 17, 57, 24, 58, 30, 56, 18, 25, 5, 32, 13, 31, 23, 4, 1, 14, 8, 3, 6, 2, 46, 11, 20, 0, 48, 10, 12, 49, 50, 19, 9, 22, 16, 34, 47, 53, 15, 45, 35, 33, 52, 41, 51, 40, 38, 59, 43, 44, 27, 39, 28, 37, 42, 26, 29, 36, 54, 55]","[22, 31, 29, 0, 26, 0, 14, 5, 41, 37, 52, 59, 46, 6, 21, 31, 54, 57, 40, 25, 47, 48, 8, 24, 20, 50, 8, 47, 33, 53, 10, 30, 57, 13, 51, 1, 9, 10, 37, 7, 3, 8, 16, 6, 9, 5, 11, 0, 18, 30, 14, 6, 18, 13, 36, 9, 13, 11, 24, 11]","[22.0, 31.32753527117829, 32.16775982918398, 36.352179087385835, 145.08548644879642, 89.05130110051851, 61.04129732947009, 33.246518077508966, 35.80051176258153, 35.60748680660228, 34.99417244301328, 36.13097593683714, 36.70679741797737, 34.4330928866783, 35.14395856321025, 31.922519427450986, 37.678575061680576, 38.783250808239586, 36.718606883013734, 36.13841860561483, 35.965585265417246, 40.07686912802664, 33.80998716388204, 35.62351883881263, 31.740243009204622, 30.0718553058094, 29.88480075188791, 32.19482585359753, 30.097395449461352, 29.463955236624987, 28.275910201375638, 28.41817007140228, 27.44251319885033, 27.6334698869224, 28.136930818611937, 22.97525780028509, 22.046684647269746, 21.719606691192705, 20.546859882278437, 19.163105626991044, 18.513216913031513, 14.993232434873022, 14.801423879803416, 13.706774748630469, 12.577340718574863, 12.325355929922646, 14.904897835628478, 12.332407857350745, 11.31103657838551, 13.82007270035721, 10.921561091295583, 13.960105714576882, 9.138904178174956, 9.13426408322983, 10.102967381428055, 9.778313395192018, 6.779763729637494, -1.95041002733457, -10.65040538077061]"
"[8, 15, 23, 45, 25, 5, 4, 58, 12, 3, 1, 7, 2, 34, 10, 16, 0, 11, 30, 46, 24, 6, 14, 13, 56, 32, 31, 18, 50, 20, 49, 17, 53, 21, 9, 19, 22, 47, 48, 35, 52, 33, 41, 51, 40, 39, 38, 27, 36, 28, 37, 26, 29, 43, 44, 42, 59, 57, 54, 55]","[40, 37, 21, 7, 37, 52, 31, 0, 33, 25, 54, 22, 48, 1, 47, 51, 50, 24, 14, 8, 26, 47, 57, 46, 5, 59, 6, 41, 10, 20, 53, 29, 10, 31, 57, 30, 13, 9, 8, 3, 16, 8, 6, 9, 5, 6, 11, 14, 11, 18, 13, 9, 13, 18, 30, 36, 0, 0, 24, 11]","[40.0, 41.889709379351935, 43.64057137632118, 64.8932351345104, 64.69283022200466, 46.119793437312175, 309.76177030030647, 39.921559932351805, 38.41690081595499, 35.18481209914944, 42.14334531607189, 35.833259548240235, 36.584534556969814, 32.08309707609303, 31.230418392375583, 31.282576193366705, 31.677547773356626, 32.75984729416636, 27.685196852394625, 24.577646838391864, 23.35548008170312, 26.47490436351048, 32.4875762515416, 66.13644266045308, 70.6661882098256, 44.20903820218539, 29.84556853879901, 35.02487924215879, 44.03278472734918, 28.588775992124454, 29.737207913849375, 25.603689562169716, 30.202944007417294, 25.174328233181527, 25.843060651485963, 25.38808243084271, 23.623881196247634, 20.682340872727192, 20.377130217617637, 16.380377828109438, 13.890002680469639, 13.670578029794092, 12.852102074219001, 10.278619901341179, 8.275807965549403, 10.718688187827231, 8.575077835968033, 7.72477121884441, 9.977164080683698, 7.624225996962863, 9.092678508275013, 6.838849401409851, 2.371078447507024, 7.464728418631292, 12.789068464527148, 22.2003854318806, -1.1404848136492554, -3.0506060206303864, -9.183208191276158]"
"[9, 30, 59, 45, 25, 12, 5, 56, 7, 4, 1, 3, 8, 2, 46, 0, 34, 32, 18, 20, 52, 14, 13, 31, 6, 11, 10, 24, 23, 49, 50, 21, 17, 19, 22, 16, 15, 47, 53, 58, 48, 35, 33, 41, 51, 40, 38, 36, 27, 28, 26, 39, 29, 37, 44, 43, 42, 57, 54, 55]","[57, 14, 0, 7, 37, 33, 52, 5, 22, 31, 54, 25, 40, 48, 8, 50, 1, 59, 41, 20, 16, 57, 46, 6, 47, 24, 47, 26, 21, 53, 10, 31, 29, 30, 13, 51, 37, 9, 10, 0, 8, 3, 8, 6, 9, 5, 11, 11, 14, 18, 9, 6, 13, 13, 30, 18, 36, 0, 24, 11]","[57.0, 81.45556306778337, 74.54682813782551, 141.14215604653486, 143.04887976593005, 200.44691273978796, 261.29533923994694, 64.34862281834936, 39.948528001426496, 38.1577360269075, 39.42264286800933, 37.73333095634652, 37.880056830849796, 39.03341874935559, 34.43858280053606, 34.10077913835931, 45.232840653376, 52.835049721807366, 44.184479273839926, 43.49276815630875, 39.0888924673532, 40.60178857346289, 40.34016882664603, 38.526145467806685, 37.124274021918744, 34.29491693977397, 39.16373323660504, 29.303391828233917, 29.154128779895387, 29.117987290470573, 29.17519555257102, 28.488826386629547, 27.828924041969206, 27.846439074056164, 23.753509442307468, 22.43066626401698, 22.53224839135127, 20.213323365312185, 17.26705910643807, 20.033171963675287, 16.732480157393667, 14.32757792332135, 13.67550103583732, 13.087225873812427, 11.567932782504943, 10.9167475279303, 7.490801812695016, 9.592746532850164, 18.86325335538771, 8.90245559841061, 11.151912874853114, 13.87573342445659, 6.892244852796736, 2.712907377733469, 8.50017329109483, 7.56571651612912, 0.7082072631540939, -3.3111920319588357, 19.417287554117458]"
