selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 25, 5, 56, 58, 34, 30, 15, 27, 29, 26, 28, 51, 24, 23, 17, 20, 19, 22, 21, 18, 40, 41, 52, 8, 16, 7, 4, 6, 50, 39, 45, 53, 33, 14, 54, 46, 12, 44, 47, 57, 49, 32, 31, 1, 42, 13, 37, 35, 38, 48, 43, 2, 3, 36, 9, 11, 10, 59]","[45, 0, 55, 5, 20, 0, 91, 77, 6, 84, 79, 82, 86, 85, 88, 66, 36, 89, 88, 72, 82, 34, 87, 91, 44, 98, 91, 91, 0, 90, 7, 88, 26, 68, 73, 91, 58, 28, 40, 32, 65, 4, 44, 60, 22, 12, 20, 9, 91, 94, 88, 73, 5, 8, 22, 85, 90, 80, 81, 0]","[45.0, 57.36399441398669, 52.18459442590246, 122.3274046900715, 257.6774157566248, 114.09468299259481, 225.61042293535374, 93.38889143384131, 66.36074531509337, 73.06853898177712, 74.30257539991761, 75.86022683982571, 62.43294801856614, 65.86518414978026, 75.0798083039933, 71.1445762036233, 64.39673812117366, 68.38553916642283, 70.58043042225103, 69.91719876958487, 64.88423470683719, 53.43400039590375, 64.91562152502567, 72.32686541231574, 62.37154945006968, 71.16233184483703, 74.8095458974768, 126.07160195081435, 66.18569490398998, 73.32734866665567, 62.10648925880313, 64.33879474207134, 59.99139946884689, 56.17513595366421, 63.22029250556041, 81.06892093953533, 59.566449536536865, 91.59930776122611, 60.38285270557877, 52.48909458786684, 67.0191817246904, 50.511558488887616, 98.83032197341372, 52.40111573825597, 54.76934020210769, 65.00714628269625, 88.72670675994073, 49.49237695937702, 59.775814719642085, 44.38453405005011, 57.69883107748415, 42.24043459055926, 52.01896847976462, 90.04603814391862, 47.16279559011915, 37.41847310836234, 35.738384543244194, 42.916098691633366, -45.69060807406139]"
"[1, 9, 57, 59, 45, 56, 30, 50, 48, 34, 15, 25, 27, 28, 26, 29, 51, 24, 23, 18, 22, 20, 19, 21, 17, 37, 49, 38, 12, 16, 40, 41, 52, 8, 33, 4, 39, 53, 47, 46, 0, 54, 36, 35, 2, 7, 42, 3, 5, 44, 43, 10, 6, 14, 11, 32, 31, 13, 55, 58]","[12, 90, 4, 0, 26, 20, 77, 7, 73, 91, 6, 55, 84, 86, 82, 79, 85, 88, 66, 34, 72, 89, 88, 82, 36, 91, 44, 88, 40, 91, 87, 91, 44, 98, 73, 0, 88, 68, 65, 28, 45, 58, 85, 94, 8, 91, 20, 22, 5, 32, 5, 81, 90, 91, 80, 60, 22, 9, 0, 0]","[12.0, 265.186074848645, 246.83507576244568, 219.80899834096465, 1103.503843699008, 912.5258613214537, 262.3713754243657, 80.94696144459562, 73.00772650408395, 76.64294795808178, 80.46979627212433, 61.40426262018233, 68.78859484681229, 72.94282457932464, 73.86178114060408, 62.360897596982305, 69.27018681217208, 76.23723062532962, 68.93682976079815, 61.8968051406619, 63.05497569744416, 66.46714430052214, 69.15074137331578, 68.39892966090596, 55.28900277616269, 54.078697401201346, 51.82088491120703, 58.29724078143758, 47.81093523662041, 54.09432561133619, 58.79581420608708, 60.70940729315561, 58.750442239741616, 68.9033395643269, 62.07681994035166, 59.74328241673111, 72.311322683992, 60.309678075084065, 56.3867287657025, 54.7963955438809, 66.73909677455427, 54.69766513404394, 53.271593839600605, 50.47403808277303, 51.65659045249513, 55.23968980842409, 45.60954214303337, 46.123399365374006, 46.681941623795495, 48.548542420715016, 35.40705638455607, 40.509024678148954, 77.43633322132676, 44.087033450756095, 47.290377729278774, 71.95063991143694, 49.075309176203085, 44.968235662761906, 19.40194581657061]"
"[2, 56, 52, 45, 48, 34, 15, 30, 27, 28, 26, 47, 37, 25, 51, 23, 24, 20, 19, 18, 29, 41, 40, 22, 21, 53, 8, 4, 39, 33, 35, 17, 7, 44, 38, 36, 16, 46, 54, 42, 43, 49, 6, 50, 5, 1, 14, 0, 9, 12, 13, 10, 11, 32, 57, 31, 3, 55, 58, 59]","[8, 20, 44, 26, 73, 91, 6, 77, 84, 86, 82, 65, 91, 55, 85, 66, 88, 89, 88, 34, 79, 91, 87, 72, 82, 68, 98, 0, 88, 73, 94, 36, 91, 32, 88, 85, 91, 28, 58, 20, 5, 44, 90, 7, 5, 12, 91, 45, 90, 40, 9, 81, 80, 60, 4, 22, 22, 0, 0, 0]","[8.0, 14.541606443807925, 64.65643268924896, 58.09647463416505, 64.35892035253985, 101.20720427018335, 4859.374385280421, 71.71365086103059, 73.18841030451384, 67.29885347613566, 64.734339674019, 49.691249098087454, 59.47876515229772, 56.07259097860613, 76.19970537053692, 65.49620476880816, 68.29358525793648, 63.15401287361155, 67.57391169766677, 56.18721499980704, 55.42275718255713, 57.23717872678976, 56.07776991014788, 55.004871916060466, 54.3662808659424, 52.249132976242436, 63.20017113030771, 58.19861986291157, 50.89560308476599, 53.49454113456651, 53.461620175129234, 53.873817338527594, 49.26087962437403, 39.02642603007892, 45.0312569476276, 54.4203417930071, 61.449200276996685, 63.11580417432741, 55.16593633980946, 48.11304818757484, 47.305799004455224, 46.286090303692305, 48.50419195824254, 64.68967433189917, 37.49565975203465, 47.397867804745204, 55.780568289621726, 21.627607309079302, 38.60109973910085, 34.93863020097091, 25.083743978154082, 26.567030104537245, 32.753793465191606, 36.09552141401454, 31.638891417408182, 31.89333911494502, -14.465233388905574, -51.48018147072869, -45.58862066496857]"
"[3, 16, 57, 45, 58, 30, 24, 56, 7, 52, 8, 20, 51, 19, 23, 6, 21, 50, 22, 27, 28, 26, 29, 4, 41, 15, 53, 40, 39, 44, 14, 46, 33, 54, 18, 0, 42, 17, 12, 32, 10, 11, 9, 2, 1, 31, 5, 43, 49, 47, 38, 13, 37, 35, 55, 34, 48, 36, 25, 59]","[22, 91, 4, 26, 0, 77, 88, 20, 91, 44, 98, 89, 85, 88, 66, 90, 82, 7, 72, 84, 86, 82, 79, 0, 91, 6, 68, 87, 88, 32, 91, 28, 73, 58, 34, 45, 20, 36, 40, 60, 81, 80, 90, 8, 12, 22, 5, 5, 44, 65, 88, 9, 91, 94, 0, 91, 73, 85, 55, 0]","[22.0, 135.78686773845985, 104.33151981583984, 237.29795652607646, 359.4796756725462, 224.88275537436726, 386.9741483145922, 131.57384198788222, 97.22475170795033, 81.30412421287468, 83.07925898250961, 82.98421567242406, 80.6242994563205, 80.21717378706694, 78.98807538026254, 77.45955836763386, 77.84785089034207, 79.75370938300676, 72.19930730241252, 75.39923765885044, 71.29071950353486, 64.72396775562066, 64.69626109325375, 55.214107454895995, 124.0343105589264, 68.21311595954278, 56.94506768734795, 55.77932381777411, 38.71117596112305, 69.99827823185561, 52.23141761578978, 50.232888936550715, 53.49617536517954, 48.615354409675334, 61.117140166542235, 76.5933674814926, 44.190912628914845, 74.62299153957171, 46.94197870153769, 49.84785033194894, 48.186979732392146, 49.575428555272545, 53.5295733421015, 45.45554758866554, 53.643633810176226, 38.55649593927451, 37.64544851373752, 34.613711441461085, 29.98077486287617, 39.622955123358565, 26.16117372392923, 24.16729268942759, 27.16059761367576, 30.652998481528158, 60.13412885671812, 43.30687335638073, 35.313448710373656, 36.44849065142248, -48.12689190864039]"
"[4, 16, 57, 45, 59, 30, 58, 56, 50, 15, 27, 28, 26, 29, 51, 24, 20, 23, 19, 22, 21, 18, 17, 41, 52, 7, 8, 6, 40, 46, 53, 39, 54, 0, 10, 14, 33, 12, 5, 9, 55, 11, 2, 1, 44, 43, 42, 32, 31, 13, 49, 38, 47, 37, 34, 35, 48, 36, 3, 25]","[0, 91, 4, 26, 0, 77, 0, 20, 7, 6, 84, 86, 82, 79, 85, 88, 89, 66, 88, 72, 82, 34, 36, 91, 44, 91, 98, 90, 87, 28, 68, 88, 58, 45, 81, 91, 73, 40, 5, 90, 0, 80, 8, 12, 32, 5, 20, 60, 22, 9, 44, 88, 65, 91, 91, 94, 73, 85, 22, 55]","[0.0, 194.64105920516405, 110.81830001738716, 479.9561665324251, 312.1832937366942, 113.1128293667849, 4597.757326096153, 95.9873290322512, 80.96717077866822, 60.11746307914217, 66.61473853047595, 71.64188450305069, 70.99738169297294, 53.48828370950392, 45.206101035064506, 67.79254413459506, 74.61033763088541, 71.78635993873088, 74.24399565489776, 73.73970168728088, 59.07027106255999, 44.6830447005552, 43.94145739655818, 51.842363541448336, 49.36551136640512, 58.611992053431415, 61.62359884342354, 54.92628206610021, 55.351779907314125, 52.67807864543424, 52.63220390518717, 222.97159635167512, 59.934132439508076, 54.07254903245731, 53.63589424701752, 55.14063259608792, 103.8088641107354, 66.17592742179198, 46.114184150352216, 203.72712222847593, 53.49883248062301, 51.27023951397284, 56.17926057697879, 45.001690668549855, 42.945458491937586, 47.55440208161918, 37.63402287641205, 47.45489617178651, 37.50974335415732, 28.72976620387861, 37.37703493079084, 33.99039013934335, 34.954521466499415, 42.52528902061066, 35.818747635213604, 40.64539722224798, 33.08632932392664, 26.173119711088432, 67.052372641231]"
"[5, 40, 56, 57, 48, 30, 23, 52, 27, 28, 47, 51, 24, 20, 41, 45, 26, 19, 53, 8, 7, 22, 21, 4, 39, 33, 6, 14, 50, 44, 18, 46, 16, 29, 34, 37, 54, 15, 17, 35, 42, 43, 25, 38, 32, 49, 2, 36, 0, 13, 1, 12, 9, 10, 31, 11, 3, 55, 58, 59]","[5, 87, 20, 4, 73, 77, 66, 44, 84, 86, 65, 85, 88, 89, 91, 26, 82, 88, 68, 98, 91, 72, 82, 0, 88, 73, 90, 91, 7, 32, 34, 28, 91, 79, 91, 91, 58, 6, 36, 94, 20, 5, 55, 88, 60, 44, 8, 85, 45, 9, 12, 40, 90, 81, 22, 80, 22, 0, 0, 0]","[5.0, 119.80918520824879, 191.3771532834513, 147.3727719045843, 235.83579335057962, 148.98826878546404, 100.2033568704453, 77.60626358799115, 78.04948328370355, 68.64326926203975, 66.26295896879499, 69.47700130107802, 73.49901082437282, 68.89487721859649, 71.47693961240961, 70.30791731359669, 66.85476105604312, 55.32662330043439, 55.594309566169976, 60.70516212867708, 57.813712868574676, 61.02480509191267, 57.005475285503294, 60.636093459817126, 55.580580637925095, 46.495482291501716, 59.02913640032543, 70.47291743133428, 50.486663375690135, 54.25213051745567, 53.346048203290636, 59.609655865311446, 46.33950017119862, 44.5224805686151, 47.33636292171743, 67.13852310845463, 85.89093981468287, 63.23915936755906, 49.6061259566915, 56.01544510412312, 44.24623223778234, 59.311723753421376, 44.94158183580966, 55.64677988167135, 55.97457412402461, 51.64574714167228, 38.916777361250745, 48.25924287088047, 45.55780036063629, 46.38882588160801, 31.972812775335463, 27.684217028154045, 31.830229862330953, 34.404393683106946, 31.313189005418018, 30.05210684284259, -16.796605192544405, -21.11156839627388, -43.687051663439505]"
"[6, 51, 59, 48, 23, 45, 12, 56, 5, 30, 27, 28, 26, 29, 24, 20, 19, 22, 21, 18, 41, 50, 57, 17, 8, 7, 16, 52, 4, 40, 46, 39, 53, 54, 2, 15, 44, 14, 33, 31, 10, 0, 9, 49, 58, 43, 1, 47, 34, 38, 3, 32, 37, 35, 13, 42, 36, 11, 25, 55]","[90, 85, 0, 73, 66, 26, 40, 20, 5, 77, 84, 86, 82, 79, 88, 89, 88, 72, 82, 34, 91, 7, 4, 36, 98, 91, 91, 44, 0, 87, 28, 88, 68, 58, 8, 6, 32, 91, 73, 22, 81, 45, 90, 44, 0, 5, 12, 65, 91, 88, 22, 60, 91, 94, 9, 20, 85, 80, 55, 0]","[90.0, 91.70357403019042, 107.58407886111993, 116.73244705548852, 197.16538864727613, 135.72214862368907, 342.68618821133464, 89.55218574247395, 106.71361994061252, 82.65865526495836, 81.82568151850288, 80.03026416012924, 76.53498763207452, 68.7382315663763, 70.62013624653751, 73.21109294351618, 74.5353756840718, 73.93998940560724, 61.45146807995473, 62.381427414274924, 67.97888352187418, 65.36582932144516, 59.311451697395526, 54.71820029237248, 60.7169191285556, 65.22429760181244, 65.07355896896621, 62.6369783420668, 57.73145168136415, 57.48250153274434, 54.666958440302906, 61.17113580099817, 651.7601533641534, 52.52192682403739, 82.94149636035154, 86.35983522825751, 73.19965440342328, 55.316875500089544, 79.0968828556644, 49.065263598524886, 52.01765172322581, 48.79467810817871, 52.352387083371326, 48.03736188911545, 47.957015161127075, 50.18294673515396, 47.39948687685988, 68.78130718297899, 54.465098419366726, 73.55802985625623, 54.69335033370135, 51.7992019549464, 60.23029901644906, 77.66989497008429, 62.897032831844825, 46.86209212697585, 42.38772650316558, 38.03389659519769, -29.18420816356867]"
"[7, 21, 45, 25, 58, 23, 56, 30, 8, 5, 27, 28, 26, 51, 24, 20, 19, 22, 52, 29, 6, 46, 12, 0, 18, 34, 40, 16, 57, 50, 15, 53, 41, 39, 33, 4, 17, 14, 49, 37, 47, 2, 54, 48, 35, 32, 38, 44, 13, 36, 1, 31, 42, 55, 43, 11, 9, 10, 3, 59]","[91, 82, 26, 55, 0, 66, 20, 77, 98, 5, 84, 86, 82, 85, 88, 89, 88, 72, 44, 79, 90, 28, 40, 45, 34, 91, 87, 91, 4, 7, 6, 68, 91, 88, 73, 0, 36, 91, 44, 91, 65, 8, 58, 73, 94, 60, 88, 32, 9, 85, 12, 22, 20, 0, 5, 80, 90, 81, 22, 0]","[91.0, 93.43012977326528, 133.33026106961063, 151.7935456316825, 120.22083668347341, 154.4605866356228, 156.3751469270008, 89.91274422045113, 85.94711622548665, 85.5005437933079, 83.22981736483678, 79.69820880595748, 79.25499988708012, 80.265059638938, 77.14574611208374, 77.05867715434161, 77.30685449219808, 73.24174451501352, 70.87733102941826, 62.74518233871308, 66.26360199332845, 65.15532016961015, 62.52656789475269, 62.776262534101775, 89.88117343710226, 57.66275419418771, 62.71062151192446, 79.37593205234592, 65.86898218434202, 64.70535840879134, 71.67968718033873, 57.3738999579916, 56.273161718337576, 55.1297294054422, 54.01356314997807, 53.270251235423466, 50.06326011928998, 54.8422855540664, 49.43294036376584, 55.21035819322539, 46.57308919944508, 76.25346772370962, 51.907202109177156, 55.51730451766785, 141.11455152346718, 56.04063835847455, 49.21058312148068, 58.67587006194756, 49.0617294180816, 30.272913472658118, 73.84088768040354, 46.00894908738435, 97.52798460947538, 42.07684816895315, -1.3101632163396317, 33.44773502256913, 45.12258817287014, 35.151954860564715, -35.88110685755848]"
"[8, 15, 23, 45, 5, 56, 48, 30, 52, 27, 28, 47, 24, 20, 51, 26, 19, 41, 40, 7, 53, 22, 21, 4, 39, 16, 44, 50, 33, 29, 6, 18, 46, 34, 37, 38, 35, 17, 43, 25, 14, 49, 2, 42, 54, 36, 0, 1, 57, 12, 32, 13, 9, 10, 11, 31, 3, 55, 58, 59]","[98, 6, 66, 26, 5, 20, 73, 77, 44, 84, 86, 65, 88, 89, 85, 82, 88, 91, 87, 91, 68, 72, 82, 0, 88, 91, 32, 7, 73, 79, 90, 34, 28, 91, 91, 88, 94, 36, 5, 55, 91, 44, 8, 20, 58, 85, 45, 12, 4, 40, 60, 9, 90, 81, 80, 22, 22, 0, 0, 0]","[98.0, 155.95108763345934, 106.18266319002953, 144.87198247644702, 378.4600191564946, 207.37405492749545, 152.77374181633755, 108.63315714915461, 79.99849863117306, 78.56573635649136, 67.86069873676522, 66.97597196725272, 69.05929525243317, 71.5763189979609, 72.16091042614326, 65.48059447970263, 63.1583284076388, 65.10774958657514, 61.931551150824156, 60.29289565060718, 57.34268562725284, 60.07699790310308, 57.924074951272694, 58.5698969179666, 51.14123151613083, 77.06427155502026, 58.903143998082285, 61.80333447661489, 53.784229775220616, 47.792626396956486, 56.39136523194884, 53.771646434084374, 47.53801449291307, 43.97285219155503, 42.3629558470384, 45.677153501378676, 47.97932595008233, 43.45740741524099, 52.0264642995341, 47.53551272813643, 52.725682408847895, 50.54427098793353, 52.869619634004835, 42.45824141907898, 47.15197303037798, 42.50355261249025, 46.70271251251863, 34.5094136769475, 63.430040458445035, 29.54858029081609, 33.562397874055115, 31.49393117968365, 26.724377992554075, 27.442160434820394, 36.81276260136637, 28.40211343834645, -34.057648593776676, -28.02785775212635, -59.81847534009373]"
"[9, 30, 59, 48, 45, 5, 12, 56, 27, 26, 28, 29, 15, 51, 24, 23, 20, 19, 22, 21, 57, 18, 8, 7, 52, 50, 6, 2, 41, 40, 16, 46, 39, 0, 54, 44, 53, 37, 38, 34, 17, 47, 55, 33, 49, 4, 35, 36, 25, 1, 42, 10, 14, 13, 31, 43, 3, 11, 58, 32]","[90, 77, 0, 73, 26, 5, 40, 20, 84, 82, 86, 79, 6, 85, 88, 66, 89, 88, 72, 82, 4, 34, 98, 91, 44, 7, 90, 8, 91, 87, 91, 28, 88, 45, 58, 32, 68, 91, 88, 91, 36, 65, 0, 73, 44, 0, 94, 85, 55, 12, 20, 81, 91, 9, 22, 5, 22, 80, 0, 60]","[90.0, 97.39354232281823, 115.60473288552886, 131.5717291224294, 221.11101290231272, 206.72413508734707, 681.3261616052955, 69.00548112561185, 72.74842697306815, 75.38687619248294, 74.43213759621179, 68.83633091608107, 73.9629960978393, 68.9731767268593, 77.14258174967075, 72.21222385601487, 73.9784797848989, 74.15275890129816, 73.60747416818566, 68.78146944111124, 65.01232494133461, 59.79313522304331, 76.97879693504169, 80.27931839624095, 68.38051043454774, 57.18317761093647, 58.117594151992584, 54.93574193528559, 57.34703302046275, 57.50664675744239, 58.692742561307945, 55.84807777010802, 72.80902166994963, 102.01850358536659, 86.04838473152974, 55.962373617108, 49.3454941095672, 49.95274166637664, 59.577550586513425, 69.3253289621739, 59.14964004637687, 110.84803568821795, 57.77987945396299, 56.42543068881181, 55.891529082219215, 51.69497702995505, 52.31580893318964, 45.85595402100081, 58.83100608801739, 65.73908971584181, 45.51459923050576, 51.31186955175016, 46.39691834961091, 39.5381822477741, 42.21633127253284, 38.807181538334476, 33.559804061608034, 20.441099684905844, 22.937099681711878]"
