selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 1, 31, 49, 12, 3, 59, 5, 58, 25, 15, 27, 28, 30, 26, 19, 29, 22, 52, 51, 38, 37, 18, 17, 36, 35, 45, 47, 48, 34, 40, 39, 41, 50, 46, 23, 20, 24, 33, 53, 56, 8, 43, 44, 21, 54, 42, 32, 57, 4, 13, 2, 7, 16, 11, 10, 6, 14, 9]","[20, 0, 0, 0, 6, 20, 51, 2, 0, 1, 8, 0, 37, 30, 53, 63, 41, 71, 32, 28, 34, 77, 63, 39, 14, 39, 83, 29, 51, 74, 54, 50, 62, 54, 0, 0, 42, 53, 35, 38, 71, 24, 68, 26, 32, 41, 60, 58, 0, 2, 0, 0, 0, 48, 7, 35, 37, 55, 13, 48]","[20.0, 15.6, 13.6, 12.0, 11.84, 11.78, 26.88, 29.03, 22.22, 14.54, 12.68, 10.26, 26.79, 25.81, 33.91, 38.0, 41.45, 45.79, 41.79, 39.69, 37.93, 48.83, 44.36, 41.59, 46.36, 47.0, 59.33, 53.6, 54.09, 56.38, 47.74, 48.38, 51.23, 49.96, 50.73, 47.81, 42.84, 41.23, 43.07, 39.73, 43.09, 39.36, 34.81, 31.7, 30.45, 16.28, 30.51, 11.77, 9.49, 7.86, 5.57, 5.37, 5.07, 6.56, 5.56, 13.57, 5.16, 12.03, 7.66]"
"[1, 9, 59, 16, 58, 50, 11, 10, 0, 6, 8, 4, 53, 33, 23, 41, 40, 37, 27, 38, 30, 39, 45, 36, 20, 19, 26, 29, 24, 52, 17, 46, 51, 35, 48, 47, 34, 28, 56, 43, 44, 2, 49, 7, 14, 21, 22, 18, 31, 42, 54, 15, 57, 25, 32, 12, 13, 3, 5, 55]","[0, 48, 2, 7, 1, 0, 35, 37, 20, 55, 68, 0, 71, 38, 42, 54, 50, 63, 37, 77, 53, 62, 29, 39, 53, 41, 63, 71, 35, 28, 14, 0, 34, 83, 74, 51, 54, 30, 24, 26, 32, 0, 6, 48, 13, 41, 32, 39, 0, 58, 60, 0, 2, 8, 0, 20, 0, 51, 0, 0]","[0.0, 33.6, 26.8, 25.44, 23.79, 24.51, 30.11, 29.11, 28.0, 36.38, 40.65, 37.57, 55.41, 48.92, 46.51, 51.12, 47.28, 53.4, 48.21, 48.28, 49.29, 51.83, 47.57, 47.41, 49.55, 48.5, 50.35, 49.3, 47.57, 49.07, 48.33, 44.48, 46.33, 49.19, 61.92, 51.89, 43.28, 42.4, 37.18, 31.52, 25.97, 25.25, 23.53, 28.19, 27.59, 36.4, 31.88, 28.45, 22.54, 43.25, 23.58, 18.3, 15.23, 14.79, 11.07, 11.46, 10.89, 14.84, 11.98]"
"[2, 56, 39, 40, 41, 23, 51, 54, 55, 37, 27, 57, 43, 28, 48, 47, 34, 35, 30, 36, 46, 20, 52, 8, 45, 25, 24, 33, 42, 44, 53, 38, 50, 26, 19, 29, 18, 22, 21, 17, 7, 32, 4, 31, 16, 14, 6, 49, 11, 10, 15, 58, 3, 12, 5, 59, 1, 13, 9, 0]","[0, 24, 62, 50, 54, 42, 34, 60, 0, 63, 37, 2, 26, 30, 74, 51, 54, 83, 53, 39, 0, 53, 28, 68, 29, 8, 35, 38, 58, 32, 71, 77, 0, 63, 41, 71, 39, 32, 41, 14, 48, 0, 0, 0, 7, 13, 55, 6, 35, 37, 0, 1, 51, 20, 0, 2, 0, 0, 48, 20]","[0.0, 13.44, 44.16, 50.56, 50.74, 47.16, 43.38, 51.4, 45.58, 46.75, 42.43, 47.0, 42.22, 42.87, 59.27, 54.19, 49.73, 55.91, 53.06, 50.01, 44.93, 44.38, 45.55, 46.03, 45.77, 44.73, 36.78, 37.9, 37.55, 35.92, 27.85, 40.94, 38.39, 45.07, 41.0, 45.42, 45.46, 37.12, 21.02, 9.9, 13.81, 12.26, 5.77, 6.02, 5.61, 6.52, 28.23, 7.62, 16.57, 21.53, 16.44, 11.01, 21.58, 17.46, 17.27, 11.99, 8.99, 5.94, 10.21]"
"[3, 16, 12, 59, 1, 25, 58, 31, 5, 55, 4, 26, 33, 37, 36, 38, 29, 21, 52, 18, 22, 17, 30, 27, 39, 41, 40, 54, 45, 28, 50, 34, 35, 42, 44, 47, 48, 46, 43, 23, 20, 19, 24, 51, 56, 53, 8, 7, 14, 49, 6, 11, 10, 15, 2, 13, 9, 57, 32, 0]","[51, 7, 20, 2, 0, 8, 1, 0, 0, 0, 0, 63, 38, 63, 39, 77, 71, 41, 28, 39, 32, 14, 53, 37, 62, 54, 50, 60, 29, 30, 0, 54, 83, 58, 32, 51, 74, 0, 26, 42, 53, 41, 35, 34, 24, 71, 68, 48, 13, 6, 55, 35, 37, 0, 0, 0, 48, 2, 0, 20]","[51.0, 37.8, 33.8, 36.27, 33.6, 29.39, 22.59, 21.49, 12.89, 10.22, 7.64, 39.07, 41.09, 49.02, 50.81, 48.09, 56.09, 49.63, 51.49, 48.47, 45.96, 50.9, 49.77, 45.82, 59.52, 55.96, 52.36, 56.76, 44.74, 45.92, 42.17, 46.21, 51.67, 54.69, 46.5, 48.68, 45.69, 40.81, 40.01, 40.39, 41.38, 43.12, 42.43, 39.05, 33.04, 29.09, 10.24, 8.37, 10.73, 7.1, 11.19, 19.57, 21.83, 10.5, 10.17, 9.78, 15.52, 9.35, 6.06]"
"[4, 16, 55, 43, 44, 45, 42, 39, 37, 28, 40, 41, 23, 52, 54, 20, 26, 21, 29, 30, 38, 18, 27, 24, 17, 22, 19, 51, 36, 34, 35, 50, 47, 48, 46, 56, 33, 53, 8, 25, 57, 31, 7, 14, 5, 49, 6, 11, 10, 15, 58, 3, 12, 1, 13, 59, 2, 9, 0, 32]","[0, 7, 0, 26, 32, 29, 58, 62, 63, 30, 50, 54, 42, 28, 60, 53, 63, 41, 71, 53, 77, 39, 37, 35, 14, 32, 41, 34, 39, 54, 83, 0, 51, 74, 0, 24, 38, 71, 68, 8, 2, 0, 48, 13, 0, 6, 55, 35, 37, 0, 1, 51, 20, 0, 0, 2, 0, 48, 20, 0]","[0.0, 4.55, 3.85, 19.79, 25.94, 25.01, 33.18, 53.1, 58.57, 54.51, 51.27, 46.53, 46.77, 42.24, 41.94, 39.55, 44.5, 46.68, 55.0, 48.94, 52.09, 47.46, 45.6, 45.14, 43.81, 41.5, 41.48, 42.01, 39.91, 45.1, 53.38, 49.77, 52.45, 44.69, 39.11, 32.44, 34.78, 34.5, 11.74, 9.16, 8.3, 6.33, 9.39, 9.48, 8.85, 6.83, 9.76, 18.97, 19.12, 14.9, 13.19, 17.09, 15.7, 14.61, 14.44, 10.02, 6.33, 6.89, 6.6]"
"[5, 40, 39, 41, 37, 28, 56, 45, 38, 26, 29, 30, 55, 18, 27, 57, 52, 17, 19, 35, 47, 48, 34, 36, 46, 23, 20, 24, 51, 33, 53, 8, 43, 44, 22, 21, 50, 49, 54, 42, 25, 58, 31, 7, 4, 16, 13, 6, 14, 11, 10, 15, 59, 2, 3, 12, 1, 32, 9, 0]","[0, 50, 62, 54, 63, 30, 24, 29, 77, 63, 71, 53, 0, 39, 37, 2, 28, 14, 41, 83, 51, 74, 54, 39, 0, 42, 53, 35, 34, 38, 71, 68, 26, 32, 32, 41, 0, 6, 60, 58, 8, 1, 0, 48, 0, 7, 0, 55, 13, 35, 37, 0, 2, 0, 51, 20, 0, 0, 48, 20]","[0.0, 37.0, 51.46, 53.76, 58.78, 52.81, 53.25, 44.75, 54.58, 61.94, 57.73, 55.1, 52.29, 50.34, 47.02, 44.47, 44.08, 45.98, 45.24, 53.51, 54.44, 58.81, 48.39, 49.09, 43.42, 41.25, 43.31, 41.03, 39.37, 38.19, 35.58, 35.91, 32.25, 28.02, 30.34, 21.68, 17.69, 13.08, 29.56, 9.94, 6.5, 5.91, 3.79, 15.33, 7.56, 2.69, 1.74, 6.04, 4.51, 20.41, 22.83, 10.14, 10.93, 7.37, 15.25, 10.76, 6.22, 7.12, 7.81]"
"[6, 51, 9, 10, 50, 2, 11, 14, 58, 4, 8, 45, 15, 7, 46, 16, 23, 53, 33, 41, 40, 27, 37, 38, 36, 52, 39, 35, 30, 48, 47, 34, 26, 19, 28, 20, 56, 24, 29, 43, 21, 17, 22, 44, 32, 18, 49, 54, 42, 55, 25, 57, 59, 31, 5, 13, 12, 3, 1, 0]","[55, 34, 48, 37, 0, 0, 35, 13, 1, 0, 68, 29, 0, 48, 0, 7, 42, 71, 38, 54, 50, 37, 63, 77, 39, 28, 62, 83, 53, 74, 51, 54, 63, 41, 30, 53, 24, 35, 71, 26, 41, 14, 32, 32, 0, 39, 6, 60, 58, 0, 8, 2, 2, 0, 0, 0, 20, 51, 0, 20]","[55.0, 50.38, 50.59, 49.96, 45.34, 40.95, 40.87, 33.68, 33.59, 29.24, 38.92, 34.93, 37.21, 33.97, 33.53, 34.12, 33.35, 51.36, 41.75, 49.59, 45.4, 42.07, 45.06, 53.41, 49.01, 46.93, 48.02, 52.24, 47.04, 62.29, 47.16, 46.28, 49.0, 45.98, 44.74, 43.84, 45.88, 43.68, 39.81, 35.36, 41.38, 37.19, 31.13, 29.89, 28.42, 25.88, 20.96, 36.22, 20.27, 18.72, 16.86, 14.91, 11.82, 10.82, 5.46, 6.02, 8.93, 16.42, 9.78]"
"[7, 21, 4, 17, 50, 23, 20, 19, 24, 22, 51, 28, 41, 40, 39, 45, 33, 53, 56, 52, 26, 37, 38, 29, 30, 27, 18, 8, 46, 43, 16, 35, 47, 48, 36, 34, 44, 31, 54, 42, 57, 25, 55, 5, 49, 14, 6, 11, 10, 15, 58, 13, 3, 12, 1, 59, 2, 0, 9, 32]","[48, 41, 0, 14, 0, 42, 53, 41, 35, 32, 34, 30, 54, 50, 62, 29, 38, 71, 24, 28, 63, 63, 77, 71, 53, 37, 39, 68, 0, 26, 7, 83, 51, 74, 39, 54, 32, 0, 60, 58, 2, 8, 0, 0, 6, 13, 55, 35, 37, 0, 1, 0, 51, 20, 0, 2, 0, 20, 48, 0]","[48.0, 46.46, 36.19, 36.9, 35.22, 38.77, 44.29, 44.5, 39.17, 32.59, 32.15, 32.48, 46.01, 47.38, 42.67, 47.59, 44.24, 55.66, 37.26, 34.09, 44.24, 47.64, 45.56, 42.47, 44.59, 40.3, 39.53, 43.56, 40.87, 36.63, 40.07, 48.56, 56.03, 58.4, 48.09, 30.27, 27.43, 23.11, 34.61, 15.33, 15.01, 8.0, 6.96, 5.43, 5.49, 8.01, 7.89, 21.57, 21.02, 13.85, 10.3, 11.2, 16.99, 18.32, 16.64, 9.05, 4.77, 6.24, 7.36]"
"[8, 15, 7, 6, 33, 46, 14, 43, 23, 20, 24, 19, 51, 26, 38, 37, 30, 29, 18, 27, 52, 16, 17, 39, 40, 41, 35, 47, 36, 48, 34, 28, 45, 53, 56, 50, 21, 22, 32, 44, 54, 42, 49, 4, 25, 58, 11, 55, 3, 12, 1, 10, 31, 59, 5, 2, 57, 13, 9, 0]","[68, 0, 48, 55, 38, 0, 13, 26, 42, 53, 35, 41, 34, 63, 77, 63, 53, 71, 39, 37, 28, 7, 14, 62, 50, 54, 83, 51, 39, 74, 54, 30, 29, 71, 24, 0, 41, 32, 0, 32, 60, 58, 6, 0, 8, 1, 35, 0, 51, 20, 0, 37, 0, 2, 0, 0, 2, 0, 48, 20]","[68.0, 53.04, 48.88, 54.18, 53.82, 44.97, 47.48, 44.12, 39.4, 46.12, 42.43, 42.43, 41.03, 52.36, 66.08, 56.39, 52.01, 56.04, 54.85, 48.86, 49.34, 47.07, 46.94, 53.31, 52.2, 46.19, 56.28, 53.6, 51.5, 48.34, 43.81, 40.73, 41.92, 40.21, 40.79, 35.26, 38.98, 32.79, 30.14, 30.07, 36.95, 28.02, 20.24, 17.58, 16.26, 14.51, 14.07, 13.55, 22.32, 22.02, 18.07, 17.63, 15.22, 14.92, 13.45, 11.03, 8.5, 8.91, 9.34]"
"[9, 30, 26, 52, 27, 29, 57, 22, 49, 51, 28, 38, 37, 36, 35, 47, 48, 50, 34, 39, 41, 40, 46, 45, 19, 23, 20, 24, 33, 56, 53, 8, 43, 31, 44, 21, 17, 58, 18, 2, 42, 54, 15, 6, 14, 7, 25, 4, 11, 16, 59, 10, 32, 5, 55, 0, 12, 3, 1, 13]","[48, 53, 63, 28, 37, 71, 2, 32, 6, 34, 30, 77, 63, 39, 83, 51, 74, 0, 54, 62, 54, 50, 0, 29, 41, 42, 53, 35, 38, 24, 71, 68, 26, 0, 32, 41, 14, 1, 39, 0, 58, 60, 0, 55, 13, 48, 8, 0, 35, 7, 2, 37, 0, 0, 0, 20, 20, 51, 0, 0]","[48.0, 51.7, 58.25, 56.85, 55.31, 58.22, 53.78, 46.87, 47.21, 42.44, 44.07, 56.4, 51.27, 44.93, 48.81, 50.28, 58.37, 52.03, 51.12, 59.51, 56.37, 45.94, 44.82, 43.26, 41.55, 41.22, 44.4, 39.21, 39.08, 38.06, 35.9, 35.78, 36.03, 29.76, 26.53, 31.51, 21.83, 21.61, 21.29, 19.32, 35.25, 17.44, 16.68, 27.04, 23.9, 22.3, 21.3, 20.97, 21.8, 18.26, 13.74, 15.12, 8.64, 9.98, 5.55, 7.84, 8.46, 18.38, 6.53]"
