selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 1, 31, 49, 53, 52, 56, 33, 37, 26, 36, 34, 35, 48, 27, 23, 47, 41, 40, 39, 44, 45, 28, 43, 59, 8, 50, 51, 42, 25, 46, 29, 4, 38, 18, 30, 17, 19, 20, 21, 12, 16, 24, 22, 7, 57, 11, 10, 15, 6, 14, 54, 58, 5, 2, 32, 3, 13, 9]","[1, 0, 0, 0, 1, 28, 30, 11, 27, 52, 4, 57, 38, 42, 26, 1, 0, 25, 48, 59, 56, 9, 2, 4, 4, 0, 14, 0, 1, 0, 0, 0, 0, 0, 57, 0, 10, 0, 2, 0, 0, 0, 0, 0, 0, 11, 0, 2, 6, 0, 28, 0, 14, 0, 0, 0, 0, 0, 0, 2]","[1.0, 0.78, 0.68, 0.6, 0.75, 18.71, 27.34, 21.46, 24.83, 37.05, 29.16, 36.23, 35.33, 38.17, 40.57, 32.37, 31.51, 22.44, 38.82, 47.08, 26.4, 17.48, 16.71, 11.42, 7.56, 7.29, 7.37, 6.02, 5.04, 4.48, 4.66, 4.41, 2.5, 2.18, 11.1, 5.28, 5.2, 3.85, 3.26, 3.64, 2.24, 1.83, 1.51, 1.29, 0.62, 1.95, 1.05, 1.43, 2.3, 1.54, 5.53, 4.03, 5.59, 3.82, 1.34, 1.37, 1.05, 0.42, 0.47]"
"[1, 9, 59, 16, 58, 50, 11, 10, 15, 8, 23, 34, 56, 48, 47, 35, 52, 40, 41, 45, 39, 53, 28, 33, 37, 26, 36, 27, 42, 51, 44, 43, 46, 25, 17, 18, 29, 4, 38, 30, 31, 21, 57, 19, 20, 49, 12, 22, 13, 7, 14, 54, 55, 5, 24, 3, 6, 2, 0, 32]","[0, 2, 0, 0, 0, 0, 2, 6, 0, 14, 0, 38, 11, 26, 25, 42, 30, 59, 48, 2, 56, 28, 4, 27, 52, 4, 57, 1, 0, 1, 9, 4, 0, 0, 0, 0, 0, 0, 57, 10, 0, 0, 0, 2, 0, 1, 0, 0, 0, 11, 0, 14, 0, 0, 0, 0, 28, 0, 1, 0]","[0.0, 1.4, 1.1, 0.98, 0.88, 1.0, 1.48, 3.92, 2.8, 8.72, 5.42, 21.36, 19.46, 23.93, 22.64, 29.19, 27.67, 47.21, 33.38, 34.82, 39.65, 38.93, 24.19, 18.98, 27.5, 24.74, 22.93, 10.84, 6.52, 7.34, 7.58, 5.65, 6.43, 6.23, 3.95, 3.31, 3.06, 2.99, 8.44, 3.91, 4.63, 3.98, 4.74, 3.5, 2.96, 2.76, 2.32, 1.75, 1.36, 2.18, 1.41, 3.55, 1.18, 1.28, 0.85, 0.81, 1.16, 0.4, 0.45]"
"[2, 56, 39, 23, 40, 41, 45, 27, 48, 53, 47, 33, 52, 28, 54, 55, 57, 34, 44, 42, 35, 36, 37, 26, 25, 17, 43, 51, 38, 29, 18, 50, 30, 59, 8, 46, 21, 12, 31, 24, 20, 16, 49, 22, 15, 19, 58, 4, 7, 32, 1, 9, 14, 3, 10, 11, 5, 6, 0, 13]","[0, 11, 56, 0, 59, 48, 2, 1, 26, 28, 25, 27, 30, 4, 14, 0, 0, 38, 9, 0, 42, 57, 52, 4, 0, 0, 4, 1, 57, 0, 0, 0, 10, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 11, 0, 0, 2, 0, 0, 6, 2, 0, 28, 1, 0]","[0.0, 6.16, 37.05, 32.12, 52.1, 45.36, 37.52, 29.54, 31.23, 27.79, 26.49, 26.3, 15.12, 12.3, 13.87, 9.76, 11.36, 10.19, 8.45, 8.26, 14.99, 27.13, 15.9, 11.64, 7.86, 7.98, 5.78, 4.19, 18.58, 8.53, 7.29, 7.1, 4.03, 4.24, 3.35, 2.9, 4.13, 3.37, 2.76, 2.96, 1.53, 1.18, 0.57, 0.47, 0.88, 0.35, 0.16, 0.14, 1.02, 0.8, 0.86, 0.41, 0.17, 0.15, 3.4, 0.96, 0.7, 0.42, 0.4]"
"[3, 16, 0, 49, 17, 34, 52, 48, 47, 36, 56, 25, 35, 40, 41, 39, 37, 28, 33, 23, 26, 53, 44, 27, 45, 59, 42, 51, 43, 55, 50, 8, 46, 29, 38, 18, 21, 30, 19, 20, 31, 12, 22, 24, 4, 7, 57, 9, 11, 10, 14, 15, 58, 13, 6, 5, 54, 2, 32, 1]","[0, 0, 1, 1, 0, 38, 30, 26, 25, 57, 11, 0, 42, 59, 48, 56, 52, 4, 27, 0, 4, 28, 9, 1, 2, 0, 0, 1, 4, 0, 0, 14, 0, 0, 57, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 11, 0, 2, 2, 6, 0, 0, 0, 0, 28, 0, 14, 0, 0, 0]","[0.0, 0.0, 0.61, 0.84, 0.67, 24.49, 29.9, 27.78, 27.85, 37.31, 36.49, 31.71, 26.17, 41.16, 39.57, 43.66, 47.22, 38.1, 41.98, 28.94, 26.34, 25.0, 18.17, 17.28, 10.88, 9.56, 8.99, 8.28, 3.73, 4.08, 2.91, 5.76, 3.79, 2.26, 9.97, 5.19, 4.96, 5.33, 4.16, 3.7, 1.95, 1.83, 1.4, 1.03, 1.04, 1.66, 1.17, 1.73, 1.79, 2.33, 2.62, 1.31, 1.15, 0.99, 3.99, 2.14, 1.74, 0.75, 0.17]"
"[4, 16, 0, 13, 12, 49, 17, 29, 10, 11, 59, 8, 44, 45, 43, 23, 7, 50, 42, 34, 48, 47, 35, 52, 40, 41, 39, 33, 28, 53, 56, 37, 26, 36, 27, 51, 25, 14, 15, 57, 46, 38, 18, 30, 31, 21, 19, 20, 55, 24, 9, 58, 5, 54, 22, 6, 2, 3, 1, 32]","[0, 0, 1, 0, 0, 1, 0, 0, 6, 2, 0, 14, 9, 2, 4, 0, 11, 0, 0, 38, 26, 25, 42, 30, 59, 48, 56, 27, 4, 28, 11, 52, 4, 57, 1, 1, 0, 0, 0, 0, 0, 57, 0, 10, 0, 0, 2, 0, 0, 0, 2, 0, 0, 14, 0, 28, 0, 0, 0, 0]","[0.0, 0.0, 0.6, 0.56, 0.57, 0.82, 0.54, 0.47, 4.13, 3.23, 2.73, 10.59, 9.83, 7.25, 6.9, 5.36, 6.15, 5.27, 4.27, 25.19, 25.31, 21.81, 31.44, 33.3, 51.49, 38.86, 44.28, 44.58, 31.5, 29.69, 24.06, 28.8, 25.47, 22.27, 8.66, 3.5, 2.75, 2.44, 2.35, 2.56, 2.16, 10.01, 4.44, 3.49, 3.84, 3.95, 2.75, 2.15, 1.33, 1.41, 1.51, 1.35, 1.24, 1.33, 0.76, 2.16, 0.91, 0.34, 0.15]"
"[5, 40, 39, 41, 37, 53, 27, 44, 47, 56, 23, 52, 48, 33, 54, 38, 55, 36, 34, 35, 50, 26, 17, 45, 28, 25, 29, 57, 43, 18, 30, 8, 42, 51, 31, 20, 15, 46, 21, 7, 4, 16, 49, 19, 59, 24, 9, 11, 14, 58, 10, 12, 13, 6, 2, 3, 32, 0, 22, 1]","[0, 59, 56, 48, 52, 28, 1, 9, 25, 11, 0, 30, 26, 27, 14, 57, 0, 57, 38, 42, 0, 4, 0, 2, 4, 0, 0, 0, 4, 0, 10, 14, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0, 1, 2, 0, 0, 2, 2, 0, 0, 6, 0, 0, 28, 0, 0, 0, 1, 0, 0]","[0.0, 43.66, 55.06, 52.48, 53.85, 52.18, 47.47, 39.69, 35.27, 30.54, 29.27, 25.82, 26.6, 26.45, 25.14, 28.04, 29.62, 40.94, 34.92, 26.79, 27.34, 22.37, 17.64, 15.93, 17.65, 12.2, 10.69, 8.68, 6.89, 6.44, 5.51, 7.28, 6.34, 3.94, 3.74, 3.2, 2.29, 2.29, 1.5, 4.73, 2.92, 2.39, 2.52, 2.41, 1.21, 0.92, 1.0, 1.39, 1.01, 0.92, 1.38, 0.85, 0.75, 1.11, 0.6, 0.63, 0.24, 0.06, 0.16]"
"[6, 51, 9, 14, 46, 11, 49, 50, 5, 55, 8, 40, 41, 56, 52, 47, 45, 39, 53, 37, 27, 23, 48, 33, 34, 35, 36, 28, 26, 43, 18, 25, 10, 4, 44, 15, 7, 17, 58, 16, 42, 12, 54, 57, 3, 29, 59, 38, 30, 21, 20, 31, 22, 24, 32, 2, 1, 13, 19, 0]","[28, 1, 2, 0, 0, 2, 1, 0, 0, 0, 14, 59, 48, 11, 30, 25, 2, 56, 28, 52, 1, 0, 26, 27, 38, 42, 57, 4, 4, 4, 0, 0, 6, 0, 9, 0, 11, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 57, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1]","[28.0, 22.06, 18.95, 18.2, 15.3, 12.05, 9.68, 10.61, 7.63, 7.16, 9.27, 46.22, 48.4, 44.49, 42.35, 35.14, 38.34, 32.52, 30.91, 40.59, 33.5, 28.64, 24.59, 23.03, 25.24, 20.47, 19.03, 10.99, 10.42, 9.87, 8.33, 6.85, 6.9, 5.7, 5.49, 6.25, 5.42, 6.66, 5.23, 4.88, 4.63, 2.62, 3.97, 2.84, 3.06, 2.36, 1.86, 6.99, 4.66, 3.3, 2.06, 1.53, 1.18, 1.73, 1.74, 0.49, 0.36, 0.36, 0.26]"
"[7, 21, 4, 50, 13, 8, 43, 44, 45, 34, 36, 56, 48, 35, 47, 25, 52, 27, 53, 33, 37, 26, 41, 40, 39, 23, 28, 51, 42, 16, 46, 18, 11, 59, 29, 38, 17, 30, 12, 24, 31, 20, 57, 55, 14, 15, 49, 54, 22, 19, 58, 9, 10, 3, 6, 5, 2, 32, 1, 0]","[11, 0, 0, 0, 0, 14, 4, 9, 2, 38, 57, 11, 26, 42, 25, 0, 30, 1, 28, 27, 52, 4, 48, 59, 56, 0, 4, 1, 0, 0, 0, 0, 2, 0, 0, 57, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 0, 2, 0, 2, 6, 0, 28, 0, 0, 0, 0, 1]","[11.0, 8.58, 7.7, 5.72, 5.39, 10.45, 8.39, 9.62, 6.04, 21.87, 34.07, 38.72, 41.15, 36.17, 36.41, 32.15, 33.47, 18.02, 22.36, 25.5, 26.4, 21.99, 38.58, 46.88, 24.26, 14.86, 8.31, 5.9, 4.99, 4.84, 4.01, 3.37, 4.91, 3.37, 1.81, 6.65, 6.84, 4.19, 3.67, 4.63, 3.79, 2.89, 1.64, 1.59, 1.22, 2.95, 1.93, 1.71, 1.52, 1.43, 0.93, 1.16, 1.05, 1.17, 2.81, 1.54, 1.19, 0.63, 0.38]"
"[8, 15, 7, 6, 14, 20, 2, 50, 11, 25, 40, 41, 56, 52, 45, 47, 39, 27, 33, 48, 53, 37, 23, 35, 34, 26, 36, 28, 44, 42, 18, 43, 46, 10, 51, 58, 5, 4, 55, 59, 17, 16, 32, 49, 29, 54, 57, 3, 30, 38, 31, 21, 12, 22, 9, 24, 0, 13, 19, 1]","[14, 0, 11, 28, 0, 0, 0, 0, 2, 0, 59, 48, 11, 30, 2, 25, 56, 1, 27, 26, 28, 52, 0, 42, 38, 4, 57, 4, 9, 0, 0, 4, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14, 0, 0, 10, 57, 0, 0, 0, 0, 2, 0, 1, 0, 2, 0]","[14.0, 10.92, 10.6, 21.82, 18.17, 13.71, 14.14, 13.66, 10.11, 10.44, 41.16, 47.68, 41.11, 38.2, 33.75, 32.83, 35.9, 32.96, 31.49, 29.38, 15.47, 25.89, 18.71, 27.87, 18.38, 20.13, 14.12, 13.72, 12.18, 10.15, 9.99, 8.03, 8.6, 8.53, 7.8, 8.96, 5.5, 5.22, 3.88, 4.55, 4.08, 2.94, 2.76, 2.29, 1.9, 3.98, 1.79, 1.36, 2.3, 4.34, 3.01, 1.53, 1.22, 1.23, 1.04, 0.7, 0.47, 0.35, 0.1]"
"[9, 30, 26, 27, 54, 42, 55, 57, 25, 17, 44, 45, 43, 34, 48, 47, 52, 40, 41, 53, 39, 33, 56, 28, 35, 37, 23, 36, 51, 8, 50, 46, 38, 29, 18, 31, 59, 21, 19, 20, 22, 15, 16, 7, 4, 24, 49, 11, 12, 14, 10, 58, 13, 6, 5, 2, 3, 1, 0, 32]","[2, 10, 4, 1, 14, 0, 0, 0, 0, 0, 9, 2, 4, 38, 26, 25, 30, 59, 48, 28, 56, 27, 11, 4, 42, 52, 0, 57, 1, 14, 0, 0, 57, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 11, 0, 0, 1, 2, 0, 0, 6, 0, 0, 28, 0, 0, 0, 0, 1, 0]","[2.0, 7.92, 6.84, 5.39, 10.46, 8.74, 7.43, 5.82, 5.4, 4.39, 8.23, 6.06, 4.34, 24.73, 24.98, 17.77, 21.89, 46.98, 36.71, 43.83, 33.95, 32.31, 13.0, 7.83, 18.04, 21.47, 20.13, 8.47, 7.83, 8.26, 6.65, 4.11, 19.43, 11.16, 6.05, 3.99, 4.82, 5.39, 3.59, 2.5, 2.64, 1.72, 1.33, 4.46, 1.11, 2.31, 1.55, 1.61, 1.57, 0.93, 1.58, 1.27, 0.89, 3.69, 2.66, 1.31, 0.98, 0.58, 0.46]"
