selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 1, 4, 2, 13, 33, 3, 6, 11, 9, 8, 10, 15, 14, 32, 31, 46, 49, 17, 5, 12, 25, 16, 57, 7, 50, 58, 48, 18, 21, 22, 19, 24, 20, 23, 29, 38, 30, 26, 27, 28, 51, 37, 35, 53, 52, 36, 40, 44, 34, 45, 41, 47, 54, 42, 43, 59, 39, 56]","[95, 0, 98, 33, 97, 63, 1, 10, 95, 97, 80, 39, 98, 10, 49, 99, 55, 16, 99, 7, 71, 50, 16, 98, 1, 28, 0, 1, 8, 92, 99, 97, 99, 85, 82, 4, 99, 19, 99, 99, 99, 97, 4, 50, 43, 3, 1, 1, 9, 2, 2, 2, 7, 9, 56, 2, 1, 0, 2, 2]","[95.0, 74.1, 91.1, 89.46, 88.27, 85.06, 79.07, 74.17, 80.09, 82.83, 80.06, 76.24, 74.06, 71.15, 58.92, 76.02, 61.27, 59.7, 73.44, 54.47, 53.52, 46.08, 44.91, 50.7, 44.23, 43.34, 31.45, 29.68, 24.44, 39.96, 75.72, 62.09, 64.79, 76.8, 73.56, 60.56, 70.14, 49.66, 74.63, 65.88, 92.17, 46.79, 32.86, 30.33, 29.79, 23.75, 15.61, 15.56, 15.1, 11.94, 15.01, 12.76, 10.0, 6.91, 15.19, 6.69, 8.46, 7.8, 2.89]"
"[1, 9, 25, 2, 3, 57, 10, 11, 15, 6, 0, 13, 46, 31, 58, 8, 14, 32, 49, 17, 5, 12, 4, 53, 7, 50, 16, 48, 59, 18, 21, 22, 19, 24, 20, 23, 29, 38, 30, 26, 27, 28, 51, 37, 35, 52, 33, 36, 45, 40, 41, 44, 34, 54, 55, 47, 42, 39, 43, 56]","[98, 80, 16, 97, 10, 1, 98, 97, 10, 95, 95, 63, 16, 55, 1, 39, 49, 99, 99, 7, 71, 50, 33, 3, 28, 0, 98, 8, 0, 92, 99, 97, 99, 85, 82, 4, 99, 19, 99, 99, 99, 97, 4, 50, 43, 1, 1, 1, 2, 9, 7, 2, 2, 56, 0, 9, 2, 2, 1, 2]","[98.0, 94.04, 87.68, 93.01, 88.37, 81.02, 84.59, 86.63, 71.66, 72.7, 75.61, 68.95, 70.67, 63.57, 73.62, 67.71, 58.6, 56.07, 64.93, 53.36, 53.94, 51.84, 42.35, 41.0, 35.97, 30.16, 29.38, 21.82, 22.25, 34.88, 69.65, 56.49, 64.22, 73.12, 75.09, 59.45, 70.39, 47.88, 74.42, 60.26, 88.32, 56.8, 32.35, 28.85, 24.36, 19.27, 16.79, 14.14, 15.38, 11.72, 11.68, 10.71, 10.72, 20.87, 10.6, 10.6, 4.81, 4.96, 2.86]"
"[2, 56, 0, 6, 10, 11, 21, 22, 19, 51, 17, 15, 31, 14, 32, 1, 3, 5, 9, 29, 12, 13, 46, 38, 58, 8, 24, 20, 23, 4, 49, 18, 16, 50, 57, 30, 26, 27, 28, 7, 25, 53, 37, 35, 48, 52, 40, 36, 45, 41, 55, 34, 33, 54, 42, 59, 47, 43, 44, 39]","[97, 2, 95, 95, 98, 97, 99, 97, 99, 4, 7, 10, 55, 49, 99, 98, 10, 71, 80, 99, 50, 63, 16, 19, 1, 39, 85, 82, 4, 33, 99, 92, 98, 0, 1, 99, 99, 99, 97, 28, 16, 3, 50, 43, 8, 1, 9, 1, 2, 7, 0, 2, 1, 56, 2, 0, 9, 1, 2, 2]","[97.0, 76.1, 90.56, 94.89, 96.81, 96.54, 97.86, 97.29, 97.48, 96.9, 96.16, 92.38, 86.74, 77.31, 81.57, 77.88, 76.34, 79.56, 74.15, 76.59, 71.71, 71.41, 67.67, 63.78, 65.84, 58.09, 68.5, 68.84, 63.49, 58.89, 63.76, 55.21, 51.87, 48.28, 54.91, 74.9, 75.63, 90.59, 50.23, 50.8, 35.65, 30.07, 33.4, 32.84, 23.59, 17.2, 14.98, 16.65, 12.73, 13.64, 10.17, 10.25, 8.05, 16.87, 8.93, 8.23, 9.92, 6.84, 5.84]"
"[3, 16, 42, 45, 9, 11, 10, 6, 14, 0, 2, 12, 49, 15, 8, 58, 32, 1, 13, 4, 31, 5, 17, 46, 25, 7, 57, 50, 48, 59, 18, 22, 21, 19, 29, 38, 24, 20, 23, 51, 26, 30, 28, 27, 53, 35, 37, 52, 33, 34, 40, 36, 41, 54, 55, 44, 47, 39, 43, 56]","[10, 98, 2, 2, 80, 97, 98, 95, 49, 95, 97, 50, 99, 10, 39, 1, 99, 98, 63, 33, 55, 71, 7, 16, 16, 28, 1, 0, 8, 0, 92, 97, 99, 99, 99, 19, 85, 82, 4, 4, 99, 99, 97, 99, 3, 43, 50, 1, 1, 2, 9, 1, 7, 56, 0, 2, 9, 2, 1, 2]","[10.0, 75.12, 51.36, 47.12, 60.28, 88.45, 79.5, 75.47, 84.6, 90.06, 87.37, 83.43, 75.95, 77.17, 74.4, 68.7, 80.45, 79.64, 76.92, 74.96, 60.39, 59.13, 58.47, 46.07, 38.8, 40.81, 37.58, 27.72, 26.12, 24.28, 37.36, 76.2, 63.32, 60.96, 58.6, 56.01, 74.75, 70.57, 58.53, 48.6, 65.24, 71.3, 91.05, 41.46, 28.06, 29.54, 24.01, 15.9, 15.75, 12.07, 11.37, 9.16, 9.92, 19.87, 9.02, 7.91, 6.13, 5.83, 2.75]"
"[4, 16, 55, 45, 9, 10, 11, 2, 0, 1, 12, 6, 14, 8, 32, 13, 31, 5, 15, 3, 46, 49, 17, 25, 57, 7, 50, 58, 48, 18, 21, 22, 29, 19, 24, 20, 26, 30, 27, 28, 51, 38, 23, 53, 37, 35, 36, 52, 41, 33, 34, 40, 44, 47, 54, 42, 59, 43, 39, 56]","[33, 98, 0, 2, 80, 98, 97, 97, 95, 98, 50, 95, 49, 39, 99, 63, 55, 71, 10, 10, 16, 99, 7, 16, 1, 28, 0, 1, 8, 92, 99, 97, 99, 99, 85, 82, 99, 99, 99, 97, 4, 19, 4, 3, 50, 43, 1, 1, 7, 1, 2, 9, 2, 9, 56, 2, 0, 1, 2, 2]","[33.0, 75.25, 63.8, 60.4, 68.96, 83.85, 80.18, 88.18, 83.92, 84.78, 86.42, 86.28, 79.99, 77.57, 81.04, 77.04, 68.72, 67.28, 66.02, 63.3, 61.28, 68.8, 52.83, 47.51, 46.55, 39.06, 29.71, 31.36, 23.28, 42.24, 78.16, 58.4, 63.15, 58.78, 77.89, 73.46, 82.63, 83.18, 95.83, 75.12, 80.26, 66.99, 42.42, 33.96, 30.49, 24.24, 16.76, 13.43, 15.22, 13.98, 10.09, 8.87, 8.65, 7.22, 16.17, 8.88, 5.37, 5.12, 2.67]"
"[5, 40, 1, 3, 14, 2, 15, 6, 8, 46, 4, 49, 17, 0, 32, 31, 13, 25, 9, 11, 10, 58, 12, 16, 57, 50, 7, 48, 21, 22, 29, 18, 19, 38, 23, 43, 51, 45, 24, 20, 26, 30, 27, 28, 53, 35, 37, 36, 33, 52, 59, 34, 41, 54, 55, 42, 47, 39, 44, 56]","[71, 9, 98, 10, 49, 97, 10, 95, 39, 16, 33, 99, 7, 95, 99, 55, 63, 16, 80, 97, 98, 1, 50, 98, 1, 0, 28, 8, 99, 97, 99, 92, 99, 19, 4, 1, 4, 2, 85, 82, 99, 99, 99, 97, 3, 43, 50, 1, 1, 1, 0, 2, 7, 56, 0, 2, 9, 2, 2, 2]","[71.0, 57.36, 82.67, 69.76, 63.68, 76.5, 64.04, 71.94, 65.14, 60.56, 55.46, 78.89, 69.61, 62.23, 74.67, 71.06, 63.17, 66.39, 61.13, 81.84, 63.08, 56.0, 48.64, 45.49, 46.67, 42.27, 31.51, 30.31, 70.09, 63.62, 60.07, 47.68, 57.51, 56.28, 38.94, 36.57, 28.31, 25.38, 42.61, 44.34, 56.28, 66.31, 84.84, 39.9, 35.09, 37.17, 26.42, 16.79, 14.72, 13.77, 13.54, 10.21, 9.64, 25.23, 12.36, 9.65, 6.15, 4.1, 3.09]"
"[6, 51, 9, 10, 0, 2, 15, 12, 14, 8, 32, 13, 31, 1, 5, 3, 46, 49, 17, 16, 4, 57, 25, 11, 59, 7, 50, 58, 47, 18, 22, 21, 29, 19, 38, 24, 20, 23, 26, 30, 28, 27, 53, 37, 35, 52, 36, 45, 33, 40, 48, 41, 54, 55, 44, 34, 42, 39, 43, 56]","[95, 4, 80, 98, 95, 97, 10, 50, 49, 39, 99, 63, 55, 98, 71, 10, 16, 99, 7, 98, 33, 1, 16, 97, 0, 28, 0, 1, 9, 92, 97, 99, 99, 99, 19, 85, 82, 4, 99, 99, 97, 99, 3, 50, 43, 1, 1, 2, 1, 9, 8, 7, 56, 0, 2, 2, 2, 2, 1, 2]","[95.0, 74.98, 80.95, 88.49, 94.25, 92.87, 86.65, 84.7, 81.31, 72.49, 83.26, 75.57, 76.39, 70.11, 67.18, 69.26, 63.52, 71.51, 65.46, 74.05, 72.97, 50.88, 56.79, 45.48, 41.88, 37.84, 35.09, 28.4, 23.86, 36.92, 77.24, 74.56, 60.19, 65.17, 48.81, 66.38, 67.21, 55.13, 68.07, 71.92, 88.25, 48.71, 35.54, 37.49, 27.24, 17.92, 17.78, 16.82, 14.85, 15.05, 13.37, 12.77, 27.18, 15.68, 11.72, 11.93, 5.6, 6.54, 2.28]"
"[7, 21, 18, 22, 29, 24, 19, 26, 51, 17, 28, 27, 52, 30, 20, 23, 38, 46, 57, 32, 13, 31, 0, 1, 2, 3, 49, 5, 33, 9, 10, 11, 6, 4, 8, 15, 14, 25, 58, 12, 16, 50, 37, 53, 35, 48, 36, 45, 40, 59, 34, 41, 44, 54, 55, 47, 42, 39, 43, 56]","[28, 99, 92, 97, 99, 85, 99, 99, 4, 7, 97, 99, 1, 99, 82, 4, 19, 16, 1, 99, 63, 55, 95, 98, 97, 10, 99, 71, 1, 80, 98, 97, 95, 33, 39, 10, 49, 16, 1, 50, 98, 0, 50, 3, 43, 8, 1, 2, 9, 0, 2, 7, 2, 56, 0, 9, 2, 2, 1, 2]","[28.0, 80.54, 93.49, 89.8, 89.23, 88.63, 89.64, 93.92, 92.68, 81.42, 87.66, 84.94, 83.63, 56.26, 51.53, 58.18, 39.26, 34.54, 28.5, 70.49, 74.07, 71.26, 67.45, 81.41, 77.81, 69.72, 62.06, 62.0, 54.6, 64.12, 81.52, 84.47, 74.94, 62.02, 63.03, 58.22, 54.09, 45.64, 43.91, 41.56, 40.27, 30.27, 32.67, 28.12, 26.84, 22.09, 13.68, 13.44, 13.32, 13.94, 11.58, 12.26, 8.69, 18.66, 10.87, 10.55, 5.33, 4.91, 2.08]"
"[8, 15, 7, 33, 6, 14, 32, 31, 5, 1, 3, 13, 25, 2, 0, 9, 49, 21, 22, 17, 29, 38, 18, 57, 11, 10, 58, 12, 24, 19, 23, 46, 51, 4, 20, 30, 26, 28, 27, 16, 50, 37, 53, 35, 52, 48, 36, 45, 40, 47, 55, 41, 34, 43, 59, 39, 54, 42, 44, 56]","[39, 10, 28, 1, 95, 49, 99, 55, 71, 98, 10, 63, 16, 97, 95, 80, 99, 99, 97, 7, 99, 19, 92, 1, 97, 98, 1, 50, 85, 99, 4, 16, 4, 33, 82, 99, 99, 97, 99, 98, 0, 50, 3, 43, 1, 8, 1, 2, 9, 9, 0, 7, 2, 1, 0, 2, 56, 2, 2, 2]","[39.0, 32.62, 29.82, 28.73, 67.8, 71.08, 82.83, 76.52, 77.27, 80.69, 73.38, 62.1, 66.77, 73.84, 72.19, 60.48, 68.05, 87.07, 93.43, 74.92, 62.44, 51.9, 51.15, 50.47, 82.98, 58.51, 57.57, 47.81, 72.94, 77.31, 57.21, 52.79, 46.56, 42.22, 45.21, 71.35, 70.45, 86.53, 45.54, 45.5, 42.85, 39.76, 35.01, 35.77, 24.88, 17.41, 17.05, 14.78, 13.27, 12.54, 10.95, 11.08, 12.01, 9.76, 6.03, 5.98, 14.49, 8.22, 3.19]"
"[9, 30, 26, 27, 28, 37, 24, 51, 35, 29, 21, 22, 17, 19, 20, 2, 1, 3, 38, 8, 5, 6, 14, 46, 10, 11, 15, 0, 32, 4, 23, 31, 13, 49, 18, 7, 58, 53, 25, 12, 16, 50, 47, 57, 52, 33, 36, 41, 45, 59, 48, 44, 34, 40, 54, 55, 42, 39, 43, 56]","[80, 99, 99, 99, 97, 50, 85, 4, 43, 99, 99, 97, 7, 99, 82, 97, 98, 10, 19, 39, 71, 95, 49, 16, 98, 97, 10, 95, 99, 33, 4, 55, 63, 99, 92, 28, 1, 3, 16, 50, 98, 0, 9, 1, 1, 1, 1, 7, 2, 0, 8, 2, 2, 9, 56, 0, 2, 2, 1, 2]","[80.0, 94.06, 98.05, 99.0, 97.17, 96.24, 94.25, 89.21, 87.89, 87.75, 93.97, 88.45, 82.17, 78.73, 70.39, 85.07, 91.17, 76.53, 75.43, 70.52, 68.16, 75.46, 69.2, 66.45, 84.77, 86.22, 68.85, 71.02, 65.37, 69.42, 64.07, 63.01, 55.97, 56.82, 54.06, 59.93, 53.08, 47.84, 46.79, 43.06, 42.08, 32.81, 32.24, 23.26, 18.19, 20.24, 16.17, 17.21, 14.36, 10.64, 11.45, 11.39, 11.61, 9.01, 24.86, 11.28, 6.01, 2.96, 2.75]"
