selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 1, 4, 2, 13, 5, 32, 31, 48, 3, 21, 9, 14, 6, 10, 15, 7, 49, 25, 57, 22, 11, 12, 46, 17, 18, 50, 23, 20, 16, 29, 19, 24, 51, 59, 8, 53, 47, 30, 34, 45, 58, 27, 28, 26, 35, 38, 37, 33, 43, 44, 42, 54, 39, 56, 40, 36, 52, 41]","[50, 11, 54, 31, 48, 46, 52, 59, 6, 8, 25, 31, 57, 57, 47, 47, 37, 22, 53, 37, 0, 13, 24, 33, 8, 29, 41, 10, 21, 20, 51, 13, 30, 26, 9, 0, 40, 10, 9, 14, 1, 7, 0, 14, 18, 9, 3, 11, 13, 8, 18, 30, 36, 24, 6, 5, 5, 11, 16, 6]","[50.0, 41.42, 50.06, 49.12, 47.64, 47.56, 47.36, 53.6, 45.56, 39.82, 42.47, 41.49, 42.16, 48.05, 43.09, 42.96, 39.11, 38.42, 39.88, 39.02, 34.89, 33.94, 30.22, 30.46, 29.48, 27.97, 26.66, 23.04, 22.79, 22.91, 21.72, 22.04, 22.27, 17.81, 16.86, 18.23, 17.26, 18.39, 17.0, 14.47, 16.42, 13.44, 13.64, 13.23, 14.11, 11.5, 10.87, 11.03, 10.61, 9.81, 16.06, 17.81, 20.11, 11.58, 11.93, 9.62, 9.48, 7.58, 7.33]"
"[1, 9, 59, 0, 46, 2, 31, 4, 6, 49, 29, 15, 16, 57, 10, 11, 12, 8, 32, 7, 5, 13, 14, 25, 3, 47, 18, 17, 22, 50, 24, 23, 20, 19, 34, 51, 21, 53, 58, 38, 45, 37, 30, 27, 28, 26, 36, 48, 35, 33, 43, 44, 42, 54, 56, 39, 55, 40, 52, 41]","[54, 57, 0, 50, 8, 48, 6, 31, 47, 53, 13, 37, 51, 0, 47, 24, 33, 40, 59, 22, 52, 46, 57, 37, 25, 9, 41, 29, 13, 10, 26, 21, 20, 30, 1, 9, 31, 10, 0, 11, 7, 13, 14, 14, 18, 9, 11, 8, 3, 8, 18, 30, 36, 24, 5, 6, 11, 5, 16, 6]","[54.0, 56.1, 52.59, 53.07, 50.33, 48.16, 50.72, 43.26, 42.11, 43.37, 39.64, 37.13, 36.25, 39.59, 39.27, 36.75, 35.8, 29.61, 33.57, 35.55, 44.79, 41.78, 33.47, 28.82, 27.92, 26.09, 38.39, 27.6, 25.34, 21.22, 22.53, 21.16, 20.45, 18.26, 19.59, 18.3, 16.06, 13.85, 12.61, 13.0, 13.9, 13.47, 12.97, 13.68, 13.1, 11.77, 11.49, 11.18, 10.47, 9.48, 14.21, 17.36, 22.73, 12.99, 12.03, 12.17, 9.15, 8.13, 6.53]"
"[2, 56, 0, 31, 4, 10, 15, 12, 8, 46, 11, 49, 29, 6, 16, 9, 57, 30, 1, 5, 14, 13, 32, 25, 50, 3, 7, 47, 17, 18, 22, 23, 24, 20, 19, 59, 34, 21, 53, 51, 45, 27, 58, 28, 26, 38, 48, 40, 37, 35, 33, 39, 36, 54, 42, 43, 44, 55, 52, 41]","[48, 5, 50, 6, 31, 47, 37, 33, 40, 8, 24, 53, 13, 47, 51, 57, 0, 14, 54, 52, 57, 46, 59, 37, 10, 25, 22, 9, 29, 41, 13, 21, 26, 20, 30, 0, 1, 31, 10, 9, 7, 14, 0, 18, 9, 11, 8, 5, 13, 3, 8, 6, 11, 24, 36, 18, 30, 11, 16, 6]","[48.0, 38.54, 46.64, 45.68, 43.33, 43.7, 43.09, 41.28, 39.09, 40.38, 40.04, 40.01, 29.34, 33.4, 37.65, 39.72, 28.42, 25.92, 35.25, 40.52, 38.9, 43.21, 32.77, 31.24, 32.41, 30.11, 25.54, 22.47, 23.94, 29.19, 23.65, 22.25, 23.73, 21.76, 22.04, 19.82, 21.32, 21.34, 17.89, 14.4, 13.61, 14.09, 13.09, 13.63, 11.75, 12.37, 11.04, 10.76, 9.58, 9.2, 8.6, 8.48, 8.2, 12.89, 19.64, 19.29, 11.97, 7.55, 6.33]"
"[3, 16, 42, 45, 9, 10, 6, 11, 50, 0, 2, 49, 29, 4, 15, 12, 1, 32, 31, 13, 14, 5, 57, 46, 25, 7, 17, 43, 18, 21, 22, 54, 23, 20, 56, 19, 24, 8, 47, 53, 44, 51, 59, 38, 34, 58, 30, 55, 27, 28, 26, 41, 37, 48, 33, 35, 39, 36, 52, 40]","[25, 51, 36, 7, 57, 47, 47, 24, 10, 50, 48, 53, 13, 31, 37, 33, 54, 59, 6, 46, 57, 52, 0, 8, 37, 22, 29, 18, 41, 31, 13, 24, 21, 20, 5, 30, 26, 40, 9, 10, 30, 9, 0, 11, 1, 0, 14, 11, 14, 18, 9, 6, 13, 8, 8, 3, 6, 11, 16, 5]","[25.0, 44.24, 43.1, 38.45, 45.36, 47.55, 45.84, 45.43, 42.55, 46.46, 46.6, 43.41, 43.23, 42.38, 41.78, 37.58, 43.25, 47.82, 42.56, 43.43, 41.42, 38.56, 42.17, 33.29, 25.86, 25.19, 24.87, 25.53, 27.45, 29.39, 27.08, 23.83, 22.21, 21.52, 21.69, 22.32, 21.45, 24.37, 20.81, 20.18, 21.49, 20.54, 19.38, 17.47, 15.5, 13.98, 13.84, 13.82, 13.05, 13.69, 12.76, 12.1, 11.85, 10.28, 10.47, 10.86, 8.56, 7.99, 7.02]"
"[4, 16, 55, 9, 10, 6, 8, 11, 57, 33, 50, 49, 2, 0, 46, 15, 12, 31, 1, 32, 5, 13, 14, 25, 7, 3, 34, 17, 18, 21, 22, 24, 23, 20, 19, 51, 59, 29, 53, 30, 27, 28, 26, 47, 43, 45, 44, 54, 42, 38, 58, 56, 40, 37, 35, 48, 39, 36, 52, 41]","[31, 51, 11, 57, 47, 47, 40, 24, 0, 8, 10, 53, 48, 50, 8, 37, 33, 6, 54, 59, 52, 46, 57, 37, 22, 25, 1, 29, 41, 31, 13, 26, 21, 20, 30, 9, 0, 13, 10, 14, 14, 18, 9, 9, 18, 7, 30, 24, 36, 11, 0, 5, 5, 13, 3, 8, 6, 11, 16, 6]","[31.0, 44.0, 40.2, 44.8, 44.86, 45.36, 45.4, 49.41, 45.57, 47.62, 41.99, 46.54, 47.49, 43.65, 40.84, 40.44, 36.8, 25.49, 35.03, 35.88, 43.59, 39.99, 33.28, 31.8, 29.68, 27.49, 25.39, 24.16, 27.86, 30.94, 24.77, 25.45, 23.9, 23.83, 20.94, 17.26, 17.24, 15.89, 13.44, 13.31, 13.53, 13.65, 13.59, 14.39, 19.18, 14.52, 15.19, 18.74, 14.14, 14.45, 14.04, 12.98, 11.98, 11.01, 10.25, 10.67, 8.85, 6.97, 6.88]"
"[5, 40, 1, 3, 14, 50, 13, 32, 31, 46, 2, 4, 11, 25, 0, 6, 49, 10, 15, 12, 16, 57, 7, 9, 17, 18, 21, 22, 24, 23, 19, 20, 8, 34, 59, 53, 29, 51, 48, 58, 38, 47, 43, 45, 42, 54, 44, 30, 56, 27, 28, 26, 37, 55, 33, 39, 36, 35, 52, 41]","[52, 5, 54, 25, 57, 10, 46, 59, 6, 8, 48, 31, 24, 37, 50, 47, 53, 47, 37, 33, 51, 0, 22, 57, 29, 41, 31, 13, 26, 21, 30, 20, 40, 1, 0, 10, 13, 9, 8, 0, 11, 9, 18, 7, 36, 24, 30, 14, 5, 14, 18, 9, 13, 11, 8, 6, 11, 3, 16, 6]","[52.0, 41.66, 50.32, 44.52, 47.99, 45.93, 43.53, 42.38, 48.11, 39.85, 43.0, 42.0, 41.65, 40.0, 44.45, 45.11, 36.11, 33.52, 33.4, 36.17, 28.58, 23.4, 23.63, 21.75, 24.38, 29.92, 30.85, 22.02, 25.22, 24.44, 25.17, 21.88, 23.18, 21.77, 21.15, 17.3, 17.24, 16.6, 13.88, 13.37, 13.39, 13.81, 17.81, 14.86, 22.56, 20.12, 13.26, 13.77, 12.38, 12.99, 13.02, 11.87, 12.12, 10.8, 10.2, 10.37, 9.75, 7.51, 7.1]"
"[6, 51, 9, 15, 50, 2, 0, 31, 10, 12, 8, 16, 49, 4, 11, 57, 46, 38, 5, 1, 32, 13, 14, 25, 47, 7, 3, 18, 17, 22, 34, 59, 23, 24, 20, 21, 19, 29, 53, 58, 30, 48, 43, 45, 44, 42, 54, 56, 37, 40, 55, 26, 28, 27, 35, 33, 39, 36, 52, 41]","[47, 9, 57, 37, 10, 48, 50, 6, 47, 33, 40, 51, 53, 31, 24, 0, 8, 11, 52, 54, 59, 46, 57, 37, 9, 22, 25, 41, 29, 13, 1, 0, 21, 26, 20, 31, 30, 13, 10, 0, 14, 8, 18, 7, 30, 36, 24, 5, 13, 5, 11, 9, 18, 14, 3, 8, 6, 11, 16, 6]","[47.0, 38.64, 47.82, 46.18, 46.04, 46.48, 46.58, 45.2, 44.87, 40.72, 40.63, 38.74, 35.9, 38.32, 39.44, 36.11, 26.67, 23.9, 38.58, 39.65, 43.7, 41.41, 35.71, 28.97, 31.0, 25.83, 25.28, 37.11, 30.94, 20.7, 18.73, 19.85, 19.51, 20.29, 18.93, 21.83, 18.2, 17.71, 12.96, 14.55, 13.1, 13.72, 18.42, 16.29, 19.21, 25.44, 13.82, 13.27, 13.11, 13.03, 12.94, 10.73, 14.93, 10.73, 10.63, 9.61, 8.77, 7.56, 6.65]"
"[7, 21, 18, 17, 23, 22, 36, 32, 13, 0, 31, 15, 3, 10, 2, 11, 5, 1, 4, 12, 46, 9, 57, 6, 14, 49, 25, 16, 50, 20, 8, 47, 58, 19, 24, 34, 53, 51, 29, 45, 38, 26, 59, 48, 37, 52, 33, 30, 27, 28, 41, 35, 56, 39, 43, 44, 42, 54, 55, 40]","[22, 31, 41, 29, 21, 13, 11, 59, 46, 50, 6, 37, 25, 47, 48, 24, 52, 54, 31, 33, 8, 57, 0, 47, 57, 53, 37, 51, 10, 20, 40, 9, 0, 30, 26, 1, 10, 9, 13, 7, 11, 9, 0, 8, 13, 16, 8, 14, 14, 18, 6, 3, 5, 6, 18, 30, 36, 24, 11, 5]","[22.0, 28.66, 34.53, 34.92, 30.17, 28.17, 25.99, 44.55, 46.1, 47.92, 43.13, 41.2, 38.12, 39.75, 41.3, 41.13, 41.32, 40.98, 41.51, 40.55, 36.59, 37.53, 35.09, 35.38, 36.72, 35.13, 28.61, 29.63, 22.41, 21.8, 25.94, 21.17, 22.04, 22.29, 20.08, 18.87, 15.77, 15.46, 14.19, 11.95, 11.33, 11.3, 11.08, 11.54, 10.72, 9.89, 9.51, 11.0, 12.65, 11.13, 9.8, 9.46, 7.75, 7.67, 14.47, 17.92, 22.84, 11.92, 7.15]"
"[8, 15, 7, 10, 0, 12, 49, 29, 2, 1, 5, 25, 3, 4, 46, 6, 32, 13, 31, 14, 11, 16, 57, 48, 18, 17, 9, 50, 21, 22, 23, 20, 24, 19, 59, 53, 34, 51, 38, 58, 37, 30, 26, 45, 47, 28, 27, 33, 35, 39, 52, 56, 36, 41, 43, 44, 42, 54, 55, 40]","[40, 37, 22, 47, 50, 33, 53, 13, 48, 54, 52, 37, 25, 31, 8, 47, 59, 46, 6, 57, 24, 51, 0, 8, 41, 29, 57, 10, 31, 13, 21, 20, 26, 30, 0, 10, 1, 9, 11, 0, 13, 14, 9, 7, 9, 18, 14, 8, 3, 6, 16, 5, 11, 6, 18, 30, 36, 24, 11, 5]","[40.0, 39.34, 35.08, 41.01, 45.14, 44.26, 47.09, 41.0, 42.68, 44.15, 46.96, 43.98, 41.65, 39.09, 40.11, 41.62, 48.51, 47.09, 39.96, 39.85, 34.5, 33.28, 27.83, 26.26, 36.24, 31.46, 29.03, 31.54, 30.41, 23.97, 22.57, 22.23, 22.47, 20.64, 20.38, 17.3, 17.13, 15.25, 15.7, 12.16, 12.17, 12.54, 12.14, 11.51, 11.02, 13.98, 12.09, 10.92, 9.47, 9.5, 11.06, 8.56, 8.35, 8.07, 14.07, 17.8, 22.97, 13.83, 6.68]"
"[9, 30, 6, 10, 11, 50, 0, 2, 1, 5, 32, 13, 31, 4, 15, 49, 25, 14, 46, 57, 21, 17, 3, 22, 12, 18, 16, 7, 59, 19, 23, 24, 20, 8, 47, 53, 34, 51, 29, 28, 27, 26, 45, 58, 38, 35, 37, 33, 36, 48, 52, 56, 42, 54, 43, 44, 41, 39, 55, 40]","[57, 14, 47, 47, 24, 10, 50, 48, 54, 52, 59, 46, 6, 31, 37, 53, 37, 57, 8, 0, 31, 29, 25, 13, 33, 41, 51, 22, 0, 30, 21, 26, 20, 40, 9, 10, 1, 9, 13, 18, 14, 9, 7, 0, 11, 3, 13, 8, 11, 8, 16, 5, 36, 24, 18, 30, 6, 6, 11, 5]","[57.0, 47.54, 49.32, 48.07, 47.49, 43.36, 47.31, 45.32, 50.6, 48.75, 52.18, 47.63, 47.29, 42.22, 41.03, 39.92, 41.84, 37.61, 33.4, 35.97, 32.13, 30.93, 31.79, 29.79, 27.14, 25.65, 26.09, 22.28, 21.98, 27.61, 25.19, 25.04, 21.08, 23.31, 21.2, 18.95, 19.52, 16.51, 12.95, 15.66, 14.1, 13.6, 12.01, 12.55, 11.13, 10.35, 10.33, 9.61, 9.97, 9.39, 10.32, 10.0, 20.53, 19.62, 19.03, 12.44, 9.63, 9.91, 7.62]"
