selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 55, 1, 4, 41, 35, 37, 28, 48, 34, 47, 52, 38, 30, 36, 33, 17, 40, 39, 44, 53, 56, 18, 10, 49, 11, 6, 9, 50, 14, 31, 15, 46, 13, 45, 58, 2, 19, 32, 5, 7, 8, 26, 29, 27, 23, 21, 51, 16, 12, 22, 25, 3, 42, 24, 20, 57, 59, 54, 43]","[57, 4, 68, 4, 70, 89, 85, 30, 68, 48, 61, 51, 90, 45, 97, 37, 13, 80, 87, 11, 77, 27, 37, 88, 59, 90, 93, 92, 8, 91, 46, 2, 10, 20, 40, 6, 39, 45, 67, 34, 85, 85, 87, 91, 29, 36, 43, 29, 90, 36, 50, 33, 52, 20, 36, 33, 9, 9, 32, 3]","[57.0, 45.34, 60.42, 25.26, 62.95, 75.06, 81.2, 70.76, 72.86, 65.28, 65.1, 61.07, 68.03, 60.27, 62.27, 66.82, 63.7, 66.22, 64.91, 56.99, 55.43, 32.1, 37.79, 68.29, 66.43, 77.93, 75.21, 78.89, 73.88, 72.91, 73.78, 69.12, 62.99, 18.13, 57.04, 57.66, 33.23, 49.59, 51.6, 50.1, 55.85, 47.18, 64.36, 49.34, 48.41, 49.53, 36.05, 53.85, 53.36, 46.4, 44.58, 42.06, 20.31, 38.43, 39.57, 28.94, 19.71, 16.82, 17.4]"
"[1, 9, 59, 0, 41, 7, 8, 11, 10, 6, 4, 16, 57, 50, 49, 2, 14, 40, 23, 58, 31, 44, 53, 27, 38, 37, 35, 46, 32, 13, 52, 36, 47, 48, 26, 29, 22, 30, 18, 12, 39, 33, 34, 21, 17, 5, 19, 28, 3, 56, 15, 20, 51, 25, 24, 45, 54, 42, 55, 43]","[68, 92, 9, 57, 70, 85, 85, 90, 88, 93, 4, 90, 9, 8, 59, 39, 91, 80, 36, 6, 46, 11, 77, 29, 90, 85, 89, 10, 67, 20, 51, 97, 61, 68, 87, 91, 50, 45, 37, 36, 87, 37, 48, 43, 13, 34, 45, 30, 52, 27, 2, 33, 29, 33, 36, 40, 32, 20, 4, 3]","[68.0, 84.8, 75.37, 62.33, 74.26, 75.76, 81.77, 80.67, 84.84, 83.42, 76.71, 81.69, 74.33, 73.16, 69.91, 71.2, 61.86, 69.0, 58.13, 56.59, 32.6, 55.09, 58.71, 56.0, 75.49, 68.36, 73.51, 66.56, 67.75, 59.14, 56.1, 66.28, 63.06, 58.23, 67.88, 58.26, 61.38, 58.36, 52.84, 52.67, 64.69, 52.52, 51.83, 49.37, 47.49, 45.51, 45.62, 45.77, 44.5, 41.77, 38.43, 38.39, 39.0, 34.96, 33.89, 23.9, 25.45, 22.21, 19.0]"
"[2, 56, 0, 40, 54, 41, 35, 34, 52, 39, 23, 48, 47, 45, 28, 10, 11, 9, 16, 14, 6, 43, 22, 7, 8, 50, 58, 4, 46, 13, 24, 53, 33, 49, 37, 38, 30, 29, 26, 18, 27, 36, 17, 12, 21, 15, 20, 19, 51, 31, 32, 5, 25, 3, 1, 57, 59, 42, 55, 44]","[39, 27, 57, 80, 32, 70, 89, 48, 51, 87, 36, 68, 61, 40, 30, 88, 90, 92, 90, 91, 93, 3, 50, 85, 85, 8, 6, 4, 10, 20, 36, 77, 37, 59, 85, 90, 45, 91, 87, 37, 29, 97, 13, 36, 43, 2, 33, 45, 29, 46, 67, 34, 33, 52, 68, 9, 9, 20, 4, 11]","[39.0, 36.36, 36.9, 56.46, 62.49, 65.82, 72.1, 71.58, 62.12, 73.15, 63.02, 67.25, 62.77, 64.25, 54.61, 70.69, 73.71, 80.18, 85.07, 86.94, 56.7, 38.96, 84.27, 80.19, 79.14, 69.39, 70.02, 61.68, 63.28, 36.9, 53.63, 60.33, 54.99, 53.9, 67.54, 58.1, 53.86, 71.83, 54.61, 56.63, 54.17, 51.44, 50.57, 48.0, 42.88, 40.68, 39.3, 39.58, 36.69, 39.8, 36.7, 36.35, 35.88, 37.37, 33.96, 30.22, 23.02, 21.3, 17.39]"
"[3, 16, 42, 13, 45, 9, 6, 2, 14, 50, 11, 4, 10, 59, 15, 58, 8, 7, 5, 31, 32, 57, 49, 25, 0, 48, 47, 46, 34, 35, 52, 53, 41, 40, 27, 23, 37, 38, 39, 36, 33, 26, 29, 30, 17, 21, 28, 56, 22, 12, 19, 18, 51, 24, 20, 1, 43, 54, 55, 44]","[52, 90, 20, 20, 40, 92, 93, 39, 91, 8, 90, 4, 88, 9, 2, 6, 85, 85, 34, 46, 67, 9, 59, 33, 57, 68, 61, 10, 48, 89, 51, 77, 70, 80, 29, 36, 85, 90, 87, 97, 37, 87, 91, 45, 13, 43, 30, 27, 50, 36, 45, 37, 29, 36, 33, 68, 3, 32, 4, 11]","[52.0, 80.12, 62.56, 62.64, 47.62, 63.18, 74.04, 71.13, 75.81, 74.28, 69.6, 69.6, 68.99, 62.45, 66.96, 57.72, 73.66, 44.81, 42.29, 43.94, 30.99, 44.98, 45.2, 46.97, 35.03, 51.01, 54.16, 45.13, 42.29, 59.33, 54.9, 59.36, 67.19, 68.33, 59.42, 57.89, 71.42, 62.49, 59.09, 74.32, 60.76, 65.06, 61.67, 61.48, 50.74, 49.66, 48.37, 45.85, 47.64, 42.65, 40.48, 40.1, 36.99, 39.56, 34.81, 27.91, 19.63, 23.83, 14.85]"
"[4, 16, 55, 43, 9, 41, 57, 10, 11, 6, 34, 2, 14, 7, 8, 50, 32, 24, 13, 40, 58, 53, 37, 38, 49, 26, 29, 27, 22, 17, 46, 52, 31, 21, 0, 12, 36, 30, 48, 47, 35, 39, 33, 23, 56, 15, 28, 19, 18, 45, 20, 5, 25, 1, 3, 51, 44, 42, 54, 59]","[4, 90, 4, 3, 92, 70, 9, 88, 90, 93, 48, 39, 91, 85, 85, 8, 67, 36, 20, 80, 6, 77, 85, 90, 59, 87, 91, 29, 50, 13, 10, 51, 46, 43, 57, 36, 97, 45, 68, 61, 89, 87, 37, 36, 27, 2, 30, 45, 37, 40, 33, 34, 33, 68, 52, 29, 11, 20, 32, 9]","[4.0, 59.9, 51.3, 35.68, 32.44, 44.65, 64.93, 74.82, 75.49, 46.56, 76.85, 81.85, 68.57, 76.65, 78.03, 63.8, 54.02, 63.82, 57.45, 66.49, 54.43, 58.54, 73.2, 74.13, 71.91, 83.39, 78.49, 68.64, 59.11, 62.68, 55.4, 52.12, 55.13, 56.54, 51.96, 50.23, 47.38, 53.72, 56.96, 56.42, 50.02, 66.71, 46.42, 44.45, 42.38, 43.97, 41.77, 39.63, 33.15, 39.74, 38.94, 42.35, 38.71, 39.68, 35.93, 16.94, 9.03, 15.43, 16.44]"
"[5, 40, 39, 41, 37, 27, 56, 45, 38, 16, 12, 48, 54, 47, 36, 34, 50, 53, 33, 35, 52, 23, 8, 46, 43, 30, 26, 19, 20, 18, 51, 29, 49, 9, 11, 6, 10, 14, 7, 13, 28, 58, 15, 31, 17, 4, 22, 21, 32, 57, 25, 24, 59, 0, 3, 1, 2, 55, 44, 42]","[34, 80, 87, 70, 85, 29, 27, 40, 90, 90, 36, 68, 32, 61, 97, 48, 8, 77, 37, 89, 51, 36, 85, 10, 3, 45, 87, 45, 33, 37, 29, 91, 59, 92, 90, 93, 88, 91, 85, 20, 30, 6, 2, 46, 13, 4, 50, 43, 67, 9, 33, 36, 9, 57, 52, 68, 39, 4, 11, 20]","[34.0, 68.04, 80.01, 79.2, 82.49, 78.39, 73.1, 58.59, 63.48, 73.66, 50.3, 63.22, 65.18, 65.49, 70.15, 69.23, 64.53, 69.45, 65.15, 67.96, 63.61, 57.26, 70.78, 47.36, 59.7, 48.43, 61.96, 50.51, 44.67, 45.41, 43.18, 48.1, 54.47, 61.53, 71.85, 77.14, 74.02, 75.74, 68.95, 49.77, 50.72, 50.67, 49.87, 46.6, 44.79, 42.31, 47.0, 40.35, 36.59, 36.29, 36.33, 23.51, 35.85, 34.4, 35.37, 46.68, 25.62, 13.29, 10.43]"
"[6, 51, 9, 40, 50, 56, 10, 11, 0, 16, 14, 35, 8, 7, 46, 41, 58, 23, 4, 13, 39, 45, 37, 18, 38, 49, 53, 33, 27, 31, 30, 52, 48, 43, 17, 47, 36, 34, 15, 32, 26, 29, 28, 22, 21, 19, 24, 59, 12, 25, 20, 5, 3, 1, 2, 57, 44, 54, 55, 42]","[93, 29, 92, 80, 8, 27, 88, 90, 57, 90, 91, 89, 85, 85, 10, 70, 6, 36, 4, 20, 87, 40, 85, 37, 90, 59, 77, 37, 29, 46, 45, 51, 68, 3, 13, 61, 97, 48, 2, 67, 87, 91, 30, 50, 43, 45, 36, 9, 36, 33, 33, 34, 52, 68, 39, 9, 11, 32, 4, 20]","[93.0, 78.92, 63.99, 88.95, 50.92, 86.29, 87.3, 81.59, 74.56, 78.93, 50.68, 80.55, 83.8, 82.13, 75.28, 74.53, 55.55, 65.83, 57.46, 56.41, 54.11, 55.73, 44.76, 67.78, 73.2, 69.99, 71.85, 66.0, 54.04, 49.6, 50.74, 50.3, 47.35, 42.78, 60.11, 56.01, 48.46, 44.6, 44.81, 45.55, 63.18, 47.0, 46.06, 48.78, 40.93, 40.1, 39.57, 38.83, 40.32, 38.96, 34.11, 35.15, 36.17, 49.07, 33.56, 21.85, 18.64, 24.22, 13.44]"
"[7, 21, 4, 50, 41, 23, 57, 40, 56, 35, 32, 48, 47, 34, 16, 13, 45, 37, 53, 9, 38, 27, 6, 49, 39, 33, 14, 11, 10, 46, 8, 36, 52, 15, 31, 30, 17, 59, 26, 29, 28, 22, 58, 19, 20, 51, 42, 18, 24, 12, 25, 0, 3, 5, 1, 2, 43, 54, 55, 44]","[85, 43, 4, 8, 70, 36, 9, 80, 27, 89, 67, 68, 61, 48, 90, 20, 40, 85, 77, 92, 90, 29, 93, 59, 87, 37, 91, 90, 88, 10, 85, 97, 51, 2, 46, 45, 13, 9, 87, 91, 30, 50, 6, 45, 33, 29, 20, 37, 36, 36, 33, 57, 52, 34, 68, 39, 3, 32, 4, 11]","[85.0, 75.76, 65.38, 23.15, 60.28, 42.07, 54.81, 57.16, 55.82, 37.44, 60.14, 66.84, 60.75, 20.9, 58.19, 60.9, 57.59, 64.42, 37.28, 71.83, 69.29, 68.86, 73.47, 66.8, 73.86, 65.98, 69.19, 71.4, 65.78, 60.96, 55.38, 67.44, 37.26, 59.06, 56.77, 55.99, 50.45, 45.78, 63.12, 51.99, 47.61, 49.43, 43.22, 40.67, 36.22, 29.67, 37.29, 36.39, 34.94, 35.48, 36.62, 35.68, 40.76, 36.61, 52.45, 29.28, 25.24, 25.2, 15.06]"
"[8, 15, 7, 14, 6, 43, 46, 11, 31, 10, 36, 53, 51, 50, 13, 49, 52, 56, 4, 47, 35, 48, 9, 40, 24, 41, 58, 37, 38, 20, 30, 17, 33, 27, 39, 16, 26, 29, 57, 28, 23, 32, 22, 21, 19, 18, 34, 25, 12, 0, 5, 3, 1, 2, 45, 59, 54, 55, 42, 44]","[85, 2, 85, 91, 93, 3, 10, 90, 46, 88, 97, 77, 29, 8, 20, 59, 51, 27, 4, 61, 89, 68, 92, 80, 36, 70, 6, 85, 90, 33, 45, 13, 37, 29, 87, 90, 87, 91, 9, 30, 36, 67, 50, 43, 45, 37, 48, 33, 36, 57, 34, 52, 68, 39, 40, 9, 32, 4, 20, 11]","[85.0, 66.74, 75.04, 84.98, 68.72, 84.13, 87.48, 81.91, 68.7, 22.59, 73.01, 75.13, 70.26, 68.1, 61.57, 57.73, 60.55, 57.53, 60.1, 60.31, 61.12, 60.79, 59.97, 45.64, 67.99, 62.9, 61.81, 73.68, 42.15, 73.97, 45.26, 54.37, 54.5, 52.54, 49.25, 44.43, 63.03, 29.09, 52.17, 41.48, 38.59, 40.34, 47.3, 36.45, 39.9, 33.11, 32.06, 31.77, 36.75, 36.43, 35.88, 33.06, 52.78, 23.97, 19.83, 15.86, 19.75, 17.55, 14.96]"
"[9, 30, 6, 10, 14, 11, 1, 50, 5, 15, 58, 8, 7, 4, 49, 13, 2, 46, 55, 53, 51, 17, 43, 33, 0, 16, 27, 32, 31, 25, 3, 12, 59, 41, 40, 38, 37, 34, 39, 26, 29, 21, 22, 35, 52, 23, 44, 36, 48, 47, 18, 28, 56, 19, 20, 24, 45, 57, 42, 54]","[92, 45, 93, 88, 91, 90, 68, 8, 34, 2, 6, 85, 85, 4, 59, 20, 39, 10, 4, 77, 29, 13, 3, 37, 57, 90, 29, 67, 46, 33, 52, 36, 9, 70, 80, 90, 85, 48, 87, 87, 91, 43, 50, 89, 51, 36, 11, 97, 68, 61, 37, 30, 27, 45, 33, 36, 40, 9, 20, 32]","[92.0, 81.66, 89.69, 90.93, 90.57, 87.56, 87.06, 79.77, 84.06, 79.78, 79.06, 86.65, 79.41, 60.11, 60.38, 56.94, 51.29, 29.11, 46.14, 52.56, 47.93, 29.91, 45.14, 45.06, 43.54, 42.91, 42.93, 51.54, 41.62, 43.83, 43.16, 47.21, 40.74, 56.3, 38.95, 69.76, 24.72, 56.57, 47.79, 68.74, 52.72, 48.81, 46.63, 44.34, 47.49, 13.06, 45.04, 52.72, 53.83, 43.82, 42.46, 41.85, 43.02, 39.42, 36.99, 22.15, 19.48, 9.05, 13.31]"
