selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 11, 9, 54, 8, 6, 37, 38, 30, 26, 29, 27, 28, 22, 24, 35, 53, 19, 16, 20, 23, 18, 40, 41, 39, 10, 12, 14, 42, 49, 7, 33, 21, 36, 25, 15, 51, 44, 43, 45, 13, 17, 52, 47, 46, 34, 58, 55, 32, 4, 56, 1, 57, 48, 31, 50, 2, 5, 59, 3]","[1, 3, 5, 34, 13, 11, 56, 46, 47, 80, 63, 73, 81, 6, 15, 24, 31, 34, 8, 19, 1, 6, 81, 75, 73, 1, 1, 10, 27, 2, 13, 1, 14, 1, 1, 2, 77, 42, 7, 3, 2, 2, 6, 3, 2, 2, 3, 2, 1, 1, 3, 2, 5, 46, 1, 14, 2, 2, 2, 2]","[84.45, 39.16, 25.42, 21.26, 17.56, 18.79, 29.54, 35.98, 38.01, 49.45, 43.31, 49.92, 49.94, 45.61, 41.59, 28.95, 31.83, 30.77, 29.91, 25.82, 28.87, 24.35, 39.91, 36.36, 34.68, 29.27, 20.77, 16.05, 18.01, 17.29, 16.88, 14.82, 14.14, 12.84, 12.22, 13.47, 12.37, 21.09, 14.37, 10.34, 11.38, 8.84, 8.26, 7.18, 7.39, 7.94, 6.98, 9.99, 6.37, 5.37, 6.16, 5.53, 4.89, 5.6, 6.4, 5.92, 5.18, 4.4, 4.97]"
"[1, 11, 8, 10, 54, 37, 9, 38, 26, 30, 27, 29, 28, 21, 24, 12, 18, 35, 19, 53, 40, 41, 39, 16, 23, 6, 22, 20, 7, 49, 42, 33, 14, 25, 17, 52, 44, 43, 45, 36, 51, 5, 15, 34, 58, 32, 2, 47, 55, 46, 0, 4, 48, 56, 13, 50, 57, 3, 31, 59]","[2, 3, 13, 1, 34, 56, 5, 46, 80, 47, 73, 63, 81, 14, 15, 1, 6, 24, 34, 31, 81, 75, 73, 8, 1, 11, 6, 19, 13, 2, 27, 1, 10, 1, 2, 6, 42, 7, 3, 1, 77, 2, 2, 2, 3, 1, 2, 3, 2, 2, 1, 1, 46, 3, 2, 14, 5, 2, 1, 2]","[84.49, 37.09, 27.38, 24.19, 17.43, 27.69, 25.3, 37.89, 39.58, 44.28, 48.07, 44.63, 40.52, 41.38, 34.4, 30.44, 35.0, 29.21, 31.06, 31.45, 36.01, 37.37, 33.65, 31.41, 31.8, 25.27, 23.19, 19.51, 19.25, 14.69, 16.19, 16.27, 12.75, 11.94, 11.33, 11.67, 21.75, 17.57, 11.69, 11.83, 10.94, 10.69, 8.63, 7.92, 8.05, 7.54, 6.48, 7.25, 6.42, 5.42, 4.91, 4.75, 5.85, 7.32, 4.68, 4.0, 4.43, 4.22, 3.37]"
"[2, 11, 8, 10, 54, 9, 37, 30, 38, 26, 29, 21, 27, 28, 35, 24, 22, 12, 16, 49, 53, 40, 41, 6, 39, 23, 18, 14, 19, 20, 7, 42, 51, 33, 25, 44, 43, 45, 47, 17, 15, 52, 32, 46, 36, 34, 0, 4, 58, 55, 5, 56, 48, 1, 31, 13, 50, 3, 57, 59]","[2, 3, 13, 1, 34, 5, 56, 47, 46, 80, 63, 14, 73, 81, 24, 15, 6, 1, 8, 2, 31, 81, 75, 11, 73, 1, 6, 10, 34, 19, 13, 27, 77, 1, 1, 42, 7, 3, 3, 2, 2, 6, 1, 2, 1, 2, 1, 1, 3, 2, 2, 3, 46, 2, 1, 2, 14, 2, 5, 2]","[81.87, 36.05, 28.46, 22.98, 17.45, 17.89, 28.25, 37.44, 40.01, 44.49, 40.3, 41.78, 43.13, 46.21, 40.36, 34.66, 29.13, 30.44, 27.13, 26.73, 25.11, 40.49, 31.44, 26.6, 27.15, 21.42, 20.35, 16.25, 19.03, 14.44, 14.59, 14.52, 21.53, 13.53, 12.88, 21.91, 17.7, 14.42, 13.42, 12.63, 9.87, 9.3, 8.25, 9.26, 7.63, 8.9, 5.73, 5.96, 6.03, 5.1, 5.06, 4.87, 9.74, 6.13, 5.6, 4.44, 4.42, 3.07, 3.65]"
"[3, 11, 9, 54, 16, 37, 49, 38, 26, 29, 30, 27, 28, 24, 22, 35, 8, 19, 53, 20, 40, 41, 10, 39, 6, 12, 23, 18, 21, 14, 42, 33, 7, 51, 0, 44, 43, 45, 17, 36, 25, 15, 2, 47, 1, 34, 52, 46, 58, 32, 55, 56, 57, 50, 4, 31, 48, 13, 5, 59]","[2, 3, 5, 34, 8, 56, 2, 46, 80, 63, 47, 73, 81, 15, 6, 24, 13, 34, 31, 19, 81, 75, 1, 73, 11, 1, 1, 6, 14, 10, 27, 1, 13, 77, 1, 42, 7, 3, 2, 1, 1, 2, 2, 3, 2, 2, 6, 2, 3, 1, 2, 3, 5, 14, 1, 1, 46, 2, 2, 2]","[83.89, 34.7, 24.9, 17.85, 19.38, 27.97, 24.27, 36.29, 44.52, 46.92, 44.69, 57.13, 51.39, 43.05, 41.76, 31.62, 27.34, 29.2, 30.11, 28.3, 35.33, 39.72, 37.35, 30.75, 27.59, 26.47, 20.72, 20.91, 16.28, 15.96, 16.62, 14.85, 12.81, 13.97, 12.95, 22.22, 18.08, 12.5, 14.12, 11.29, 10.98, 9.88, 10.21, 7.64, 8.88, 7.67, 7.1, 8.06, 6.69, 6.07, 5.36, 5.37, 5.31, 5.73, 4.18, 4.9, 5.87, 6.24, 3.99]"
"[4, 11, 9, 54, 8, 37, 38, 30, 26, 27, 29, 21, 28, 49, 35, 24, 12, 22, 16, 40, 41, 39, 53, 10, 23, 6, 19, 32, 20, 42, 33, 7, 47, 17, 36, 14, 15, 18, 51, 0, 44, 43, 45, 34, 25, 46, 52, 55, 58, 5, 2, 57, 56, 50, 59, 48, 1, 13, 31, 3]","[1, 3, 5, 34, 13, 56, 46, 47, 80, 73, 63, 14, 81, 2, 24, 15, 1, 6, 8, 81, 75, 73, 31, 1, 1, 11, 34, 1, 19, 27, 1, 13, 3, 2, 1, 10, 2, 6, 77, 1, 42, 7, 3, 2, 1, 2, 6, 2, 3, 2, 2, 5, 3, 14, 2, 46, 2, 2, 1, 2]","[84.25, 36.19, 25.37, 23.11, 19.55, 27.21, 36.76, 39.7, 45.35, 47.6, 47.19, 44.4, 38.78, 41.21, 45.04, 35.54, 30.8, 33.09, 28.88, 41.97, 28.51, 35.36, 34.22, 25.25, 27.71, 18.19, 18.65, 18.21, 15.7, 15.0, 15.28, 15.27, 15.74, 12.49, 11.49, 13.21, 11.47, 14.65, 14.22, 11.73, 20.54, 12.77, 8.45, 7.77, 6.72, 8.46, 7.07, 5.2, 5.15, 5.36, 5.6, 4.86, 4.87, 4.31, 4.55, 7.41, 6.23, 5.43, 3.53]"
"[5, 11, 9, 54, 6, 16, 37, 30, 38, 26, 29, 27, 28, 24, 21, 49, 40, 41, 8, 35, 12, 53, 19, 23, 10, 22, 39, 20, 18, 42, 7, 33, 14, 15, 34, 51, 1, 44, 43, 45, 25, 52, 17, 47, 58, 36, 4, 0, 55, 57, 46, 32, 48, 56, 50, 13, 2, 3, 59, 31]","[2, 3, 5, 34, 11, 8, 56, 47, 46, 80, 63, 73, 81, 15, 14, 2, 81, 75, 13, 24, 1, 31, 34, 1, 1, 6, 73, 19, 6, 27, 13, 1, 10, 2, 2, 77, 2, 42, 7, 3, 1, 6, 2, 3, 3, 1, 1, 1, 2, 5, 2, 1, 46, 3, 14, 2, 2, 2, 2, 1]","[84.46, 38.53, 25.62, 20.9, 17.27, 21.43, 29.5, 35.1, 41.91, 46.32, 43.28, 50.56, 48.81, 45.38, 40.17, 33.08, 39.45, 39.61, 35.47, 32.98, 35.63, 30.84, 31.92, 28.24, 26.13, 26.94, 18.73, 17.14, 14.68, 16.67, 14.81, 14.05, 13.1, 11.37, 12.08, 14.16, 12.19, 21.44, 14.84, 11.92, 11.33, 11.19, 9.66, 8.63, 7.99, 6.83, 7.96, 7.45, 5.42, 5.44, 5.26, 5.08, 6.31, 5.0, 6.8, 6.18, 4.15, 4.03, 3.82]"
"[6, 9, 11, 54, 37, 30, 26, 38, 27, 29, 28, 21, 24, 35, 16, 49, 22, 12, 8, 23, 19, 53, 40, 41, 39, 10, 14, 18, 20, 42, 51, 33, 1, 7, 25, 47, 17, 44, 43, 45, 34, 15, 0, 36, 32, 46, 58, 55, 5, 52, 56, 2, 50, 4, 57, 59, 31, 48, 13, 3]","[11, 5, 3, 34, 56, 47, 80, 46, 73, 63, 81, 14, 15, 24, 8, 2, 6, 1, 13, 1, 34, 31, 81, 75, 73, 1, 10, 6, 19, 27, 77, 1, 2, 13, 1, 3, 2, 42, 7, 3, 2, 2, 1, 1, 1, 2, 3, 2, 2, 6, 3, 2, 14, 1, 5, 2, 1, 46, 2, 2]","[51.97, 38.12, 24.95, 18.81, 30.43, 36.59, 46.87, 45.49, 50.69, 52.52, 45.84, 50.42, 43.67, 36.43, 34.75, 34.02, 31.69, 28.1, 27.79, 21.5, 24.62, 25.66, 37.95, 26.69, 24.69, 19.97, 19.29, 16.95, 15.39, 16.4, 17.07, 16.54, 14.16, 12.68, 12.64, 11.35, 11.42, 20.72, 15.1, 10.64, 9.59, 12.02, 7.84, 7.55, 6.84, 6.49, 6.5, 5.63, 6.72, 4.73, 4.32, 5.0, 4.93, 5.36, 4.57, 3.94, 4.08, 5.26, 5.55]"
"[7, 11, 8, 9, 54, 10, 37, 30, 38, 26, 27, 29, 21, 28, 35, 24, 22, 12, 49, 16, 40, 41, 53, 6, 19, 39, 20, 23, 13, 18, 42, 33, 14, 52, 47, 36, 17, 51, 1, 44, 43, 0, 45, 25, 15, 46, 34, 32, 55, 4, 58, 5, 48, 2, 3, 50, 56, 31, 57, 59]","[13, 3, 13, 5, 34, 1, 56, 47, 46, 80, 73, 63, 14, 81, 24, 15, 6, 1, 2, 8, 81, 75, 31, 11, 34, 73, 19, 1, 2, 6, 27, 1, 10, 6, 3, 1, 2, 77, 2, 42, 7, 1, 3, 1, 2, 2, 2, 1, 2, 1, 3, 2, 46, 2, 2, 14, 3, 1, 5, 2]","[79.76, 33.19, 31.08, 25.15, 22.34, 21.83, 32.16, 34.65, 39.19, 36.14, 38.76, 41.4, 39.71, 41.29, 41.44, 34.61, 35.63, 30.53, 25.95, 25.49, 34.31, 29.28, 28.95, 26.17, 28.3, 30.07, 25.74, 21.04, 18.53, 17.01, 16.92, 16.16, 14.9, 12.52, 12.63, 11.12, 12.68, 13.96, 12.94, 21.33, 13.72, 14.88, 11.23, 10.7, 7.36, 8.4, 7.84, 5.96, 5.11, 4.99, 5.02, 4.54, 6.72, 5.2, 4.9, 4.81, 4.19, 5.77, 3.25]"
"[8, 10, 11, 54, 37, 30, 38, 26, 29, 9, 22, 27, 28, 35, 24, 12, 18, 16, 19, 20, 23, 53, 21, 49, 40, 41, 6, 39, 14, 7, 42, 51, 33, 1, 32, 44, 43, 45, 25, 17, 47, 36, 15, 0, 34, 46, 58, 55, 52, 4, 56, 48, 13, 5, 2, 31, 3, 57, 50, 59]","[13, 1, 3, 34, 56, 47, 46, 80, 63, 5, 6, 73, 81, 24, 15, 1, 6, 8, 34, 19, 1, 31, 14, 2, 81, 75, 11, 73, 10, 13, 27, 77, 1, 2, 1, 42, 7, 3, 1, 2, 3, 1, 2, 1, 2, 2, 3, 2, 6, 1, 3, 46, 2, 2, 2, 1, 2, 5, 14, 2]","[76.37, 45.31, 25.64, 18.02, 33.98, 41.32, 42.21, 51.15, 50.57, 41.04, 43.7, 50.24, 47.01, 44.68, 33.25, 35.11, 32.18, 29.15, 29.12, 27.32, 26.2, 23.94, 22.79, 20.37, 39.47, 24.8, 22.98, 20.77, 17.12, 16.64, 14.94, 20.85, 17.54, 14.35, 12.36, 22.33, 14.95, 13.84, 11.91, 11.79, 11.02, 9.65, 10.53, 7.97, 6.81, 6.84, 6.46, 5.92, 6.08, 4.58, 4.17, 6.24, 6.02, 5.1, 4.58, 4.36, 4.5, 3.59, 4.09]"
"[9, 0, 8, 6, 11, 54, 37, 38, 30, 26, 29, 27, 28, 22, 24, 35, 19, 16, 20, 49, 40, 41, 39, 53, 12, 10, 23, 14, 21, 18, 25, 42, 33, 15, 7, 47, 51, 17, 36, 44, 43, 45, 34, 1, 46, 52, 13, 31, 56, 5, 32, 58, 4, 55, 48, 3, 2, 50, 57, 59]","[5, 1, 13, 11, 3, 34, 56, 46, 47, 80, 63, 73, 81, 6, 15, 24, 34, 8, 19, 2, 81, 75, 73, 31, 1, 1, 1, 10, 14, 6, 1, 27, 1, 2, 13, 3, 77, 2, 1, 42, 7, 3, 2, 2, 2, 6, 2, 1, 3, 2, 1, 3, 1, 2, 46, 2, 2, 14, 5, 2]","[56.72, 49.22, 36.8, 25.79, 24.77, 17.35, 29.83, 36.28, 41.41, 44.83, 44.22, 53.12, 48.19, 41.18, 34.82, 27.54, 29.56, 31.81, 27.44, 28.08, 38.45, 38.81, 33.67, 26.62, 28.11, 26.51, 20.56, 19.58, 16.33, 14.82, 14.78, 14.99, 12.47, 14.22, 12.63, 12.45, 10.57, 10.14, 9.89, 20.73, 12.72, 7.92, 8.67, 7.45, 6.22, 6.39, 5.13, 5.08, 5.69, 4.89, 6.08, 4.72, 4.79, 3.9, 5.69, 4.72, 4.46, 4.69, 3.64]"
