selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 11, 6, 9, 10, 3, 8, 49, 16, 12, 32, 2, 13, 37, 29, 54, 5, 14, 31, 7, 15, 25, 1, 4, 21, 58, 35, 34, 17, 38, 26, 40, 59, 51, 55, 48, 47, 52, 50, 45, 20, 36, 46, 30, 27, 42, 53, 57, 28, 24, 22, 18, 39, 23, 41, 19, 44, 33, 56, 43]","[81, 95, 0, 29, 79, 5, 0, 15, 0, 39, 15, 6, 5, 0, 3, 0, 24, 9, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 2, 15, 25, 0, 4, 0, 0, 0, 0, 13, 2, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86.15, 89.82, 82.44, 76.6, 51.38, 52.69, 42.08, 36.92, 36.96, 39.54, 33.03, 29.11, 28.16, 19.81, 19.4, 17.41, 18.07, 16.87, 12.07, 11.26, 11.84, 10.55, 10.86, 11.3, 9.64, 8.29, 7.52, 7.77, 5.65, 4.65, 4.98, 5.57, 5.02, 3.83, 4.26, 6.23, 6.68, 4.99, 4.47, 3.51, 3.47, 4.62, 3.37, 4.45, 2.61, 3.41, 3.27, 2.87, 2.81, 2.05, 1.71, 1.47, 1.2, 1.39, 0.9, 1.2, 0.72, 0.85, 0.15]"
"[1, 6, 11, 9, 10, 3, 2, 16, 5, 8, 13, 0, 49, 12, 32, 37, 14, 4, 31, 29, 15, 54, 25, 7, 38, 22, 35, 17, 58, 34, 46, 51, 53, 42, 50, 59, 21, 19, 40, 26, 30, 27, 28, 24, 47, 48, 36, 52, 45, 55, 57, 44, 18, 41, 39, 23, 56, 33, 20, 43]","[95, 0, 95, 29, 79, 5, 6, 0, 24, 0, 5, 81, 15, 39, 15, 0, 9, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 13, 2, 7, 0, 25, 15, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92.05, 76.08, 84.84, 75.43, 61.42, 48.75, 48.51, 40.71, 44.81, 37.73, 27.93, 39.79, 38.05, 36.16, 25.61, 23.65, 20.71, 21.19, 19.13, 20.14, 17.8, 17.08, 14.28, 11.05, 10.92, 8.55, 8.72, 9.53, 8.27, 5.69, 5.55, 4.73, 3.98, 3.99, 3.73, 3.4, 2.93, 3.06, 2.66, 3.29, 3.09, 2.56, 2.98, 2.17, 10.31, 5.04, 4.47, 2.93, 2.19, 1.97, 1.92, 1.54, 1.52, 1.66, 1.23, 0.73, 0.51, 0.82, 0.4]"
"[2, 11, 9, 10, 6, 8, 16, 3, 37, 7, 0, 32, 12, 49, 13, 29, 54, 5, 31, 1, 14, 15, 25, 21, 35, 17, 4, 58, 38, 51, 34, 59, 50, 40, 57, 18, 42, 55, 48, 47, 45, 53, 52, 46, 36, 26, 30, 27, 28, 24, 39, 22, 23, 41, 19, 33, 44, 20, 56, 43]","[6, 95, 29, 79, 0, 0, 0, 5, 0, 0, 81, 15, 39, 15, 5, 3, 0, 24, 0, 95, 9, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 0, 2, 15, 25, 0, 0, 0, 0, 0, 4, 13, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[81.58, 82.36, 72.53, 71.23, 47.65, 33.98, 36.29, 26.96, 31.33, 22.97, 37.11, 28.36, 26.86, 26.52, 18.91, 16.55, 17.57, 15.99, 13.25, 19.56, 18.56, 16.37, 12.19, 8.55, 8.84, 9.84, 10.51, 5.33, 6.52, 6.67, 7.13, 5.02, 3.96, 4.0, 4.18, 3.38, 3.27, 3.02, 5.29, 5.76, 5.3, 3.75, 3.75, 2.4, 2.0, 2.89, 3.3, 2.74, 2.92, 1.78, 1.64, 1.76, 1.17, 0.95, 0.73, 0.71, 0.61, 0.57, 0.11]"
"[3, 11, 9, 10, 6, 8, 16, 37, 7, 0, 49, 2, 12, 13, 32, 29, 5, 31, 54, 15, 1, 14, 25, 17, 58, 35, 4, 21, 34, 59, 51, 46, 53, 42, 55, 18, 30, 28, 27, 50, 26, 23, 57, 38, 24, 47, 48, 52, 45, 40, 36, 22, 41, 19, 56, 33, 20, 39, 44, 43]","[5, 95, 29, 79, 0, 0, 0, 0, 0, 81, 15, 6, 39, 5, 15, 3, 24, 0, 0, 0, 95, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 13, 7, 2, 4, 4, 0, 0, 5, 0, 25, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[82.32, 86.39, 72.18, 70.98, 52.63, 40.98, 30.84, 26.86, 34.34, 44.84, 34.54, 34.77, 35.75, 24.45, 19.99, 16.75, 16.37, 16.11, 15.42, 14.26, 20.65, 14.23, 11.94, 9.39, 8.75, 8.26, 6.78, 7.64, 6.45, 4.96, 4.54, 5.12, 3.59, 4.21, 3.37, 2.57, 4.3, 6.09, 3.84, 3.43, 2.85, 3.26, 2.34, 2.56, 2.36, 12.6, 5.43, 3.94, 3.13, 2.51, 2.6, 1.51, 1.13, 1.19, 1.01, 0.56, 0.47, 0.42, 0.11]"
"[4, 9, 11, 10, 6, 8, 0, 32, 3, 49, 16, 2, 12, 13, 37, 29, 14, 5, 54, 31, 15, 7, 25, 17, 1, 35, 34, 58, 51, 53, 42, 30, 19, 46, 59, 38, 26, 27, 50, 22, 55, 57, 28, 40, 47, 48, 52, 36, 44, 24, 45, 39, 18, 41, 21, 23, 33, 56, 20, 43]","[0, 29, 95, 79, 0, 0, 81, 15, 5, 15, 0, 6, 39, 5, 0, 3, 9, 24, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 4, 2, 4, 0, 2, 0, 7, 0, 25, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[83.7, 65.93, 81.49, 78.71, 50.32, 46.11, 52.9, 46.0, 40.56, 33.75, 34.03, 29.29, 27.05, 24.12, 18.95, 19.01, 16.77, 17.44, 16.62, 18.82, 12.41, 10.43, 12.05, 9.24, 8.99, 7.7, 6.65, 6.87, 4.98, 4.77, 4.46, 5.48, 5.29, 5.62, 4.46, 4.25, 4.62, 3.88, 3.24, 3.38, 3.26, 3.34, 3.55, 2.57, 12.56, 5.27, 3.2, 2.74, 2.15, 2.65, 1.79, 1.37, 1.18, 1.1, 1.0, 0.44, 0.67, 0.59, 0.21]"
"[5, 11, 9, 10, 6, 8, 0, 32, 3, 49, 16, 2, 12, 37, 13, 7, 29, 54, 31, 15, 1, 14, 25, 21, 58, 4, 35, 17, 59, 34, 51, 55, 57, 50, 18, 46, 53, 38, 26, 22, 30, 28, 27, 24, 40, 47, 48, 45, 36, 52, 42, 23, 44, 39, 33, 19, 41, 56, 20, 43]","[24, 95, 29, 79, 0, 0, 81, 15, 5, 15, 0, 6, 39, 0, 5, 0, 3, 0, 0, 0, 95, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 5, 4, 0, 13, 7, 2, 0, 0, 25, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[85.88, 88.8, 78.36, 76.62, 51.17, 46.03, 51.55, 46.49, 37.37, 36.36, 37.12, 30.75, 29.67, 26.45, 23.25, 19.16, 18.31, 16.1, 17.3, 11.37, 18.69, 14.55, 10.47, 10.49, 8.34, 8.08, 9.16, 7.3, 6.07, 5.57, 4.68, 4.68, 3.99, 3.78, 4.39, 2.98, 3.66, 2.97, 3.9, 3.07, 3.74, 6.47, 3.58, 2.79, 2.63, 12.96, 5.44, 4.09, 3.04, 2.89, 1.41, 1.41, 1.63, 1.01, 0.93, 1.0, 0.74, 0.63, 0.33]"
"[6, 37, 9, 11, 10, 8, 0, 32, 3, 2, 16, 49, 12, 13, 29, 5, 7, 31, 15, 54, 1, 14, 4, 25, 21, 58, 17, 46, 59, 34, 35, 51, 42, 24, 55, 50, 18, 57, 48, 47, 52, 45, 40, 53, 30, 28, 27, 26, 36, 38, 22, 44, 41, 19, 23, 56, 33, 20, 39, 43]","[0, 0, 29, 95, 79, 0, 81, 15, 5, 6, 0, 15, 39, 5, 3, 24, 0, 0, 0, 0, 95, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 15, 25, 0, 0, 0, 0, 13, 7, 2, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50.2, 60.29, 37.61, 58.03, 47.47, 42.83, 56.05, 49.16, 40.71, 34.26, 33.29, 35.14, 27.1, 20.25, 18.73, 17.48, 16.57, 14.52, 12.04, 12.19, 14.78, 14.13, 11.36, 12.28, 11.83, 7.75, 7.05, 7.68, 6.26, 5.65, 4.57, 4.07, 3.42, 3.44, 3.33, 2.78, 2.83, 3.47, 6.28, 6.34, 5.08, 4.33, 2.96, 2.53, 2.6599999999999993, 5.69, 3.59, 2.79, 2.3, 2.85, 1.71, 1.52, 1.45, 1.22, 0.89, 0.78, 0.59, 0.7, 0.04]"
"[7, 10, 11, 6, 9, 0, 49, 3, 16, 2, 8, 12, 32, 13, 37, 29, 54, 31, 15, 5, 1, 25, 21, 14, 58, 17, 4, 34, 38, 59, 35, 55, 46, 51, 50, 53, 42, 19, 57, 18, 30, 27, 26, 39, 48, 47, 45, 40, 52, 36, 28, 22, 23, 24, 41, 56, 33, 20, 44, 43]","[0, 79, 95, 0, 29, 81, 15, 5, 0, 6, 0, 39, 15, 5, 0, 3, 0, 0, 0, 24, 95, 0, 0, 9, 0, 0, 0, 0, 5, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 13, 2, 4, 0, 15, 25, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[74.56, 80.12, 86.79, 70.09, 50.0, 47.55, 46.81, 42.25, 39.72, 35.72, 33.75, 33.75, 25.71, 25.28, 18.53, 17.33, 16.48, 17.93, 16.42, 12.96, 14.96, 11.26, 10.33, 9.19, 8.04, 8.97, 10.31, 6.89, 10.22, 6.86, 7.35, 4.97, 4.78, 4.9, 3.52, 3.84, 3.24, 2.53, 2.48, 2.73, 4.06, 3.31, 2.57, 2.66, 5.67, 5.02, 5.03, 4.2, 2.67, 2.53, 2.24, 2.0, 1.51, 1.11, 0.74, 0.87, 0.61, 0.59, 0.31000000000000005]"
"[8, 10, 9, 11, 6, 0, 32, 3, 49, 16, 2, 12, 13, 37, 7, 31, 15, 5, 21, 54, 14, 1, 25, 29, 4, 51, 17, 58, 34, 35, 59, 46, 50, 42, 55, 53, 18, 38, 40, 57, 30, 22, 26, 27, 48, 47, 45, 36, 24, 52, 28, 23, 39, 41, 44, 56, 19, 43, 33, 20]","[0, 79, 29, 95, 0, 81, 15, 5, 15, 0, 6, 39, 5, 0, 0, 0, 0, 24, 0, 0, 9, 95, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 5, 0, 0, 13, 0, 4, 2, 15, 25, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[70.68, 77.61, 68.25, 67.11, 48.42, 53.05, 48.48, 36.85, 36.95, 31.27, 33.09, 28.69, 22.79, 19.11, 18.04, 20.26, 18.05, 16.6, 15.49, 14.33, 12.87, 15.15, 12.67, 10.83, 8.25, 7.4, 9.59, 8.59, 6.08, 4.99, 4.98, 4.03, 4.49, 3.61, 3.05, 3.89, 2.88, 2.87, 4.25, 2.35, 4.66, 3.1, 2.61, 2.67, 6.25, 4.69, 3.63, 2.45, 3.09, 2.08, 1.52, 2.21, 1.17, 0.99, 1.06, 1.03, 0.62, 0.5, 0.53]"
"[9, 0, 10, 11, 6, 49, 32, 8, 3, 16, 2, 12, 13, 37, 7, 29, 54, 5, 15, 31, 1, 25, 21, 58, 4, 14, 34, 51, 35, 17, 50, 53, 59, 42, 46, 55, 38, 26, 19, 57, 30, 28, 27, 40, 18, 47, 48, 52, 36, 45, 24, 39, 22, 41, 44, 23, 33, 20, 56, 43]","[29, 81, 79, 95, 0, 15, 15, 0, 5, 0, 6, 39, 5, 0, 0, 3, 0, 24, 0, 0, 95, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 5, 4, 0, 0, 13, 7, 2, 0, 0, 25, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58.76, 71.52, 78.81, 81.1, 48.84, 51.4, 51.0, 50.64, 37.63, 35.55, 34.79, 28.29, 26.64, 20.28, 21.26, 19.03, 17.24, 17.16, 18.07, 13.65, 15.4, 12.19, 10.8, 9.77, 8.02, 8.76, 8.5, 8.75, 8.04, 5.15, 4.59, 6.12, 3.31, 3.07, 5.08, 3.04, 3.66, 3.4, 3.12, 2.76, 3.44, 6.01, 3.0, 2.76, 2.53, 11.52, 3.57, 3.1, 3.19, 2.5, 1.82, 2.24, 1.87, 1.46, 1.23, 0.86, 0.48, 0.67, 0.37]"
