selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 6, 11, 8, 16, 10, 9, 14, 1, 35, 29, 26, 21, 19, 30, 20, 27, 32, 7, 48, 2, 24, 3, 5, 23, 34, 40, 41, 54, 22, 37, 12, 18, 46, 38, 42, 39, 4, 53, 36, 47, 51, 59, 33, 44, 45, 43, 52, 25, 15, 13, 31, 57, 28, 49, 17, 56, 58, 55, 50]","[65, 30, 28, 60, 22, 10, 44, 76, 82, 47, 16, 24, 31, 14, 14, 48, 16, 18, 18, 18, 49, 44, 74, 18, 18, 11, 37, 40, 43, 36, 35, 50, 8, 5, 30, 23, 22, 24, 18, 10, 12, 28, 0, 9, 37, 17, 15, 2, 8, 28, 52, 7, 4, 25, 24, 70, 1, 35, 2, 8]","[88.51, 79.65, 74.97, 65.48, 74.01, 55.94, 54.6, 64.26, 71.78, 76.56, 72.48, 59.52, 73.12, 65.88, 50.87, 49.42, 47.47, 47.31, 44.85, 41.64, 41.24, 41.57, 46.78, 42.32, 39.61, 45.2, 44.31, 38.38, 38.9, 37.9, 36.78, 35.23, 34.72, 36.24, 32.52, 42.17, 37.61, 36.75, 37.06, 31.75, 26.58, 28.13, 25.65, 26.91, 28.71, 30.04, 22.76, 21.39, 24.63, 21.2, 21.45, 21.07, 18.3, 18.52, 18.07, 19.16, 17.05, 16.16, 12.63]"
"[1, 6, 11, 9, 37, 20, 38, 24, 8, 7, 54, 30, 3, 12, 53, 34, 35, 48, 39, 19, 29, 40, 41, 4, 42, 23, 26, 10, 36, 47, 5, 21, 18, 22, 33, 44, 43, 45, 51, 25, 52, 27, 0, 2, 46, 15, 57, 17, 31, 56, 32, 49, 28, 59, 14, 13, 16, 50, 55, 58]","[82, 30, 28, 44, 35, 48, 30, 44, 60, 18, 43, 14, 74, 50, 18, 11, 47, 18, 22, 14, 16, 37, 40, 24, 23, 18, 24, 10, 10, 12, 18, 31, 8, 36, 9, 37, 15, 17, 28, 8, 2, 16, 65, 49, 5, 28, 4, 70, 7, 1, 18, 24, 25, 0, 76, 52, 22, 8, 2, 35]","[89.2, 78.17, 77.84, 67.8, 71.84, 70.36, 65.43, 63.39, 59.92, 59.26, 55.71, 61.83, 54.55, 51.15, 62.53, 57.78, 51.32, 46.38, 43.32, 44.95, 39.96, 40.5, 38.42, 36.26, 36.55, 33.82, 33.77, 35.78, 29.44, 31.4, 30.48, 31.27, 26.95, 26.18, 25.37, 28.84, 26.98, 24.4, 25.34, 21.71, 24.13, 21.72, 32.84, 30.78, 20.48, 19.95, 20.26, 29.03, 26.58, 23.22, 20.94, 18.43, 19.01, 16.5, 18.83, 17.35, 15.27, 12.52, 9.92]"
"[2, 11, 9, 10, 6, 8, 0, 49, 12, 1, 37, 35, 38, 3, 7, 40, 36, 34, 29, 48, 41, 14, 20, 19, 39, 53, 23, 4, 54, 5, 42, 30, 46, 47, 32, 21, 18, 26, 15, 22, 16, 45, 24, 51, 52, 33, 59, 27, 25, 13, 57, 44, 43, 17, 31, 28, 56, 55, 50, 58]","[49, 28, 44, 10, 30, 60, 65, 24, 50, 82, 35, 47, 30, 74, 18, 37, 10, 11, 16, 18, 40, 76, 48, 14, 22, 18, 18, 24, 43, 18, 23, 14, 5, 12, 18, 31, 8, 24, 28, 36, 22, 17, 44, 28, 2, 9, 0, 16, 8, 52, 4, 37, 15, 70, 7, 25, 1, 2, 8, 35]","[86.58, 65.16, 66.99, 53.31, 48.62, 49.62, 49.35, 46.1, 45.43, 77.4, 62.09, 55.12, 53.03, 53.51, 63.24, 58.25, 53.4, 47.74, 45.95, 44.67, 46.57, 55.13, 49.89, 45.05, 41.94, 39.26, 39.28, 37.32, 35.91, 36.46, 36.84, 32.59, 30.01, 29.58, 31.69, 29.68, 28.51, 27.36, 27.52, 27.36, 26.89, 26.28, 26.11, 25.46, 25.22, 24.87, 22.83, 22.97, 21.76, 21.57, 21.26, 25.24, 18.11, 21.89, 16.87, 17.62, 14.39, 13.45, 10.75]"
"[3, 6, 9, 10, 11, 1, 37, 35, 26, 14, 7, 48, 8, 53, 38, 34, 20, 19, 40, 41, 39, 36, 29, 23, 54, 42, 5, 47, 30, 21, 18, 22, 4, 12, 46, 44, 45, 43, 24, 51, 33, 52, 16, 27, 59, 0, 2, 25, 32, 15, 57, 13, 31, 28, 49, 17, 56, 55, 50, 58]","[74, 30, 44, 10, 28, 82, 35, 47, 24, 76, 18, 18, 60, 18, 30, 11, 48, 14, 37, 40, 22, 10, 16, 18, 43, 23, 18, 12, 14, 31, 8, 36, 24, 50, 5, 37, 17, 15, 44, 28, 9, 2, 22, 16, 0, 65, 49, 8, 18, 28, 4, 52, 7, 25, 24, 70, 1, 2, 8, 35]","[87.89, 77.8, 82.07, 71.94, 61.78, 78.9, 66.12, 60.34, 52.35, 59.67, 58.82, 53.54, 52.0, 47.18, 46.64, 50.72, 51.42, 45.63, 43.6, 41.72, 38.56, 38.13, 35.3, 35.07, 35.21, 34.64, 31.48, 29.95, 28.65, 28.82, 27.8, 28.95, 28.29, 27.01, 25.77, 30.72, 27.21, 27.41, 26.38, 26.26, 23.72, 21.91, 20.81, 22.58, 21.56, 32.27, 23.97, 23.81, 22.07, 19.79, 17.79, 18.24, 16.65, 18.04, 16.27, 17.57, 14.76, 12.21, 10.29]"
"[4, 6, 9, 2, 38, 35, 37, 8, 10, 30, 11, 0, 12, 21, 24, 19, 54, 7, 1, 3, 20, 34, 48, 41, 39, 29, 40, 53, 23, 42, 5, 36, 46, 47, 22, 18, 26, 15, 33, 44, 43, 45, 25, 52, 27, 55, 51, 57, 28, 14, 32, 16, 59, 13, 49, 31, 17, 56, 50, 58]","[24, 30, 44, 49, 30, 47, 35, 60, 10, 14, 28, 65, 50, 31, 44, 14, 43, 18, 82, 74, 48, 11, 18, 40, 22, 16, 37, 18, 18, 23, 18, 10, 5, 12, 36, 8, 24, 28, 9, 37, 15, 17, 8, 2, 16, 2, 28, 4, 25, 76, 18, 22, 0, 52, 24, 7, 70, 1, 8, 35]","[85.83, 78.67, 77.32, 72.69, 66.19, 60.19, 57.47, 70.4, 67.9, 64.78, 53.11, 50.99, 82.03, 61.42, 53.17, 55.4, 45.6, 44.06, 56.67, 50.81, 62.38, 52.5, 48.05, 47.74, 43.59, 43.72, 41.72, 39.91, 36.08, 37.35, 34.44, 30.17, 29.83, 30.02, 30.85, 29.24, 28.7, 26.49, 24.17, 28.64, 28.8, 23.79, 23.43, 21.84, 22.54, 22.08, 20.07, 18.67, 18.83, 22.19, 18.75, 19.89, 17.57, 17.02, 17.08, 14.87, 22.58, 12.63, 14.62]"
"[5, 11, 9, 2, 8, 10, 6, 16, 0, 1, 14, 32, 49, 12, 3, 27, 19, 26, 21, 29, 35, 22, 7, 48, 20, 24, 30, 23, 37, 34, 38, 41, 40, 4, 54, 18, 46, 53, 39, 42, 47, 52, 36, 15, 44, 43, 45, 51, 33, 55, 25, 59, 28, 57, 13, 17, 31, 56, 50, 58]","[18, 28, 44, 49, 60, 10, 30, 22, 65, 82, 76, 18, 24, 50, 74, 16, 14, 24, 31, 16, 47, 36, 18, 18, 48, 44, 14, 18, 35, 11, 30, 40, 37, 24, 43, 8, 5, 18, 22, 23, 12, 2, 10, 28, 37, 15, 17, 28, 9, 2, 8, 0, 25, 4, 52, 70, 7, 1, 8, 35]","[84.78, 58.91, 50.78, 58.2, 71.25, 57.94, 49.31, 49.26, 49.23, 64.98, 56.92, 48.53, 47.05, 45.99, 78.38, 67.25, 55.79, 48.22, 48.33, 50.59, 49.25, 49.97, 47.16, 42.07, 43.2, 40.64, 41.02, 37.09, 37.6, 43.92, 40.82, 42.75, 38.42, 37.94, 34.6, 32.03, 31.37, 38.93, 36.45, 32.96, 28.61, 28.83, 28.28, 25.78, 29.43, 27.64, 24.66, 24.09, 24.66, 21.31, 20.45, 18.48, 18.91, 18.03, 16.76, 26.6, 18.63, 15.59, 13.01]"
"[6, 9, 10, 11, 30, 21, 37, 54, 12, 19, 7, 18, 16, 1, 3, 22, 29, 5, 34, 27, 32, 42, 41, 40, 39, 38, 48, 8, 0, 2, 35, 4, 20, 53, 23, 46, 47, 26, 36, 15, 44, 45, 25, 43, 24, 33, 51, 52, 57, 14, 59, 49, 31, 13, 28, 56, 17, 55, 50, 58]","[30, 44, 10, 28, 14, 31, 35, 43, 50, 14, 18, 8, 22, 82, 74, 36, 16, 18, 11, 16, 18, 23, 40, 37, 22, 30, 18, 60, 65, 49, 47, 24, 48, 18, 18, 5, 12, 24, 10, 28, 37, 17, 8, 15, 44, 9, 28, 2, 4, 76, 0, 24, 7, 52, 25, 1, 70, 2, 8, 35]","[70.35, 57.46, 60.31, 58.18, 61.22, 50.82, 46.53, 38.59, 56.46, 39.03, 36.97, 38.68, 43.85, 56.83, 58.43, 53.64, 51.7, 42.89, 42.74, 31.74, 33.05, 32.69, 34.03, 33.03, 30.41, 29.98, 29.8, 33.85, 47.78, 39.69, 38.51, 33.26, 39.01, 33.31, 36.75, 32.9, 32.39, 28.26, 30.05, 27.4, 30.84, 28.38, 27.4, 26.9, 25.72, 21.65, 22.63, 21.44, 18.12, 23.95, 20.76, 20.5, 18.71, 17.4, 15.65, 16.58, 14.34, 13.81, 10.75]"
"[7, 6, 11, 37, 9, 8, 10, 30, 54, 0, 36, 34, 41, 40, 39, 16, 53, 35, 48, 38, 49, 1, 3, 14, 19, 4, 5, 29, 42, 46, 12, 47, 2, 23, 15, 33, 32, 45, 21, 22, 18, 51, 20, 26, 57, 24, 59, 44, 43, 25, 27, 52, 13, 31, 17, 56, 28, 58, 55, 50]","[18, 30, 28, 35, 44, 60, 10, 14, 43, 65, 10, 11, 40, 37, 22, 22, 18, 47, 18, 30, 24, 82, 74, 76, 14, 24, 18, 16, 23, 5, 50, 12, 49, 18, 28, 9, 18, 17, 31, 36, 8, 28, 48, 24, 4, 44, 0, 37, 15, 8, 16, 2, 52, 7, 70, 1, 25, 35, 2, 8]","[81.75, 67.42, 54.98, 65.59, 48.32, 61.33, 54.73, 49.94, 47.36, 49.42, 52.06, 46.07, 47.35, 42.47, 41.88, 39.3, 34.56, 41.55, 35.64, 36.17, 36.91, 39.9, 46.98, 43.04, 40.93, 38.15, 36.66, 36.26, 36.84, 34.55, 30.37, 31.07, 32.33, 26.68, 25.75, 26.73, 24.85, 24.74, 27.74, 29.93, 24.65, 24.77, 28.11, 23.58, 24.64, 25.01, 22.38, 25.4, 24.57, 22.04, 20.34, 18.57, 21.42, 18.13, 18.7, 16.37, 15.99, 17.38, 14.42]"
"[8, 11, 9, 10, 6, 0, 16, 1, 14, 35, 26, 19, 27, 21, 29, 7, 48, 34, 41, 39, 40, 38, 3, 53, 4, 5, 54, 42, 46, 37, 36, 23, 12, 2, 47, 44, 45, 43, 22, 18, 32, 25, 52, 15, 59, 33, 51, 30, 49, 24, 20, 28, 57, 13, 31, 17, 56, 50, 58, 55]","[60, 28, 44, 10, 30, 65, 22, 82, 76, 47, 24, 14, 16, 31, 16, 18, 18, 11, 40, 22, 37, 30, 74, 18, 24, 18, 43, 23, 5, 35, 10, 18, 50, 49, 12, 37, 17, 15, 36, 8, 18, 8, 2, 28, 0, 9, 28, 14, 24, 44, 48, 25, 4, 52, 7, 70, 1, 8, 35, 2]","[84.14, 61.84, 69.76, 59.5, 48.11, 56.36, 55.46, 65.07, 69.79, 78.64, 66.26, 67.72, 57.21, 50.35, 49.48, 46.01, 42.25, 43.33, 44.96, 40.64, 39.37, 39.26, 36.06, 35.02, 34.5, 33.76, 35.23, 34.79, 37.56, 36.46, 32.66, 33.84, 29.51, 32.57, 27.54, 30.49, 28.16, 27.61, 29.27, 25.96, 24.78, 25.67, 26.55, 23.77, 25.1, 23.84, 24.67, 23.36, 22.88, 24.99, 18.06, 20.66, 16.71, 20.98, 17.63, 20.64, 14.73, 14.67, 16.38]"
"[9, 10, 11, 37, 30, 6, 8, 54, 0, 27, 29, 49, 19, 12, 2, 35, 34, 48, 20, 23, 41, 38, 1, 3, 40, 4, 39, 53, 5, 7, 42, 47, 21, 15, 46, 36, 44, 45, 43, 18, 22, 26, 25, 33, 24, 51, 55, 14, 32, 16, 52, 13, 57, 31, 59, 28, 17, 56, 50, 58]","[44, 10, 28, 35, 14, 30, 60, 43, 65, 16, 16, 24, 14, 50, 49, 47, 11, 18, 48, 18, 40, 30, 82, 74, 37, 24, 22, 18, 18, 18, 23, 12, 31, 28, 5, 10, 37, 17, 15, 8, 36, 24, 8, 9, 44, 28, 2, 76, 18, 22, 2, 52, 4, 7, 0, 25, 70, 1, 8, 35]","[66.89, 50.95, 52.5, 56.61, 51.75, 48.81, 44.43, 45.04, 71.32, 51.56, 50.38, 49.3, 47.1, 45.78, 47.94, 53.34, 44.46, 45.13, 41.67, 46.58, 42.03, 39.4, 44.98, 42.97, 40.62, 41.62, 37.61, 37.53, 42.22, 39.48, 31.08, 30.36, 31.0, 30.9, 34.37, 28.95, 32.42, 30.6, 30.3, 27.4, 28.16, 24.53, 25.76, 24.3, 25.01, 23.6, 22.34, 28.08, 24.19, 23.75, 20.98, 21.65, 21.21, 21.42, 17.19, 15.27, 18.61, 13.97, 12.25]"
