selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 6, 11, 38, 1, 5, 2, 49, 32, 10, 3, 8, 21, 7, 12, 25, 24, 22, 30, 4, 31, 20, 19, 16, 18, 37, 27, 15, 42, 13, 14, 9, 23, 44, 43, 50, 54, 55, 46, 17, 56, 45, 29, 51, 40, 39, 41, 35, 53, 57, 26, 59, 28, 34, 33, 58, 52, 48, 47, 36]","[65, 30, 28, 30, 82, 18, 49, 24, 18, 10, 74, 60, 31, 18, 50, 8, 44, 36, 14, 24, 7, 48, 14, 22, 8, 35, 16, 28, 23, 52, 76, 44, 18, 37, 15, 8, 43, 2, 5, 70, 1, 17, 16, 28, 37, 22, 40, 47, 18, 4, 24, 0, 25, 11, 9, 35, 2, 18, 12, 10]","[88.51, 79.65, 88.73, 57.85, 68.99, 62.71, 52.92, 50.62, 53.72, 55.51, 53.14, 89.92, 54.88, 52.81, 49.36, 79.94, 62.86, 60.74, 48.06, 42.41, 56.45, 49.4, 54.5, 47.05, 46.09, 42.55, 38.35, 37.38, 36.84, 38.77, 38.77, 34.7, 33.42, 33.5, 31.22, 26.75, 28.48, 24.36, 25.47, 27.39, 24.23, 22.25, 21.7, 20.63, 23.52, 23.42, 20.74, 19.05, 18.8, 18.93, 17.79, 16.69, 15.94, 15.65, 12.62, 13.43, 12.41, 11.54, 9.83]"
"[1, 6, 11, 2, 5, 7, 49, 3, 10, 32, 0, 12, 21, 37, 8, 4, 25, 24, 20, 30, 22, 38, 54, 9, 19, 31, 18, 27, 42, 15, 14, 13, 16, 44, 23, 43, 50, 55, 46, 45, 17, 56, 29, 35, 51, 40, 41, 39, 57, 26, 53, 59, 28, 34, 33, 48, 52, 47, 58, 36]","[82, 30, 28, 49, 18, 18, 24, 74, 10, 18, 65, 50, 31, 35, 60, 24, 8, 44, 48, 14, 36, 30, 43, 44, 14, 7, 8, 16, 23, 28, 76, 52, 22, 37, 18, 15, 8, 2, 5, 17, 70, 1, 16, 47, 28, 37, 40, 22, 4, 24, 18, 0, 25, 11, 9, 18, 2, 12, 35, 10]","[89.2, 78.17, 75.01, 69.48, 61.63, 59.91, 57.25, 59.06, 53.94, 54.01, 56.23, 89.73, 56.59, 49.2, 53.53, 43.73, 84.16, 65.02, 63.46, 57.77, 54.02, 52.08, 49.29, 49.08, 45.67, 47.89, 40.69, 42.03, 40.42, 39.08, 38.25, 37.38, 35.68, 34.73, 33.22, 31.76, 25.48, 25.67, 24.67, 25.97, 27.4, 22.32, 21.61, 22.01, 21.23, 23.7, 23.41, 20.57, 19.42, 18.15, 18.73, 16.7, 15.86, 15.19, 13.62, 13.2, 12.47, 11.28, 9.97]"
"[2, 11, 9, 32, 10, 1, 5, 8, 7, 3, 49, 12, 35, 38, 48, 0, 4, 6, 25, 21, 37, 30, 14, 42, 13, 31, 16, 15, 50, 44, 43, 24, 18, 23, 22, 19, 54, 55, 46, 17, 56, 20, 45, 51, 40, 41, 39, 29, 57, 27, 26, 53, 28, 34, 59, 33, 52, 47, 58, 36]","[49, 28, 44, 18, 10, 82, 18, 60, 18, 74, 24, 50, 47, 30, 18, 65, 24, 30, 8, 31, 35, 14, 76, 23, 52, 7, 22, 28, 8, 37, 15, 44, 8, 18, 36, 14, 43, 2, 5, 70, 1, 48, 17, 28, 37, 40, 22, 16, 4, 16, 24, 18, 25, 11, 0, 9, 2, 12, 35, 10]","[86.58, 65.16, 52.23, 56.98, 57.9, 67.06, 59.19, 60.51, 55.17, 54.89, 52.37, 71.66, 66.9, 61.07, 51.85, 52.59, 49.61, 43.03, 92.36, 50.95, 46.5, 44.8, 42.0, 42.09, 41.99, 46.57, 40.66, 33.87, 33.06, 32.71, 29.06, 33.22, 32.09, 29.84, 29.05, 28.03, 27.51, 27.01, 23.68, 29.07, 23.94, 23.81, 22.33, 21.93, 23.17, 23.92, 20.77, 21.48, 19.86, 18.38, 18.65, 15.63, 16.48, 16.21, 13.72, 13.26, 13.15, 12.39, 11.0]"
"[3, 6, 9, 24, 21, 1, 2, 5, 12, 10, 32, 7, 0, 37, 49, 19, 8, 4, 31, 15, 25, 30, 11, 42, 14, 13, 16, 18, 44, 43, 50, 22, 23, 54, 55, 46, 17, 56, 45, 20, 51, 29, 57, 40, 41, 39, 38, 35, 53, 27, 26, 59, 28, 33, 34, 52, 58, 36, 48, 47]","[74, 30, 44, 44, 31, 82, 49, 18, 50, 10, 18, 18, 65, 35, 24, 14, 60, 24, 7, 28, 8, 14, 28, 23, 76, 52, 22, 8, 37, 15, 8, 36, 18, 43, 2, 5, 70, 1, 17, 48, 28, 16, 4, 37, 40, 22, 30, 47, 18, 16, 24, 0, 25, 9, 11, 2, 35, 10, 18, 12]","[87.89, 77.8, 89.48, 79.97, 79.37, 77.4, 73.31, 71.26, 65.21, 63.18, 60.91, 59.29, 56.37, 57.31, 65.79, 48.74, 52.29, 43.51, 42.58, 43.87, 61.86, 40.82, 40.28, 37.77, 37.41, 36.29, 33.88, 32.55, 33.92, 31.1, 29.54, 28.75, 28.93, 28.04, 25.54, 25.78, 25.99, 24.86, 25.37, 21.72, 21.0, 22.24, 20.93, 24.3, 24.65, 21.28, 22.34, 21.2, 20.23, 19.06, 18.39, 16.85, 14.71, 13.7, 13.8, 11.59, 10.75, 9.88, 11.47]"
"[4, 6, 9, 32, 10, 35, 38, 48, 37, 39, 8, 29, 7, 42, 53, 16, 34, 24, 21, 30, 2, 5, 1, 49, 3, 12, 0, 31, 14, 11, 13, 15, 25, 18, 44, 43, 22, 23, 50, 54, 19, 55, 46, 17, 56, 20, 45, 40, 41, 51, 27, 59, 57, 26, 28, 33, 52, 47, 58, 36]","[24, 30, 44, 18, 10, 47, 30, 18, 35, 22, 60, 16, 18, 23, 18, 22, 11, 44, 31, 14, 49, 18, 82, 24, 74, 50, 65, 7, 76, 28, 52, 28, 8, 8, 37, 15, 36, 18, 8, 43, 14, 2, 5, 70, 1, 48, 17, 37, 40, 28, 16, 0, 4, 24, 25, 9, 2, 12, 35, 10]","[85.83, 78.67, 50.13, 54.62, 70.1, 67.89, 59.86, 54.79, 48.33, 47.57, 44.62, 49.45, 43.06, 43.81, 39.19, 39.02, 81.73, 69.47999999999999, 63.79, 55.54, 50.57, 46.9, 51.85, 48.66, 55.26, 48.79, 45.54, 43.21, 47.88, 42.47, 40.06, 37.13, 33.4, 32.44, 33.04, 30.82, 31.41, 31.86, 28.38, 28.98, 27.85, 27.98, 23.99, 25.49, 24.17, 23.54, 22.36, 24.12, 21.95, 19.4, 18.9, 19.46, 18.14, 16.45, 14.2, 13.24, 12.84, 12.56, 10.38]"
"[5, 11, 9, 38, 35, 41, 20, 6, 28, 48, 7, 16, 53, 12, 10, 0, 49, 3, 30, 37, 13, 32, 1, 2, 25, 27, 29, 4, 31, 19, 26, 15, 8, 14, 42, 24, 23, 44, 18, 50, 43, 54, 55, 40, 46, 21, 22, 39, 51, 45, 17, 56, 57, 59, 34, 33, 52, 47, 36, 58]","[18, 28, 44, 30, 47, 40, 48, 30, 25, 18, 18, 22, 18, 50, 10, 65, 24, 74, 14, 35, 52, 18, 82, 49, 8, 16, 16, 24, 7, 14, 24, 28, 60, 76, 23, 44, 18, 37, 8, 8, 15, 43, 2, 37, 5, 31, 36, 22, 28, 17, 70, 1, 4, 0, 11, 9, 2, 12, 10, 35]","[84.78, 58.91, 77.0, 86.88, 79.75, 75.79, 59.62, 60.31, 57.25, 46.86, 43.87, 48.22, 60.04, 54.81, 55.55, 54.33, 49.64, 48.77, 48.41, 47.36, 45.44, 40.23, 70.29, 50.5, 38.11, 34.91, 48.77, 46.78, 31.78, 29.15, 28.27, 26.47, 44.59, 41.78, 36.82, 37.22, 35.93, 33.83, 34.28, 33.7, 29.67, 27.81, 28.07, 29.24, 27.7, 29.66, 23.99, 23.71, 22.51, 23.02, 32.33, 19.28, 17.94, 15.76, 14.93, 13.54, 14.06, 10.56, 9.34]"
"[6, 9, 10, 38, 37, 41, 20, 7, 14, 35, 24, 21, 28, 34, 16, 23, 47, 40, 19, 36, 11, 29, 8, 30, 45, 1, 5, 2, 32, 49, 3, 4, 12, 0, 13, 31, 42, 15, 25, 44, 18, 43, 50, 22, 54, 55, 46, 39, 17, 56, 51, 27, 53, 26, 57, 59, 33, 52, 48, 58]","[30, 44, 10, 30, 35, 40, 48, 18, 76, 47, 44, 31, 25, 11, 22, 18, 12, 37, 14, 10, 28, 16, 60, 14, 17, 82, 18, 49, 18, 24, 74, 24, 50, 65, 52, 7, 23, 28, 8, 37, 8, 15, 8, 36, 43, 2, 5, 22, 70, 1, 28, 16, 18, 24, 4, 0, 9, 2, 18, 35]","[70.35, 57.46, 65.99, 80.08, 66.75, 58.45, 55.87, 50.21, 66.07, 61.54, 59.4, 58.02, 51.0, 52.74, 48.76, 45.99, 39.65, 41.12, 38.09, 38.06, 36.03, 36.24, 34.15, 34.0, 71.68, 73.36, 63.33, 54.73, 48.94, 52.61, 52.32, 50.35, 44.59, 42.91, 42.76, 39.59, 40.23, 35.61, 32.45, 33.91, 33.23, 32.55, 29.95, 28.42, 26.62, 26.87, 24.8, 25.75, 28.03, 23.26, 22.4, 19.81, 19.48, 19.6, 17.02, 14.74, 13.99, 13.22, 10.92]"
"[7, 6, 11, 10, 36, 1, 5, 2, 32, 3, 0, 12, 49, 4, 25, 37, 30, 31, 14, 8, 42, 15, 9, 16, 13, 44, 43, 50, 54, 22, 21, 24, 18, 19, 55, 46, 23, 17, 56, 45, 20, 29, 51, 35, 40, 41, 39, 38, 27, 26, 57, 53, 28, 59, 33, 34, 52, 58, 48, 47]","[18, 30, 28, 10, 10, 82, 18, 49, 18, 74, 65, 50, 24, 24, 8, 35, 14, 7, 76, 60, 23, 28, 44, 22, 52, 37, 15, 8, 43, 36, 31, 44, 8, 14, 2, 5, 18, 70, 1, 17, 48, 16, 28, 47, 37, 40, 22, 30, 16, 24, 4, 18, 25, 0, 9, 11, 2, 35, 18, 12]","[81.75, 67.42, 67.85, 57.88, 63.86, 66.1, 54.03, 47.96, 53.63, 55.69, 56.51, 55.69, 49.93, 41.51, 53.91, 47.23, 42.62, 39.25, 41.77, 40.31, 40.04, 35.59, 36.51, 34.28, 32.77, 33.21, 30.6, 28.15, 27.55, 32.6, 31.66, 34.38, 31.31, 27.73, 28.69, 27.81, 23.77, 27.1, 24.78, 23.96, 21.4, 22.02, 21.93, 20.68, 23.21, 23.94, 19.61, 19.98, 19.01, 20.38, 19.6, 15.5, 16.86, 14.22, 14.74, 13.49, 10.29, 10.84, 11.53]"
"[8, 11, 9, 38, 35, 20, 41, 21, 24, 7, 6, 27, 23, 34, 16, 40, 10, 45, 48, 19, 47, 14, 1, 5, 2, 32, 49, 3, 4, 12, 0, 31, 15, 25, 42, 13, 18, 44, 50, 43, 22, 37, 54, 55, 46, 30, 17, 56, 39, 51, 53, 29, 26, 57, 59, 28, 33, 52, 58, 36]","[60, 28, 44, 30, 47, 48, 40, 31, 44, 18, 30, 16, 18, 11, 22, 37, 10, 17, 18, 14, 12, 76, 82, 18, 49, 18, 24, 74, 24, 50, 65, 7, 28, 8, 23, 52, 8, 37, 8, 15, 36, 35, 43, 2, 5, 14, 70, 1, 22, 28, 18, 16, 24, 4, 0, 25, 9, 2, 35, 10]","[84.14, 61.84, 82.78, 78.94, 80.13, 67.72, 63.44, 62.02, 63.16, 60.35, 52.05, 48.25, 44.26, 44.09, 40.65, 39.9, 39.09, 50.96, 37.76, 34.65, 33.57, 71.13, 73.08, 64.54, 57.44, 52.8, 50.59, 49.97, 48.25, 47.82, 42.11, 40.26, 40.16, 39.74, 37.15, 33.9, 35.24, 33.04, 32.65, 30.9, 30.71, 28.64, 27.82, 25.65, 26.09, 25.25, 29.65, 24.41, 22.62, 20.76, 21.1, 19.15, 19.9, 17.3, 16.73, 14.59, 13.75, 12.74, 11.39]"
"[9, 10, 11, 36, 7, 22, 21, 54, 43, 18, 38, 55, 29, 24, 8, 23, 1, 2, 5, 0, 49, 3, 4, 12, 32, 6, 25, 14, 13, 31, 15, 42, 16, 44, 46, 50, 19, 37, 45, 30, 17, 56, 20, 51, 40, 41, 39, 35, 26, 27, 57, 53, 28, 59, 34, 33, 52, 47, 48, 58]","[44, 10, 28, 10, 18, 36, 31, 43, 15, 8, 30, 2, 16, 44, 60, 18, 82, 49, 18, 65, 24, 74, 24, 50, 18, 30, 8, 76, 52, 7, 28, 23, 22, 37, 5, 8, 14, 35, 17, 14, 70, 1, 48, 28, 37, 40, 22, 47, 24, 16, 4, 18, 25, 0, 11, 9, 2, 12, 18, 35]","[66.89, 50.95, 74.46, 44.63, 44.76, 38.12, 34.56, 35.81, 33.95, 65.59, 35.03, 31.74, 62.65, 58.53, 40.11, 36.85, 73.13, 70.33, 56.22, 55.56, 57.16, 52.91, 53.28, 55.1, 43.94, 43.48, 41.85, 39.07, 40.52, 38.16, 35.38, 33.47, 29.72, 29.65, 30.73, 29.09, 27.05, 24.74, 24.69, 23.78, 28.33, 24.37, 21.45, 20.19, 23.12, 25.15, 21.71, 19.69, 20.46, 20.14, 19.18, 15.68, 17.59, 14.87, 13.87, 13.46, 12.05, 12.85, 12.06]"
