selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 11, 8, 35, 39, 40, 41, 37, 38, 48, 34, 53, 36, 47, 33, 23, 52, 26, 29, 30, 54, 28, 27, 19, 21, 24, 20, 51, 22, 6, 18, 45, 56, 57, 17, 42, 43, 55, 16, 7, 9, 44, 25, 50, 10, 46, 12, 14, 58, 59, 49, 4, 15, 3, 1, 31, 5, 13, 32, 2]","[1, 3, 13, 24, 73, 81, 75, 56, 46, 46, 2, 31, 1, 3, 1, 1, 6, 80, 63, 47, 34, 81, 73, 34, 14, 15, 19, 77, 6, 11, 6, 3, 3, 5, 2, 27, 7, 2, 8, 13, 5, 42, 1, 14, 1, 2, 1, 10, 3, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2]","[84.75, 43.52, 18.32, 54.33, 62.59, 74.49, 64.52, 58.28, 51.77, 47.91, 47.12, 46.43, 39.35, 30.95, 28.85, 26.17, 21.53, 43.08, 54.59, 52.14, 41.95, 72.26, 64.13, 53.48, 48.98, 38.51, 36.2, 33.88, 17.12, 17.39, 15.68, 12.33, 12.7, 11.26, 11.34, 13.65, 18.86, 16.08, 12.07, 10.03, 9.65, 7.84, 7.37, 7.09, 6.73, 6.54, 5.42, 5.94, 3.93, 4.12, 3.61, 2.49, 3.31, 2.35, 2.36, 2.01, 2.05, 1.76, 1.73]"
"[1, 9, 37, 38, 35, 39, 40, 41, 48, 34, 53, 36, 47, 33, 23, 26, 29, 30, 54, 27, 28, 19, 21, 24, 10, 51, 20, 52, 22, 6, 18, 57, 45, 8, 56, 7, 17, 42, 44, 43, 55, 3, 25, 50, 58, 16, 14, 46, 12, 59, 4, 11, 49, 13, 15, 2, 31, 32, 0, 5]","[2, 5, 56, 46, 24, 73, 81, 75, 46, 2, 31, 1, 3, 1, 1, 80, 63, 47, 34, 73, 81, 34, 14, 15, 1, 77, 19, 6, 6, 11, 6, 5, 3, 13, 3, 13, 2, 27, 42, 7, 2, 2, 1, 14, 3, 8, 10, 2, 1, 2, 1, 3, 2, 2, 2, 2, 1, 1, 1, 2]","[82.43, 47.98, 53.51, 58.21, 54.47, 59.71, 67.98, 52.57, 48.19, 45.3, 44.0, 40.94, 30.89, 33.32, 22.83, 39.53, 48.0, 40.66, 40.26, 72.41, 71.04, 60.92, 56.65, 39.95, 44.6, 25.48, 22.93, 19.07, 16.7, 14.37, 16.72, 13.51, 12.06, 10.91, 12.14, 9.13, 9.21, 12.79, 22.81, 12.32, 7.3, 8.35, 7.05, 6.64, 6.36, 6.14, 6.13, 5.18, 5.25, 4.62, 4.74, 3.08, 2.34, 2.76, 2.07, 2.46, 2.24, 1.86, 1.75]"
"[2, 9, 37, 35, 38, 39, 40, 41, 48, 34, 6, 47, 53, 36, 26, 30, 27, 29, 28, 51, 20, 19, 33, 54, 21, 24, 23, 22, 52, 8, 42, 44, 43, 45, 3, 57, 18, 56, 7, 55, 17, 25, 10, 50, 16, 58, 14, 11, 46, 59, 49, 12, 4, 15, 31, 5, 1, 32, 0, 13]","[2, 5, 56, 24, 46, 73, 81, 75, 46, 2, 11, 3, 31, 1, 80, 47, 73, 63, 81, 77, 19, 34, 1, 34, 14, 15, 1, 6, 6, 13, 27, 42, 7, 3, 2, 5, 6, 3, 13, 2, 2, 1, 1, 14, 8, 3, 10, 3, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2]","[81.17, 47.54, 51.78, 50.9, 52.86, 60.93, 68.0, 52.9, 46.82, 75.36, 45.2, 46.21, 42.51, 34.37, 50.68, 50.7, 71.19, 66.09, 68.34, 75.37, 51.75, 47.58, 49.49, 49.7, 47.85, 42.58, 32.56, 23.36, 28.98, 26.81, 26.23, 24.94, 19.95, 21.25, 15.88, 15.25, 12.58, 11.14, 10.64, 10.13, 8.03, 6.32, 6.6, 6.25, 6.11, 5.9, 6.01, 5.72, 5.14, 4.11, 3.74, 3.27, 2.94, 2.45, 2.13, 1.88, 1.93, 1.76, 1.41]"
"[3, 9, 8, 42, 36, 16, 6, 44, 54, 43, 15, 45, 18, 55, 23, 7, 57, 14, 10, 41, 40, 39, 35, 48, 34, 53, 47, 37, 38, 33, 52, 26, 30, 27, 28, 51, 29, 24, 19, 21, 20, 22, 56, 17, 50, 46, 58, 25, 11, 59, 49, 4, 12, 31, 5, 13, 1, 2, 0, 32]","[2, 5, 13, 27, 1, 8, 11, 42, 34, 7, 2, 3, 6, 2, 1, 13, 5, 10, 1, 75, 81, 73, 24, 46, 2, 31, 3, 56, 46, 1, 6, 80, 47, 73, 81, 77, 63, 15, 34, 14, 19, 6, 3, 2, 14, 2, 3, 1, 3, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1]","[83.3, 44.15, 27.6, 29.16, 28.91, 22.81, 21.97, 27.16, 27.61, 24.01, 21.87, 21.14, 18.21, 15.63, 16.23, 16.53, 12.46, 11.73, 12.98, 59.24, 66.02, 54.18, 50.97, 49.98, 49.66, 43.74, 45.51, 40.91, 34.59, 26.49, 23.27, 33.25, 35.91, 47.63, 50.52, 46.32, 45.13, 28.76, 25.78, 20.61, 18.17, 14.27, 11.43, 7.6, 6.71, 5.97, 5.93, 5.88, 4.41, 4.49, 4.36, 4.62, 2.67, 1.97, 1.8, 2.15, 1.96, 1.78, 1.74]"
"[4, 6, 9, 49, 38, 37, 35, 40, 41, 39, 34, 48, 47, 53, 36, 33, 23, 26, 29, 30, 54, 27, 28, 19, 20, 21, 51, 24, 52, 22, 45, 8, 18, 57, 56, 17, 55, 58, 12, 16, 7, 42, 44, 43, 50, 46, 3, 14, 11, 10, 25, 59, 15, 0, 32, 1, 5, 2, 31, 13]","[1, 11, 5, 2, 46, 56, 24, 81, 75, 73, 2, 46, 3, 31, 1, 1, 1, 80, 63, 47, 34, 73, 81, 34, 19, 14, 77, 15, 6, 6, 3, 13, 6, 5, 3, 2, 2, 3, 1, 8, 13, 27, 42, 7, 14, 2, 2, 10, 3, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2]","[85.56, 53.34, 48.6, 65.41, 59.21, 56.43, 52.42, 67.35, 67.6, 52.83, 48.11, 44.72, 43.18, 42.77, 33.06, 30.32, 33.23, 38.24, 47.75, 43.75, 38.54, 39.03, 70.13, 60.72, 56.3, 36.76, 34.52, 23.42, 34.26, 23.38, 22.88, 15.5, 13.79, 12.74, 17.95, 17.72, 14.64, 14.64, 12.46, 9.41, 9.01, 13.08, 24.0, 7.17, 7.95, 8.9, 6.89, 9.46, 6.72, 5.78, 4.57, 3.11, 2.23, 2.29, 1.77, 2.3, 1.8, 1.56, 1.37]"
"[5, 11, 37, 35, 38, 39, 40, 41, 48, 34, 6, 53, 36, 47, 26, 30, 27, 28, 29, 51, 20, 19, 33, 22, 54, 24, 23, 52, 42, 8, 18, 43, 21, 56, 9, 57, 44, 45, 55, 7, 58, 17, 50, 46, 25, 16, 14, 3, 59, 10, 4, 12, 15, 49, 31, 13, 0, 1, 32, 2]","[2, 3, 56, 24, 46, 73, 81, 75, 46, 2, 11, 31, 1, 3, 80, 47, 73, 81, 63, 77, 19, 34, 1, 6, 34, 15, 1, 6, 27, 13, 6, 7, 14, 3, 5, 5, 42, 3, 2, 13, 3, 2, 14, 2, 1, 8, 10, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2]","[84.25, 47.85, 63.21, 54.36, 52.67, 60.59, 67.35, 52.37, 48.65, 70.59, 45.97, 44.94, 39.37, 33.81, 47.89, 45.48, 54.76, 68.77, 70.57, 71.54, 49.16, 47.23, 44.5, 43.24, 48.47, 38.42, 19.68, 32.28, 26.46, 18.19, 17.09, 15.63, 14.31, 24.76, 12.15, 12.96, 24.73, 13.31, 11.03, 10.11, 8.44, 7.48, 7.47, 6.53, 6.33, 6.83, 6.67, 6.04, 5.22, 4.13, 4.06, 3.94, 3.19, 2.53, 2.27, 2.09, 2.05, 1.93, 1.75]"
"[6, 8, 0, 35, 39, 38, 40, 41, 37, 48, 34, 16, 53, 36, 47, 33, 26, 29, 30, 19, 54, 20, 22, 23, 52, 27, 28, 24, 51, 9, 21, 18, 45, 57, 42, 44, 43, 7, 56, 55, 17, 58, 10, 50, 14, 3, 46, 25, 59, 11, 12, 4, 15, 49, 1, 31, 2, 32, 5, 13]","[11, 13, 1, 24, 73, 46, 81, 75, 56, 46, 2, 8, 31, 1, 3, 1, 80, 63, 47, 34, 34, 19, 6, 1, 6, 73, 81, 15, 77, 5, 14, 6, 3, 5, 27, 42, 7, 13, 3, 2, 2, 3, 1, 14, 10, 2, 2, 1, 2, 3, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2]","[53.86, 51.31, 80.03, 54.09, 65.69, 58.86, 68.14, 59.99, 50.09, 50.53, 55.45, 59.22, 48.04, 40.8, 33.77, 30.91, 49.83, 43.38, 47.84, 48.08, 38.3, 34.43, 31.18, 28.38, 48.36, 46.66, 47.16, 42.63, 27.57, 17.15, 16.01, 15.16, 13.08, 14.05, 13.57, 25.99, 15.01, 12.63, 13.69, 10.28, 8.53, 7.57, 8.15, 8.3, 8.36, 7.32, 6.02, 5.65, 4.27, 4.44, 4.31, 2.61, 3.2, 2.4, 2.16, 1.92, 1.94, 1.96, 1.58]"
"[7, 6, 0, 35, 39, 40, 41, 37, 38, 48, 34, 53, 36, 47, 33, 26, 29, 30, 19, 54, 22, 28, 27, 20, 24, 21, 51, 23, 52, 9, 8, 57, 42, 44, 45, 43, 18, 56, 55, 17, 10, 25, 58, 14, 16, 50, 3, 59, 46, 11, 4, 15, 49, 12, 31, 5, 1, 13, 32, 2]","[13, 11, 1, 24, 73, 81, 75, 56, 46, 46, 2, 31, 1, 3, 1, 80, 63, 47, 34, 34, 6, 81, 73, 19, 15, 14, 77, 1, 6, 5, 13, 5, 27, 42, 3, 7, 6, 3, 2, 2, 1, 1, 3, 10, 8, 14, 2, 2, 2, 3, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2]","[77.3, 52.65, 83.81, 52.75, 60.66, 74.89, 64.78, 58.32, 53.84, 49.88, 45.45, 43.5, 39.81, 31.86, 31.59, 70.65, 51.89, 46.39, 47.26, 42.98, 40.18, 48.7, 58.03, 54.27, 40.39, 44.97, 41.14, 19.93, 33.64, 17.41, 16.08, 16.09, 15.91, 24.49, 22.94, 15.62, 11.34, 11.15, 9.23, 7.49, 7.34, 6.63, 5.68, 6.39, 6.34, 7.94, 5.71, 5.13, 4.67, 4.39, 4.51, 4.16, 3.42, 2.76, 2.31, 1.83, 1.92, 1.94, 1.46]"
"[8, 6, 0, 35, 39, 37, 41, 40, 38, 34, 26, 29, 53, 16, 48, 47, 30, 36, 20, 54, 33, 27, 28, 19, 21, 51, 23, 24, 22, 42, 52, 45, 9, 57, 43, 17, 56, 7, 18, 44, 11, 3, 55, 46, 50, 14, 25, 58, 59, 10, 4, 15, 31, 49, 12, 32, 2, 1, 5, 13]","[13, 11, 1, 24, 73, 56, 75, 81, 46, 2, 80, 63, 31, 8, 46, 3, 47, 1, 19, 34, 1, 73, 81, 34, 14, 77, 1, 15, 6, 27, 6, 3, 5, 5, 7, 2, 3, 13, 6, 42, 3, 2, 2, 2, 14, 10, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2]","[68.35, 53.39, 73.35, 54.87, 64.3, 63.07, 65.83, 62.33, 50.89, 57.15, 56.18, 53.89, 56.82, 47.46, 44.46, 41.71, 38.03, 53.59, 31.96, 31.35, 33.17, 53.51, 60.63, 53.74, 49.85, 38.08, 32.87, 22.23, 20.49, 22.04, 19.13, 25.88, 16.45, 22.0, 21.73, 14.78, 13.63, 10.37, 10.27, 9.73, 9.3, 8.02, 8.14, 7.52, 7.06, 7.53, 7.37, 5.89, 5.34, 4.31, 3.53, 3.14, 2.66, 2.81, 1.99, 2.02, 1.67, 1.49, 1.34]"
"[9, 0, 8, 39, 35, 38, 40, 41, 37, 48, 34, 36, 53, 47, 26, 30, 27, 28, 20, 29, 21, 51, 24, 23, 33, 54, 19, 22, 52, 18, 6, 57, 42, 44, 43, 45, 56, 7, 55, 17, 58, 46, 16, 14, 10, 11, 25, 50, 59, 4, 49, 3, 12, 31, 5, 1, 15, 2, 13, 32]","[5, 1, 13, 73, 24, 46, 81, 75, 56, 46, 2, 1, 31, 3, 80, 47, 73, 81, 19, 63, 14, 77, 15, 1, 1, 34, 34, 6, 6, 6, 11, 5, 27, 42, 7, 3, 3, 13, 2, 2, 3, 2, 8, 10, 1, 3, 1, 14, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1]","[54.4, 44.87, 55.45, 74.73, 61.9, 57.85, 66.47, 59.84, 55.37, 50.31, 50.01, 43.49, 39.41, 35.18, 49.02, 46.17, 53.87, 72.76, 62.58, 67.66, 46.6, 50.99, 36.53, 32.59, 35.86, 27.73, 22.9, 20.25, 18.03, 17.26, 12.43, 13.99, 13.63, 21.14, 18.66, 12.72, 11.04, 12.68, 9.39, 6.96, 7.01, 17.86, 6.63, 7.98, 6.63, 7.82, 6.52, 5.12, 3.5, 3.68, 3.7, 2.94, 2.55, 2.22, 2.38, 1.94, 1.71, 2.0, 1.7]"
