selected_indices_per_step,actual_rewards_per_step
"[12, 33, 29, 36, 44, 42, 47, 5, 7, 50, 55, 58, 23, 27, 28, 59, 0, 1, 41, 38, 14, 15, 51, 46, 20, 35, 10, 45, 11, 3, 17, 57, 21, 4, 40, 49, 9, 34, 53, 39, 6, 43, 18, 8, 52, 13, 37, 22, 30, 19, 25, 31, 32, 16, 2, 26, 56, 48, 24, 54]","[20, 38, 71, 39, 32, 58, 51, 0, 48, 0, 0, 1, 42, 37, 30, 2, 20, 0, 54, 77, 13, 0, 34, 0, 53, 83, 37, 29, 35, 51, 14, 2, 41, 0, 50, 6, 48, 54, 71, 62, 55, 26, 39, 68, 28, 0, 63, 32, 53, 41, 8, 0, 0, 7, 0, 63, 24, 74, 35, 60]"
"[26, 59, 23, 9, 2, 5, 18, 43, 47, 22, 57, 25, 19, 10, 3, 11, 29, 37, 15, 35, 52, 53, 40, 45, 34, 21, 12, 50, 58, 33, 39, 32, 42, 20, 44, 14, 17, 49, 0, 38, 27, 46, 1, 56, 6, 13, 24, 41, 30, 28, 55, 31, 7, 16, 4, 48, 51, 54, 36, 8]","[63, 2, 42, 48, 0, 0, 39, 26, 51, 32, 2, 8, 41, 37, 51, 35, 71, 63, 0, 83, 28, 71, 50, 29, 54, 41, 20, 0, 1, 38, 62, 0, 58, 53, 32, 13, 14, 6, 20, 77, 37, 0, 0, 24, 55, 0, 35, 54, 53, 30, 0, 0, 48, 7, 0, 74, 34, 60, 39, 68]"
"[49, 31, 41, 9, 15, 57, 6, 20, 36, 30, 43, 26, 39, 29, 8, 4, 18, 35, 22, 0, 21, 7, 24, 33, 59, 48, 46, 12, 50, 14, 11, 1, 44, 17, 45, 28, 34, 58, 32, 25, 40, 27, 52, 37, 2, 51, 13, 38, 16, 19, 42, 47, 10, 53, 23, 56, 5, 3, 54, 55]","[6, 0, 54, 48, 0, 2, 55, 53, 39, 53, 26, 63, 62, 71, 68, 0, 39, 83, 32, 20, 41, 48, 35, 38, 2, 74, 0, 20, 0, 13, 35, 0, 32, 14, 29, 30, 54, 1, 0, 8, 50, 37, 28, 63, 0, 34, 0, 77, 7, 41, 58, 51, 37, 71, 42, 24, 0, 51, 60, 0]"
"[21, 17, 39, 28, 55, 22, 10, 26, 6, 46, 3, 7, 2, 49, 27, 11, 31, 36, 20, 13, 43, 19, 59, 56, 32, 29, 52, 1, 18, 41, 5, 50, 48, 24, 33, 51, 44, 9, 25, 42, 45, 57, 47, 12, 14, 35, 16, 53, 0, 54, 4, 58, 40, 30, 38, 23, 8, 34, 37, 15]","[41, 14, 62, 30, 0, 32, 37, 63, 55, 0, 51, 48, 0, 6, 37, 35, 0, 39, 53, 0, 26, 41, 2, 24, 0, 71, 28, 0, 39, 54, 0, 0, 74, 35, 38, 34, 32, 48, 8, 58, 29, 2, 51, 20, 13, 83, 7, 71, 20, 60, 0, 1, 50, 53, 77, 42, 68, 54, 63, 0]"
"[28, 47, 45, 49, 22, 39, 43, 56, 54, 26, 0, 51, 29, 37, 36, 8, 59, 24, 52, 7, 48, 44, 21, 32, 31, 2, 40, 42, 27, 20, 53, 58, 10, 12, 41, 38, 50, 13, 16, 57, 11, 17, 23, 34, 33, 14, 3, 18, 35, 55, 1, 4, 5, 9, 30, 25, 46, 6, 19, 15]","[30, 51, 29, 6, 32, 62, 26, 24, 60, 63, 20, 34, 71, 63, 39, 68, 2, 35, 28, 48, 74, 32, 41, 0, 0, 0, 50, 58, 37, 53, 71, 1, 37, 20, 54, 77, 0, 0, 7, 2, 35, 14, 42, 54, 38, 13, 51, 39, 83, 0, 0, 0, 0, 48, 53, 8, 0, 55, 41, 0]"
"[43, 35, 54, 37, 49, 8, 9, 55, 25, 31, 11, 42, 20, 32, 45, 58, 38, 18, 56, 14, 21, 19, 4, 2, 28, 46, 12, 59, 27, 48, 5, 17, 26, 13, 0, 40, 36, 6, 34, 24, 52, 30, 23, 7, 10, 3, 51, 15, 29, 1, 33, 41, 57, 53, 44, 50, 22, 47, 16, 39]","[26, 83, 60, 63, 6, 68, 48, 0, 8, 0, 35, 58, 53, 0, 29, 1, 77, 39, 24, 13, 41, 41, 0, 0, 30, 0, 20, 2, 37, 74, 0, 14, 63, 0, 20, 50, 39, 55, 54, 35, 28, 53, 42, 48, 37, 51, 34, 0, 71, 0, 38, 54, 2, 71, 32, 0, 32, 51, 7, 62]"
"[24, 10, 38, 47, 58, 4, 43, 33, 51, 15, 19, 40, 18, 32, 7, 29, 49, 44, 46, 59, 45, 54, 3, 22, 14, 8, 28, 13, 25, 11, 57, 21, 27, 56, 53, 35, 41, 6, 39, 34, 26, 12, 55, 17, 1, 20, 23, 30, 37, 42, 9, 0, 2, 16, 48, 31, 5, 52, 36, 50]","[35, 37, 77, 51, 1, 0, 26, 38, 34, 0, 41, 50, 39, 0, 48, 71, 6, 32, 0, 2, 29, 60, 51, 32, 13, 68, 30, 0, 8, 35, 2, 41, 37, 24, 71, 83, 54, 55, 62, 54, 63, 20, 0, 14, 0, 53, 42, 53, 63, 58, 48, 20, 0, 7, 74, 0, 0, 28, 39, 0]"
"[12, 45, 10, 40, 50, 53, 30, 16, 0, 19, 24, 11, 8, 29, 59, 51, 21, 39, 22, 47, 18, 31, 28, 42, 46, 58, 56, 49, 17, 1, 38, 33, 57, 36, 14, 7, 48, 43, 35, 44, 15, 54, 26, 27, 5, 2, 13, 32, 55, 37, 23, 6, 34, 52, 4, 3, 41, 25, 9, 20]","[20, 29, 37, 50, 0, 71, 53, 7, 20, 41, 35, 35, 68, 71, 2, 34, 41, 62, 32, 51, 39, 0, 30, 58, 0, 1, 24, 6, 14, 0, 77, 38, 2, 39, 13, 48, 74, 26, 83, 32, 0, 60, 63, 37, 0, 0, 0, 0, 0, 63, 42, 55, 54, 28, 0, 51, 54, 8, 48, 53]"
"[34, 6, 39, 20, 9, 0, 4, 48, 22, 18, 46, 16, 30, 49, 11, 7, 10, 33, 27, 37, 19, 42, 53, 35, 51, 21, 3, 58, 38, 28, 50, 26, 17, 54, 59, 40, 52, 47, 55, 36, 43, 57, 44, 31, 29, 1, 41, 25, 13, 32, 15, 56, 5, 2, 45, 12, 8, 24, 23, 14]","[54, 55, 62, 53, 48, 20, 0, 74, 32, 39, 0, 7, 53, 6, 35, 48, 37, 38, 37, 63, 41, 58, 71, 83, 34, 41, 51, 1, 77, 30, 0, 63, 14, 60, 2, 50, 28, 51, 0, 39, 26, 2, 32, 0, 71, 0, 54, 8, 0, 0, 0, 24, 0, 0, 29, 20, 68, 35, 42, 13]"
"[19, 31, 14, 36, 1, 54, 49, 30, 37, 56, 20, 44, 52, 16, 47, 18, 40, 26, 33, 53, 13, 34, 46, 6, 9, 45, 57, 25, 12, 22, 42, 4, 50, 55, 7, 3, 15, 48, 41, 27, 28, 10, 24, 2, 58, 35, 51, 5, 38, 59, 32, 21, 0, 43, 11, 8, 17, 23, 39, 29]","[41, 0, 13, 39, 0, 60, 6, 53, 63, 24, 53, 32, 28, 7, 51, 39, 50, 63, 38, 71, 0, 54, 0, 55, 48, 29, 2, 8, 20, 32, 58, 0, 0, 0, 48, 51, 0, 74, 54, 37, 30, 37, 35, 0, 1, 83, 34, 0, 77, 2, 0, 41, 20, 26, 35, 68, 14, 42, 62, 71]"
"[28, 53, 32, 40, 50, 6, 48, 46, 44, 57, 37, 5, 38, 42, 3, 35, 49, 54, 34, 1, 12, 19, 25, 7, 55, 14, 43, 45, 56, 9, 21, 11, 52, 16, 18, 39, 24, 22, 8, 26, 47, 23, 15, 4, 20, 51, 33, 58, 10, 41, 17, 31, 29, 13, 0, 59, 30, 27, 2, 36]","[30, 71, 0, 50, 0, 55, 74, 0, 32, 2, 63, 0, 77, 58, 51, 83, 6, 60, 54, 0, 20, 41, 8, 48, 0, 13, 26, 29, 24, 48, 41, 35, 28, 7, 39, 62, 35, 32, 68, 63, 51, 42, 0, 0, 53, 34, 38, 1, 37, 54, 14, 0, 71, 0, 20, 2, 53, 37, 0, 39]"
"[21, 31, 20, 44, 8, 51, 45, 50, 26, 48, 13, 17, 47, 22, 36, 15, 46, 27, 16, 56, 18, 23, 38, 14, 24, 33, 41, 7, 57, 43, 1, 3, 4, 0, 10, 42, 25, 2, 34, 5, 9, 19, 53, 6, 58, 39, 40, 30, 52, 11, 12, 37, 32, 59, 29, 49, 54, 35, 55, 28]","[41, 0, 53, 32, 68, 34, 29, 0, 63, 74, 0, 14, 51, 32, 39, 0, 0, 37, 7, 24, 39, 42, 77, 13, 35, 38, 54, 48, 2, 26, 0, 51, 0, 20, 37, 58, 8, 0, 54, 0, 48, 41, 71, 55, 1, 62, 50, 53, 28, 35, 20, 63, 0, 2, 71, 6, 60, 83, 0, 30]"
"[15, 48, 19, 54, 31, 37, 20, 25, 11, 40, 5, 8, 18, 6, 27, 56, 43, 34, 52, 7, 49, 45, 1, 47, 2, 32, 46, 36, 26, 55, 16, 4, 12, 3, 13, 21, 10, 50, 28, 53, 39, 51, 35, 14, 38, 44, 29, 41, 58, 59, 23, 0, 24, 9, 22, 57, 33, 42, 17, 30]","[0, 74, 41, 60, 0, 63, 53, 8, 35, 50, 0, 68, 39, 55, 37, 24, 26, 54, 28, 48, 6, 29, 0, 51, 0, 0, 0, 39, 63, 0, 7, 0, 20, 51, 0, 41, 37, 0, 30, 71, 62, 34, 83, 13, 77, 32, 71, 54, 1, 2, 42, 20, 35, 48, 32, 2, 38, 58, 14, 53]"
"[48, 36, 30, 39, 6, 33, 32, 2, 26, 24, 31, 22, 12, 50, 21, 19, 3, 10, 20, 38, 29, 40, 35, 15, 7, 45, 37, 25, 56, 47, 23, 28, 59, 5, 49, 17, 0, 44, 27, 1, 58, 13, 34, 4, 8, 53, 46, 52, 55, 9, 42, 14, 41, 11, 54, 51, 57, 43, 18, 16]","[74, 39, 53, 62, 55, 38, 0, 0, 63, 35, 0, 32, 20, 0, 41, 41, 51, 37, 53, 77, 71, 50, 83, 0, 48, 29, 63, 8, 24, 51, 42, 30, 2, 0, 6, 14, 20, 32, 37, 0, 1, 0, 54, 0, 68, 71, 0, 28, 0, 48, 58, 13, 54, 35, 60, 34, 2, 26, 39, 7]"
"[30, 53, 51, 11, 36, 45, 38, 49, 26, 24, 1, 13, 40, 32, 35, 12, 59, 27, 34, 55, 31, 57, 3, 2, 37, 0, 5, 8, 43, 21, 52, 10, 9, 54, 23, 58, 22, 20, 14, 50, 7, 56, 25, 29, 19, 28, 42, 4, 46, 18, 16, 47, 17, 15, 33, 41, 48, 44, 39, 6]","[53, 71, 34, 35, 39, 29, 77, 6, 63, 35, 0, 0, 50, 0, 83, 20, 2, 37, 54, 0, 0, 2, 51, 0, 63, 20, 0, 68, 26, 41, 28, 37, 48, 60, 42, 1, 32, 53, 13, 0, 48, 24, 8, 71, 41, 30, 58, 0, 0, 39, 7, 51, 14, 0, 38, 54, 74, 32, 62, 55]"
"[5, 6, 41, 52, 48, 4, 49, 39, 32, 8, 40, 51, 58, 27, 30, 24, 12, 34, 54, 35, 56, 11, 50, 28, 55, 46, 36, 31, 57, 18, 45, 26, 19, 37, 20, 38, 59, 14, 42, 16, 25, 17, 22, 29, 21, 7, 53, 23, 44, 9, 43, 3, 1, 15, 10, 2, 47, 33, 0, 13]","[0, 55, 54, 28, 74, 0, 6, 62, 0, 68, 50, 34, 1, 37, 53, 35, 20, 54, 60, 83, 24, 35, 0, 30, 0, 0, 39, 0, 2, 39, 29, 63, 41, 63, 53, 77, 2, 13, 58, 7, 8, 14, 32, 71, 41, 48, 71, 42, 32, 48, 26, 51, 0, 0, 37, 0, 51, 38, 20, 0]"
"[27, 25, 10, 53, 6, 3, 12, 43, 31, 32, 17, 44, 57, 4, 24, 5, 35, 41, 47, 59, 2, 13, 8, 11, 51, 7, 33, 22, 20, 39, 36, 29, 34, 46, 37, 48, 49, 1, 50, 38, 9, 21, 19, 56, 52, 54, 40, 15, 16, 45, 42, 55, 0, 28, 14, 26, 18, 58, 30, 23]","[37, 8, 37, 71, 55, 51, 20, 26, 0, 0, 14, 32, 2, 0, 35, 0, 83, 54, 51, 2, 0, 0, 68, 35, 34, 48, 38, 32, 53, 62, 39, 71, 54, 0, 63, 74, 6, 0, 0, 77, 48, 41, 41, 24, 28, 60, 50, 0, 7, 29, 58, 0, 20, 30, 13, 63, 39, 1, 53, 42]"
"[50, 29, 53, 28, 52, 54, 27, 46, 48, 59, 14, 43, 5, 6, 0, 30, 21, 55, 4, 56, 44, 41, 38, 31, 40, 2, 39, 22, 36, 47, 10, 13, 9, 12, 37, 3, 35, 8, 25, 20, 32, 16, 58, 24, 15, 1, 7, 17, 42, 34, 57, 45, 49, 11, 18, 23, 19, 51, 26, 33]","[0, 71, 71, 30, 28, 60, 37, 0, 74, 2, 13, 26, 0, 55, 20, 53, 41, 0, 0, 24, 32, 54, 77, 0, 50, 0, 62, 32, 39, 51, 37, 0, 48, 20, 63, 51, 83, 68, 8, 53, 0, 7, 1, 35, 0, 0, 48, 14, 58, 54, 2, 29, 6, 35, 39, 42, 41, 34, 63, 38]"
"[13, 48, 26, 14, 25, 5, 3, 2, 34, 46, 1, 36, 4, 41, 56, 55, 27, 43, 19, 47, 39, 17, 24, 57, 51, 37, 0, 8, 9, 22, 6, 50, 35, 32, 23, 44, 38, 10, 54, 49, 33, 20, 58, 45, 53, 16, 29, 18, 30, 59, 52, 40, 31, 12, 15, 21, 28, 42, 7, 11]","[0, 74, 63, 13, 8, 0, 51, 0, 54, 0, 0, 39, 0, 54, 24, 0, 37, 26, 41, 51, 62, 14, 35, 2, 34, 63, 20, 68, 48, 32, 55, 0, 83, 0, 42, 32, 77, 37, 60, 6, 38, 53, 1, 29, 71, 7, 71, 39, 53, 2, 28, 50, 0, 20, 0, 41, 30, 58, 48, 35]"
"[28, 21, 31, 34, 15, 46, 54, 11, 36, 40, 8, 51, 39, 10, 48, 5, 59, 47, 14, 30, 24, 49, 42, 0, 13, 3, 52, 58, 23, 27, 57, 29, 55, 35, 4, 53, 1, 19, 41, 44, 17, 20, 26, 45, 6, 16, 38, 9, 37, 18, 56, 22, 25, 12, 32, 7, 33, 50, 2, 43]","[30, 41, 0, 54, 0, 0, 60, 35, 39, 50, 68, 34, 62, 37, 74, 0, 2, 51, 13, 53, 35, 6, 58, 20, 0, 51, 28, 1, 42, 37, 2, 71, 0, 83, 0, 71, 0, 41, 54, 32, 14, 53, 63, 29, 55, 7, 77, 48, 63, 39, 24, 32, 8, 20, 0, 48, 38, 0, 0, 26]"
"[17, 48, 5, 54, 38, 41, 0, 19, 27, 47, 39, 14, 24, 11, 52, 31, 23, 3, 22, 58, 7, 18, 42, 29, 34, 15, 25, 53, 33, 2, 35, 32, 21, 51, 12, 13, 44, 28, 37, 30, 55, 8, 56, 4, 45, 26, 1, 10, 36, 20, 6, 40, 59, 16, 9, 49, 50, 43, 46, 57]","[14, 74, 0, 60, 77, 54, 20, 41, 37, 51, 62, 13, 35, 35, 28, 0, 42, 51, 32, 1, 48, 39, 58, 71, 54, 0, 8, 71, 38, 0, 83, 0, 41, 34, 20, 0, 32, 30, 63, 53, 0, 68, 24, 0, 29, 63, 0, 37, 39, 53, 55, 50, 2, 7, 48, 6, 0, 26, 0, 2]"
"[42, 21, 8, 47, 16, 1, 38, 19, 52, 54, 34, 12, 24, 7, 6, 29, 5, 36, 46, 25, 31, 39, 43, 48, 20, 3, 22, 45, 17, 59, 51, 35, 28, 56, 55, 2, 41, 14, 9, 4, 27, 37, 23, 57, 0, 15, 33, 49, 11, 32, 53, 50, 13, 30, 18, 40, 58, 44, 26, 10]","[58, 41, 68, 51, 7, 0, 77, 41, 28, 60, 54, 20, 35, 48, 55, 71, 0, 39, 0, 8, 0, 62, 26, 74, 53, 51, 32, 29, 14, 2, 34, 83, 30, 24, 0, 0, 54, 13, 48, 0, 37, 63, 42, 2, 20, 0, 38, 6, 35, 0, 71, 0, 0, 53, 39, 50, 1, 32, 63, 37]"
"[6, 31, 33, 45, 51, 0, 29, 13, 57, 4, 2, 25, 43, 30, 46, 9, 32, 50, 59, 21, 34, 10, 48, 37, 54, 24, 23, 40, 18, 42, 55, 49, 12, 26, 19, 16, 56, 36, 52, 27, 35, 53, 38, 20, 3, 17, 14, 5, 22, 41, 47, 7, 44, 11, 28, 39, 1, 15, 8, 58]","[55, 0, 38, 29, 34, 20, 71, 0, 2, 0, 0, 8, 26, 53, 0, 48, 0, 0, 2, 41, 54, 37, 74, 63, 60, 35, 42, 50, 39, 58, 0, 6, 20, 63, 41, 7, 24, 39, 28, 37, 83, 71, 77, 53, 51, 14, 13, 0, 32, 54, 51, 48, 32, 35, 30, 62, 0, 0, 68, 1]"
"[48, 42, 3, 47, 4, 20, 13, 44, 15, 41, 45, 2, 7, 34, 16, 10, 9, 40, 23, 35, 52, 36, 21, 30, 57, 43, 25, 56, 58, 50, 11, 51, 32, 38, 26, 31, 55, 6, 54, 29, 39, 14, 0, 28, 17, 12, 46, 8, 22, 33, 24, 27, 19, 37, 1, 5, 53, 18, 49, 59]","[74, 58, 51, 51, 0, 53, 0, 32, 0, 54, 29, 0, 48, 54, 7, 37, 48, 50, 42, 83, 28, 39, 41, 53, 2, 26, 8, 24, 1, 0, 35, 34, 0, 77, 63, 0, 0, 55, 60, 71, 62, 13, 20, 30, 14, 20, 0, 68, 32, 38, 35, 37, 41, 63, 0, 0, 71, 39, 6, 2]"
"[15, 22, 49, 54, 25, 34, 20, 39, 41, 3, 52, 4, 44, 27, 14, 16, 23, 6, 38, 55, 17, 2, 46, 36, 30, 32, 56, 26, 8, 58, 21, 48, 35, 19, 50, 31, 51, 33, 1, 7, 40, 29, 28, 0, 18, 47, 9, 59, 5, 43, 42, 57, 12, 10, 13, 11, 37, 53, 24, 45]","[0, 32, 6, 60, 8, 54, 53, 62, 54, 51, 28, 0, 32, 37, 13, 7, 42, 55, 77, 0, 14, 0, 0, 39, 53, 0, 24, 63, 68, 1, 41, 74, 83, 41, 0, 0, 34, 38, 0, 48, 50, 71, 30, 20, 39, 51, 48, 2, 0, 26, 58, 2, 20, 37, 0, 35, 63, 71, 35, 29]"
"[33, 25, 41, 29, 34, 4, 59, 44, 15, 55, 58, 10, 8, 1, 9, 39, 17, 47, 14, 5, 31, 23, 54, 52, 18, 46, 3, 21, 42, 26, 28, 43, 51, 38, 22, 35, 11, 20, 32, 12, 45, 7, 37, 6, 27, 36, 56, 50, 16, 48, 2, 30, 40, 19, 13, 0, 57, 53, 49, 24]","[38, 8, 54, 71, 54, 0, 2, 32, 0, 0, 1, 37, 68, 0, 48, 62, 14, 51, 13, 0, 0, 42, 60, 28, 39, 0, 51, 41, 58, 63, 30, 26, 34, 77, 32, 83, 35, 53, 0, 20, 29, 48, 63, 55, 37, 39, 24, 0, 7, 74, 0, 53, 50, 41, 0, 20, 2, 71, 6, 35]"
"[45, 28, 4, 31, 20, 46, 25, 19, 44, 6, 41, 5, 33, 56, 22, 35, 23, 36, 16, 51, 21, 17, 52, 29, 0, 18, 7, 11, 37, 24, 53, 59, 55, 50, 9, 14, 1, 57, 26, 15, 54, 40, 10, 32, 39, 43, 2, 30, 48, 49, 8, 3, 34, 38, 27, 13, 42, 12, 58, 47]","[29, 30, 0, 0, 53, 0, 8, 41, 32, 55, 54, 0, 38, 24, 32, 83, 42, 39, 7, 34, 41, 14, 28, 71, 20, 39, 48, 35, 63, 35, 71, 2, 0, 0, 48, 13, 0, 2, 63, 0, 60, 50, 37, 0, 62, 26, 0, 53, 74, 6, 68, 51, 54, 77, 37, 0, 58, 20, 1, 51]"
"[6, 13, 37, 56, 46, 55, 38, 39, 32, 42, 49, 14, 45, 24, 43, 2, 47, 1, 9, 54, 35, 29, 48, 33, 7, 20, 50, 10, 19, 59, 8, 58, 0, 22, 28, 3, 26, 27, 5, 36, 40, 52, 31, 57, 15, 11, 25, 23, 51, 21, 34, 16, 53, 4, 12, 18, 17, 44, 30, 41]","[55, 0, 63, 24, 0, 0, 77, 62, 0, 58, 6, 13, 29, 35, 26, 0, 51, 0, 48, 60, 83, 71, 74, 38, 48, 53, 0, 37, 41, 2, 68, 1, 20, 32, 30, 51, 63, 37, 0, 39, 50, 28, 0, 2, 0, 35, 8, 42, 34, 41, 54, 7, 71, 0, 20, 39, 14, 32, 53, 54]"
"[24, 2, 43, 3, 31, 35, 27, 44, 37, 54, 53, 42, 17, 50, 18, 0, 33, 28, 52, 59, 19, 41, 21, 23, 30, 49, 16, 5, 56, 32, 22, 20, 36, 6, 4, 15, 58, 1, 39, 12, 55, 51, 10, 25, 9, 46, 13, 26, 48, 29, 40, 57, 14, 11, 45, 38, 34, 8, 47, 7]","[35, 0, 26, 51, 0, 83, 37, 32, 63, 60, 71, 58, 14, 0, 39, 20, 38, 30, 28, 2, 41, 54, 41, 42, 53, 6, 7, 0, 24, 0, 32, 53, 39, 55, 0, 0, 1, 0, 62, 20, 0, 34, 37, 8, 48, 0, 0, 63, 74, 71, 50, 2, 13, 35, 29, 77, 54, 68, 51, 48]"
"[3, 47, 40, 11, 0, 19, 51, 23, 15, 33, 58, 46, 39, 43, 59, 20, 7, 24, 8, 9, 29, 36, 17, 45, 16, 53, 37, 30, 55, 13, 49, 27, 42, 10, 44, 12, 48, 34, 21, 31, 52, 50, 14, 41, 28, 6, 2, 1, 26, 25, 57, 32, 5, 18, 56, 54, 38, 22, 4, 35]","[51, 51, 50, 35, 20, 41, 34, 42, 0, 38, 1, 0, 62, 26, 2, 53, 48, 35, 68, 48, 71, 39, 14, 29, 7, 71, 63, 53, 0, 0, 6, 37, 58, 37, 32, 20, 74, 54, 41, 0, 28, 0, 13, 54, 30, 55, 0, 0, 63, 8, 2, 0, 0, 39, 24, 60, 77, 32, 0, 83]"
