selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 11, 22, 10, 7, 9, 1, 14, 28, 30, 29, 6, 19, 33, 18, 49, 2, 32, 13, 5, 39, 31, 27, 24, 16, 12, 15, 46, 58, 26, 21, 20, 23, 3, 51, 17, 8, 4, 47, 25, 54, 48, 34, 38, 37, 59, 40, 35, 53, 57, 41, 50, 52, 55, 36, 45, 56, 43, 44, 42]","[74, 74, 24, 78, 17, 71, 47, 6, 43, 58, 47, 74, 34, 0, 6, 79, 37, 56, 58, 22, 1, 24, 51, 26, 2, 75, 13, 2, 1, 47, 11, 39, 12, 55, 1, 1, 29, 0, 15, 2, 0, 10, 3, 49, 76, 1, 1, 62, 7, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[75.63, 45.87, 74.96, 69.65, 63.92, 74.25, 63.62, 58.04, 66.39, 38.1, 64.47, 61.2, 4.91, 57.81, 58.08, 60.64, 52.96, 51.02, 48.58, 5.58, 44.78, 41.48, 44.98, 41.23, 39.91, 40.89, 9.0, 11.12, 34.55, 33.13, 29.63, 32.26, 27.33, 25.38, 24.51, 23.53, 22.62, 14.11, 13.79, 42.66999999999999, 12.77, 4.04, 10.26, 14.58, 2.41, 15.11, 11.37, 11.27, 3.0, 3.09, 3.64, 2.17, 1.92, 1.4, 0.75, 0.87, 0.54, 0.3, 0.71]"
"[1, 9, 22, 11, 6, 10, 14, 30, 27, 0, 29, 21, 8, 33, 49, 2, 32, 13, 5, 28, 39, 31, 16, 24, 12, 3, 7, 46, 58, 26, 15, 37, 38, 54, 18, 19, 20, 23, 17, 4, 35, 48, 25, 40, 51, 59, 53, 47, 34, 41, 50, 52, 57, 55, 36, 45, 56, 43, 42, 44]","[47, 71, 24, 74, 74, 78, 6, 58, 51, 74, 47, 11, 29, 0, 79, 37, 56, 58, 22, 43, 1, 24, 2, 26, 75, 55, 17, 2, 1, 47, 13, 76, 49, 0, 6, 34, 39, 12, 1, 0, 62, 10, 2, 1, 1, 1, 7, 15, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[68.89, 34.45, 81.78, 74.3, 75.61, 73.75, 70.61, 60.59, 66.81, 41.54, 66.06, 67.26, 8.89, 62.28, 63.0, 57.9, 49.16, 48.19, 47.44, 5.32, 45.99, 46.24, 52.65, 39.96, 51.84, 47.88, 14.38, 9.23, 34.65, 33.24, 46.22, 54.68, 51.81, 53.47, 43.88, 27.88, 30.05, 26.04, 21.45, 17.56, 30.78, 24.66, 16.79, 18.46, 1.9, 12.0, 10.79, 5.54, 3.78, 4.29, 2.67, 3.3, 1.47, 1.1, 1.55, 0.75, 0.41, 0.24, 0.19]"
"[2, 8, 22, 1, 14, 10, 11, 9, 28, 6, 30, 0, 19, 33, 54, 49, 32, 13, 5, 31, 38, 12, 15, 27, 26, 29, 24, 45, 58, 16, 18, 21, 3, 20, 23, 17, 4, 51, 35, 37, 36, 46, 7, 40, 25, 59, 53, 47, 48, 34, 50, 41, 57, 52, 39, 55, 56, 42, 43, 44]","[37, 29, 24, 47, 6, 78, 74, 71, 43, 74, 58, 74, 34, 0, 0, 79, 56, 58, 22, 24, 49, 75, 13, 51, 47, 47, 26, 0, 1, 2, 6, 11, 55, 39, 12, 1, 0, 1, 62, 76, 1, 2, 17, 1, 2, 1, 7, 15, 10, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[65.0, 33.67, 53.01, 54.52, 64.08, 70.22, 59.6, 30.24, 58.43, 58.47, 59.51, 61.0, 10.84, 54.79, 62.39, 55.85, 52.02, 48.99, 45.01, 16.48, 43.68, 46.55, 43.05, 42.44, 42.74, 40.1, 4.46, 6.85, 38.09, 34.62, 33.11, 31.24, 29.95, 28.0, 25.37, 27.15, 19.97, 21.26, 40.6, 35.93, 21.37, 21.07, 16.99, 18.8, 2.24, 11.7, 11.16, 10.85, 5.95, 3.44, 3.59, 2.64, 2.79, 2.07, 1.95, 0.8, 0.53, 0.42, 0.23]"
"[3, 9, 22, 14, 38, 8, 30, 20, 26, 37, 27, 6, 54, 29, 35, 48, 40, 11, 10, 49, 33, 1, 2, 32, 0, 31, 16, 44, 58, 12, 5, 13, 7, 28, 18, 24, 21, 46, 19, 23, 17, 25, 4, 15, 51, 59, 36, 47, 53, 34, 57, 52, 41, 50, 55, 39, 56, 42, 45, 43]","[55, 71, 24, 6, 49, 29, 58, 39, 47, 76, 51, 74, 0, 47, 62, 10, 1, 74, 78, 79, 0, 47, 37, 56, 74, 24, 2, 0, 1, 75, 22, 58, 17, 43, 6, 26, 11, 2, 34, 12, 1, 2, 0, 13, 1, 1, 1, 15, 7, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[73.07, 34.14, 81.13, 76.0, 70.06, 58.46, 59.2, 51.52, 58.23, 49.34, 56.69, 58.41, 42.15, 75.05, 64.27, 65.63, 68.21, 71.2, 70.25, 14.47, 70.44, 69.24, 60.45, 57.25, 56.78, 53.7, 0.84, 11.7, 58.37, 57.28, 54.25, 52.58, 52.83, 47.04, 41.76, 35.92, 34.33, 31.55, 30.53, 27.16, 24.09, 22.77, 20.74, 18.53, 4.8, 21.54, 11.38, 12.41, 6.06, 4.6, 3.68, 4.07, 2.8, 2.45, 2.22, 0.83, 0.36, 0.5, 0.31]"
"[4, 9, 22, 10, 11, 6, 14, 8, 28, 0, 30, 24, 2, 33, 21, 3, 1, 12, 7, 5, 40, 27, 49, 32, 15, 13, 31, 46, 58, 16, 29, 26, 20, 23, 19, 17, 51, 18, 47, 48, 35, 25, 34, 38, 54, 59, 37, 53, 41, 50, 57, 36, 39, 52, 55, 56, 45, 42, 43, 44]","[0, 71, 24, 78, 74, 74, 6, 29, 43, 74, 58, 26, 37, 0, 11, 55, 47, 75, 17, 22, 1, 51, 79, 56, 13, 58, 24, 2, 1, 2, 47, 47, 39, 12, 34, 1, 1, 6, 15, 10, 62, 2, 3, 49, 0, 1, 76, 7, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[61.74, 30.94, 76.32, 78.07, 74.54, 73.06, 70.29, 53.43, 67.2, 61.23, 60.51, 58.63, 8.28, 57.13, 52.56, 54.4, 48.67, 45.99, 42.34, 21.32, 40.38, 37.95, 49.48, 50.36, 48.45, 49.46, 11.49, 11.04, 40.4, 36.11, 33.1, 26.87, 29.99, 26.4, 26.1, 22.26, 22.04, 14.63, 13.22, 12.95, 17.51, 6.5, 13.46, 44.22, 2.51, 16.55, 13.99, 4.12, 3.29, 2.09, 2.43, 1.7, 2.75, 2.19, 0.86, 0.79, 0.43, 0.31, 0.22]"
"[5, 9, 22, 11, 10, 6, 8, 14, 28, 0, 30, 2, 20, 33, 21, 7, 1, 49, 16, 32, 39, 13, 27, 31, 12, 24, 3, 46, 58, 29, 15, 54, 26, 19, 23, 18, 51, 17, 4, 47, 48, 38, 25, 35, 37, 59, 53, 40, 34, 57, 41, 50, 52, 36, 55, 56, 42, 45, 44, 43]","[22, 71, 24, 74, 78, 74, 29, 6, 43, 74, 58, 37, 39, 0, 11, 17, 47, 79, 2, 56, 1, 58, 51, 24, 75, 26, 55, 2, 1, 47, 13, 0, 47, 34, 12, 6, 1, 1, 0, 15, 10, 49, 2, 62, 76, 1, 7, 1, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[66.28, 32.74, 65.63, 66.57, 76.04, 73.01, 68.78, 50.52, 65.72, 67.7, 57.81, 59.13, 7.34, 54.53, 51.97, 62.59, 57.47, 51.29, 47.57, 3.81, 44.75, 42.68, 43.98, 51.41, 52.05, 51.37, 13.03, 9.14, 37.36, 37.89, 48.14, 32.42, 30.79, 32.46, 27.73, 26.2, 22.9, 20.61, 14.07, 12.63, 10.74, 15.28, 14.98, 20.21, 0.39, 15.23, 15.04, 5.97, 3.64, 3.58, 3.34, 2.08, 1.66, 1.22, 0.75, 0.56, 0.48, 0.29, 0.32]"
"[6, 9, 22, 14, 8, 7, 11, 10, 28, 1, 30, 0, 20, 33, 2, 27, 12, 3, 18, 24, 40, 49, 32, 5, 16, 29, 31, 46, 58, 13, 15, 26, 21, 19, 23, 51, 17, 4, 47, 48, 35, 25, 34, 54, 38, 59, 37, 53, 41, 50, 39, 57, 52, 36, 55, 56, 45, 44, 42, 43]","[74, 71, 24, 6, 29, 17, 74, 78, 43, 47, 58, 74, 39, 0, 37, 51, 75, 55, 6, 26, 1, 79, 56, 22, 2, 47, 24, 2, 1, 58, 13, 47, 11, 34, 12, 1, 1, 0, 15, 10, 62, 2, 3, 0, 49, 1, 76, 7, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[72.68, 33.92, 78.15, 66.44, 59.23, 72.38, 76.38, 38.9, 68.28, 43.01, 70.52, 60.61, 9.39, 59.32, 55.55, 54.66, 57.84, 55.92, 53.52, 23.92, 61.93, 53.28, 50.83, 49.91, 46.26, 47.06, 12.47, 6.47, 42.34, 43.82, 33.92, 31.31, 30.33, 33.12, 26.16, 24.72, 20.36, 15.88, 12.27, 13.01, 15.63, 5.32, 15.94, 14.5, 1.85, 18.16, 8.94, 4.66, 4.22, 3.66, 2.65, 3.23, 1.34, 1.63, 0.77, 0.73, 0.47, 1.04, 0.41]"
"[7, 9, 22, 11, 10, 1, 6, 14, 28, 0, 30, 2, 24, 33, 8, 12, 21, 49, 32, 13, 39, 5, 16, 31, 29, 27, 54, 45, 58, 15, 26, 17, 3, 20, 51, 19, 23, 4, 18, 47, 35, 46, 25, 38, 37, 59, 40, 53, 48, 34, 50, 57, 41, 36, 55, 52, 56, 43, 42, 44]","[17, 71, 24, 74, 78, 47, 74, 6, 43, 74, 58, 37, 26, 0, 29, 75, 11, 79, 56, 58, 1, 22, 2, 24, 47, 51, 0, 0, 1, 13, 47, 1, 55, 39, 1, 34, 12, 0, 6, 15, 62, 2, 2, 49, 76, 1, 1, 7, 10, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[65.12, 34.1, 78.38, 73.65, 68.64, 61.26, 72.28, 20.83, 67.23, 68.55, 59.95, 58.55, 7.63, 60.62, 54.96, 55.1, 57.44, 55.27, 50.42, 4.13, 50.35, 48.88, 42.43, 39.76, 41.74, 50.69, 2.38, 4.04, 35.33, 32.84, 29.84, 29.76, 26.32, 31.14, 25.71, 27.31, 25.37, 21.24, 16.37, 15.72, 19.62, 16.08, 16.29, 17.33, 1.21, 15.32, 11.8, 11.59, 6.71, 4.4, 3.91, 2.74, 1.86, 1.87, 2.58, 0.68, 0.49, 0.29, 0.23]"
"[8, 9, 22, 10, 11, 1, 6, 14, 28, 0, 30, 19, 2, 33, 16, 24, 27, 49, 12, 13, 39, 21, 3, 7, 15, 18, 32, 46, 58, 5, 31, 29, 26, 23, 20, 51, 17, 4, 54, 47, 48, 35, 25, 38, 37, 59, 40, 53, 34, 50, 52, 41, 57, 36, 55, 42, 56, 45, 44, 43]","[29, 71, 24, 78, 74, 47, 74, 6, 43, 74, 58, 34, 37, 0, 2, 26, 51, 79, 75, 58, 1, 11, 55, 17, 13, 6, 56, 2, 1, 22, 24, 47, 47, 12, 39, 1, 1, 0, 0, 15, 10, 62, 2, 49, 76, 1, 1, 7, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[64.71, 34.1, 57.58, 76.57, 69.94, 75.41, 73.52, 56.11, 65.16, 66.53, 62.55, 61.25, 16.2, 54.77, 57.63, 55.76, 56.4, 53.56, 56.46, 3.29, 55.53, 62.03, 49.03, 48.76, 50.18, 46.49, 12.74, 12.02, 51.34, 42.09, 35.97, 34.23, 29.55, 23.54, 25.02, 25.13, 20.41, 13.65, 14.4, 12.87, 12.71, 14.69, 15.8, 18.46, 1.17, 16.4, 10.94, 7.15, 3.64, 3.4, 3.49, 3.51, 2.95, 1.39, 1.57, 0.98, 0.55, 0.37, 0.43]"
"[9, 11, 22, 10, 14, 8, 6, 0, 28, 30, 29, 2, 19, 33, 27, 1, 16, 24, 49, 13, 39, 21, 32, 5, 12, 31, 3, 46, 58, 7, 15, 54, 26, 20, 23, 17, 51, 4, 18, 47, 48, 25, 34, 38, 37, 59, 35, 53, 40, 41, 57, 52, 50, 36, 45, 55, 56, 42, 43, 44]","[71, 74, 24, 78, 6, 29, 74, 74, 43, 58, 47, 37, 34, 0, 51, 47, 2, 26, 79, 58, 1, 11, 56, 22, 75, 24, 55, 2, 1, 17, 13, 0, 47, 39, 12, 1, 1, 0, 6, 15, 10, 2, 3, 49, 76, 1, 62, 7, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[72.16, 34.64, 71.85, 80.29, 67.56, 63.3, 69.86, 59.48, 69.48, 41.7, 63.07, 60.84, 12.56, 56.26, 54.98, 55.82, 53.12, 54.14, 54.82, 3.08, 54.67, 58.26, 47.33, 41.13, 40.12, 54.61, 10.8, 11.77, 44.75, 39.97, 51.08, 33.41, 29.17, 31.83, 27.24, 26.38, 20.88, 22.04, 15.1, 12.45, 10.86, 3.56, 9.71, 15.21, 2.09, 15.27, 15.67, 12.32, 3.07, 4.25, 2.97, 3.27, 1.8, 1.37, 1.27, 0.8, 0.54, 0.3, 0.18]"
