selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 22, 6, 14, 11, 10, 8, 28, 7, 30, 2, 5, 33, 16, 1, 32, 3, 49, 21, 39, 41, 40, 23, 13, 18, 51, 45, 58, 50, 53, 31, 12, 25, 24, 19, 17, 52, 48, 47, 56, 29, 4, 38, 37, 59, 35, 26, 34, 36, 27, 54, 20, 46, 42, 44, 15, 43, 57, 55]","[57, 92, 50, 93, 91, 90, 88, 85, 30, 85, 45, 39, 34, 37, 90, 68, 67, 52, 59, 43, 87, 70, 80, 36, 20, 37, 29, 40, 6, 8, 77, 46, 36, 33, 36, 45, 13, 51, 68, 61, 27, 91, 4, 90, 85, 9, 89, 87, 48, 97, 29, 32, 33, 10, 20, 11, 2, 3, 9, 4]","[62.17, 48.66, 76.74, 82.44, 84.56, 86.56, 85.08, 36.72, 81.59, 33.57, 78.98, 73.35, 19.78, 63.47, 58.84, 54.39, 51.89, 48.52, 48.61, 30.05, 67.37, 59.78, 59.34, 55.05, 45.44, 45.09, 30.99, 21.81, 41.76, 42.84, 44.38, 41.98, 43.5, 38.27, 36.52, 36.25, 41.31, 35.74, 48.04, 41.15, 35.39, 43.39, 74.35, 72.38, 13.66, 78.52, 77.45, 67.98, 62.77, 57.1, 54.58, 51.01, 40.23, 37.86, 32.63, 26.73, 13.78, 13.31, 7.94]"
"[1, 10, 22, 11, 6, 9, 14, 8, 28, 7, 30, 5, 2, 33, 16, 32, 3, 0, 49, 13, 39, 41, 40, 23, 21, 31, 12, 46, 58, 18, 51, 25, 24, 53, 52, 17, 19, 4, 26, 35, 37, 38, 15, 29, 48, 59, 34, 36, 47, 27, 54, 20, 42, 50, 45, 44, 56, 57, 43, 55]","[68, 88, 50, 90, 93, 92, 91, 85, 30, 85, 45, 34, 39, 37, 90, 67, 52, 57, 59, 20, 87, 70, 80, 36, 43, 46, 36, 10, 6, 37, 29, 33, 36, 77, 51, 13, 45, 4, 87, 89, 85, 90, 2, 91, 68, 9, 48, 97, 61, 29, 32, 33, 20, 8, 40, 11, 27, 9, 3, 4]","[64.33, 48.57, 79.5, 78.82, 72.08, 68.31, 85.35, 53.05, 79.19, 32.15, 75.86, 69.32, 24.94, 65.84, 58.21, 56.96, 51.07, 49.19, 49.07, 26.83, 61.58, 55.7, 66.52, 48.73, 46.21, 45.26, 23.1, 15.91, 44.6, 42.9, 39.15, 37.87, 36.0, 38.35, 39.49, 42.04, 36.23, 36.36, 70.71, 70.31, 73.11, 27.32, 74.22, 70.08, 16.4, 70.82, 62.43, 63.08, 58.78, 52.36, 50.28, 40.74, 39.92, 35.52, 31.09, 29.46, 15.43, 14.51, 9.83]"
"[2, 9, 22, 59, 11, 10, 6, 8, 27, 7, 29, 14, 24, 32, 49, 16, 13, 0, 4, 18, 38, 26, 37, 35, 28, 39, 40, 45, 57, 41, 33, 34, 53, 20, 48, 30, 36, 47, 21, 54, 52, 19, 1, 23, 51, 58, 50, 46, 3, 12, 31, 25, 42, 17, 56, 44, 15, 5, 43, 55]","[39, 92, 50, 9, 90, 88, 93, 85, 29, 85, 91, 91, 36, 67, 59, 90, 20, 57, 4, 37, 90, 87, 85, 89, 30, 87, 80, 40, 9, 70, 37, 48, 77, 33, 68, 45, 97, 61, 43, 32, 51, 45, 68, 36, 29, 6, 8, 10, 52, 36, 46, 33, 20, 13, 27, 11, 2, 34, 3, 4]","[59.86, 45.06, 68.7, 66.51, 80.49, 73.88, 65.82, 16.14, 69.06, 14.6, 77.75, 82.11, 63.46, 70.51, 71.0, 67.04, 59.42, 57.31, 55.22, 44.6, 72.04, 69.97, 80.98, 78.24, 70.67, 72.53, 27.76, 14.39, 76.01, 72.87, 72.05, 66.87, 64.44, 61.64, 60.36, 60.18, 61.81, 57.27, 54.33, 51.83, 48.82, 17.95, 48.52, 44.69, 11.9, 43.35, 38.28, 39.93, 44.08, 35.57, 38.57, 37.37, 34.11, 33.12, 32.65, 24.18, 22.58, 14.15, 10.39]"
"[3, 10, 22, 15, 11, 6, 9, 14, 28, 8, 30, 1, 2, 33, 7, 5, 16, 32, 0, 13, 40, 41, 21, 49, 18, 25, 24, 46, 58, 31, 12, 19, 39, 53, 4, 38, 35, 37, 48, 36, 34, 26, 17, 29, 47, 59, 27, 20, 54, 23, 52, 51, 42, 50, 56, 45, 44, 57, 43, 55]","[52, 88, 50, 2, 90, 93, 92, 91, 30, 85, 45, 68, 39, 37, 85, 34, 90, 67, 57, 20, 80, 70, 43, 59, 37, 33, 36, 10, 6, 46, 36, 45, 87, 77, 4, 90, 89, 85, 68, 97, 48, 87, 13, 91, 61, 9, 29, 33, 32, 36, 51, 29, 20, 8, 27, 40, 11, 9, 3, 4]","[61.16, 46.48, 71.98, 88.92, 85.23, 85.15, 76.57, 84.07, 87.62, 19.61, 83.48, 75.74, 20.85, 79.06, 73.03, 64.1, 54.3, 51.79, 49.77, 30.31, 49.37, 47.44, 46.72, 45.9, 43.14, 42.63, 20.6, 8.2, 39.82, 37.24, 36.68, 38.3, 38.99, 38.0, 61.45, 65.53, 68.38, 70.84, 72.21, 72.85, 71.26, 36.36, 72.67, 63.45, 10.66, 58.13, 58.61, 53.13, 49.87, 52.4, 43.42, 37.06, 37.16, 36.09, 33.61, 31.13, 14.56, 14.53, 10.31]"
"[4, 1, 22, 10, 11, 6, 9, 32, 27, 0, 29, 49, 13, 31, 21, 12, 26, 30, 16, 19, 39, 7, 8, 38, 41, 37, 35, 46, 58, 14, 28, 53, 33, 40, 48, 36, 34, 47, 20, 52, 23, 54, 2, 50, 18, 59, 24, 51, 25, 3, 17, 42, 45, 56, 44, 5, 15, 43, 57, 55]","[4, 68, 50, 88, 90, 93, 92, 67, 29, 57, 91, 59, 20, 46, 43, 36, 87, 45, 90, 45, 87, 85, 85, 90, 70, 85, 89, 10, 6, 91, 30, 77, 37, 80, 68, 97, 48, 61, 33, 51, 36, 32, 39, 8, 37, 9, 36, 29, 33, 52, 13, 20, 40, 27, 11, 34, 2, 3, 9, 4]","[56.52, 31.91, 73.7, 77.03, 80.05, 77.31, 64.92, 30.67, 65.3, 32.39, 75.63, 65.12, 43.15, 80.66, 56.02, 77.33, 76.14, 80.09, 74.32, 21.9, 81.71, 81.68, 77.77, 82.89, 80.88, 83.86, 49.83, 21.32, 74.83, 76.78, 71.27, 74.24, 76.38, 69.88, 67.81, 74.0, 64.92, 64.02, 53.18, 52.41, 51.49, 27.21, 48.86, 46.31, 14.42, 43.97, 41.38, 37.78, 37.24, 38.99, 36.9, 33.86, 33.89, 31.67, 26.89, 30.98, 13.93, 15.89, 11.57]"
"[5, 9, 22, 10, 11, 8, 6, 7, 28, 14, 30, 1, 2, 33, 16, 3, 32, 0, 49, 21, 39, 41, 40, 23, 50, 13, 18, 45, 58, 53, 12, 31, 25, 24, 4, 35, 48, 38, 37, 34, 29, 26, 15, 36, 47, 59, 27, 19, 54, 20, 52, 51, 46, 42, 17, 44, 56, 57, 43, 55]","[34, 92, 50, 88, 90, 85, 93, 85, 30, 91, 45, 68, 39, 37, 90, 52, 67, 57, 59, 43, 87, 70, 80, 36, 8, 20, 37, 40, 6, 77, 36, 46, 33, 36, 4, 89, 68, 90, 85, 48, 91, 87, 2, 97, 61, 9, 29, 45, 32, 33, 51, 29, 10, 20, 13, 11, 27, 9, 3, 4]","[60.69, 43.2, 71.38, 80.76, 72.24, 78.97, 74.84, 63.98, 64.27, 31.59, 78.16, 69.12, 22.5, 65.76, 57.92, 54.63, 51.93, 48.67, 49.33, 30.42, 65.91, 65.78, 62.23, 54.63, 53.77, 45.97, 23.9, 22.45, 42.92, 43.21, 42.9, 40.34, 39.22, 37.87, 64.61, 67.46, 66.04, 81.73, 73.52, 70.15, 76.91, 29.19, 62.85, 64.97, 9.09, 56.78, 54.07, 55.61, 51.88, 49.76, 44.24, 38.52, 37.34, 36.16, 31.23, 30.3, 15.62, 14.5, 8.25]"
"[6, 9, 22, 11, 10, 0, 14, 8, 28, 7, 30, 1, 16, 33, 2, 5, 32, 49, 3, 13, 39, 41, 40, 23, 21, 18, 12, 46, 58, 53, 19, 31, 24, 50, 25, 52, 4, 35, 48, 38, 37, 26, 15, 29, 34, 59, 27, 54, 36, 47, 20, 51, 17, 42, 45, 44, 56, 43, 57, 55]","[93, 92, 50, 90, 88, 57, 91, 85, 30, 85, 45, 68, 90, 37, 39, 34, 67, 59, 52, 20, 87, 70, 80, 36, 43, 37, 36, 10, 6, 77, 45, 46, 36, 8, 33, 51, 4, 89, 68, 90, 85, 87, 2, 91, 48, 9, 29, 32, 97, 61, 33, 29, 13, 20, 40, 11, 27, 3, 9, 4]","[80.23, 59.99, 88.32, 89.37, 71.67, 86.31, 83.44, 33.69, 81.33, 32.73, 80.45, 74.84, 23.88, 72.49, 68.05, 54.75, 49.42, 50.65, 49.66, 30.72, 63.36, 60.19, 66.25, 49.07, 45.3, 43.34, 24.45, 15.08, 43.38, 40.92, 42.21, 42.49, 40.52, 39.53, 40.57, 38.22, 66.81, 65.92, 64.58, 68.0, 72.72, 22.56, 73.83, 70.59, 9.87, 67.36, 57.92, 57.21, 61.88, 51.77, 44.21, 38.3, 36.19, 35.24, 32.57, 30.62, 14.85, 13.99, 10.73]"
"[7, 10, 22, 8, 11, 6, 14, 1, 28, 2, 30, 5, 9, 33, 16, 32, 3, 0, 49, 13, 39, 41, 40, 23, 21, 18, 12, 46, 58, 51, 31, 25, 24, 53, 19, 17, 52, 20, 15, 4, 29, 38, 26, 37, 35, 59, 34, 48, 36, 47, 27, 54, 50, 42, 45, 56, 44, 57, 43, 55]","[85, 88, 50, 85, 90, 93, 91, 68, 30, 39, 45, 34, 92, 37, 90, 67, 52, 57, 59, 20, 87, 70, 80, 36, 43, 37, 36, 10, 6, 29, 46, 33, 36, 77, 45, 13, 51, 33, 2, 4, 91, 90, 87, 85, 89, 9, 48, 68, 97, 61, 29, 32, 8, 20, 40, 27, 11, 9, 3, 4]","[75.57, 55.76, 84.68, 83.92, 78.51, 87.85, 84.29, 19.4, 76.58, 27.58, 68.64, 73.77, 25.46, 65.68, 58.19, 60.0, 49.91, 49.44, 48.94, 27.82, 66.68, 56.35, 67.15, 48.98, 44.89, 45.11, 25.6, 19.16, 41.53, 42.17, 40.19, 39.22, 41.7, 39.17, 36.97, 43.52, 36.24, 37.84, 33.91, 33.64, 71.33, 69.38, 74.58, 83.13, 15.08, 71.96, 68.15, 62.65, 62.28, 59.0, 52.62, 44.45, 38.08, 33.6, 33.78, 31.25, 18.16, 13.12, 8.66]"
"[8, 10, 22, 11, 6, 14, 1, 2, 28, 7, 30, 5, 9, 33, 16, 32, 3, 0, 49, 13, 39, 41, 40, 23, 21, 18, 31, 46, 58, 53, 19, 24, 12, 52, 25, 17, 51, 29, 38, 37, 26, 35, 4, 48, 36, 59, 34, 47, 27, 54, 20, 50, 42, 56, 45, 44, 15, 43, 57, 55]","[85, 88, 50, 90, 93, 91, 68, 39, 30, 85, 45, 34, 92, 37, 90, 67, 52, 57, 59, 20, 87, 70, 80, 36, 43, 37, 46, 10, 6, 77, 45, 36, 36, 51, 33, 13, 29, 91, 90, 85, 87, 89, 4, 68, 97, 9, 48, 61, 29, 32, 33, 8, 20, 27, 40, 11, 2, 3, 9, 4]","[75.1, 52.64, 72.74, 86.43, 86.62, 84.51, 74.94, 86.16, 76.27, 28.0, 71.14, 75.66, 21.69, 64.96, 57.69, 58.06, 50.78, 48.34, 49.4, 30.1, 62.46, 55.49, 67.92, 47.54, 45.92, 45.13, 23.05, 11.92, 41.26, 41.65, 41.05, 39.59, 39.92, 40.99, 38.95, 39.13, 36.56, 67.67, 71.41, 69.48, 67.99, 37.73, 70.6, 72.1, 19.25, 75.51, 63.95, 59.65, 53.3, 51.06, 43.65, 35.7, 33.64, 36.9, 32.34, 27.55, 14.04, 9.79, 8.62]"
"[9, 6, 22, 11, 10, 0, 14, 8, 28, 7, 30, 1, 5, 33, 2, 16, 32, 3, 13, 21, 40, 41, 49, 39, 51, 4, 18, 45, 58, 25, 31, 24, 12, 53, 38, 37, 35, 26, 29, 36, 34, 48, 15, 47, 20, 59, 27, 54, 52, 19, 23, 46, 50, 17, 42, 44, 56, 43, 55, 57]","[92, 93, 50, 90, 88, 57, 91, 85, 30, 85, 45, 68, 34, 37, 39, 90, 67, 52, 20, 43, 80, 70, 59, 87, 29, 4, 37, 40, 6, 33, 46, 36, 36, 77, 90, 85, 89, 87, 91, 97, 48, 68, 2, 61, 33, 9, 29, 32, 51, 45, 36, 10, 8, 13, 20, 11, 27, 3, 4, 9]","[75.06, 62.0, 87.27, 88.23, 73.87, 85.7, 84.54, 42.67, 81.97, 35.49, 77.69, 74.13, 18.93, 69.74, 67.83, 54.18, 50.77, 48.9, 49.1, 32.58, 53.41, 47.44, 47.24, 50.48, 48.63, 47.21, 32.27, 21.6, 40.6, 41.17, 40.0, 39.61, 37.69, 67.86, 71.77, 71.29, 73.52, 74.63, 71.93, 75.17, 69.22, 28.43, 64.53, 60.64, 10.32, 62.06, 52.98, 53.94, 47.55, 45.54, 40.12, 41.77, 36.77, 34.54, 32.57, 34.05, 13.99, 10.94, 10.17]"
