selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 22, 38, 11, 6, 8, 3, 27, 2, 29, 1, 5, 32, 21, 13, 17, 30, 51, 15, 39, 9, 24, 28, 14, 20, 12, 46, 58, 19, 49, 23, 7, 26, 37, 31, 16, 18, 4, 25, 35, 57, 33, 50, 53, 59, 45, 42, 47, 48, 36, 34, 52, 54, 55, 40, 41, 44, 43, 56]","[95, 98, 97, 19, 97, 95, 39, 10, 99, 97, 99, 98, 71, 99, 99, 63, 7, 99, 4, 10, 2, 80, 85, 97, 49, 82, 50, 16, 1, 99, 99, 4, 28, 99, 50, 55, 98, 92, 33, 16, 43, 1, 1, 0, 3, 0, 2, 2, 9, 8, 1, 2, 1, 56, 0, 9, 7, 2, 1, 2]","[80.8, 74.78, 93.88, 95.18, 94.32, 93.37, 84.37, 22.99, 83.34, 56.49, 83.59, 88.94, 78.94, 85.83, 87.64, 86.34, 87.83, 86.72, 85.93, 12.3, 77.73, 63.27, 73.33, 61.41, 73.17, 73.11, 50.16, 24.34, 77.68, 73.0, 65.54, 60.25, 61.69, 60.64, 66.6, 51.68, 51.01, 49.85, 41.56, 32.64, 28.2, 11.16, 21.46, 12.94, 4.25, 22.82, 17.62, 10.32, 8.61, 8.05, 7.21, 5.21, 4.95, 9.63, 3.79, 4.05, 2.56, 1.58, 1.11]"
"[1, 10, 22, 11, 2, 0, 6, 15, 28, 8, 30, 3, 27, 33, 24, 38, 49, 9, 5, 13, 39, 32, 21, 17, 20, 19, 51, 45, 58, 12, 23, 7, 37, 14, 29, 26, 31, 4, 18, 35, 46, 54, 16, 25, 57, 59, 42, 53, 50, 47, 36, 48, 34, 55, 52, 40, 41, 44, 43, 56]","[98, 98, 97, 97, 97, 95, 95, 10, 97, 39, 99, 10, 99, 1, 85, 19, 99, 80, 71, 63, 2, 99, 99, 7, 82, 99, 4, 2, 1, 50, 4, 28, 50, 49, 99, 99, 55, 33, 92, 43, 16, 56, 98, 16, 1, 0, 2, 3, 0, 9, 1, 8, 2, 0, 1, 9, 7, 2, 1, 2]","[82.99, 75.26, 96.85, 96.72, 97.03, 96.87, 95.22, 33.83, 95.05, 50.17, 93.99, 91.25, 76.56, 80.94, 77.35, 84.39, 69.33, 66.99, 67.0, 11.45, 69.27, 80.28, 79.61, 81.19, 77.98, 74.55, 4.86, 24.17, 69.37, 63.5, 58.92, 57.1, 68.56, 57.44, 62.78, 62.42, 52.55, 46.85, 40.66, 39.72, 33.53, 27.52, 40.66, 38.59, 11.86, 27.23, 29.04, 22.52, 13.62, 12.2, 10.35, 7.82, 6.46, 5.95, 4.37, 3.85, 2.83, 2.59, 1.11]"
"[2, 10, 22, 15, 11, 6, 8, 32, 27, 13, 29, 26, 38, 31, 21, 0, 24, 51, 9, 49, 37, 1, 17, 30, 28, 3, 14, 45, 58, 20, 35, 12, 19, 23, 7, 46, 5, 18, 25, 53, 16, 4, 33, 50, 57, 59, 42, 47, 52, 36, 48, 34, 54, 55, 40, 39, 41, 44, 43, 56]","[97, 98, 97, 10, 97, 95, 39, 99, 99, 63, 99, 99, 19, 55, 99, 95, 85, 4, 80, 99, 50, 98, 7, 99, 97, 10, 49, 2, 1, 82, 43, 50, 99, 4, 28, 16, 71, 92, 16, 3, 98, 33, 1, 0, 1, 0, 2, 9, 1, 1, 8, 2, 56, 0, 9, 2, 7, 2, 1, 2]","[83.02, 75.72, 97.59, 95.61, 95.93, 93.17, 86.14, 37.26, 91.72, 71.45, 95.43, 98.46, 89.0, 91.13, 91.89, 89.11, 92.17, 89.13, 88.98, 48.37, 86.73, 85.42, 81.91, 84.8, 76.68, 65.35, 14.74, 26.61, 60.29, 59.82, 61.16, 75.19, 62.39, 62.38, 58.51, 61.09, 52.19, 41.36, 40.4, 31.07, 42.19, 6.08, 24.43, 28.71, 4.06, 18.85, 13.58, 9.05, 8.36, 8.18, 7.25, 5.53, 6.91, 5.62, 4.06, 3.29, 2.69, 1.98, 1.18]"
"[3, 9, 22, 28, 27, 20, 37, 26, 24, 51, 25, 21, 8, 31, 30, 19, 10, 11, 6, 38, 39, 29, 0, 12, 2, 49, 17, 45, 58, 23, 1, 32, 13, 14, 7, 15, 5, 18, 35, 4, 53, 46, 16, 57, 50, 59, 42, 47, 48, 34, 52, 36, 33, 40, 41, 54, 55, 44, 43, 56]","[10, 80, 97, 97, 99, 82, 50, 99, 85, 4, 16, 99, 39, 55, 99, 99, 98, 97, 95, 19, 2, 99, 95, 50, 97, 99, 7, 2, 1, 4, 98, 99, 63, 49, 28, 10, 71, 92, 43, 33, 3, 16, 98, 1, 0, 0, 2, 9, 8, 2, 1, 1, 1, 9, 7, 56, 0, 2, 1, 2]","[55.44, 28.09, 91.36, 91.87, 94.84, 92.44, 92.34, 88.8, 90.55, 38.19, 91.47, 88.56, 33.94, 88.95, 86.62, 82.99, 86.03, 88.1, 73.28, 11.18, 82.59, 66.5, 66.1, 58.78, 62.13, 79.93, 6.11, 28.01, 60.22, 57.87, 64.29, 81.2, 72.56, 61.96, 73.17, 58.0, 51.67, 42.33, 36.09, 38.88, 32.97, 27.64, 19.1, 25.8, 8.5, 18.21, 12.43, 9.76, 8.26, 6.96, 5.41, 5.73, 4.5, 4.35, 4.39, 6.21, 2.6, 1.94, 1.29]"
"[4, 9, 22, 19, 20, 8, 21, 24, 28, 38, 29, 26, 27, 32, 30, 51, 18, 0, 6, 10, 39, 17, 11, 13, 3, 12, 37, 46, 58, 49, 31, 23, 7, 2, 1, 15, 5, 14, 53, 16, 25, 35, 33, 57, 50, 59, 42, 34, 47, 36, 48, 52, 54, 45, 55, 40, 41, 44, 43, 56]","[33, 80, 97, 99, 82, 39, 99, 85, 97, 19, 99, 99, 99, 99, 99, 4, 92, 95, 95, 98, 2, 7, 97, 63, 10, 50, 50, 16, 1, 99, 55, 4, 28, 97, 98, 10, 71, 49, 3, 98, 16, 43, 1, 1, 0, 0, 2, 2, 9, 1, 8, 1, 56, 2, 0, 9, 7, 2, 1, 2]","[61.74, 34.21, 81.73, 95.86, 92.19, 91.61, 89.32, 83.36, 90.32, 75.88, 94.57, 94.2, 49.06, 92.98, 89.81, 89.43, 84.66, 85.36, 88.14, 9.99, 92.87, 93.22, 86.75, 80.9, 65.4, 72.15, 35.09, 28.3, 78.99, 73.75, 68.78, 68.74, 64.34, 69.38, 66.52, 62.72, 64.39, 42.85, 54.78, 41.4, 29.98, 3.75, 22.31, 24.93, 4.15, 19.02, 11.6, 11.77, 9.0, 7.28, 6.05, 6.14, 13.02, 7.58, 5.31, 4.51, 3.76, 3.21, 1.0]"
"[5, 10, 22, 21, 20, 6, 11, 9, 28, 38, 29, 2, 0, 32, 3, 1, 14, 17, 27, 30, 40, 24, 26, 51, 15, 8, 13, 46, 58, 49, 31, 19, 23, 7, 12, 35, 18, 37, 16, 4, 25, 57, 33, 50, 53, 59, 42, 47, 52, 48, 34, 45, 54, 55, 36, 41, 39, 44, 43, 56]","[71, 98, 97, 99, 82, 95, 97, 80, 97, 19, 99, 97, 95, 99, 10, 98, 49, 7, 99, 99, 9, 85, 99, 4, 10, 39, 63, 16, 1, 99, 55, 99, 4, 28, 50, 43, 92, 50, 98, 33, 16, 1, 1, 0, 3, 0, 2, 9, 1, 8, 2, 2, 56, 0, 1, 7, 2, 2, 1, 2]","[67.92, 57.33, 93.2, 94.33, 95.02, 91.98, 93.47, 79.4, 91.69, 47.37, 94.24, 94.75, 89.75, 94.13, 89.05, 84.96, 88.58, 88.6, 93.11, 39.37, 86.28, 86.42, 85.04, 77.74, 75.21, 73.7, 45.63, 19.28, 80.41, 72.73, 74.63, 70.62, 62.01, 59.88, 55.34, 51.82, 52.97, 52.47, 50.19, 41.07, 24.23, 16.89, 20.85, 17.1, 5.95, 22.89, 12.83, 10.52, 8.89, 8.23, 6.9, 6.9, 8.39, 7.38, 3.81, 4.11, 2.86, 2.57, 1.27]"
"[6, 11, 22, 14, 0, 10, 3, 29, 27, 30, 28, 26, 51, 32, 37, 24, 2, 49, 1, 9, 38, 8, 17, 15, 13, 31, 35, 45, 58, 7, 12, 5, 4, 46, 20, 21, 19, 23, 18, 25, 53, 54, 16, 57, 42, 59, 50, 47, 34, 48, 55, 52, 36, 33, 40, 41, 39, 44, 43, 56]","[95, 97, 97, 49, 95, 98, 10, 99, 99, 99, 97, 99, 4, 99, 50, 85, 97, 99, 98, 80, 19, 39, 7, 10, 63, 55, 43, 2, 1, 28, 50, 71, 33, 16, 82, 99, 99, 4, 92, 16, 3, 56, 98, 1, 2, 0, 0, 9, 2, 8, 0, 1, 1, 1, 9, 7, 2, 2, 1, 2]","[80.29, 65.66, 92.74, 87.57, 91.45, 92.42, 89.5, 85.61, 94.27, 97.56, 97.69, 96.04, 47.28, 98.17, 93.51, 87.14, 88.94, 86.01, 84.73, 71.79, 74.76, 78.31, 77.47, 75.26, 65.99, 64.76, 12.47, 23.7, 61.49, 61.54, 53.98, 53.69, 49.75, 49.03, 55.49, 76.25, 66.91, 56.76, 42.97, 37.69, 34.65, 32.99, 35.06, 32.87, 6.9, 23.37, 14.97, 9.78, 8.28, 8.88, 8.66, 7.72, 5.96, 6.41, 5.18, 4.55, 2.71, 3.28, 1.25]"
"[7, 9, 22, 0, 12, 21, 11, 10, 28, 19, 30, 24, 27, 33, 20, 26, 29, 6, 38, 2, 40, 49, 17, 32, 1, 13, 31, 46, 58, 15, 5, 3, 23, 14, 51, 8, 4, 16, 18, 25, 35, 37, 34, 57, 50, 59, 42, 53, 47, 48, 45, 36, 52, 41, 54, 39, 55, 44, 43, 56]","[28, 80, 97, 95, 50, 99, 97, 98, 97, 99, 99, 85, 99, 1, 82, 99, 99, 95, 19, 97, 9, 99, 7, 99, 98, 63, 55, 16, 1, 10, 71, 10, 4, 49, 4, 39, 33, 98, 92, 16, 43, 50, 2, 1, 0, 0, 2, 3, 9, 8, 2, 1, 1, 7, 56, 2, 0, 2, 1, 2]","[61.24, 34.8, 74.89, 83.97, 83.66, 84.62, 93.62, 35.72, 93.48, 92.2, 95.87, 94.34, 87.57, 89.14, 87.59, 91.41, 82.4, 87.07, 81.43, 17.18, 92.86, 92.72, 80.59, 90.78, 92.99, 83.06, 41.16, 52.98, 77.72, 70.37, 70.3, 76.9, 63.34, 64.06, 68.6, 54.38, 52.24, 51.97, 43.12, 33.25, 36.19, 12.42, 30.65, 26.71, 5.82, 22.54, 12.88, 11.52, 9.14, 9.05, 8.05, 6.3, 5.79, 4.58, 4.68, 5.51, 1.81, 1.95, 1.33]"
"[8, 9, 22, 0, 32, 13, 17, 11, 27, 10, 29, 49, 30, 31, 15, 26, 38, 28, 24, 51, 37, 6, 1, 2, 3, 46, 35, 44, 58, 21, 19, 20, 7, 14, 23, 12, 5, 18, 53, 16, 4, 25, 33, 57, 50, 59, 47, 48, 45, 34, 36, 52, 40, 41, 54, 55, 42, 39, 43, 56]","[39, 80, 97, 95, 99, 63, 7, 97, 99, 98, 99, 99, 99, 55, 10, 99, 19, 97, 85, 4, 50, 95, 98, 97, 10, 16, 43, 2, 1, 99, 99, 82, 28, 49, 4, 50, 71, 92, 3, 98, 33, 16, 1, 1, 0, 0, 9, 8, 2, 2, 1, 1, 9, 7, 56, 0, 2, 2, 1, 2]","[60.36, 34.51, 72.97, 84.33, 93.25, 88.33, 77.42, 54.08, 85.9, 66.21, 86.14, 85.74, 84.88, 83.49, 97.28, 97.16, 86.35, 96.51, 94.78, 52.46, 71.32, 72.67, 89.63, 77.1, 68.9, 61.79, 10.17, 22.9, 63.33, 61.6, 64.42, 66.23, 71.39, 65.11, 62.9, 58.87, 50.58, 37.48, 32.69, 52.24, 39.76, 7.95, 23.22, 20.84, 5.78, 13.7, 10.38, 9.01, 8.47, 7.06, 5.64, 4.58, 4.34, 3.66, 10.31, 10.59, 4.6, 1.92, 1.04]"
"[9, 10, 22, 11, 49, 2, 0, 15, 27, 21, 29, 38, 17, 31, 6, 51, 30, 8, 1, 32, 37, 13, 3, 28, 24, 14, 46, 44, 58, 26, 19, 20, 35, 12, 23, 7, 5, 18, 54, 25, 53, 4, 16, 57, 50, 59, 42, 34, 45, 47, 36, 48, 52, 33, 55, 40, 39, 41, 43, 56]","[80, 98, 97, 97, 99, 97, 95, 10, 99, 99, 99, 19, 7, 55, 95, 4, 99, 39, 98, 99, 50, 63, 10, 97, 85, 49, 16, 2, 1, 99, 99, 82, 43, 50, 4, 28, 71, 92, 56, 16, 3, 33, 98, 1, 0, 0, 2, 2, 2, 9, 1, 8, 1, 1, 0, 9, 2, 7, 1, 2]","[69.9, 66.55, 89.71, 94.87, 95.25, 96.42, 94.81, 49.83, 96.84, 96.79, 98.03, 94.15, 79.14, 91.08, 86.94, 78.62, 81.4, 75.26, 82.19, 35.66, 88.17, 78.95, 67.21, 73.09, 66.37, 60.67, 10.35, 23.48, 83.7, 65.79, 77.95, 72.65, 66.19, 66.56, 62.49, 58.59, 52.92, 39.82, 48.7, 39.25, 33.3, 29.47, 41.05, 23.42, 3.36, 16.48, 12.51, 23.64, 10.02, 9.09, 9.91, 7.52, 8.36, 5.66, 4.19, 3.95, 4.61, 2.34, 1.51]"
