selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 22, 11, 12, 6, 2, 20, 28, 8, 30, 24, 7, 33, 14, 49, 23, 9, 21, 29, 39, 32, 27, 1, 19, 16, 26, 46, 58, 17, 13, 3, 31, 4, 51, 35, 5, 18, 15, 37, 38, 34, 25, 54, 57, 59, 55, 36, 47, 42, 53, 40, 41, 50, 48, 56, 52, 45, 44, 43]","[99, 99, 97, 99, 63, 98, 23, 97, 54, 99, 96, 97, 98, 0, 4, 17, 32, 97, 98, 5, 4, 10, 81, 45, 94, 13, 9, 0, 0, 0, 54, 98, 4, 0, 0, 7, 36, 95, 9, 90, 95, 10, 11, 94, 3, 0, 0, 2, 2, 2, 59, 53, 0, 0, 0, 0, 0, 0, 2, 2]","[85.06, 78.84, 96.17, 95.32, 96.67, 92.36, 96.28, 96.28, 95.89, 81.77, 96.37, 96.6, 80.39, 95.59, 85.18, 89.58, 84.39, 82.54, 91.58, 60.45, 94.69, 70.34, 66.31, 64.08, 78.52, 65.51, 24.18, 34.19, 65.66, 49.35, 58.01, 57.98, 61.77, 50.26, 43.22, 47.04, 37.26, 30.33, 28.02, 46.67, 31.92, 18.6, 18.1, 17.07, 6.37, 13.81, 10.58, 10.73, 10.7, 8.85, 8.94, 28.0, 8.03, 6.68, 5.22, 4.52, 3.69, 1.23, 1.02]"
"[1, 9, 22, 20, 28, 19, 21, 8, 27, 7, 30, 6, 14, 33, 11, 10, 29, 49, 24, 23, 39, 0, 2, 32, 16, 26, 3, 46, 58, 31, 51, 12, 17, 4, 13, 35, 5, 18, 37, 38, 15, 34, 25, 54, 57, 59, 42, 47, 55, 53, 36, 41, 48, 50, 40, 52, 56, 45, 43, 44]","[45, 97, 97, 97, 54, 94, 98, 99, 81, 98, 96, 98, 4, 0, 99, 99, 5, 17, 97, 32, 4, 99, 23, 10, 13, 9, 98, 0, 0, 4, 0, 63, 0, 0, 54, 7, 36, 95, 90, 95, 9, 10, 11, 94, 3, 0, 2, 2, 0, 59, 2, 0, 0, 0, 53, 0, 0, 0, 2, 2]","[61.82, 51.65, 93.62, 95.11, 92.77, 93.57, 93.37, 83.16, 95.64, 81.56, 95.1, 96.08, 70.39, 91.18, 92.45, 90.89, 87.65, 93.01, 88.49, 17.16, 76.61, 83.27, 80.54, 76.84, 70.25, 66.24, 25.62, 40.91, 71.31, 56.6, 56.11, 51.74, 48.01, 45.9, 44.58, 43.6, 38.12, 30.31, 43.78, 40.72, 32.55, 18.95, 16.520000000000003, 19.04, 5.25, 10.85, 10.78, 9.7, 10.15, 8.47, 8.22, 6.91, 7.07, 4.86, 5.39, 3.58, 3.12, 0.69, 1.14]"
"[2, 9, 22, 38, 7, 8, 28, 21, 26, 14, 29, 18, 17, 32, 42, 19, 20, 24, 23, 51, 37, 27, 30, 35, 10, 11, 16, 46, 58, 6, 49, 33, 0, 1, 12, 31, 3, 13, 4, 34, 5, 15, 25, 54, 55, 59, 57, 48, 53, 40, 41, 39, 56, 50, 47, 45, 36, 52, 44, 43]","[23, 97, 97, 95, 98, 99, 54, 98, 9, 4, 5, 95, 0, 10, 2, 94, 97, 97, 32, 0, 90, 81, 96, 7, 99, 99, 13, 0, 0, 98, 17, 0, 99, 45, 63, 4, 98, 54, 0, 10, 36, 9, 11, 94, 0, 0, 3, 0, 59, 53, 0, 4, 0, 0, 2, 0, 2, 0, 2, 2]","[54.57, 39.42, 94.32, 93.44, 94.7, 93.93, 92.03, 91.25, 96.01, 82.69, 80.77, 89.06, 26.36, 78.86, 78.66, 83.08, 84.15, 80.98, 72.97, 61.03, 69.95, 72.62, 70.2, 73.16, 88.56, 88.8, 18.42, 19.06, 79.65, 78.1, 61.34, 56.12, 66.13, 65.55, 58.79, 33.54, 43.19, 42.74, 36.14, 45.35, 24.21, 19.17, 18.3, 18.09, 9.92, 11.11, 11.17, 10.36, 11.02, 26.12, 14.9, 10.04, 7.85, 7.89, 5.31, 4.54, 4.01, 1.69, 1.05]"
"[3, 1, 22, 21, 29, 11, 2, 32, 26, 31, 27, 6, 10, 33, 9, 8, 7, 14, 24, 20, 40, 23, 16, 30, 28, 19, 4, 47, 58, 18, 17, 12, 51, 49, 0, 15, 35, 5, 13, 54, 25, 42, 34, 37, 38, 59, 41, 46, 57, 55, 39, 36, 48, 53, 56, 50, 45, 52, 44, 43]","[98, 45, 97, 98, 5, 99, 23, 10, 9, 4, 81, 98, 99, 0, 97, 99, 98, 4, 97, 97, 53, 32, 13, 96, 54, 94, 0, 2, 0, 95, 0, 63, 0, 17, 99, 9, 7, 36, 54, 94, 11, 2, 10, 90, 95, 0, 0, 0, 3, 0, 4, 2, 0, 59, 0, 0, 0, 0, 2, 2]","[82.59, 48.78, 94.02, 93.44, 80.07, 82.93, 87.32, 61.72, 65.88, 18.25, 70.78, 78.2, 40.94, 75.9, 66.14, 88.94, 81.5, 72.27, 81.09, 66.53, 90.09, 74.25, 71.81, 63.35, 64.42, 60.73, 50.12, 41.8, 68.37, 78.12, 58.57, 63.47, 53.1, 47.63, 40.84, 55.76, 55.42, 44.37, 32.78, 31.9, 41.84, 9.62, 41.61, 46.24, 8.88, 23.91, 23.32, 22.01, 11.99, 11.63, 9.67, 7.16, 8.72, 7.45, 9.03, 7.89, 4.73, 0.81, 1.03]"
"[4, 9, 22, 28, 38, 6, 14, 49, 25, 29, 26, 37, 21, 30, 35, 27, 19, 20, 24, 11, 39, 10, 0, 32, 16, 2, 12, 46, 58, 18, 13, 17, 31, 5, 3, 23, 8, 51, 7, 53, 15, 1, 33, 34, 54, 59, 42, 57, 40, 41, 55, 47, 48, 56, 50, 36, 45, 52, 44, 43]","[0, 97, 97, 54, 95, 98, 4, 17, 11, 5, 9, 90, 98, 96, 7, 81, 94, 97, 97, 99, 4, 99, 99, 10, 13, 23, 63, 0, 0, 95, 54, 0, 4, 36, 98, 32, 99, 0, 98, 59, 9, 45, 0, 10, 94, 0, 2, 3, 53, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2]","[56.86, 45.44, 93.4, 90.73, 94.14, 96.1, 92.07, 54.17, 80.43, 73.24, 68.75, 65.42, 51.72, 81.6, 58.36, 81.12, 86.06, 88.74, 75.69, 50.6, 83.7, 69.55, 88.28, 70.04, 71.97, 72.22, 11.68, 12.37, 68.75, 57.51, 52.2, 47.94, 46.2, 43.1, 81.83, 54.99, 50.43, 43.29, 38.64, 35.37, 33.33, 34.55, 33.82, 17.38, 17.16, 38.21, 14.77, 12.41, 23.93, 11.59, 11.13, 8.04, 9.06, 6.39, 5.21, 5.43, 2.19, 1.7, 1.34]"
"[5, 1, 22, 26, 14, 10, 11, 9, 28, 6, 30, 49, 21, 32, 35, 2, 19, 24, 20, 27, 39, 29, 8, 7, 51, 16, 18, 45, 58, 17, 0, 13, 31, 23, 3, 12, 4, 15, 25, 37, 38, 53, 33, 34, 46, 59, 36, 54, 55, 57, 47, 40, 41, 56, 48, 42, 50, 52, 44, 43]","[36, 45, 97, 9, 4, 99, 99, 97, 54, 98, 96, 17, 98, 10, 7, 23, 94, 97, 97, 81, 4, 5, 99, 98, 0, 13, 95, 0, 0, 0, 99, 54, 4, 32, 98, 63, 0, 9, 11, 90, 95, 59, 0, 10, 0, 0, 2, 94, 0, 3, 2, 53, 0, 0, 0, 2, 0, 0, 2, 2]","[63.06, 32.04, 85.51, 71.71, 79.17, 86.99, 85.26, 41.18, 78.62, 51.36, 87.37, 71.71, 60.96, 81.57, 79.54, 85.74, 84.91, 84.44, 81.46, 38.95, 79.57, 59.66, 60.83, 85.14, 69.93, 75.73, 10.09, 22.01, 63.58, 53.1, 48.94, 48.19, 42.95, 39.69, 49.9, 47.47, 38.49, 30.5, 44.02, 47.61, 42.98, 38.04, 37.47, 15.5, 3.28, 18.42, 14.39, 16.81, 12.93, 11.36, 8.91, 27.21, 7.91, 7.27, 7.49, 5.18, 4.1, 1.87, 1.3]"
"[6, 10, 22, 11, 1, 38, 20, 21, 27, 14, 29, 19, 23, 32, 37, 26, 8, 39, 49, 7, 36, 24, 9, 28, 51, 30, 17, 45, 58, 0, 12, 2, 3, 31, 16, 35, 13, 4, 18, 5, 15, 25, 33, 54, 46, 59, 55, 57, 47, 53, 40, 41, 52, 34, 48, 50, 42, 56, 44, 43]","[98, 99, 97, 99, 45, 95, 97, 98, 81, 4, 5, 94, 32, 10, 90, 9, 99, 4, 17, 98, 2, 97, 97, 54, 0, 96, 0, 0, 0, 99, 63, 23, 98, 4, 13, 7, 54, 0, 95, 36, 9, 11, 0, 94, 0, 0, 0, 3, 2, 59, 53, 0, 0, 10, 0, 0, 2, 0, 2, 2]","[84.66, 74.42, 95.57, 95.33, 97.36, 96.43, 96.73, 96.44, 96.66, 94.43, 89.39, 87.5, 84.65, 85.45, 86.93, 71.33, 83.55, 93.11, 82.92, 63.13, 86.09, 85.19, 79.38, 75.12, 73.16, 69.49, 2.7, 7.72, 57.72, 66.46, 65.31, 61.47, 65.84, 53.76, 66.83, 54.17, 52.48, 44.32, 38.86, 37.66, 25.64, 11.56, 18.22, 18.06, 7.27, 16.92, 10.74, 9.61, 9.81, 6.47, 24.69, 8.35, 7.37, 7.04, 6.81, 6.68, 3.59, 0.86, 1.31]"
"[7, 6, 22, 9, 28, 14, 11, 10, 27, 4, 30, 49, 38, 31, 29, 26, 24, 35, 16, 19, 39, 20, 21, 51, 32, 23, 0, 45, 58, 2, 18, 17, 8, 5, 1, 12, 13, 3, 37, 34, 15, 25, 33, 46, 54, 59, 57, 55, 47, 48, 42, 53, 41, 36, 40, 50, 56, 52, 43, 44]","[98, 98, 97, 97, 54, 4, 99, 99, 81, 0, 96, 17, 95, 4, 5, 9, 97, 7, 13, 94, 4, 97, 98, 0, 10, 32, 99, 0, 0, 23, 95, 0, 99, 36, 45, 63, 54, 98, 90, 10, 9, 11, 0, 0, 94, 0, 3, 0, 2, 0, 2, 59, 0, 2, 53, 0, 0, 0, 2, 2]","[83.32, 77.07, 96.82, 97.2, 97.25, 94.42, 97.37, 68.06, 96.42, 78.07, 91.47, 89.7, 63.84, 87.56, 83.89, 77.79, 77.28, 72.33, 64.38, 27.12, 87.74, 85.47, 83.99, 83.17, 81.97, 60.15, 8.78, 15.8, 70.07, 64.75, 61.13, 59.0, 50.58, 45.85, 43.05, 44.84, 39.05, 47.18, 35.0, 36.97, 23.76, 9.29, 18.11, 18.2, 8.7, 19.79, 13.36, 9.34, 7.7, 10.88, 9.21, 9.41, 7.45, 5.85, 6.4, 5.27, 3.72, 1.61, 1.61]"
"[8, 10, 22, 11, 6, 7, 14, 0, 28, 3, 30, 2, 38, 32, 26, 49, 12, 42, 35, 1, 37, 29, 24, 27, 20, 19, 21, 46, 58, 23, 51, 9, 16, 31, 17, 13, 33, 34, 4, 15, 41, 18, 5, 25, 54, 59, 57, 47, 55, 50, 48, 53, 36, 39, 40, 56, 45, 52, 44, 43]","[99, 99, 97, 99, 98, 98, 4, 99, 54, 98, 96, 23, 95, 10, 9, 17, 63, 2, 7, 45, 90, 5, 97, 81, 97, 94, 98, 0, 0, 32, 0, 97, 13, 4, 0, 54, 0, 10, 0, 9, 0, 95, 36, 11, 94, 0, 3, 2, 0, 0, 0, 59, 2, 4, 53, 0, 0, 0, 2, 2]","[84.03, 79.74, 97.27, 97.93, 97.52, 98.08, 98.16, 95.41, 97.96, 71.28, 98.78, 88.99, 79.97, 85.68, 83.48, 76.81, 71.36, 79.45, 71.66, 57.33, 75.01, 65.97, 82.22, 76.92, 81.76, 83.01, 28.89, 41.91, 84.63, 76.93, 78.68, 69.67, 62.6, 54.57, 43.9, 42.57, 44.01, 51.51, 39.3, 32.47, 46.74, 49.05, 17.95, 18.86, 5.6, 18.72, 11.45, 9.88, 8.81, 6.89, 7.14, 7.41, 5.71, 5.11, 4.75, 4.74, 2.84, 1.2, 1.6]"
"[9, 10, 22, 11, 13, 21, 30, 29, 26, 6, 28, 2, 14, 33, 49, 32, 1, 27, 24, 19, 39, 20, 23, 0, 51, 8, 12, 45, 58, 18, 17, 16, 7, 3, 4, 31, 5, 35, 37, 38, 15, 25, 34, 46, 54, 59, 55, 57, 50, 47, 36, 41, 48, 53, 42, 40, 52, 56, 43, 44]","[97, 99, 97, 99, 54, 98, 96, 5, 9, 98, 54, 23, 4, 0, 17, 10, 45, 81, 97, 94, 4, 97, 32, 99, 0, 99, 63, 0, 0, 95, 0, 13, 98, 98, 0, 4, 36, 7, 90, 95, 9, 11, 10, 0, 94, 0, 0, 3, 0, 2, 2, 0, 0, 59, 2, 53, 0, 0, 2, 2]","[81.33, 71.85, 98.22, 97.7, 96.77, 97.49, 97.29, 32.44, 96.45, 48.78, 92.22, 87.54, 30.29, 85.06, 66.25, 61.34, 65.59, 67.45, 87.78, 18.18, 84.75, 76.88, 61.12, 55.22, 56.68, 53.13, 5.23, 12.96, 51.19, 57.31, 54.83, 44.07, 48.94, 59.53, 58.54, 41.38, 40.24, 33.44, 41.93, 41.0, 20.64, 9.66, 17.41, 14.1, 4.36, 17.33, 10.88, 11.43, 9.33, 9.52, 8.22, 7.01, 6.56, 7.72, 5.74, 5.77, 3.39, 1.29, 1.21]"
