,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
0,Reaction_CO_ortho,Reaction_CO_1.5h,Reaction_CO_biphenyl,0.9525444266870214,0.5882012550308815,0.976033332407158,0.8597872618140446,0.8642406111960643,0.7272141447761824
1,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,0.9691018688060405,0.34137592736093025,0.9854689660032707,0.7726993074632486,0.9569487529386911,0.699569973732541
2,Reaction_CO_biphenyl,Reaction_SCF3,Reaction_CO_1.5h,0.9587272662688263,0.3846155342434521,0.9811452784960574,0.7730570877189012,0.9519670852944707,0.6360320519278887
3,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_1.5h,0.9359663780200984,0.643209902093959,0.9698728580614114,0.8453918510283153,0.8503308522902577,0.7321526514153832
4,Reaction_CO_ortho,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.9591092513609069,0.43454302310530046,0.9799576933261209,0.821436006645258,0.9135037687169163,0.687834935169288
5,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,0.958877306380906,0.38469175255231114,0.9794877061596888,0.8363184915515608,0.861253877644822,0.72947141087146
6,Reaction_CO_ortho,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.96452551102961,0.4392720333789921,0.9822398592475394,0.8240312432623745,0.8476190476190477,0.7284045819199311
7,Reaction_CO_biphenyl,Reaction_SCF3,Reaction_CO_ortho,0.9464906354340568,0.7271234400813318,0.9744808986235666,0.857946780437847,0.8503308522902577,0.7339693601569764
8,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_1.5h,0.9617793676546779,0.6160374127822462,0.9822070920689672,0.8355395760910249,0.9856107606091624,0.6925871314395123
9,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_1.5h,0.9487104073700878,0.6385433380007968,0.9743060373518233,0.8424647304709346,0.9083079558555025,0.7362517429678185
10,Reaction_CO_ortho,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.9750373453024229,0.5081015585878818,0.9876961041770868,0.8428554044177082,0.9327354270056935,0.7171941921751661
11,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_ortho,0.9609523659124842,0.4267612415068286,0.9826711557474906,0.8260862458141994,0.8889822546670876,0.7055745870108261
12,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_2+2,0.9689919284712483,0.5347682461816108,0.9856504417648462,0.7799016846675155,0.8666666666666667,0.5646062033932994
13,Reaction_CO_1.5h,Reaction_CO_ortho,Reaction_CO_biphenyl,0.941030507008803,0.7102864097232049,0.9723253197049098,0.8594234891756204,0.8803928527035957,0.7476128585146448
14,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_ortho,0.9681132047163483,0.35667281414086816,0.9843207190473225,0.8179812672065634,0.9569487529386911,0.7158902289984517
