,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
0,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9638381508922049,0.5631586351837766,0.9864524378265771,0.8389861541307249,0.8587430027708907,0.6537604111838863
1,Reaction_CO_Cl,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.9540241821468514,0.5619392970536647,0.9829197680521953,0.8140805148346746,0.9468620919467723,0.5707263045496438
2,Reaction_CO_Cl,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.8881209039178495,0.7421617521322226,0.9549814265581864,0.9340656706986104,0.8359905377283481,0.7424331813539178
3,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9595777578678032,0.6401940818156014,0.9860523151489202,0.869212911395518,0.8994834899608809,0.6735624051907244
4,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.962221295840512,0.5537362860761181,0.9865198703875009,0.8445138297430003,0.8541384494640201,0.6658282930926911
5,Reaction_CO_1.5h,Reaction_CO_Cl,Reaction_CO_biphenyl,0.9577028043134047,0.4116819641872871,0.9853004259396252,0.8677836054256899,0.8450285359351023,0.7072001481974798
6,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9504994230075731,0.6481589386459803,0.9809328629122858,0.8445026662565422,0.8994834899608809,0.6528847970321647
7,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.936251766127533,0.5971392637947585,0.9779418186909625,0.8617432092052981,0.9071905270704809,0.6769894867548226
8,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9586621890195524,0.6051000696022997,0.9845641721646439,0.8597165429607534,0.8707154319342925,0.6761712568688883
9,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9655814195529773,0.500780351545451,0.9868785250203483,0.8474720369511375,0.8677370138446145,0.6882032794115446
10,Reaction_CO_Cl,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.9554623877520978,0.5404705676034047,0.9829772668110024,0.8861082276534055,0.9547515372421702,0.7149573710296275
11,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_Cl,0.954606205461088,0.4620008532967558,0.983369415812035,0.8703003731736437,0.9234860641727343,0.6520162426119214
12,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9538341364517835,0.7593897095332671,0.9810622011110188,0.8924103127395487,0.8859696960278965,0.6986814210095936
13,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_Cl,0.9614185333164597,0.5375881158839775,0.9843047238873631,0.8548513252081688,0.9206478073717251,0.6520500114499626
14,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9362283663334527,0.6434429680998079,0.9775203011858089,0.8781135324381963,0.8889013312554587,0.6727313356433487
