,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
0,Reaction_CS,Reaction_CO_biphenyl,Reaction_CN,0.9389915154660933,0.3553514044259677,0.9761501252477485,0.7071365063460738,0.8731829214700912,0.5741758242131301
1,Reaction_CS,Reaction_CN,Reaction_P,0.9462021679267764,0.6631092759550445,0.980698729267749,0.8151268142949663,0.8227667842441904,0.6917715336622913
2,Reaction_CS,Reaction_CN,Reaction_CO_1.5h,0.9189751064124038,0.5179440043326424,0.9644780016369545,0.7245612633433884,0.85927833194296,0.5669150745106349
3,Reaction_CN,Reaction_P,Reaction_CO_Cl,0.9480372304352582,0.42798875105960643,0.9801886667198096,0.6605067890205176,0.8632315900969698,0.5851523221070829
4,Reaction_CN,Reaction_CO_1.5h,Reaction_CO_ortho,0.9355117538444814,0.009371349634750725,0.968124804428108,0.4154711636345333,0.8041067924735318,0.2834221122455134
5,Reaction_CN,Reaction_P,Reaction_SCF3,0.9499993690593248,0.30995367069932644,0.9794283438278639,0.6828486475421544,0.8581975545271315,0.611819914212553
6,Reaction_CN,Reaction_P,Reaction_CS,0.9440856566194247,0.5843238175446465,0.9765371035700477,0.7805319925081844,0.8599184332065928,0.6361042178255552
7,Reaction_CN,Reaction_CS,Reaction_CO_1.5h,0.9313472379992327,0.33245803397276874,0.9719011729316553,0.6096913055792729,0.8389438066540943,0.5102235670595714
8,Reaction_CN,Reaction_CO_Cl,Reaction_SCF3,0.9484486917302524,0.2952399937046367,0.9810461910909738,0.588282865731308,0.876544616500499,0.4884068214261065
9,Reaction_CN,Reaction_CO_biphenyl,Reaction_CO_Cl,0.9385888426821446,-0.14420823738872413,0.9719794167565763,0.5030558731926055,0.8579566974564534,0.46186097955986954
10,Reaction_CN,Reaction_P,Reaction_CS,0.9647439328267012,0.2334803018740934,0.9855685940015595,0.571324371782916,0.8942814336491994,0.42967336569861003
11,Reaction_CN,Reaction_CS,Reaction_CO_biphenyl,0.9470544126129591,0.0820878054408084,0.9778635295749595,0.6609711085353136,0.8585015539868494,0.555445109598488
12,Reaction_CO_Cl,Reaction_CN,Reaction_CO_biphenyl,0.9384764082675856,-0.0944652658348275,0.9731066729834271,0.5610892734579557,0.8241276030612685,0.41421830610639676
13,Reaction_SCF3,Reaction_CN,Reaction_CS,0.9562740041526355,0.4162395240645037,0.984194912982099,0.7272161100696781,0.9111669558967332,0.6089183928864378
14,Reaction_P,Reaction_CN,Reaction_SCF3,0.9428600991095718,0.420313241684131,0.9759553492669325,0.6589951585797542,0.8804782083987911,0.5360562674188973
15,Reaction_CN,Reaction_P,Reaction_CO_1.5h,0.9238721132089025,0.45155876260499417,0.9644919706608659,0.6882022133447048,0.8495726633438999,0.6199975124678465
