random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[59, 58, 35, 29, 0, 6, 3, 8, 5, 1, 7, 34, 2, 36, 28, 30, 31, 4, 27, 26, 25, 20, 19, 21, 37, 53, 18, 41, 10, 12, 33, 43, 22, 11, 38, 13, 9, 14, 48, 51, 46, 56, 16, 39, 23, 49, 50, 45, 32, 52, 24, 17, 57, 55, 44, 42, 15, 40, 47]","[1, 1, 62, 47, 74, 74, 55, 29, 22, 47, 17, 3, 37, 1, 43, 58, 24, 0, 51, 47, 2, 39, 34, 11, 76, 7, 6, 1, 78, 75, 0, 0, 24, 74, 49, 58, 71, 6, 10, 1, 2, 0, 2, 1, 12, 79, 0, 0, 56, 0, 26, 1, 0, 0, 0, 0, 13, 1, 15]",[]
1,[8],"[10, 11, 13, 15, 0, 1, 49, 50, 12, 48, 2, 44, 57, 25, 4, 20, 19, 21, 30, 31, 29, 28, 27, 39, 35, 34, 36, 54, 17, 41, 59, 23, 14, 46, 52, 6, 5, 26, 32, 33, 7, 9, 3, 18, 42, 38, 37, 55, 22, 16, 24, 53, 43, 45, 56, 58, 40, 47, 51]","[78, 74, 58, 13, 74, 47, 79, 0, 75, 10, 37, 0, 0, 2, 0, 39, 34, 11, 58, 24, 47, 43, 51, 1, 62, 3, 1, 0, 1, 1, 1, 12, 6, 2, 0, 74, 22, 47, 56, 0, 17, 71, 55, 6, 0, 49, 76, 0, 24, 2, 26, 7, 0, 0, 0, 1, 1, 15, 1]",[]
2,[55],"[25, 4, 24, 23, 22, 21, 20, 16, 56, 57, 19, 18, 35, 34, 36, 7, 8, 47, 27, 11, 2, 58, 29, 39, 15, 48, 26, 44, 46, 49, 30, 50, 28, 10, 9, 12, 13, 31, 1, 0, 53, 41, 14, 6, 5, 32, 33, 52, 59, 3, 42, 38, 37, 54, 17, 43, 45, 40, 51]","[2, 0, 26, 12, 24, 11, 39, 2, 0, 0, 34, 6, 62, 3, 1, 17, 29, 15, 51, 74, 37, 1, 47, 1, 13, 10, 47, 0, 2, 79, 58, 0, 43, 78, 71, 75, 58, 24, 47, 74, 7, 1, 6, 74, 22, 56, 0, 0, 1, 55, 0, 49, 76, 0, 1, 0, 0, 1, 1]",[]
3,[15],"[21, 20, 19, 34, 3, 2, 4, 1, 0, 46, 29, 28, 30, 31, 27, 26, 25, 56, 40, 10, 9, 11, 12, 13, 8, 51, 59, 37, 36, 38, 43, 48, 53, 17, 23, 6, 7, 5, 49, 50, 32, 33, 54, 45, 58, 41, 39, 14, 18, 52, 22, 57, 44, 42, 55, 16, 24, 35, 47]","[11, 39, 34, 3, 55, 37, 0, 47, 74, 2, 47, 43, 58, 24, 51, 47, 2, 0, 1, 78, 71, 74, 75, 58, 29, 1, 1, 76, 1, 49, 0, 10, 7, 1, 12, 74, 17, 22, 79, 0, 56, 0, 0, 0, 1, 1, 1, 6, 6, 0, 24, 0, 0, 0, 0, 2, 26, 62, 15]",[]
4,[15],"[42, 43, 59, 0, 2, 29, 26, 33, 22, 51, 8, 38, 36, 11, 10, 47, 55, 19, 5, 24, 39, 1, 12, 13, 27, 30, 31, 9, 45, 49, 48, 50, 28, 17, 53, 57, 3, 4, 20, 6, 7, 25, 21, 23, 37, 41, 34, 14, 18, 46, 52, 32, 54, 44, 56, 58, 40, 16, 35]","[0, 0, 1, 74, 37, 47, 47, 0, 24, 1, 29, 49, 1, 74, 78, 15, 0, 34, 22, 26, 1, 47, 75, 58, 51, 58, 24, 71, 0, 79, 10, 0, 43, 1, 7, 0, 55, 0, 39, 74, 17, 2, 11, 12, 76, 1, 3, 6, 6, 2, 0, 56, 0, 0, 0, 1, 1, 2, 62]",[]
5,[39],"[5, 6, 7, 27, 28, 26, 25, 29, 30, 31, 55, 13, 14, 12, 11, 10, 9, 48, 0, 1, 19, 44, 59, 35, 34, 36, 2, 51, 22, 17, 42, 46, 53, 57, 3, 20, 8, 23, 21, 4, 32, 33, 49, 50, 15, 41, 38, 37, 18, 16, 52, 54, 24, 43, 45, 56, 58, 40, 47]","[22, 74, 17, 51, 43, 47, 2, 47, 58, 24, 0, 58, 6, 75, 74, 78, 71, 10, 74, 47, 34, 0, 1, 62, 3, 1, 37, 1, 24, 1, 0, 2, 7, 0, 55, 39, 29, 12, 11, 0, 56, 0, 79, 0, 13, 1, 49, 76, 6, 2, 0, 0, 26, 0, 0, 0, 1, 1, 15]",[]
6,[50],"[6, 7, 5, 32, 31, 33, 15, 52, 30, 29, 28, 27, 26, 25, 54, 37, 36, 38, 39, 13, 12, 11, 10, 9, 14, 59, 0, 1, 2, 45, 20, 18, 21, 42, 57, 48, 23, 3, 8, 4, 16, 19, 47, 55, 44, 41, 46, 35, 34, 22, 49, 24, 17, 43, 53, 56, 58, 40, 51]","[74, 17, 22, 56, 24, 0, 13, 0, 58, 47, 43, 51, 47, 2, 0, 76, 1, 49, 1, 58, 75, 74, 78, 71, 6, 1, 74, 47, 37, 0, 39, 6, 11, 0, 0, 10, 12, 55, 29, 0, 2, 34, 15, 0, 0, 1, 2, 62, 3, 24, 79, 26, 1, 0, 7, 0, 1, 1, 1]",[]
7,[20],"[7, 6, 5, 4, 12, 13, 11, 10, 9, 46, 15, 37, 36, 38, 54, 29, 28, 30, 31, 27, 26, 24, 59, 0, 1, 42, 50, 17, 33, 57, 40, 44, 48, 52, 22, 2, 25, 23, 14, 8, 55, 34, 18, 3, 16, 39, 47, 41, 58, 51, 43, 21, 53, 32, 49, 56, 45, 35, 19]","[17, 74, 22, 0, 75, 58, 74, 78, 71, 2, 13, 76, 1, 49, 0, 47, 43, 58, 24, 51, 47, 26, 1, 74, 47, 0, 0, 1, 0, 0, 1, 0, 10, 0, 24, 37, 2, 12, 6, 29, 0, 3, 6, 55, 2, 1, 15, 1, 1, 1, 0, 11, 7, 56, 79, 0, 0, 62, 34]",[]
8,[14],"[1, 0, 38, 40, 37, 36, 31, 15, 2, 3, 4, 9, 10, 11, 12, 8, 21, 49, 48, 50, 25, 57, 44, 54, 18, 28, 29, 27, 33, 59, 6, 7, 5, 23, 46, 42, 30, 52, 13, 16, 26, 20, 19, 39, 55, 34, 22, 32, 24, 41, 53, 56, 58, 43, 45, 17, 35, 47, 51]","[47, 74, 49, 1, 76, 1, 24, 13, 37, 55, 0, 71, 78, 74, 75, 29, 11, 79, 10, 0, 2, 0, 0, 0, 6, 43, 47, 51, 0, 1, 74, 17, 22, 12, 2, 0, 58, 0, 58, 2, 47, 39, 34, 1, 0, 3, 24, 56, 26, 1, 7, 0, 1, 0, 0, 1, 62, 15, 1]",[]
9,[29],"[23, 22, 16, 20, 59, 0, 3, 45, 52, 38, 1, 4, 2, 37, 36, 19, 39, 10, 11, 9, 12, 13, 8, 56, 49, 48, 50, 14, 33, 42, 26, 25, 27, 6, 7, 5, 54, 31, 18, 21, 58, 44, 46, 41, 34, 32, 43, 57, 53, 17, 55, 28, 40, 15, 24, 35, 47, 51, 30]","[12, 24, 2, 39, 1, 74, 55, 0, 0, 49, 47, 0, 37, 76, 1, 34, 1, 78, 74, 71, 75, 58, 29, 0, 79, 10, 0, 6, 0, 0, 47, 2, 51, 74, 17, 22, 0, 24, 6, 11, 1, 0, 2, 1, 3, 56, 0, 0, 7, 1, 0, 43, 1, 13, 26, 62, 15, 1, 58]",[]
