random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[42, 41, 43, 45, 9, 8, 10, 12, 5, 3, 28, 0, 20, 34, 59, 16, 17, 15, 24, 49, 50, 48, 7, 11, 6, 37, 31, 22, 1, 2, 26, 57, 39, 30, 32, 52, 19, 14, 23, 13, 4, 36, 25, 21, 56, 46, 29, 38, 33, 27, 18, 35, 51, 44, 40, 58, 53, 47, 55]","[43, 12, 28, 1, 70, 57, 66, 34, 41, 35, 25, 41, 30, 9, 0, 60, 33, 42, 34, 54, 24, 0, 54, 58, 63, 14, 40, 32, 62, 40, 27, 0, 24, 29, 37, 22, 34, 40, 30, 33, 24, 18, 37, 35, 5, 0, 22, 21, 9, 30, 38, 18, 21, 34, 22, 0, 40, 3, 2]",[]
1,[8],"[41, 40, 37, 59, 39, 31, 28, 19, 22, 51, 0, 15, 16, 17, 2, 33, 4, 30, 24, 26, 46, 55, 12, 1, 49, 48, 50, 20, 13, 43, 53, 23, 35, 57, 52, 11, 10, 6, 5, 44, 14, 25, 21, 32, 29, 54, 18, 27, 3, 45, 36, 38, 42, 34, 56, 7, 58, 47, 9]","[12, 22, 14, 0, 24, 40, 25, 34, 32, 21, 41, 42, 60, 33, 40, 9, 24, 29, 34, 27, 0, 2, 34, 62, 54, 0, 24, 30, 33, 28, 40, 30, 18, 0, 22, 58, 66, 63, 41, 34, 40, 37, 35, 37, 22, 19, 38, 30, 35, 1, 18, 21, 43, 9, 5, 54, 0, 3, 70]",[]
2,[55],"[56, 46, 14, 16, 18, 0, 3, 7, 9, 10, 32, 26, 37, 41, 22, 29, 50, 59, 34, 24, 5, 43, 52, 12, 20, 39, 1, 8, 48, 31, 15, 17, 2, 6, 11, 19, 27, 44, 53, 23, 36, 57, 13, 30, 21, 4, 25, 40, 28, 45, 51, 33, 35, 54, 38, 49, 42, 58, 47]","[5, 0, 40, 60, 38, 41, 35, 54, 70, 66, 37, 27, 14, 12, 32, 22, 24, 0, 9, 34, 41, 28, 22, 34, 30, 24, 62, 57, 0, 40, 42, 33, 40, 63, 58, 34, 30, 34, 40, 30, 18, 0, 33, 29, 35, 24, 37, 22, 25, 1, 21, 9, 18, 19, 21, 54, 43, 0, 3]",[]
3,[15],"[29, 28, 59, 46, 25, 37, 23, 0, 3, 52, 1, 9, 8, 10, 41, 33, 20, 55, 49, 50, 48, 2, 11, 12, 7, 6, 5, 18, 43, 31, 39, 35, 57, 26, 21, 17, 44, 53, 24, 30, 13, 22, 4, 54, 32, 38, 19, 45, 40, 27, 36, 58, 42, 34, 51, 56, 14, 47, 16]","[22, 25, 0, 0, 37, 14, 30, 41, 35, 22, 62, 70, 57, 66, 12, 9, 30, 2, 54, 24, 0, 40, 58, 34, 54, 63, 41, 38, 28, 40, 24, 18, 0, 27, 35, 33, 34, 40, 34, 29, 33, 32, 24, 19, 37, 21, 34, 1, 22, 30, 18, 0, 43, 9, 21, 5, 40, 3, 60]",[]
4,[15],"[13, 12, 10, 9, 7, 5, 0, 36, 50, 2, 26, 59, 43, 8, 21, 31, 54, 29, 33, 46, 40, 23, 19, 56, 52, 38, 48, 3, 25, 42, 18, 6, 28, 35, 1, 17, 11, 41, 24, 20, 30, 39, 57, 51, 45, 22, 4, 32, 53, 27, 37, 49, 44, 55, 34, 58, 14, 47, 16]","[33, 34, 66, 70, 54, 41, 41, 18, 24, 40, 27, 0, 28, 57, 35, 40, 19, 22, 9, 0, 22, 30, 34, 5, 22, 21, 0, 35, 37, 43, 38, 63, 25, 18, 62, 33, 58, 12, 34, 30, 29, 24, 0, 21, 1, 32, 24, 37, 40, 30, 14, 54, 34, 2, 9, 0, 40, 3, 60]",[]
5,[39],"[28, 29, 15, 0, 12, 18, 59, 3, 50, 16, 17, 19, 1, 2, 5, 6, 7, 9, 8, 10, 45, 34, 24, 54, 22, 42, 26, 48, 31, 56, 52, 36, 43, 11, 32, 41, 21, 37, 25, 13, 57, 46, 51, 30, 4, 23, 53, 14, 20, 33, 27, 35, 49, 44, 55, 58, 38, 47, 40]","[25, 22, 42, 41, 34, 38, 0, 35, 24, 60, 33, 34, 62, 40, 41, 63, 54, 70, 57, 66, 1, 9, 34, 19, 32, 43, 27, 0, 40, 5, 22, 18, 28, 58, 37, 12, 35, 14, 37, 33, 0, 0, 21, 29, 24, 30, 40, 40, 30, 9, 30, 18, 54, 34, 2, 0, 21, 3, 22]",[]
6,[50],"[16, 17, 15, 5, 7, 8, 9, 10, 34, 59, 26, 42, 40, 44, 1, 0, 2, 11, 22, 55, 30, 37, 47, 20, 12, 24, 28, 32, 53, 6, 57, 52, 45, 43, 19, 41, 39, 4, 14, 31, 23, 36, 25, 13, 21, 48, 54, 29, 33, 18, 27, 3, 35, 38, 58, 56, 51, 46, 49]","[60, 33, 42, 41, 54, 57, 70, 66, 9, 0, 27, 43, 22, 34, 62, 41, 40, 58, 32, 2, 29, 14, 3, 30, 34, 34, 25, 37, 40, 63, 0, 22, 1, 28, 34, 12, 24, 24, 40, 40, 30, 18, 37, 33, 35, 0, 19, 22, 9, 38, 30, 35, 18, 21, 0, 5, 21, 0, 54]",[]
7,[20],"[8, 9, 12, 42, 46, 39, 10, 59, 30, 0, 53, 34, 26, 3, 50, 55, 15, 24, 5, 17, 37, 28, 44, 32, 52, 1, 14, 6, 2, 7, 41, 43, 11, 48, 22, 57, 23, 18, 31, 36, 25, 16, 13, 4, 54, 29, 45, 38, 27, 33, 51, 35, 49, 19, 40, 56, 58, 47, 21]","[57, 70, 34, 43, 0, 24, 66, 0, 29, 41, 40, 9, 27, 35, 24, 2, 42, 34, 41, 33, 14, 25, 34, 37, 22, 62, 40, 63, 40, 54, 12, 28, 58, 0, 32, 0, 30, 38, 40, 18, 37, 60, 33, 24, 19, 22, 1, 21, 30, 9, 21, 18, 54, 34, 22, 5, 0, 3, 35]",[]
8,[14],"[40, 39, 33, 59, 0, 3, 51, 24, 27, 1, 2, 5, 7, 8, 9, 10, 20, 45, 55, 30, 36, 48, 22, 18, 42, 11, 53, 17, 43, 57, 25, 29, 12, 6, 31, 37, 50, 35, 21, 16, 26, 19, 52, 46, 41, 4, 54, 32, 23, 28, 15, 49, 38, 44, 34, 58, 56, 47, 13]","[22, 24, 9, 0, 41, 35, 21, 34, 30, 62, 40, 41, 54, 57, 70, 66, 30, 1, 2, 29, 18, 0, 32, 38, 43, 58, 40, 33, 28, 0, 37, 22, 34, 63, 40, 14, 24, 18, 35, 60, 27, 34, 22, 0, 12, 24, 19, 37, 30, 25, 42, 54, 21, 34, 9, 0, 5, 3, 33]",[]
9,[29],"[36, 37, 2, 0, 8, 11, 59, 17, 10, 48, 21, 53, 43, 9, 14, 24, 55, 51, 33, 40, 4, 19, 45, 26, 13, 6, 15, 22, 57, 42, 31, 7, 1, 5, 39, 50, 27, 35, 18, 32, 46, 23, 54, 12, 41, 16, 52, 25, 20, 3, 49, 38, 44, 34, 30, 56, 58, 28, 47]","[18, 14, 40, 41, 57, 58, 0, 33, 66, 0, 35, 40, 28, 70, 40, 34, 2, 21, 9, 22, 24, 34, 1, 27, 33, 63, 42, 32, 0, 43, 40, 54, 62, 41, 24, 24, 30, 18, 38, 37, 0, 30, 19, 34, 12, 60, 22, 37, 30, 35, 54, 21, 34, 9, 29, 5, 0, 25, 3]",[]
