random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 56, 49, 39, 40, 41, 57, 48, 46, 47, 51, 52, 58, 53, 50, 45, 42, 43, 44, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 3.0, 2.0, 73.0, 81.0, 75.0, 5.0, 46.0, 2.0, 3.0, 77.0, 6.0, 3.0, 31.0, 14.0, 3.0, 27.0, 7.0, 42.0, 2.0, 2.0]","[34.0, 17.5, 12.333333333333334, 9.75, 8.2, 7.0, 6.285714285714286, 6.875, 7.555555555555555, 8.1, 7.818181818181818, 7.25, 6.923076923076923, 6.5, 6.2, 6.4375, 6.176470588235294, 6.277777777777778, 6.052631578947368, 6.05, 7.380952380952381, 7.909090909090909, 8.173913043478262, 8.083333333333334, 7.8, 8.076923076923077, 7.814814814814815, 10.392857142857142, 12.551724137931034, 14.833333333333334, 16.387096774193548, 17.34375, 16.848484848484848, 16.38235294117647, 15.942857142857143, 15.555555555555555, 15.783783783783784, 15.394736842105264, 16.435897435897434, 48.47722335853148, 43.7297411458888, 36.90382210562092, 36.668832176035544, 50.94320061745563, 43.33565825041121, 41.39732239255592, 43.71337532800323, 37.95322205058508, 36.29848135288846, 33.908025263566685, 25.120756596289915, 12.173002660045059, 5.1984308419698655, 7.265612967023808, 4.353471032855793, 13.218968929963712, 11.006489666738254, -1.3649282759188792, -8.273948833129525]"
1,[8],"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 73.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[13.0, 7.0, 5.333333333333333, 4.5, 4.0, 3.5, 3.2857142857142856, 4.25, 5.222222222222222, 5.2, 4.818181818181818, 4.666666666666667, 4.384615384615385, 4.214285714285714, 4.6, 4.4375, 4.647058823529412, 4.5, 4.578947368421052, 6.05, 6.666666666666667, 7.0, 6.956521739130435, 6.708333333333333, 7.04, 6.8076923076923075, 9.518518518518519, 11.785714285714286, 14.172413793103448, 15.8, 16.806451612903224, 16.3125, 15.848484848484848, 15.411764705882353, 15.028571428571428, 15.277777777777779, 14.891891891891891, 15.973684210526315, 16.743589743589745, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
2,[55],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 56, 49, 52, 39, 40, 41, 42, 43, 54, 57, 46, 48, 51, 47, 58, 53, 45, 44, 50, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 3.0, 2.0, 6.0, 73.0, 81.0, 75.0, 27.0, 7.0, 34.0, 5.0, 2.0, 46.0, 77.0, 3.0, 3.0, 31.0, 3.0, 42.0, 14.0, 2.0]","[2.0, 1.5, 1.6666666666666667, 1.75, 1.8, 1.6666666666666667, 1.7142857142857142, 2.875, 4.0, 4.9, 4.909090909090909, 4.583333333333333, 4.461538461538462, 4.214285714285714, 4.066666666666666, 4.4375, 4.294117647058823, 4.5, 4.368421052631579, 4.45, 5.857142857142857, 6.454545454545454, 6.782608695652174, 6.75, 6.52, 6.846153846153846, 6.62962962962963, 9.25, 11.448275862068966, 13.766666666666667, 15.35483870967742, 16.34375, 15.878787878787879, 15.441176470588236, 15.028571428571428, 14.666666666666666, 14.91891891891892, 14.552631578947368, 15.615384615384615, 45.11335520948283, 38.37000719666907, 35.0526711826264, 32.29942836731562, 31.422070488262943, 47.08169883173677, 44.16089362976317, 44.98784101507764, 34.48267373024944, 39.47725444690396, 35.73926420153878, 31.862327594411855, 32.40996480349938, 28.628039755958095, 26.751114758723517, 16.72596834991341, 16.098435934446336, 10.803400883400755, 7.926424118680218, -8.273948833129525]"
3,[15],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 73.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[2.0, 1.5, 1.6666666666666667, 1.75, 1.8, 1.6666666666666667, 1.7142857142857142, 2.875, 4.0, 4.9, 4.909090909090909, 4.583333333333333, 4.461538461538462, 4.214285714285714, 4.066666666666666, 4.4375, 4.647058823529412, 4.5, 4.578947368421052, 6.05, 6.666666666666667, 7.0, 6.956521739130435, 6.708333333333333, 7.04, 6.8076923076923075, 9.518518518518519, 11.785714285714286, 14.172413793103448, 15.8, 16.806451612903224, 16.3125, 15.848484848484848, 15.411764705882353, 15.028571428571428, 15.277777777777779, 14.891891891891891, 15.973684210526315, 16.743589743589745, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
4,[15],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 73.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[2.0, 1.5, 1.6666666666666667, 1.75, 1.8, 1.6666666666666667, 1.7142857142857142, 2.875, 4.0, 4.9, 4.909090909090909, 4.583333333333333, 4.461538461538462, 4.214285714285714, 4.066666666666666, 4.4375, 4.647058823529412, 4.5, 4.578947368421052, 6.05, 6.666666666666667, 7.0, 6.956521739130435, 6.708333333333333, 7.04, 6.8076923076923075, 9.518518518518519, 11.785714285714286, 14.172413793103448, 15.8, 16.806451612903224, 16.3125, 15.848484848484848, 15.411764705882353, 15.028571428571428, 15.277777777777779, 14.891891891891891, 15.973684210526315, 16.743589743589745, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
5,[39],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[73.0, 37.0, 25.333333333333332, 19.5, 16.0, 13.5, 11.857142857142858, 11.75, 11.88888888888889, 12.0, 11.363636363636363, 10.5, 9.923076923076923, 9.285714285714286, 8.8, 8.875, 8.470588235294118, 8.444444444444445, 8.105263157894736, 8.0, 9.238095238095237, 9.681818181818182, 9.869565217391305, 9.708333333333334, 9.36, 9.576923076923077, 9.25925925925926, 11.785714285714286, 13.89655172413793, 16.133333333333333, 17.64516129032258, 18.5625, 18.03030303030303, 17.529411764705884, 17.057142857142857, 16.63888888888889, 16.83783783783784, 16.42105263157895, 17.435897435897434, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
6,[50],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 56, 46, 49, 39, 53, 40, 57, 41, 48, 47, 51, 52, 54, 58, 45, 42, 43, 44, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 3.0, 2.0, 2.0, 73.0, 31.0, 81.0, 5.0, 75.0, 46.0, 3.0, 77.0, 6.0, 34.0, 3.0, 3.0, 27.0, 7.0, 42.0, 2.0, 2.0]","[14.0, 7.5, 5.666666666666667, 4.75, 4.2, 3.6666666666666665, 3.4285714285714284, 4.375, 5.333333333333333, 6.1, 6.0, 5.583333333333333, 5.384615384615385, 5.071428571428571, 4.866666666666666, 5.1875, 5.0, 5.166666666666667, 5.0, 5.05, 6.428571428571429, 7.0, 7.304347826086956, 7.25, 7.0, 7.3076923076923075, 7.074074074074074, 9.678571428571429, 11.862068965517242, 14.166666666666666, 15.741935483870968, 16.71875, 16.242424242424242, 15.794117647058824, 15.371428571428572, 15.0, 15.243243243243244, 14.868421052631579, 15.923076923076923, 47.494974550544285, 36.94131914795905, 34.47896694046701, 35.37523109099384, 36.58528513543017, 34.08312323439164, 41.467130881564934, 38.47386510629041, 35.7568172878408, 37.720649279567155, 38.002630096939754, 30.938535433248155, 25.720144800531983, 25.70502157883941, 7.265612967023808, 4.353471032855793, 13.218968929963712, 11.006489666738254, -1.3649282759188792, -8.273948833129525]"
7,[20],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 73.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[19.0, 10.0, 7.333333333333333, 6.0, 5.2, 4.5, 4.142857142857143, 5.0, 5.888888888888889, 6.6, 6.454545454545454, 6.0, 5.769230769230769, 5.428571428571429, 5.2, 5.5, 5.294117647058823, 5.444444444444445, 5.2631578947368425, 5.3, 6.666666666666667, 7.0, 6.956521739130435, 6.708333333333333, 7.04, 6.8076923076923075, 9.518518518518519, 11.785714285714286, 14.172413793103448, 15.8, 16.806451612903224, 16.3125, 15.848484848484848, 15.411764705882353, 15.028571428571428, 15.277777777777779, 14.891891891891891, 15.973684210526315, 16.743589743589745, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
8,[14],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 63.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 73.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[10.0, 5.5, 4.333333333333333, 3.75, 3.4, 3.0, 2.857142857142857, 3.875, 4.888888888888889, 5.7, 5.636363636363637, 5.25, 5.076923076923077, 4.785714285714286, 4.6, 4.4375, 4.647058823529412, 4.5, 4.578947368421052, 6.05, 6.666666666666667, 7.0, 6.956521739130435, 6.708333333333333, 7.04, 6.8076923076923075, 9.518518518518519, 11.785714285714286, 14.172413793103448, 15.8, 16.806451612903224, 16.3125, 15.848484848484848, 15.411764705882353, 15.028571428571428, 15.277777777777779, 14.891891891891891, 15.973684210526315, 16.743589743589745, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
9,[29],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 56, 40, 41, 42, 57, 47, 46, 51, 54, 52, 58, 48, 43, 53, 45, 44, 50, 49, 55, 59]","[1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 11.0, 13.0, 13.0, 5.0, 1.0, 3.0, 1.0, 2.0, 10.0, 2.0, 8.0, 2.0, 6.0, 34.0, 19.0, 14.0, 6.0, 1.0, 15.0, 1.0, 80.0, 73.0, 81.0, 47.0, 1.0, 1.0, 1.0, 2.0, 24.0, 1.0, 56.0, 46.0, 73.0, 3.0, 81.0, 75.0, 27.0, 5.0, 3.0, 2.0, 77.0, 34.0, 6.0, 3.0, 46.0, 7.0, 31.0, 3.0, 42.0, 14.0, 2.0, 2.0, 2.0]","[63.0, 32.0, 22.0, 17.0, 14.0, 11.833333333333334, 10.428571428571429, 10.5, 10.777777777777779, 11.0, 10.454545454545455, 9.666666666666666, 9.153846153846153, 8.571428571428571, 8.133333333333333, 8.25, 7.882352941176471, 7.888888888888889, 7.578947368421052, 7.5, 8.761904761904763, 9.227272727272727, 9.434782608695652, 9.291666666666666, 8.96, 9.192307692307692, 8.88888888888889, 11.428571428571429, 13.551724137931034, 15.8, 16.806451612903224, 16.3125, 15.848484848484848, 15.411764705882353, 15.028571428571428, 15.277777777777779, 14.891891891891891, 15.973684210526315, 16.743589743589745, 51.1011551467748, 33.41945540652382, 49.24645937566319, 42.55297418061197, 43.31271044904614, 36.830383830859965, 35.43357486931546, 32.75183317942544, 29.048546904789333, 31.53988910122603, 26.0942601683586, 24.708165736629304, 16.09444123012207, 15.153314310398379, 12.816493780468042, 10.934195898281558, 7.854777487852207, 2.372421136599584, -1.3649282759188792, -8.273948833129525]"
