random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
1,[8],"[0, 45, 18, 5, 52, 37, 38, 56, 58, 29, 33, 47, 50, 36, 23, 28, 3, 25, 49, 1, 53, 34, 39, 41, 40, 7, 42, 20, 11, 35, 26, 19, 44, 43, 21, 32, 22, 15, 31, 2, 6, 54, 51, 24, 12, 14, 17, 55, 57, 13, 48, 30, 27, 59, 16, 10, 9, 4, 46]","[1.0, 2.0, 0.0, 0.0, 30.0, 52.0, 57.0, 11.0, 0.0, 0.0, 27.0, 25.0, 0.0, 57.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 28.0, 38.0, 56.0, 48.0, 59.0, 11.0, 0.0, 0.0, 2.0, 42.0, 4.0, 2.0, 9.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.0, 14.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.0, 10.0, 1.0, 0.0, 0.0, 6.0, 2.0, 0.0, 0.0]","[14.0, 18.4338899010684, 27.461671454554313, 18.387295253352512, 59.70800150988073, 45.442056440184295, 41.163639378055, 81.9296242800957, 149.76077952349632, 133.59850884935852, 88.35251267537322, 46677.665803033335, 10050.735760514382, 1250.6277674817588, 66.60061320502373, 4996.266985416296, 273.9377577227642, 191.09117194853025, 51.392480790556874, 45.433537161779896, 50.632162946117205, 21.22769922083171, 20.49379114446492, 28.16050043658106, 30.77191202064023, 26.308676859687694, 22.613519391563386, 13.620828138676643, 11.943519371709044, 12.319144547287578, 10.987056327070604, 7.638781454348646, 7.020772213330929, 6.460983845325245, 5.36953702925166, 2.8556872247536376, 2.6018912485706096, 1.4156207300802635, 1.3977930118307995, 0.2691221400491486, -0.20823004864359973, -0.6899903772318794, -0.6541550707879651, -1.843427570489439, -2.4969147973970394, -2.88773630938158, -5.045140617923607, -5.407753889001469, -7.118664196204918, -7.1318206969081075, -11.944968168631021, 41.81663497036425, 12.321248709580686, -12.123699963354738, -15.216109001688892, -18.613859638131544, -14.170668151025893, -128.94189729641948, -209867.4029094281]"
2,[55],"[0, 36, 56, 25, 53, 52, 45, 5, 14, 30, 38, 33, 50, 37, 15, 46, 28, 29, 23, 49, 41, 48, 39, 40, 8, 47, 44, 1, 42, 34, 7, 43, 54, 27, 11, 35, 2, 4, 20, 26, 32, 31, 19, 24, 51, 6, 21, 22, 18, 17, 13, 12, 57, 16, 3, 10, 9, 58, 59]","[1.0, 57.0, 11.0, 0.0, 28.0, 30.0, 2.0, 0.0, 0.0, 10.0, 57.0, 27.0, 0.0, 52.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 48.0, 26.0, 56.0, 59.0, 14.0, 25.0, 9.0, 0.0, 0.0, 38.0, 11.0, 4.0, 14.0, 1.0, 2.0, 42.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 2.0, 0.0, 1.0, 28.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 2.0, 0.0, 0.0]","[0.0, 1.4663229637590143, 83.40422666265626, 67.89629262624729, 89.93973919908501, 124.75728675279474, 102.63846278705333, 63.39933855373157, 93.38598270671896, 122.63185728073347, 69.4206874897046, 46.7744803626027, 280.17479675651145, 51.85397244356929, 51.0153271582667, 773820.6441489685, 8658.122137764147, 13170.108910019859, 137.17940024017565, 64.66794390344438, 22.15550629861294, 833.3972339744222, 28.16385347405602, 32.40202440317201, 35.575030382937044, 29.824618490724088, 27.42672254574521, 19.700662931579636, 22.836467763454078, 17.797081117356342, 14.302908826453088, 13.906443678724827, 7.237699074246073, 5.671215126381572, 2.2485498955314753, -1.5276121718523257, -0.7982806060452958, -1.251694581238354, -1.515926981052143, -3.200384701250039, -3.428375296209934, -3.0994837210192667, -3.3975687262906504, -5.518664412064828, -4.552330867232772, -5.762681450203683, -4.9077284679050575, -5.494531093182255, -6.811739610896085, -8.835726599862683, -10.312056655550332, -9.4268132197023, -10.154551686400461, -13.652191211761656, -16.238415013348735, -18.536616974965487, -11.802302323983149, -41.88325030906406, -16.805341526737067]"
3,[15],"[0, 25, 12, 28, 56, 57, 52, 50, 9, 53, 47, 29, 48, 37, 23, 46, 30, 45, 16, 1, 27, 49, 13, 41, 40, 33, 39, 38, 42, 36, 34, 8, 44, 43, 7, 35, 26, 14, 4, 20, 2, 6, 5, 54, 19, 11, 24, 32, 51, 21, 22, 31, 18, 17, 10, 3, 55, 58, 59]","[1.0, 0.0, 0.0, 4.0, 11.0, 0.0, 30.0, 0.0, 2.0, 28.0, 25.0, 0.0, 26.0, 52.0, 0.0, 0.0, 10.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 48.0, 59.0, 27.0, 56.0, 57.0, 0.0, 57.0, 38.0, 14.0, 9.0, 4.0, 11.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 28.0, 0.0, 14.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.3235753789355127, 2.428327731698875, 17.83473823804392, 15.634146700152169, 17.13331452073524, 12.32428663108056, 19.316627636347963, 14.60524440893526, 24.679625771175747, 29.312852883685608, 26.800113810442387, 22.863310190951687, 25.939954581937513, 72.6752563542338, 31488.62592689199, 167.9539422562971, 105.10774978392874, 116.87920278645728, 28.83601140684259, 24.76198406701726, 15.89680252899118, 13.696517967346233, 13.51979160822763, 23.933862331500805, 31.516127632419618, 28.720923744727113, 29.044772846091618, 29.589595983161605, 18.262934280910635, 37.864672743446164, 30.105895637645062, 24.396401247603205, 18.36030991537101, 17.397205201901365, 13.341553518701895, 13.665052872527049, 12.216991452775353, 10.371118632450443, 8.424492537062525, 5.6472448233325885, 1.7183840650222315, 9.699735676345352, 4.334455951540365, 1.1671419594369095, 0.3665343008934716, -0.4174652215682624, -0.8165833755471876, -2.149374320654813, -3.5456112477495125, -3.953396414670909, -4.27093031968043, -7.043316245789152, -13.617191127234813, -13.260861311728164, -14.951757247754244, -16.007511039333444, -41.88325030909103, -16.80534152679047]"
4,[15],"[0, 25, 12, 28, 56, 57, 52, 50, 9, 53, 47, 29, 48, 37, 23, 46, 30, 45, 16, 1, 27, 49, 13, 41, 40, 33, 39, 38, 42, 36, 34, 8, 44, 43, 7, 35, 26, 14, 4, 20, 2, 6, 5, 54, 19, 11, 24, 32, 51, 21, 22, 31, 18, 17, 10, 3, 55, 58, 59]","[1.0, 0.0, 0.0, 4.0, 11.0, 0.0, 30.0, 0.0, 2.0, 28.0, 25.0, 0.0, 26.0, 52.0, 0.0, 0.0, 10.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 48.0, 59.0, 27.0, 56.0, 57.0, 0.0, 57.0, 38.0, 14.0, 9.0, 4.0, 11.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 28.0, 0.0, 14.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.3235753789355127, 2.428327731698875, 17.83473823804392, 15.634146700152169, 17.13331452073524, 12.32428663108056, 19.316627636347963, 14.60524440893526, 24.679625771175747, 29.312852883685608, 26.800113810442387, 22.863310190951687, 25.939954581937513, 72.6752563542338, 31488.62592689199, 167.9539422562971, 105.10774978392874, 116.87920278645728, 28.83601140684259, 24.76198406701726, 15.89680252899118, 13.696517967346233, 13.51979160822763, 23.933862331500805, 31.516127632419618, 28.720923744727113, 29.044772846091618, 29.589595983161605, 18.262934280910635, 37.864672743446164, 30.105895637645062, 24.396401247603205, 18.36030991537101, 17.397205201901365, 13.341553518701895, 13.665052872527049, 12.216991452775353, 10.371118632450443, 8.424492537062525, 5.6472448233325885, 1.7183840650222315, 9.699735676345352, 4.334455951540365, 1.1671419594369095, 0.3665343008934716, -0.4174652215682624, -0.8165833755471876, -2.149374320654813, -3.5456112477495125, -3.953396414670909, -4.27093031968043, -7.043316245789152, -13.617191127234813, -13.260861311728164, -14.951757247754244, -16.007511039333444, -41.88325030909103, -16.80534152679047]"
5,[39],"[0, 56, 57, 48, 33, 37, 52, 45, 29, 53, 58, 30, 46, 47, 27, 9, 14, 38, 55, 41, 40, 8, 23, 44, 15, 43, 11, 42, 7, 1, 49, 26, 36, 6, 34, 54, 31, 51, 20, 2, 35, 28, 5, 19, 4, 32, 21, 10, 12, 22, 24, 25, 13, 17, 18, 16, 3, 59, 50]","[1.0, 11.0, 0.0, 26.0, 27.0, 52.0, 30.0, 2.0, 0.0, 28.0, 0.0, 10.0, 0.0, 25.0, 1.0, 2.0, 0.0, 57.0, 0.0, 48.0, 59.0, 14.0, 0.0, 9.0, 0.0, 4.0, 2.0, 0.0, 11.0, 0.0, 1.0, 4.0, 57.0, 28.0, 38.0, 14.0, 0.0, 1.0, 0.0, 0.0, 42.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[56.0, 79.80707823188806, 108.04770988713283, 89.94650699073102, 81.85959496215858, 117.14885646247585, 147.4855473020873, 120.43285500994334, 218.58451574514436, 183.93833908310717, 299.08450379602107, 936.2594395660866, 164.6066581856364, 124.57395123695842, 151.22681060811027, 5708.227336233835, 145.89979238225982, 70.55831984238706, 44.82690498802205, 37.13585874262972, 38.075863046326475, 36.4675203842701, 34.71302840207571, 28.164898417860357, 24.276791931621403, 17.043751503954667, 14.96808963792617, 15.72311290091524, 8.640786207882229, 7.698426386534564, 9.481385409945077, 3.7118329975619417, -0.9642447888204089, 1.2606754021006026, 5.878950124574004, 3.4696874262275514, 3.3715157875392947, 2.714081597255955, 0.43465252606668514, -0.06897959199527293, -3.067820160687276, 23.404337026011028, 5.872883130529644, 2.4689165490529774, 0.3225456005322229, 0.0923819741842351, -0.6443172524647025, -2.2606610012360306, -2.2094782845525813, -2.144578542509265, -2.7858130787486886, -6.624075871308307, -6.722487031671449, -8.264931398550388, -7.279664661676662, -10.223292745028175, -14.034829758777157, -18.17772350539513, -3612.5372957234545]"
6,[50],"[0, 59, 56, 17, 52, 9, 36, 25, 29, 28, 26, 18, 34, 53, 30, 48, 46, 31, 47, 49, 14, 12, 6, 5, 35, 33, 8, 38, 42, 7, 11, 41, 40, 39, 51, 37, 23, 1, 44, 27, 43, 4, 20, 45, 2, 32, 19, 21, 54, 22, 24, 15, 57, 55, 13, 16, 10, 3, 58]","[1.0, 0.0, 11.0, 0.0, 30.0, 2.0, 57.0, 0.0, 0.0, 4.0, 4.0, 0.0, 38.0, 28.0, 10.0, 26.0, 0.0, 0.0, 25.0, 1.0, 0.0, 0.0, 28.0, 0.0, 42.0, 27.0, 14.0, 57.0, 0.0, 11.0, 2.0, 48.0, 59.0, 56.0, 1.0, 52.0, 0.0, 0.0, 9.0, 1.0, 4.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0]","[0.0, 1.0591180529416766, 1.5971631378852709, 7.606959610834975, 7.3949499652242645, 16.894176625090186, 21.251569869538674, 59.04039632058799, 145.79265819634747, 130.92562597279021, 75.33236417038034, 107.61688742245146, 122.70156888179054, 55.24214266767106, 5023.03284877498, 358.64786994130736, 18989.542868647084, 37.91894853255649, 29.701580190912576, 20.256838660851646, 24.85878258073587, 11.24657646628409, 12.404752559791593, 21.823185640771648, 10.92221959472372, 21.76783512069862, 20.08244202320377, 13.711034294375038, 16.02393897294747, 13.806825292243957, 12.597376337188889, 9.999631148089975, 19.331785515357407, 27.68984904469102, 21.33993671913968, 18.21928904751955, 21.514929861799978, 19.313359452981285, 14.147051838803328, 13.762294275353451, 12.152457966304798, 9.744524252569006, 7.696323880192738, 6.816391005532502, 6.062721756694929, 5.630763647774934, 5.552326628229251, 2.9154903503036476, 2.032894451981589, 0.1712200988755015, -0.9939604835016702, -1.0342964957277, -3.1539743430509706, -4.332716613266408, -4.728445138075031, -8.366131216660246, -9.595039591337573, -8.796938084604099, -15.46134933204336]"
7,[20],"[0, 59, 48, 47, 46, 52, 50, 9, 36, 25, 29, 28, 53, 3, 56, 30, 34, 14, 5, 49, 18, 31, 35, 8, 12, 33, 7, 38, 6, 41, 42, 39, 40, 37, 1, 26, 44, 27, 11, 43, 4, 23, 45, 51, 2, 32, 19, 21, 22, 54, 15, 24, 16, 57, 17, 13, 55, 10, 58]","[1.0, 0.0, 26.0, 25.0, 0.0, 30.0, 0.0, 2.0, 57.0, 0.0, 0.0, 4.0, 28.0, 0.0, 11.0, 10.0, 38.0, 0.0, 0.0, 1.0, 0.0, 0.0, 42.0, 14.0, 0.0, 27.0, 11.0, 57.0, 28.0, 48.0, 0.0, 56.0, 59.0, 52.0, 0.0, 4.0, 9.0, 1.0, 2.0, 4.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0]","[0.0, 1.5270147192869477, 1.6498601330626939, 25.04993725734056, 20.526643741464184, 4.798448311374034, 24.118760429374692, 19.653940710475688, 24.878709604688297, 66.46318633657887, 133.8521043074231, 108.1424826552909, 69.3893642132227, 90.35081752291454, 690.060654753041, 703.1058924346113, 52.90139518202651, 48.62899804362516, 63.236924552871066, 35.46695838044398, 24.39430429437791, 18.876450335131807, 12.470695223970957, 20.270353883282347, 11.507407306856349, 14.386150793282328, 13.792580503286226, 10.622124838176985, 15.727414659560681, 13.124931261343347, 26.06655890237456, 19.044473652653323, 26.714918533718116, 19.827167389041197, 22.57215842545759, 21.137817427092312, 16.085254488776958, 15.18497941053008, 14.743428833374285, 13.118059970742433, 11.734741184629485, 11.94990188870893, 8.642550136030888, 6.851252177977813, 6.5797784688847845, 6.182763212251935, 5.292852708255962, 3.0648922858984715, 1.4059085554129762, 0.9008271397731633, 0.550702116293504, -1.332843807797941, -1.6459092931274544, -2.000546992554556, -2.438146415979432, -3.642378973159648, -3.7951989856200523, -8.222294733853285, -15.461349332063511]"
8,[14],"[0, 18, 58, 3, 5, 52, 50, 9, 56, 25, 29, 47, 28, 46, 33, 30, 59, 1, 53, 51, 38, 49, 39, 41, 40, 57, 7, 37, 54, 23, 8, 42, 27, 36, 34, 11, 6, 26, 44, 43, 31, 35, 4, 45, 20, 32, 2, 48, 19, 15, 12, 21, 22, 55, 17, 24, 13, 16, 10]","[1.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 2.0, 11.0, 0.0, 0.0, 25.0, 4.0, 0.0, 27.0, 10.0, 0.0, 0.0, 28.0, 1.0, 57.0, 1.0, 56.0, 48.0, 59.0, 0.0, 11.0, 52.0, 14.0, 0.0, 14.0, 0.0, 1.0, 57.0, 38.0, 2.0, 28.0, 4.0, 9.0, 4.0, 0.0, 42.0, 0.0, 2.0, 0.0, 0.0, 0.0, 26.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0]","[0.0, 2.7717281035121033, 3.409830543438659, 2.0117925796395584, 2.232461137560295, 3.7430040785185263, 21.759671110323268, 17.097868521858704, 31.1070565374037, 50.747827316275774, 76.35450923816347, 41.968600421222966, 36.432115826571994, 23.034493370700893, 19.522978695891904, 378.82836791699157, 28.075827835378533, 281.9361754530853, 27.712223508715063, 25.17607116182389, 17.80375364754846, 31.14286555909976, 20.162323854618396, 31.251665381297848, 34.90029386653672, 39.46399937519303, 32.56775295846031, 27.320410185299806, 24.997809558049177, 21.44121663325547, 20.343602717525616, 19.43256328722555, 19.731349235877197, 14.84145074124116, 23.043983790543045, 16.066864518201882, 11.9842475129565, 12.72270624475045, 11.352700686153739, 10.635005071328578, 10.084979332718138, 10.445830592214211, 11.543076270919707, 7.997923228195264, 7.184274206434651, 7.072203690682322, 5.906105633554256, 5.385491734556107, 5.133325338491046, 4.1965849196828415, 3.3736910402494935, 2.6859554793533693, 0.9938382486036286, 0.08064371436764439, -1.1283421941783018, -1.3898705270396157, -2.6601417821208795, -2.6561185740631537, -7.72852766759312]"
9,[29],"[0, 5, 12, 56, 30, 28, 27, 59, 52, 50, 9, 53, 25, 47, 33, 46, 16, 42, 34, 36, 35, 8, 18, 14, 7, 48, 6, 31, 41, 40, 51, 39, 38, 37, 23, 1, 49, 11, 44, 26, 43, 4, 45, 20, 2, 32, 19, 21, 54, 22, 15, 24, 57, 17, 55, 13, 10, 3, 58]","[1.0, 0.0, 0.0, 11.0, 10.0, 4.0, 1.0, 0.0, 30.0, 0.0, 2.0, 28.0, 0.0, 25.0, 27.0, 0.0, 0.0, 0.0, 38.0, 57.0, 42.0, 14.0, 0.0, 0.0, 11.0, 26.0, 28.0, 0.0, 48.0, 59.0, 1.0, 56.0, 57.0, 52.0, 0.0, 0.0, 1.0, 2.0, 9.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0]","[0.0, 1.0625963281791282, 1.5308814001590239, 8.131945722217417, 6.602488291897837, 9.732331470570418, 9.55072789311642, 14.641992180897274, 9.843734761651788, 23.433000011507602, 17.52881713358756, 12.727498510139236, 28.861631661087316, 125.79056111599593, 39.77362893952732, 62348.03899321312, 46.682509262359574, 24.04856752619576, 34.409505458504036, 25.931642660924446, 20.14182331885448, 30.82567215072099, 28.56347543965277, 21.89660671705618, 14.798900927468457, 12.765334402550007, 12.353835528689867, 9.489584821200749, 8.457903678880657, 18.76013797165609, 28.07635388448548, 23.246045854859517, 20.439445059064134, 24.488095791174548, 25.504651869054292, 21.784842792254366, 22.171857299654736, 15.2414435592394, 13.876111545072828, 13.38314360407685, 12.211918840329151, 10.22063350673089, 7.819711255450686, 7.448537158541875, 6.2822274413557455, 5.6769406691561315, 5.404767188782271, 2.867252980654902, 1.3687092398046854, 0.2168089698736324, -0.9163420718848023, -1.0237735968430126, -1.649133016832673, -2.547723004965045, -4.685398827313762, -4.177595816564885, -9.59503959142278, -8.79693808462459, -15.461349332059696]"
10,[36],"[0, 53, 25, 49, 16, 34, 59, 52, 14, 28, 3, 30, 12, 9, 50, 46, 13, 48, 4, 47, 31, 56, 6, 5, 32, 35, 18, 33, 8, 7, 38, 29, 41, 40, 39, 51, 42, 37, 1, 23, 11, 27, 44, 26, 43, 45, 2, 19, 20, 21, 54, 15, 22, 24, 57, 17, 55, 10, 58]","[1.0, 28.0, 0.0, 1.0, 0.0, 38.0, 0.0, 30.0, 0.0, 4.0, 0.0, 10.0, 0.0, 2.0, 0.0, 0.0, 0.0, 26.0, 0.0, 25.0, 0.0, 11.0, 28.0, 0.0, 0.0, 42.0, 0.0, 27.0, 14.0, 11.0, 57.0, 0.0, 48.0, 59.0, 56.0, 1.0, 0.0, 52.0, 0.0, 0.0, 2.0, 1.0, 9.0, 4.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0]","[57.0, 54.58905669069068, 74.22452605393345, 54.33552185256103, 103.57358844667749, 65.80006817683585, 143.0277364785797, 188.72607376467676, 69.59165854467096, 439.0981734654923, 136.62594920111923, 179.6761874423981, 54.662738032529234, 173.99372332423013, 22199.191637908018, 789.8040439466295, 45.65105899836368, 21670.614845512988, 268.0891522880828, 23.045440185497775, 12.370667930743949, 6.731813415035248, 4.743579438502543, 11.413648757372357, 4.5422472692634415, -2.7909994995428704, 30.89790093569996, 12.074857079956603, 20.522068779296802, 14.267142922086775, 10.190910025154109, 16.79208036566979, 16.090788432657504, 25.661488393646806, 33.145671215665296, 37.91513504069422, 27.395772172199788, 26.02718061451744, 27.639102437901002, 22.233655002695922, 14.931398186117523, 14.39308196344848, 12.81451026854715, 12.754670487551193, 11.517632465749537, 7.980809672987055, 7.114285185425102, 6.472135970875607, 5.281550400979723, 2.887677005162324, 1.3647851740503576, 1.1054472238105735, 0.2610444236675331, -1.396584690120827, -1.9565175270094102, -2.3501072437593926, -3.795198985592995, -8.222294733790559, -15.461349332084685]"
