random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
1,[8],"[0, 59, 53, 3, 49, 16, 25, 12, 30, 29, 55, 52, 23, 56, 9, 46, 10, 50, 27, 32, 18, 6, 13, 15, 34, 5, 17, 35, 38, 2, 31, 14, 54, 42, 36, 26, 22, 24, 21, 19, 4, 20, 45, 37, 51, 58, 7, 11, 1, 43, 44, 40, 41, 57, 39, 33, 28, 47, 48]","[95.0, 0.0, 3.0, 10.0, 99.0, 98.0, 16.0, 50.0, 99.0, 99.0, 0.0, 1.0, 4.0, 2.0, 80.0, 16.0, 98.0, 0.0, 99.0, 99.0, 92.0, 95.0, 63.0, 10.0, 2.0, 71.0, 7.0, 43.0, 19.0, 97.0, 55.0, 49.0, 56.0, 2.0, 1.0, 99.0, 97.0, 85.0, 99.0, 99.0, 33.0, 82.0, 2.0, 50.0, 4.0, 1.0, 28.0, 97.0, 98.0, 1.0, 2.0, 9.0, 7.0, 1.0, 2.0, 1.0, 97.0, 9.0, 8.0]","[39.0, 146.8363720395978, 178.6150558176767, 162.94708975614543, 187.22888020348793, 291.0878104015173, 232.1974542198236, 189.2702312911701, 1993.864766055986, 1150.9374203930402, 657.4966311985687, 2754.093148871094, 1840.0936461687186, 3876.745834891328, 1259.030683977206, 3861.6313127536414, 144.8794132900419, 25769.950753227495, 94.33579162390856, 86.86241370281496, 90.36799592195644, 88.98137012138744, 82.70859734160047, 76.31097370738098, 97.60482620027113, 80.84192442479338, 51.92644460352864, 45.21495988647595, 41.86953314385528, 35.44823201576898, 46.016985576827736, 43.61305502723553, 43.53428132933439, 48.34775521411393, 41.215335660510405, 43.783422301530464, 49.92952965742783, 63.516495277093114, 67.28991450233843, 64.12325905531506, 66.08965854491215, 64.61106613621529, 33.66452489568283, 31.06303771268606, 23.183478778820344, 17.854642865749035, 13.212450144904345, 12.062661743590674, 18.391648973824182, 18.244381442103176, 13.235758964550094, -2.772163825611294, -2.256757564004559, -3.551063264359655, -7.461921334421184, -24.867305106566747, -360.3681666880948, -1284.7303001147732, 38.63860481578867]"
2,[55],"[0, 36, 58, 16, 15, 59, 30, 24, 29, 12, 57, 56, 9, 28, 35, 50, 48, 5, 49, 3, 26, 52, 46, 4, 27, 22, 21, 19, 20, 18, 23, 14, 10, 6, 51, 2, 42, 13, 17, 8, 45, 38, 37, 11, 7, 34, 44, 43, 1, 32, 25, 31, 40, 41, 54, 39, 53, 47, 33]","[95.0, 1.0, 1.0, 98.0, 10.0, 0.0, 99.0, 85.0, 99.0, 50.0, 1.0, 2.0, 80.0, 97.0, 43.0, 0.0, 8.0, 71.0, 99.0, 10.0, 99.0, 1.0, 16.0, 33.0, 99.0, 97.0, 99.0, 99.0, 82.0, 92.0, 4.0, 49.0, 98.0, 95.0, 4.0, 97.0, 2.0, 63.0, 7.0, 39.0, 2.0, 19.0, 50.0, 97.0, 28.0, 2.0, 2.0, 1.0, 98.0, 99.0, 16.0, 55.0, 9.0, 7.0, 56.0, 2.0, 3.0, 9.0, 1.0]","[0.0, 139.30068155710637, 151.89993833560584, 156.69808920709283, 192.84849458767331, 463.2647131272547, 1900.644026654422, 998.2082488761394, 604.2017282048605, 318.5839829208958, 363.0453089832331, 1135.073813168353, 809.136529581255, 305.1693844254696, 240.47432469400337, 5292240.702811299, 123394.14906820469, 4560107.441947354, 269.1249340316863, 180.14064456804772, 138.77760772985675, 127.80668306861617, 1942204.4919843464, 86.7063260113514, 79.89610603980411, 76.69027003270696, 81.25213854826023, 78.52018466295249, 81.6438165282399, 79.46805349902885, 72.64301770583711, 57.163723288253095, 57.99202574110231, 57.50350009005882, 54.30711103060735, 47.7637738781255, 39.41854511518794, 37.51092565632278, 30.58051144476464, 30.538531651798166, 30.09261023246463, 25.142084114088817, 21.337602748414128, 21.50616539402842, 25.931018924062123, 22.32286124787847, 18.757884824055786, 14.373427957929984, 11.90633030746686, 8.829895331248245, 22.53526749890007, 21.36538474877942, 1.5879396674972952, 2.101621443296345, 2.0588729375783714, -2.6441422081571275, -4.9131980555902075, -25.474025450817187, -24.840784805815325]"
3,[15],"[0, 25, 12, 28, 57, 56, 52, 30, 53, 59, 7, 24, 36, 29, 9, 50, 1, 3, 48, 22, 21, 18, 19, 8, 20, 27, 23, 35, 14, 51, 2, 46, 16, 10, 34, 45, 13, 37, 58, 26, 49, 4, 11, 5, 6, 38, 17, 44, 43, 32, 31, 42, 40, 41, 54, 39, 55, 47, 33]","[95.0, 16.0, 50.0, 97.0, 1.0, 2.0, 1.0, 99.0, 3.0, 0.0, 28.0, 85.0, 1.0, 99.0, 80.0, 0.0, 98.0, 10.0, 8.0, 97.0, 99.0, 92.0, 99.0, 39.0, 82.0, 99.0, 4.0, 43.0, 49.0, 4.0, 97.0, 16.0, 98.0, 98.0, 2.0, 2.0, 63.0, 50.0, 1.0, 99.0, 99.0, 33.0, 97.0, 71.0, 95.0, 19.0, 7.0, 2.0, 1.0, 99.0, 55.0, 2.0, 9.0, 7.0, 56.0, 2.0, 0.0, 9.0, 1.0]","[10.0, 207.5039072095186, 213.8095611852391, 1235.8843013817077, 1056.0299661470572, 1815.2766309016304, 555.0172428028159, 561.2487737368838, 562.7374267631363, 1030.4548982753686, 510.0717901560946, 4017.0624636338966, 285.90819090115565, 42437.66333363176, 1339.6272825324359, 18606.680238956775, 321.0149432453909, 232.16565718583297, 2795.9615554505726, 87.7371668278065, 90.49933659547241, 86.8097371213953, 84.83240794343874, 85.20722317462787, 80.83958998438902, 73.24931783397915, 64.7575844641542, 71.89090683932591, 63.76226855718778, 55.379694899100286, 36.08932009451382, 2017754.257152241, 47.563385582890604, 43.8236666572698, 32.06243599150039, 23.14178045174453, 18.77582257307192, 24.12814187136945, 25.836780768369913, 24.327261358853136, 22.897440088757477, 36.23491956771041, 24.238922897058266, 32.67131394902142, 34.801819050345756, 29.164458510301436, 24.866525534659296, 20.81513064640938, 15.81899239059181, 15.27223701707183, 21.4858443632085, 11.059770646812495, 1.4938609378484742, 2.042030516060329, -3.051061319557512, -2.328924323892487, -10.564368780868755, -25.474025450991356, -24.840784805835334]"
4,[15],"[0, 25, 12, 28, 57, 56, 52, 30, 53, 59, 7, 24, 36, 29, 9, 50, 1, 3, 48, 22, 21, 18, 19, 8, 20, 27, 23, 35, 14, 51, 2, 46, 16, 10, 34, 45, 13, 37, 58, 26, 49, 4, 11, 5, 6, 38, 17, 44, 43, 32, 31, 42, 40, 41, 54, 39, 55, 47, 33]","[95.0, 16.0, 50.0, 97.0, 1.0, 2.0, 1.0, 99.0, 3.0, 0.0, 28.0, 85.0, 1.0, 99.0, 80.0, 0.0, 98.0, 10.0, 8.0, 97.0, 99.0, 92.0, 99.0, 39.0, 82.0, 99.0, 4.0, 43.0, 49.0, 4.0, 97.0, 16.0, 98.0, 98.0, 2.0, 2.0, 63.0, 50.0, 1.0, 99.0, 99.0, 33.0, 97.0, 71.0, 95.0, 19.0, 7.0, 2.0, 1.0, 99.0, 55.0, 2.0, 9.0, 7.0, 56.0, 2.0, 0.0, 9.0, 1.0]","[10.0, 207.5039072095186, 213.8095611852391, 1235.8843013817077, 1056.0299661470572, 1815.2766309016304, 555.0172428028159, 561.2487737368838, 562.7374267631363, 1030.4548982753686, 510.0717901560946, 4017.0624636338966, 285.90819090115565, 42437.66333363176, 1339.6272825324359, 18606.680238956775, 321.0149432453909, 232.16565718583297, 2795.9615554505726, 87.7371668278065, 90.49933659547241, 86.8097371213953, 84.83240794343874, 85.20722317462787, 80.83958998438902, 73.24931783397915, 64.7575844641542, 71.89090683932591, 63.76226855718778, 55.379694899100286, 36.08932009451382, 2017754.257152241, 47.563385582890604, 43.8236666572698, 32.06243599150039, 23.14178045174453, 18.77582257307192, 24.12814187136945, 25.836780768369913, 24.327261358853136, 22.897440088757477, 36.23491956771041, 24.238922897058266, 32.67131394902142, 34.801819050345756, 29.164458510301436, 24.866525534659296, 20.81513064640938, 15.81899239059181, 15.27223701707183, 21.4858443632085, 11.059770646812495, 1.4938609378484742, 2.042030516060329, -3.051061319557512, -2.328924323892487, -10.564368780868755, -25.474025450991356, -24.840784805835334]"
5,[39],"[0, 59, 3, 46, 15, 34, 14, 26, 53, 30, 29, 57, 7, 56, 12, 50, 52, 42, 22, 27, 21, 58, 16, 24, 18, 19, 35, 20, 49, 10, 9, 23, 6, 2, 13, 37, 38, 45, 17, 8, 51, 32, 36, 31, 1, 43, 44, 54, 40, 41, 55, 33, 11, 48, 5, 4, 25, 47, 28]","[95.0, 0.0, 10.0, 16.0, 10.0, 2.0, 49.0, 99.0, 3.0, 99.0, 99.0, 1.0, 28.0, 2.0, 50.0, 0.0, 1.0, 2.0, 97.0, 99.0, 99.0, 1.0, 98.0, 85.0, 92.0, 99.0, 43.0, 82.0, 99.0, 98.0, 80.0, 4.0, 95.0, 97.0, 63.0, 50.0, 19.0, 2.0, 7.0, 39.0, 4.0, 99.0, 1.0, 55.0, 98.0, 1.0, 2.0, 56.0, 9.0, 7.0, 0.0, 1.0, 97.0, 8.0, 71.0, 33.0, 16.0, 9.0, 97.0]","[2.0, 165.09458792885576, 147.03343598031432, 133.71496508597622, 132.2689621080635, 232.567052191113, 389.6697031595, 784.1098291277735, 893.589446025648, 2200.764974081679, 3995.459991708579, 1290.450822625946, 547.5895476612152, 499.85543000250345, 175.73183731774225, 16590.12597152361, 16221.06110414732, 550.8853994043375, 110.01412133207396, 106.1577058973478, 97.83235075758262, 89.97888069898886, 96.4905874424602, 84.98027026214424, 79.51694465670232, 78.77152289909179, 71.35502624426283, 74.58426968508093, 65.61939680257228, 69.74771913498057, 82.78564870297339, 65.65220455543931, 56.150795614766935, 43.08970861051023, 42.13324800393207, 37.12937706982211, 38.884858073268106, 33.74199955311508, 28.889427855545534, 29.538227526184357, 20.117663768588613, 19.569045207170802, 30.84809648455041, 21.43006750721736, 16.74233116852463, 13.424543030471568, 8.630076942935602, -0.45545666467273804, -0.17647530830481628, -0.2640325003999351, -8.696178454087885, -24.62011501733423, -31.224176468715314, 4156.885196857684, 110.16173578762141, 89.82394094909063, 57.84013820979092, -44.319476987511365, -268.14792840094816]"
6,[50],"[0, 59, 56, 48, 16, 49, 5, 28, 34, 45, 30, 22, 3, 46, 7, 12, 25, 52, 27, 26, 37, 21, 18, 24, 4, 15, 19, 20, 23, 10, 9, 35, 6, 2, 13, 14, 17, 36, 51, 8, 58, 32, 38, 11, 1, 43, 44, 40, 41, 42, 39, 57, 47, 54, 55, 31, 53, 33, 29]","[95.0, 0.0, 2.0, 8.0, 98.0, 99.0, 71.0, 97.0, 2.0, 2.0, 99.0, 97.0, 10.0, 16.0, 28.0, 50.0, 16.0, 1.0, 99.0, 99.0, 50.0, 99.0, 92.0, 85.0, 33.0, 10.0, 99.0, 82.0, 4.0, 98.0, 80.0, 43.0, 95.0, 97.0, 63.0, 49.0, 7.0, 1.0, 4.0, 39.0, 1.0, 99.0, 19.0, 97.0, 98.0, 1.0, 2.0, 9.0, 7.0, 2.0, 2.0, 1.0, 9.0, 56.0, 0.0, 55.0, 3.0, 1.0, 99.0]","[0.0, 100.61621502945927, 151.73049809910077, 125.67841669487267, 114.43432859767798, 113.13384075833524, 130.4627078192271, 251.42095318162814, 231.06149217811912, 254.78320826497446, 782.7597285884822, 351.7631695275621, 254.20683033402076, 232.5808752800652, 222.4603017462137, 242.47567505154188, 389.13752551106836, 7751.542515280291, 112.6789261634568, 103.94673757661076, 98.15604099720034, 92.70793417248635, 89.57562643177081, 87.23338664066796, 85.26060233729149, 80.10251614964002, 80.50180448128845, 75.83145092333012, 60.11820020245294, 59.200685806442316, 56.89543397006122, 48.902387187460135, 40.09937696509219, 34.80538633709619, 45.180101561705825, 34.43293342590126, 28.203298552833324, 25.370459390446456, 22.393672697554116, 17.885075187246912, 17.934788790968632, 14.79466698272028, 18.01520500044321, 10.815435573141592, 21.44727793234344, 7.284879689966566, 4.345207703262716, -6.257354059134045, -4.756479468918819, -4.01956470080642, -10.35508212577259, -9.087914275873906, -15.41076599304882, -17.05153252900103, -16.90286272889002, -16.895723434099118, -20.705375487186878, -26.192289863130434, -1915.4243773739822]"
7,[20],"[0, 59, 48, 37, 34, 16, 3, 5, 12, 30, 29, 57, 52, 46, 8, 9, 23, 50, 56, 27, 18, 22, 21, 15, 26, 24, 19, 10, 4, 35, 6, 49, 58, 2, 14, 13, 51, 45, 17, 38, 11, 7, 36, 1, 32, 25, 31, 44, 43, 42, 40, 41, 53, 39, 54, 55, 33, 47, 28]","[95.0, 0.0, 8.0, 50.0, 2.0, 98.0, 10.0, 71.0, 50.0, 99.0, 99.0, 1.0, 1.0, 16.0, 39.0, 80.0, 4.0, 0.0, 2.0, 99.0, 92.0, 97.0, 99.0, 10.0, 99.0, 85.0, 99.0, 98.0, 33.0, 43.0, 95.0, 99.0, 1.0, 97.0, 49.0, 63.0, 4.0, 2.0, 7.0, 19.0, 97.0, 28.0, 1.0, 98.0, 99.0, 16.0, 55.0, 2.0, 1.0, 2.0, 9.0, 7.0, 3.0, 2.0, 56.0, 0.0, 1.0, 9.0, 97.0]","[82.0, 101.85119135073032, 148.4631382643389, 124.48494065847757, 158.82898733640667, 190.57174877815805, 188.8249515585143, 219.07751597707158, 159.5749909146753, 607.6592939903252, 933.107342492935, 597.8511401274656, 1274.781986627335, 786.6506762730974, 747.0645507943989, 1247.5599456159225, 476.1472644151055, 28267.996951662153, 185.42227882172838, 112.76028922018358, 98.83167650767635, 95.04718523004601, 92.71205028438376, 85.45082451406074, 108.56291634367531, 85.76741616881904, 77.51786211176706, 76.20271559654586, 74.7164268451439, 68.00165675389533, 45.17587287141744, 47.22122790866342, 41.121764710193666, 43.515422501282124, 54.20550441748041, 39.6152212066261, 31.066187968573082, 22.07564389599193, 21.486808212701035, 20.8777204365892, 15.057489322092941, 26.70672422224027, 15.116362308393647, 13.31886985776648, 11.538003879721344, 33.15270742478568, 18.598887011906925, 13.386856270648927, 10.860091352803025, 1.289370210758598, -6.371673027593545, -4.979896242138679, -6.683797278066855, -9.73664405569815, -10.23947145475502, -11.937248478225897, -31.74128629925236, -44.31947698749158, -268.1479284009857]"
8,[14],"[0, 18, 58, 36, 5, 30, 49, 3, 23, 12, 29, 8, 13, 50, 9, 48, 46, 56, 15, 16, 26, 4, 27, 22, 21, 24, 10, 19, 35, 20, 2, 6, 34, 51, 52, 17, 37, 38, 11, 7, 45, 1, 32, 25, 59, 31, 44, 43, 42, 40, 41, 53, 39, 57, 54, 55, 33, 47, 28]","[95.0, 92.0, 1.0, 1.0, 71.0, 99.0, 99.0, 10.0, 4.0, 50.0, 99.0, 39.0, 63.0, 0.0, 80.0, 8.0, 16.0, 2.0, 10.0, 98.0, 99.0, 33.0, 99.0, 97.0, 99.0, 85.0, 98.0, 99.0, 43.0, 82.0, 97.0, 95.0, 2.0, 4.0, 1.0, 7.0, 50.0, 19.0, 97.0, 28.0, 2.0, 98.0, 99.0, 16.0, 0.0, 55.0, 2.0, 1.0, 2.0, 9.0, 7.0, 3.0, 2.0, 1.0, 56.0, 0.0, 1.0, 9.0, 97.0]","[49.0, 176.49949276155675, 186.2783041942262, 145.07694230936957, 197.91603235320633, 311.15632487609963, 180.26932102163855, 244.09962896103565, 275.74761191184797, 166.1108284795133, 2759.118075923206, 371.4917639250296, 187.2437895008012, 10585.87674082846, 10256.627050518042, 59588.99121213256, 8728852.22482767, 2750.6620830353736, 181.37768362097938, 159.98329389686333, 102.31804697995106, 97.6639479720373, 99.86405193707279, 87.71522263807114, 86.758456779764, 76.97785903417619, 73.44846587740604, 69.38634023257765, 64.09495273735514, 56.7258181500951, 55.77131111436457, 47.73838202421007, 49.09094317731771, 31.63173859247739, 22.65289809004345, 22.993949811855906, 13.619695381201481, 19.16567380709248, 14.152698745665006, 30.440586148672807, 28.28425819079998, 13.329379141652204, 10.074627575251775, 34.35610533228047, 20.917884455543373, 17.505746417380145, 9.179055421809366, 6.959027599427294, -2.5759226788449467, -8.701469233967579, -6.66566443767757, -7.15793964554873, -10.90499884915318, -10.513912280531727, -10.239471454780144, -11.937248478148248, -31.741286299258725, -44.31947698759572, -268.14792840087597]"
9,[29],"[0, 28, 30, 27, 56, 24, 16, 49, 58, 23, 12, 45, 52, 48, 46, 7, 50, 15, 3, 26, 53, 22, 21, 19, 20, 14, 35, 51, 37, 8, 2, 38, 18, 4, 34, 36, 47, 9, 10, 6, 5, 13, 11, 42, 44, 17, 1, 43, 32, 31, 25, 59, 40, 41, 57, 39, 54, 55, 33]","[95.0, 97.0, 99.0, 99.0, 2.0, 85.0, 98.0, 99.0, 1.0, 4.0, 50.0, 2.0, 1.0, 8.0, 16.0, 28.0, 0.0, 10.0, 10.0, 99.0, 3.0, 97.0, 99.0, 99.0, 82.0, 49.0, 43.0, 4.0, 50.0, 39.0, 97.0, 19.0, 92.0, 33.0, 2.0, 1.0, 9.0, 80.0, 98.0, 95.0, 71.0, 63.0, 97.0, 2.0, 2.0, 7.0, 98.0, 1.0, 99.0, 55.0, 16.0, 0.0, 9.0, 7.0, 1.0, 2.0, 56.0, 0.0, 1.0]","[99.0, 95.59801396237317, 96.5224151503472, 98.45201339162544, 99.38568484747753, 127.32133673637254, 136.70002598125166, 130.0960575829403, 177.12911335257908, 128.79708244003066, 226.25134171434797, 446.35286239021025, 915.819832689511, 4567.544237929769, 587.7595821287807, 417.3297540009844, 176111.78414445373, 431.22451683374754, 128.0226525577964, 161.90235184318627, 100.65410038149088, 81.37105113453089, 85.55082393024611, 69.86403890489842, 58.05163863739199, 49.01094528349355, 47.73119334424155, 45.81694114011979, 54.66432657653764, 50.02744667468499, 43.78539667836735, 39.59697644757671, 38.966816680365355, 41.036301341226775, 38.596523714475566, 15.113394009575309, 14.182217114079442, 15.20549522202117, 40.95756386041056, 31.546118954240413, 43.16024689661394, 24.378235810343888, 19.392782712015737, 24.924982688510518, 9.636291167013518, 9.007278878630963, 7.254488527390556, 13.365644861580336, 4.922700635822466, 22.14965226838521, 25.4012396660548, 22.422151465646706, 2.1918165909805936, 2.775918832531403, -2.6855885166698314, -3.811934763978755, -4.132061120170491, -11.327736474801824, -24.84078480584818]"
10,[36],"[0, 58, 45, 3, 15, 59, 24, 16, 30, 29, 12, 7, 28, 23, 50, 9, 46, 1, 52, 22, 21, 27, 48, 19, 14, 51, 20, 8, 2, 10, 18, 35, 25, 34, 11, 44, 13, 37, 26, 49, 4, 5, 6, 38, 17, 32, 31, 43, 42, 40, 41, 57, 54, 39, 53, 56, 55, 47, 33]","[95.0, 1.0, 2.0, 10.0, 10.0, 0.0, 85.0, 98.0, 99.0, 99.0, 50.0, 28.0, 97.0, 4.0, 0.0, 80.0, 16.0, 98.0, 1.0, 97.0, 99.0, 99.0, 8.0, 99.0, 49.0, 4.0, 82.0, 39.0, 97.0, 98.0, 92.0, 43.0, 16.0, 2.0, 97.0, 2.0, 63.0, 50.0, 99.0, 99.0, 33.0, 71.0, 95.0, 19.0, 7.0, 99.0, 55.0, 1.0, 2.0, 9.0, 7.0, 1.0, 56.0, 2.0, 3.0, 2.0, 0.0, 9.0, 1.0]","[1.0, 193.5798901296452, 240.35705730754006, 198.61475753773752, 175.77833834292218, 341.4126489776525, 445.352289883904, 393.88905147808555, 380.8769602824091, 363.0377761283496, 316.6246640272785, 824.7358931975224, 4315.73887860348, 693.9607157216319, 8506.09576981291, 8143.086786183296, 403104388.3468043, 13677892.641678069, 131.72975625499308, 88.08745591968473, 89.2935390083183, 74.77784905091141, 4496.3454531706175, 76.27764293253372, 71.68417132086964, 65.84222822763638, 62.700470938976245, 60.09504745963776, 53.03978435035606, 42.83717309201263, 46.092253761280574, 50.73284298557337, 30.578517213541943, 27.4141965250463, 19.225170040736835, 4.119655687362155, 1.3506517152967064, 10.246524873023432, 18.32299341043346, 28.86634557941452, 45.42411285821638, 35.60760811419296, 32.98183927561144, 24.00860250468834, 21.86580872817406, 13.541060830522405, 20.803963422034172, 17.97277090894189, 9.177446059956267, -3.833149411058187, -1.550165966583826, -2.5363770554842233, -4.101563466011676, -5.097132634970386, -5.601269833511239, -11.62387177220372, -10.564368780847552, -25.47402545082401, -24.84078480583465]"
