random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
1,[8],"[0, 45, 18, 5, 52, 37, 34, 50, 30, 9, 24, 16, 10, 3, 29, 15, 6, 12, 7, 1, 58, 21, 22, 27, 19, 20, 23, 49, 38, 2, 11, 46, 35, 32, 13, 36, 59, 14, 31, 44, 43, 42, 26, 54, 57, 41, 40, 55, 39, 33, 17, 25, 4, 53, 51, 56, 28, 47, 48]","[41.0, 1.0, 38.0, 41.0, 22.0, 14.0, 9.0, 24.0, 29.0, 70.0, 34.0, 60.0, 66.0, 35.0, 22.0, 42.0, 63.0, 34.0, 54.0, 62.0, 0.0, 35.0, 32.0, 30.0, 34.0, 30.0, 30.0, 54.0, 21.0, 40.0, 58.0, 0.0, 18.0, 37.0, 33.0, 18.0, 0.0, 40.0, 40.0, 34.0, 28.0, 43.0, 27.0, 19.0, 0.0, 12.0, 22.0, 2.0, 24.0, 9.0, 33.0, 37.0, 24.0, 40.0, 21.0, 5.0, 25.0, 3.0, 0.0]","[57.0, 62.457095262853414, 122.90351082684386, 83.53455606201211, 176.88752209089364, 124.97573041243082, 123.88854150478262, 121.66996276466512, 108.13071122050508, 105.02265275228844, 83.80704847222489, 99.63895653765117, 65.56786019878024, 57.620843644431346, 1187.8414787755414, 56.29801997885207, 71.81461084300099, 50.8929746793583, 46.02511880298698, 39.78442645357427, 40.28614729277615, 35.92693501201575, 35.35217150046083, 27.642250421704375, 25.34099478542339, 27.844653629188542, 25.663297154576867, 17.839119538810337, 18.49926525124465, 11.265244110516505, 28.332307900669548, 2115949.2432043194, 12.496437029397669, 9.221521096505782, 8.246944809052351, 10.433270300100446, 9.057491889637248, 8.012532591610181, 9.745171948548034, 7.720753129369953, 17.669617245316836, 19.450119268352196, 13.432285930789305, 15.338609054473721, 7.707723187369162, 2.8566912093172334, 2.8840793864580334, 3.7460406737169833, 0.8546955972507817, 2.6314674794540025, 3.064314775483709, 1.3113603464583008, 24.55115715605054, 1.784891101267359, 0.7995096150241885, -8.722150148153105, -54.050677542407826, -666.4589726233403, 14.41325700810707]"
2,[55],"[0, 36, 3, 22, 15, 16, 12, 5, 30, 29, 23, 52, 7, 9, 50, 10, 8, 48, 1, 25, 45, 46, 59, 11, 2, 4, 24, 20, 21, 18, 19, 6, 34, 37, 27, 32, 58, 35, 14, 13, 44, 43, 49, 31, 38, 42, 57, 26, 54, 41, 40, 39, 17, 33, 51, 53, 56, 47, 28]","[41.0, 18.0, 35.0, 32.0, 42.0, 60.0, 34.0, 41.0, 29.0, 22.0, 30.0, 22.0, 54.0, 70.0, 24.0, 66.0, 57.0, 0.0, 62.0, 37.0, 1.0, 0.0, 0.0, 58.0, 40.0, 24.0, 34.0, 30.0, 35.0, 38.0, 34.0, 63.0, 9.0, 14.0, 30.0, 37.0, 0.0, 18.0, 40.0, 33.0, 34.0, 28.0, 54.0, 40.0, 21.0, 43.0, 0.0, 27.0, 19.0, 12.0, 22.0, 24.0, 33.0, 9.0, 21.0, 40.0, 5.0, 3.0, 25.0]","[2.0, 59.186595586601555, 59.18660424358592, 60.57465741576175, 57.38787681428095, 54.67551068294153, 54.825561069501155, 97.73713695683523, 257.89440607536835, 482.50446712397394, 156.7603951605213, 579.1295015533221, 129.34715271566012, 111.73467946242886, 4234.428750576366, 70.02961220167185, 60.00509040984252, 5170.450945311939, 83.9315847362268, 58.814736669570266, 53.68550174355914, 3023322.8215883756, 84.9917670496173, 36.16126117844518, 35.71542621740125, 35.27614580305062, 32.71771599930974, 31.193579416949696, 30.915810890850416, 32.02094522173987, 30.536078155269465, 28.435921200201847, 26.38134850902442, 27.751642324095563, 23.98887542164573, 21.478007417889103, 20.591599453436835, 23.187154347212335, 16.185240745746295, 20.95425817262658, 19.87872848619199, 23.147487900864952, 16.952980356598808, 17.556834072506305, 11.911084506976636, 12.425535059671745, 13.978444847204749, 11.572145481885627, 9.752841283600223, 9.083387377940838, 8.249588875186308, 5.709961217591182, 4.738815668429954, 5.617553880121889, 4.5425777819446544, 5.0625569722879575, -2.620683410146402, -15.2284353966064, -18.595005463397463]"
3,[15],"[0, 57, 49, 52, 3, 36, 58, 16, 30, 50, 12, 29, 23, 9, 56, 10, 46, 48, 5, 25, 4, 13, 18, 27, 24, 22, 37, 2, 21, 14, 26, 6, 32, 19, 20, 35, 31, 34, 54, 17, 45, 59, 42, 38, 11, 8, 1, 7, 44, 43, 55, 41, 40, 39, 33, 51, 53, 47, 28]","[41.0, 0.0, 54.0, 22.0, 35.0, 18.0, 0.0, 60.0, 29.0, 24.0, 34.0, 22.0, 30.0, 70.0, 5.0, 66.0, 0.0, 0.0, 41.0, 37.0, 24.0, 33.0, 38.0, 30.0, 34.0, 32.0, 14.0, 40.0, 35.0, 40.0, 27.0, 63.0, 37.0, 34.0, 30.0, 18.0, 40.0, 9.0, 19.0, 33.0, 1.0, 0.0, 43.0, 21.0, 58.0, 57.0, 62.0, 54.0, 34.0, 28.0, 2.0, 12.0, 22.0, 24.0, 9.0, 21.0, 40.0, 3.0, 25.0]","[42.0, 42.079273169760455, 50.61308420370152, 55.80930517836306, 50.53128785658531, 51.35255720271368, 84.71637860471718, 75.8898805046852, 135.4671029014855, 100.47284117102967, 67.3361903317774, 1180.03341331215, 632.3232829511547, 1196.317022673088, 376.97997174349507, 72.64100871741766, 786213.5846741636, 2307.5269539094575, 140.87776634765382, 49.08584380504944, 47.13999097692249, 45.066046960084556, 43.77311167176122, 41.58784701385669, 35.9083334461363, 33.90537478950436, 33.76255491897224, 33.36910458535603, 32.29623822519552, 31.73080410152325, 30.312800600615237, 29.918594221895773, 28.66606700945455, 28.50981317310873, 28.313264771645787, 27.66227510465079, 28.97347790645307, 27.349639237823652, 23.729594380394783, 21.97396027207815, 19.498155449844244, 16.02195757410835, 10.29477552845363, 13.538901178973799, 13.370986187168782, 21.39282091134473, 28.24710932282282, 28.27763118588673, 29.367791664026257, 29.586071070074606, 14.545246344706925, 13.0787789694213, 12.290121638649993, 9.716796905951519, 6.516423584690564, 5.439545305892693, 5.635286449273451, -15.228435396613449, -18.595005463374186]"
4,[15],"[0, 57, 49, 52, 3, 36, 58, 16, 30, 50, 12, 29, 23, 9, 56, 10, 46, 48, 5, 25, 4, 13, 18, 27, 24, 22, 37, 2, 21, 14, 26, 6, 32, 19, 20, 35, 31, 34, 54, 17, 45, 59, 42, 38, 11, 8, 1, 7, 44, 43, 55, 41, 40, 39, 33, 51, 53, 47, 28]","[41.0, 0.0, 54.0, 22.0, 35.0, 18.0, 0.0, 60.0, 29.0, 24.0, 34.0, 22.0, 30.0, 70.0, 5.0, 66.0, 0.0, 0.0, 41.0, 37.0, 24.0, 33.0, 38.0, 30.0, 34.0, 32.0, 14.0, 40.0, 35.0, 40.0, 27.0, 63.0, 37.0, 34.0, 30.0, 18.0, 40.0, 9.0, 19.0, 33.0, 1.0, 0.0, 43.0, 21.0, 58.0, 57.0, 62.0, 54.0, 34.0, 28.0, 2.0, 12.0, 22.0, 24.0, 9.0, 21.0, 40.0, 3.0, 25.0]","[42.0, 42.079273169760455, 50.61308420370152, 55.80930517836306, 50.53128785658531, 51.35255720271368, 84.71637860471718, 75.8898805046852, 135.4671029014855, 100.47284117102967, 67.3361903317774, 1180.03341331215, 632.3232829511547, 1196.317022673088, 376.97997174349507, 72.64100871741766, 786213.5846741636, 2307.5269539094575, 140.87776634765382, 49.08584380504944, 47.13999097692249, 45.066046960084556, 43.77311167176122, 41.58784701385669, 35.9083334461363, 33.90537478950436, 33.76255491897224, 33.36910458535603, 32.29623822519552, 31.73080410152325, 30.312800600615237, 29.918594221895773, 28.66606700945455, 28.50981317310873, 28.313264771645787, 27.66227510465079, 28.97347790645307, 27.349639237823652, 23.729594380394783, 21.97396027207815, 19.498155449844244, 16.02195757410835, 10.29477552845363, 13.538901178973799, 13.370986187168782, 21.39282091134473, 28.24710932282282, 28.27763118588673, 29.367791664026257, 29.586071070074606, 14.545246344706925, 13.0787789694213, 12.290121638649993, 9.716796905951519, 6.516423584690564, 5.439545305892693, 5.635286449273451, -15.228435396613449, -18.595005463374186]"
5,[39],"[0, 59, 48, 49, 28, 36, 15, 16, 24, 30, 29, 14, 12, 23, 25, 5, 10, 50, 9, 54, 3, 46, 52, 4, 13, 45, 18, 26, 37, 2, 22, 6, 21, 20, 19, 27, 32, 31, 34, 17, 35, 42, 43, 44, 57, 11, 1, 8, 7, 38, 58, 41, 55, 40, 33, 51, 53, 56, 47]","[41.0, 0.0, 0.0, 54.0, 25.0, 18.0, 42.0, 60.0, 34.0, 29.0, 22.0, 40.0, 34.0, 30.0, 37.0, 41.0, 66.0, 24.0, 70.0, 19.0, 35.0, 0.0, 22.0, 24.0, 33.0, 1.0, 38.0, 27.0, 14.0, 40.0, 32.0, 63.0, 35.0, 30.0, 34.0, 30.0, 37.0, 40.0, 9.0, 33.0, 18.0, 43.0, 28.0, 34.0, 0.0, 58.0, 62.0, 57.0, 54.0, 21.0, 0.0, 12.0, 2.0, 22.0, 9.0, 21.0, 40.0, 5.0, 3.0]","[24.0, 53.812989191296225, 55.34354082323603, 54.205907065100305, 51.53925123861221, 50.268123854828374, 60.881708366917145, 88.13645082714982, 125.75929072805252, 76.27057166751906, 74.13490240009808, 70.11478679426644, 61.60037127042907, 434.7797778817124, 207.21578804370733, 117.83361477076687, 144.42355404530826, 2793349.472154045, 83.4008326296971, 63.48228393364843, 58.228989736075164, 2260419.635351526, 56.293171347340454, 43.68231072155852, 47.25511429752136, 40.962777057759084, 48.6029036962574, 42.04852790553254, 35.333998210702546, 33.51547712848811, 32.88222624710376, 32.08700162762301, 31.05142553192762, 31.02993147722881, 30.20730803256623, 29.815562208803126, 28.219621049437325, 27.91705757070536, 28.226421995504626, 20.832305129730663, 22.129572153359177, 18.033770533589763, 20.02639374017948, 21.50603079078507, 21.802073413388673, 21.27986928441053, 27.64457528311498, 33.83856570260874, 31.638584521254415, 26.769378127813816, 25.759873346970913, 15.758694536742105, 14.47704245848071, 13.648503812990313, 6.41382897258762, 5.623569935404671, 4.91767722903133, -2.9560821519968634, -12.41908736374372]"
6,[50],"[0, 59, 56, 48, 16, 45, 36, 28, 49, 22, 9, 3, 30, 52, 12, 46, 25, 5, 10, 4, 15, 13, 18, 21, 37, 2, 35, 24, 26, 27, 19, 6, 20, 32, 23, 14, 34, 17, 54, 31, 42, 11, 8, 1, 44, 43, 7, 58, 29, 38, 57, 55, 41, 40, 39, 33, 51, 53, 47]","[41.0, 0.0, 5.0, 0.0, 60.0, 1.0, 18.0, 25.0, 54.0, 32.0, 70.0, 35.0, 29.0, 22.0, 34.0, 0.0, 37.0, 41.0, 66.0, 24.0, 42.0, 33.0, 38.0, 35.0, 14.0, 40.0, 18.0, 34.0, 27.0, 30.0, 34.0, 63.0, 30.0, 37.0, 30.0, 40.0, 9.0, 33.0, 19.0, 40.0, 43.0, 58.0, 57.0, 62.0, 34.0, 28.0, 54.0, 0.0, 22.0, 21.0, 0.0, 2.0, 12.0, 22.0, 24.0, 9.0, 21.0, 40.0, 3.0]","[24.0, 42.0050069000085, 65.17347281768545, 55.91101861382288, 49.4829506037655, 56.596923101959746, 71.8971038127975, 91.76361207970126, 74.6793135004122, 125.23046365037698, 114.45342428069631, 78.23429108669625, 170.67780922460474, 102.34745573760925, 68.61389130127725, 6597.49927746984, 102.42060844895829, 218.5772927279403, 71.03109516455481, 45.80139604536562, 51.938994753768256, 44.26479050212947, 42.241240662586, 30.78005526670343, 30.36133965452713, 29.38633652152339, 24.49886791456804, 25.749538371683553, 28.21990385145635, 26.590442138612357, 25.172569856236095, 24.651593978477877, 25.021323292259776, 24.763259086456454, 25.363293363132158, 21.933323813859815, 21.372640993255043, 19.069058939631734, 21.032611668539502, 19.6078329545986, 11.560484615731937, 14.494112693303038, 22.788804645012476, 31.782940037627277, 32.181740426342955, 32.03319981370957, 30.897782915356615, 29.276132201135475, 32.92135368559233, 22.693551229810993, 20.364657691387116, 14.954030547764411, 14.134080643474832, 13.130774777736487, 10.441332533856563, 7.324649644174265, 6.544419937634672, 5.506763585174241, -12.419087363738097]"
7,[20],"[0, 59, 48, 49, 37, 3, 16, 34, 12, 9, 29, 54, 5, 23, 46, 30, 50, 25, 10, 4, 13, 27, 15, 24, 2, 18, 22, 21, 26, 14, 19, 6, 52, 45, 31, 32, 36, 17, 35, 11, 1, 58, 8, 7, 44, 43, 42, 38, 57, 55, 41, 40, 39, 33, 51, 53, 56, 47, 28]","[41.0, 0.0, 0.0, 54.0, 14.0, 35.0, 60.0, 9.0, 34.0, 70.0, 22.0, 19.0, 41.0, 30.0, 0.0, 29.0, 24.0, 37.0, 66.0, 24.0, 33.0, 30.0, 42.0, 34.0, 40.0, 38.0, 32.0, 35.0, 27.0, 40.0, 34.0, 63.0, 22.0, 1.0, 40.0, 37.0, 18.0, 33.0, 18.0, 58.0, 62.0, 0.0, 57.0, 54.0, 34.0, 28.0, 43.0, 21.0, 0.0, 2.0, 12.0, 22.0, 24.0, 9.0, 21.0, 40.0, 5.0, 3.0, 25.0]","[30.0, 46.797161912156426, 64.61734800071056, 52.40154906489008, 52.38672844744685, 82.01692444068962, 77.24813359608639, 81.9197772997473, 66.10209128095309, 739.088603453859, 740.9973373684257, 238.62240595583094, 359.7422972377749, 1062.9976502429054, 3281.33635996112, 563.2914281970043, 587581.1027222113, 424.18436929520897, 70.31098914068326, 49.059114128931014, 48.80261706845555, 40.540070599933685, 34.799812842125704, 32.33969586450257, 32.10845320157034, 29.208202443958847, 31.37390420079283, 30.52425789881925, 30.079924114909243, 29.126879250861673, 28.57650465186094, 26.787256261740936, 30.060437246865547, 27.7771715986023, 26.28207367597991, 28.109880023025752, 22.06406153483276, 12.00664646430561, 15.059556060616067, 10.98644896836722, 23.3035050366518, 29.298866032039285, 29.790959660759437, 28.01115258129557, 27.599610797978436, 28.78158456652202, 21.77859625109167, 20.513707204108478, 19.152321856567397, 12.330011709428057, 10.842562870723537, 10.131692915131332, 7.749642303674751, 5.61755388012228, 4.542577781946289, 5.0625569722908, -2.6206834101426075, -15.228435396602848, -18.59500546332883]"
8,[14],"[0, 18, 59, 48, 37, 34, 16, 30, 3, 45, 12, 50, 9, 29, 56, 46, 25, 54, 49, 10, 13, 26, 4, 27, 2, 24, 22, 21, 31, 19, 20, 23, 15, 32, 36, 5, 6, 52, 17, 35, 11, 1, 58, 8, 7, 44, 43, 42, 38, 57, 55, 41, 40, 39, 33, 51, 53, 47, 28]","[41.0, 38.0, 0.0, 0.0, 14.0, 9.0, 60.0, 29.0, 35.0, 1.0, 34.0, 24.0, 70.0, 22.0, 5.0, 0.0, 37.0, 19.0, 54.0, 66.0, 33.0, 27.0, 24.0, 30.0, 40.0, 34.0, 32.0, 35.0, 40.0, 34.0, 30.0, 30.0, 42.0, 37.0, 18.0, 41.0, 63.0, 22.0, 33.0, 18.0, 58.0, 62.0, 0.0, 57.0, 54.0, 34.0, 28.0, 43.0, 21.0, 0.0, 2.0, 12.0, 22.0, 24.0, 9.0, 21.0, 40.0, 3.0, 25.0]","[40.0, 42.7717281035121, 44.39195508359352, 59.838290711037295, 57.35772930316567, 78.89481240834706, 79.48393994392421, 86.6002949636823, 72.30049431327973, 70.72121337856584, 70.8777235969146, 638.8483111467473, 599.8382139655197, 10965.00452760669, 2855.423850201968, 15598.765029221027, 370.7965257747226, 524.7629505617733, 74.30520239718001, 65.91242147240254, 54.27479070604533, 45.25409180522104, 46.394617838061926, 37.82069131970745, 31.295959048312607, 30.38551371584369, 30.079003327132593, 29.187538159416754, 28.53347822486071, 27.02938913178197, 28.50051506497962, 28.870667399165995, 26.259172820803915, 24.854908549566872, 21.899183660544452, 21.37151593643969, 26.878004332595527, 36.247699286129055, 21.55773100022944, 17.53657583208651, 10.501551040351622, 23.629432910113543, 30.476411362219636, 28.417708923529414, 27.830094493116555, 28.96363377637558, 29.89901877914327, 22.598357927373, 22.074408290463417, 18.91908636565806, 14.545246344715508, 13.078778969414905, 12.290121638649047, 9.716796905953014, 6.516423584690749, 5.439545305893745, 5.635286449271291, -15.228435396607683, -18.595005463354525]"
9,[29],"[0, 5, 59, 56, 48, 16, 45, 34, 50, 9, 22, 3, 12, 30, 52, 46, 25, 1, 10, 18, 15, 35, 27, 13, 37, 21, 2, 4, 49, 14, 24, 19, 20, 11, 8, 7, 6, 58, 32, 23, 36, 44, 43, 31, 38, 42, 26, 54, 57, 41, 17, 55, 40, 39, 33, 51, 53, 47, 28]","[41.0, 41.0, 0.0, 5.0, 0.0, 60.0, 1.0, 9.0, 24.0, 70.0, 32.0, 35.0, 34.0, 29.0, 22.0, 0.0, 37.0, 62.0, 66.0, 38.0, 42.0, 18.0, 30.0, 33.0, 14.0, 35.0, 40.0, 24.0, 54.0, 40.0, 34.0, 34.0, 30.0, 58.0, 57.0, 54.0, 63.0, 0.0, 37.0, 30.0, 18.0, 34.0, 28.0, 40.0, 21.0, 43.0, 27.0, 19.0, 0.0, 12.0, 33.0, 2.0, 22.0, 24.0, 9.0, 21.0, 40.0, 3.0, 25.0]","[22.0, 42.18933023540344, 42.271941546773256, 61.94564167140489, 57.21096063952884, 50.697488137851614, 59.244830374875406, 89.70238470490176, 144.98942199959316, 120.03457820899058, 132.3716707902719, 73.89224833143157, 66.41234291367493, 960.0083289103619, 558.673987847554, 345.7255682659397, 117.94463445913425, 415.9095072973884, 67.8763641664557, 55.90099864604963, 53.288214016311464, 43.27712827459932, 34.94120161332546, 28.59749966384349, 26.703293109127152, 23.007063165914378, 22.342335770982185, 22.494008869759682, 21.979636640877334, 20.718046562771953, 19.262774039107082, 22.86395251000158, 19.1870751299252, 19.397104533556384, 28.148397715399717, 28.569417499031438, 27.819517486574775, 25.683693633129508, 22.98795096520829, 24.35543337722379, 22.458417534052202, 21.313192442330475, 25.570561970512635, 17.68974112294483, 18.130076938949465, 17.741885487901328, 19.752878399234582, 19.86995352567203, 18.041249265621637, 13.74547472212306, 13.528233453816682, 14.43662714813367, 12.29012163864985, 9.71679690594705, 6.516423584692696, 5.4395453058967576, 5.635286449276606, -15.228435396612102, -18.59500546336288]"
10,[36],"[0, 58, 45, 3, 12, 5, 30, 52, 37, 15, 29, 23, 8, 18, 10, 50, 1, 9, 6, 32, 7, 34, 11, 46, 2, 49, 38, 20, 24, 21, 22, 19, 16, 27, 35, 13, 59, 14, 31, 44, 43, 42, 26, 54, 57, 41, 40, 55, 39, 33, 17, 25, 4, 53, 51, 56, 28, 47, 48]","[41.0, 0.0, 1.0, 35.0, 34.0, 41.0, 29.0, 22.0, 14.0, 42.0, 22.0, 30.0, 57.0, 38.0, 66.0, 24.0, 62.0, 70.0, 63.0, 37.0, 54.0, 9.0, 58.0, 0.0, 40.0, 54.0, 21.0, 30.0, 34.0, 35.0, 32.0, 34.0, 60.0, 30.0, 18.0, 33.0, 0.0, 40.0, 40.0, 34.0, 28.0, 43.0, 27.0, 19.0, 0.0, 12.0, 22.0, 2.0, 24.0, 9.0, 33.0, 37.0, 24.0, 40.0, 21.0, 5.0, 25.0, 3.0, 0.0]","[18.0, 65.12061141470042, 85.47080529264458, 79.2973515502292, 60.513401390832335, 90.78156781527319, 197.9117929359486, 142.5226939837643, 130.04759497906153, 87.4968967031663, 598.286982104048, 171.7774710776228, 116.11048124288774, 164.9326223893033, 75.6773548783475, 61.82285298470515, 58.688624778736994, 54.13365184256736, 51.295042140780424, 41.04524844631669, 39.846287585329264, 38.9793238065613, 37.2411440996766, 1242270.6320817836, 33.173492314180464, 27.946510519576492, 27.118816466792396, 14.32699869909186, 18.92801996987899, 23.788451564176626, 26.45229682596289, 24.724102607639225, 19.23484619772796, 21.516496408676176, 16.199290194281716, 11.297144139908397, 9.057491889659076, 8.012532591581305, 9.745171948558948, 7.720753129341304, 17.669617245330933, 19.450119268440417, 13.43228593076293, 15.338609054437342, 7.707723187215457, 2.856691209330876, 2.8840793864762233, 3.746040673676056, 0.8546955972389583, 2.631467479482197, 3.0643147754464195, 1.3113603461563486, 24.55115715606782, 1.7848911012182462, 0.7995096149868992, -8.722150148173341, -54.050677542682266, -666.4589726249571, 14.413257008106545]"
