random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
1,[8],"[0, 45, 18, 5, 52, 37, 56, 30, 26, 58, 46, 48, 15, 29, 28, 50, 16, 47, 23, 49, 27, 22, 38, 21, 24, 54, 4, 19, 51, 57, 20, 40, 39, 33, 41, 42, 7, 43, 53, 44, 35, 6, 55, 11, 1, 17, 34, 36, 12, 14, 2, 3, 13, 32, 31, 10, 9, 25, 59]","[1.0, 3.0, 6.0, 2.0, 6.0, 56.0, 3.0, 47.0, 80.0, 3.0, 2.0, 46.0, 2.0, 63.0, 81.0, 14.0, 8.0, 3.0, 1.0, 2.0, 73.0, 6.0, 46.0, 14.0, 15.0, 34.0, 1.0, 34.0, 77.0, 5.0, 19.0, 81.0, 73.0, 1.0, 75.0, 27.0, 13.0, 7.0, 31.0, 42.0, 24.0, 11.0, 2.0, 3.0, 2.0, 2.0, 2.0, 1.0, 1.0, 10.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 5.0, 1.0, 2.0]","[13.0, 17.09282144714006, 24.137549688723865, 16.544793095184232, 48.87354997731468, 37.27795085391158, 48.46080999736006, 55.169363531596346, 47.91785612413601, 174.20374929599487, 208.6673721621047, 147.49918752213438, 93.16322698063863, 36416.752260504494, 23222.6165874039, 103779.72383032824, 123.77064512567829, 75.33921737095403, 85.73498957201599, 48.59137962066052, 47.86089753470584, 45.54057081965394, 35.246484613296595, 25.81485449255888, 21.990419633928685, 18.180559571281965, 19.836858082381998, 17.908216868167592, 20.06433261755366, 32.90543552675784, 26.263267060211636, 25.598698520914695, 41.27406105492234, 50.72830149842781, 38.998058078475, 27.82081602749228, 23.78013726924735, 15.387781304226984, 11.264378010739982, 10.301070564163275, 7.62053367516657, -0.1764625474940793, -2.2797596787536882, -4.190289001885546, -11.054372346241031, -12.085220704588881, -11.04808745185959, -8.114672303895457, -7.48216677024158, -4.7345448600603675, -2.8585373284476923, -12.447107009773756, -10.64059049590454, -16.43331606161598, -14.603517959290823, -25.575832431141894, -22.65292515168141, -32.52915015161503, -37.36408786065712]"
2,[55],"[0, 57, 45, 51, 56, 18, 30, 37, 25, 29, 13, 27, 34, 47, 52, 46, 9, 23, 28, 16, 1, 53, 24, 26, 58, 20, 38, 49, 39, 33, 40, 41, 19, 21, 22, 54, 42, 6, 43, 7, 44, 8, 15, 35, 36, 10, 4, 17, 11, 12, 14, 2, 3, 32, 31, 5, 48, 59, 50]","[1.0, 5.0, 3.0, 77.0, 3.0, 6.0, 47.0, 56.0, 1.0, 63.0, 2.0, 73.0, 2.0, 3.0, 6.0, 2.0, 5.0, 1.0, 81.0, 8.0, 2.0, 31.0, 15.0, 80.0, 3.0, 19.0, 46.0, 2.0, 73.0, 1.0, 81.0, 75.0, 34.0, 14.0, 6.0, 34.0, 27.0, 11.0, 7.0, 13.0, 42.0, 13.0, 2.0, 24.0, 1.0, 1.0, 1.0, 2.0, 3.0, 1.0, 10.0, 2.0, 2.0, 1.0, 1.0, 2.0, 46.0, 2.0, 14.0]","[2.0, 1.973005621203163, 4.699630120668889, 5.874553549360067, 118.1302983704238, 177.7409498948502, 280.8702678162149, 273.4947215144846, 1069.977089496321, 837.3034157246716, 365.46233673894204, 768.7670706411068, 694.1576683938201, 103308.25664171635, 45191.276539215585, 38914.395162139495, 36903.63826741715, 210.90845003929763, 846.8011970257189, 115.84968528933969, 111.0796419342119, 43.98690371750209, 38.92206568607735, 29.157911985188548, 39.87686173021484, 33.852207588130284, 29.218148277514757, 31.04778746091454, 32.52702076165832, 47.33912369576677, 32.77102368195953, 38.74076191930999, 31.677018998016607, 29.85165169096784, 25.944907459308013, 27.242519938998058, 15.46676134956391, 18.242461942298945, 17.38997578504943, 14.274294871995565, 12.535039016110801, 8.133482510946308, 7.209720864236942, 6.644413868984884, 6.697007313762079, 5.042453088203132, 1.6695496633826608, 0.6857872678427412, 0.13374790512457224, -4.068122552447036, -2.9711119915319557, -0.9612286817144451, -6.701094293982756, -9.481230856054182, -8.647404810251658, -16.053993171793167, -17.182912663302893, -38.5530753439931, -3051.5263159294195]"
3,[15],"[0, 57, 54, 56, 47, 53, 25, 14, 28, 58, 30, 23, 13, 52, 9, 33, 29, 46, 27, 16, 49, 55, 37, 39, 40, 41, 1, 38, 43, 51, 26, 24, 20, 19, 21, 22, 44, 45, 42, 7, 36, 6, 8, 10, 34, 35, 11, 12, 2, 4, 17, 18, 3, 32, 31, 5, 48, 59, 50]","[1.0, 5.0, 34.0, 3.0, 3.0, 31.0, 1.0, 10.0, 81.0, 3.0, 47.0, 1.0, 2.0, 6.0, 5.0, 1.0, 63.0, 2.0, 73.0, 8.0, 2.0, 2.0, 56.0, 73.0, 81.0, 75.0, 2.0, 46.0, 7.0, 77.0, 80.0, 15.0, 19.0, 34.0, 14.0, 6.0, 42.0, 3.0, 27.0, 13.0, 1.0, 11.0, 13.0, 1.0, 2.0, 24.0, 3.0, 1.0, 2.0, 1.0, 2.0, 6.0, 2.0, 1.0, 1.0, 2.0, 46.0, 2.0, 14.0]","[2.0, 2.079273169760455, 4.282438945426252, 124.69979714342531, 84.11220104176941, 59.46672934284837, 71.88443580346049, 52.95007400413832, 230.75557551316967, 94.52487554936306, 136.49819782560542, 70.3297999853203, 32.52607405418166, 1841.356507553625, 1018.7580474714807, 78.9662244400813, 6763.345699902746, 18397805.567003004, 24.813829334748768, 61.323014907341715, 25.09475117640754, 22.718536975155487, 17.441244106617592, 16.766032367272302, 29.09082924484173, 40.017412748517714, 30.685156015760754, 27.866500751205024, 25.145948213685685, 19.585964159967446, 40.83303198121658, 46.099159805204636, 35.182866589392425, 28.217104334823915, 26.07041601496234, 22.334306333430405, 18.186704195943904, 22.55064865017269, 16.12214742193993, 12.130094839111692, 11.69660985391124, 8.57641808528858, 7.247710847750994, 4.740448269415367, 3.2835777031356983, 1.6910772189475836, 0.8902713813072793, 0.05324804145750761, -0.9717911711565677, -2.470190121550928, -4.949144326709856, -7.15791339424112, -6.70109429399384, -9.481230856049294, -8.647404810258223, -16.053993171836666, -17.18291266331584, -38.55307534395337, -3051.526315927003]"
4,[15],"[0, 57, 54, 56, 47, 53, 25, 14, 28, 58, 30, 23, 13, 52, 9, 33, 29, 46, 27, 16, 49, 55, 37, 39, 40, 41, 1, 38, 43, 51, 26, 24, 20, 19, 21, 22, 44, 45, 42, 7, 36, 6, 8, 10, 34, 35, 11, 12, 2, 4, 17, 18, 3, 32, 31, 5, 48, 59, 50]","[1.0, 5.0, 34.0, 3.0, 3.0, 31.0, 1.0, 10.0, 81.0, 3.0, 47.0, 1.0, 2.0, 6.0, 5.0, 1.0, 63.0, 2.0, 73.0, 8.0, 2.0, 2.0, 56.0, 73.0, 81.0, 75.0, 2.0, 46.0, 7.0, 77.0, 80.0, 15.0, 19.0, 34.0, 14.0, 6.0, 42.0, 3.0, 27.0, 13.0, 1.0, 11.0, 13.0, 1.0, 2.0, 24.0, 3.0, 1.0, 2.0, 1.0, 2.0, 6.0, 2.0, 1.0, 1.0, 2.0, 46.0, 2.0, 14.0]","[2.0, 2.079273169760455, 4.282438945426252, 124.69979714342531, 84.11220104176941, 59.46672934284837, 71.88443580346049, 52.95007400413832, 230.75557551316967, 94.52487554936306, 136.49819782560542, 70.3297999853203, 32.52607405418166, 1841.356507553625, 1018.7580474714807, 78.9662244400813, 6763.345699902746, 18397805.567003004, 24.813829334748768, 61.323014907341715, 25.09475117640754, 22.718536975155487, 17.441244106617592, 16.766032367272302, 29.09082924484173, 40.017412748517714, 30.685156015760754, 27.866500751205024, 25.145948213685685, 19.585964159967446, 40.83303198121658, 46.099159805204636, 35.182866589392425, 28.217104334823915, 26.07041601496234, 22.334306333430405, 18.186704195943904, 22.55064865017269, 16.12214742193993, 12.130094839111692, 11.69660985391124, 8.57641808528858, 7.247710847750994, 4.740448269415367, 3.2835777031356983, 1.6910772189475836, 0.8902713813072793, 0.05324804145750761, -0.9717911711565677, -2.470190121550928, -4.949144326709856, -7.15791339424112, -6.70109429399384, -9.481230856049294, -8.647404810258223, -16.053993171836666, -17.18291266331584, -38.55307534395337, -3051.526315927003]"
5,[39],"[0, 56, 57, 48, 8, 53, 58, 52, 37, 55, 28, 30, 47, 25, 9, 36, 50, 29, 6, 38, 23, 3, 33, 46, 15, 27, 54, 49, 40, 41, 16, 45, 26, 51, 24, 20, 19, 21, 22, 42, 43, 44, 7, 4, 35, 17, 1, 34, 18, 11, 14, 2, 12, 13, 32, 10, 31, 5, 59]","[1.0, 3.0, 5.0, 46.0, 13.0, 31.0, 3.0, 6.0, 56.0, 2.0, 81.0, 47.0, 3.0, 1.0, 5.0, 1.0, 14.0, 63.0, 11.0, 46.0, 1.0, 2.0, 1.0, 2.0, 2.0, 73.0, 34.0, 2.0, 81.0, 75.0, 8.0, 3.0, 80.0, 77.0, 15.0, 19.0, 34.0, 14.0, 6.0, 27.0, 7.0, 42.0, 13.0, 1.0, 24.0, 2.0, 2.0, 2.0, 6.0, 3.0, 10.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[73.0, 104.16562968538071, 150.77669156025758, 119.13619487753526, 110.02949658752645, 188.76844921602316, 183.30324154371073, 197.0639805940449, 191.91973628347284, 326.71003152408076, 3300.756357881513, 1214.4985111215444, 151.4225933985074, 605.4698961843541, 3935.158793777292, 653.0769104563933, 2226.03978354836, 15628.069841240533, 823.2241408019327, 176.85236216546036, 77.33977690478787, 51.41122119530337, 40.545538158825366, 2232953.535977071, 43.154902004116074, 38.824858179656424, 33.505236104092376, 31.02847516903031, 29.109142697446337, 37.64140115152748, 41.93947547254201, 34.33645964135894, 23.145415057076516, 43.09427508792554, 51.18052371037716, 38.3747432691255, 31.324304300229304, 28.896343598297083, 25.317850719492714, 24.21434285768737, 20.598685475185242, 15.278906296838517, 14.56245290232572, 10.929972793859552, 7.667337342398948, 5.565013698537999, 1.5122509693058603, 1.1941684250874687, 0.42396914797340557, -1.4630210231252292, -2.0610267993736926, 0.9351496652648343, -0.0047376593783319265, -0.3528354823690698, -6.625774062240627, -6.59372896631853, -7.390882810056247, -8.418459564685257, -37.36408786063444]"
6,[50],"[0, 52, 9, 10, 45, 15, 14, 16, 49, 46, 48, 47, 25, 28, 30, 4, 29, 23, 2, 36, 3, 53, 31, 13, 54, 44, 43, 42, 57, 55, 32, 27, 56, 37, 41, 40, 39, 33, 38, 1, 26, 51, 24, 20, 19, 21, 22, 35, 34, 7, 8, 6, 17, 18, 12, 11, 5, 58, 59]","[1.0, 6.0, 5.0, 1.0, 3.0, 2.0, 10.0, 8.0, 2.0, 2.0, 46.0, 3.0, 1.0, 81.0, 47.0, 1.0, 63.0, 1.0, 2.0, 1.0, 2.0, 31.0, 1.0, 2.0, 34.0, 42.0, 7.0, 27.0, 5.0, 2.0, 1.0, 73.0, 3.0, 56.0, 75.0, 81.0, 73.0, 1.0, 46.0, 2.0, 80.0, 77.0, 15.0, 19.0, 34.0, 14.0, 6.0, 24.0, 2.0, 13.0, 13.0, 11.0, 2.0, 6.0, 1.0, 3.0, 2.0, 3.0, 2.0]","[14.0, 4.693726815528256, 5.055252645128559, 3.455077130017563, 12.564038766610716, 7.81965266821544, 9.692821103173213, 8.03480205417208, 7.687294717393121, 11.64885536644135, 7.586891473661893, 43.14759115591599, 58.68620533906255, 475.987207755217, 204.34042606156547, 49.30699689731489, 64853.9570052508, 213.98020322557852, 32.68616339768242, 11.529672688889331, 9.543538666104332, 13.773294020299296, 7.885813096290093, -2.1979951393371593, 0.7732682199311398, 5.172493935855247, 18.79729462524542, 11.324375902169258, 15.02596684882323, 4.556545963774198, -2.1138998360484145, -2.6169189863098836, 111.8173206211811, 18.592294717003675, 18.26096410035451, 28.836545216415995, 33.83907293043818, 39.53224134258076, 23.832953241287914, 11.748043453701758, 12.611288312251258, 41.352150480174195, 49.38257867395828, 36.766905915471156, 28.504181064688552, 25.02080899806226, 22.12083794305554, 8.497061630297264, 8.543819913539721, 7.723408725273327, 7.029151486344471, 1.9142315017885032, 2.532317628154477, 0.2796340465759286, -2.8214865512669434, -5.355085231634924, -8.290149971846397, -27.961512161182203, -37.36408786064919]"
7,[20],"[0, 18, 57, 30, 28, 29, 27, 56, 58, 26, 59, 13, 50, 52, 48, 16, 54, 3, 47, 51, 24, 17, 49, 9, 53, 23, 22, 21, 19, 31, 12, 10, 36, 14, 42, 6, 38, 40, 41, 39, 33, 45, 43, 37, 44, 55, 35, 8, 34, 7, 2, 15, 1, 32, 11, 5, 4, 25, 46]","[1.0, 6.0, 5.0, 47.0, 81.0, 63.0, 73.0, 3.0, 3.0, 80.0, 2.0, 2.0, 14.0, 6.0, 46.0, 8.0, 34.0, 2.0, 3.0, 77.0, 15.0, 2.0, 2.0, 5.0, 31.0, 1.0, 6.0, 14.0, 34.0, 1.0, 1.0, 1.0, 1.0, 10.0, 27.0, 11.0, 46.0, 81.0, 75.0, 73.0, 1.0, 3.0, 7.0, 56.0, 42.0, 2.0, 24.0, 13.0, 2.0, 13.0, 2.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 2.0]","[19.0, 20.348284069824235, 32.03277593061684, 30.293743076218338, 49.725267841544685, 38.40367140826072, 35.14319881560115, 231.30388011799465, 236.63545806309224, 163.09164817956764, 504.162658821301, 817.7537029924426, 70372.68763378204, 53022.49279512305, 42105.173128884, 133.8819022119249, 338.2400298258581, 81.3648718369659, 54.7668102770258, 56.30003613703593, 44.41083024635009, 28.792151619629294, 35.93526308747823, 45.80349376305821, 30.70033725987014, 24.84678996830189, 21.2487883065769, 15.111014431837248, 14.22219862723432, 13.330283142640837, 5.463309049693635, 5.611002942037885, -17.44439121753385, -13.818472529703286, -13.191632815061894, 0.47372240129334386, 0.5188459341952694, 3.569708068665932, 27.541403139272006, 38.30973859464575, 40.5322201536037, 31.95722642482724, 22.68663392859162, 20.425980742045795, 19.158544640857144, 13.972573674531304, 11.953308465788723, 12.097231757899863, 9.066514638296212, 7.747951440156612, -3.573584395700891, -1.9936710257970844, -5.354523286718177, -7.549534449914063, -16.79659086636093, -18.005519274935068, -5.482433958269212, -34.32311009779414, -170171.56281821383]"
8,[14],"[0, 57, 16, 53, 52, 29, 34, 28, 30, 27, 26, 37, 23, 50, 56, 49, 22, 48, 47, 45, 24, 12, 51, 20, 19, 21, 9, 40, 41, 39, 43, 54, 38, 42, 44, 33, 35, 8, 36, 7, 6, 2, 15, 11, 46, 4, 1, 55, 13, 18, 17, 3, 5, 10, 32, 31, 58, 25, 59]","[1.0, 5.0, 8.0, 31.0, 6.0, 63.0, 2.0, 81.0, 47.0, 73.0, 80.0, 56.0, 1.0, 14.0, 3.0, 2.0, 6.0, 46.0, 3.0, 3.0, 15.0, 1.0, 77.0, 19.0, 34.0, 14.0, 5.0, 81.0, 75.0, 73.0, 7.0, 34.0, 46.0, 27.0, 42.0, 1.0, 24.0, 13.0, 1.0, 13.0, 11.0, 2.0, 2.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0]","[10.0, 11.269702709913904, 8.597912866596097, 7.590477042239121, 35.16347629784471, 35.96258438227805, 29.499963371061085, 71.6244854681009, 70.3246882680844, 42.473348655103045, 113.9848899567634, 172.70607996741643, 144.51942508879532, 99073.89722243659, 646.9657357076902, 53.004676910662965, 73.01511154031323, 5524395.869035379, 75.62782691512257, 59.994048934662715, 41.062638267176226, 28.572394660150167, 21.443181290465873, 18.726961825566832, 14.347712984017562, 14.279043837159406, 6.25140603678301, 6.464143103919923, 26.95491549302824, 27.255037142225774, 31.345303173467983, 23.197628617461305, 27.071669429918984, 28.752230589307146, 24.06160132396326, 14.061775119262165, 9.496407288635965, 3.7238046339480206, -5.567731188828475, -13.83141201455146, -7.235866134607932, -9.242652788758278, -7.192847645466827, -16.65440539694373, 1337037.8734877983, 4.58959519186617, -16.81038695589864, -14.11342743216419, -11.832499998096743, -14.377112367280382, -11.569876668779035, -13.531535873226325, -13.164638500274439, -12.691436677865678, -14.269238071821682, -14.535886455891866, -18.3259735608463, -32.52915015168685, -37.36408786062145]"
9,[29],"[0, 28, 30, 27, 56, 24, 47, 26, 16, 49, 57, 59, 53, 52, 9, 46, 58, 50, 14, 51, 22, 12, 31, 21, 19, 20, 23, 54, 17, 10, 13, 48, 36, 3, 2, 42, 6, 38, 4, 40, 41, 39, 33, 43, 37, 44, 45, 55, 7, 8, 35, 15, 34, 11, 18, 1, 32, 5, 25]","[1.0, 81.0, 47.0, 73.0, 3.0, 15.0, 3.0, 80.0, 8.0, 2.0, 5.0, 2.0, 31.0, 6.0, 5.0, 2.0, 3.0, 14.0, 10.0, 77.0, 6.0, 1.0, 1.0, 14.0, 34.0, 19.0, 1.0, 34.0, 2.0, 1.0, 2.0, 46.0, 1.0, 2.0, 2.0, 27.0, 11.0, 46.0, 1.0, 81.0, 75.0, 73.0, 1.0, 7.0, 56.0, 42.0, 3.0, 2.0, 13.0, 13.0, 24.0, 2.0, 2.0, 3.0, 6.0, 2.0, 1.0, 2.0, 1.0]","[63.0, 10.269216416784191, 63.633624513011355, 24.63891453639104, 148.0887912523035, 125.98052579960913, 94.20372722964973, 89.72946048938759, 82.26033344810378, 114.38934473678216, 336.84332835872914, 671.1498752112159, 190.58905282699195, 2952.1254286680696, 1158.7188895375039, 1278.1948436956882, 246.62587330986491, 42070.79549756368, 247.71227383881876, 61.713038279084984, 24.20528020198669, 21.147646697542076, 15.390167375385396, 12.580818019405644, 10.270179309298438, 17.038837291810733, 11.727615444920147, 5.501235456862428, -1.47228075590672, -1.5587034144419398, -4.25265197755764, -4.22127220780385, -11.68381587589559, -11.319417382204954, -12.194137142669465, -16.43237863396664, 0.013712830013066224, 0.1373191592078662, 7.940486408173829, 2.478038679521706, 25.58275218587282, 37.23739398136043, 37.817281965957704, 29.080686850421444, 22.817104656431013, 24.38869820749442, 26.765666888983855, 17.565732833135446, 12.979802362234725, 9.976764333116602, 7.042837027824344, 5.603707923720641, 4.651946779796965, 3.5841489472948, -4.317006181599481, -7.7056065428748965, -9.518724675105911, -10.158044975249194, -34.41488221255843]"
10,[36],"[0, 1, 33, 18, 22, 21, 58, 28, 29, 23, 30, 59, 48, 52, 46, 3, 6, 50, 47, 56, 9, 5, 11, 27, 54, 57, 26, 49, 51, 24, 42, 19, 20, 16, 38, 40, 41, 39, 44, 43, 45, 53, 37, 7, 8, 55, 35, 4, 14, 15, 12, 34, 2, 17, 13, 31, 32, 10, 25]","[1.0, 2.0, 1.0, 6.0, 6.0, 14.0, 3.0, 81.0, 63.0, 1.0, 47.0, 2.0, 46.0, 6.0, 2.0, 2.0, 11.0, 14.0, 3.0, 3.0, 5.0, 2.0, 3.0, 73.0, 34.0, 5.0, 80.0, 2.0, 77.0, 15.0, 27.0, 34.0, 19.0, 8.0, 46.0, 81.0, 75.0, 73.0, 42.0, 7.0, 3.0, 31.0, 56.0, 13.0, 13.0, 2.0, 24.0, 1.0, 10.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 2.52324540164049, 3.219222898182369, 5.286027058064803, 5.935413012628673, 349.0440636611321, 634.7141728437368, 445.9156670470158, 333.5714993235303, 2048.4046178715457, 9066.095973173984, 235853.21727377875, 209965.08291048126, 1672.6337022444375, 196.3256464596052, 422.3975249014518, 25776.493195319097, 48.57903181516959, 137.62459732952775, 39.604379608804265, 21.251083772959234, 14.15889660358971, 16.077956284698907, 23.895615282653054, 27.97356276576861, 20.959938417250182, 42.31178710501029, 27.97859487734993, 30.49681028589827, 25.068315186687606, 23.276879844369432, 24.355302928206005, 20.216128498169223, 16.687700278453615, 18.44659653269001, 28.97896187319128, 34.07033079828158, 33.92097440382585, 36.12446029039565, 29.099838663217227, 27.1630678018963, 24.677730367982708, 20.900365167226525, 15.276906024841178, 14.458061076984919, 13.232134500996967, 12.518539014020195, 8.687068949455817, 7.85578264769909, 6.000713844896811, 4.471911299008088, 2.633400168673024, 2.1313180609313527, -5.875729890554581, -9.733447656871629, -9.112879703261381, -10.484431726636672, -34.41488221258083]"
