random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
1,[8],"[0, 45, 18, 5, 52, 37, 34, 30, 24, 22, 58, 15, 27, 36, 10, 50, 7, 46, 6, 23, 16, 21, 19, 20, 38, 49, 26, 12, 35, 2, 32, 33, 17, 59, 1, 41, 40, 39, 56, 11, 42, 54, 13, 43, 31, 29, 53, 51, 25, 4, 44, 55, 9, 14, 57, 3, 28, 47, 48]","[86.0, 14.0, 87.0, 74.0, 31.0, 94.0, 68.0, 75.0, 89.0, 90.0, 37.0, 37.0, 91.0, 50.0, 79.0, 21.0, 90.0, 4.0, 84.0, 62.0, 32.0, 88.0, 86.0, 92.0, 95.0, 87.0, 88.0, 77.0, 90.0, 27.0, 92.0, 94.0, 83.0, 0.0, 70.0, 52.0, 43.0, 68.0, 26.0, 82.0, 44.0, 76.0, 76.0, 54.0, 82.0, 87.0, 94.0, 88.0, 85.0, 12.0, 21.0, 31.0, 91.0, 90.0, 2.0, 80.0, 91.0, 5.0, 1.0]","[94.0, 96.72854763142671, 189.1731409894616, 133.9602190885745, 277.9589239280316, 197.14533896712945, 170.92842495544915, 179.29131629939923, 157.95911780330783, 116.37651953377649, 506.4257211393861, 101.57639513275, 296.37953974211905, 175.4072778634303, 372.5710943084175, 943.8211747059504, 151.52314590269816, 13133071.840808457, 655.8308255322643, 108.66483160891585, 134.4776586608804, 86.75679108567022, 79.64194230822233, 80.26520833880295, 70.97551030550693, 71.1295219715152, 70.6387343362054, 65.6299973091418, 60.54206747845842, 57.12078752332832, 52.00060661043915, 58.94143617727832, 60.921790197667974, 60.66496536061118, 61.069774431490856, 49.71389532905363, 50.30164116686356, 47.65878374930611, 48.99222364638106, 46.304533099032426, 42.320280766003236, 31.016549181044297, 35.717455945419545, 32.339205810724465, 37.11733677410821, 2108.920603081306, 50.75954194347672, 38.9068543718992, 46.14622554597052, 43.12192498264339, 39.57807490922842, 35.96762192908538, 28.078672483220103, 30.798091175986684, 30.90627584542328, -8.001516779638195, 44.61628046095133, -1816.4402174821323, 10.717445736097218]"
2,[55],"[0, 36, 3, 15, 59, 16, 30, 29, 23, 45, 26, 12, 17, 9, 18, 50, 48, 28, 52, 56, 49, 24, 13, 22, 21, 20, 19, 27, 25, 10, 37, 31, 32, 54, 51, 53, 34, 14, 2, 57, 38, 6, 42, 35, 40, 41, 39, 8, 1, 33, 43, 44, 7, 5, 11, 58, 47, 4, 46]","[86.0, 50.0, 80.0, 37.0, 0.0, 32.0, 75.0, 87.0, 62.0, 14.0, 88.0, 77.0, 83.0, 91.0, 87.0, 21.0, 1.0, 91.0, 31.0, 26.0, 87.0, 89.0, 76.0, 90.0, 88.0, 92.0, 86.0, 91.0, 85.0, 79.0, 94.0, 82.0, 92.0, 76.0, 88.0, 94.0, 68.0, 90.0, 27.0, 2.0, 95.0, 84.0, 44.0, 90.0, 43.0, 52.0, 68.0, 94.0, 70.0, 94.0, 54.0, 21.0, 90.0, 74.0, 82.0, 37.0, 5.0, 12.0, 4.0]","[31.0, 111.6477630067458, 112.27224293613173, 113.34241643693983, 222.4243976559612, 269.5771827712242, 1150.7352361303697, 404.58900102507306, 321.14298713264924, 221.44254918981966, 266.4518484799438, 248.43813165367152, 2292.1344301872327, 294.78272483716, 139.14881778687504, 2873689.342191942, 80255.2631707238, 2940.8685595248826, 324.6902153744013, 132.35375953587936, 103.03484642284457, 84.8786261806381, 81.66967788018519, 81.96678918524412, 83.2560851938033, 78.7428686737112, 80.58352932984417, 79.62333614398085, 75.12859078124166, 70.24348575115437, 65.07381533173611, 56.53419467192725, 55.230364194721915, 53.07724861931638, 53.57815415246296, 49.644957452081144, 49.19749468084774, 48.90630541939754, 54.33600845938781, 45.05187513836427, 41.545429877907736, 46.52974464785075, 52.77947788842721, 49.5852222602407, 42.05439881826169, 41.09398126482847, 39.7104479331756, 40.90642674145056, 54.39184466586448, 49.62826021149522, 49.42461488972185, 49.3117478271306, 39.77211273126886, 52.659929588917294, 33.570191651517234, 36.9788916791731, -8.66423999933977, -37.539455087538954, -967300.0888065038]"
3,[15],"[0, 25, 29, 12, 28, 57, 56, 52, 30, 53, 59, 34, 24, 9, 50, 16, 3, 46, 1, 31, 23, 36, 13, 14, 2, 27, 10, 20, 22, 21, 19, 18, 51, 17, 32, 37, 49, 26, 35, 54, 38, 5, 6, 42, 4, 8, 45, 33, 7, 11, 41, 40, 39, 44, 43, 55, 58, 47, 48]","[86.0, 85.0, 87.0, 77.0, 91.0, 2.0, 26.0, 31.0, 75.0, 94.0, 0.0, 68.0, 89.0, 91.0, 21.0, 32.0, 80.0, 4.0, 70.0, 82.0, 62.0, 50.0, 76.0, 90.0, 27.0, 91.0, 79.0, 92.0, 90.0, 88.0, 86.0, 87.0, 88.0, 83.0, 92.0, 94.0, 87.0, 88.0, 90.0, 76.0, 95.0, 74.0, 84.0, 44.0, 12.0, 94.0, 14.0, 94.0, 90.0, 82.0, 52.0, 43.0, 68.0, 21.0, 54.0, 31.0, 37.0, 5.0, 1.0]","[37.0, 150.8551935678401, 136.27687409359842, 135.86666492805912, 481.6342062777485, 406.1500498588903, 702.8839428229558, 257.4420041009724, 250.45585201756023, 271.1580278268906, 385.1172150099444, 227.43815210925, 2858.5416422933026, 517.2163581989489, 35423.817517297444, 394.684447904001, 150.18221088848077, 15597941.79317398, 534.0037087036563, 146.1859664849315, 104.50055184970881, 103.51689473253248, 86.864503600243, 79.07318664825652, 76.56142661353647, 75.18584970760946, 67.53421632881361, 67.47643852917749, 74.96805241292194, 79.54771763372386, 77.10936783881394, 69.97677216461307, 59.572261780186665, 55.05128746186956, 52.73400399962584, 48.948806265196865, 40.26852528073721, 61.60366058633966, 39.807207640312, 44.10894891097742, 55.76493778265454, 80.97167788879563, 67.70072709145985, 59.97096856200518, 55.40277564179796, 53.39285905053072, 59.09969220951558, 54.28929276137387, 57.20917201491454, 59.96959734347766, 59.7784606616066, 58.37479405235466, 54.228898594005955, 47.88625336314347, 43.51754839428756, 32.357512786791375, 28.915049924465322, -1816.440217487342, 10.71744573603435]"
4,[15],"[0, 25, 29, 12, 28, 57, 56, 52, 30, 53, 59, 34, 24, 9, 50, 16, 3, 46, 1, 31, 23, 36, 13, 14, 2, 27, 10, 20, 22, 21, 19, 18, 51, 17, 32, 37, 49, 26, 35, 54, 38, 5, 6, 42, 4, 8, 45, 33, 7, 11, 41, 40, 39, 44, 43, 55, 58, 47, 48]","[86.0, 85.0, 87.0, 77.0, 91.0, 2.0, 26.0, 31.0, 75.0, 94.0, 0.0, 68.0, 89.0, 91.0, 21.0, 32.0, 80.0, 4.0, 70.0, 82.0, 62.0, 50.0, 76.0, 90.0, 27.0, 91.0, 79.0, 92.0, 90.0, 88.0, 86.0, 87.0, 88.0, 83.0, 92.0, 94.0, 87.0, 88.0, 90.0, 76.0, 95.0, 74.0, 84.0, 44.0, 12.0, 94.0, 14.0, 94.0, 90.0, 82.0, 52.0, 43.0, 68.0, 21.0, 54.0, 31.0, 37.0, 5.0, 1.0]","[37.0, 150.8551935678401, 136.27687409359842, 135.86666492805912, 481.6342062777485, 406.1500498588903, 702.8839428229558, 257.4420041009724, 250.45585201756023, 271.1580278268906, 385.1172150099444, 227.43815210925, 2858.5416422933026, 517.2163581989489, 35423.817517297444, 394.684447904001, 150.18221088848077, 15597941.79317398, 534.0037087036563, 146.1859664849315, 104.50055184970881, 103.51689473253248, 86.864503600243, 79.07318664825652, 76.56142661353647, 75.18584970760946, 67.53421632881361, 67.47643852917749, 74.96805241292194, 79.54771763372386, 77.10936783881394, 69.97677216461307, 59.572261780186665, 55.05128746186956, 52.73400399962584, 48.948806265196865, 40.26852528073721, 61.60366058633966, 39.807207640312, 44.10894891097742, 55.76493778265454, 80.97167788879563, 67.70072709145985, 59.97096856200518, 55.40277564179796, 53.39285905053072, 59.09969220951558, 54.28929276137387, 57.20917201491454, 59.96959734347766, 59.7784606616066, 58.37479405235466, 54.228898594005955, 47.88625336314347, 43.51754839428756, 32.357512786791375, 28.915049924465322, -1816.440217487342, 10.71744573603435]"
5,[39],"[0, 59, 48, 28, 37, 34, 16, 5, 49, 30, 45, 52, 7, 50, 56, 46, 25, 24, 36, 29, 23, 1, 38, 3, 27, 53, 33, 20, 21, 22, 19, 18, 8, 15, 26, 4, 35, 41, 40, 11, 12, 58, 2, 32, 17, 51, 31, 13, 14, 44, 43, 42, 6, 54, 57, 10, 9, 55, 47]","[86.0, 0.0, 1.0, 91.0, 94.0, 68.0, 32.0, 74.0, 87.0, 75.0, 14.0, 31.0, 90.0, 21.0, 26.0, 4.0, 85.0, 89.0, 50.0, 87.0, 62.0, 70.0, 95.0, 80.0, 91.0, 94.0, 94.0, 92.0, 88.0, 90.0, 86.0, 87.0, 94.0, 37.0, 88.0, 12.0, 90.0, 52.0, 43.0, 82.0, 77.0, 37.0, 27.0, 92.0, 83.0, 88.0, 82.0, 76.0, 90.0, 21.0, 54.0, 44.0, 84.0, 76.0, 2.0, 79.0, 91.0, 31.0, 5.0]","[68.0, 99.56669443784307, 120.01699113334804, 113.69195749552023, 111.60383023624881, 109.09359339897293, 116.7389834196909, 146.6219654486871, 123.63212974023567, 219.8508489930806, 126.38852953887066, 578.771041611867, 255.60090513226226, 2341.325104563082, 821.7060477334585, 115298.46266905092, 323.12490451259214, 2618.9029837145226, 211.30271280890918, 9633.264461297123, 104.28233166379843, 117.17513863097304, 86.6001180364593, 84.58504953032511, 79.18825309673475, 79.6124753886427, 79.01719401128562, 75.4067074842143, 81.00575616342807, 81.10309007499076, 82.32335365590957, 79.26275775694262, 68.31305973996562, 68.71502264355607, 65.87272821631508, 68.39916826763692, 61.99224853706629, 61.91707766201972, 59.467818503948735, 52.11702767883817, 51.993305868409024, 49.52868495296198, 49.7142111803813, 39.89615842079803, 40.24173534876067, 42.65224490167279, 44.39324912839405, 34.57786385429836, 35.42502500222339, 43.36663421229882, 36.411717140217334, 34.58143952382804, 34.97475977885125, 39.305524183591345, 34.249332733275665, 31.46510172398291, 40.31074282411103, 31.94140032313409, -8.838029592976618]"
6,[50],"[0, 59, 56, 48, 49, 8, 34, 28, 16, 18, 30, 5, 57, 12, 52, 37, 29, 1, 46, 21, 22, 15, 38, 24, 19, 20, 23, 26, 7, 35, 36, 27, 4, 11, 53, 41, 33, 40, 39, 58, 3, 2, 47, 51, 32, 25, 17, 31, 13, 14, 44, 43, 45, 6, 42, 54, 10, 9, 55]","[86.0, 0.0, 26.0, 1.0, 87.0, 94.0, 68.0, 91.0, 32.0, 87.0, 75.0, 74.0, 2.0, 77.0, 31.0, 94.0, 87.0, 70.0, 4.0, 88.0, 90.0, 37.0, 95.0, 89.0, 86.0, 92.0, 62.0, 88.0, 90.0, 90.0, 50.0, 91.0, 12.0, 82.0, 94.0, 52.0, 94.0, 43.0, 68.0, 37.0, 80.0, 27.0, 5.0, 88.0, 92.0, 85.0, 83.0, 82.0, 76.0, 90.0, 21.0, 54.0, 14.0, 84.0, 44.0, 76.0, 79.0, 91.0, 31.0]","[21.0, 89.84267344120897, 137.08459100197393, 116.89769681036974, 100.06139813070436, 117.64873718710172, 144.282850195277, 267.26029274339874, 177.51669442661876, 358.0219704164266, 276.3348465477799, 167.0385244762209, 193.61686944366983, 145.20003577931422, 1491.4787746237691, 186.2051242019097, 9493.916713594492, 128.37500028482464, 233767.9498221292, 104.52557069904523, 92.70264919429016, 90.160478740267, 91.79778076332693, 90.59948816071793, 88.49482593599646, 86.91708509719632, 87.07493825878504, 87.6753939726552, 81.87163862138158, 79.89027008799043, 77.14127423734132, 70.59803530201407, 65.71718184744286, 66.27377260031993, 60.717862509497635, 65.16600255222131, 60.9366130264081, 65.40505866537296, 62.20628402578292, 55.38798626082826, 52.81367568316301, 52.00845430520671, 44.42079985782807, 37.71843034115998, 27.891159147142126, 49.15270228290888, 51.57005896277823, 45.65004029542281, 36.5055403748315, 37.36965394360058, 44.52737227207817, 37.52939598793017, 40.29961235460705, 31.491781283914392, 39.502754727486455, 33.870750724880814, 31.127004198106597, 39.50665980732741, 31.596306223712645]"
7,[20],"[0, 18, 57, 28, 52, 49, 3, 5, 25, 30, 58, 34, 9, 50, 23, 48, 46, 16, 14, 2, 13, 17, 31, 36, 29, 22, 24, 21, 26, 19, 10, 12, 27, 56, 32, 4, 59, 15, 51, 37, 54, 53, 38, 6, 35, 42, 11, 1, 8, 41, 40, 44, 7, 33, 39, 45, 43, 55, 47]","[86.0, 87.0, 2.0, 91.0, 31.0, 87.0, 80.0, 74.0, 85.0, 75.0, 37.0, 68.0, 91.0, 21.0, 62.0, 1.0, 4.0, 32.0, 90.0, 27.0, 76.0, 83.0, 82.0, 50.0, 87.0, 90.0, 89.0, 88.0, 88.0, 86.0, 79.0, 77.0, 91.0, 26.0, 92.0, 12.0, 0.0, 37.0, 88.0, 94.0, 76.0, 94.0, 95.0, 84.0, 90.0, 44.0, 82.0, 70.0, 94.0, 52.0, 43.0, 21.0, 90.0, 94.0, 68.0, 14.0, 54.0, 31.0, 5.0]","[92.0, 92.44942802327475, 97.63554425996006, 125.35126887593337, 122.98977388257964, 112.5946356760272, 127.18442531572873, 151.03884351024334, 223.52574995148495, 192.78367768490264, 212.58179840365995, 136.06827891407423, 145.61930826823232, 3974.1266255610235, 175.05773711851674, 1713.9045251089442, 309994.90629472997, 284.1636239582646, 111.76361515256974, 98.43990713517705, 82.98475151996973, 78.4390042780547, 79.46271464418305, 78.40210137732674, 131.94404160356004, 77.69139208844739, 80.82908170618754, 82.5621858797423, 78.32225318704003, 77.7459376146805, 72.51476022241457, 68.97984233729449, 63.22678756182778, 65.31478398878137, 64.13340249051569, 66.39856285938893, 56.3924506816425, 66.95092832988169, 49.742761707448004, 46.387526055942864, 44.84461522241915, 45.67920856551737, 47.110066087657586, 48.82985845868164, 41.96521997014683, 47.28136143331457, 45.193244440586156, 51.85900423035393, 54.86430866026849, 56.3613594096918, 55.57967642797182, 53.950852210343314, 48.651928445768405, 54.13671528258139, 56.945113524553264, 51.22257178825727, 44.875461000525405, 31.94140032311519, -8.838029593001863]"
8,[14],"[0, 57, 36, 59, 46, 49, 16, 15, 28, 30, 3, 12, 56, 18, 1, 50, 13, 35, 45, 9, 22, 21, 24, 19, 26, 20, 29, 37, 23, 2, 58, 27, 52, 10, 38, 8, 6, 42, 34, 44, 32, 17, 31, 54, 43, 41, 40, 33, 39, 53, 51, 7, 11, 5, 25, 4, 55, 47, 48]","[86.0, 2.0, 50.0, 0.0, 4.0, 87.0, 32.0, 37.0, 91.0, 75.0, 80.0, 77.0, 26.0, 87.0, 70.0, 21.0, 76.0, 90.0, 14.0, 91.0, 90.0, 88.0, 89.0, 86.0, 88.0, 92.0, 87.0, 94.0, 62.0, 27.0, 37.0, 91.0, 31.0, 79.0, 95.0, 94.0, 84.0, 44.0, 68.0, 21.0, 92.0, 83.0, 82.0, 76.0, 54.0, 52.0, 43.0, 94.0, 68.0, 94.0, 88.0, 90.0, 82.0, 74.0, 85.0, 12.0, 31.0, 5.0, 1.0]","[90.0, 90.5643123155173, 125.84228569724718, 129.67298418247762, 122.14905712006492, 120.76260080833214, 122.24577627923097, 163.78947471922345, 949.0742455984085, 299.3444539335861, 185.67144387550286, 172.8968906888601, 5934.202857524692, 2098.9151902050316, 118.57615438667972, 531.3454134754429, 259.6632916807457, 210.8213790753298, 72.49261479914935, 181.96511513497967, 102.92769022009497, 91.47101707415277, 81.80355265741355, 77.2705823942249, 73.44629759709687, 71.57511016039098, 99.42744467885495, 71.17304079698852, 71.04671253836432, 66.18047349649123, 77.51977813987696, 63.230026410409664, 66.3144785665072, 58.81502212052396, 49.092304547057665, 53.91198262054286, 61.799030588531195, 54.36114219363435, 47.12593719015081, 45.21251306811632, 43.82553467848584, 50.574297857803685, 54.74219074312009, 43.36528368859149, 41.79341712982273, 35.333509417100686, 37.71160647130728, 37.23005179803931, 43.16883794115529, 42.77472897742973, 36.671033641937356, 34.34632491753496, 38.92935169872476, 73.97526248733821, 48.8092175248638, 49.41763202977937, 34.07557612291929, -1816.4402174816505, 10.717445736062842]"
9,[29],"[0, 28, 30, 3, 54, 52, 56, 15, 34, 53, 24, 59, 16, 50, 23, 14, 49, 48, 45, 13, 36, 26, 12, 27, 37, 20, 19, 21, 22, 51, 31, 57, 18, 25, 32, 17, 9, 10, 2, 38, 6, 42, 35, 40, 41, 39, 8, 1, 33, 43, 44, 7, 5, 11, 58, 55, 47, 4, 46]","[86.0, 91.0, 75.0, 80.0, 76.0, 31.0, 26.0, 37.0, 68.0, 94.0, 89.0, 0.0, 32.0, 21.0, 62.0, 90.0, 87.0, 1.0, 14.0, 76.0, 50.0, 88.0, 77.0, 91.0, 94.0, 92.0, 86.0, 88.0, 90.0, 88.0, 82.0, 2.0, 87.0, 85.0, 92.0, 83.0, 91.0, 79.0, 27.0, 95.0, 84.0, 44.0, 90.0, 43.0, 52.0, 68.0, 94.0, 70.0, 94.0, 54.0, 21.0, 90.0, 74.0, 82.0, 37.0, 31.0, 5.0, 12.0, 4.0]","[87.0, 86.14950349059329, 89.96555998293036, 93.4259831160471, 103.35344190542466, 133.23734623057692, 118.6277431492413, 113.34275629076807, 191.29015951642276, 184.1691907234812, 333.7246703204029, 312.20898705744395, 302.9253034202182, 27827.97234403128, 129.69447648678351, 320.5365009081288, 259.95321635863365, 60459.51854490058, 147.96904293313855, 100.52616797023802, 91.69316939398414, 96.68694285769016, 90.74045108721475, 84.2196560184675, 71.22206079380703, 69.8356479377835, 70.07526019762736, 73.0764570615429, 76.68371725978795, 69.53769250793266, 63.95428237921442, 54.01758335219347, 57.759333468042314, 67.86773226350488, 59.35721210470365, 56.340002545082825, 57.66522343357792, 63.186321803354076, 57.00917663490691, 40.98858394473791, 46.95414492074633, 52.17672022720217, 50.31451196169655, 40.898036789149046, 40.214301674830494, 38.6531455834629, 41.041001628909726, 53.00476597715169, 49.25684950745199, 49.20196632438456, 49.162088343611686, 39.857051996310474, 52.59867070095788, 33.06658374022663, 36.363899036776274, 29.48281325591961, -8.664239999314304, -37.539455091409764, -967300.0888102836]"
10,[36],"[0, 58, 45, 3, 12, 5, 30, 52, 37, 15, 29, 23, 7, 18, 10, 50, 16, 46, 6, 8, 34, 49, 38, 1, 21, 22, 19, 24, 20, 11, 26, 35, 27, 2, 32, 33, 17, 53, 39, 41, 40, 31, 59, 56, 42, 13, 54, 51, 25, 28, 4, 43, 44, 55, 9, 14, 57, 47, 48]","[86.0, 37.0, 14.0, 80.0, 77.0, 74.0, 75.0, 31.0, 94.0, 37.0, 87.0, 62.0, 90.0, 87.0, 79.0, 21.0, 32.0, 4.0, 84.0, 94.0, 68.0, 87.0, 95.0, 70.0, 88.0, 90.0, 86.0, 89.0, 92.0, 82.0, 88.0, 90.0, 91.0, 27.0, 92.0, 94.0, 83.0, 94.0, 68.0, 52.0, 43.0, 82.0, 0.0, 26.0, 44.0, 76.0, 76.0, 88.0, 85.0, 91.0, 12.0, 54.0, 21.0, 31.0, 91.0, 90.0, 2.0, 5.0, 1.0]","[50.0, 123.75400047518326, 148.0998446028033, 147.9848277429386, 117.12695349397066, 160.2334209537873, 364.8503844915987, 259.23489267462435, 229.7660276193801, 177.01492369641136, 2252.413502060139, 806.4431628310996, 425.77695465926763, 1385.7678029855047, 277.39560292279646, 3365.5460192239966, 170.69569623786083, 568979177.424255, 1328.6699409789258, 83.57561823606629, 82.26072782683937, 83.5992262733666, 83.68360556471595, 69.40093641048406, 69.19629202524956, 79.40209354502349, 74.87275539887516, 77.3570163967681, 78.11508280826209, 66.69609436797525, 64.5339187995265, 67.58752037939746, 63.38400116716802, 59.16437071635201, 44.83018252946614, 60.21057149200891, 69.61377644579962, 53.60049398516894, 58.16824822079536, 60.085089820162096, 58.04697979900652, 50.809558023270384, 57.18173131370459, 56.43803362986067, 41.12567244265871, 39.71196242691859, 44.11602707069591, 35.56253415907425, 46.786966074129055, 42.24550924309216, 43.494406317343646, 38.3164593458782, 39.74968238767069, 36.22687908478592, 27.405332145082284, 30.839647787366957, 31.909438955537325, -1816.4402174803897, 10.71744573610684]"
