random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
1,[8],"[0, 59, 52, 28, 49, 34, 50, 9, 3, 14, 30, 16, 48, 15, 56, 35, 29, 1, 12, 45, 13, 2, 36, 44, 43, 7, 37, 22, 21, 18, 58, 24, 19, 47, 27, 10, 20, 41, 40, 57, 39, 25, 23, 53, 31, 32, 26, 38, 55, 42, 51, 33, 6, 54, 17, 11, 5, 4, 46]","[65.0, 0.0, 2.0, 25.0, 24.0, 11.0, 8.0, 44.0, 74.0, 76.0, 14.0, 22.0, 18.0, 28.0, 1.0, 47.0, 16.0, 82.0, 50.0, 17.0, 52.0, 49.0, 10.0, 37.0, 15.0, 18.0, 35.0, 36.0, 31.0, 8.0, 35.0, 44.0, 14.0, 12.0, 16.0, 10.0, 48.0, 40.0, 37.0, 4.0, 22.0, 8.0, 18.0, 18.0, 7.0, 18.0, 24.0, 30.0, 2.0, 23.0, 28.0, 9.0, 30.0, 43.0, 70.0, 28.0, 18.0, 24.0, 5.0]","[60.0, 69.62824750353552, 104.93036391636616, 100.20926066574032, 84.36117949845992, 231.53816230152574, 337.3213765518163, 334.2670099257407, 221.94816316399817, 320.27022326294673, 550.9572596284816, 130.60682005547986, 156.46791552442, 107.21783092332058, 4210.693186616273, 529.2367068842977, 15018.597393909295, 113.94117436313536, 82.12090264103608, 104.44562049186788, 37.824096875760006, 34.01518780218612, 23.938059877313208, 18.33915471813816, 23.315149659349117, 15.335891668350087, 11.362179175004712, 22.81847480914439, 32.5274832904106, 26.182687945882208, 14.799800812848844, 14.944457003686693, 23.868715121410787, 13.805803749943152, 9.896081076789415, 9.789475633064285, 9.253798437974183, 6.260897486223257, 13.279044361814158, 15.543026499653934, 11.639343885399285, 11.470956007789937, 9.9150854768086, 10.485067814050126, 8.228069404824055, 6.55685836050543, 5.920245922869071, 5.436161314952187, 2.359602348820772, 0.08482761951745488, -1.7361106103635393, -6.337364128252375, -6.410913162559154, -6.836681206928915, -5.393395785038592, -1.3068673879897688, 6.219067671336234, -147.45064417630056, -125211.16871454638]"
2,[55],"[0, 36, 3, 15, 59, 16, 30, 29, 23, 45, 12, 25, 28, 31, 47, 53, 9, 10, 50, 49, 1, 37, 8, 52, 13, 14, 2, 44, 43, 48, 58, 24, 22, 21, 19, 20, 27, 34, 57, 35, 18, 41, 40, 7, 39, 32, 26, 38, 42, 56, 51, 33, 6, 54, 17, 11, 5, 4, 46]","[65.0, 10.0, 74.0, 28.0, 0.0, 22.0, 14.0, 16.0, 18.0, 17.0, 50.0, 8.0, 25.0, 7.0, 12.0, 18.0, 44.0, 10.0, 8.0, 24.0, 82.0, 35.0, 60.0, 2.0, 52.0, 76.0, 49.0, 37.0, 15.0, 18.0, 35.0, 44.0, 36.0, 31.0, 14.0, 48.0, 16.0, 11.0, 4.0, 47.0, 8.0, 40.0, 37.0, 18.0, 22.0, 18.0, 24.0, 30.0, 23.0, 1.0, 28.0, 9.0, 30.0, 43.0, 70.0, 28.0, 18.0, 24.0, 5.0]","[2.0, 94.3783467168179, 97.5051918787996, 96.96982644115431, 199.57314526387373, 232.0994463812525, 1008.5652810084977, 336.0370493348262, 239.95831269478867, 179.07559495152904, 212.31527621054053, 590.0349538839625, 337.520986954871, 312.5161954200614, 1348.8885075198593, 291.4880138603621, 1087.415232233354, 765.0696951394784, 63649.37715514682, 68.48933552356903, 76.6086359093606, 53.18597382461303, 38.57009490413475, 31.98209420411149, 22.790939810161944, 34.735632537922356, 35.15599850710714, 32.12412374812993, 31.691547856171383, 19.475300197518663, 16.800970115786185, 24.26596594712464, 46.040338294027606, 38.8154121452244, 28.623849350755336, 22.697186373261502, 18.64623483089963, 16.704788364149863, 13.523542440583697, 12.999580834322842, 22.564048364351038, 8.713016020716168, 13.40844784246292, 13.586893118714215, 12.879051313750097, 7.064589085552143, 5.480211302317912, 5.5531307518685935, 0.13108850715798326, -2.128421490051551, -1.7361106098105665, -6.337364128237823, -6.410913162268116, -6.836681207219954, -5.393395785533357, -1.3068673900415888, 6.219067669429933, -147.4506441805861, -125211.1687189784]"
3,[15],"[0, 25, 12, 28, 57, 56, 52, 30, 53, 59, 7, 24, 36, 29, 9, 50, 1, 3, 37, 16, 35, 18, 45, 22, 14, 8, 48, 21, 13, 2, 44, 43, 34, 19, 49, 58, 47, 27, 20, 10, 41, 40, 39, 23, 31, 32, 26, 38, 55, 42, 51, 33, 6, 54, 17, 11, 5, 4, 46]","[65.0, 8.0, 50.0, 25.0, 4.0, 1.0, 2.0, 14.0, 18.0, 0.0, 18.0, 44.0, 10.0, 16.0, 44.0, 8.0, 82.0, 74.0, 35.0, 22.0, 47.0, 8.0, 17.0, 36.0, 76.0, 60.0, 18.0, 31.0, 52.0, 49.0, 37.0, 15.0, 11.0, 14.0, 24.0, 35.0, 12.0, 16.0, 48.0, 10.0, 40.0, 37.0, 22.0, 18.0, 7.0, 18.0, 24.0, 30.0, 2.0, 23.0, 28.0, 9.0, 30.0, 43.0, 70.0, 28.0, 18.0, 24.0, 5.0]","[28.0, 113.97228902061397, 126.509112770076, 597.8641079486761, 521.0681261799189, 869.2480823582943, 281.33704577345617, 254.73528888783034, 287.9408601144321, 521.7859778970012, 261.15111376419514, 2018.5317153064213, 158.0720918374409, 22335.53549459902, 702.6767797567838, 9362.008499657728, 166.9421943249181, 134.25791349849897, 64.27827659240575, 63.87532752600964, 51.40999288481544, 47.10590438626241, 49.178246983879944, 40.69638604405918, 38.78225703063072, 42.3830100769992, 265.18804447332514, 38.63021510755061, 37.96172187503544, 37.09393901741714, 31.805164848221466, 31.192447153443936, 27.334665257381857, 25.71738374978304, 21.85305522955605, 18.323838255993905, 15.41494079430413, 15.161004847905133, 13.931579172683996, 12.518118540159776, 9.888787602903903, 13.966589862131514, 12.69507664005505, 10.512119856255595, 8.2280694051733, 6.556858361014747, 5.920245922709, 5.436161314864876, 2.359602349315537, 0.0848276199249085, -1.7361106096068397, -6.3373641279904405, -6.410913163083023, -6.836681207045331, -5.393395786755718, -1.3068673891830258, 6.219067669881042, -147.45064417986578, -125211.16871743275]"
4,[15],"[0, 25, 12, 28, 57, 56, 52, 30, 53, 59, 7, 24, 36, 29, 9, 50, 1, 3, 37, 16, 35, 18, 45, 22, 14, 8, 48, 21, 13, 2, 44, 43, 34, 19, 49, 58, 47, 27, 20, 10, 41, 40, 39, 23, 31, 32, 26, 38, 55, 42, 51, 33, 6, 54, 17, 11, 5, 4, 46]","[65.0, 8.0, 50.0, 25.0, 4.0, 1.0, 2.0, 14.0, 18.0, 0.0, 18.0, 44.0, 10.0, 16.0, 44.0, 8.0, 82.0, 74.0, 35.0, 22.0, 47.0, 8.0, 17.0, 36.0, 76.0, 60.0, 18.0, 31.0, 52.0, 49.0, 37.0, 15.0, 11.0, 14.0, 24.0, 35.0, 12.0, 16.0, 48.0, 10.0, 40.0, 37.0, 22.0, 18.0, 7.0, 18.0, 24.0, 30.0, 2.0, 23.0, 28.0, 9.0, 30.0, 43.0, 70.0, 28.0, 18.0, 24.0, 5.0]","[28.0, 113.97228902061397, 126.509112770076, 597.8641079486761, 521.0681261799189, 869.2480823582943, 281.33704577345617, 254.73528888783034, 287.9408601144321, 521.7859778970012, 261.15111376419514, 2018.5317153064213, 158.0720918374409, 22335.53549459902, 702.6767797567838, 9362.008499657728, 166.9421943249181, 134.25791349849897, 64.27827659240575, 63.87532752600964, 51.40999288481544, 47.10590438626241, 49.178246983879944, 40.69638604405918, 38.78225703063072, 42.3830100769992, 265.18804447332514, 38.63021510755061, 37.96172187503544, 37.09393901741714, 31.805164848221466, 31.192447153443936, 27.334665257381857, 25.71738374978304, 21.85305522955605, 18.323838255993905, 15.41494079430413, 15.161004847905133, 13.931579172683996, 12.518118540159776, 9.888787602903903, 13.966589862131514, 12.69507664005505, 10.512119856255595, 8.2280694051733, 6.556858361014747, 5.920245922709, 5.436161314864876, 2.359602349315537, 0.0848276199249085, -1.7361106096068397, -6.3373641279904405, -6.410913163083023, -6.836681207045331, -5.393395786755718, -1.3068673891830258, 6.219067669881042, -147.45064417986578, -125211.16871743275]"
5,[39],"[0, 59, 3, 49, 45, 25, 18, 5, 30, 29, 34, 23, 52, 1, 9, 16, 48, 46, 28, 15, 8, 7, 12, 37, 2, 11, 14, 13, 36, 35, 44, 43, 22, 21, 10, 24, 50, 19, 20, 58, 31, 27, 47, 41, 40, 56, 57, 26, 4, 38, 32, 53, 55, 42, 51, 6, 33, 17, 54]","[65.0, 0.0, 74.0, 24.0, 17.0, 8.0, 8.0, 18.0, 14.0, 16.0, 11.0, 18.0, 2.0, 82.0, 44.0, 22.0, 18.0, 5.0, 25.0, 28.0, 60.0, 18.0, 50.0, 35.0, 49.0, 28.0, 76.0, 52.0, 10.0, 47.0, 37.0, 15.0, 36.0, 31.0, 10.0, 44.0, 8.0, 14.0, 48.0, 35.0, 7.0, 16.0, 12.0, 40.0, 37.0, 1.0, 4.0, 24.0, 24.0, 30.0, 18.0, 18.0, 2.0, 23.0, 28.0, 30.0, 9.0, 70.0, 43.0]","[22.0, 97.40932560151396, 89.64032596066669, 86.35632019441759, 128.961262362272, 238.45863638258146, 406.2079408269966, 295.487622950752, 463.5239653220031, 298.1088482680487, 219.08654679568255, 1232.684999094753, 4940.983903434202, 466.3703039575594, 2592.9383945003465, 277.0463341608447, 21636.975694932105, 100426804.76069285, 140.27837169647148, 83.9338338601855, 53.64489912164113, 54.13239598840565, 51.20197468292787, 43.77108442205706, 43.05650747585183, 42.93866402218471, 40.71467007544467, 39.87079107034177, 35.64819147651141, 29.261142135626383, 29.927388432099647, 29.89671513880603, 29.941892178656637, 31.678865135190254, 26.775830829040256, 24.986748753339068, 201.92039518042282, 26.903587956389426, 18.129404479785173, 13.903441533536899, 12.959072100915233, 11.308191142238641, 10.014191570391631, 8.582304706271646, 14.269656383114004, 18.29744677417472, 11.601771017908128, 9.151695652526087, 9.89070628269084, 11.065064345780485, 10.450427133181687, 9.619161872028737, 6.752536298138541, 3.565369960981414, 3.881270172521372, 2.8726274990798224, -2.05564094970012, -4.686938586237755, 1.309780999597855]"
6,[50],"[0, 59, 56, 48, 16, 18, 49, 8, 25, 28, 30, 3, 45, 34, 5, 47, 1, 35, 46, 15, 12, 29, 7, 14, 2, 13, 11, 36, 44, 43, 4, 37, 22, 21, 24, 19, 20, 27, 58, 31, 23, 32, 26, 41, 40, 57, 39, 53, 38, 55, 51, 42, 33, 17, 54, 6, 9, 10, 52]","[65.0, 0.0, 1.0, 18.0, 22.0, 8.0, 24.0, 60.0, 8.0, 25.0, 14.0, 74.0, 17.0, 11.0, 18.0, 12.0, 82.0, 47.0, 5.0, 28.0, 50.0, 16.0, 18.0, 76.0, 49.0, 52.0, 28.0, 10.0, 37.0, 15.0, 24.0, 35.0, 36.0, 31.0, 44.0, 14.0, 48.0, 16.0, 35.0, 7.0, 18.0, 18.0, 24.0, 40.0, 37.0, 4.0, 22.0, 18.0, 30.0, 2.0, 28.0, 23.0, 9.0, 70.0, 43.0, 30.0, 44.0, 10.0, 2.0]","[8.0, 68.36972901767557, 103.71219868400573, 86.40612398045272, 79.26535364942552, 98.9694463806789, 104.27050781532998, 187.6051733705884, 452.59626944979806, 1521.4352499390166, 483.52116988124, 250.28564179251293, 211.0564342384013, 222.62147402519727, 216.17173538659955, 280.64417258262984, 116.37144364182677, 193.95657839707565, 377544.3321287485, 80.49695269884633, 64.8880690071153, 252.69959227526363, 43.04513351178546, 57.38256390359918, 51.50102103099951, 41.215059505127314, 31.530673446201778, 26.15480782827373, 13.135269976465867, 19.575454156852114, 6.382997280989883, 1.8232745626519318, 5.678544165781204, 22.352184486550602, 15.061399202963106, 22.661900767127616, 11.11399470665664, 10.940747653606003, 10.238613859755926, 9.632068566721863, 8.044893504254993, 8.862183594458138, 8.497714133352126, 7.4352507016434295, 14.585612844765098, 16.93589102898814, 13.814930001371938, 13.786337424486494, 11.19212610649133, 4.328849972100425, 3.168978385545387, 2.2656590215191876, -2.1751854006806965, -9.260570382752789, -2.415016777151017, -42.61029763111563, 61.556803743769365, 34.825574668756666, 13.315607764997122]"
7,[20],"[0, 59, 48, 49, 45, 25, 5, 28, 16, 30, 12, 29, 23, 53, 3, 1, 10, 50, 8, 35, 37, 22, 7, 15, 34, 21, 18, 2, 14, 36, 13, 24, 11, 19, 44, 43, 31, 9, 32, 58, 27, 47, 41, 40, 52, 39, 38, 26, 56, 57, 42, 55, 6, 33, 51, 54, 17, 4, 46]","[65.0, 0.0, 18.0, 24.0, 17.0, 8.0, 18.0, 25.0, 22.0, 14.0, 50.0, 16.0, 18.0, 18.0, 74.0, 82.0, 10.0, 8.0, 60.0, 47.0, 35.0, 36.0, 18.0, 28.0, 11.0, 31.0, 8.0, 49.0, 76.0, 10.0, 52.0, 44.0, 28.0, 14.0, 37.0, 15.0, 7.0, 44.0, 18.0, 35.0, 16.0, 12.0, 40.0, 37.0, 2.0, 22.0, 30.0, 24.0, 1.0, 4.0, 23.0, 2.0, 30.0, 9.0, 28.0, 43.0, 70.0, 24.0, 5.0]","[48.0, 73.95925022787812, 102.39784072129927, 82.61907104616319, 193.36890082734584, 206.20268027644977, 181.48818837321213, 324.2713307871172, 256.8831752684976, 304.6541751670325, 129.68756613384738, 349.8510802423274, 233.0095296601852, 490.36812223223285, 270.67638490231366, 175.10409889276343, 1540.8030180842616, 61541983.391392596, 128.33151348491083, 87.61013570498471, 63.04581525785761, 56.47476322539296, 55.53765162569471, 55.64357437225772, 52.08494630894711, 47.30311810616695, 40.50901586965483, 36.0354115064838, 36.055141886128695, 36.77632081410957, 34.636245661549765, 32.755292969188304, 32.71694512794966, 30.651114694599528, 26.42787448964009, 28.124895649154496, 13.998860241725197, 13.436806579153199, 10.301625701198645, 10.295605131872435, 10.077401217145962, 9.829322210345708, 7.926403064229817, 14.82268185648718, 18.65356277483079, 14.87298296003064, 15.08349849489241, 15.906583414453053, 11.743553739659546, 11.635352263692766, 9.122609388708952, 9.362318993087683, 7.894645278909593, -0.6468263616479817, -2.8214986790480907, -3.702003719881759, -0.6444322958486737, -147.4506441780468, -125211.16871636077]"
8,[14],"[0, 57, 36, 59, 15, 28, 16, 30, 12, 5, 29, 8, 25, 18, 46, 50, 56, 3, 45, 48, 2, 1, 35, 7, 13, 44, 43, 34, 11, 49, 37, 22, 21, 24, 19, 20, 58, 47, 27, 31, 4, 23, 32, 26, 41, 40, 39, 53, 38, 55, 51, 42, 33, 17, 54, 6, 9, 10, 52]","[65.0, 4.0, 10.0, 0.0, 28.0, 25.0, 22.0, 14.0, 50.0, 18.0, 16.0, 60.0, 8.0, 8.0, 5.0, 8.0, 1.0, 74.0, 17.0, 18.0, 49.0, 82.0, 47.0, 18.0, 52.0, 37.0, 15.0, 11.0, 28.0, 24.0, 35.0, 36.0, 31.0, 44.0, 14.0, 48.0, 35.0, 12.0, 16.0, 7.0, 24.0, 18.0, 18.0, 24.0, 40.0, 37.0, 22.0, 18.0, 30.0, 2.0, 28.0, 23.0, 9.0, 70.0, 43.0, 30.0, 44.0, 10.0, 2.0]","[76.0, 77.55185886767255, 97.93907986018675, 118.84261663202507, 101.593851047049, 218.92257749319458, 179.0277516789153, 266.97180030113634, 156.52541213991822, 313.57846475366966, 566.0034625816567, 372.38111448680706, 564.8960374714754, 1702.9224568011446, 9546.997608693642, 459.2027596091575, 402.88960723939044, 280.6152888857955, 76.78496161129107, 1292.7293598429053, 51.87786058415215, 52.02083270271595, 57.041913714185206, 45.969897752944235, 39.755047475149624, 30.83574933615175, 30.01741224440155, 24.875183393513517, 16.80901500136704, 7.581469265582079, 10.533004910763985, 17.16843095173317, 26.09645490296327, 19.276084229503955, 23.99528471751328, 12.93378959878343, 12.100380763888836, 14.147942999251473, 12.480624131457937, 9.490909879876561, 9.234868523380545, 8.370517941111842, 8.885819890335856, 8.429932322660452, 7.028360826357272, 13.46876977575005, 13.814930001280988, 13.786337424302321, 11.192126106555733, 4.328849972058361, 3.1689783855788107, 2.265659021589901, -2.175185400720487, -9.260570382690204, -2.4150167769177315, -42.61029762950514, 61.55680374294843, 34.82557466868334, 13.315607765236319]"
9,[29],"[0, 5, 12, 56, 55, 30, 37, 53, 58, 24, 27, 18, 7, 49, 50, 52, 48, 46, 14, 1, 11, 15, 2, 25, 8, 36, 16, 44, 22, 13, 45, 21, 35, 43, 59, 19, 34, 9, 10, 20, 23, 31, 41, 40, 39, 57, 47, 26, 38, 3, 28, 4, 32, 42, 51, 6, 33, 17, 54]","[65.0, 18.0, 50.0, 1.0, 2.0, 14.0, 35.0, 18.0, 35.0, 44.0, 16.0, 8.0, 18.0, 24.0, 8.0, 2.0, 18.0, 5.0, 76.0, 82.0, 28.0, 28.0, 49.0, 8.0, 60.0, 10.0, 22.0, 37.0, 36.0, 52.0, 17.0, 31.0, 47.0, 15.0, 0.0, 14.0, 11.0, 44.0, 10.0, 48.0, 18.0, 7.0, 40.0, 37.0, 22.0, 4.0, 12.0, 24.0, 30.0, 74.0, 25.0, 24.0, 18.0, 23.0, 28.0, 30.0, 9.0, 70.0, 43.0]","[16.0, 68.06722008077728, 89.9877381699284, 240.58619226887868, 326.5796492942949, 384.69684139980444, 241.9515119793189, 457.289617606039, 1361.742736884935, 169.31280824668343, 124.92459384964167, 121.46975927863309, 385.6175760443766, 165.6026326171268, 309867.9211054582, 300479.5275784633, 5857.6377175535745, 10419170.53113449, 90.36900751598142, 70.78721596104006, 72.29157713492792, 65.0799370619352, 58.30406088633421, 47.615771151649824, 49.89803846892275, 41.09298774846866, 58.34193838565018, 38.15428354306121, 36.66528564088128, 36.07400021330274, 36.125903675151264, 35.222809315562245, 30.877259333271716, 30.046425838448908, 27.818450488154536, 27.510981559565355, 21.206504173962752, 21.638835181359557, 20.604523560682093, 18.207949172726877, 18.361031839627564, 16.355821038981762, 11.184470281697411, 15.283044797469053, 15.043029006679102, 14.533865212565733, 10.656789433514355, 9.781773023782232, 10.950667447570993, 9.567748122433677, 165.4908934431523, 13.450202012294433, 10.612111101838828, 3.565369961029276, 3.881270172484765, 2.8726274991614495, -2.055640949734453, -4.686938586223885, 1.3097809995676144]"
10,[36],"[0, 58, 45, 3, 12, 5, 30, 52, 29, 15, 59, 23, 28, 7, 48, 50, 46, 53, 56, 16, 1, 25, 22, 37, 21, 8, 2, 11, 14, 13, 35, 49, 18, 24, 19, 34, 9, 10, 44, 43, 20, 31, 27, 47, 41, 40, 39, 57, 26, 4, 38, 32, 55, 42, 51, 6, 33, 17, 54]","[65.0, 35.0, 17.0, 74.0, 50.0, 18.0, 14.0, 2.0, 16.0, 28.0, 0.0, 18.0, 25.0, 18.0, 18.0, 8.0, 5.0, 18.0, 1.0, 22.0, 82.0, 8.0, 36.0, 35.0, 31.0, 60.0, 49.0, 28.0, 76.0, 52.0, 47.0, 24.0, 8.0, 44.0, 14.0, 11.0, 44.0, 10.0, 37.0, 15.0, 48.0, 7.0, 16.0, 12.0, 40.0, 37.0, 22.0, 4.0, 24.0, 24.0, 30.0, 18.0, 2.0, 23.0, 28.0, 30.0, 9.0, 70.0, 43.0]","[10.0, 122.67972294819668, 137.68167981594888, 117.1398060948112, 93.95717912021878, 147.1821760395069, 599.6833511636826, 325.3226561508912, 299.2799987939371, 251.88673959760595, 375.0676511607444, 904.2498376200294, 567.9591970709735, 365.85892324948065, 17015.561643820554, 4630059.294516572, 64507.11379792324, 494.358238525396, 119.8792012415667, 93.82092586306953, 51.203071308133985, 75.0483951394369, 51.352741836744826, 44.682219687701945, 40.08827143604496, 38.65937662820257, 38.63318575129698, 37.15453864473238, 34.90229645274024, 39.13372946217478, 34.65684848528839, 33.01878307362222, 31.420374240849924, 24.604445461640672, 27.710179743844805, 23.102984775031775, 23.221622014961582, 25.621731679580797, 25.4288063936091, 26.786556335494605, 18.513642740076975, 14.892668034467892, 12.066710110222303, 10.792334689967241, 7.779254786864911, 12.80543290458196, 13.014090365079955, 11.945949410724705, 9.683663290021453, 9.886674253500278, 12.115912699245168, 10.931863987082263, 6.752536297891158, 3.5653699611519443, 3.881270172618688, 2.872627499356309, -2.0556409497219477, -4.686938586370996, 1.3097809996657261]"
