random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[14, 35, 9, 3, 13, 51, 28, 40, 19, 20, 37, 16, 53, 26, 38, 27, 10, 41, 34, 30, 6, 11, 24, 39, 32, 7, 22, 29, 31, 49, 52, 0, 23, 21, 12, 8, 36, 33, 2, 15, 17, 50, 46, 18, 1, 45, 44, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([58], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([39], dtype=int64), array([76], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([47], dtype=int64), array([49], dtype=int64), array([51], dtype=int64), array([78], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([26], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([12], dtype=int64), array([11], dtype=int64), array([75], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[85.6883198849629, 61.90074178213085, 89.46011155105779, 44.26800387385557, 42.25427545108435, 39.089820917946966, 88.52632186024199, 43.491384353059146, 81.39924805370774, 78.15730482879663, 88.92856819802066, 41.36787371884565, 72.67774067147097, 73.03649819557492, 78.1143345530053, 65.28800357922987, 64.98724043233767, 40.374923247802585, 66.32813697958645, 60.137323881877734, 77.06258862455385, 54.11630547194554, 54.17934211334182, 51.25706500134058, 55.38453888363348, 68.09794065997137, 47.96975664347974, 44.88556415000416, 45.34343571495728, 43.922819970020115, 41.81792412925489, 46.0175305882856, 43.283215499608005, 41.40571138310593, 41.633979233881895, 48.93555171291316, 50.14174337002197, 30.11468785164986, 31.830539198558412, 31.756546030756404, 26.270304681895308, 26.196084598069277, 22.28843059110128, 21.98624039704973, 19.764308712469322, 17.67221134804314, 15.804293247545013, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
1,[8],"[14, 9, 3, 41, 28, 19, 35, 27, 40, 37, 29, 51, 20, 53, 26, 38, 34, 30, 24, 16, 22, 21, 10, 12, 6, 11, 7, 52, 23, 0, 49, 31, 39, 32, 36, 17, 33, 13, 2, 15, 46, 54, 50, 18, 1, 45, 44, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([34], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([39], dtype=int64), array([7], dtype=int64), array([47], dtype=int64), array([49], dtype=int64), array([3], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([17], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([58], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.95068949732813, 74.73518696318108, 46.23594787355656, 41.06875920290716, 87.18074229192518, 86.92009140938522, 84.9358196700572, 76.45644255167738, 77.67910071669907, 85.96513189537986, 72.15023324963961, 71.1852719806245, 68.43376041196292, 66.04677431494936, 67.10999281427074, 83.11935941322038, 65.687409294856, 62.10278347671827, 54.47935314390912, 53.89741211331188, 61.240023563721955, 56.06870639259305, 64.5363943873869, 44.69776906761059, 67.45704411668933, 56.605916433596434, 55.48374003743751, 44.258894627115225, 45.525860022321275, 47.31602859710441, 46.89157683585085, 42.61727557700411, 45.784424954187664, 46.555232992498205, 44.96482640808341, 29.968901635252546, 28.62830501535735, 29.1906266562261, 34.85977165146034, 27.80522913974846, 24.629430005121975, 24.211061067717218, 23.73253831620822, 21.98624039704973, 19.764308712469322, 17.67221134804314, 15.804293247545013, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
2,[55],"[14, 9, 3, 40, 19, 28, 35, 53, 37, 52, 27, 26, 39, 30, 38, 41, 10, 12, 6, 11, 13, 24, 16, 34, 29, 51, 32, 7, 20, 22, 23, 0, 49, 31, 21, 8, 2, 36, 15, 33, 50, 17, 54, 46, 18, 1, 45, 44, 56, 58, 42, 4, 5, 43, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([43], dtype=int64), array([62], dtype=int64), array([7], dtype=int64), array([76], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([49], dtype=int64), array([1], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([17], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([29], dtype=int64), array([37], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[84.10970051181086, 76.4601978051366, 47.40898822361967, 46.60695875986339, 87.24920757970337, 88.13416028378951, 86.95828820824062, 29.92664755499295, 79.3798534368935, 24.88975141398804, 22.82097985684145, 29.03737503443954, 33.6327815851743, 23.412918161566946, 86.1551627384485, 32.13242430738165, 75.70002148190855, 44.04118918871896, 81.17543930078415, 73.53047072722387, 39.254162397618884, 69.82795930832484, 68.53270048167032, 65.86267827080937, 67.04262014769988, 63.92435352311464, 55.81065271085729, 70.05510227555854, 50.52500112871027, 48.80528932920004, 45.113748305623794, 50.02888265847621, 44.87513173626778, 42.289419896922254, 41.501617565296776, 51.97974263447633, 34.205867477278694, 50.07572527502171, 28.20777014489593, 28.288871022965033, 26.601918842402693, 26.879030551009482, 26.942412585571585, 22.059923372338318, 22.718634921970086, 17.91376318257085, 16.594713201675322, 18.49610804343186, 9.679569354896493, 8.165128059146758, 7.130381445819863, 7.08678487877291, 27.18488368900816, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
3,[15],"[14, 9, 3, 28, 12, 13, 35, 27, 2, 49, 41, 38, 40, 24, 19, 37, 34, 30, 29, 26, 39, 10, 16, 6, 51, 32, 11, 7, 22, 52, 0, 31, 23, 53, 21, 8, 20, 36, 17, 54, 18, 33, 50, 46, 1, 45, 44, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([43], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([37], dtype=int64), array([79], dtype=int64), array([1], dtype=int64), array([49], dtype=int64), array([1], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([76], dtype=int64), array([3], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([78], dtype=int64), array([2], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([74], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([7], dtype=int64), array([11], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[81.21934395080129, 74.50758267235902, 43.52260927369322, 52.046853309260484, 47.85069204340961, 44.81609594718264, 89.45624075880528, 52.1117190556478, 47.154511276739896, 42.574100242645756, 37.81626791344031, 41.96718248030436, 40.277305430629724, 81.75615335707484, 77.22718867047625, 74.34436119148637, 74.36959982544674, 68.01969598728563, 66.51665210819628, 67.72369526769948, 67.06854262954624, 60.96021180515258, 62.11780752878319, 78.28767830326247, 57.35752069366161, 57.58662532564767, 55.95900687481366, 65.8376363388357, 50.98567644926824, 46.93729540008534, 47.52256935992694, 46.622084910652426, 45.27221391171824, 42.291089884322645, 43.36763438828865, 50.162961479282785, 38.35782178813083, 49.27697548546016, 28.960253630566637, 27.19785352420184, 25.420603523356252, 26.49250243243153, 22.961836707261643, 23.170144726100542, 19.764308712469322, 17.67221134804314, 15.804293247545013, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
4,[15],"[14, 9, 3, 28, 12, 13, 35, 27, 2, 49, 41, 38, 40, 24, 19, 37, 34, 30, 29, 26, 39, 10, 16, 6, 51, 32, 11, 7, 22, 52, 0, 31, 23, 53, 21, 8, 20, 36, 17, 54, 18, 33, 50, 46, 1, 45, 44, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([43], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([37], dtype=int64), array([79], dtype=int64), array([1], dtype=int64), array([49], dtype=int64), array([1], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([76], dtype=int64), array([3], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([78], dtype=int64), array([2], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([74], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([7], dtype=int64), array([11], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[81.21934395080129, 74.50758267235902, 43.52260927369322, 52.046853309260484, 47.85069204340961, 44.81609594718264, 89.45624075880528, 52.1117190556478, 47.154511276739896, 42.574100242645756, 37.81626791344031, 41.96718248030436, 40.277305430629724, 81.75615335707484, 77.22718867047625, 74.34436119148637, 74.36959982544674, 68.01969598728563, 66.51665210819628, 67.72369526769948, 67.06854262954624, 60.96021180515258, 62.11780752878319, 78.28767830326247, 57.35752069366161, 57.58662532564767, 55.95900687481366, 65.8376363388357, 50.98567644926824, 46.93729540008534, 47.52256935992694, 46.622084910652426, 45.27221391171824, 42.291089884322645, 43.36763438828865, 50.162961479282785, 38.35782178813083, 49.27697548546016, 28.960253630566637, 27.19785352420184, 25.420603523356252, 26.49250243243153, 22.961836707261643, 23.170144726100542, 19.764308712469322, 17.67221134804314, 15.804293247545013, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
5,[39],"[1, 35, 19, 28, 20, 41, 40, 37, 38, 34, 30, 29, 26, 14, 9, 51, 6, 27, 11, 10, 16, 22, 24, 7, 32, 8, 53, 49, 23, 21, 52, 0, 33, 31, 12, 54, 3, 36, 2, 15, 13, 18, 46, 17, 44, 50, 45, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([62], dtype=int64), array([34], dtype=int64), array([43], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([49], dtype=int64), array([3], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([74], dtype=int64), array([51], dtype=int64), array([74], dtype=int64), array([78], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([26], dtype=int64), array([17], dtype=int64), array([56], dtype=int64), array([29], dtype=int64), array([7], dtype=int64), array([79], dtype=int64), array([12], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([75], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([58], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[82.93977185854162, 87.01107385992886, 86.32139640677208, 84.82525079512989, 77.337794622459, 85.59609882065863, 75.72583892400858, 79.3005437908276, 87.66716957141907, 72.04028489935364, 73.46493821493596, 69.8086313495526, 70.05549168635478, 64.77927000440263, 76.07661129638292, 63.89576213778994, 76.98517614903892, 64.58196954353616, 63.26384091072448, 54.525160583086866, 59.569964606179354, 54.372934263799834, 51.82741124816405, 71.05832373101859, 48.859336914974534, 56.47931552753654, 44.72153325356645, 43.617758619091134, 43.42540461535751, 43.284387150688914, 43.628102529485794, 43.216359562837745, 36.53303301788857, 37.24628238320697, 34.68860929493865, 36.80300749209827, 33.642488869093185, 48.21398551294024, 30.66090052140858, 28.524976342479384, 28.096174904868274, 28.23642466554911, 23.070372945389348, 23.208239617504766, 18.55002768437989, 15.99941259396217, 18.407141220120543, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
6,[50],"[14, 40, 53, 10, 3, 19, 12, 28, 35, 27, 37, 38, 41, 13, 24, 34, 9, 26, 51, 16, 30, 29, 6, 11, 22, 7, 32, 20, 0, 8, 49, 39, 52, 23, 31, 21, 15, 2, 36, 17, 54, 18, 33, 46, 1, 45, 44, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([78], dtype=int64), array([55], dtype=int64), array([34], dtype=int64), array([75], dtype=int64), array([43], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([76], dtype=int64), array([49], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([3], dtype=int64), array([71], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([56], dtype=int64), array([39], dtype=int64), array([74], dtype=int64), array([29], dtype=int64), array([79], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([13], dtype=int64), array([37], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[84.40478117757196, 44.851707884906304, 37.654163446313476, 15.260619169521098, 55.34324451611412, 85.18599251384971, 48.60887086953361, 86.003045572023, 87.0485588149109, 75.4302154778016, 82.38328908773734, 49.82154186854673, 42.49436916884018, 35.266901742325636, 70.4931292594615, 67.87444653488392, 66.92990505682499, 68.60725758224193, 66.42452009124601, 64.24322972691112, 62.63794081788674, 55.92623677758971, 71.81430907944502, 54.85422477163534, 53.1419193822026, 67.99941295090119, 52.71293255109964, 46.298346362298, 47.87909745347474, 52.75770572990476, 45.30742300884298, 44.14572376097855, 43.332376983265334, 47.12992607610363, 40.80176729425605, 41.528508655064414, 38.14618675760319, 35.04094787325797, 52.82381011988864, 30.275454038995765, 26.484217836500626, 25.56473226716924, 25.626287486627394, 23.170144726100542, 19.764308712469322, 17.67221134804314, 15.804293247545013, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
7,[20],"[1, 53, 40, 29, 28, 9, 35, 26, 27, 39, 41, 30, 37, 38, 19, 34, 51, 16, 6, 24, 11, 22, 10, 7, 14, 8, 21, 23, 52, 0, 49, 32, 33, 31, 12, 54, 3, 36, 2, 15, 13, 18, 46, 17, 44, 50, 45, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([43], dtype=int64), array([71], dtype=int64), array([62], dtype=int64), array([47], dtype=int64), array([51], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([76], dtype=int64), array([49], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([74], dtype=int64), array([26], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([78], dtype=int64), array([17], dtype=int64), array([6], dtype=int64), array([29], dtype=int64), array([11], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([56], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([75], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([58], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.43317771571887, 65.24517219022076, 62.41025573503334, 58.891419133285524, 83.18425310222904, 82.6090708771183, 66.10493596698909, 54.276793096746985, 35.04164097928564, 59.33525997075861, 52.47633777723239, 51.6734800185624, 84.16003660506716, 72.21370884862274, 44.629915814139935, 42.90995269574694, 64.03754370185943, 62.37878977827613, 74.71518591496805, 52.69830402653799, 55.59784707295906, 54.82256495669975, 49.87723725306496, 70.85579511146152, 56.51883755087786, 59.34126604385859, 45.23934091032079, 43.24051043126265, 43.10766679974853, 40.14168338677693, 45.335718104896294, 47.11636980495384, 36.53303301788857, 37.24628238320697, 34.68860929493865, 36.80300749209827, 33.642488869093185, 48.21398551294024, 30.66090052140858, 28.524976342479384, 28.096174904868274, 28.23642466554911, 23.070372945389348, 23.208239617504766, 18.55002768437989, 15.99941259396217, 18.407141220120543, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
8,[14],"[1, 9, 3, 12, 41, 28, 19, 35, 27, 37, 30, 26, 16, 24, 53, 38, 10, 40, 34, 29, 51, 6, 20, 11, 32, 23, 22, 7, 0, 31, 39, 49, 8, 21, 52, 36, 17, 2, 33, 13, 15, 54, 18, 46, 44, 50, 45, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([34], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([26], dtype=int64), array([7], dtype=int64), array([49], dtype=int64), array([78], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([74], dtype=int64), array([39], dtype=int64), array([74], dtype=int64), array([56], dtype=int64), array([12], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([58], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[81.81408226900837, 89.62202621175346, 45.37675784946674, 42.903231467182614, 39.68246553536743, 85.55417842080432, 87.18617619255649, 88.89812771253503, 75.3617786631258, 80.0580273822865, 39.683012188528515, 47.46476012983162, 39.06031856654933, 77.17858667726853, 74.70816572054275, 81.06561389760888, 87.28940068804796, 71.62031831866211, 65.62779658025121, 63.317260710310144, 61.83423537517647, 74.17153225774814, 58.50294616477744, 55.40630523058972, 50.37521928606427, 49.08299584939545, 48.29102535014243, 70.83096956065306, 45.753402049969694, 45.51483602511065, 42.500354991121256, 44.896949693242284, 50.95521223718894, 46.278285250844085, 41.126359561670824, 48.41535248685247, 30.062802253491174, 29.254025404144503, 30.621804565939243, 28.84427058935299, 30.907576833670642, 32.92909121970786, 24.145499726945864, 21.64229896621252, 18.55002768437989, 15.99941259396217, 18.407141220120543, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
9,[29],"[1, 9, 28, 26, 40, 20, 35, 27, 39, 37, 38, 19, 34, 51, 6, 16, 30, 41, 24, 11, 10, 22, 7, 14, 32, 8, 53, 49, 23, 21, 52, 0, 33, 31, 12, 54, 3, 36, 2, 15, 13, 18, 46, 17, 44, 50, 45, 56, 58, 42, 4, 5, 55, 43, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([71], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([39], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([49], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([74], dtype=int64), array([2], dtype=int64), array([58], dtype=int64), array([1], dtype=int64), array([26], dtype=int64), array([74], dtype=int64), array([78], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([6], dtype=int64), array([56], dtype=int64), array([29], dtype=int64), array([7], dtype=int64), array([79], dtype=int64), array([12], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([75], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([58], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.4826882919122, 76.72990058033511, 23.616658077822457, 28.257212565725286, 52.748628413254245, 86.42092993622413, 89.54640840234542, 39.30596960648612, 79.0975329832261, 90.57850640134019, 87.9269593390666, 72.73070692825375, 70.47127260350113, 66.4129914879352, 82.89693550252733, 65.85416714537605, 61.76901276608689, 68.75470301642765, 57.11072404197995, 56.30830697492089, 57.02272871369999, 52.321581600734035, 68.62337603981034, 47.62849193944792, 48.859336914974534, 56.47931552753654, 44.72153325356645, 43.617758619091134, 43.42540461535751, 43.284387150688914, 43.628102529485794, 43.216359562837745, 36.53303301788857, 37.24628238320697, 34.68860929493865, 36.80300749209827, 33.642488869093185, 48.21398551294024, 30.66090052140858, 28.524976342479384, 28.096174904868274, 28.23642466554911, 23.070372945389348, 23.208239617504766, 18.55002768437989, 15.99941259396217, 18.407141220120543, 10.58745990065175, 8.450711188349139, 7.188016953371962, 7.207459669050142, 28.57794287121717, 3.0077631499248856, 2.0463742836210677, -3.5014936528705194, 2.4800094904791417, 11.366813832572218, 28.926505519584662, 40.27313174310289]"
