random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[14, 9, 16, 10, 12, 3, 6, 2, 13, 21, 0, 49, 11, 31, 32, 1, 17, 30, 27, 28, 26, 53, 37, 22, 19, 18, 38, 24, 35, 7, 29, 15, 20, 23, 41, 52, 8, 51, 40, 34, 4, 33, 46, 50, 39, 56, 36, 45, 42, 5, 58, 43, 44, 55, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([55], dtype=int64), array([74], dtype=int64), array([37], dtype=int64), array([58], dtype=int64), array([11], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([56], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([7], dtype=int64), array([76], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([49], dtype=int64), array([26], dtype=int64), array([62], dtype=int64), array([17], dtype=int64), array([47], dtype=int64), array([13], dtype=int64), array([39], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[85.6883198849629, 75.85887457684237, 45.16120853933729, 71.14524016980413, 36.15742629101958, 48.64183599467458, 47.30926901414786, 29.04044137639485, 26.537816682532082, 22.95839715629866, 75.30789282589348, 19.12031626853638, 60.818652353367625, 38.32977751881546, 32.62891141849218, 74.58214860107542, 11.037357069148538, 11.86361275258186, 24.854278327010476, 23.510296288803325, 16.02478470561735, 13.480405022222833, 13.388678082398744, 13.998424503258747, 15.339510644864035, 18.976105552586564, 22.53213971140027, 17.932985809471436, 23.05565227009165, 28.093593527483154, 18.789094890215228, 14.796315604579682, 13.575912022677715, 13.935673920754803, 13.437419902499036, 8.031319331847902, 17.16136218111369, 4.917774910777428, 6.567744968810904, 2.811823415380106, 8.537578308499898, 3.096695242395254, 1.8769405845763731, -0.059816349957989845, 0.7112175194205502, 0.6802585261110637, 0.42360864841509666, 0.6017221872893459, -0.5776709452435556, 31.117277855211256, -1.0737984262153342, -1.6723688891723971, -0.3641687292133443, -3.865272386213542, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
1,[8],"[14, 53, 9, 16, 10, 12, 3, 6, 13, 2, 0, 22, 21, 49, 32, 31, 30, 11, 27, 28, 26, 54, 18, 1, 7, 19, 24, 29, 20, 51, 23, 15, 4, 42, 38, 35, 41, 37, 52, 33, 40, 34, 58, 39, 46, 50, 43, 44, 36, 55, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([7], dtype=int64), array([71], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([55], dtype=int64), array([74], dtype=int64), array([58], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([79], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([47], dtype=int64), array([17], dtype=int64), array([34], dtype=int64), array([26], dtype=int64), array([47], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([49], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.95068949732813, 68.25378713286726, 89.03099173506115, 36.53613941958892, 72.41949375451391, 36.22578315240478, 33.180658845093774, 48.095569790205055, 27.438055678406783, 29.597841117655637, 74.56623731908128, 18.363424228841936, 27.036804310526243, 17.161494528183212, 46.14136729516858, 40.49886293706713, 11.628529148434563, 68.51361535302327, 20.29797537130898, 26.39946261758653, 20.656787730010972, 16.01959596154993, 9.135682764838428, 76.12482927251928, 24.67302958849334, 6.502877182684289, 10.50148755083172, 8.246448850349177, 11.636378907804323, 7.404359314678265, 10.710462890848536, 32.85316012385868, 4.8417303834747, 2.8638819997131653, 3.6961545632610817, 11.630136010503591, 11.189828580666147, 17.32694129408632, 6.402850433508487, 3.0329827354070718, 4.665255869668806, 2.4192480258596025, 3.164163041910708, 2.7607930023864995, 3.954407683874487, 0.5274305254339283, -1.140621007420052, -2.150057733939809, -1.1636246885115018, -2.2288074031470098, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
2,[55],"[14, 9, 38, 3, 20, 53, 10, 12, 6, 22, 0, 11, 2, 13, 21, 1, 30, 27, 28, 24, 26, 18, 16, 32, 49, 31, 19, 23, 7, 15, 29, 37, 35, 54, 51, 41, 52, 8, 44, 34, 4, 33, 46, 39, 40, 42, 50, 58, 36, 43, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([49], dtype=int64), array([55], dtype=int64), array([39], dtype=int64), array([7], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([37], dtype=int64), array([58], dtype=int64), array([11], dtype=int64), array([47], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([26], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([79], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([17], dtype=int64), array([13], dtype=int64), array([47], dtype=int64), array([76], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[84.10970051181086, 76.4601978051366, 30.579562553940725, 40.1607881330569, 56.132519404023526, 62.69888092455197, 64.38797642564425, 37.894350669295235, 36.396840372195584, 78.14045745725768, 63.353626552925995, 66.50653280805099, 23.38889153299956, 26.13238142474977, 20.877885629839714, 61.76799772594624, 16.130412740330566, 20.31536605486133, 23.04942494222038, 18.06916540943138, 18.608818377015673, 17.710076080685717, 21.335875130614312, 17.134037471985486, 19.134251235975768, 41.17419211752044, 17.941748765697344, 18.0370321232732, 29.186057532919982, 34.96559058439893, 9.885199844366431, 9.8431977948557, 22.541921320234856, 15.58374731132965, 7.879181809541702, 13.633696870236863, 6.387676911333482, 17.957924696016548, 4.215813267919645, 3.499348620682258, 2.830427541362475, 3.052475443101262, 1.6310467171136385, 1.0739185628800674, 8.675572733101424, 2.254815227621173, 1.5908643464903265, 0.8755145624443655, 0.1364147611853667, 0.0056915675495582685, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
3,[15],"[14, 9, 40, 16, 10, 12, 3, 13, 0, 6, 2, 11, 32, 38, 37, 49, 30, 27, 28, 26, 53, 54, 29, 31, 35, 22, 21, 1, 18, 7, 8, 19, 24, 20, 51, 52, 23, 41, 33, 46, 42, 44, 34, 4, 58, 39, 50, 43, 36, 55, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([55], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([56], dtype=int64), array([49], dtype=int64), array([76], dtype=int64), array([79], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([62], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([34], dtype=int64), array([26], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[81.21934395080129, 84.17829488443992, 52.177210352704286, 46.059016646862204, 72.28823722547159, 35.38608402542559, 62.560839624381764, 32.163911573835996, 73.77974890347105, 48.78260047125076, 25.34709503531558, 66.38537356786786, 19.056106040745995, 13.806479840974049, 17.99699442127625, 17.56700917693737, 14.509929870177771, 31.484470695142498, 33.420338347723785, 24.070718198923117, 19.08844063004334, 13.7640081479708, 15.424120051889007, 38.327511821159774, 21.042891312193518, 7.194192088532803, 12.75858796328243, 66.12468135957089, 8.839501616411384, 8.437311140088225, 16.325669698405175, 7.11755667100831, 11.560770012698505, 14.212411848690481, 8.161547509574943, 7.54394875290995, 12.103614247154319, 3.912487116680564, 2.283306971796272, 5.481089710162654, 4.419736535391651, 4.896114816957163, 3.5719688321441727, 2.534453161622068, 1.2537427096668128, 1.6465606278135918, 0.30003316851537276, -1.2479930345458912, -1.1636246885115018, -2.2288074031470098, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
4,[15],"[14, 9, 40, 16, 10, 12, 3, 13, 0, 6, 2, 11, 32, 38, 37, 49, 30, 27, 28, 26, 53, 54, 29, 31, 35, 22, 21, 1, 18, 7, 8, 19, 24, 20, 51, 52, 23, 41, 33, 46, 42, 44, 34, 4, 58, 39, 50, 43, 36, 55, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([55], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([56], dtype=int64), array([49], dtype=int64), array([76], dtype=int64), array([79], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([62], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([34], dtype=int64), array([26], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[81.21934395080129, 84.17829488443992, 52.177210352704286, 46.059016646862204, 72.28823722547159, 35.38608402542559, 62.560839624381764, 32.163911573835996, 73.77974890347105, 48.78260047125076, 25.34709503531558, 66.38537356786786, 19.056106040745995, 13.806479840974049, 17.99699442127625, 17.56700917693737, 14.509929870177771, 31.484470695142498, 33.420338347723785, 24.070718198923117, 19.08844063004334, 13.7640081479708, 15.424120051889007, 38.327511821159774, 21.042891312193518, 7.194192088532803, 12.75858796328243, 66.12468135957089, 8.839501616411384, 8.437311140088225, 16.325669698405175, 7.11755667100831, 11.560770012698505, 14.212411848690481, 8.161547509574943, 7.54394875290995, 12.103614247154319, 3.912487116680564, 2.283306971796272, 5.481089710162654, 4.419736535391651, 4.896114816957163, 3.5719688321441727, 2.534453161622068, 1.2537427096668128, 1.6465606278135918, 0.30003316851537276, -1.2479930345458912, -1.1636246885115018, -2.2288074031470098, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
5,[39],"[1, 16, 3, 14, 10, 9, 12, 13, 0, 6, 22, 21, 2, 32, 31, 49, 11, 30, 27, 28, 26, 18, 24, 53, 7, 37, 19, 20, 35, 38, 15, 23, 54, 52, 29, 41, 51, 8, 46, 42, 4, 34, 58, 33, 40, 50, 43, 44, 36, 55, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([6], dtype=int64), array([78], dtype=int64), array([71], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([37], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([26], dtype=int64), array([7], dtype=int64), array([17], dtype=int64), array([76], dtype=int64), array([34], dtype=int64), array([39], dtype=int64), array([62], dtype=int64), array([49], dtype=int64), array([13], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[82.93977185854162, 76.35535329183237, 61.14611739674966, 50.12891581748654, 56.374727975205445, 42.09095531327001, 38.51531118436953, 41.1684317566523, 75.67901155090227, 49.34608415858855, 96.88634380245813, 26.922832703483184, 39.07615588757164, 23.178794477852403, 20.398247937511325, 20.691346202014532, 70.09447496237767, 12.140337254730575, 19.5547587242556, 20.01980666494309, 15.914873293532704, 14.375352338842383, 11.3133594138053, 12.776068077420906, 30.552468347073383, 12.479082593271404, 16.791931759334485, 12.2803848685586, 13.045777201324896, 17.73175354159805, 36.98980005255141, 12.690843952799815, 12.611736060750777, 8.426454143052146, 12.252838465494982, 4.9905643564504105, 6.629842847764964, 14.04334664777198, 5.837151457970966, 4.117119695851399, 5.386237764837256, 4.1922453831165605, 1.9685839014899393, 1.1198415979955962, 5.691973569052847, 0.5274305254339283, -1.140621007420052, -2.150057733939809, -1.1636246885115018, -2.2288074031470098, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
6,[50],"[14, 9, 10, 53, 22, 12, 3, 6, 0, 21, 13, 2, 11, 32, 31, 16, 49, 1, 30, 27, 28, 26, 54, 7, 24, 19, 18, 20, 29, 23, 15, 51, 8, 4, 42, 58, 38, 35, 52, 37, 41, 33, 34, 46, 39, 40, 43, 44, 36, 55, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([6], dtype=int64), array([71], dtype=int64), array([78], dtype=int64), array([7], dtype=int64), array([24], dtype=int64), array([75], dtype=int64), array([55], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([11], dtype=int64), array([58], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([79], dtype=int64), array([47], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([39], dtype=int64), array([47], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([49], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[84.40478117757196, 75.60416941544582, 63.495167855235216, 68.8118203944803, 79.25005565745073, 35.51176454298008, 38.370897646926664, 51.08382520818872, 61.40095774185151, 32.93678920776282, 25.024872764097605, 36.04821286700942, 64.98003899866556, 18.278233881002336, 38.04884833897149, 37.70990260936094, 23.57601634313191, 72.26302830725128, 12.452147461511059, 23.639511400459515, 24.897874248823307, 19.509066382920615, 13.675634235316325, 14.517416367335565, 8.506918967411092, 9.876904844193371, 11.38998653217598, 12.873805700387196, 9.206473580261516, 12.03483753102595, 33.910587841290976, 5.335302008448301, 15.265253167360413, 4.415941236761661, 2.640975977390405, 6.2185474894656245, 2.5563582464408023, 7.409833610077463, 9.714304953102063, 19.464206467131554, 5.409359069257744, 2.228635693604546, 6.571236623784831, 2.4115223044226597, 1.3941355395402497, 5.932200400369825, -1.140621007420052, -2.150057733939809, -1.1636246885115018, -2.2288074031470098, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
7,[20],"[1, 16, 3, 9, 40, 14, 10, 12, 13, 0, 6, 22, 2, 37, 38, 49, 11, 24, 30, 27, 28, 26, 18, 32, 21, 31, 19, 54, 35, 23, 7, 15, 52, 29, 8, 51, 41, 53, 33, 46, 42, 44, 34, 4, 58, 39, 50, 43, 36, 55, 56, 17, 5, 45, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([24], dtype=int64), array([37], dtype=int64), array([76], dtype=int64), array([49], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([26], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([56], dtype=int64), array([11], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([0], dtype=int64), array([62], dtype=int64), array([12], dtype=int64), array([17], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([47], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.43317771571887, 76.69898177485115, 63.34850688878351, 55.244675673526004, 43.793743209724965, 54.37982058776986, 64.39570769626688, 44.61522773732932, 31.30752436654346, 73.0157098152262, 45.31797470717097, 94.86021799777126, 25.13207267004677, 22.023139483666053, 32.420634734084814, 21.428247641895048, 69.71231950052234, 18.106581541230437, 18.737232418410525, 28.041787388725698, 36.025956485078275, 29.605794175933788, 22.69211738300446, 17.39310731427337, 17.579580002019465, 37.07331999014382, 16.981689444683344, 12.946478383222885, 18.30418686358462, 20.795850546046864, 11.746697940949588, 38.23738443340977, 11.612231130384318, 11.91223416203554, 18.494069187983374, 5.8654687309501865, 4.3451358740540655, 5.033618188106671, 2.283306971796272, 5.481089710162654, 4.419736535391651, 4.896114816957163, 3.5719688321441727, 2.534453161622068, 1.2537427096668128, 1.6465606278135918, 0.30003316851537276, -1.2479930345458912, -1.1636246885115018, -2.2288074031470098, -2.1711515915988557, -1.9548013005635074, 31.29124594088913, -0.5156391842735057, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
8,[14],"[1, 9, 53, 18, 16, 10, 12, 3, 13, 22, 0, 6, 2, 32, 49, 17, 21, 30, 31, 11, 27, 28, 26, 54, 7, 19, 24, 20, 29, 23, 15, 8, 51, 4, 38, 37, 35, 41, 52, 34, 40, 33, 46, 50, 39, 56, 36, 45, 42, 5, 58, 43, 44, 55, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([71], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([75], dtype=int64), array([55], dtype=int64), array([58], dtype=int64), array([24], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([37], dtype=int64), array([56], dtype=int64), array([79], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([58], dtype=int64), array([24], dtype=int64), array([74], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([34], dtype=int64), array([26], dtype=int64), array([39], dtype=int64), array([47], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([49], dtype=int64), array([76], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[81.81408226900837, 61.115814535508584, 41.27509269059347, 78.34761509317569, 43.13315617711753, 70.75744832170751, 35.34049553665118, 37.19767440455603, 26.402552790832033, 20.768901683847858, 67.62361255740863, 45.87565703443465, 33.50433915380767, 23.183500656040867, 21.4917746429011, 15.570447913472545, 12.073059475502841, 12.964276688919115, 26.0997567073022, 69.49998735116175, 21.11812591850126, 20.106899472819485, 15.438715130247004, 17.154469827248395, 16.100887730072944, 7.50230048085507, 12.762439884793157, 14.642044139793093, 9.041335598337877, 8.874317782764107, 26.857117294228644, 15.811054030200463, 6.201616068745949, 5.2722944442443955, 3.244512615088732, 7.752345859980044, 28.83588860978107, 14.212640965219892, 8.539761993661738, 5.431230764003695, 4.669113858283961, 3.096695242395254, 1.8769405845763731, -0.059816349957989845, 0.7112175194205502, 0.6802585261110637, 0.42360864841509666, 0.6017221872893459, -0.5776709452435556, 31.117277855211256, -1.0737984262153342, -1.6723688891723971, -0.3641687292133443, -3.865272386213542, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
9,[29],"[1, 9, 53, 10, 16, 3, 12, 13, 2, 0, 6, 32, 31, 21, 49, 17, 14, 11, 37, 22, 38, 30, 28, 26, 27, 19, 18, 24, 20, 54, 35, 23, 41, 15, 52, 7, 8, 51, 40, 34, 4, 33, 46, 50, 39, 56, 36, 45, 42, 5, 58, 43, 44, 55, 57, 59, 25, 47, 48]","[array([47], dtype=int64), array([71], dtype=int64), array([7], dtype=int64), array([78], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([79], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([74], dtype=int64), array([76], dtype=int64), array([24], dtype=int64), array([49], dtype=int64), array([58], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([51], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([26], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([62], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.4826882919122, 76.72990058033511, 43.37671466163599, 80.74184800080201, 66.31611440236995, 50.365434478059214, 50.09841508223234, 28.89503840053048, 26.44779854102309, 70.798466928141, 57.237403051069435, 20.534506541631902, 19.078324554059808, 19.45625399846839, 20.094794239338174, 12.992991215872916, 30.984145816640577, 72.80097102127225, 13.347240896841008, 19.133986110008404, 24.23612237006465, 18.102142915308853, 17.990112432430404, 19.2412845016578, 35.47631935372274, 16.822476445450977, 19.42218592512501, 23.085326796584425, 14.580083247024643, 8.63903785237731, 19.938279374954185, 17.1072253116021, 13.918806806541955, 36.8252976081632, 11.037629364420926, 7.244570709287241, 17.16136218111369, 4.917774910777428, 6.567744968810904, 2.811823415380106, 8.537578308499898, 3.096695242395254, 1.8769405845763731, -0.059816349957989845, 0.7112175194205502, 0.6802585261110637, 0.42360864841509666, 0.6017221872893459, -0.5776709452435556, 31.117277855211256, -1.0737984262153342, -1.6723688891723971, -0.3641687292133443, -3.865272386213542, -1.8725040444854004, 3.6617493359036515, 23.516898436498302, 3.7909813907483523, 6.000517018812654]"
