random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 37, 9, 3, 38, 13, 14, 24, 10, 12, 22, 21, 20, 6, 19, 16, 35, 0, 40, 41, 18, 27, 53, 11, 29, 31, 49, 28, 51, 33, 39, 30, 23, 2, 26, 17, 58, 42, 44, 7, 50, 32, 15, 34, 45, 8, 46, 56, 36, 52, 57, 4, 55, 43, 5, 59, 25, 47, 48]","[array([68], dtype=int64), array([85], dtype=int64), array([92], dtype=int64), array([52], dtype=int64), array([90], dtype=int64), array([20], dtype=int64), array([91], dtype=int64), array([36], dtype=int64), array([88], dtype=int64), array([36], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([93], dtype=int64), array([45], dtype=int64), array([90], dtype=int64), array([89], dtype=int64), array([57], dtype=int64), array([80], dtype=int64), array([70], dtype=int64), array([37], dtype=int64), array([29], dtype=int64), array([77], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([46], dtype=int64), array([59], dtype=int64), array([30], dtype=int64), array([29], dtype=int64), array([37], dtype=int64), array([87], dtype=int64), array([45], dtype=int64), array([36], dtype=int64), array([39], dtype=int64), array([87], dtype=int64), array([13], dtype=int64), array([6], dtype=int64), array([20], dtype=int64), array([11], dtype=int64), array([85], dtype=int64), array([8], dtype=int64), array([67], dtype=int64), array([2], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([85], dtype=int64), array([10], dtype=int64), array([27], dtype=int64), array([97], dtype=int64), array([51], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[83.861067095831, 84.37219482353571, 75.4363058244934, 61.17391899102172, 64.94725093085539, 48.78032298940568, 60.99559481811177, 46.139262509355035, 60.19467253434416, 45.83650785600405, 41.11433522608515, 43.257246060983256, 43.351785381291435, 73.2988904792338, 38.80999175262047, 43.64303106717917, 37.89837905400394, 64.71607490192388, 35.687334244328156, 35.29098145076611, 34.13008198073616, 64.25176925588582, 63.417014355515676, 88.77482191986272, 51.2835278593864, 52.297517008391836, 53.7640962635112, 40.92101731808889, 40.976484298347174, 39.799532829272735, 48.17671312980272, 43.07024410252011, 39.65162940837074, 38.063442069720296, 37.12972539635559, 33.3158569585251, 28.767210385875323, 29.96773498322156, 32.55831876558472, 51.3137942458217, 36.35166758350428, 36.11038365077121, 48.49685715283609, 26.514020758289014, 24.91257741596303, 51.81950732449056, 16.71547224103477, 19.6712992318704, 17.219744620272746, 23.389999976759682, 17.71652411624267, 44.78243785396296, 13.14312573178578, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
1,[8],"[1, 16, 3, 9, 14, 10, 12, 49, 13, 37, 35, 38, 20, 2, 22, 18, 21, 24, 30, 53, 0, 6, 11, 27, 29, 28, 19, 40, 26, 31, 32, 23, 7, 42, 34, 39, 51, 41, 17, 44, 52, 33, 15, 56, 45, 46, 50, 54, 57, 36, 58, 4, 55, 43, 5, 59, 25, 47, 48]","[array([68], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([36], dtype=int64), array([59], dtype=int64), array([20], dtype=int64), array([85], dtype=int64), array([89], dtype=int64), array([90], dtype=int64), array([33], dtype=int64), array([39], dtype=int64), array([50], dtype=int64), array([37], dtype=int64), array([43], dtype=int64), array([36], dtype=int64), array([45], dtype=int64), array([77], dtype=int64), array([57], dtype=int64), array([93], dtype=int64), array([90], dtype=int64), array([29], dtype=int64), array([91], dtype=int64), array([30], dtype=int64), array([45], dtype=int64), array([80], dtype=int64), array([87], dtype=int64), array([46], dtype=int64), array([67], dtype=int64), array([36], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([48], dtype=int64), array([87], dtype=int64), array([29], dtype=int64), array([70], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([51], dtype=int64), array([37], dtype=int64), array([2], dtype=int64), array([27], dtype=int64), array([40], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([32], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([6], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[85.63812478003916, 78.93629993225424, 51.133674130667615, 68.90297069909276, 52.53985645509319, 61.07526688870787, 48.167105465701724, 49.81938978106373, 52.36537771668808, 45.9610315672391, 45.854598034716716, 47.84318958807149, 41.17227645845575, 43.780525063421315, 37.84804102607401, 40.92222101260749, 80.13638177920599, 69.32151660369645, 66.06699676678953, 57.16285938659965, 77.92166646309292, 97.2566664751552, 94.07803438250511, 45.764673128412404, 49.58687000096809, 31.550605445187983, 49.36199985071208, 59.81000078359606, 44.651564778606776, 45.66136192300339, 48.53060581253696, 29.475518867949326, 64.08820493223891, 27.645671427167812, 35.30194355141772, 27.169061995700137, 43.791637311628804, 60.01883336620892, 35.751902457049674, 36.2603489682341, 30.961934512103273, 29.63597281534891, 52.32700969655095, 24.86773668730071, 23.641162426368496, 24.22748598183965, 21.678271321362292, 30.437205916819288, 26.771102915853195, 25.334432133087855, 27.36781078911124, 44.78243785396296, 13.14312573178578, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
2,[55],"[1, 9, 10, 3, 41, 40, 39, 14, 37, 12, 38, 49, 13, 6, 35, 16, 42, 0, 2, 44, 17, 23, 24, 11, 32, 20, 7, 22, 18, 53, 19, 51, 21, 34, 33, 15, 52, 46, 8, 50, 28, 26, 30, 27, 58, 45, 29, 31, 54, 36, 57, 4, 56, 43, 5, 59, 25, 47, 48]","[array([68], dtype=int64), array([92], dtype=int64), array([88], dtype=int64), array([52], dtype=int64), array([70], dtype=int64), array([80], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([36], dtype=int64), array([90], dtype=int64), array([59], dtype=int64), array([20], dtype=int64), array([93], dtype=int64), array([89], dtype=int64), array([90], dtype=int64), array([20], dtype=int64), array([57], dtype=int64), array([39], dtype=int64), array([11], dtype=int64), array([13], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([90], dtype=int64), array([67], dtype=int64), array([33], dtype=int64), array([85], dtype=int64), array([50], dtype=int64), array([37], dtype=int64), array([77], dtype=int64), array([45], dtype=int64), array([29], dtype=int64), array([43], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([2], dtype=int64), array([51], dtype=int64), array([10], dtype=int64), array([85], dtype=int64), array([8], dtype=int64), array([30], dtype=int64), array([87], dtype=int64), array([45], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([40], dtype=int64), array([91], dtype=int64), array([46], dtype=int64), array([32], dtype=int64), array([97], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[83.65919747076633, 78.08250724374292, 41.1728064727289, 49.73145261304408, 41.60983310028919, 55.62551830119137, 45.69383490373283, 61.2205089704243, 29.805628006263035, 49.55754077520641, 44.05548742063111, 35.53653238228416, 32.57589669012995, 81.03368752570542, 45.21626916639305, 47.847294166722946, 47.629489487975746, 58.164961271020736, 34.15911461980922, 23.62435942368707, 40.6428117553909, 39.12554073815547, 37.536636310933666, 58.63494745079471, 43.898733728202224, 35.39541235078672, 46.21985364893855, 36.112608044532216, 34.9273082278984, 36.58362048747907, 35.58920394791318, 35.60917782613098, 32.8770829880051, 35.92235062264437, 35.4870003309021, 39.306680996512156, 29.433400216304594, 28.42125514268718, 62.99871807328756, 38.535023527397904, 32.90845275828544, 27.289214027740996, 52.86062903091263, 37.68987725175262, 25.514987111069615, 26.503064960906038, 25.198858028381068, 31.818921243968283, 27.02302982075945, 24.396604151178515, 17.51230785930363, 44.860051241754135, 21.967958643196255, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
3,[15],"[14, 9, 37, 16, 10, 3, 6, 12, 13, 35, 2, 0, 38, 42, 49, 32, 31, 24, 18, 11, 17, 22, 21, 20, 19, 41, 44, 53, 40, 51, 52, 46, 28, 39, 34, 23, 33, 27, 50, 1, 26, 30, 29, 7, 8, 58, 45, 54, 36, 57, 4, 56, 55, 43, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([92], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([52], dtype=int64), array([93], dtype=int64), array([36], dtype=int64), array([20], dtype=int64), array([89], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([90], dtype=int64), array([20], dtype=int64), array([59], dtype=int64), array([67], dtype=int64), array([46], dtype=int64), array([36], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([13], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([45], dtype=int64), array([70], dtype=int64), array([11], dtype=int64), array([77], dtype=int64), array([80], dtype=int64), array([29], dtype=int64), array([51], dtype=int64), array([10], dtype=int64), array([30], dtype=int64), array([87], dtype=int64), array([48], dtype=int64), array([36], dtype=int64), array([37], dtype=int64), array([29], dtype=int64), array([8], dtype=int64), array([68], dtype=int64), array([87], dtype=int64), array([45], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([6], dtype=int64), array([40], dtype=int64), array([32], dtype=int64), array([97], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[81.04472356145806, 88.765231902847, 73.11643349419876, 55.92594733005767, 60.59183342457513, 54.83031960666085, 68.34128694851908, 49.67751138360113, 50.71396095444319, 46.732949181099, 49.29395356682051, 55.52367321152526, 43.13768186281508, 45.55219404688655, 42.401715803448106, 73.03946955594375, 43.87482318917445, 40.678188888676644, 39.96610421064583, 78.31977987069735, 42.61927445243873, 35.66901910355667, 35.28239584060772, 37.89607333569865, 35.285062987364135, 34.029558910377354, 36.87449126539979, 30.81957368202234, 30.998856386968086, 36.59821810899947, 32.67203531297552, 31.844660007009235, 32.52306288492897, 33.48402758995503, 31.284740539493686, 31.958524884431643, 30.645783509410084, 31.748993146702336, 33.40915732788369, 65.13821199192056, 26.76677678515583, 44.16843253653229, 27.253405029770235, 39.40083658858413, 63.186958372843286, 27.97389459613751, 31.848047805340187, 26.730971107927733, 23.987653880006707, 19.283733867181418, 44.14878869933041, 19.637437390442216, 13.14312573178578, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
4,[15],"[14, 9, 37, 16, 10, 3, 6, 12, 13, 35, 2, 0, 38, 42, 49, 32, 31, 24, 18, 11, 17, 22, 21, 20, 19, 41, 44, 53, 40, 51, 52, 46, 28, 39, 34, 23, 33, 27, 50, 1, 26, 30, 29, 7, 8, 58, 45, 54, 36, 57, 4, 56, 55, 43, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([92], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([52], dtype=int64), array([93], dtype=int64), array([36], dtype=int64), array([20], dtype=int64), array([89], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([90], dtype=int64), array([20], dtype=int64), array([59], dtype=int64), array([67], dtype=int64), array([46], dtype=int64), array([36], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([13], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([45], dtype=int64), array([70], dtype=int64), array([11], dtype=int64), array([77], dtype=int64), array([80], dtype=int64), array([29], dtype=int64), array([51], dtype=int64), array([10], dtype=int64), array([30], dtype=int64), array([87], dtype=int64), array([48], dtype=int64), array([36], dtype=int64), array([37], dtype=int64), array([29], dtype=int64), array([8], dtype=int64), array([68], dtype=int64), array([87], dtype=int64), array([45], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([6], dtype=int64), array([40], dtype=int64), array([32], dtype=int64), array([97], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[81.04472356145806, 88.765231902847, 73.11643349419876, 55.92594733005767, 60.59183342457513, 54.83031960666085, 68.34128694851908, 49.67751138360113, 50.71396095444319, 46.732949181099, 49.29395356682051, 55.52367321152526, 43.13768186281508, 45.55219404688655, 42.401715803448106, 73.03946955594375, 43.87482318917445, 40.678188888676644, 39.96610421064583, 78.31977987069735, 42.61927445243873, 35.66901910355667, 35.28239584060772, 37.89607333569865, 35.285062987364135, 34.029558910377354, 36.87449126539979, 30.81957368202234, 30.998856386968086, 36.59821810899947, 32.67203531297552, 31.844660007009235, 32.52306288492897, 33.48402758995503, 31.284740539493686, 31.958524884431643, 30.645783509410084, 31.748993146702336, 33.40915732788369, 65.13821199192056, 26.76677678515583, 44.16843253653229, 27.253405029770235, 39.40083658858413, 63.186958372843286, 27.97389459613751, 31.848047805340187, 26.730971107927733, 23.987653880006707, 19.283733867181418, 44.14878869933041, 19.637437390442216, 13.14312573178578, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
5,[39],"[1, 10, 3, 14, 9, 13, 49, 37, 38, 42, 16, 6, 12, 24, 41, 40, 35, 0, 22, 17, 18, 20, 2, 51, 44, 11, 32, 53, 34, 33, 19, 7, 23, 15, 21, 52, 46, 8, 31, 28, 50, 26, 29, 30, 27, 58, 45, 54, 36, 57, 4, 56, 55, 43, 5, 59, 25, 47, 48]","[array([68], dtype=int64), array([88], dtype=int64), array([52], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([20], dtype=int64), array([59], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([20], dtype=int64), array([90], dtype=int64), array([93], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([70], dtype=int64), array([80], dtype=int64), array([89], dtype=int64), array([57], dtype=int64), array([50], dtype=int64), array([13], dtype=int64), array([37], dtype=int64), array([33], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([11], dtype=int64), array([90], dtype=int64), array([67], dtype=int64), array([77], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([45], dtype=int64), array([85], dtype=int64), array([36], dtype=int64), array([2], dtype=int64), array([43], dtype=int64), array([51], dtype=int64), array([10], dtype=int64), array([85], dtype=int64), array([46], dtype=int64), array([30], dtype=int64), array([8], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([45], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([40], dtype=int64), array([32], dtype=int64), array([97], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[86.18365092022361, 83.33836585251481, 53.987455861043976, 61.94233070531934, 65.25390449659149, 55.405413178677804, 45.85234173912686, 46.6142394535597, 46.34405989302617, 50.9039368647392, 84.92414793506225, 57.6097267699042, 44.84108691776954, 41.960304401585915, 40.110125417218185, 42.480673254544236, 43.43479446448962, 57.46858696622015, 39.14085053563848, 41.7042752701375, 38.70412160973013, 38.00067574014744, 50.4144247705419, 36.94700841763884, 36.19026586163671, 62.90384029315572, 38.05413284887493, 36.554867084801096, 34.59410070932913, 33.659490945354925, 33.47840341685026, 34.95376321694911, 34.434861943658234, 38.31749655467032, 31.176207459711243, 28.632615814610308, 26.65583487279472, 63.21435888662713, 23.982123562181172, 22.04120787653012, 34.646470693685, 27.760801801314674, 28.736372142728744, 41.66220875285126, 37.716537416268146, 27.97389459613751, 31.848047805340187, 26.730971107927733, 23.987653880006707, 19.283733867181418, 44.14878869933041, 19.637437390442216, 13.14312573178578, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
6,[50],"[14, 9, 40, 39, 41, 10, 37, 16, 53, 38, 52, 46, 12, 49, 6, 13, 42, 0, 2, 44, 11, 3, 18, 35, 17, 32, 24, 23, 51, 20, 1, 28, 22, 21, 19, 33, 7, 26, 30, 27, 58, 29, 15, 31, 34, 45, 8, 54, 4, 56, 36, 55, 43, 57, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([92], dtype=int64), array([80], dtype=int64), array([87], dtype=int64), array([70], dtype=int64), array([88], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([77], dtype=int64), array([90], dtype=int64), array([51], dtype=int64), array([10], dtype=int64), array([36], dtype=int64), array([59], dtype=int64), array([93], dtype=int64), array([20], dtype=int64), array([20], dtype=int64), array([57], dtype=int64), array([39], dtype=int64), array([11], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([89], dtype=int64), array([13], dtype=int64), array([67], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([29], dtype=int64), array([33], dtype=int64), array([68], dtype=int64), array([30], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([45], dtype=int64), array([37], dtype=int64), array([85], dtype=int64), array([87], dtype=int64), array([45], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([91], dtype=int64), array([2], dtype=int64), array([46], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([85], dtype=int64), array([32], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[84.0000628864416, 73.60431929051211, 67.22323566330256, 35.3090216756917, 35.30604856017792, 47.518857526266686, 38.852673395227825, 32.46401408115766, 28.082807172927843, 53.506161092648945, 26.259302041952704, 28.384264550594033, 27.610958244356738, 25.383427922588538, 73.61763339588082, 24.676179625245425, 21.969858849388192, 51.62187397680545, 29.653148003368724, 24.773625422776966, 78.51220911684527, 45.55811132960238, 39.03250674376643, 40.73328058800728, 40.714786145964226, 42.09240209691329, 36.8369652156749, 34.766662679886025, 35.531279590625466, 33.88572905655498, 68.0812737071993, 30.791224172642494, 30.48229338038973, 30.52189549128663, 32.483572184589164, 31.73219169769023, 43.12397371462605, 29.138647685290913, 47.30423641624427, 42.21947616489713, 25.452626834567635, 25.46388883693967, 44.290611245561784, 31.489607560668542, 31.282939489121958, 25.864355113241203, 55.609720690327684, 26.730971107927733, 34.72726083135582, 25.582057466489935, 25.843181597333814, 13.137858421882736, 12.873980285348583, 8.941249064842085, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
7,[20],"[14, 10, 29, 9, 37, 19, 22, 30, 18, 16, 27, 3, 53, 38, 49, 21, 6, 28, 26, 13, 11, 0, 1, 24, 54, 31, 12, 7, 35, 40, 41, 39, 51, 33, 42, 17, 2, 44, 15, 23, 8, 52, 34, 32, 56, 50, 45, 58, 46, 4, 36, 55, 43, 57, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([85], dtype=int64), array([45], dtype=int64), array([50], dtype=int64), array([45], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([29], dtype=int64), array([52], dtype=int64), array([77], dtype=int64), array([90], dtype=int64), array([59], dtype=int64), array([43], dtype=int64), array([93], dtype=int64), array([30], dtype=int64), array([87], dtype=int64), array([20], dtype=int64), array([90], dtype=int64), array([57], dtype=int64), array([68], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([46], dtype=int64), array([36], dtype=int64), array([85], dtype=int64), array([89], dtype=int64), array([80], dtype=int64), array([70], dtype=int64), array([87], dtype=int64), array([29], dtype=int64), array([37], dtype=int64), array([20], dtype=int64), array([13], dtype=int64), array([39], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([85], dtype=int64), array([51], dtype=int64), array([48], dtype=int64), array([67], dtype=int64), array([27], dtype=int64), array([8], dtype=int64), array([40], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[83.65706952393657, 99.72622535428528, 86.03966991897957, 93.46460487101555, 90.41171713286144, 84.77445694624647, 88.25458163312466, 82.05028703039314, 63.45583174172098, 89.39691361480423, 73.20832757506905, 72.00709436027141, 68.8510522446247, 70.8451401244628, 67.9764115883885, 67.53546757243568, 99.7514494983083, 60.62961139715759, 64.42754596403533, 63.24158676397667, 85.21699786071379, 69.96960291530853, 51.087523406005594, 42.54253804727835, 44.845261122444285, 39.774385801760104, 40.31802215654643, 71.01123517708598, 41.35376167299336, 36.023409537766405, 30.56053934810846, 34.98431546315675, 58.875072995837314, 50.51740316792306, 34.562704248231825, 30.96501161694245, 29.14118745289222, 30.201600744589694, 47.57042726262659, 32.76238635405129, 59.25105272440284, 26.191677814737595, 29.6360824624571, 40.24440051217981, 25.606946928406337, 27.02471205517758, 34.442561457899544, 25.854131940351266, 22.328604204208595, 38.19478887639956, 25.843181597333814, 13.137858421882736, 12.873980285348583, 8.941249064842085, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
8,[14],"[1, 9, 16, 3, 13, 10, 37, 49, 35, 2, 42, 12, 24, 22, 38, 17, 20, 6, 0, 44, 41, 11, 21, 18, 19, 53, 32, 7, 51, 31, 30, 26, 28, 27, 50, 40, 58, 29, 15, 39, 34, 33, 23, 54, 45, 8, 46, 56, 36, 52, 57, 4, 55, 43, 5, 59, 25, 47, 48]","[array([68], dtype=int64), array([92], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([20], dtype=int64), array([88], dtype=int64), array([85], dtype=int64), array([59], dtype=int64), array([89], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([50], dtype=int64), array([90], dtype=int64), array([13], dtype=int64), array([33], dtype=int64), array([93], dtype=int64), array([57], dtype=int64), array([11], dtype=int64), array([70], dtype=int64), array([90], dtype=int64), array([43], dtype=int64), array([37], dtype=int64), array([45], dtype=int64), array([77], dtype=int64), array([67], dtype=int64), array([85], dtype=int64), array([29], dtype=int64), array([46], dtype=int64), array([45], dtype=int64), array([87], dtype=int64), array([30], dtype=int64), array([29], dtype=int64), array([8], dtype=int64), array([80], dtype=int64), array([6], dtype=int64), array([91], dtype=int64), array([2], dtype=int64), array([87], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([40], dtype=int64), array([85], dtype=int64), array([10], dtype=int64), array([27], dtype=int64), array([97], dtype=int64), array([51], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[83.72955035678238, 79.30481669242631, 43.85235676981445, 53.68435493017715, 53.211514756660755, 67.23261736652971, 59.43349093938181, 49.13565564057149, 44.08125461599127, 48.56386741372835, 46.471785317082436, 47.746501368881404, 42.40101102421774, 38.99617784440315, 63.61781851996181, 39.71017868565533, 38.15101316129397, 53.27308209067396, 55.73900819843943, 35.88233486349395, 41.15956200094019, 72.44143586206201, 35.706367142924606, 35.07360244018336, 33.208137378135106, 32.65906574834022, 39.09868020450675, 34.54937568517313, 31.151600132810113, 40.56381193103646, 33.85773871932665, 35.54029601505993, 35.15468647061033, 42.065247600004525, 35.07625248205627, 34.49252472361098, 28.78344747509367, 31.251695329752586, 46.06882879697261, 27.246064089199113, 25.729739354733397, 23.869585364946378, 26.83595401410897, 24.817701917380454, 24.91257741596303, 51.81950732449056, 16.71547224103477, 19.6712992318704, 17.219744620272746, 23.389999976759682, 17.71652411624267, 44.78243785396296, 13.14312573178578, 13.3757035332999, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
9,[29],"[14, 10, 9, 6, 49, 2, 0, 22, 17, 3, 12, 13, 16, 42, 24, 31, 37, 11, 44, 41, 35, 38, 32, 1, 18, 20, 7, 53, 34, 15, 40, 23, 51, 21, 19, 39, 33, 8, 52, 28, 50, 30, 27, 26, 45, 56, 43, 46, 58, 54, 36, 57, 4, 55, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([93], dtype=int64), array([59], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([50], dtype=int64), array([13], dtype=int64), array([52], dtype=int64), array([36], dtype=int64), array([20], dtype=int64), array([90], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([46], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([11], dtype=int64), array([70], dtype=int64), array([89], dtype=int64), array([90], dtype=int64), array([67], dtype=int64), array([68], dtype=int64), array([37], dtype=int64), array([33], dtype=int64), array([85], dtype=int64), array([77], dtype=int64), array([48], dtype=int64), array([2], dtype=int64), array([80], dtype=int64), array([36], dtype=int64), array([29], dtype=int64), array([43], dtype=int64), array([45], dtype=int64), array([87], dtype=int64), array([37], dtype=int64), array([85], dtype=int64), array([51], dtype=int64), array([30], dtype=int64), array([8], dtype=int64), array([45], dtype=int64), array([29], dtype=int64), array([87], dtype=int64), array([40], dtype=int64), array([27], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([6], dtype=int64), array([32], dtype=int64), array([97], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([61], dtype=int64), array([68], dtype=int64)]","[87.04111066854966, 85.90915729053387, 32.7491260998329, 62.44631758048434, 38.24640650007221, 81.30838726031472, 80.4998705257692, 76.17644963690427, 58.511916458133385, 62.98662173206334, 51.934945872415916, 52.428848273221234, 42.50284156778524, 43.726862305303314, 39.47033326560789, 42.105629309921554, 38.320791298993065, 68.20946551977069, 39.57548731269941, 38.615733400647585, 43.463572090893706, 41.05126736506394, 41.54976493663638, 71.46779918148344, 37.01847223669577, 37.44696990952856, 46.30387699953341, 32.96866117699172, 34.69422416790772, 46.505166084598414, 33.84527895401117, 37.559623404127734, 34.00782888681495, 33.16304822749053, 35.82648726298375, 30.25383922220975, 29.847552387818876, 60.07168244800593, 32.627383525131464, 24.49676714502638, 24.43764624895514, 24.812934005836553, 25.912424938251565, 31.28328674609568, 23.71979003350895, 22.89130131137049, 21.554147628732338, 21.155488526129506, 26.100177271092075, 26.12536550731099, 24.419211062426154, 18.312035438499862, 44.842266696839665, 14.171219732019994, 26.53711927137366, 6.290483843632362, 25.865348790337606, 13.690978404437702, 40.50300650512594]"
