random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 35, 39, 19, 29, 26, 41, 24, 30, 28, 37, 9, 27, 38, 10, 53, 23, 6, 3, 21, 22, 11, 17, 20, 14, 12, 51, 58, 18, 16, 13, 49, 0, 7, 2, 42, 45, 40, 50, 15, 34, 32, 31, 8, 4, 46, 44, 36, 52, 33, 55, 5, 43, 57, 56, 59, 25, 47, 48]","[array([98], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([98], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([7], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([50], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([98], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([95], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.79075028951236, 66.87141067018216, 63.34503539566446, 84.54212795920496, 63.21265109431568, 59.13021594852766, 59.932192336873136, 85.12259730647845, 60.98672195453017, 62.151055648315314, 85.48316565233291, 81.01785196316624, 69.8415977064517, 90.11712995781384, 78.09265284530295, 76.96416340899212, 66.89466676745757, 90.877464583597, 59.39441168832537, 54.427084064331716, 52.021475161604556, 73.15364115352604, 52.78774842603493, 57.053367950439224, 49.67986360069262, 45.34774901976519, 43.40197577175036, 39.37267417372592, 49.17671379108069, 41.8264671656328, 41.61634430736584, 30.61598678907074, 67.49010574851562, 49.25629693831971, 57.22854163362229, 28.010737213469348, 23.141638297377217, 22.62966725661727, 38.66127373067542, 45.47636424466769, 33.62087369161371, 30.38280179489749, 40.353230613208055, 61.27727910987, 22.880303624211976, 23.14569978424556, 23.85441241524867, 32.65983490373524, 17.810923885329718, 16.38506554063451, 19.387288186628542, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
1,[8],"[14, 9, 35, 40, 29, 3, 37, 38, 12, 20, 18, 17, 13, 22, 21, 24, 19, 23, 41, 58, 51, 54, 44, 26, 27, 30, 28, 49, 56, 6, 16, 11, 10, 1, 7, 0, 2, 53, 42, 45, 31, 55, 50, 39, 15, 34, 32, 46, 4, 52, 36, 33, 43, 57, 5, 59, 25, 47, 48]","[array([49], dtype=int64), array([80], dtype=int64), array([43], dtype=int64), array([9], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([50], dtype=int64), array([19], dtype=int64), array([50], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([7], dtype=int64), array([63], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([16], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[83.83631986024079, 71.26613442421412, 96.36213325670931, 91.12684429542101, 62.6952590261529, 53.277888134888194, 49.441762456026346, 52.01807171419715, 46.741907088459016, 41.6053259954894, 45.80015608234719, 59.29749623447581, 41.830204357188705, 49.18740796747327, 48.641636884560675, 50.17757003296652, 64.68965846967906, 45.97933447469845, 40.74065684977838, 36.69648699966873, 39.834544787022566, 32.712184521049856, 31.16588876894923, 35.94696892860028, 49.02009075299453, 55.42081192172604, 84.56484351204024, 46.63528948047338, 32.5000746146227, 47.48841066059037, 39.05104281274432, 38.11810742860948, 32.724310432567954, 45.65125748839337, 37.72766736033668, 65.1084307140898, 56.265353751349515, 27.880738819362293, 20.604829956080348, 24.862485531822752, 20.4520116375007, 18.89714907139176, 36.52360232293036, 36.27876601190663, 39.10765619081748, 32.87834753042696, 35.791132575995846, 26.655524083420868, 24.40700505407828, 19.845485410249733, 32.807578077953124, 14.809612013851721, 8.900023146719237, 5.591111576361437, 21.574659865461488, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
2,[55],"[14, 9, 3, 38, 29, 13, 12, 24, 20, 6, 17, 22, 23, 0, 41, 21, 19, 40, 49, 18, 37, 28, 30, 26, 27, 16, 35, 11, 10, 1, 7, 2, 54, 51, 58, 44, 31, 15, 53, 50, 45, 39, 8, 34, 32, 46, 42, 4, 52, 36, 33, 5, 43, 57, 56, 59, 25, 47, 48]","[array([49], dtype=int64), array([80], dtype=int64), array([10], dtype=int64), array([19], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([85], dtype=int64), array([82], dtype=int64), array([95], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([99], dtype=int64), array([92], dtype=int64), array([50], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([43], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([56], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.10970051181086, 78.20310473747932, 45.64295417663474, 52.22671514147113, 60.36502434338264, 49.58654140665096, 46.66172839770886, 47.35427854165848, 51.15335583521117, 44.21666852058095, 42.5525425539488, 42.080502635628754, 42.90728583547275, 58.51814620193234, 41.05223395814526, 41.122059616889054, 66.75245147177452, 39.88865204299747, 34.867945938516065, 37.21276281873394, 35.714629765706654, 36.371677260179545, 53.179218695919644, 77.96862970543992, 86.93791786934727, 38.17933966490623, 35.63161093359114, 47.93649824149406, 34.2621253781922, 41.938292569295555, 43.162111904505366, 58.09161128893422, 33.35163045578166, 27.50688508683128, 29.010021561723406, 27.00019838243867, 25.88429480763505, 43.332304314059314, 26.68778447900356, 28.0598707234783, 27.515507358086673, 22.956809065949624, 60.147393468058894, 34.2525521830829, 35.60905363325529, 29.909682731704024, 25.478478722508868, 20.874688822088917, 19.289308490113967, 32.34729862863587, 18.909813916425307, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
3,[15],"[14, 9, 13, 6, 12, 10, 2, 3, 0, 41, 17, 58, 40, 16, 37, 54, 28, 27, 30, 26, 49, 38, 35, 20, 24, 21, 22, 18, 19, 29, 51, 23, 11, 32, 31, 53, 42, 45, 34, 39, 1, 7, 46, 8, 36, 44, 50, 52, 55, 33, 4, 5, 43, 57, 56, 59, 25, 47, 48]","[array([49], dtype=int64), array([80], dtype=int64), array([63], dtype=int64), array([95], dtype=int64), array([50], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([10], dtype=int64), array([95], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([98], dtype=int64), array([50], dtype=int64), array([56], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([43], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([92], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([16], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[81.01385234959643, 71.72758137445473, 41.43658397123886, 44.5980351044725, 52.47760512383182, 50.97732985627266, 52.01788221253145, 61.06837433247418, 55.76986089637973, 42.910314371874, 43.16087501338242, 35.62895080402316, 37.42339232154633, 36.50871280182715, 32.91214785134195, 33.959694917690214, 34.952438563047394, 39.42939695939283, 48.23223158518684, 49.40857645754006, 48.2989476618922, 39.579262769721, 39.31483983505859, 35.3663131502111, 43.33443440181885, 37.65115131803359, 45.072150641207415, 64.22200195824074, 72.37561843281311, 35.47159570543963, 37.94402473645563, 43.98127519815332, 33.2716929570607, 31.020375361807577, 38.72991350146721, 33.300067010392866, 25.9972107886285, 25.447239740624287, 19.60780843073214, 19.79399112529758, 62.947247886504144, 50.270102412842, 30.604552900745144, 63.83860452531029, 31.005742482120475, 22.447500159650495, 22.146041965709923, 18.610648539330064, 16.88739191584204, 17.32717452477196, 32.08623395749272, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
4,[15],"[14, 9, 13, 6, 12, 10, 2, 3, 0, 41, 17, 58, 40, 16, 37, 54, 28, 27, 30, 26, 49, 38, 35, 20, 24, 21, 22, 18, 19, 29, 51, 23, 11, 32, 31, 53, 42, 45, 34, 39, 1, 7, 46, 8, 36, 44, 50, 52, 55, 33, 4, 5, 43, 57, 56, 59, 25, 47, 48]","[array([49], dtype=int64), array([80], dtype=int64), array([63], dtype=int64), array([95], dtype=int64), array([50], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([10], dtype=int64), array([95], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([98], dtype=int64), array([50], dtype=int64), array([56], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([43], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([92], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([16], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[81.01385234959643, 71.72758137445473, 41.43658397123886, 44.5980351044725, 52.47760512383182, 50.97732985627266, 52.01788221253145, 61.06837433247418, 55.76986089637973, 42.910314371874, 43.16087501338242, 35.62895080402316, 37.42339232154633, 36.50871280182715, 32.91214785134195, 33.959694917690214, 34.952438563047394, 39.42939695939283, 48.23223158518684, 49.40857645754006, 48.2989476618922, 39.579262769721, 39.31483983505859, 35.3663131502111, 43.33443440181885, 37.65115131803359, 45.072150641207415, 64.22200195824074, 72.37561843281311, 35.47159570543963, 37.94402473645563, 43.98127519815332, 33.2716929570607, 31.020375361807577, 38.72991350146721, 33.300067010392866, 25.9972107886285, 25.447239740624287, 19.60780843073214, 19.79399112529758, 62.947247886504144, 50.270102412842, 30.604552900745144, 63.83860452531029, 31.005742482120475, 22.447500159650495, 22.146041965709923, 18.610648539330064, 16.88739191584204, 17.32717452477196, 32.08623395749272, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
5,[39],"[14, 29, 51, 35, 28, 24, 26, 27, 3, 30, 20, 23, 13, 12, 37, 18, 17, 41, 6, 38, 22, 21, 19, 11, 58, 16, 9, 10, 40, 1, 7, 0, 49, 2, 54, 15, 31, 53, 42, 50, 45, 8, 34, 32, 4, 46, 44, 36, 52, 33, 55, 5, 43, 57, 56, 59, 25, 47, 48]","[array([49], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([43], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([82], dtype=int64), array([4], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([50], dtype=int64), array([92], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([95], dtype=int64), array([19], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([98], dtype=int64), array([80], dtype=int64), array([98], dtype=int64), array([9], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([95], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([56], dtype=int64), array([10], dtype=int64), array([55], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([33], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[83.25905745254123, 62.351265207530865, 89.18085589772807, 91.2537931189046, 84.14815722255013, 83.83050517915761, 86.84355924172023, 87.56986306805307, 56.17111457651724, 68.56941460521453, 57.272556299179556, 64.5275748015003, 43.54775207861063, 44.17509467789322, 40.27398090713211, 40.040520896012545, 49.65391712523459, 42.01086812432886, 37.591358211984755, 41.09985381009864, 40.61200236235487, 50.08565245268218, 69.91874118833394, 45.91861870555536, 41.76994099891819, 41.63643860604968, 41.01064162690269, 46.315299812740555, 35.640469242075035, 49.03594000675539, 42.116884146307896, 53.177011887122134, 40.09156969858025, 62.25083617254169, 28.80639262757349, 50.16733209039943, 30.54806272014006, 30.914457389400678, 37.13552417570535, 34.09140881317763, 37.29496868156028, 58.46955751198896, 33.63946280639966, 38.41276560142213, 22.880303624211976, 23.14569978424556, 23.85441241524867, 32.65983490373524, 17.810923885329718, 16.38506554063451, 19.387288186628542, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
6,[50],"[14, 40, 53, 39, 29, 41, 27, 3, 1, 30, 26, 20, 9, 35, 28, 37, 38, 10, 6, 11, 51, 23, 18, 22, 21, 24, 19, 54, 17, 7, 8, 16, 58, 15, 0, 49, 45, 13, 2, 42, 34, 32, 31, 12, 4, 46, 44, 5, 52, 33, 55, 36, 43, 57, 56, 59, 25, 47, 48]","[array([49], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([82], dtype=int64), array([80], dtype=int64), array([43], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([19], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([92], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([39], dtype=int64), array([98], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([95], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.40478117757196, 44.416833303291156, 35.737049031654806, 44.030937150221085, 58.105731954368096, 27.44611163411899, 20.96939855916852, 53.74514666971207, 57.98938988640303, 62.222041710748535, 90.70287742150512, 50.187993614449354, 84.1671343501908, 68.89663425576555, 82.3801300810535, 81.65870531054426, 89.28888673521578, 70.19079498383547, 62.89481972966953, 51.849474190086745, 49.287769652709265, 50.64722395021449, 41.360786436018756, 45.95154639410343, 50.19245904522891, 47.63242263278176, 69.96520005035309, 41.49392696032166, 36.28956225949625, 45.15038413952192, 50.3307301526115, 39.24508142934305, 32.10845275237382, 36.66410749235251, 57.725646020200195, 45.26530918210029, 28.229745340467005, 42.074489042781416, 55.34326231831017, 32.248099315576965, 33.923408018509306, 26.25477666255254, 29.901402799809933, 31.18858977506386, 22.880303624211976, 23.14569978424556, 23.85441241524867, 27.648877614186382, 18.275226851721154, 19.51408233266712, 15.933322490376387, 31.415086030470437, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
7,[20],"[1, 53, 35, 39, 41, 37, 29, 28, 9, 26, 30, 38, 10, 27, 3, 16, 6, 23, 12, 13, 24, 14, 18, 17, 22, 21, 19, 11, 58, 51, 0, 7, 49, 54, 2, 42, 45, 40, 50, 15, 34, 32, 31, 8, 4, 46, 44, 36, 52, 33, 55, 5, 43, 57, 56, 59, 25, 47, 48]","[array([98], dtype=int64), array([3], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([50], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([4], dtype=int64), array([50], dtype=int64), array([63], dtype=int64), array([85], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([28], dtype=int64), array([99], dtype=int64), array([56], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[87.61206870135713, 62.81402533138752, 70.71322224863468, 64.28337162265046, 58.89698407658556, 63.47132660548683, 52.50750008667316, 82.48573871692115, 83.2152420026715, 79.2246773487663, 60.45182819248139, 88.77565566114676, 76.55992497452138, 72.89395054139372, 64.29274648719155, 63.051624167457426, 92.85343510165283, 51.00812894600618, 50.22966203462621, 45.34210192371583, 41.33759289360713, 53.62960890456957, 42.27927205320579, 47.47819952695476, 40.563523958614425, 53.306759788774244, 59.95651228009784, 65.95796007236797, 35.85534992071478, 37.94947763905007, 58.20947571103842, 52.441652312495286, 30.40848526987208, 30.377621890136936, 57.22854163362229, 28.010737213469348, 23.141638297377217, 22.62966725661727, 38.66127373067542, 45.47636424466769, 33.62087369161371, 30.38280179489749, 40.353230613208055, 61.27727910987, 22.880303624211976, 23.14569978424556, 23.85441241524867, 32.65983490373524, 17.810923885329718, 16.38506554063451, 19.387288186628542, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
8,[14],"[1, 9, 19, 37, 35, 39, 38, 10, 29, 26, 41, 28, 30, 16, 27, 6, 53, 3, 20, 24, 22, 23, 18, 17, 21, 12, 13, 11, 58, 51, 0, 7, 49, 54, 2, 42, 45, 40, 50, 15, 34, 32, 31, 8, 4, 46, 44, 36, 52, 33, 55, 5, 43, 57, 56, 59, 25, 47, 48]","[array([98], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([95], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([92], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([63], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([28], dtype=int64), array([99], dtype=int64), array([56], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[79.89942543936105, 93.33237025523731, 87.81402786234722, 82.30438353411571, 84.73853708389888, 82.2162565866504, 84.91739197009917, 72.78287931612688, 56.63585647153023, 53.96476479322403, 56.72523623633634, 86.66184954461984, 59.41925053795005, 78.55904182983717, 65.5721811144842, 92.9204184519614, 72.77876955677108, 61.73615822866856, 60.37102050871663, 54.51128178605173, 59.52543014353626, 69.07975291916834, 54.89727369066669, 63.538963220689915, 74.60767986601725, 47.815931351493454, 37.91840338751183, 65.95796007236797, 35.85534992071478, 37.94947763905007, 58.20947571103842, 52.441652312495286, 30.40848526987208, 30.377621890136936, 57.22854163362229, 28.010737213469348, 23.141638297377217, 22.62966725661727, 38.66127373067542, 45.47636424466769, 33.62087369161371, 30.38280179489749, 40.353230613208055, 61.27727910987, 22.880303624211976, 23.14569978424556, 23.85441241524867, 32.65983490373524, 17.810923885329718, 16.38506554063451, 19.387288186628542, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
9,[29],"[14, 6, 3, 9, 17, 13, 12, 42, 49, 10, 0, 35, 38, 40, 41, 2, 28, 20, 27, 30, 26, 24, 23, 21, 19, 22, 18, 37, 16, 11, 58, 1, 7, 53, 54, 51, 45, 32, 31, 34, 55, 39, 15, 46, 8, 50, 36, 44, 4, 52, 33, 5, 43, 57, 56, 59, 25, 47, 48]","[array([49], dtype=int64), array([95], dtype=int64), array([10], dtype=int64), array([80], dtype=int64), array([7], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([43], dtype=int64), array([19], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([82], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([85], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([92], dtype=int64), array([50], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([3], dtype=int64), array([56], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([55], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([16], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[89.36927332690303, 83.79526702427243, 60.41588348132302, 48.79071027334428, 53.80739195015575, 44.05175444518359, 43.28325661209045, 42.180153737155955, 41.78939871092475, 41.148469024859004, 64.48221924706056, 39.958090565732476, 43.65034775627532, 37.04209698922489, 42.01133726604589, 59.8375595901928, 67.78811135971249, 35.401742609575976, 40.281367556647275, 50.241448175648735, 53.51435893789842, 46.55285186473895, 55.41025162432392, 40.43658825744392, 52.370387580996336, 50.254209843120314, 48.87342042929263, 49.704365814639814, 43.804621349985176, 45.203110629719156, 33.335613112656915, 46.61459740896975, 47.86452070482293, 26.862410365609527, 30.096673390187483, 25.077493198452327, 23.045959015358605, 29.122205031014282, 27.431470895041485, 19.54728544416261, 21.998237590828374, 36.04295281749864, 35.517203292453374, 30.525947067487436, 62.83889168744107, 26.085864942546465, 33.50447434947533, 24.57357805003092, 21.07342373462685, 17.331783054028122, 18.909813916425307, 21.998215062021128, 9.118624374680694, 5.922430766579167, 9.506946506324951, 6.741431501853318, 18.945300573818447, 33.04349700861736, 40.61381506099245]"
