random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 1, 8, 0, 11, 32, 7, 14, 49, 3, 38, 37, 21, 19, 16, 12, 22, 24, 13, 30, 18, 31, 29, 20, 10, 53, 17, 35, 40, 2, 26, 6, 42, 15, 34, 50, 28, 23, 36, 51, 52, 4, 39, 44, 27, 43, 58, 46, 41, 33, 5, 57, 45, 55, 56, 59, 25, 47, 48]","[array([89], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([69], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([21], dtype=int64), array([93], dtype=int64), array([31], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([51], dtype=int64), array([3], dtype=int64), array([53], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([16], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([88], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[70.53389741354249, 63.97815001317662, 65.43103770819208, 68.31507108927259, 67.2115698205951, 56.354213512005956, 57.10369745876243, 56.43784631321443, 60.27617378791972, 54.88321999502261, 59.59970373210043, 55.566557446745584, 48.5144521744258, 48.57065198651644, 46.261188182076395, 53.32567734353683, 46.929137899351794, 46.59390272320677, 46.717417608782895, 33.577349847878914, 32.80300409825255, 33.54898451984542, 31.126049797699128, 24.849786443967098, 87.69793816664969, 24.115236810330774, 22.893816491940484, 19.679857791354845, 21.221300004348304, 51.81493280910951, 15.006872465919296, 88.08341609038227, 11.375983135998627, 19.946585144084096, 10.791132713900813, 9.338657847762137, 8.861987342262386, 9.143902150179619, 8.24053467192338, 6.462924996001263, 9.870895038944449, 12.544953314877224, 5.520222445896876, 5.1283157534805195, 5.0135160952418625, -0.39428772141055746, -1.7390431715777153, -1.0312255485256492, -0.11744809536665982, -1.682538385179852, 38.564375992444575, -3.118613937974902, -3.116063502295631, -4.121016672515191, -9.324976833976674, 2.808137715748073, 27.041082894732735, 7.708466551155631, 3.3696890530304597]"
1,[8],"[9, 0, 1, 11, 14, 49, 32, 7, 6, 38, 37, 3, 21, 22, 24, 19, 16, 12, 20, 29, 18, 30, 54, 31, 10, 17, 53, 40, 13, 35, 2, 26, 42, 15, 34, 50, 28, 23, 4, 39, 5, 36, 44, 27, 43, 51, 41, 46, 58, 33, 55, 59, 57, 45, 56, 25, 47, 48, 52]","[array([89], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([88], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([69], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([93], dtype=int64), array([31], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([91], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([51], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[77.55997654850088, 69.47934027426396, 68.19610606784721, 70.52177727648844, 60.28136369589052, 62.34358969652389, 58.088021479886116, 63.63393816633743, 79.3897932505859, 63.92809903453579, 58.08833206255847, 54.5905402968322, 49.25446658233278, 49.66511035313084, 50.50697273449091, 48.83828611396838, 47.89000781406213, 53.79173109138755, 43.036628868809466, 34.78090420276693, 31.981604535796542, 31.078129954258333, 29.316372416899505, 26.472222552195934, 86.12468826301013, 22.44067773453677, 27.376924922369987, 19.846261347213996, 65.35141651496303, 18.086348312318496, 48.72752338702025, 11.094488014350773, 11.375983135998627, 19.946585144084096, 10.791132713900813, 9.338657847762137, 8.861987342262386, 9.143902150179619, 11.29612015303084, 4.966385713849464, 41.23855866979089, 7.801480834731698, 6.018700134088225, 4.457324605519622, 0.8850991193897938, 0.8405962198686541, 0.6502453380148934, -0.783955453038742, -1.5178306133602277, -2.5706671000481935, -2.60940401022523, -0.2058127277355542, -3.546954948401476, -1.9242310233195263, -5.830035543214365, 28.14884081630256, 9.497902507246735, 5.297711048893922, 5.348931160973612]"
2,[55],"[9, 1, 8, 0, 11, 14, 49, 7, 32, 6, 38, 3, 21, 22, 24, 19, 16, 20, 37, 10, 31, 18, 54, 29, 30, 12, 40, 13, 17, 53, 35, 2, 50, 26, 15, 23, 52, 42, 28, 39, 34, 36, 4, 27, 44, 51, 41, 43, 58, 5, 46, 45, 57, 33, 56, 59, 25, 47, 48]","[array([89], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([49], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([11], dtype=int64), array([69], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([93], dtype=int64), array([16], dtype=int64), array([10], dtype=int64), array([91], dtype=int64), array([23], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([31], dtype=int64), array([2], dtype=int64), array([51], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[68.16331535860898, 65.53171535264467, 68.69903539681646, 68.50901342504447, 70.98906056236342, 58.25182125439578, 61.49272785204737, 56.06870006771111, 55.324105635894696, 78.81862583527895, 62.58383633876698, 56.049761032514446, 53.812292382454004, 53.9543588021651, 52.0770587927369, 52.861009919297864, 49.05115594072331, 46.68466159355366, 56.26249483432787, 87.96545691660265, 40.94525240614757, 35.66778868836831, 34.20427973457336, 34.104932269473096, 31.005733417760545, 51.045205411518104, 24.000890945252838, 64.89606688504992, 17.32763172895563, 24.54542957616799, 15.584572387241193, 47.59417185582016, 11.625227751866705, 12.790663986469262, 17.871219025263542, 8.378672758063715, 9.13916334447647, 10.220405600827993, 7.266159526827928, 6.620280943142659, 9.343518708949784, 9.337034716441263, 10.858896268838507, 4.88360784312756, 4.0305485030076476, 2.260575681902868, 0.7850827696446716, 1.014078279641673, 0.9228564105850776, 38.05750579188418, -3.048038456720864, -2.4162456253335214, -2.629970955682083, -3.615232273719096, -9.324976833976674, 2.808137715748073, 27.041082894732735, 7.708466551155631, 3.3696890530304597]"
3,[15],"[9, 8, 0, 1, 11, 7, 32, 6, 14, 49, 38, 3, 21, 24, 16, 22, 19, 20, 18, 31, 29, 37, 10, 54, 30, 53, 12, 40, 35, 17, 13, 28, 50, 42, 2, 34, 4, 23, 26, 39, 5, 36, 44, 27, 43, 51, 41, 46, 58, 33, 55, 59, 57, 45, 56, 25, 47, 48, 52]","[array([89], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([11], dtype=int64), array([69], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([93], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([53], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([12], dtype=int64), array([31], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([73], dtype=int64), array([5], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[68.7945342892368, 60.30099421900846, 65.14711058451385, 60.51965370308794, 68.38753277657995, 56.12024912691728, 55.44677303092371, 77.77986002729187, 58.40128474402513, 60.672469224557105, 62.14927760509738, 51.86724521034668, 52.2769330808514, 54.35799207994191, 49.39740926002808, 53.69908686973911, 51.65724328310225, 45.859531999779335, 42.81188516712532, 37.72453650922794, 41.554803572662244, 36.82792754975685, 81.38058708800548, 32.644825102021954, 25.968569060509434, 23.53480761881422, 47.76851653129047, 20.82933747878955, 16.37894599879617, 20.029054746773298, 68.14678622830111, 11.899123618423282, 15.852162203342878, 16.710973725194084, 49.13766020856421, 9.45077911276197, 11.924978355448406, 10.722956661870079, 10.342906625133608, 4.966385713849464, 41.23855866979089, 7.801480834731698, 6.018700134088225, 4.457324605519622, 0.8850991193897938, 0.8405962198686541, 0.6502453380148934, -0.783955453038742, -1.5178306133602277, -2.5706671000481935, -2.60940401022523, -0.2058127277355542, -3.546954948401476, -1.9242310233195263, -5.830035543214365, 28.14884081630256, 9.497902507246735, 5.297711048893922, 5.348931160973612]"
4,[15],"[9, 8, 0, 1, 11, 7, 32, 6, 14, 49, 38, 3, 21, 24, 16, 22, 19, 20, 18, 31, 29, 37, 10, 54, 30, 53, 12, 40, 35, 17, 13, 28, 50, 42, 2, 34, 4, 23, 26, 39, 5, 36, 44, 27, 43, 51, 41, 46, 58, 33, 55, 59, 57, 45, 56, 25, 47, 48, 52]","[array([89], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([11], dtype=int64), array([69], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([93], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([53], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([12], dtype=int64), array([31], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([73], dtype=int64), array([5], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[68.7945342892368, 60.30099421900846, 65.14711058451385, 60.51965370308794, 68.38753277657995, 56.12024912691728, 55.44677303092371, 77.77986002729187, 58.40128474402513, 60.672469224557105, 62.14927760509738, 51.86724521034668, 52.2769330808514, 54.35799207994191, 49.39740926002808, 53.69908686973911, 51.65724328310225, 45.859531999779335, 42.81188516712532, 37.72453650922794, 41.554803572662244, 36.82792754975685, 81.38058708800548, 32.644825102021954, 25.968569060509434, 23.53480761881422, 47.76851653129047, 20.82933747878955, 16.37894599879617, 20.029054746773298, 68.14678622830111, 11.899123618423282, 15.852162203342878, 16.710973725194084, 49.13766020856421, 9.45077911276197, 11.924978355448406, 10.722956661870079, 10.342906625133608, 4.966385713849464, 41.23855866979089, 7.801480834731698, 6.018700134088225, 4.457324605519622, 0.8850991193897938, 0.8405962198686541, 0.6502453380148934, -0.783955453038742, -1.5178306133602277, -2.5706671000481935, -2.60940401022523, -0.2058127277355542, -3.546954948401476, -1.9242310233195263, -5.830035543214365, 28.14884081630256, 9.497902507246735, 5.297711048893922, 5.348931160973612]"
5,[39],"[9, 8, 1, 0, 11, 14, 49, 6, 3, 32, 7, 37, 21, 22, 24, 16, 19, 38, 12, 30, 29, 18, 54, 31, 53, 20, 10, 13, 17, 28, 2, 35, 42, 50, 15, 26, 23, 4, 34, 5, 36, 40, 44, 27, 43, 51, 41, 46, 58, 33, 55, 59, 57, 45, 56, 25, 47, 48, 52]","[array([89], dtype=int64), array([73], dtype=int64), array([83], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([88], dtype=int64), array([69], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([93], dtype=int64), array([21], dtype=int64), array([11], dtype=int64), array([31], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([12], dtype=int64), array([16], dtype=int64), array([91], dtype=int64), array([51], dtype=int64), array([16], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([5], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[71.7934261187444, 62.97967706006986, 65.50445395991812, 67.99042543971159, 66.37818368390981, 59.62713054088161, 62.45910940851161, 73.23807398080369, 52.943920633624835, 56.190530568799346, 61.12416086939468, 62.731499236929515, 54.082198226336594, 50.34975971022263, 51.3654366539702, 50.88060477939819, 51.14799607957038, 49.21005887664241, 55.54932273853605, 32.455508880901924, 34.353766258251675, 32.81406021266153, 32.48904724466539, 23.54178377963838, 24.17830958104185, 22.540949977720615, 87.27925131944123, 67.6335618466568, 19.16299583199981, 16.940624570792544, 52.41628563261676, 15.819638819248599, 10.039049737567062, 9.440668783200202, 21.048646454212694, 9.805402911226983, 8.605190994956178, 16.618275185880833, 7.207785943538895, 39.56927275770422, 10.785634159761063, 4.258202500239739, 6.018700134088225, 4.457324605519622, 0.8850991193897938, 0.8405962198686541, 0.6502453380148934, -0.783955453038742, -1.5178306133602277, -2.5706671000481935, -2.60940401022523, -0.2058127277355542, -3.546954948401476, -1.9242310233195263, -5.830035543214365, 28.14884081630256, 9.497902507246735, 5.297711048893922, 5.348931160973612]"
6,[50],"[9, 0, 8, 1, 32, 11, 14, 49, 7, 6, 38, 3, 21, 24, 19, 16, 22, 20, 37, 10, 31, 29, 18, 30, 54, 12, 53, 17, 40, 13, 35, 2, 26, 42, 15, 23, 34, 4, 28, 39, 52, 36, 27, 44, 51, 43, 58, 46, 41, 33, 5, 57, 45, 55, 56, 59, 25, 47, 48]","[array([89], dtype=int64), array([62], dtype=int64), array([73], dtype=int64), array([83], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([49], dtype=int64), array([88], dtype=int64), array([11], dtype=int64), array([69], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([93], dtype=int64), array([42], dtype=int64), array([16], dtype=int64), array([10], dtype=int64), array([91], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([12], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([51], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[74.16238528028592, 65.876066960483, 66.24000307785879, 67.24970961091388, 57.868231516786814, 74.81170304093021, 59.63009673604046, 64.54561209155511, 62.66960900040923, 79.21220962814931, 63.938264854554575, 56.62242020371814, 53.099965376810616, 54.87553232747812, 51.95269040369027, 51.24660387423717, 48.99559678554186, 47.45868428546274, 57.330578526489965, 87.97107047767982, 45.46230006868083, 36.84105246321599, 35.495690621718275, 33.105800010568124, 31.598045571138066, 49.03503475989727, 23.033339993561807, 19.76238736005058, 24.5403519158549, 65.10501628953362, 17.437199852043033, 51.489335509395374, 12.065309499497543, 13.437498378032876, 20.55753068885025, 9.496669141102762, 11.088186567116503, 9.207492171177993, 7.394889517972301, 4.966385713849464, 6.5695623949968605, 11.518854768634677, 5.5380655212457, 4.905400574371218, 1.583865968113678, -0.39428772141055746, -1.7390431715777153, -1.0312255485256492, -0.11744809536665982, -1.682538385179852, 38.564375992444575, -3.118613937974902, -3.116063502295631, -4.121016672515191, -9.324976833976674, 2.808137715748073, 27.041082894732735, 7.708466551155631, 3.3696890530304597]"
7,[20],"[9, 1, 8, 0, 11, 14, 49, 32, 7, 3, 12, 16, 19, 35, 37, 13, 22, 21, 24, 31, 54, 29, 18, 30, 17, 10, 53, 38, 40, 2, 26, 6, 42, 15, 34, 50, 28, 23, 4, 39, 36, 5, 44, 27, 43, 51, 41, 46, 58, 33, 55, 59, 57, 45, 56, 25, 47, 48, 52]","[array([89], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([93], dtype=int64), array([21], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([51], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([23], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([88], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[65.70176626161037, 61.35365766755499, 60.940241280062104, 64.03967896576616, 63.94131683293285, 57.8069374351412, 59.125144656920604, 54.91265122672403, 57.70680254181619, 52.54089900772284, 53.53654110576511, 51.994525206953476, 51.66246445363272, 47.98125217170084, 55.250250969201, 48.02280221400055, 42.65105837535012, 42.3023589207646, 41.872032666966184, 37.80914152755668, 37.738569044305166, 33.45463735317684, 29.56333893663604, 27.54974640909939, 28.56189513274668, 87.22109236520629, 24.34742373514631, 22.43360081711054, 21.221300004348304, 51.81493280910951, 15.006872465919296, 88.08341609038227, 11.375983135998627, 19.946585144084096, 10.791132713900813, 9.338657847762137, 8.861987342262386, 9.143902150179619, 11.29612015303084, 4.966385713849464, 10.921069033661277, 37.396040463324226, 6.018700134088225, 4.457324605519622, 0.8850991193897938, 0.8405962198686541, 0.6502453380148934, -0.783955453038742, -1.5178306133602277, -2.5706671000481935, -2.60940401022523, -0.2058127277355542, -3.546954948401476, -1.9242310233195263, -5.830035543214365, 28.14884081630256, 9.497902507246735, 5.297711048893922, 5.348931160973612]"
8,[14],"[9, 8, 0, 1, 11, 7, 49, 32, 6, 38, 37, 3, 21, 22, 24, 19, 16, 12, 20, 29, 18, 30, 54, 31, 10, 17, 53, 40, 13, 35, 2, 26, 42, 15, 34, 50, 28, 23, 4, 39, 5, 36, 44, 27, 43, 51, 41, 46, 58, 33, 55, 59, 57, 45, 56, 25, 47, 48, 52]","[array([89], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([42], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([69], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([93], dtype=int64), array([31], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([91], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([51], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[73.97743941658474, 69.18523056452216, 67.83491750252897, 66.0767524196994, 71.4523613628828, 61.54556378265157, 63.657350301856695, 57.2181689607794, 79.3897932505859, 63.92809903453579, 58.08833206255847, 54.5905402968322, 49.25446658233278, 49.66511035313084, 50.50697273449091, 48.83828611396838, 47.89000781406213, 53.79173109138755, 43.036628868809466, 34.78090420276693, 31.981604535796542, 31.078129954258333, 29.316372416899505, 26.472222552195934, 86.12468826301013, 22.44067773453677, 27.376924922369987, 19.846261347213996, 65.35141651496303, 18.086348312318496, 48.72752338702025, 11.094488014350773, 11.375983135998627, 19.946585144084096, 10.791132713900813, 9.338657847762137, 8.861987342262386, 9.143902150179619, 11.29612015303084, 4.966385713849464, 41.23855866979089, 7.801480834731698, 6.018700134088225, 4.457324605519622, 0.8850991193897938, 0.8405962198686541, 0.6502453380148934, -0.783955453038742, -1.5178306133602277, -2.5706671000481935, -2.60940401022523, -0.2058127277355542, -3.546954948401476, -1.9242310233195263, -5.830035543214365, 28.14884081630256, 9.497902507246735, 5.297711048893922, 5.348931160973612]"
9,[29],"[9, 8, 1, 0, 11, 14, 49, 32, 7, 6, 38, 3, 24, 22, 21, 37, 19, 16, 20, 13, 31, 18, 54, 30, 10, 40, 53, 12, 17, 35, 2, 26, 42, 15, 34, 50, 28, 23, 36, 51, 52, 4, 39, 44, 27, 43, 58, 46, 41, 33, 5, 57, 45, 55, 56, 59, 25, 47, 48]","[array([89], dtype=int64), array([73], dtype=int64), array([83], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([88], dtype=int64), array([11], dtype=int64), array([69], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([10], dtype=int64), array([21], dtype=int64), array([93], dtype=int64), array([16], dtype=int64), array([51], dtype=int64), array([23], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([91], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([31], dtype=int64), array([16], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[71.6472856786843, 63.36901194614423, 63.62254078156415, 67.39073580299902, 68.51115362971417, 59.02813911533219, 61.703682861544415, 56.1342427964931, 58.59251152474761, 76.61029657699122, 55.34246243583821, 53.02866603831847, 51.20275054495423, 49.339319099454386, 50.598518469609104, 55.128328214016484, 48.14995593232549, 46.994450843740985, 43.7104384929191, 65.88432257553359, 34.93812421223641, 32.652046209881654, 31.740539959913914, 32.109402637157714, 88.12717161106193, 21.676370230795214, 23.786913220196436, 48.111290917835646, 21.53856164503855, 18.086348312318496, 48.72752338702025, 11.094488014350773, 11.375983135998627, 19.946585144084096, 10.791132713900813, 9.338657847762137, 8.861987342262386, 9.143902150179619, 8.24053467192338, 6.462924996001263, 9.870895038944449, 12.544953314877224, 5.520222445896876, 5.1283157534805195, 5.0135160952418625, -0.39428772141055746, -1.7390431715777153, -1.0312255485256492, -0.11744809536665982, -1.682538385179852, 38.564375992444575, -3.118613937974902, -3.116063502295631, -4.121016672515191, -9.324976833976674, 2.808137715748073, 27.041082894732735, 7.708466551155631, 3.3696890530304597]"
