random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 30, 9, 40, 39, 35, 29, 41, 53, 26, 38, 37, 10, 50, 34, 6, 3, 7, 11, 12, 31, 13, 0, 2, 32, 49, 16, 14, 55, 46, 15, 8, 4, 5, 52, 57, 58, 36, 45, 42, 28, 27, 44, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([83], dtype=int64), array([3], dtype=int64), array([89], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([88], dtype=int64), array([69], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([31], dtype=int64), array([23], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([73], dtype=int64), array([82], dtype=int64), array([42], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[68.91082169664415, 68.7156222209939, 78.78707042032157, 61.61059091371707, 52.69814011710011, 43.137924903372735, 39.57763005468792, 41.24158110305135, 24.85884290606477, 19.809861080843568, 25.40623507971128, 25.553182319248638, 19.577846523135797, 15.98427669193222, 20.445497345794163, 29.785935013396497, 14.523937543102772, 21.699259460160285, 17.574649413614353, 56.40268009225814, 50.84898235505841, 48.45462024923528, 51.15862206905915, 50.69164061797109, 56.837156386485, 27.716423663099945, 32.42237271859883, 48.60840526997573, 39.54500153917146, 39.43038632083014, 39.21106414674691, 40.55253105825789, 52.7617913945118, 39.42254726121195, 11.65453202520572, 15.417311500924379, 13.631411000154307, 12.444737954573549, 9.103948932809615, 8.794818855715857, 0.30276631466264425, 0.5010811651069079, 0.6487799102993403, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
1,[8],"[14, 9, 35, 40, 53, 29, 39, 41, 54, 26, 37, 38, 16, 42, 44, 10, 50, 34, 6, 46, 11, 2, 13, 12, 7, 3, 0, 32, 31, 49, 1, 55, 15, 4, 5, 52, 58, 36, 45, 57, 30, 28, 27, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([93], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([92], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([31], dtype=int64), array([49], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([42], dtype=int64), array([83], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[83.00262604422808, 82.35985839447152, 90.24595063062532, 68.63318507998996, 50.279957738448765, 45.058769930009944, 53.88776538879104, 40.300635069475625, 26.294148829947613, 24.70405893838133, 41.8907606161962, 30.791760358298298, 14.030782766094259, 22.69802304762428, 13.104119431483273, 9.917195207987824, 23.792203758165577, 15.73810799390766, 30.94050876878254, 41.65961972571827, 64.35858553093564, 29.68594888356598, 46.809305244329295, 37.20988253119228, 61.721133440604355, 34.22577623644775, 36.83955030535036, 39.08170198887736, 45.313707285691414, 36.24591934892785, 41.036426134085126, 25.49003847347143, 33.19048246806913, 45.97881799368081, 35.36314657539135, 14.830237279827033, 14.883844770075704, 9.97043284029285, 8.158683484470771, 6.100406547637022, 5.514419046593409, 1.7094407994310878, 0.33483460509564067, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
2,[55],"[14, 9, 37, 40, 29, 35, 53, 39, 41, 26, 16, 52, 54, 38, 42, 34, 6, 10, 50, 46, 11, 7, 13, 0, 3, 12, 2, 31, 49, 1, 32, 15, 58, 57, 8, 4, 5, 36, 45, 30, 28, 27, 44, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([93], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([73], dtype=int64), array([23], dtype=int64), array([42], dtype=int64), array([83], dtype=int64), array([82], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[65.88874991532676, 83.9061420835989, 81.14786410661071, 63.412572072519104, 43.6180191800369, 40.4422657568867, 34.319955050156494, 41.17984347223113, 33.475605014792116, 19.080376923338864, 13.727985277841201, 16.797884842627216, 17.340967985265294, 28.49827696769843, 12.226013616479454, 12.313476191879394, 20.40347833507086, 20.534298930496544, 21.400279288994238, 25.16182669935707, 65.7388774347833, 36.579414205317896, 27.838900119499126, 28.02524087731514, 41.78232650997962, 44.298665273113, 44.45807930076059, 37.471271350524, 32.96586197982576, 33.72387217739985, 48.091016715787035, 33.167163388646856, 20.48158567950131, 18.67800589093911, 48.08423769616771, 45.407010297130434, 35.9927159629378, 13.226610882663886, 6.704998497281109, 4.072348923855636, 0.30276631466264425, 0.5010811651069079, 0.6487799102993403, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
3,[15],"[14, 9, 10, 40, 53, 39, 41, 35, 29, 26, 37, 50, 16, 38, 34, 52, 42, 6, 46, 54, 11, 7, 57, 2, 13, 3, 12, 0, 32, 31, 1, 8, 4, 5, 36, 49, 55, 58, 45, 30, 28, 27, 44, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([91], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([93], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([42], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[59.28184832083125, 87.86176769969059, 82.10663047499543, 59.59294312542064, 56.432794909526976, 51.712692031679445, 48.65285258560759, 36.323097415958166, 33.97226179310104, 22.154814094228993, 44.67788331238511, 25.88846226167856, 17.233932473962923, 34.99797482326259, 14.892393932397937, 14.705256801031105, 13.80125125544136, 27.100358392495046, 16.921334087586896, 30.021787339282874, 57.326690736853, 41.48162766834125, 24.2506871563074, 27.6118440952123, 34.94173776246014, 36.27583348402669, 49.26038758827773, 39.37693067124676, 39.09457263338139, 48.84920531715481, 42.86829768895107, 44.10443742847852, 52.61046326060515, 33.643497889226374, 14.339601154966262, 19.75153512166167, 14.129457109080361, 8.472892853256202, 6.704998497281109, 4.072348923855636, 0.30276631466264425, 0.5010811651069079, 0.6487799102993403, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
4,[15],"[14, 9, 10, 40, 53, 39, 41, 35, 29, 26, 37, 50, 16, 38, 34, 52, 42, 6, 46, 54, 11, 7, 57, 2, 13, 3, 12, 0, 32, 31, 1, 8, 4, 5, 36, 49, 55, 58, 45, 30, 28, 27, 44, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([91], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([93], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([42], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[59.28184832083125, 87.86176769969059, 82.10663047499543, 59.59294312542064, 56.432794909526976, 51.712692031679445, 48.65285258560759, 36.323097415958166, 33.97226179310104, 22.154814094228993, 44.67788331238511, 25.88846226167856, 17.233932473962923, 34.99797482326259, 14.892393932397937, 14.705256801031105, 13.80125125544136, 27.100358392495046, 16.921334087586896, 30.021787339282874, 57.326690736853, 41.48162766834125, 24.2506871563074, 27.6118440952123, 34.94173776246014, 36.27583348402669, 49.26038758827773, 39.37693067124676, 39.09457263338139, 48.84920531715481, 42.86829768895107, 44.10443742847852, 52.61046326060515, 33.643497889226374, 14.339601154966262, 19.75153512166167, 14.129457109080361, 8.472892853256202, 6.704998497281109, 4.072348923855636, 0.30276631466264425, 0.5010811651069079, 0.6487799102993403, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
5,[39],"[14, 29, 40, 53, 35, 41, 37, 54, 26, 38, 34, 52, 42, 10, 16, 46, 9, 50, 30, 3, 31, 6, 11, 12, 13, 49, 0, 7, 2, 1, 55, 32, 15, 8, 4, 58, 5, 36, 45, 57, 28, 27, 44, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([91], dtype=int64), array([93], dtype=int64), array([0], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([69], dtype=int64), array([23], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([31], dtype=int64), array([51], dtype=int64), array([42], dtype=int64), array([62], dtype=int64), array([49], dtype=int64), array([73], dtype=int64), array([83], dtype=int64), array([0], dtype=int64), array([82], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[64.17097987126851, 54.1230974160372, 53.84444657415217, 37.16672490957815, 39.94387073459033, 38.50849026691378, 43.82688615743451, 16.87529427898996, 17.93264541788311, 22.74455143744135, 20.587982889482063, 9.012114677356468, 5.615157315870689, 7.526589891296813, 15.244282329594675, 15.473170489723946, 18.188069902967833, 17.72309823696528, 8.309224667917041, 25.93378804906827, 39.96345223099357, 36.6012702929044, 72.77828112369532, 40.342720999776716, 34.54449331650328, 37.871995417870956, 39.371094603109235, 43.899113489287004, 42.8084393754833, 38.419196191068316, 44.0167584881147, 52.74534474062042, 29.537184686555477, 42.542317755376885, 51.773752937072054, 14.33833409708906, 37.95775952132709, 12.557001605657446, 9.118693414893722, 6.785985399957878, 0.30276631466264425, 0.5010811651069079, 0.6487799102993403, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
6,[50],"[14, 9, 30, 40, 39, 53, 35, 29, 41, 52, 54, 26, 37, 38, 42, 16, 6, 10, 46, 11, 58, 7, 15, 3, 1, 0, 13, 8, 32, 31, 2, 34, 4, 5, 12, 49, 36, 55, 45, 57, 28, 27, 44, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([4], dtype=int64), array([93], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([69], dtype=int64), array([83], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([73], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([73], dtype=int64), array([5], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([31], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[68.6486594215718, 70.13833958326995, 70.45051324943275, 61.515424089291436, 51.30476618865219, 38.77805607452276, 36.61277889152004, 28.926872854904754, 40.26321032811795, 16.077870971556663, 17.19300019206057, 14.629351357194041, 38.056545906338265, 26.45293160048049, 12.196300109961681, 10.852512831199002, 24.366449867245844, 14.592955984814495, 18.892781218908294, 64.72818186988606, 28.99365775798137, 28.01817466793198, 28.219338875397536, 18.61468274498625, 33.62999513028284, 43.73683141031619, 55.955678205037394, 48.073068233809636, 50.25625680057007, 48.47007680544079, 49.220472736931725, 39.089577177078766, 47.05530386621215, 38.298809264846795, 46.14942061622326, 16.48223487140109, 11.351257881271327, 14.886542126148859, 9.118693414893722, 6.785985399957878, 0.30276631466264425, 0.5010811651069079, 0.6487799102993403, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
7,[20],"[14, 9, 29, 30, 26, 28, 39, 53, 35, 40, 41, 52, 54, 37, 16, 38, 44, 10, 34, 50, 3, 31, 6, 12, 11, 0, 7, 13, 49, 2, 1, 32, 55, 15, 8, 4, 5, 46, 36, 57, 58, 45, 24, 19, 21, 22, 17, 18, 23, 51, 42, 27, 33, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([93], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([91], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([69], dtype=int64), array([23], dtype=int64), array([88], dtype=int64), array([31], dtype=int64), array([92], dtype=int64), array([62], dtype=int64), array([49], dtype=int64), array([51], dtype=int64), array([42], dtype=int64), array([73], dtype=int64), array([83], dtype=int64), array([82], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([16], dtype=int64), array([53], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[66.03306446729745, 91.76426120994513, 75.83793520320097, 68.4265531484684, 62.90501768275695, 48.31747410314655, 41.32933748856087, 39.751451168419635, 38.79306912149912, 44.54984949987351, 40.88898979968101, 16.858789435154456, 17.703339338576555, 40.56025702207321, 12.858810007117972, 27.70485150952865, 14.478011491239618, 14.199898781769756, 17.282737334009365, 32.8283960612775, 31.241181918292384, 41.14876734122525, 44.82530155112156, 40.73846298320347, 69.73030597021415, 33.19674886095864, 41.95965101083092, 39.60110169479027, 38.65579914960316, 44.94449702108252, 38.20212401741473, 52.437085825980816, 40.27394998876737, 37.68143600954331, 42.85225537003883, 51.35702470136011, 39.90363323266654, 33.47074821279768, 13.219034748004756, 10.877072758720516, 10.575864875496444, 6.271297368693185, 6.494529761017763, 18.627489550394667, 17.637295311926877, 31.31209018929922, 21.398095260048372, 32.23742042036741, 13.228450594576943, 4.417691921453118, 11.786366166635041, 2.21467020068108, -3.556070177051207, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
8,[14],"[49, 9, 10, 11, 1, 16, 35, 40, 53, 39, 37, 29, 38, 41, 30, 3, 7, 34, 8, 15, 54, 6, 0, 13, 32, 4, 5, 59, 46, 2, 25, 47, 48, 58, 42, 57, 45, 28, 26, 55, 36, 18, 17, 22, 21, 24, 19, 20, 23, 44, 27, 43, 33, 51, 56, 12, 31, 52, 50]","[array([42], dtype=int64), array([89], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([83], dtype=int64), array([93], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([69], dtype=int64), array([49], dtype=int64), array([5], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([51], dtype=int64), array([82], dtype=int64), array([33], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([53], dtype=int64), array([16], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([23], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[87.75870126538477, 94.67675564644767, 83.9285352456121, 79.27122945362967, 77.20944039633748, 67.24112806272471, 78.47519910366783, 78.34886002726479, 68.1192420123857, 58.81651493873201, 62.651329631889084, 42.00188634228768, 45.11743019586122, 34.22342849375112, 28.735462052178303, 28.574192212609578, 36.382126718015385, 28.910954222868934, 32.00795178904648, 62.02604790543328, 55.37646535369029, 85.57919587314876, 49.9010800077113, 56.92558737924347, 54.23619215024107, 51.486239958598766, 47.13270385941333, 54.3612645852297, 55.67477155116502, 43.47558277465648, 30.361471184815944, 31.09278307972881, 27.07078761125398, 17.2964859521567, 12.658679386081396, 12.451979724383518, 9.146993942462311, 9.028417482781194, 5.263166424101305, 6.400734749149623, 9.622838640091906, 2.353912628507768, 28.40977225104278, 25.945619973666144, 21.929861085027756, 21.72674105415625, 33.7071053765472, 23.274964134622397, 13.430434383325302, 1.8372493340029348, -0.2593180464061693, -0.5325833761340465, -1.5380290327843908, -6.273439149164575, -14.52684887552113, 34.857811548248925, 33.129794100223016, 19.939724590991187, 24.281197128849865]"
9,[29],"[14, 9, 26, 27, 37, 41, 35, 53, 40, 39, 52, 54, 16, 38, 44, 10, 50, 34, 6, 11, 2, 3, 12, 13, 0, 7, 32, 31, 49, 55, 15, 1, 8, 4, 46, 5, 57, 36, 58, 45, 42, 30, 28, 21, 22, 18, 24, 17, 19, 20, 23, 33, 51, 43, 56, 59, 25, 47, 48]","[array([91], dtype=int64), array([89], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([93], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([73], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([49], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([42], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[67.14660709823949, 89.2917271220641, 88.76707413209311, 57.57499465848082, 53.48139490738983, 38.241708870774254, 38.839134611232645, 32.207119594684414, 39.13593520582529, 35.00923358293866, 14.900597663464543, 14.073127632746377, 13.630931638906727, 28.269823876307875, 13.580747005496173, 11.818947679936905, 21.26485522131386, 15.938471771071846, 26.896306696760945, 61.21026603280554, 34.86897684304933, 47.43827226721056, 57.67600360196233, 60.296878157161544, 38.768115154771216, 55.620024491735656, 40.46212991418452, 52.38738519423137, 45.68375452867856, 36.601249105962616, 42.045172393472726, 33.84612013541566, 36.44431828247603, 47.89302565735099, 28.246416209876834, 39.412017382987884, 13.172972649015822, 8.847048461838861, 9.939537900791201, 12.347669960745067, 8.190526123296639, 3.6021946143456463, 3.419043800125891, -1.8614237378407976, 26.092528761631698, 27.965147786194255, 25.972945884974216, 19.763682862635065, 32.41495484783896, 22.744729272343697, 9.769470572453487, 4.203950549745607, -1.7909015308125023, -4.275675238927519, -10.580844335214389, 34.4011377288795, 23.117112592406304, 16.07940665923587, 21.58758177269463]"
