random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 40, 39, 35, 53, 41, 37, 38, 42, 50, 51, 34, 44, 6, 16, 52, 33, 14, 10, 11, 7, 43, 55, 8, 45, 29, 26, 36, 46, 30, 28, 27, 57, 3, 15, 12, 2, 0, 13, 4, 1, 32, 5, 49, 31, 19, 21, 22, 18, 24, 20, 23, 58, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([34], dtype=int64), array([21], dtype=int64), array([11], dtype=int64), array([48], dtype=int64), array([67], dtype=int64), array([53], dtype=int64), array([8], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([69], dtype=int64), array([72], dtype=int64), array([74], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([78], dtype=int64), array([8], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([60], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([79], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[83.31830998832936, 55.62682880968548, 51.45980606563897, 36.85547540038657, 33.503514847584874, 43.10746285902653, 47.711242413316675, 52.85966276445756, 24.961126305981935, 22.361959877349722, 23.40150177502691, 32.251065151398954, 19.98703705499965, 24.54032971818457, 23.688490658161484, 23.58088409212346, 17.959791491730332, 20.85166410658818, 19.519728297616357, 35.42132530089181, 20.612213451224232, 18.018980175940815, 14.701818104297935, 34.9742420007342, 14.151635428347626, 12.271118235155148, 10.904358212629244, 16.464439827815102, 9.411779926448009, 8.99879848717859, 11.145640664771227, 10.778659304456578, 5.4517986689927955, 4.604082862447631, 10.335656024370948, 7.822898606128972, 15.86516857755738, 13.395175291784572, 17.283902397519075, 30.2276575893262, 10.5134681936977, 10.595022440733151, 27.921810441777897, 13.678571227305467, 24.4320459281333, 3.0702264020076933, 6.691413820996071, 10.203292652820021, 10.676575522461453, 12.126493789428366, 15.369977881912392, 11.739929143211802, 8.424667158923285, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
1,[8],"[9, 16, 10, 14, 6, 2, 32, 0, 13, 49, 3, 31, 11, 12, 22, 18, 30, 28, 29, 26, 40, 53, 35, 39, 41, 37, 34, 38, 54, 7, 1, 15, 36, 52, 42, 44, 55, 43, 4, 33, 45, 27, 5, 58, 57, 51, 19, 21, 46, 24, 20, 23, 17, 50, 56, 59, 25, 47, 48]","[array([63], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([81], dtype=int64), array([67], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([76], dtype=int64), array([65], dtype=int64), array([58], dtype=int64), array([72], dtype=int64), array([60], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([25], dtype=int64), array([21], dtype=int64), array([38], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([11], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([74], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([23], dtype=int64), array([33], dtype=int64), array([52], dtype=int64), array([6], dtype=int64), array([8], dtype=int64), array([19], dtype=int64), array([79], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([1], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[88.47257811385512, 77.84582912001727, 89.10318034068882, 79.55272900526553, 65.49428346468561, 52.627653134139436, 62.06419115825073, 46.56909611153919, 46.44509947133941, 51.5244927014424, 44.80405768351029, 59.67148869917621, 59.70324913823969, 44.64652252449488, 42.56473755226185, 82.41779823873581, 94.64654013386095, 96.3756186020992, 70.48580704071905, 53.0602589849385, 48.31451655668846, 79.63942964544354, 38.96222523860655, 45.94281314954949, 47.376861399125836, 49.66105902993866, 30.888815021560696, 52.386270519473136, 21.284028267120142, 43.24503048687118, 26.680249938384428, 26.10229355726473, 27.62290944316251, 16.47819279676987, 14.920766829104542, 20.67342294399046, 18.640083879732074, 17.607055626312718, 30.80458772057168, 14.542068428553856, 14.411694826186661, 13.253888957779552, 18.799750408955987, 8.78619506123956, 9.025838628182099, 9.204861711749038, 10.210175334435846, 12.6262890649366, 9.947945169894613, 10.653348377428275, 13.659653484203611, 11.4474670945896, 7.293159345181372, 11.010077097035962, 6.834075204508767, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
2,[55],"[9, 10, 40, 35, 53, 39, 41, 37, 38, 52, 34, 54, 42, 16, 44, 6, 33, 11, 14, 7, 50, 43, 8, 29, 45, 26, 51, 36, 46, 30, 28, 27, 57, 3, 15, 12, 2, 0, 13, 4, 1, 32, 5, 49, 31, 19, 21, 22, 18, 24, 20, 23, 58, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([25], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([53], dtype=int64), array([48], dtype=int64), array([67], dtype=int64), array([6], dtype=int64), array([72], dtype=int64), array([81], dtype=int64), array([74], dtype=int64), array([34], dtype=int64), array([33], dtype=int64), array([78], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([60], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([79], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[82.92641640299092, 70.55800091803712, 54.57053790831156, 41.96726600397798, 30.45424454903762, 49.02129401784372, 39.30603628718375, 42.78297473930447, 49.23471356375551, 23.591621607053852, 29.619447470217292, 20.42916538629829, 20.364473560971362, 22.729567903792542, 24.715083680397626, 31.339256311973934, 18.271605226447672, 38.5245761536359, 16.85408606183778, 20.19087391586326, 15.39470719331502, 21.560002543766227, 35.921845131502614, 13.454764720739384, 14.83688002311461, 11.664446596756806, 12.822999791259857, 16.464439827815102, 9.411779926448009, 8.99879848717859, 11.145640664771227, 10.778659304456578, 5.4517986689927955, 4.604082862447631, 10.335656024370948, 7.822898606128972, 15.86516857755738, 13.395175291784572, 17.283902397519075, 30.2276575893262, 10.5134681936977, 10.595022440733151, 27.921810441777897, 13.678571227305467, 24.4320459281333, 3.0702264020076933, 6.691413820996071, 10.203292652820021, 10.676575522461453, 12.126493789428366, 15.369977881912392, 11.739929143211802, 8.424667158923285, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
3,[15],"[9, 10, 28, 22, 29, 26, 40, 35, 37, 53, 3, 38, 51, 6, 20, 39, 34, 19, 41, 16, 11, 7, 21, 18, 24, 33, 52, 54, 42, 44, 50, 8, 14, 43, 55, 45, 30, 27, 46, 4, 2, 1, 12, 36, 23, 0, 32, 13, 31, 49, 5, 58, 57, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([25], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([65], dtype=int64), array([15], dtype=int64), array([21], dtype=int64), array([67], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([53], dtype=int64), array([72], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([6], dtype=int64), array([8], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([34], dtype=int64), array([78], dtype=int64), array([81], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([1], dtype=int64), array([52], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([10], dtype=int64), array([29], dtype=int64), array([69], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([58], dtype=int64), array([76], dtype=int64), array([79], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[81.92898990201088, 67.46072142320953, 56.17179213402338, 89.1265313242167, 87.7226458757562, 56.93787793485608, 45.41727013585861, 38.69421342735347, 84.95563161264158, 75.57519598602345, 81.43186135652402, 81.62332874513481, 73.63539058852122, 79.32968620322968, 66.29912280612855, 62.078771243840905, 58.32645124141937, 55.37566576170406, 59.96099141921657, 21.911568212945262, 32.389155057712344, 22.768665274103522, 16.532950993693188, 19.191382399234172, 18.53666473367668, 18.385162942591535, 15.04474650751392, 16.804361700724737, 16.42567848563358, 29.441057716406178, 20.625842031936795, 43.979213900602794, 17.03456768441, 19.089792433670958, 18.23794915175959, 14.559337797512274, 14.596960767328422, 13.819506576188925, 11.930080053886542, 18.117875331572808, 8.625943817103092, 13.734783725753205, 23.716215791083393, 23.750419817484197, 15.177253352208995, 11.659952677710667, 11.792368840486784, 38.59092310233842, 16.13366060264356, 21.059051165944812, 18.405705427983317, 12.490416068677478, 9.572432168500143, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
4,[15],"[9, 10, 28, 22, 29, 26, 40, 35, 37, 53, 3, 38, 51, 6, 20, 39, 34, 19, 41, 16, 11, 7, 21, 18, 24, 33, 52, 54, 42, 44, 50, 8, 14, 43, 55, 45, 30, 27, 46, 4, 2, 1, 12, 36, 23, 0, 32, 13, 31, 49, 5, 58, 57, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([25], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([65], dtype=int64), array([15], dtype=int64), array([21], dtype=int64), array([67], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([53], dtype=int64), array([72], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([6], dtype=int64), array([8], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([34], dtype=int64), array([78], dtype=int64), array([81], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([1], dtype=int64), array([52], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([10], dtype=int64), array([29], dtype=int64), array([69], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([58], dtype=int64), array([76], dtype=int64), array([79], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[81.92898990201088, 67.46072142320953, 56.17179213402338, 89.1265313242167, 87.7226458757562, 56.93787793485608, 45.41727013585861, 38.69421342735347, 84.95563161264158, 75.57519598602345, 81.43186135652402, 81.62332874513481, 73.63539058852122, 79.32968620322968, 66.29912280612855, 62.078771243840905, 58.32645124141937, 55.37566576170406, 59.96099141921657, 21.911568212945262, 32.389155057712344, 22.768665274103522, 16.532950993693188, 19.191382399234172, 18.53666473367668, 18.385162942591535, 15.04474650751392, 16.804361700724737, 16.42567848563358, 29.441057716406178, 20.625842031936795, 43.979213900602794, 17.03456768441, 19.089792433670958, 18.23794915175959, 14.559337797512274, 14.596960767328422, 13.819506576188925, 11.930080053886542, 18.117875331572808, 8.625943817103092, 13.734783725753205, 23.716215791083393, 23.750419817484197, 15.177253352208995, 11.659952677710667, 11.792368840486784, 38.59092310233842, 16.13366060264356, 21.059051165944812, 18.405705427983317, 12.490416068677478, 9.572432168500143, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
5,[39],"[9, 35, 40, 53, 41, 37, 38, 42, 51, 54, 44, 33, 50, 34, 10, 52, 16, 6, 11, 14, 7, 43, 55, 8, 45, 29, 26, 36, 46, 30, 28, 27, 57, 3, 15, 12, 2, 0, 13, 4, 1, 32, 5, 49, 31, 19, 21, 22, 18, 24, 20, 23, 58, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([38], dtype=int64), array([25], dtype=int64), array([21], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([21], dtype=int64), array([39], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([34], dtype=int64), array([11], dtype=int64), array([69], dtype=int64), array([8], dtype=int64), array([53], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([81], dtype=int64), array([74], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([78], dtype=int64), array([8], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([60], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([79], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[86.83042083769519, 38.05706192339018, 47.177878287884575, 35.30598704582696, 42.2532407470987, 45.833127693960535, 54.96146323617123, 20.757353923142894, 25.44986263495803, 22.714027274221934, 20.414946945864862, 20.722320242425308, 21.764076166660253, 28.91868060249494, 27.329899392439074, 23.0909151160195, 28.429997039931184, 31.34990277163385, 35.91901783999559, 18.84300870416265, 20.612213451224232, 18.018980175940815, 14.701818104297935, 34.9742420007342, 14.151635428347626, 12.271118235155148, 10.904358212629244, 16.464439827815102, 9.411779926448009, 8.99879848717859, 11.145640664771227, 10.778659304456578, 5.4517986689927955, 4.604082862447631, 10.335656024370948, 7.822898606128972, 15.86516857755738, 13.395175291784572, 17.283902397519075, 30.2276575893262, 10.5134681936977, 10.595022440733151, 27.921810441777897, 13.678571227305467, 24.4320459281333, 3.0702264020076933, 6.691413820996071, 10.203292652820021, 10.676575522461453, 12.126493789428366, 15.369977881912392, 11.739929143211802, 8.424667158923285, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
6,[50],"[9, 10, 40, 35, 53, 39, 41, 37, 52, 38, 33, 34, 6, 7, 42, 54, 44, 51, 55, 43, 14, 11, 16, 8, 45, 29, 26, 36, 46, 30, 28, 27, 57, 3, 15, 12, 2, 0, 13, 4, 1, 32, 5, 49, 31, 19, 21, 22, 18, 24, 20, 23, 58, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([25], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([6], dtype=int64), array([11], dtype=int64), array([67], dtype=int64), array([74], dtype=int64), array([57], dtype=int64), array([39], dtype=int64), array([48], dtype=int64), array([21], dtype=int64), array([23], dtype=int64), array([33], dtype=int64), array([81], dtype=int64), array([72], dtype=int64), array([53], dtype=int64), array([78], dtype=int64), array([8], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([60], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([79], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[84.30448232619044, 59.28745689348248, 56.83122841588141, 41.07264731922318, 30.655455760881786, 46.107138651663426, 40.66418887355837, 40.08172878206841, 26.40703786617751, 45.99347094657745, 20.764417625794152, 28.45177084652581, 27.264670627440356, 15.639331259257926, 17.724149229444226, 24.51436817789959, 33.00697137861489, 14.500920847202586, 14.103759029314295, 13.770791134199207, 13.649135116849619, 32.76345812132303, 21.066066244876698, 34.9742420007342, 14.151635428347626, 12.271118235155148, 10.904358212629244, 16.464439827815102, 9.411779926448009, 8.99879848717859, 11.145640664771227, 10.778659304456578, 5.4517986689927955, 4.604082862447631, 10.335656024370948, 7.822898606128972, 15.86516857755738, 13.395175291784572, 17.283902397519075, 30.2276575893262, 10.5134681936977, 10.595022440733151, 27.921810441777897, 13.678571227305467, 24.4320459281333, 3.0702264020076933, 6.691413820996071, 10.203292652820021, 10.676575522461453, 12.126493789428366, 15.369977881912392, 11.739929143211802, 8.424667158923285, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
7,[20],"[9, 29, 30, 28, 40, 26, 39, 35, 27, 41, 19, 51, 54, 37, 38, 53, 42, 33, 10, 44, 22, 14, 34, 50, 52, 6, 11, 16, 7, 43, 21, 24, 18, 8, 45, 23, 55, 46, 4, 3, 36, 5, 2, 12, 1, 0, 15, 13, 49, 31, 58, 32, 57, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([13], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([25], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([38], dtype=int64), array([19], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([39], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([21], dtype=int64), array([57], dtype=int64), array([6], dtype=int64), array([69], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([81], dtype=int64), array([11], dtype=int64), array([34], dtype=int64), array([8], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([53], dtype=int64), array([74], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([47], dtype=int64), array([78], dtype=int64), array([8], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([52], dtype=int64), array([65], dtype=int64), array([10], dtype=int64), array([79], dtype=int64), array([78], dtype=int64), array([60], dtype=int64), array([83], dtype=int64), array([69], dtype=int64), array([45], dtype=int64), array([62], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([2], dtype=int64), array([70], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[83.96787877016011, 64.73642048238665, 51.23257501647228, 63.619895739003304, 60.39733578813197, 34.41455469820056, 46.209553020186554, 40.005539773413986, 26.049916253785074, 41.64745979384902, 27.187981202800653, 24.115521266232832, 23.064367631587256, 53.350328761154415, 43.411944844156785, 20.564858081463115, 23.49132892060469, 20.29888697021461, 84.4309389408722, 30.860675425714465, 83.97909307513136, 80.18116836222153, 32.15554847396297, 22.373874137906135, 24.526738631445603, 33.49288176845453, 32.717854082619574, 22.97787323379919, 21.98794108243627, 21.37012902745695, 17.344706597874417, 15.303143025097713, 15.141532409893175, 45.25246871232059, 16.23136464162236, 11.968740110435242, 12.52392663146112, 10.564055533353507, 13.177784922081566, 6.505984412794771, 26.725833463510345, 8.303771294240688, 14.014197899856377, 12.797985560870451, 22.88306825722558, 12.610087569070998, 26.800180704967172, 11.28117511792094, 14.415157019233684, 11.734775916807042, 13.330471642443174, 38.60195138698769, 9.572432168500143, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
8,[14],"[9, 22, 30, 21, 3, 28, 29, 26, 40, 39, 35, 41, 53, 37, 38, 52, 34, 54, 42, 44, 6, 11, 7, 16, 43, 51, 10, 50, 55, 19, 18, 33, 24, 46, 27, 20, 45, 8, 15, 4, 2, 1, 12, 36, 23, 0, 32, 13, 31, 49, 5, 58, 57, 56, 17, 59, 25, 47, 48]","[array([63], dtype=int64), array([40], dtype=int64), array([24], dtype=int64), array([40], dtype=int64), array([65], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([38], dtype=int64), array([15], dtype=int64), array([21], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([74], dtype=int64), array([53], dtype=int64), array([33], dtype=int64), array([21], dtype=int64), array([69], dtype=int64), array([34], dtype=int64), array([23], dtype=int64), array([31], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([45], dtype=int64), array([1], dtype=int64), array([19], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([78], dtype=int64), array([45], dtype=int64), array([52], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([10], dtype=int64), array([29], dtype=int64), array([69], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([58], dtype=int64), array([76], dtype=int64), array([79], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([40], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[86.13427610927583, 92.92157199003603, 101.16559889105578, 92.16976742534386, 80.48584012902259, 90.3487730524778, 52.861820826623656, 50.76564915854647, 50.13303859809602, 45.14652910917669, 41.927011979279925, 41.740671065182944, 32.5531047520565, 46.95662987087625, 47.02390495854787, 23.40951850332511, 35.56403485805519, 16.23804158690288, 20.53130461655917, 24.396417168839697, 26.556476013314953, 19.885642060185937, 21.230942513820825, 21.89097120314631, 18.20404764459759, 15.984318080521053, 15.701634895985306, 14.7452555837928, 14.280812745429643, 14.371065269262736, 13.676575881813191, 15.111699316279026, 14.305960496449876, 14.423684836516614, 12.896961148125945, 12.859367550179872, 12.9944001608538, 40.487671307384424, 9.003201808407203, 18.117875331572808, 8.625943817103092, 13.734783725753205, 23.716215791083393, 23.750419817484197, 15.177253352208995, 11.659952677710667, 11.792368840486784, 38.59092310233842, 16.13366060264356, 21.059051165944812, 18.405705427983317, 12.490416068677478, 9.572432168500143, 5.304487051651093, 5.365643946693795, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
9,[29],"[9, 26, 28, 40, 39, 35, 30, 51, 41, 27, 19, 54, 37, 20, 38, 53, 42, 33, 10, 44, 22, 14, 34, 50, 52, 6, 11, 16, 7, 43, 21, 24, 18, 8, 45, 23, 55, 46, 36, 57, 17, 56, 3, 15, 2, 1, 12, 4, 0, 32, 13, 5, 31, 49, 58, 59, 25, 47, 48]","[array([63], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([38], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([31], dtype=int64), array([39], dtype=int64), array([42], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([21], dtype=int64), array([57], dtype=int64), array([6], dtype=int64), array([69], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([81], dtype=int64), array([11], dtype=int64), array([34], dtype=int64), array([8], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([53], dtype=int64), array([74], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([47], dtype=int64), array([78], dtype=int64), array([8], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([40], dtype=int64), array([12], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([69], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([79], dtype=int64), array([58], dtype=int64), array([76], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[85.43071787038261, 64.96756028688873, 48.03891084385819, 62.18106024141832, 46.469989098802635, 41.780389425526465, 30.638678353271033, 24.930481016994154, 41.931496585908256, 24.686823932430944, 24.97886622922994, 25.543950798699957, 54.061741881332814, 17.28885740220825, 43.411944844156785, 20.564858081463115, 23.49132892060469, 20.29888697021461, 84.4309389408722, 30.860675425714465, 83.97909307513136, 80.18116836222153, 32.15554847396297, 22.373874137906135, 24.526738631445603, 33.49288176845453, 32.717854082619574, 22.97787323379919, 21.98794108243627, 21.37012902745695, 17.344706597874417, 15.303143025097713, 15.141532409893175, 45.25246871232059, 16.23136464162236, 11.968740110435242, 12.52392663146112, 10.564055533353507, 23.548713065239895, 5.464424468709179, 7.422345617208788, 6.138097456249834, 6.818357875649777, 11.07979861351604, 9.627075151407398, 10.301435621171954, 21.95241045257393, 34.858236563117565, 11.884263082224887, 15.771350347924507, 38.13691893303897, 25.39606619887005, 15.36855092318412, 18.23560945522864, 12.278818784300155, 11.81988173270874, 22.83840602325885, 21.21248891751557, 30.717182655548996]"
