random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 16, 10, 6, 3, 14, 38, 49, 2, 13, 0, 32, 18, 11, 1, 12, 15, 7, 21, 22, 42, 44, 17, 31, 24, 19, 43, 20, 23, 55, 50, 53, 30, 27, 28, 26, 29, 52, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([67], dtype=int64), array([65], dtype=int64), array([81], dtype=int64), array([15], dtype=int64), array([76], dtype=int64), array([78], dtype=int64), array([62], dtype=int64), array([69], dtype=int64), array([70], dtype=int64), array([47], dtype=int64), array([72], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([45], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([58], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([33], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([34], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[83.31830998832936, 70.03776392344413, 60.474726309103104, 67.27529217402244, 51.199106889291826, 69.68733443437847, 66.25849089730498, 49.26952777073041, 49.51492661913267, 60.70261746912272, 65.6364245899473, 79.77098423960763, 54.645138541995784, 63.916186273663506, 72.12655711385301, 50.77017369558225, 54.59523673447008, 45.7778771429343, 34.58410667995036, 31.653346932049942, 30.602458364545626, 30.538528591154495, 30.570189277193574, 31.92579906007718, 29.74134672403477, 28.857709728731933, 24.877880292862752, 21.947241306112222, 19.5754426221141, 19.703041297502427, 17.663802243638337, 16.660137017658833, 17.52235040004468, 16.765814880517432, 17.049363531415842, 13.909061462384708, 14.337311204504875, 14.08808061400043, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
1,[8],"[9, 53, 24, 20, 16, 10, 14, 6, 49, 2, 0, 3, 13, 18, 32, 11, 1, 12, 7, 21, 22, 19, 31, 42, 44, 17, 43, 54, 23, 55, 50, 30, 28, 27, 26, 29, 52, 38, 15, 57, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([21], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([81], dtype=int64), array([67], dtype=int64), array([76], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([62], dtype=int64), array([47], dtype=int64), array([70], dtype=int64), array([72], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([31], dtype=int64), array([58], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([33], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([34], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([45], dtype=int64), array([2], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[88.47257811385512, 44.911980189604066, 94.17045612168566, 87.34008748412558, 79.1735626906749, 60.54598379954201, 56.03650426062595, 68.14582475671942, 49.41272002654567, 68.44507250437833, 66.15526924675817, 62.255197588884684, 60.02123827414174, 56.44011303081498, 79.09630640187058, 66.2267720850726, 75.34030900702743, 50.560813323735, 50.29828371837696, 34.50563916979511, 33.918022763387995, 29.405927708233108, 27.130890220361298, 25.823016303215958, 31.35230495165733, 31.72671448991135, 26.41669266067994, 27.043669375335686, 19.84325412776382, 16.749782975419308, 17.597445325072332, 16.359316245195355, 16.731479715042397, 15.326458196196619, 14.36140181005684, 12.94261447426268, 13.362744275349119, 12.422992455401243, 45.66439531720018, 12.935694238200767, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
2,[55],"[9, 10, 21, 16, 14, 49, 6, 13, 2, 0, 3, 32, 11, 1, 15, 18, 12, 7, 22, 24, 19, 42, 44, 17, 31, 43, 53, 54, 20, 23, 30, 27, 28, 50, 26, 29, 52, 38, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([40], dtype=int64), array([53], dtype=int64), array([81], dtype=int64), array([76], dtype=int64), array([67], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([70], dtype=int64), array([72], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([47], dtype=int64), array([60], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([40], dtype=int64), array([58], dtype=int64), array([33], dtype=int64), array([21], dtype=int64), array([39], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([12], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[82.92641640299092, 70.55800091803712, 90.0206748224321, 64.86724376506618, 55.63782197084193, 49.92230897952196, 52.33179147671849, 47.489842440963976, 68.3601925350941, 62.85901456472647, 61.07919861571466, 79.09746543845209, 65.00771161422612, 72.8724225234434, 58.30614778466828, 50.74878003986025, 47.847030045762594, 46.19313782660685, 55.4046107862872, 29.924138166785593, 30.325035576700227, 28.913010294029633, 30.175958153069093, 28.93356861363505, 31.359479215554828, 29.12810139482138, 32.20779346318785, 26.749203784607253, 22.619118683207482, 19.077563568794783, 16.392426220005547, 16.177437213284385, 17.791105651219173, 14.61714139331966, 14.448382885444987, 14.40764090708891, 14.245862885567476, 12.627397985829294, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
3,[15],"[9, 10, 49, 13, 12, 27, 14, 16, 2, 6, 0, 3, 32, 18, 11, 1, 22, 21, 7, 24, 19, 31, 20, 17, 23, 42, 44, 54, 43, 30, 50, 55, 28, 53, 26, 29, 52, 38, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([76], dtype=int64), array([62], dtype=int64), array([60], dtype=int64), array([19], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([78], dtype=int64), array([67], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([70], dtype=int64), array([47], dtype=int64), array([72], dtype=int64), array([83], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([58], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([23], dtype=int64), array([12], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[81.92898990201088, 67.46072142320953, 100.45725160583565, 55.747463410543055, 55.21264517714394, 54.41593884550275, 73.47429283762538, 70.3921766804347, 68.09250169901908, 75.07623047249231, 64.73978861261863, 61.61135871350067, 80.63812142607385, 52.97219269319546, 62.87853182812993, 73.11500968149453, 46.549170982191775, 44.9985547303729, 47.63078009317679, 40.46762697895596, 41.12833480089958, 25.49129480538214, 20.399134032469444, 19.52258143144428, 18.161462591482834, 25.430676535048438, 31.98417329416542, 24.774336647925228, 23.630418710797905, 18.306637287204467, 18.948146167520346, 18.442327601975038, 16.979174453382154, 16.019005917345513, 14.448382885444987, 14.40764090708891, 14.245862885567476, 12.627397985829294, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
4,[15],"[9, 10, 49, 13, 12, 27, 14, 16, 2, 6, 0, 3, 32, 18, 11, 1, 22, 21, 7, 24, 19, 31, 20, 17, 23, 42, 44, 54, 43, 30, 50, 55, 28, 53, 26, 29, 52, 38, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([76], dtype=int64), array([62], dtype=int64), array([60], dtype=int64), array([19], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([78], dtype=int64), array([67], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([70], dtype=int64), array([47], dtype=int64), array([72], dtype=int64), array([83], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([58], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([23], dtype=int64), array([12], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[81.92898990201088, 67.46072142320953, 100.45725160583565, 55.747463410543055, 55.21264517714394, 54.41593884550275, 73.47429283762538, 70.3921766804347, 68.09250169901908, 75.07623047249231, 64.73978861261863, 61.61135871350067, 80.63812142607385, 52.97219269319546, 62.87853182812993, 73.11500968149453, 46.549170982191775, 44.9985547303729, 47.63078009317679, 40.46762697895596, 41.12833480089958, 25.49129480538214, 20.399134032469444, 19.52258143144428, 18.161462591482834, 25.430676535048438, 31.98417329416542, 24.774336647925228, 23.630418710797905, 18.306637287204467, 18.948146167520346, 18.442327601975038, 16.979174453382154, 16.019005917345513, 14.448382885444987, 14.40764090708891, 14.245862885567476, 12.627397985829294, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
5,[39],"[9, 16, 10, 14, 6, 2, 0, 13, 3, 49, 32, 18, 11, 1, 12, 15, 22, 21, 7, 24, 19, 42, 44, 31, 17, 54, 43, 20, 23, 30, 55, 50, 53, 28, 27, 26, 52, 29, 38, 37, 8, 36, 51, 57, 40, 45, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([81], dtype=int64), array([67], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([65], dtype=int64), array([76], dtype=int64), array([70], dtype=int64), array([47], dtype=int64), array([72], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([23], dtype=int64), array([34], dtype=int64), array([21], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([13], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([78], dtype=int64), array([10], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([25], dtype=int64), array([8], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[86.83042083769519, 71.04208776086962, 59.66207007952398, 59.77432730801624, 72.13589606830809, 65.61472526844055, 61.818406330142054, 60.061656338464594, 57.637185246517795, 60.32807771718241, 79.4826100961885, 55.45092299079944, 64.15726551532515, 74.9528237619286, 50.941414505897974, 57.27038403887566, 47.66126520632147, 46.19257995465816, 40.9691655407122, 42.23435735635375, 41.404137085954225, 26.164343835405383, 30.09375180039618, 30.928966989821745, 31.551952773704706, 26.09016497683524, 24.75174528485341, 22.048777271379937, 19.01014094560814, 17.06294317028007, 19.16959534891594, 16.402445158104236, 17.38759155990977, 17.522632663403762, 15.162811277881465, 14.036222129384429, 13.636775083592667, 13.809976180352166, 13.225309408088407, 12.317730080553979, 64.33432625149705, 12.349067660169498, 10.46778895329281, 10.34175254475067, 10.499770871714002, 10.595111733787219, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
6,[50],"[9, 16, 10, 22, 14, 49, 6, 13, 2, 0, 3, 18, 32, 11, 12, 1, 15, 21, 7, 31, 19, 24, 20, 17, 38, 42, 44, 54, 43, 23, 55, 53, 30, 27, 28, 26, 29, 52, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([40], dtype=int64), array([81], dtype=int64), array([76], dtype=int64), array([67], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([47], dtype=int64), array([70], dtype=int64), array([72], dtype=int64), array([60], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([58], dtype=int64), array([31], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[84.30448232619044, 74.38411613954445, 55.19493237565304, 89.08131772502064, 56.38932566623736, 49.65477008106718, 58.125311377963264, 46.7960524478826, 49.80154706480331, 62.44459655035204, 59.30405565662869, 54.00021794924525, 77.9936160807238, 62.52816990252801, 51.19632235234741, 75.79013102309268, 57.72809254358776, 44.792431254114774, 42.61791408804419, 27.383463538864792, 28.082882340216685, 29.1361297493111, 19.94053096479766, 18.78953237475609, 18.459806249151196, 27.603366526801274, 30.79420622280534, 25.50462671838493, 25.926597634201066, 19.53575221268602, 17.37099209546539, 16.660137017658833, 17.52235040004468, 16.765814880517432, 17.049363531415842, 13.909061462384708, 14.337311204504875, 14.08808061400043, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
7,[20],"[9, 16, 10, 14, 6, 0, 2, 13, 49, 3, 32, 11, 18, 1, 12, 15, 21, 22, 7, 24, 19, 31, 17, 23, 38, 42, 44, 54, 43, 55, 50, 53, 30, 27, 28, 26, 29, 52, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([81], dtype=int64), array([67], dtype=int64), array([69], dtype=int64), array([78], dtype=int64), array([62], dtype=int64), array([76], dtype=int64), array([65], dtype=int64), array([70], dtype=int64), array([72], dtype=int64), array([47], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([34], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[83.96787877016011, 72.16812884368588, 59.435497923082124, 54.23293036072758, 63.40795340388661, 49.239696103886004, 65.74667369250031, 59.70474739570029, 55.774907609401005, 60.04923390124489, 80.32133997210029, 65.3459260992843, 55.22611539512149, 72.57625781184154, 51.42920411339386, 54.77901599592355, 47.30095258144571, 44.79953027249882, 43.35183419476722, 28.744834530921565, 30.32207547188856, 25.243286313698896, 21.87245190090651, 17.526815181004864, 18.468008324756852, 27.904875811613945, 29.808220986440396, 26.375020172436948, 24.58778620625229, 19.703041297502427, 17.663802243638337, 16.660137017658833, 17.52235040004468, 16.765814880517432, 17.049363531415842, 13.909061462384708, 14.337311204504875, 14.08808061400043, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
8,[14],"[9, 18, 3, 35, 16, 6, 10, 2, 0, 13, 11, 49, 32, 12, 1, 15, 22, 21, 7, 24, 19, 20, 44, 42, 31, 17, 43, 54, 23, 30, 28, 55, 53, 27, 50, 29, 52, 26, 38, 37, 8, 51, 56, 45, 57, 33, 36, 40, 39, 41, 58, 46, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([47], dtype=int64), array([65], dtype=int64), array([38], dtype=int64), array([53], dtype=int64), array([67], dtype=int64), array([69], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([72], dtype=int64), array([76], dtype=int64), array([70], dtype=int64), array([60], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([28], dtype=int64), array([48], dtype=int64), array([57], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([33], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([23], dtype=int64), array([21], dtype=int64), array([19], dtype=int64), array([34], dtype=int64), array([13], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([78], dtype=int64), array([21], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[86.13427610927583, 79.84144981255918, 65.56343873132805, 79.52498326821927, 72.22037626005555, 65.34169247286606, 68.4099282157529, 66.83743107405812, 63.370245950432526, 60.61975659761092, 68.58275439268485, 57.21273730730964, 79.5410744868567, 50.89638205379738, 75.55694596953586, 56.407989183508185, 47.783795782774064, 47.22412067280204, 44.341519679964556, 29.835453429004787, 29.608486788661757, 25.644258653835486, 25.092559663916035, 35.4061210466677, 30.137086048505363, 30.021639872121828, 23.79393497266527, 24.693676279016767, 22.432211111017686, 16.99661421189203, 17.567961022115718, 17.393974781019615, 15.804792504567887, 15.813167336334372, 16.15063918037459, 14.037414078623664, 14.570887243108261, 14.864324420837493, 14.35883567060432, 13.098450775369155, 63.169615205620595, 14.402548087575205, 11.937746242805863, 12.711047039154717, 10.494712995526084, 10.588401713117179, 14.62759897204736, 9.912842675642665, 13.328720019783537, 11.953667259867297, 10.759908291612927, 9.13523392525156, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
9,[29],"[9, 16, 10, 14, 6, 2, 0, 13, 3, 49, 32, 11, 18, 12, 1, 15, 22, 21, 7, 24, 19, 44, 42, 31, 17, 54, 43, 20, 23, 55, 50, 30, 27, 28, 53, 26, 52, 38, 57, 8, 37, 51, 45, 36, 40, 39, 46, 41, 58, 35, 56, 33, 4, 5, 34, 59, 25, 47, 48]","[array([63], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([81], dtype=int64), array([67], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([62], dtype=int64), array([65], dtype=int64), array([76], dtype=int64), array([70], dtype=int64), array([72], dtype=int64), array([47], dtype=int64), array([60], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([57], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([39], dtype=int64), array([33], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([34], dtype=int64), array([24], dtype=int64), array([19], dtype=int64), array([12], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[85.43071787038261, 71.72501443619412, 55.20140103104773, 61.89615651327252, 71.36483046628607, 64.02173713367664, 61.57606148950863, 61.07442607646113, 61.11489868873928, 59.55329971412004, 80.6239245712673, 65.8301041144759, 53.83446109207961, 51.022732925622705, 75.58061251791915, 55.240223071394404, 46.98407832819735, 46.98724206461436, 42.469207321936025, 44.59461971615309, 43.60906887928937, 25.939415601401887, 36.55524329628057, 30.248566736187136, 32.52966923892782, 26.458828870456436, 25.055428231554977, 22.673933605764198, 19.80612106851092, 17.337506135297023, 17.27924155101024, 16.7240990607579, 16.37632810306811, 17.416430800582074, 15.404291827646622, 13.667509823465986, 14.245862885567476, 12.627397985829294, 12.132593074748087, 63.49835987712686, 11.694956690211576, 10.525344727646301, 9.769204647430204, 14.290528027008973, 9.177303658596745, 10.731003101361912, 10.111016779076046, 10.15054980924566, 8.398706084329273, 8.47792762631443, 10.677766419348167, 9.673854820562147, 40.799737169049564, 55.81144123030067, 6.275286354833453, 13.073199602388112, 44.55303428708991, 8.37370079558887, 6.695424555713684]"
