random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 6, 11, 22, 10, 0, 1, 7, 16, 49, 3, 8, 18, 24, 14, 21, 13, 31, 37, 12, 42, 19, 44, 20, 43, 2, 32, 17, 30, 40, 23, 53, 50, 27, 29, 26, 38, 28, 35, 51, 15, 52, 39, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([47], dtype=int64), array([50], dtype=int64), array([54], dtype=int64), array([22], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([25], dtype=int64), array([40], dtype=int64), array([41], dtype=int64), array([26], dtype=int64), array([57], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([13], dtype=int64), array([33], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([20], dtype=int64), array([18], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([29], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([21], dtype=int64), array([10], dtype=int64), array([10], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([37], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[87.56667798021458, 75.59157604026646, 57.13822566394818, 93.43914026770686, 64.4791456923699, 61.17620641029536, 56.422598488282894, 47.643923264662455, 57.64325830226065, 55.95198753154815, 46.786857096622924, 48.33123186024229, 40.14537559094376, 35.76957889081704, 57.397633095637694, 31.631355616533202, 33.050086733838754, 30.52578132739852, 29.955382614875692, 33.471923096369395, 32.07746806154188, 28.3371826512466, 34.848011780902986, 24.005105984154124, 24.784245507558275, 46.75283950744779, 43.92694520127743, 25.28494718747488, 21.229543939597594, 19.671505069970735, 16.51093234392431, 18.020319503849706, 14.443842747885595, 13.424682816218176, 15.016903047035933, 12.801482153573433, 15.279311197167564, 12.545015660862758, 12.686618328963664, 9.818132136656917, 23.306301118638345, 9.063631233729762, 9.041279474426203, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
1,[8],"[9, 6, 11, 20, 10, 1, 0, 49, 16, 7, 18, 3, 21, 22, 14, 24, 13, 31, 12, 2, 19, 42, 44, 37, 17, 32, 30, 43, 53, 23, 54, 40, 50, 27, 29, 26, 38, 28, 35, 51, 15, 52, 39, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([20], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([25], dtype=int64), array([31], dtype=int64), array([13], dtype=int64), array([57], dtype=int64), array([26], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([33], dtype=int64), array([48], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([59], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([10], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([37], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[81.47064171465412, 64.6262989925271, 66.54681727957822, 88.06042982919944, 59.828414666928104, 62.78833803656747, 47.0108707861263, 50.804963296074696, 56.44457253047178, 41.897547769013116, 42.199378923176006, 40.68107348687397, 39.518678318483865, 36.264214313955456, 64.5353551281672, 31.11114000453013, 31.82721424893987, 29.688651586377652, 29.705355020264932, 45.56691876628442, 29.171647461595555, 30.506139385794757, 30.55825958030836, 27.28643537523865, 28.302353457974473, 39.16048450737195, 21.727103026204187, 27.048459604536838, 20.654094998351876, 17.829253772505414, 14.768672337724608, 16.677820908704806, 14.443842747885595, 13.424682816218176, 15.016903047035933, 12.801482153573433, 15.279311197167564, 12.545015660862758, 12.686618328963664, 9.818132136656917, 23.306301118638345, 9.063631233729762, 9.041279474426203, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
2,[55],"[9, 6, 1, 11, 10, 8, 0, 49, 7, 16, 24, 18, 21, 14, 22, 3, 31, 13, 12, 42, 2, 37, 44, 32, 19, 17, 20, 43, 30, 40, 23, 54, 53, 50, 28, 27, 26, 38, 29, 35, 51, 39, 15, 52, 34, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([24], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([22], dtype=int64), array([51], dtype=int64), array([26], dtype=int64), array([41], dtype=int64), array([31], dtype=int64), array([57], dtype=int64), array([13], dtype=int64), array([25], dtype=int64), array([6], dtype=int64), array([46], dtype=int64), array([33], dtype=int64), array([36], dtype=int64), array([48], dtype=int64), array([13], dtype=int64), array([30], dtype=int64), array([59], dtype=int64), array([30], dtype=int64), array([29], dtype=int64), array([20], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([9], dtype=int64), array([11], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([37], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[86.73142493835242, 74.52001886841792, 60.630639097002195, 57.60385244182947, 54.44142856017987, 59.33840139804623, 47.08405057937114, 52.178127821157105, 47.93855485923348, 45.43739169729065, 42.06090855036504, 41.786171810501465, 39.693106677705444, 54.62929940376709, 38.04464586649538, 42.84368314879654, 30.62712611154106, 30.836490164968506, 30.7303180257354, 31.937199639458704, 47.202703600698904, 31.129325851263633, 28.57539398061164, 44.389745607484095, 26.83194868089861, 24.921440036222222, 24.5109564442064, 22.925291130137815, 19.797884362109293, 20.872072220727386, 17.304602529126445, 17.29448847993353, 16.366524704043368, 16.029120541730947, 13.54950875656315, 14.322121867668047, 13.477150737692702, 14.036510267313592, 12.457407320141492, 11.566398436941638, 10.291281407990049, 10.12309049226631, 26.78360424439876, 8.484649891703597, 7.351750612826485, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
3,[15],"[9, 6, 1, 11, 26, 10, 8, 49, 16, 0, 3, 18, 21, 7, 24, 22, 14, 13, 44, 12, 42, 19, 37, 17, 31, 43, 2, 20, 30, 40, 54, 23, 38, 53, 50, 35, 29, 51, 28, 27, 39, 52, 32, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([50], dtype=int64), array([25], dtype=int64), array([41], dtype=int64), array([31], dtype=int64), array([22], dtype=int64), array([26], dtype=int64), array([13], dtype=int64), array([57], dtype=int64), array([46], dtype=int64), array([30], dtype=int64), array([33], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([18], dtype=int64), array([48], dtype=int64), array([20], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([6], dtype=int64), array([16], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[86.98148961339454, 74.52893524938396, 60.04678065155852, 57.030610065455534, 45.34252791917638, 56.33370179811643, 59.34601565486652, 46.52562707162423, 53.95465122410001, 49.0239577448449, 49.41300537739797, 43.90123722604924, 40.45309849214438, 39.94412945377113, 37.721633060233394, 37.317220977171694, 54.32751593758859, 33.4974970229122, 33.37671614334961, 38.52119126155421, 29.728510502373943, 26.31668697857971, 30.150279254105474, 26.62379499881459, 25.72025675447944, 24.909218516483534, 44.79064336684949, 25.509806577570068, 20.29148323228542, 20.66179489393186, 17.56484712008976, 17.722278748451433, 15.462890640406581, 17.0381037944644, 15.250351552814124, 13.602208772932785, 12.614608668323417, 11.802749445143368, 10.440652271030205, 13.198348645675571, 8.822060447769898, 7.309504388848114, 38.17551670549302, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
4,[15],"[9, 6, 1, 11, 26, 10, 8, 49, 16, 0, 3, 18, 21, 7, 24, 22, 14, 13, 44, 12, 42, 19, 37, 17, 31, 43, 2, 20, 30, 40, 54, 23, 38, 53, 50, 35, 29, 51, 28, 27, 39, 52, 32, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([50], dtype=int64), array([25], dtype=int64), array([41], dtype=int64), array([31], dtype=int64), array([22], dtype=int64), array([26], dtype=int64), array([13], dtype=int64), array([57], dtype=int64), array([46], dtype=int64), array([30], dtype=int64), array([33], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([18], dtype=int64), array([48], dtype=int64), array([20], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([6], dtype=int64), array([16], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[86.98148961339454, 74.52893524938396, 60.04678065155852, 57.030610065455534, 45.34252791917638, 56.33370179811643, 59.34601565486652, 46.52562707162423, 53.95465122410001, 49.0239577448449, 49.41300537739797, 43.90123722604924, 40.45309849214438, 39.94412945377113, 37.721633060233394, 37.317220977171694, 54.32751593758859, 33.4974970229122, 33.37671614334961, 38.52119126155421, 29.728510502373943, 26.31668697857971, 30.150279254105474, 26.62379499881459, 25.72025675447944, 24.909218516483534, 44.79064336684949, 25.509806577570068, 20.29148323228542, 20.66179489393186, 17.56484712008976, 17.722278748451433, 15.462890640406581, 17.0381037944644, 15.250351552814124, 13.602208772932785, 12.614608668323417, 11.802749445143368, 10.440652271030205, 13.198348645675571, 8.822060447769898, 7.309504388848114, 38.17551670549302, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
5,[39],"[9, 6, 11, 22, 10, 1, 0, 49, 16, 8, 18, 3, 7, 21, 24, 14, 13, 12, 31, 2, 19, 42, 32, 44, 17, 20, 37, 43, 30, 23, 53, 50, 54, 38, 28, 40, 29, 27, 35, 26, 52, 15, 51, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([40], dtype=int64), array([41], dtype=int64), array([25], dtype=int64), array([22], dtype=int64), array([31], dtype=int64), array([26], dtype=int64), array([57], dtype=int64), array([46], dtype=int64), array([33], dtype=int64), array([6], dtype=int64), array([48], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([59], dtype=int64), array([30], dtype=int64), array([29], dtype=int64), array([20], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([10], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.37027480173018, 74.71478428664027, 58.883946456439645, 91.40994009635749, 59.55020383714702, 57.743331792413834, 52.22539417699493, 55.28448707614503, 54.587200398123834, 48.75200226339486, 39.5821142950402, 38.68787314920288, 35.03386825584074, 34.712122295476725, 33.13808704931988, 49.45101805717667, 34.45298348577992, 30.06201610344155, 32.95101344943586, 42.121409622876456, 29.029188647235408, 30.57363068189846, 44.58234309847724, 29.156475550068997, 24.1610496177829, 24.286805100277096, 21.839030180880993, 22.986127186699573, 19.93870692707047, 16.18036430998095, 16.09470683360925, 16.046219266886286, 15.265357568946667, 15.335778298804954, 16.213022236365187, 13.807892610253116, 13.870176663780212, 14.12390365340233, 12.029368251226542, 12.32709768255185, 8.724834335971293, 26.538831975724566, 9.44979451182504, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
6,[50],"[9, 6, 1, 11, 10, 7, 8, 49, 16, 18, 3, 0, 22, 24, 14, 21, 13, 12, 31, 37, 2, 15, 19, 42, 17, 44, 20, 43, 30, 23, 38, 40, 53, 54, 29, 28, 26, 35, 27, 51, 39, 52, 32, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 5, 36, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([24], dtype=int64), array([47], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([41], dtype=int64), array([25], dtype=int64), array([50], dtype=int64), array([13], dtype=int64), array([26], dtype=int64), array([57], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([33], dtype=int64), array([6], dtype=int64), array([13], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([29], dtype=int64), array([30], dtype=int64), array([20], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([16], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([52], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.10768097568, 75.31421047505698, 60.849165280270725, 57.9921597360098, 52.74943242536915, 46.484923912792176, 47.19712839931853, 50.67534776924261, 61.606324635471445, 40.786585357251454, 41.90653317870946, 41.884291259512025, 37.20080062157748, 35.5752796417923, 51.6510797607598, 31.12786833969897, 31.540799503859002, 31.329182973730592, 30.07897667464195, 29.065687074940698, 40.17230945237398, 29.84709357494065, 27.144450438560547, 30.637452595413286, 27.1152483813348, 28.541207576387116, 23.04891521728359, 24.49412678949378, 18.8893500703261, 19.066352508209462, 18.3763336975122, 18.91684445262808, 15.511961989449068, 14.744937622239846, 14.52343989913555, 13.719163027334897, 15.959729730739456, 13.482230373163569, 12.694434639994059, 9.534489298299158, 8.822060447769898, 7.309504388848114, 38.17551670549302, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 41.909130109982364, 7.805106971486964, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
7,[20],"[9, 6, 11, 10, 1, 8, 0, 49, 16, 7, 18, 3, 21, 22, 14, 24, 13, 31, 12, 2, 19, 42, 44, 37, 17, 32, 30, 43, 53, 23, 54, 40, 50, 27, 29, 26, 38, 28, 35, 51, 15, 52, 39, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([40], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([25], dtype=int64), array([31], dtype=int64), array([13], dtype=int64), array([57], dtype=int64), array([26], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([33], dtype=int64), array([48], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([59], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([10], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([37], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[82.27850370970386, 75.3723803508897, 57.186340001626846, 64.77472922004034, 54.8844982089371, 56.577184355795254, 47.0108707861263, 50.804963296074696, 56.44457253047178, 41.897547769013116, 42.199378923176006, 40.68107348687397, 39.518678318483865, 36.264214313955456, 64.5353551281672, 31.11114000453013, 31.82721424893987, 29.688651586377652, 29.705355020264932, 45.56691876628442, 29.171647461595555, 30.506139385794757, 30.55825958030836, 27.28643537523865, 28.302353457974473, 39.16048450737195, 21.727103026204187, 27.048459604536838, 20.654094998351876, 17.829253772505414, 14.768672337724608, 16.677820908704806, 14.443842747885595, 13.424682816218176, 15.016903047035933, 12.801482153573433, 15.279311197167564, 12.545015660862758, 12.686618328963664, 9.818132136656917, 23.306301118638345, 9.063631233729762, 9.041279474426203, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
8,[14],"[9, 6, 22, 11, 35, 10, 1, 8, 49, 16, 18, 3, 7, 21, 24, 0, 31, 19, 13, 12, 42, 2, 44, 32, 17, 20, 30, 43, 37, 53, 23, 54, 50, 40, 29, 27, 28, 26, 38, 51, 15, 52, 39, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([13], dtype=int64), array([24], dtype=int64), array([3], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([40], dtype=int64), array([53], dtype=int64), array([51], dtype=int64), array([41], dtype=int64), array([25], dtype=int64), array([22], dtype=int64), array([31], dtype=int64), array([26], dtype=int64), array([50], dtype=int64), array([6], dtype=int64), array([30], dtype=int64), array([46], dtype=int64), array([33], dtype=int64), array([36], dtype=int64), array([48], dtype=int64), array([30], dtype=int64), array([59], dtype=int64), array([29], dtype=int64), array([20], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([13], dtype=int64), array([10], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([9], dtype=int64), array([11], dtype=int64), array([9], dtype=int64), array([37], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.5692169242763, 76.96799722151273, 90.78663339917347, 75.40904833395089, 94.14858529012051, 63.17364785545127, 60.351996638671245, 54.10500305900497, 43.813490796312394, 50.168955566022795, 38.32053831072756, 38.105002726974305, 35.96428537037805, 34.253575151187746, 33.785431012227065, 41.0303308555835, 32.64578459469672, 26.700729328871756, 31.699719756613, 32.6491469944697, 28.981157657145122, 43.8470508143944, 29.09149399507601, 44.02199667110661, 23.12520420812263, 23.866081575418644, 22.549907978751452, 24.511623051219207, 20.150064438003408, 17.33164059010312, 16.555815126817297, 14.634384355193033, 14.35168907325472, 15.633156009109316, 14.279981941498008, 13.055197646215099, 12.814678269422826, 11.992699759365868, 12.955886357228142, 9.818132136656917, 23.306301118638345, 9.063631233729762, 9.041279474426203, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
9,[29],"[9, 6, 11, 20, 10, 1, 8, 0, 16, 49, 3, 24, 7, 18, 21, 22, 14, 13, 12, 31, 42, 17, 44, 19, 43, 2, 37, 32, 30, 53, 23, 50, 54, 40, 26, 38, 28, 27, 35, 51, 15, 52, 39, 34, 55, 41, 56, 57, 45, 33, 58, 4, 46, 36, 5, 59, 25, 47, 48]","[array([57], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([20], dtype=int64), array([47], dtype=int64), array([54], dtype=int64), array([40], dtype=int64), array([50], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([25], dtype=int64), array([26], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([31], dtype=int64), array([13], dtype=int64), array([57], dtype=int64), array([46], dtype=int64), array([33], dtype=int64), array([6], dtype=int64), array([36], dtype=int64), array([29], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([18], dtype=int64), array([48], dtype=int64), array([13], dtype=int64), array([59], dtype=int64), array([14], dtype=int64), array([10], dtype=int64), array([21], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([9], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([37], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[86.50090164126676, 73.63144383655433, 61.30821296571299, 88.76515621921469, 62.19673393385796, 58.40568313380777, 47.77145971204942, 49.447418425523885, 51.3649262940073, 44.45060683931744, 49.47117828891281, 40.544246519309375, 41.291909439489224, 41.26160911870708, 37.77025621244783, 35.898269010079126, 52.613489847065864, 31.484716451362836, 39.69007567538595, 27.827481629713148, 32.47165625339609, 29.235332360937168, 30.48764239478481, 27.7388120342405, 23.750257420277677, 45.995659243909586, 28.474037604103952, 41.82054995068538, 21.938717253559492, 21.139201944185505, 18.821453443690046, 15.540963643104316, 15.830815275322285, 16.47084547212124, 14.2197528426139, 14.735490902928161, 10.858624196235631, 13.058498998019978, 12.686618328963664, 9.818132136656917, 23.306301118638345, 9.063631233729762, 9.041279474426203, 6.435205757650807, 3.933428706869424, 5.5699434430024795, 3.370326517072844, 0.5867692699735229, 1.097623296099665, 0.5008209612105328, -1.0182210060696917, 31.845880969600213, -1.8217412763686756, 7.669204595382517, 41.24969684969041, -5.258589913519401, 32.7086191221527, 0.7236443610477051, 2.312890718985151]"
