random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 16, 3, 9, 10, 14, 12, 13, 37, 2, 42, 24, 20, 18, 22, 17, 21, 19, 23, 44, 35, 49, 40, 41, 38, 51, 6, 30, 28, 26, 29, 27, 56, 58, 39, 33, 53, 34, 50, 0, 11, 7, 43, 15, 32, 8, 36, 52, 45, 31, 4, 46, 55, 57, 5, 59, 25, 47, 48]","[array([12], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([91], dtype=int64), array([8], dtype=int64), array([20], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([34], dtype=int64), array([72], dtype=int64), array([36], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([66], dtype=int64), array([32], dtype=int64), array([94], dtype=int64), array([44], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([77], dtype=int64), array([86], dtype=int64), array([82], dtype=int64), array([79], dtype=int64), array([84], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([88], dtype=int64), array([73], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([7], dtype=int64), array([45], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([98], dtype=int64), array([85], dtype=int64), array([44], dtype=int64), array([26], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([28], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[84.89826762913073, 76.2481010515498, 48.07404843140374, 61.42263942866387, 47.44891186932419, 65.21852678602785, 56.51089466695391, 48.72166090495205, 40.687444761986505, 45.0128837533505, 53.19482476105177, 39.011827964553724, 43.50135590142684, 47.51727182041892, 40.50725516445026, 43.06001646268796, 43.74762833514945, 57.790147614334565, 55.29895006742601, 37.03258519762316, 37.30153106420553, 38.909616716184175, 37.80043351878415, 42.91557428589284, 40.079494395362445, 37.26694406752579, 43.872910999789575, 33.05153190288301, 39.730961080729465, 53.79754899954498, 40.30544600674778, 73.56146090182874, 35.63335734975966, 28.677371204027562, 32.403851493282986, 38.97419297092629, 29.477379283513326, 33.20672552095969, 30.554782809955505, 37.981725339328534, 50.65257843199466, 26.821438111928725, 25.709310926245365, 26.13033132191869, 23.95196817735507, 52.95423753182163, 25.94787458822766, 28.164857104205065, 23.738191670303593, 24.223358819833884, 40.38137529646127, 23.17545291517127, 12.235255610174105, 8.200824803590715, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
1,[8],"[1, 16, 9, 3, 10, 14, 12, 13, 37, 38, 35, 20, 24, 18, 23, 42, 49, 6, 0, 2, 19, 21, 22, 11, 44, 32, 53, 31, 52, 7, 34, 50, 36, 15, 30, 27, 28, 51, 26, 39, 40, 41, 33, 29, 17, 56, 46, 4, 43, 45, 54, 55, 57, 58, 5, 59, 25, 47, 48]","[array([12], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([22], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([34], dtype=int64), array([66], dtype=int64), array([20], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([45], dtype=int64), array([8], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([72], dtype=int64), array([80], dtype=int64), array([32], dtype=int64), array([60], dtype=int64), array([68], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([7], dtype=int64), array([85], dtype=int64), array([6], dtype=int64), array([77], dtype=int64), array([84], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([73], dtype=int64), array([79], dtype=int64), array([36], dtype=int64), array([20], dtype=int64), array([28], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([26], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[90.39759742119574, 80.89472018262187, 51.92644634547371, 47.13993585467154, 42.9547867320937, 60.62132831306633, 44.69591728052502, 48.580708870269845, 45.88808064709875, 40.7231796753819, 40.34950198843735, 37.349785766479826, 43.99614953580066, 47.795989532321926, 46.13873332654009, 29.906774606224538, 33.89780576128765, 56.83763715200765, 49.76640591085875, 33.65035597531304, 71.33657417469864, 58.770573377327175, 59.68943452338841, 75.89012339211214, 49.76056471695318, 55.70123768831344, 53.799747578814184, 51.681013412350225, 54.33939619218334, 78.92687076556047, 46.57120240302442, 55.87678063343977, 19.37972228010469, 20.125846931838783, 11.58706117272674, 37.09238465150977, 51.47048271583052, 47.97265071225037, 65.16934697221505, 49.502057717381085, 69.2005836716968, 73.42595274217541, 59.40441402592801, 45.78492162368381, 39.102249305838654, 36.7797874268664, 34.43610088698101, 41.61903683781414, 28.703708713891338, 22.93373208126377, 15.804078924807639, 11.102604896761214, 9.6943999578205, 6.757019592605331, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
2,[55],"[14, 9, 37, 16, 10, 50, 12, 46, 6, 38, 40, 41, 49, 13, 3, 35, 44, 42, 0, 2, 43, 51, 39, 53, 33, 52, 34, 11, 17, 22, 24, 18, 21, 19, 20, 30, 26, 29, 28, 56, 27, 23, 1, 32, 36, 31, 8, 7, 15, 4, 45, 54, 57, 58, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([81], dtype=int64), array([7], dtype=int64), array([40], dtype=int64), array([28], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([44], dtype=int64), array([9], dtype=int64), array([22], dtype=int64), array([94], dtype=int64), array([32], dtype=int64), array([20], dtype=int64), array([45], dtype=int64), array([8], dtype=int64), array([5], dtype=int64), array([85], dtype=int64), array([88], dtype=int64), array([68], dtype=int64), array([73], dtype=int64), array([44], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([36], dtype=int64), array([72], dtype=int64), array([88], dtype=int64), array([34], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([79], dtype=int64), array([86], dtype=int64), array([20], dtype=int64), array([84], dtype=int64), array([66], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([85], dtype=int64), array([22], dtype=int64), array([98], dtype=int64), array([91], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([26], dtype=int64), array([58], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[84.10970051181086, 81.98214661588061, 80.51072658811343, 30.689761706489637, 57.170681818357345, 29.58700058705078, 29.889107403846428, 27.295855118382303, 52.14017504462145, 22.030362097220525, 30.187050927135957, 40.262499334579104, 35.78865158787044, 24.83158702292945, 21.160512312654152, 22.97792667043427, 28.908197497424172, 30.35629339061838, 47.84907973763589, 28.614993942806134, 20.385929922649556, 19.116780379133964, 21.95232062973545, 22.242458846538618, 28.991078826190275, 28.01900151066494, 31.578891831746212, 81.83566041770884, 37.49626264865694, 36.301597301132766, 39.38414210635204, 49.9776042785079, 48.91498847855718, 41.69438752788847, 57.27839982962483, 20.371655391057825, 23.04268679206479, 28.310191708433926, 57.21919602461141, 38.676365398818234, 74.57506667195608, 77.12757769001074, 51.370084538317855, 19.73846652636686, 22.200164642030696, 20.962866579244544, 15.458630973878709, 31.19609222674702, 23.077637217326767, 41.72148666673051, 12.416678580985078, 10.756119529280276, 9.6943999578205, 6.757019592605331, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
3,[15],"[9, 16, 3, 6, 10, 14, 37, 13, 49, 12, 35, 2, 42, 22, 17, 18, 24, 11, 19, 21, 20, 23, 32, 31, 38, 50, 0, 44, 40, 41, 51, 53, 1, 39, 33, 34, 30, 29, 28, 56, 52, 26, 27, 46, 8, 7, 36, 4, 43, 45, 54, 55, 57, 58, 5, 59, 25, 47, 48]","[array([90], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([9], dtype=int64), array([44], dtype=int64), array([40], dtype=int64), array([94], dtype=int64), array([8], dtype=int64), array([20], dtype=int64), array([72], dtype=int64), array([36], dtype=int64), array([34], dtype=int64), array([88], dtype=int64), array([80], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([89], dtype=int64), array([66], dtype=int64), array([60], dtype=int64), array([22], dtype=int64), array([88], dtype=int64), array([7], dtype=int64), array([45], dtype=int64), array([32], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([68], dtype=int64), array([12], dtype=int64), array([88], dtype=int64), array([73], dtype=int64), array([91], dtype=int64), array([77], dtype=int64), array([79], dtype=int64), array([86], dtype=int64), array([20], dtype=int64), array([44], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([28], dtype=int64), array([98], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([26], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[82.8150196878026, 79.01675677194015, 59.465941732654876, 64.26301840687519, 61.54405951955108, 62.60594456156742, 61.160518801518045, 50.18717475912025, 47.12979442567535, 48.31409133563238, 44.535177778413555, 51.24743281495622, 44.89616817204475, 40.79711498737637, 46.288869843705605, 48.048747058022656, 42.90169258031154, 75.12509690979633, 49.01909421403034, 50.47030938894285, 54.9015241061927, 74.30673414967511, 67.53872041011213, 58.495634996679925, 58.259638851101585, 53.31489568738574, 52.3559316738712, 35.22984873876538, 32.03542969494938, 39.46929911504351, 53.8895320225463, 50.85916536435176, 74.32389736603537, 55.05895478364864, 55.14987989983405, 54.75366070846031, 46.99974563161773, 48.46745115305841, 65.47335091610297, 62.13745798650168, 47.776707054291926, 67.44057186380007, 78.77135205204067, 37.323170433541556, 41.363569057875715, 28.383482593714575, 27.906722459457185, 41.61903683781414, 28.703708713891338, 22.93373208126377, 15.804078924807639, 11.102604896761214, 9.6943999578205, 6.757019592605331, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
4,[15],"[9, 16, 3, 6, 10, 14, 37, 13, 49, 12, 35, 2, 42, 22, 17, 18, 24, 11, 19, 21, 20, 23, 32, 31, 38, 50, 0, 44, 40, 41, 51, 53, 1, 39, 33, 34, 30, 29, 28, 56, 52, 26, 27, 46, 8, 7, 36, 4, 43, 45, 54, 55, 57, 58, 5, 59, 25, 47, 48]","[array([90], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([9], dtype=int64), array([44], dtype=int64), array([40], dtype=int64), array([94], dtype=int64), array([8], dtype=int64), array([20], dtype=int64), array([72], dtype=int64), array([36], dtype=int64), array([34], dtype=int64), array([88], dtype=int64), array([80], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([89], dtype=int64), array([66], dtype=int64), array([60], dtype=int64), array([22], dtype=int64), array([88], dtype=int64), array([7], dtype=int64), array([45], dtype=int64), array([32], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([68], dtype=int64), array([12], dtype=int64), array([88], dtype=int64), array([73], dtype=int64), array([91], dtype=int64), array([77], dtype=int64), array([79], dtype=int64), array([86], dtype=int64), array([20], dtype=int64), array([44], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([28], dtype=int64), array([98], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([26], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[82.8150196878026, 79.01675677194015, 59.465941732654876, 64.26301840687519, 61.54405951955108, 62.60594456156742, 61.160518801518045, 50.18717475912025, 47.12979442567535, 48.31409133563238, 44.535177778413555, 51.24743281495622, 44.89616817204475, 40.79711498737637, 46.288869843705605, 48.048747058022656, 42.90169258031154, 75.12509690979633, 49.01909421403034, 50.47030938894285, 54.9015241061927, 74.30673414967511, 67.53872041011213, 58.495634996679925, 58.259638851101585, 53.31489568738574, 52.3559316738712, 35.22984873876538, 32.03542969494938, 39.46929911504351, 53.8895320225463, 50.85916536435176, 74.32389736603537, 55.05895478364864, 55.14987989983405, 54.75366070846031, 46.99974563161773, 48.46745115305841, 65.47335091610297, 62.13745798650168, 47.776707054291926, 67.44057186380007, 78.77135205204067, 37.323170433541556, 41.363569057875715, 28.383482593714575, 27.906722459457185, 41.61903683781414, 28.703708713891338, 22.93373208126377, 15.804078924807639, 11.102604896761214, 9.6943999578205, 6.757019592605331, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
5,[39],"[1, 16, 9, 10, 14, 12, 13, 3, 20, 35, 24, 23, 18, 42, 2, 49, 6, 22, 19, 17, 21, 51, 40, 41, 53, 37, 33, 38, 52, 34, 11, 32, 50, 44, 29, 28, 30, 56, 26, 27, 46, 0, 7, 54, 15, 43, 8, 36, 4, 31, 45, 55, 57, 58, 5, 59, 25, 47, 48]","[array([12], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([22], dtype=int64), array([89], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([66], dtype=int64), array([34], dtype=int64), array([20], dtype=int64), array([8], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([72], dtype=int64), array([88], dtype=int64), array([36], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([73], dtype=int64), array([88], dtype=int64), array([44], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([60], dtype=int64), array([7], dtype=int64), array([32], dtype=int64), array([79], dtype=int64), array([86], dtype=int64), array([77], dtype=int64), array([20], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([91], dtype=int64), array([58], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([98], dtype=int64), array([85], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[87.47054696997597, 81.01492561271914, 53.49116402582366, 50.948255782260865, 60.97999217148507, 51.250342973307845, 46.84429859207781, 45.461571761603345, 41.069207618136964, 47.070073138906885, 48.25231255330377, 54.27514281528383, 45.49621901229241, 45.89524907642704, 48.38004850837068, 76.19811910972395, 72.98227405091656, 40.813548117796, 64.26781618221521, 43.35087277335992, 44.00261655356114, 41.80255230038675, 46.33360312533399, 46.82455827538445, 62.221121785337004, 70.42868964416186, 59.53879304722805, 76.76194786472695, 55.364036101854545, 61.042372486885355, 79.83233409270007, 58.689850572684804, 59.23612764114377, 36.20200517286688, 30.518657026226496, 28.53252390288386, 50.230817126270374, 33.44593545613771, 56.790214213481796, 72.87151789065497, 25.43489813760861, 54.43888355932082, 24.03159997084301, 28.398475302566833, 27.44619964186886, 25.002808020329958, 51.60233993011173, 29.60175588874736, 34.35293816491836, 46.21253865440784, 22.307970286843428, 11.102604896761214, 9.6943999578205, 6.757019592605331, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
6,[50],"[14, 9, 27, 10, 28, 12, 16, 49, 3, 13, 6, 35, 37, 30, 0, 2, 20, 24, 23, 42, 18, 19, 26, 22, 21, 38, 44, 11, 41, 29, 51, 53, 40, 39, 33, 56, 34, 1, 17, 46, 7, 54, 43, 32, 58, 45, 15, 8, 4, 52, 36, 31, 55, 57, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([90], dtype=int64), array([84], dtype=int64), array([81], dtype=int64), array([86], dtype=int64), array([40], dtype=int64), array([91], dtype=int64), array([44], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([77], dtype=int64), array([45], dtype=int64), array([8], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([66], dtype=int64), array([20], dtype=int64), array([34], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([72], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([32], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([79], dtype=int64), array([85], dtype=int64), array([68], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([73], dtype=int64), array([20], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([28], dtype=int64), array([91], dtype=int64), array([58], dtype=int64), array([5], dtype=int64), array([60], dtype=int64), array([0], dtype=int64), array([26], dtype=int64), array([6], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([44], dtype=int64), array([85], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[84.6372202655709, 69.97999318742617, 71.52837526537384, 43.54365306258679, 36.17124388730597, 32.14640365992546, 28.52499909575346, 47.71670980629263, 38.58028670125628, 52.66645027092241, 54.89992589312473, 48.265068877949815, 49.52645988580165, 53.74058969457059, 69.22718543426245, 49.05529633389615, 48.24800955799333, 48.579932367407075, 71.04105755535984, 39.67144977721205, 40.69853836677526, 63.38637109824217, 50.64710888245346, 58.303900477316695, 57.30959360159443, 47.08252251117698, 35.67595082584907, 61.226563532341544, 33.29840490554171, 54.60344457413089, 53.790084423166604, 51.425286941544044, 74.72138786561112, 47.44844054766307, 53.63397240260917, 47.90272743950098, 48.5324222436616, 61.20157399472452, 48.89343726863754, 24.943466030548045, 23.53246601345547, 27.052663247957568, 25.902897211506748, 23.26558374271946, 25.59449730937059, 24.44779229467035, 26.383742582760732, 55.59287560820745, 38.59285995836347, 20.607843865947082, 29.31467267321026, 13.234658235927247, 12.235255610174105, 8.200824803590715, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
7,[20],"[1, 16, 14, 3, 9, 24, 17, 12, 18, 10, 23, 13, 42, 44, 0, 35, 49, 22, 19, 21, 40, 51, 41, 37, 53, 38, 6, 11, 32, 2, 50, 29, 39, 56, 28, 30, 26, 27, 33, 34, 7, 43, 15, 54, 58, 8, 36, 52, 45, 31, 4, 46, 55, 57, 5, 59, 25, 47, 48]","[array([12], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([36], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([81], dtype=int64), array([66], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([32], dtype=int64), array([45], dtype=int64), array([94], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([87], dtype=int64), array([85], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([80], dtype=int64), array([60], dtype=int64), array([8], dtype=int64), array([7], dtype=int64), array([79], dtype=int64), array([88], dtype=int64), array([20], dtype=int64), array([86], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([73], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([85], dtype=int64), array([44], dtype=int64), array([26], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([28], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[90.89388635930514, 81.51606442046253, 59.02729199657821, 55.020862561355166, 49.35890133321323, 46.8740334355312, 44.29896864120605, 49.17650941572675, 42.22554687914186, 42.59629540331677, 43.91460833717771, 41.47020402787129, 47.657594948682934, 40.67850753433336, 57.684446436729004, 41.84367646436143, 41.619150558560115, 40.947962985438785, 43.628154447405336, 48.80925614596802, 33.63411550916996, 40.28826248054861, 38.7871270574299, 69.31659502879245, 64.20104771619954, 80.14868324643874, 80.92444017168931, 73.73223605411279, 56.804792738569056, 56.92349069326293, 50.96438697433402, 28.459867940180256, 33.02038954522708, 45.16143839606316, 27.704361575783217, 55.90671392627832, 59.513233726513214, 73.96137536202572, 42.53308395268981, 25.453029432093807, 23.55566634521708, 23.429476174422184, 26.2520492731838, 21.16760981497241, 22.191709592025315, 52.95423753182163, 25.94787458822766, 28.164857104205065, 23.738191670303593, 24.223358819833884, 40.38137529646127, 23.17545291517127, 12.235255610174105, 8.200824803590715, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
8,[14],"[1, 9, 16, 3, 10, 12, 13, 37, 42, 2, 24, 18, 20, 35, 49, 6, 0, 19, 22, 17, 21, 23, 40, 41, 51, 38, 53, 39, 50, 33, 44, 56, 29, 52, 30, 28, 46, 26, 27, 34, 11, 54, 58, 7, 43, 15, 32, 8, 4, 45, 36, 31, 55, 57, 5, 59, 25, 47, 48]","[array([12], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([81], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([91], dtype=int64), array([20], dtype=int64), array([8], dtype=int64), array([88], dtype=int64), array([34], dtype=int64), array([89], dtype=int64), array([94], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([45], dtype=int64), array([88], dtype=int64), array([72], dtype=int64), array([36], dtype=int64), array([82], dtype=int64), array([66], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([88], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([7], dtype=int64), array([73], dtype=int64), array([32], dtype=int64), array([20], dtype=int64), array([79], dtype=int64), array([44], dtype=int64), array([77], dtype=int64), array([86], dtype=int64), array([28], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([91], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([26], dtype=int64), array([85], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[83.72955035678238, 69.9918025063717, 45.12223858164083, 46.13307626713592, 48.80174978529357, 45.93000528891733, 45.18710243573305, 48.48971075368632, 48.62898169542706, 44.78809615357443, 39.81664999551229, 48.366936567794596, 45.55610199435048, 43.700518157033166, 71.32966491379021, 70.40677103914533, 60.78761956762944, 55.61194147881149, 43.743419566202746, 39.28716835361074, 52.091841719974695, 52.53862034836166, 33.65571010994857, 39.96428722675296, 57.102849952835676, 72.85703783677351, 60.52336795396156, 53.243122899201715, 55.804965078506136, 29.8742712082315, 21.51242855724701, 24.850688521385134, 22.207376713870257, 20.694282912692504, 20.843913018701343, 37.24339023080434, 25.554535807474753, 60.4871646375956, 73.65429078494633, 19.13653756622974, 80.28262098922426, 22.300776440937515, 24.164492415579577, 25.08192245253463, 26.55742586998333, 24.903247631295294, 24.020887290628842, 55.135815155781465, 36.92350216945709, 23.870400707314253, 29.31467267321026, 13.234658235927247, 12.235255610174105, 8.200824803590715, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
9,[29],"[14, 30, 26, 27, 28, 20, 19, 35, 10, 49, 9, 6, 18, 16, 21, 0, 24, 22, 23, 37, 38, 2, 53, 3, 42, 50, 11, 32, 1, 17, 40, 41, 51, 39, 56, 33, 44, 34, 12, 52, 46, 13, 7, 54, 15, 43, 8, 36, 4, 31, 45, 55, 57, 58, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([86], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([81], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([90], dtype=int64), array([34], dtype=int64), array([91], dtype=int64), array([82], dtype=int64), array([45], dtype=int64), array([88], dtype=int64), array([72], dtype=int64), array([66], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([8], dtype=int64), array([68], dtype=int64), array([22], dtype=int64), array([20], dtype=int64), array([7], dtype=int64), array([80], dtype=int64), array([60], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([88], dtype=int64), array([20], dtype=int64), array([73], dtype=int64), array([32], dtype=int64), array([91], dtype=int64), array([40], dtype=int64), array([44], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([91], dtype=int64), array([58], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([98], dtype=int64), array([85], dtype=int64), array([0], dtype=int64), array([22], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[86.94379692482316, 100.11301623694841, 79.42051932054389, 58.85115808485417, 61.1746201903678, 56.39772836012407, 53.86757846324168, 81.37850344718646, 42.68820733632057, 89.59831412124132, 83.6374543336254, 94.22059071179845, 84.42992938161363, 93.45643277976977, 89.80491577000251, 83.10640768785451, 49.56814895106686, 40.512762348004564, 34.43476206333384, 32.02949959310278, 45.72215840176942, 32.56014018643016, 62.02553283401908, 60.28733615945625, 62.668263592645054, 59.21051871482397, 72.45676223586776, 59.74033131175369, 65.19223848174174, 17.12728881922901, 33.09054914544841, 37.91867782182191, 32.52087935734864, 30.0023234516425, 45.0723055193013, 39.16497759321996, 19.041242219054638, 20.29062371908401, 34.13046115835121, 17.662795929857456, 24.16034430053311, 23.54257416412118, 24.03159997084301, 28.398475302566833, 27.44619964186886, 25.002808020329958, 51.60233993011173, 29.60175588874736, 34.35293816491836, 46.21253865440784, 22.307970286843428, 11.102604896761214, 9.6943999578205, 6.757019592605331, 35.57915153796639, 1.9662453768313515, 26.018345271062024, 22.96975859031411, 44.62195187550942]"
