random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 10, 14, 9, 16, 22, 18, 29, 21, 49, 2, 6, 0, 32, 3, 24, 17, 19, 13, 31, 43, 42, 51, 20, 52, 23, 40, 39, 35, 41, 37, 38, 28, 30, 26, 56, 27, 53, 33, 58, 57, 44, 45, 50, 34, 12, 55, 11, 7, 8, 15, 4, 36, 5, 46, 59, 25, 47, 48]","[array([70], dtype=int64), array([79], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([32], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([84], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([80], dtype=int64), array([89], dtype=int64), array([83], dtype=int64), array([86], dtype=int64), array([76], dtype=int64), array([82], dtype=int64), array([54], dtype=int64), array([44], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([31], dtype=int64), array([62], dtype=int64), array([43], dtype=int64), array([68], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([88], dtype=int64), array([26], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([37], dtype=int64), array([2], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([68], dtype=int64), array([77], dtype=int64), array([31], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([50], dtype=int64), array([74], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[85.03386070516531, 80.79880700562347, 66.51935746000994, 55.23446767449343, 29.98085327439994, 81.25755527228168, 78.94388647223946, 83.1371405100813, 72.86765908048234, 73.13175466662956, 71.04447795691308, 85.83185760030236, 64.61179494285939, 83.2518350918954, 65.9014091217279, 62.98087632769756, 62.932180133273654, 66.08958019679014, 64.75918551189383, 70.84723772137764, 66.85583119351196, 70.58547165215819, 71.78251739404907, 76.8982413889149, 79.65602065831845, 61.181356934336634, 55.0668704109188, 46.09130197584499, 78.52405778624521, 51.1288026632308, 82.65930617121244, 60.64154806648258, 39.372706919785024, 53.838583153997426, 65.4272378545442, 52.6932918897513, 76.99212906973082, 43.99063822162295, 41.56546126791422, 28.745366510859515, 24.816308458744096, 32.44960779329289, 32.96470024462203, 28.838233220505497, 32.616993594030184, 53.82379335080905, 23.297111497083858, 54.1250057589258, 22.891511942422806, 39.591770170281336, 29.777177176904416, 40.994301711188555, 48.344159940557866, 34.32873330383906, 25.243892083217617, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
1,[8],"[1, 16, 10, 9, 18, 22, 21, 24, 2, 14, 19, 6, 20, 49, 3, 0, 13, 12, 32, 50, 31, 11, 17, 58, 29, 30, 28, 26, 27, 23, 7, 53, 38, 56, 35, 37, 15, 34, 52, 36, 4, 33, 39, 51, 40, 41, 5, 45, 46, 57, 42, 44, 54, 55, 43, 59, 25, 47, 48]","[array([70], dtype=int64), array([32], dtype=int64), array([79], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([27], dtype=int64), array([90], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([86], dtype=int64), array([76], dtype=int64), array([77], dtype=int64), array([92], dtype=int64), array([21], dtype=int64), array([82], dtype=int64), array([82], dtype=int64), array([83], dtype=int64), array([37], dtype=int64), array([87], dtype=int64), array([75], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([62], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([26], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([37], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([50], dtype=int64), array([12], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([43], dtype=int64), array([52], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([44], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[87.44602914072644, 78.22765131345308, 90.2224971685916, 80.19969809026145, 78.80997888021791, 81.75395546338866, 81.7378022490318, 81.9200716189659, 80.59861145208448, 72.59664871236336, 78.64028227030046, 95.3249042346044, 72.92673237743224, 89.95206447940835, 75.1942954371506, 71.30133287273041, 61.378739623926926, 57.2984407726676, 91.16561836251401, 54.352059373985114, 39.62291328930024, 73.29133908756585, 22.021679189222876, 20.201014800086824, 40.60029560294514, 16.14010644532068, 27.865728963814934, 46.696945949099785, 50.5594389304354, 48.557442212900106, 39.66877994582147, 16.880815529938243, 28.754227597283112, 78.79849362343464, 39.452661794748636, 59.323752192919656, 43.85072209101497, 29.370528138084183, 24.839899956997844, 39.25074298974476, 29.875643281796062, 17.967237077917265, 20.525983563631737, 23.524935187190458, 29.691474460045587, 45.84252746243177, 29.90704427302714, 17.13125925769116, 15.13696604641565, 21.621946902992292, 9.299415428840424, 16.360876064855947, 20.798314798337874, 24.75786839029327, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
2,[55],"[1, 9, 3, 10, 12, 31, 13, 2, 28, 16, 14, 18, 49, 0, 6, 21, 22, 24, 19, 26, 30, 27, 20, 53, 35, 23, 17, 52, 37, 56, 41, 39, 40, 58, 29, 33, 38, 34, 51, 11, 32, 36, 8, 7, 50, 45, 15, 4, 5, 57, 54, 42, 46, 44, 43, 59, 25, 47, 48]","[array([70], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([76], dtype=int64), array([27], dtype=int64), array([91], dtype=int64), array([32], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([87], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([88], dtype=int64), array([75], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([31], dtype=int64), array([94], dtype=int64), array([26], dtype=int64), array([52], dtype=int64), array([68], dtype=int64), array([43], dtype=int64), array([37], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([50], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([2], dtype=int64), array([76], dtype=int64), array([44], dtype=int64), array([4], dtype=int64), array([21], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[84.55757741111005, 77.14178193132658, 47.938018089169866, 59.96845148589227, 39.2798597495503, 27.09103420885492, 30.52794777279544, 30.36595559170849, 76.4997657376483, 73.99758070666064, 72.24048961855887, 83.32064887475715, 76.66103824396217, 76.21013082565892, 76.04459084481952, 62.24890717107723, 73.55244588471685, 60.57266332964748, 61.80940791258386, 82.24826880646931, 84.72807571851558, 85.33692950052301, 81.32589943809293, 71.29674918796401, 74.80861947488975, 81.16952276374974, 79.60988185008131, 80.81161274646199, 57.406709683588964, 68.65930139900006, 43.95865859414797, 41.563761748273855, 46.36178983071548, 38.590762947854124, 39.889177892267654, 33.599454126928315, 50.365304341742885, 37.40669923220221, 24.290512637759015, 63.11718557208756, 63.34435364389561, 44.80478974184636, 20.170691637414542, 35.701279436067296, 25.46179916325963, 23.279329361436517, 32.96258674981811, 42.53376944221284, 33.57350785992087, 17.209924129252336, 16.983975959109895, 28.656349992513373, 22.05920513997377, 21.144456565615958, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
3,[15],"[14, 9, 37, 16, 10, 18, 49, 22, 21, 24, 19, 20, 31, 6, 23, 0, 2, 13, 3, 30, 53, 52, 42, 27, 26, 12, 32, 28, 35, 38, 17, 39, 41, 29, 34, 56, 58, 40, 50, 51, 33, 44, 11, 1, 8, 7, 36, 54, 57, 55, 4, 45, 5, 46, 43, 59, 25, 47, 48]","[array([90], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([32], dtype=int64), array([79], dtype=int64), array([87], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([62], dtype=int64), array([86], dtype=int64), array([27], dtype=int64), array([76], dtype=int64), array([80], dtype=int64), array([75], dtype=int64), array([94], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([77], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([95], dtype=int64), array([83], dtype=int64), array([68], dtype=int64), array([52], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([26], dtype=int64), array([37], dtype=int64), array([43], dtype=int64), array([21], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([21], dtype=int64), array([82], dtype=int64), array([70], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([50], dtype=int64), array([76], dtype=int64), array([2], dtype=int64), array([31], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([74], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[82.64165052594322, 85.06604891232199, 73.92837996374118, 82.94936153898001, 72.57948362147175, 71.45371267250326, 72.85100046327065, 74.39690381120616, 76.43356839051113, 76.40762154884162, 82.32165011105486, 76.12487871533098, 76.14020791345884, 85.38929184691257, 74.57958669973884, 72.80126171766238, 71.54931948343938, 69.07327797522642, 68.07900177753204, 77.76913367450419, 83.75186781754611, 80.97673213399561, 75.74103284905294, 73.19008272416792, 80.08818992041829, 73.17153999732436, 87.4042609526794, 64.85845578821205, 63.2663036643337, 70.77985000905642, 70.7109535405051, 60.28912444088196, 63.77842988170988, 63.443757379378255, 63.03901921731457, 65.77484314511285, 36.35109048137519, 51.1134963272248, 33.539721649424756, 32.34047297202571, 43.486910075221466, 26.63341978393674, 27.67323251151637, 62.202593157601186, 27.021748020958935, 39.06430124277661, 59.12052638407713, 22.161925587167293, 29.79683843556694, 29.316385269930556, 46.36123452247407, 21.27542168608444, 36.38439933818549, 24.31641109717542, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
4,[15],"[14, 9, 37, 16, 10, 18, 49, 22, 21, 24, 19, 20, 31, 6, 23, 0, 2, 13, 3, 30, 53, 52, 42, 27, 26, 12, 32, 28, 35, 38, 17, 39, 41, 29, 34, 56, 58, 40, 50, 51, 33, 44, 11, 1, 8, 7, 36, 54, 57, 55, 4, 45, 5, 46, 43, 59, 25, 47, 48]","[array([90], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([32], dtype=int64), array([79], dtype=int64), array([87], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([62], dtype=int64), array([86], dtype=int64), array([27], dtype=int64), array([76], dtype=int64), array([80], dtype=int64), array([75], dtype=int64), array([94], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([77], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([95], dtype=int64), array([83], dtype=int64), array([68], dtype=int64), array([52], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([26], dtype=int64), array([37], dtype=int64), array([43], dtype=int64), array([21], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([21], dtype=int64), array([82], dtype=int64), array([70], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([50], dtype=int64), array([76], dtype=int64), array([2], dtype=int64), array([31], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([74], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[82.64165052594322, 85.06604891232199, 73.92837996374118, 82.94936153898001, 72.57948362147175, 71.45371267250326, 72.85100046327065, 74.39690381120616, 76.43356839051113, 76.40762154884162, 82.32165011105486, 76.12487871533098, 76.14020791345884, 85.38929184691257, 74.57958669973884, 72.80126171766238, 71.54931948343938, 69.07327797522642, 68.07900177753204, 77.76913367450419, 83.75186781754611, 80.97673213399561, 75.74103284905294, 73.19008272416792, 80.08818992041829, 73.17153999732436, 87.4042609526794, 64.85845578821205, 63.2663036643337, 70.77985000905642, 70.7109535405051, 60.28912444088196, 63.77842988170988, 63.443757379378255, 63.03901921731457, 65.77484314511285, 36.35109048137519, 51.1134963272248, 33.539721649424756, 32.34047297202571, 43.486910075221466, 26.63341978393674, 27.67323251151637, 62.202593157601186, 27.021748020958935, 39.06430124277661, 59.12052638407713, 22.161925587167293, 29.79683843556694, 29.316385269930556, 46.36123452247407, 21.27542168608444, 36.38439933818549, 24.31641109717542, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
5,[39],"[1, 9, 40, 35, 53, 3, 41, 28, 37, 38, 14, 12, 16, 26, 52, 30, 27, 33, 34, 10, 49, 29, 31, 6, 0, 32, 13, 11, 7, 2, 45, 15, 17, 18, 22, 21, 24, 19, 51, 56, 20, 23, 58, 8, 50, 36, 4, 5, 46, 57, 42, 44, 54, 55, 43, 59, 25, 47, 48]","[array([70], dtype=int64), array([91], dtype=int64), array([43], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([80], dtype=int64), array([52], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([90], dtype=int64), array([77], dtype=int64), array([32], dtype=int64), array([88], dtype=int64), array([31], dtype=int64), array([75], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([79], dtype=int64), array([87], dtype=int64), array([87], dtype=int64), array([82], dtype=int64), array([84], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([76], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([27], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([83], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([88], dtype=int64), array([26], dtype=int64), array([92], dtype=int64), array([62], dtype=int64), array([37], dtype=int64), array([94], dtype=int64), array([21], dtype=int64), array([50], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([44], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[84.71350089646435, 83.04611249584553, 40.91052211490493, 66.77930896329627, 35.85953058066679, 55.355758795222386, 54.37691779077976, 83.74458122751447, 86.28529328679542, 50.28342913699715, 46.82744630557711, 48.883819401908134, 32.50797240105761, 77.71690584345062, 48.38056086611612, 32.55014158460114, 75.02856162562306, 31.33313825940393, 50.59845998995273, 23.591796830238128, 25.37057001594118, 69.50118031036693, 33.92570352233958, 92.63640365495112, 64.59046743152444, 64.50261944869797, 58.82585615955777, 73.58880696861182, 68.9677891271587, 55.10183899273566, 29.75899334536035, 28.945143348609246, 47.9528470874729, 37.5349243378493, 59.89168818343416, 47.551926934417715, 43.532419610108064, 65.00133628866287, 44.89284492699736, 47.46812386087501, 57.38993530858631, 60.59372277321567, 40.22858715668778, 27.509777212637896, 22.081152812446312, 49.70465025075387, 45.04251823729448, 33.025935240855816, 15.13696604641565, 21.621946902992292, 9.299415428840424, 16.360876064855947, 20.798314798337874, 24.75786839029327, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
6,[50],"[14, 9, 40, 29, 39, 41, 37, 52, 35, 51, 33, 38, 42, 44, 6, 10, 11, 43, 7, 15, 4, 17, 22, 18, 56, 25, 21, 19, 8, 1, 0, 5, 32, 13, 48, 49, 2, 57, 36, 59, 16, 12, 20, 24, 23, 47, 30, 26, 27, 28, 58, 54, 45, 55, 46, 3, 34, 53, 31]","[array([90], dtype=int64), array([91], dtype=int64), array([43], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([31], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([44], dtype=int64), array([21], dtype=int64), array([84], dtype=int64), array([79], dtype=int64), array([82], dtype=int64), array([54], dtype=int64), array([90], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([83], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([26], dtype=int64), array([85], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([94], dtype=int64), array([70], dtype=int64), array([86], dtype=int64), array([74], dtype=int64), array([92], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([77], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([62], dtype=int64), array([5], dtype=int64), array([75], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([37], dtype=int64), array([76], dtype=int64), array([14], dtype=int64), array([31], dtype=int64), array([4], dtype=int64), array([80], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([82], dtype=int64)]","[85.47484997505265, 72.8225289701693, 58.57229442899866, 64.21750131308704, 46.250627645427926, 49.168933405754416, 51.253887603028275, 29.773116295488535, 29.532237029971892, 35.30333270280248, 31.769146535267662, 63.00597084293355, 37.4001149299791, 34.80133350430434, 81.9057701099958, 73.36339648393646, 49.056893552540984, 22.794756935408877, 23.860146465544624, 34.80224912326409, 29.62674578155793, 87.37497523863789, 84.79844827366674, 88.32352560393387, 35.848946187591665, 30.091612116171497, 27.78598717833241, 43.05554152163542, 26.31133153994526, 51.936952754143014, 41.25387251427174, 32.30896644226643, 33.84525907158441, 37.21931398233438, 39.53059915148859, 38.63379291232642, 36.37689848591677, 32.20433078295678, 33.40120025897745, 37.28035058922942, 40.15861750986103, 32.64736246608105, 24.44767506565684, 57.04093224299564, 55.23123433747424, 26.037493209975487, 23.8818891526332, 45.932807229679874, 60.06133492265251, 61.94641894460455, 36.27377357349109, 26.50033848387004, 25.749847412099232, 24.523663059457434, 20.65924947543462, 62.22227303630522, 24.151145033101, 43.64419661854171, 37.16237073782947]"
7,[20],"[1, 10, 2, 22, 18, 14, 9, 16, 21, 24, 19, 3, 0, 49, 6, 13, 32, 31, 12, 11, 37, 23, 29, 17, 53, 51, 35, 40, 33, 38, 34, 52, 42, 7, 39, 56, 50, 41, 15, 58, 8, 57, 36, 44, 28, 30, 26, 27, 4, 5, 46, 45, 54, 55, 43, 59, 25, 47, 48]","[array([70], dtype=int64), array([79], dtype=int64), array([27], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([32], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([80], dtype=int64), array([86], dtype=int64), array([87], dtype=int64), array([84], dtype=int64), array([76], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([94], dtype=int64), array([62], dtype=int64), array([87], dtype=int64), array([83], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([43], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([26], dtype=int64), array([21], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([37], dtype=int64), array([94], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([21], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[92.29452032225143, 80.84222759513645, 35.44813048360733, 82.84122549616103, 80.67935452476212, 81.26592080142379, 80.02675871276806, 83.86160266474428, 81.7462111888867, 83.14076798636577, 83.39830036556147, 76.99112319157615, 68.48940434352133, 71.33025887893471, 85.56728311053918, 62.13664857932119, 91.10438250219644, 68.76574301651624, 68.77096636148617, 73.15461072072506, 52.09912060520186, 68.66838135569418, 80.58993909363839, 88.45460274660854, 80.36019859609814, 80.04326106655284, 84.75114450383386, 84.73549229322641, 83.78132239449624, 88.88135801869244, 76.40666372326439, 74.16839360757865, 76.81384142910585, 73.16781099711771, 55.22498483634434, 40.60261010685888, 42.70374531963943, 56.08787229985416, 37.06071695808629, 29.16614022091295, 49.971551267374366, 32.89658637202683, 51.149340956101206, 22.93243650181575, 20.56857520607271, 50.15895302450174, 60.29273791285951, 75.42883612792473, 48.467282555964, 34.874424592521116, 22.300376534087512, 14.761655172135116, 20.798314798337874, 24.75786839029327, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
8,[14],"[1, 9, 16, 10, 18, 21, 22, 2, 49, 3, 6, 13, 0, 32, 24, 31, 19, 12, 11, 20, 37, 23, 29, 17, 53, 51, 35, 40, 33, 38, 34, 52, 42, 7, 39, 56, 50, 41, 15, 58, 8, 57, 36, 44, 28, 30, 26, 27, 4, 5, 46, 45, 54, 55, 43, 59, 25, 47, 48]","[array([70], dtype=int64), array([91], dtype=int64), array([32], dtype=int64), array([79], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([27], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([84], dtype=int64), array([76], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([82], dtype=int64), array([86], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([62], dtype=int64), array([87], dtype=int64), array([83], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([43], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([26], dtype=int64), array([21], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([37], dtype=int64), array([94], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([21], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[83.44753402727626, 78.63331795098385, 44.52231615096184, 89.93837001694726, 76.46151541759225, 82.05100085968648, 80.5203411233581, 64.3083104952811, 75.45297947484461, 75.35066142820337, 81.06903546078759, 62.181484099644734, 72.85022371261545, 87.02916671559883, 76.28723653462954, 66.35674702024562, 67.26236853215198, 65.39519686038129, 83.68320187176758, 57.16999105262955, 52.09912060520186, 68.66838135569418, 80.58993909363839, 88.45460274660854, 80.36019859609814, 80.04326106655284, 84.75114450383386, 84.73549229322641, 83.78132239449624, 88.88135801869244, 76.40666372326439, 74.16839360757865, 76.81384142910585, 73.16781099711771, 55.22498483634434, 40.60261010685888, 42.70374531963943, 56.08787229985416, 37.06071695808629, 29.16614022091295, 49.971551267374366, 32.89658637202683, 51.149340956101206, 22.93243650181575, 20.56857520607271, 50.15895302450174, 60.29273791285951, 75.42883612792473, 48.467282555964, 34.874424592521116, 22.300376534087512, 14.761655172135116, 20.798314798337874, 24.75786839029327, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
9,[29],"[14, 30, 40, 28, 27, 26, 53, 35, 39, 20, 41, 19, 37, 51, 38, 22, 21, 24, 6, 23, 9, 10, 16, 11, 1, 34, 33, 52, 18, 17, 49, 56, 31, 3, 12, 0, 32, 7, 8, 58, 13, 2, 15, 50, 36, 4, 5, 45, 46, 57, 42, 44, 54, 55, 43, 59, 25, 47, 48]","[array([90], dtype=int64), array([75], dtype=int64), array([43], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([92], dtype=int64), array([52], dtype=int64), array([86], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([95], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([84], dtype=int64), array([62], dtype=int64), array([91], dtype=int64), array([79], dtype=int64), array([32], dtype=int64), array([82], dtype=int64), array([70], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([31], dtype=int64), array([87], dtype=int64), array([83], dtype=int64), array([87], dtype=int64), array([26], dtype=int64), array([82], dtype=int64), array([80], dtype=int64), array([77], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([37], dtype=int64), array([76], dtype=int64), array([27], dtype=int64), array([37], dtype=int64), array([21], dtype=int64), array([50], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([44], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[85.58985088265752, 95.93385625370188, 45.28115952324184, 40.67243812237752, 51.554469017196176, 66.01498423741143, 39.84841414896719, 89.52421765610663, 46.8051806324333, 84.98188527635057, 80.83339663485748, 88.66675114710529, 94.6847484249234, 76.71819974994547, 95.3003933576433, 71.52453332374876, 76.73130931951627, 71.37997670618863, 86.82682426112389, 71.89215955525177, 70.08588171502987, 71.25348510167647, 74.31079006623746, 71.24458392998518, 69.19218124568138, 63.66407899189833, 61.060876985917204, 61.946949982246274, 62.62525854959961, 70.14407501357304, 59.60758427542848, 35.456826568583196, 38.39475344311716, 27.236245318867443, 40.59920253409251, 74.22197159629148, 36.993697948598175, 80.24119122564815, 81.28719482347827, 37.45805160184808, 37.038942865959235, 42.054906324148774, 33.65481142334295, 22.333638090484932, 49.18058091900015, 45.33805611461311, 29.90704427302714, 17.13125925769116, 15.13696604641565, 21.621946902992292, 9.299415428840424, 16.360876064855947, 20.798314798337874, 24.75786839029327, 9.877765512478824, 34.20965574798047, 28.18538038292326, 24.944160681812747, 27.137875238015223]"
