random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 30, 9, 37, 38, 10, 24, 21, 22, 20, 19, 3, 41, 29, 28, 51, 40, 35, 27, 6, 14, 39, 34, 26, 42, 11, 23, 53, 18, 7, 44, 16, 45, 33, 52, 12, 0, 32, 49, 13, 8, 55, 2, 31, 46, 36, 15, 50, 43, 58, 57, 4, 5, 56, 17, 59, 25, 47, 48]","[array([82], dtype=int64), array([14], dtype=int64), array([44], dtype=int64), array([35], dtype=int64), array([30], dtype=int64), array([10], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([36], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([28], dtype=int64), array([37], dtype=int64), array([47], dtype=int64), array([16], dtype=int64), array([30], dtype=int64), array([76], dtype=int64), array([22], dtype=int64), array([11], dtype=int64), array([24], dtype=int64), array([23], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([65], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([52], dtype=int64), array([60], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([70], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[83.11872882826789, 77.58903819939974, 80.8997734331235, 77.2246959552681, 67.31319666602646, 66.80178012453598, 59.191685351526026, 55.54501621309078, 47.30832152979326, 55.44230602420511, 43.839325620936336, 42.83477918181773, 55.360429814365034, 57.61429303537691, 52.11984692846431, 47.68667657344257, 51.12523206332783, 46.15736216530306, 51.39485213635073, 72.16228443081597, 36.893710860001775, 44.43182935671437, 39.57193428110386, 29.711723164615652, 32.256752211964944, 26.679459050431266, 27.035882090564606, 28.17987671459572, 24.77746621240323, 50.6096744943523, 25.683637959511113, 18.032121361327224, 17.5326710420622, 17.713183708593384, 18.60779274359778, 17.169232635081666, 19.615284049581213, 22.50151388096223, 18.730689786986016, 17.931004349593923, 48.642051993358514, 20.311435945776914, 27.680721645242976, 21.058531758237987, 26.811957844086834, 27.198715348822546, 24.538771347794647, 19.43006905432755, 17.362302029779762, 18.596744776132457, 16.978334011902913, 22.82636211848403, 20.613168924544485, 10.868366950779233, 6.001610556439331, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
1,[8],"[14, 9, 3, 10, 49, 30, 6, 13, 12, 28, 0, 29, 26, 27, 21, 19, 37, 39, 24, 16, 2, 31, 11, 1, 54, 41, 40, 51, 22, 18, 20, 7, 35, 23, 38, 42, 53, 34, 44, 45, 50, 32, 33, 55, 46, 15, 4, 57, 36, 58, 5, 43, 17, 56, 52, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([74], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([30], dtype=int64), array([52], dtype=int64), array([50], dtype=int64), array([25], dtype=int64), array([65], dtype=int64), array([16], dtype=int64), array([24], dtype=int64), array([16], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([22], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([82], dtype=int64), array([43], dtype=int64), array([40], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([8], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([47], dtype=int64), array([18], dtype=int64), array([30], dtype=int64), array([23], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([37], dtype=int64), array([17], dtype=int64), array([8], dtype=int64), array([18], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([28], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([70], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[82.87266821489258, 80.68899915089814, 58.93296360721449, 88.64701340444573, 75.37073184323839, 53.15115514207584, 71.7617208845411, 45.39377057052843, 37.814295672857256, 32.695591486972106, 66.28892663185428, 57.229775779684616, 49.98492916668324, 45.95976404125924, 47.39761574152011, 42.94501100372824, 45.289340820717484, 31.77172386327011, 33.71332103624428, 56.74177028712994, 39.89171060945899, 37.58380878476306, 35.36354929536241, 42.69246545390681, 35.26266530173092, 30.526480188590057, 32.14398823294844, 28.906979178776325, 27.98759446482379, 26.50561311265132, 22.40433550117031, 45.11246406591101, 21.671021470812125, 21.040387409501044, 29.145846570895927, 35.43220127911506, 35.23903338900892, 46.03849426787806, 25.276290209777482, 21.140285644940764, 22.902926122810126, 35.3806799907233, 16.889786051615918, 16.069270071374028, 30.29475003705319, 23.53578897879301, 22.7187032698738, 18.52465788759951, 29.420316893578626, 21.63465856255678, 22.20631549208082, 14.34767417982053, 12.887941100234933, 14.726990418083359, 10.319306706778251, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
2,[55],"[14, 9, 37, 27, 30, 38, 3, 29, 28, 40, 39, 41, 21, 10, 26, 49, 6, 22, 19, 16, 13, 11, 12, 31, 54, 0, 1, 53, 34, 42, 51, 35, 7, 44, 50, 24, 20, 23, 18, 32, 45, 8, 2, 15, 33, 46, 4, 57, 36, 58, 5, 43, 17, 56, 52, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([35], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([30], dtype=int64), array([74], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([31], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([24], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([14], dtype=int64), array([22], dtype=int64), array([52], dtype=int64), array([28], dtype=int64), array([50], dtype=int64), array([7], dtype=int64), array([43], dtype=int64), array([65], dtype=int64), array([82], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([23], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([44], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([60], dtype=int64), array([49], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([70], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.15196922162153, 80.45113638413204, 88.42866059033862, 57.41029284368083, 55.61696633687917, 47.25126915083206, 43.20208975647307, 62.09179645958659, 45.636247492921065, 51.04281510323084, 40.22583813057249, 41.14132292789109, 38.57460521508437, 42.508672733721816, 32.38454195595339, 32.593957856551086, 32.001051435139736, 26.93534040050031, 29.08495170311852, 29.627568742224334, 27.467179344296554, 35.814124168080276, 31.338024248416737, 39.42692511089415, 28.399556514435574, 33.77820376289245, 35.899013032572, 39.80771393143259, 38.74204540726236, 32.05671134245468, 33.54190889526292, 26.561983919535614, 51.5685448847922, 24.472939722142687, 23.224645489316497, 24.171406330095124, 29.713143735932483, 29.446174311654318, 22.492663827605032, 24.909156587445064, 19.764513211167987, 50.34418770777558, 29.669560622026967, 20.39516398589443, 19.95019840525736, 27.086949451740136, 22.7187032698738, 18.52465788759951, 29.420316893578626, 21.63465856255678, 22.20631549208082, 14.34767417982053, 12.887941100234933, 14.726990418083359, 10.319306706778251, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
3,[15],"[14, 9, 3, 10, 49, 12, 16, 2, 0, 6, 13, 32, 18, 11, 28, 29, 30, 26, 27, 31, 54, 37, 1, 19, 40, 39, 41, 38, 46, 51, 22, 21, 7, 42, 53, 34, 35, 44, 45, 20, 24, 23, 50, 55, 8, 36, 58, 43, 33, 4, 57, 5, 17, 56, 52, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([74], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([50], dtype=int64), array([22], dtype=int64), array([49], dtype=int64), array([65], dtype=int64), array([30], dtype=int64), array([52], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([28], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([43], dtype=int64), array([35], dtype=int64), array([82], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([5], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([31], dtype=int64), array([18], dtype=int64), array([23], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([17], dtype=int64), array([48], dtype=int64), array([44], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([60], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([70], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[83.55563257007869, 81.98054312666751, 59.638351172445525, 65.15612847204318, 44.75099760542906, 40.03968645328588, 53.09354543894932, 47.114948217394, 48.253664600593254, 74.95513239317785, 45.38187644574243, 46.79192441856359, 34.39973803318939, 32.38493141284406, 45.65062014168023, 41.845576548232145, 61.25399549512005, 43.94619385850808, 41.8079139756779, 36.567161620265516, 29.21510900264958, 25.979926698068486, 32.38274542294206, 29.699728771375774, 26.788488643957265, 28.21181485336397, 33.41328718850765, 23.94732862345067, 23.094382463236613, 21.626331582199946, 17.634593127868865, 23.988357992587037, 44.66203271224938, 31.387384265381627, 38.26930740188811, 35.97724513943648, 28.218504825367415, 24.695063587131646, 24.27227523933281, 21.576323804474633, 26.176018202450596, 31.07939755721107, 18.286763446962816, 20.33666921193474, 48.614781122614474, 27.93890186788116, 23.37807431458043, 17.278295645590102, 18.453237627816165, 22.782616650041298, 17.621966457958187, 22.01451371208379, 12.887941100234933, 14.726990418083359, 10.319306706778251, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
4,[15],"[14, 9, 3, 10, 49, 12, 16, 2, 0, 6, 13, 32, 18, 11, 28, 29, 30, 26, 27, 31, 54, 37, 1, 19, 40, 39, 41, 38, 46, 51, 22, 21, 7, 42, 53, 34, 35, 44, 45, 20, 24, 23, 50, 55, 8, 36, 58, 43, 33, 4, 57, 5, 17, 56, 52, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([74], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([50], dtype=int64), array([22], dtype=int64), array([49], dtype=int64), array([65], dtype=int64), array([30], dtype=int64), array([52], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([28], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([43], dtype=int64), array([35], dtype=int64), array([82], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([5], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([31], dtype=int64), array([18], dtype=int64), array([23], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([17], dtype=int64), array([48], dtype=int64), array([44], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([60], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([70], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[83.55563257007869, 81.98054312666751, 59.638351172445525, 65.15612847204318, 44.75099760542906, 40.03968645328588, 53.09354543894932, 47.114948217394, 48.253664600593254, 74.95513239317785, 45.38187644574243, 46.79192441856359, 34.39973803318939, 32.38493141284406, 45.65062014168023, 41.845576548232145, 61.25399549512005, 43.94619385850808, 41.8079139756779, 36.567161620265516, 29.21510900264958, 25.979926698068486, 32.38274542294206, 29.699728771375774, 26.788488643957265, 28.21181485336397, 33.41328718850765, 23.94732862345067, 23.094382463236613, 21.626331582199946, 17.634593127868865, 23.988357992587037, 44.66203271224938, 31.387384265381627, 38.26930740188811, 35.97724513943648, 28.218504825367415, 24.695063587131646, 24.27227523933281, 21.576323804474633, 26.176018202450596, 31.07939755721107, 18.286763446962816, 20.33666921193474, 48.614781122614474, 27.93890186788116, 23.37807431458043, 17.278295645590102, 18.453237627816165, 22.782616650041298, 17.621966457958187, 22.01451371208379, 12.887941100234933, 14.726990418083359, 10.319306706778251, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
5,[39],"[1, 35, 51, 29, 28, 26, 41, 37, 38, 40, 9, 54, 30, 10, 53, 27, 19, 6, 34, 42, 20, 23, 21, 22, 24, 44, 11, 18, 45, 14, 3, 7, 16, 33, 52, 12, 0, 32, 49, 13, 8, 55, 2, 31, 46, 4, 15, 58, 43, 36, 50, 57, 5, 56, 17, 59, 25, 47, 48]","[array([82], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([24], dtype=int64), array([40], dtype=int64), array([35], dtype=int64), array([30], dtype=int64), array([37], dtype=int64), array([44], dtype=int64), array([43], dtype=int64), array([14], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([30], dtype=int64), array([11], dtype=int64), array([23], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([31], dtype=int64), array([36], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([17], dtype=int64), array([76], dtype=int64), array([74], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([65], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([52], dtype=int64), array([60], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([70], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[82.95451455020914, 68.54453196497343, 50.73154539522478, 70.85238447295689, 61.08858120049832, 55.89218634132021, 54.687425656745326, 56.644881247656066, 51.43872129836837, 41.8736838652122, 40.57588269430241, 34.84705215465233, 37.94521480612019, 35.24581542012688, 31.73423237508355, 30.907816697420095, 27.045358851507892, 39.41830883490831, 24.956135132411575, 24.850969602774715, 22.38840201970128, 27.178815523509353, 22.984424654483515, 24.01974429400288, 23.758016545712778, 23.491751741953088, 24.369765784689136, 20.838825805118876, 19.15838410883239, 17.948490147855065, 52.315537921153954, 45.83971462968148, 21.161209450990768, 17.713183708593384, 18.60779274359778, 17.169232635081666, 19.615284049581213, 22.50151388096223, 18.730689786986016, 17.931004349593923, 48.642051993358514, 20.311435945776914, 27.680721645242976, 21.058531758237987, 26.811957844086834, 22.89690478606434, 21.80731232253177, 22.402264825576584, 20.783184477471004, 18.8423092826477, 21.182097185761997, 16.16071033214532, 20.613168924544485, 10.868366950779233, 6.001610556439331, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
6,[50],"[14, 9, 27, 37, 30, 38, 3, 29, 28, 40, 26, 39, 21, 54, 19, 22, 41, 35, 10, 6, 49, 16, 11, 1, 7, 31, 51, 24, 18, 2, 8, 0, 13, 20, 53, 34, 23, 42, 44, 32, 45, 33, 46, 58, 55, 12, 15, 4, 43, 5, 57, 52, 56, 17, 36, 59, 25, 47, 48]","[array([76], dtype=int64), array([44], dtype=int64), array([16], dtype=int64), array([35], dtype=int64), array([14], dtype=int64), array([30], dtype=int64), array([74], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([37], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([31], dtype=int64), array([43], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([10], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([28], dtype=int64), array([82], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([44], dtype=int64), array([8], dtype=int64), array([49], dtype=int64), array([60], dtype=int64), array([65], dtype=int64), array([52], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([23], dtype=int64), array([37], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([28], dtype=int64), array([24], dtype=int64), array([15], dtype=int64), array([18], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([70], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.0000628864416, 73.25118438498806, 70.3231228863529, 72.72719499275944, 53.35383444454589, 48.76222875332522, 44.839368888410576, 64.52006990041345, 45.818159660268066, 47.14926709736928, 45.35861106721523, 36.58517134314923, 36.41128291946467, 35.99720658962991, 37.82882724827255, 38.93850418007521, 35.80336322709702, 35.18069515185654, 61.24104577484183, 41.765316856239316, 34.83548048928696, 31.47297651804505, 36.01050365369202, 51.99504288986572, 48.052564597876085, 31.258721781759224, 33.3806511474885, 24.99047976555084, 29.3243941529226, 32.163274975216716, 30.917566215617565, 35.478339610754574, 37.4324601708428, 24.445771060056387, 20.855854938120267, 41.97815427173762, 32.838665808954616, 32.54693970745249, 27.291970509324326, 30.915954518631683, 26.470449349409567, 16.91842866533953, 20.795013748656803, 28.088070372933398, 31.592833309699216, 34.49268456716087, 21.863773819925676, 19.837876457446082, 20.283351356327945, 26.177738570510705, 19.333223474089905, 13.526952251596908, 11.519558574762996, 7.221551088796365, 12.584930128052614, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
7,[20],"[1, 9, 37, 53, 35, 51, 10, 54, 26, 39, 29, 41, 30, 40, 28, 38, 19, 27, 34, 23, 6, 42, 21, 22, 24, 44, 11, 18, 45, 14, 3, 7, 16, 33, 52, 12, 0, 32, 49, 13, 8, 55, 2, 31, 46, 4, 15, 58, 43, 36, 50, 57, 5, 56, 17, 59, 25, 47, 48]","[array([82], dtype=int64), array([44], dtype=int64), array([35], dtype=int64), array([18], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([43], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([16], dtype=int64), array([40], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([25], dtype=int64), array([30], dtype=int64), array([14], dtype=int64), array([16], dtype=int64), array([11], dtype=int64), array([18], dtype=int64), array([30], dtype=int64), array([23], dtype=int64), array([31], dtype=int64), array([36], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([17], dtype=int64), array([76], dtype=int64), array([74], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([65], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([52], dtype=int64), array([60], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([70], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[84.64579029901797, 85.07518957686729, 86.86245439565089, 79.48713649651626, 75.77380871373597, 63.01804362441843, 56.59475727768875, 54.923100623241325, 53.470179579774644, 51.77111274910461, 52.834308202304506, 51.173257660360434, 43.495662602955626, 42.596140121066576, 39.97567245486527, 45.51141569178639, 32.57207644634471, 30.884101986203714, 27.290994245125916, 28.2047585344045, 34.86354167307412, 25.54453403744593, 22.984424654483515, 24.01974429400288, 23.758016545712778, 23.491751741953088, 24.369765784689136, 20.838825805118876, 19.15838410883239, 17.948490147855065, 52.315537921153954, 45.83971462968148, 21.161209450990768, 17.713183708593384, 18.60779274359778, 17.169232635081666, 19.615284049581213, 22.50151388096223, 18.730689786986016, 17.931004349593923, 48.642051993358514, 20.311435945776914, 27.680721645242976, 21.058531758237987, 26.811957844086834, 22.89690478606434, 21.80731232253177, 22.402264825576584, 20.783184477471004, 18.8423092826477, 21.182097185761997, 16.16071033214532, 20.613168924544485, 10.868366950779233, 6.001610556439331, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
8,[14],"[1, 9, 20, 37, 22, 3, 35, 53, 29, 28, 51, 39, 41, 26, 38, 40, 54, 27, 19, 34, 6, 30, 42, 11, 21, 24, 10, 23, 18, 7, 44, 16, 45, 33, 52, 12, 0, 32, 49, 13, 8, 55, 2, 31, 46, 4, 15, 58, 43, 36, 50, 57, 5, 56, 17, 59, 25, 47, 48]","[array([82], dtype=int64), array([44], dtype=int64), array([48], dtype=int64), array([35], dtype=int64), array([36], dtype=int64), array([74], dtype=int64), array([47], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([24], dtype=int64), array([30], dtype=int64), array([37], dtype=int64), array([43], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([11], dtype=int64), array([30], dtype=int64), array([14], dtype=int64), array([23], dtype=int64), array([28], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([65], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([52], dtype=int64), array([60], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([70], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[82.83502296701357, 89.35951280641927, 75.7796938010792, 91.41536160863188, 71.82551594986057, 63.218058336871756, 80.80630789748068, 74.86313182908981, 67.71753610270689, 60.33230822794934, 58.44533411720372, 55.471037273186475, 53.19801186918522, 51.51480617566136, 52.92121486643983, 45.26167877131221, 38.58779991798615, 38.29066667382225, 38.24904124925534, 37.64762998084442, 53.459426572522354, 31.61772098500468, 34.34365730728247, 26.440996156326324, 26.415277089019774, 27.288365260872663, 28.749535435682258, 25.642624463438132, 24.77746621240323, 50.6096744943523, 25.683637959511113, 18.032121361327224, 17.5326710420622, 17.713183708593384, 18.60779274359778, 17.169232635081666, 19.615284049581213, 22.50151388096223, 18.730689786986016, 17.931004349593923, 48.642051993358514, 20.311435945776914, 27.680721645242976, 21.058531758237987, 26.811957844086834, 22.89690478606434, 21.80731232253177, 22.402264825576584, 20.783184477471004, 18.8423092826477, 21.182097185761997, 16.16071033214532, 20.613168924544485, 10.868366950779233, 6.001610556439331, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
9,[29],"[1, 9, 35, 26, 40, 39, 37, 41, 27, 38, 51, 10, 53, 30, 28, 54, 19, 6, 34, 42, 20, 23, 21, 22, 24, 44, 11, 18, 45, 14, 3, 7, 16, 33, 52, 12, 0, 32, 49, 13, 8, 55, 2, 31, 46, 36, 15, 50, 43, 58, 57, 4, 5, 56, 17, 59, 25, 47, 48]","[array([82], dtype=int64), array([44], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([35], dtype=int64), array([40], dtype=int64), array([16], dtype=int64), array([30], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([25], dtype=int64), array([43], dtype=int64), array([14], dtype=int64), array([30], dtype=int64), array([11], dtype=int64), array([23], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([31], dtype=int64), array([36], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([17], dtype=int64), array([76], dtype=int64), array([74], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([50], dtype=int64), array([65], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([52], dtype=int64), array([60], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([70], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[83.70376860853786, 87.10650973458398, 83.2831963691654, 67.75553201095755, 67.20404099734704, 65.85730165227766, 56.96136421460816, 49.45979457708256, 47.028717980159755, 51.22167244117717, 43.74108285525412, 37.28831927772099, 33.401513416134165, 31.9323560627788, 28.169681461922515, 26.861407253672603, 27.045358851507892, 39.41830883490831, 24.956135132411575, 24.850969602774715, 22.38840201970128, 27.178815523509353, 22.984424654483515, 24.01974429400288, 23.758016545712778, 23.491751741953088, 24.369765784689136, 20.838825805118876, 19.15838410883239, 17.948490147855065, 52.315537921153954, 45.83971462968148, 21.161209450990768, 17.713183708593384, 18.60779274359778, 17.169232635081666, 19.615284049581213, 22.50151388096223, 18.730689786986016, 17.931004349593923, 48.642051993358514, 20.311435945776914, 27.680721645242976, 21.058531758237987, 26.811957844086834, 27.198715348822546, 24.538771347794647, 19.43006905432755, 17.362302029779762, 18.596744776132457, 16.978334011902913, 22.82636211848403, 20.613168924544485, 10.868366950779233, 6.001610556439331, 18.658077562596695, 15.373357046273254, 20.625126766624707, 34.944264987048705]"
