random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 29, 35, 28, 51, 37, 26, 30, 3, 16, 50, 52, 18, 23, 9, 10, 27, 40, 39, 53, 41, 34, 20, 38, 19, 24, 14, 21, 6, 11, 17, 12, 44, 22, 58, 13, 49, 0, 33, 7, 32, 42, 45, 43, 56, 8, 57, 36, 31, 2, 15, 5, 4, 46, 55, 59, 25, 47, 48]","[array([47], dtype=int64), array([47], dtype=int64), array([62], dtype=int64), array([43], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([47], dtype=int64), array([58], dtype=int64), array([55], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([12], dtype=int64), array([71], dtype=int64), array([78], dtype=int64), array([51], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([39], dtype=int64), array([49], dtype=int64), array([34], dtype=int64), array([26], dtype=int64), array([6], dtype=int64), array([11], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([75], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([56], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[83.01802825927734, 70.9990463256836, 82.98117065429688, 81.00206756591797, 76.9987564086914, 90.99480438232422, 79.99761199951172, 47.009742736816406, 73.9979476928711, 90.99961853027344, 61.78086471557617, 57.58766174316406, 53.79774856567383, 55.21113204956055, 56.7758903503418, 61.12015151977539, 72.9897232055664, 80.99549865722656, 55.98804473876953, 28.002180099487305, 48.00290298461914, 90.99871063232422, 89.00151062011719, 88.00537109375, 87.99920654296875, 87.95262908935547, 90.98817443847656, 81.95692443847656, 90.00834655761719, 79.998046875, 69.97691345214844, 50.00442886352539, 36.99649429321289, 35.89711380004883, 34.9808235168457, 51.99496078491211, 24.0008544921875, 64.981201171875, 72.94903564453125, 91.00416564941406, 59.9422607421875, 57.93286895751953, 28.991928100585938, 25.945331573486328, 23.968040466308594, 67.93694305419922, 2.007746934890747, 38.997684478759766, 0.08758016675710678, 0.10755160450935364, 0.15297134220600128, 0.08829531073570251, 0.03595960512757301, 0.015023612417280674, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
1,[8],"[42, 51, 26, 14, 28, 30, 27, 18, 46, 10, 3, 17, 12, 20, 35, 9, 24, 54, 41, 40, 44, 22, 58, 37, 21, 13, 38, 6, 0, 49, 11, 16, 39, 2, 1, 7, 53, 29, 19, 23, 33, 34, 52, 43, 56, 45, 57, 36, 32, 31, 15, 5, 4, 50, 55, 59, 25, 47, 48]","[array([0], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([43], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([75], dtype=int64), array([39], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([11], dtype=int64), array([58], dtype=int64), array([49], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([47], dtype=int64), array([17], dtype=int64), array([7], dtype=int64), array([47], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[59.015289306640625, 77.00001525878906, 80.00032806396484, 56.20193099975586, 39.80669021606445, 46.486515045166016, 46.07206344604492, 36.1150016784668, 35.402584075927734, 41.68269729614258, 73.9979019165039, 69.99974822998047, 49.9993782043457, 47.99909591674805, 46.9996337890625, 44.000038146972656, 43.996578216552734, 42.99641036987305, 40.00798797607422, 37.010108947753906, 36.98265075683594, 35.98971939086914, 35.0042724609375, 34.99547576904297, 30.991321563720703, 51.97714614868164, 30.035337448120117, 30.01036262512207, 64.99342346191406, 24.001558303833008, 28.00293731689453, 21.999231338500977, 21.987171173095703, 49.01535415649414, 81.91065216064453, 18.01782989501953, 17.991308212280273, 70.9825668334961, 40.99089431762695, 41.9864387512207, 37.98903274536133, 53.993839263916016, 27.99751853942871, 25.93654441833496, 23.968107223510742, 28.99872398376465, 1.999708652496338, 39.02396774291992, 0.09794203191995621, 0.10077762603759766, 0.13001878559589386, 0.06406741589307785, 0.032954055815935135, 0.04850875586271286, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
2,[55],"[1, 10, 3, 17, 14, 12, 20, 35, 9, 24, 54, 41, 40, 44, 22, 58, 37, 21, 38, 13, 6, 0, 51, 28, 49, 26, 2, 42, 16, 39, 19, 27, 34, 29, 30, 11, 32, 53, 23, 7, 18, 33, 45, 52, 43, 56, 8, 36, 57, 15, 31, 5, 4, 50, 46, 59, 25, 47, 48]","[array([47], dtype=int64), array([78], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([75], dtype=int64), array([39], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([11], dtype=int64), array([49], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([79], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([51], dtype=int64), array([3], dtype=int64), array([47], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([12], dtype=int64), array([17], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[82.8077163696289, 52.75542068481445, 74.00088500976562, 69.9973373413086, 75.99285125732422, 50.00069046020508, 47.99878692626953, 46.996826171875, 43.998687744140625, 43.99971008300781, 42.99481201171875, 39.99253845214844, 37.0015983581543, 37.00510787963867, 35.997589111328125, 34.99827194213867, 34.98838806152344, 30.99100685119629, 30.02960777282715, 51.96805191040039, 30.00168800354004, 64.9928207397461, 27.99788475036621, 24.999216079711914, 24.016904830932617, 23.994163513183594, 48.99558639526367, 22.96889877319336, 22.004011154174805, 21.986412048339844, 87.96492004394531, 83.98473358154297, 91.00534057617188, 78.99242401123047, 76.94364929199219, 79.96827697753906, 18.049335479736328, 18.003398895263672, 41.965450286865234, 48.00302505493164, 38.991363525390625, 37.97587203979492, 29.002399444580078, 28.002439498901367, 25.921369552612305, 23.985353469848633, 67.99385833740234, 38.97959518432617, 1.998673439025879, 0.06634871661663055, 0.08793213218450546, 0.06669166684150696, 0.04575425013899803, 0.020633282139897346, -5.9168043662793934e-05, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
3,[15],"[14, 18, 53, 29, 10, 3, 17, 12, 13, 20, 35, 9, 24, 54, 41, 44, 40, 22, 58, 37, 21, 38, 6, 11, 51, 28, 0, 49, 26, 42, 39, 30, 16, 1, 7, 23, 19, 34, 33, 27, 45, 52, 43, 56, 8, 57, 36, 2, 32, 31, 5, 4, 50, 46, 55, 59, 25, 47, 48]","[array([6], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([47], dtype=int64), array([78], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([39], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([11], dtype=int64), array([49], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([17], dtype=int64), array([12], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[82.6007308959961, 41.58980178833008, 93.99674224853516, 90.99787139892578, 28.7160701751709, 74.00071716308594, 70.00025177001953, 49.99909591674805, 51.99833297729492, 47.99777603149414, 46.99437713623047, 44.001949310302734, 43.996952056884766, 42.99960708618164, 39.99637222290039, 37.012081146240234, 36.99156188964844, 35.99131393432617, 34.99951934814453, 34.991275787353516, 30.993446350097656, 30.019784927368164, 30.023839950561523, 27.994762420654297, 27.992128372192383, 24.999439239501953, 64.9918212890625, 24.004243850708008, 23.99941062927246, 22.978620529174805, 22.014169692993164, 52.9798469543457, 22.004562377929688, 81.94416809082031, 18.036083221435547, 42.0025520324707, 41.00107192993164, 53.99116516113281, 37.984256744384766, 36.99673843383789, 29.004453659057617, 27.99639129638672, 25.930986404418945, 23.969491958618164, 68.0103759765625, 2.0033280849456787, 39.00840759277344, 0.08869113773107529, 0.15382930636405945, 0.06777568906545639, 0.1088283360004425, 0.06941015273332596, 0.023505084216594696, 0.015023612417280674, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
4,[15],"[14, 18, 53, 29, 10, 3, 17, 12, 13, 20, 35, 9, 24, 54, 41, 44, 40, 22, 58, 37, 21, 38, 6, 11, 51, 28, 0, 49, 26, 42, 39, 30, 16, 1, 7, 23, 19, 34, 33, 27, 45, 52, 43, 56, 8, 57, 36, 2, 32, 31, 5, 4, 50, 46, 55, 59, 25, 47, 48]","[array([6], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([47], dtype=int64), array([78], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([39], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([11], dtype=int64), array([49], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([47], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([17], dtype=int64), array([12], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[82.6007308959961, 41.58980178833008, 93.99674224853516, 90.99787139892578, 28.7160701751709, 74.00071716308594, 70.00025177001953, 49.99909591674805, 51.99833297729492, 47.99777603149414, 46.99437713623047, 44.001949310302734, 43.996952056884766, 42.99960708618164, 39.99637222290039, 37.012081146240234, 36.99156188964844, 35.99131393432617, 34.99951934814453, 34.991275787353516, 30.993446350097656, 30.019784927368164, 30.023839950561523, 27.994762420654297, 27.992128372192383, 24.999439239501953, 64.9918212890625, 24.004243850708008, 23.99941062927246, 22.978620529174805, 22.014169692993164, 52.9798469543457, 22.004562377929688, 81.94416809082031, 18.036083221435547, 42.0025520324707, 41.00107192993164, 53.99116516113281, 37.984256744384766, 36.99673843383789, 29.004453659057617, 27.99639129638672, 25.930986404418945, 23.969491958618164, 68.0103759765625, 2.0033280849456787, 39.00840759277344, 0.08869113773107529, 0.15382930636405945, 0.06777568906545639, 0.1088283360004425, 0.06941015273332596, 0.023505084216594696, 0.015023612417280674, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
5,[39],"[1, 29, 35, 41, 16, 37, 34, 9, 20, 24, 38, 19, 40, 28, 51, 14, 27, 26, 21, 10, 6, 30, 11, 33, 22, 53, 23, 7, 32, 54, 8, 0, 49, 52, 12, 17, 18, 44, 3, 46, 45, 43, 56, 42, 57, 36, 58, 2, 15, 13, 31, 5, 4, 50, 55, 59, 25, 47, 48]","[array([47], dtype=int64), array([47], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([76], dtype=int64), array([3], dtype=int64), array([71], dtype=int64), array([39], dtype=int64), array([26], dtype=int64), array([49], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([51], dtype=int64), array([47], dtype=int64), array([11], dtype=int64), array([78], dtype=int64), array([74], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([7], dtype=int64), array([12], dtype=int64), array([17], dtype=int64), array([56], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([13], dtype=int64), array([58], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[82.58380126953125, 91.00005340576172, 93.99891662597656, 90.99675750732422, 90.99958801269531, 90.991943359375, 90.99880981445312, 89.99821472167969, 88.99142456054688, 88.00257110595703, 87.99579620361328, 88.00366973876953, 87.00605010986328, 86.00061798095703, 85.00237274169922, 90.99417114257812, 83.98676300048828, 82.00602722167969, 81.99122619628906, 80.98011016845703, 89.99970245361328, 76.97671508789062, 79.97561645507812, 72.99110412597656, 71.9439468383789, 67.99528503417969, 65.96128845214844, 90.99346923828125, 59.98276901245117, 58.002540588378906, 97.94674682617188, 45.00005340576172, 44.00695037841797, 43.9987907409668, 39.99327087402344, 35.98904800415039, 33.98272705078125, 32.017662048339844, 50.98458480834961, 27.990461349487305, 25.997220993041992, 26.00156593322754, 23.95728874206543, 57.89286804199219, 2.0108509063720703, 39.01112747192383, 0.9855479598045349, 0.11105503141880035, 0.10433728992938995, 0.08905892074108124, 0.0869695395231247, 0.06406741589307785, 0.032954055815935135, 0.04850875586271286, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
6,[50],"[1, 51, 29, 35, 26, 27, 28, 30, 40, 39, 41, 7, 37, 52, 38, 33, 6, 9, 10, 17, 8, 0, 2, 20, 24, 54, 44, 22, 58, 21, 15, 11, 4, 49, 42, 13, 32, 23, 47, 19, 48, 18, 45, 43, 56, 36, 14, 25, 16, 57, 59, 12, 5, 55, 46, 34, 53, 31, 3]","[array([47], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([62], dtype=int64), array([47], dtype=int64), array([51], dtype=int64), array([43], dtype=int64), array([58], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([76], dtype=int64), array([0], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([74], dtype=int64), array([71], dtype=int64), array([78], dtype=int64), array([1], dtype=int64), array([29], dtype=int64), array([74], dtype=int64), array([37], dtype=int64), array([39], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([13], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([58], dtype=int64), array([56], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([34], dtype=int64), array([10], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([75], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([24], dtype=int64), array([55], dtype=int64)]","[87.63446044921875, 76.9984359741211, 70.99431610107422, 93.99375915527344, 79.99649810791016, 73.0019302368164, 80.99187469482422, 47.00343704223633, 81.00484466552734, 55.98857498168945, 48.00361633300781, 90.99862670898438, 90.99191284179688, 29.99991226196289, 56.99653625488281, 26.995332717895508, 27.98479461669922, 28.999536514282227, 79.0006103515625, 69.98027038574219, 59.9962158203125, 64.99066925048828, 48.991790771484375, 47.991512298583984, 43.994285583496094, 42.99419021606445, 37.0027961730957, 35.98197937011719, 34.99225997924805, 30.98867416381836, 27.996938705444336, 27.998594284057617, 23.99868392944336, 24.00164031982422, 23.005043029785156, 51.99715042114258, 18.023706436157227, 18.01038932800293, 51.00038146972656, 40.98453903198242, 73.9928970336914, 38.979854583740234, 28.995595932006836, 25.93584632873535, 23.99882698059082, 39.00204086303711, 13.021599769592285, 7.995546340942383, 7.007676124572754, 2.000302314758301, 1.9992802143096924, 19.9993953704834, 0.008576121181249619, -0.003546281484887004, -0.004868993069976568, 53.970619201660156, 70.99179077148438, 0.06658124178647995, 50.99862289428711]"
7,[20],"[1, 29, 35, 30, 27, 9, 3, 17, 14, 12, 24, 54, 41, 44, 40, 22, 37, 58, 21, 38, 6, 51, 13, 11, 28, 26, 49, 0, 42, 39, 16, 2, 7, 19, 10, 32, 53, 23, 34, 18, 33, 45, 52, 43, 56, 8, 57, 36, 15, 31, 5, 4, 50, 46, 55, 59, 25, 47, 48]","[array([47], dtype=int64), array([47], dtype=int64), array([62], dtype=int64), array([58], dtype=int64), array([51], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([75], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([49], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([37], dtype=int64), array([17], dtype=int64), array([34], dtype=int64), array([78], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[84.5047836303711, 71.00112915039062, 93.99105834960938, 63.486846923828125, 57.291587829589844, 55.72309494018555, 73.99858856201172, 69.99632263183594, 75.9853744506836, 50.001625061035156, 43.998313903808594, 42.98763656616211, 39.992366790771484, 37.000518798828125, 36.968143463134766, 35.98948669433594, 34.993316650390625, 34.99892044067383, 30.99280548095703, 30.014083862304688, 30.011137008666992, 28.00437355041504, 51.99900436401367, 27.99297523498535, 25.00857925415039, 24.012907028198242, 23.999597549438477, 65.0064926147461, 22.99247932434082, 22.015409469604492, 22.00273895263672, 48.98905563354492, 18.00634765625, 87.9699478149414, 80.99561309814453, 18.02645492553711, 17.998889923095703, 41.992462158203125, 53.996482849121094, 38.96395492553711, 37.97746658325195, 28.99847984313965, 28.0014705657959, 25.937419891357422, 23.970741271972656, 67.99530792236328, 1.9996036291122437, 38.992916107177734, 0.12875090539455414, 0.06777568906545639, 0.1088283360004425, 0.06941015273332596, 0.023505084216594696, 0.015023612417280674, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
8,[14],"[42, 29, 9, 3, 51, 35, 28, 26, 27, 30, 22, 53, 18, 10, 17, 12, 13, 20, 24, 54, 41, 44, 40, 58, 37, 21, 38, 6, 11, 1, 49, 0, 39, 34, 23, 19, 7, 33, 45, 52, 43, 56, 8, 16, 57, 36, 15, 2, 32, 31, 5, 4, 50, 46, 55, 59, 25, 47, 48]","[array([0], dtype=int64), array([47], dtype=int64), array([71], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([51], dtype=int64), array([58], dtype=int64), array([24], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([78], dtype=int64), array([1], dtype=int64), array([75], dtype=int64), array([58], dtype=int64), array([39], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([11], dtype=int64), array([49], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([47], dtype=int64), array([79], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([12], dtype=int64), array([34], dtype=int64), array([17], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([37], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[49.63775634765625, 70.998779296875, 52.9229621887207, 73.99999237060547, 76.99983215332031, 93.99977111816406, 80.99810791015625, 79.99781036376953, 72.98761749267578, 47.00328826904297, 67.01016235351562, 54.12256622314453, 52.50961685180664, 56.15829086303711, 70.00003814697266, 50.001136779785156, 52.000450134277344, 47.98832702636719, 43.98807144165039, 42.996551513671875, 39.99776840209961, 37.001426696777344, 36.982940673828125, 35.00021743774414, 34.9977912902832, 30.990550994873047, 30.011850357055664, 30.015317916870117, 28.002511978149414, 81.94708251953125, 23.999784469604492, 64.98782348632812, 22.006202697753906, 53.9996452331543, 41.97550582885742, 40.960716247558594, 47.99823760986328, 37.991146087646484, 29.00229263305664, 27.993581771850586, 25.864429473876953, 23.986745834350586, 67.99886322021484, 7.011194229125977, 2.022556781768799, 39.00167465209961, 0.1602836549282074, 0.08869113773107529, 0.15382930636405945, 0.06777568906545639, 0.1088283360004425, 0.06941015273332596, 0.023505084216594696, 0.015023612417280674, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
9,[29],"[1, 31, 53, 40, 35, 39, 41, 37, 16, 34, 9, 20, 24, 38, 19, 28, 14, 51, 27, 26, 21, 10, 6, 30, 11, 33, 22, 23, 7, 32, 54, 3, 8, 0, 49, 52, 12, 17, 18, 44, 46, 45, 43, 56, 42, 36, 57, 58, 2, 13, 15, 5, 4, 50, 55, 59, 25, 47, 48]","[array([47], dtype=int64), array([24], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([71], dtype=int64), array([39], dtype=int64), array([26], dtype=int64), array([49], dtype=int64), array([34], dtype=int64), array([43], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([51], dtype=int64), array([47], dtype=int64), array([11], dtype=int64), array([78], dtype=int64), array([74], dtype=int64), array([58], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([17], dtype=int64), array([56], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([29], dtype=int64), array([74], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([37], dtype=int64), array([58], dtype=int64), array([13], dtype=int64), array([22], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([10], dtype=int64)]","[84.22822570800781, 50.876338958740234, 94.00109100341797, 59.003971099853516, 93.99203491210938, 55.96937942504883, 47.993587493896484, 90.99678802490234, 91.00244903564453, 91.00305938720703, 89.99260711669922, 89.0, 88.0015869140625, 87.99799346923828, 87.99119567871094, 86.00005340576172, 90.99327087402344, 85.00022888183594, 84.00070190429688, 82.00314331054688, 81.97696685791016, 80.96473693847656, 90.00658416748047, 76.98265075683594, 79.98998260498047, 72.97868347167969, 71.95588684082031, 65.9588623046875, 90.99126434326172, 59.99571228027344, 57.99836730957031, 73.986328125, 97.93798065185547, 45.00461196899414, 44.000972747802734, 43.998111724853516, 39.998741149902344, 35.98311996459961, 33.99684524536133, 32.00358963012695, 27.98809051513672, 25.994354248046875, 25.99492835998535, 23.987083435058594, 57.87533187866211, 39.03713607788086, 2.0019948482513428, 1.0058519840240479, 0.07406368106603622, 0.09622722864151001, 0.13001878559589386, 0.06406741589307785, 0.032954055815935135, 0.04850875586271286, -0.024814464151859283, 2.0016255378723145, 7.985794544219971, 51.05533981323242, 73.46620178222656]"
