random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 1, 11, 49, 6, 16, 14, 29, 44, 42, 43, 38, 37, 8, 7, 41, 39, 40, 35, 33, 51, 19, 17, 56, 30, 24, 20, 21, 22, 26, 18, 27, 48, 47, 25, 36, 45, 10, 34, 0, 23, 53, 55, 32, 2, 5, 12, 31, 13, 46, 15, 4, 57, 58, 59, 28, 3, 52, 50]","[array([48], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([55], dtype=int64), array([7], dtype=int64), array([13], dtype=int64), array([71], dtype=int64), array([32], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([77], dtype=int64), array([63], dtype=int64), array([68], dtype=int64), array([48], dtype=int64), array([54], dtype=int64), array([62], dtype=int64), array([50], dtype=int64), array([83], dtype=int64), array([38], dtype=int64), array([34], dtype=int64), array([41], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([53], dtype=int64), array([35], dtype=int64), array([53], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([63], dtype=int64), array([39], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([51], dtype=int64), array([8], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([37], dtype=int64), array([54], dtype=int64), array([20], dtype=int64), array([42], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([30], dtype=int64), array([51], dtype=int64), array([28], dtype=int64), array([0], dtype=int64)]","[77.6985855102539, 56.27113342285156, 35.56439971923828, 42.579261779785156, 35.45370864868164, 42.29207992553711, 30.34906005859375, 45.06748962402344, 51.09855651855469, 48.334388732910156, 50.0234375, 37.00026321411133, 56.11542892456055, 41.00423812866211, 45.05524444580078, 43.278953552246094, 58.35044860839844, 56.713863372802734, 49.84080505371094, 56.0677375793457, 57.176795959472656, 45.924560546875, 45.84788513183594, 41.73954391479492, 45.342628479003906, 44.827857971191406, 39.97652816772461, 40.544185638427734, 45.12805938720703, 49.33935546875, 32.401649475097656, 54.71201705932617, 35.3963623046875, 46.071712493896484, 50.169281005859375, 35.19438934326172, 43.543338775634766, 41.13703918457031, 40.46697998046875, 40.60587692260742, 37.913002014160156, 49.814876556396484, 28.986501693725586, 23.11939239501953, 21.684558868408203, 17.114824295043945, 17.259441375732422, 8.615409851074219, 8.601655006408691, 5.451080322265625, -0.09235306084156036, 5.594187259674072, -0.7882567048072815, -7.38826847076416, -11.454296112060547, 40.6827278137207, 18.661924362182617, 46.077117919921875, 1.9444597959518433]"
1,[8],"[6, 1, 11, 7, 49, 16, 53, 12, 3, 14, 35, 28, 19, 34, 40, 41, 39, 37, 29, 51, 18, 20, 24, 33, 22, 56, 17, 38, 21, 10, 54, 42, 44, 30, 26, 27, 52, 9, 23, 43, 45, 0, 36, 31, 32, 46, 13, 2, 4, 50, 15, 55, 57, 58, 5, 59, 25, 47, 48]","[array([55], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([71], dtype=int64), array([20], dtype=int64), array([51], dtype=int64), array([13], dtype=int64), array([83], dtype=int64), array([30], dtype=int64), array([41], dtype=int64), array([54], dtype=int64), array([50], dtype=int64), array([54], dtype=int64), array([62], dtype=int64), array([63], dtype=int64), array([71], dtype=int64), array([34], dtype=int64), array([39], dtype=int64), array([53], dtype=int64), array([35], dtype=int64), array([38], dtype=int64), array([32], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([77], dtype=int64), array([41], dtype=int64), array([37], dtype=int64), array([60], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([48], dtype=int64), array([42], dtype=int64), array([26], dtype=int64), array([29], dtype=int64), array([20], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[78.54803466796875, 54.6985969543457, 52.740169525146484, 31.34012222290039, 34.236507415771484, 43.43837356567383, 32.65336608886719, 52.415618896484375, 38.73223876953125, 35.30028533935547, 40.1639518737793, 59.46882247924805, 46.607540130615234, 57.077430725097656, 53.1329460144043, 49.33293151855469, 45.39030838012695, 57.43800735473633, 51.83590316772461, 49.75950622558594, 46.39425277709961, 45.650054931640625, 45.32264709472656, 61.294578552246094, 43.19638442993164, 38.10181427001953, 42.432716369628906, 57.38587188720703, 38.59486389160156, 39.44889831542969, 40.49863052368164, 35.77053451538086, 57.5800895690918, 37.45368576049805, 39.79913330078125, 41.651100158691406, 33.4094123840332, 40.887245178222656, 34.890708923339844, 37.51705551147461, 35.008358001708984, 39.74476623535156, 40.16330337524414, 29.809486389160156, 31.340389251708984, 14.571329116821289, 16.608871459960938, 17.08882713317871, 13.843377113342285, 11.269735336303711, 6.888286590576172, -9.949236869812012, 3.6243886947631836, -0.1443336457014084, 26.910669326782227, -19.48871421813965, 28.258996963500977, 25.475078582763672, 27.840715408325195]"
2,[55],"[9, 1, 11, 49, 0, 16, 6, 14, 13, 3, 28, 29, 21, 18, 24, 51, 17, 22, 19, 20, 35, 40, 23, 41, 37, 39, 54, 30, 26, 27, 33, 56, 38, 7, 43, 44, 42, 8, 45, 47, 48, 25, 5, 36, 10, 46, 2, 32, 12, 4, 34, 57, 15, 58, 59, 53, 31, 52, 50]","[array([48], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([20], dtype=int64), array([7], dtype=int64), array([55], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([30], dtype=int64), array([71], dtype=int64), array([41], dtype=int64), array([39], dtype=int64), array([35], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([32], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([83], dtype=int64), array([50], dtype=int64), array([42], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([62], dtype=int64), array([60], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([38], dtype=int64), array([24], dtype=int64), array([77], dtype=int64), array([48], dtype=int64), array([26], dtype=int64), array([32], dtype=int64), array([58], dtype=int64), array([68], dtype=int64), array([29], dtype=int64), array([51], dtype=int64), array([74], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([28], dtype=int64), array([0], dtype=int64)]","[68.35682678222656, 42.6109733581543, 47.8400993347168, 38.828800201416016, 26.641469955444336, 31.4941349029541, 30.80734634399414, 30.257102966308594, 20.77581214904785, 15.946929931640625, 36.4182243347168, 25.893529891967773, 37.0800895690918, 38.55110549926758, 37.56568908691406, 40.166316986083984, 40.26741027832031, 35.679527282714844, 35.72452926635742, 35.620933532714844, 34.690486907958984, 46.14228820800781, 44.419307708740234, 53.05549621582031, 49.15166091918945, 50.71730041503906, 43.678062438964844, 36.01963806152344, 41.18687057495117, 41.463077545166016, 45.88481903076172, 33.98678207397461, 52.00675582885742, 30.478681564331055, 27.199249267578125, 31.032480239868164, 35.270050048828125, 52.35741424560547, 27.60294532775879, 23.10391616821289, 44.12209701538086, 47.47146987915039, 29.80901336669922, 36.6931266784668, 34.430503845214844, 21.168840408325195, 23.56846809387207, 26.374900817871094, 16.94500160217285, 8.851994514465332, 30.7579345703125, 4.146086692810059, 3.3610031604766846, -2.903153657913208, -26.87837028503418, 40.59417724609375, 8.00205135345459, 46.077117919921875, 1.9444597959518433]"
3,[15],"[6, 1, 0, 11, 49, 16, 3, 13, 29, 28, 53, 33, 12, 5, 36, 42, 44, 54, 41, 38, 37, 39, 40, 43, 51, 18, 56, 21, 22, 17, 24, 19, 20, 8, 47, 48, 35, 25, 26, 30, 7, 27, 32, 45, 23, 10, 2, 14, 34, 4, 55, 57, 46, 59, 58, 31, 9, 52, 50]","[array([55], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([71], dtype=int64), array([30], dtype=int64), array([71], dtype=int64), array([38], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([60], dtype=int64), array([54], dtype=int64), array([77], dtype=int64), array([63], dtype=int64), array([62], dtype=int64), array([50], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([68], dtype=int64), array([51], dtype=int64), array([74], dtype=int64), array([83], dtype=int64), array([8], dtype=int64), array([63], dtype=int64), array([53], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([42], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([48], dtype=int64), array([28], dtype=int64), array([0], dtype=int64)]","[58.71519088745117, 45.18178176879883, 35.92771530151367, 54.453609466552734, 40.39480972290039, 46.279972076416016, 21.42655372619629, 46.433433532714844, 31.59822654724121, 41.398834228515625, 29.451732635498047, 43.54300308227539, 44.74468994140625, 41.04823684692383, 47.72127151489258, 40.12284851074219, 56.855369567871094, 58.71042251586914, 43.04886245727539, 42.163963317871094, 66.49915313720703, 58.42707061767578, 58.03306579589844, 53.4208869934082, 45.17629623413086, 45.87080383300781, 45.03038024902344, 41.32729721069336, 40.994815826416016, 41.741031646728516, 41.47883987426758, 39.78012466430664, 37.23284149169922, 36.316707611083984, 34.687286376953125, 39.085243225097656, 53.296688079833984, 43.885799407958984, 39.72637939453125, 43.976375579833984, 42.399169921875, 42.544158935546875, 34.57404708862305, 33.266510009765625, 28.101659774780273, 41.895790100097656, 14.28988265991211, 21.815975189208984, 37.386898040771484, -1.409307837486267, 5.993086338043213, 1.6988328695297241, 1.774084210395813, -2.708055257797241, 3.6073086261749268, 8.485764503479004, 49.48228454589844, 46.077117919921875, 1.9444597959518433]"
4,[15],"[6, 1, 0, 11, 49, 16, 3, 13, 29, 28, 53, 33, 12, 5, 36, 42, 44, 54, 41, 38, 37, 39, 40, 43, 51, 18, 56, 21, 22, 17, 24, 19, 20, 8, 47, 48, 35, 25, 26, 30, 7, 27, 32, 45, 23, 10, 2, 14, 34, 4, 55, 57, 46, 59, 58, 31, 9, 52, 50]","[array([55], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([71], dtype=int64), array([30], dtype=int64), array([71], dtype=int64), array([38], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([60], dtype=int64), array([54], dtype=int64), array([77], dtype=int64), array([63], dtype=int64), array([62], dtype=int64), array([50], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([68], dtype=int64), array([51], dtype=int64), array([74], dtype=int64), array([83], dtype=int64), array([8], dtype=int64), array([63], dtype=int64), array([53], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([42], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([48], dtype=int64), array([28], dtype=int64), array([0], dtype=int64)]","[58.71519088745117, 45.18178176879883, 35.92771530151367, 54.453609466552734, 40.39480972290039, 46.279972076416016, 21.42655372619629, 46.433433532714844, 31.59822654724121, 41.398834228515625, 29.451732635498047, 43.54300308227539, 44.74468994140625, 41.04823684692383, 47.72127151489258, 40.12284851074219, 56.855369567871094, 58.71042251586914, 43.04886245727539, 42.163963317871094, 66.49915313720703, 58.42707061767578, 58.03306579589844, 53.4208869934082, 45.17629623413086, 45.87080383300781, 45.03038024902344, 41.32729721069336, 40.994815826416016, 41.741031646728516, 41.47883987426758, 39.78012466430664, 37.23284149169922, 36.316707611083984, 34.687286376953125, 39.085243225097656, 53.296688079833984, 43.885799407958984, 39.72637939453125, 43.976375579833984, 42.399169921875, 42.544158935546875, 34.57404708862305, 33.266510009765625, 28.101659774780273, 41.895790100097656, 14.28988265991211, 21.815975189208984, 37.386898040771484, -1.409307837486267, 5.993086338043213, 1.6988328695297241, 1.774084210395813, -2.708055257797241, 3.6073086261749268, 8.485764503479004, 49.48228454589844, 46.077117919921875, 1.9444597959518433]"
5,[39],"[10, 1, 8, 16, 38, 14, 37, 40, 42, 41, 51, 20, 24, 22, 35, 54, 28, 19, 56, 23, 33, 43, 53, 9, 31, 34, 44, 52, 29, 21, 17, 49, 30, 26, 27, 12, 6, 45, 18, 0, 3, 7, 11, 32, 36, 46, 13, 2, 4, 50, 15, 55, 57, 58, 5, 59, 25, 47, 48]","[array([37], dtype=int64), array([0], dtype=int64), array([68], dtype=int64), array([7], dtype=int64), array([77], dtype=int64), array([13], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([58], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([53], dtype=int64), array([35], dtype=int64), array([32], dtype=int64), array([83], dtype=int64), array([60], dtype=int64), array([30], dtype=int64), array([41], dtype=int64), array([24], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([26], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([71], dtype=int64), array([41], dtype=int64), array([14], dtype=int64), array([6], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([20], dtype=int64), array([55], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([51], dtype=int64), array([48], dtype=int64), array([35], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[97.87272644042969, 59.34347152709961, 38.02688217163086, 52.04439926147461, 42.70533752441406, 52.090885162353516, 75.58100891113281, 50.567073822021484, 47.12580490112305, 45.510929107666016, 43.879085540771484, 46.38822937011719, 49.574737548828125, 45.07212829589844, 45.45365905761719, 43.28349685668945, 57.652801513671875, 41.350616455078125, 39.85771179199219, 38.62275314331055, 50.42755126953125, 42.653350830078125, 41.41299819946289, 44.57423782348633, 46.876129150390625, 50.526206970214844, 46.86283874511719, 41.27188491821289, 40.48553466796875, 38.29671859741211, 36.78736114501953, 37.44817352294922, 37.565391540527344, 40.00732421875, 50.152992248535156, 37.202598571777344, 51.9455680847168, 37.478824615478516, 36.82622146606445, 37.29605484008789, 25.592668533325195, 44.43452453613281, 38.6629638671875, 26.511699676513672, 30.6649112701416, 14.571329116821289, 16.608871459960938, 17.08882713317871, 13.843377113342285, 11.269735336303711, 6.888286590576172, -9.949236869812012, 3.6243886947631836, -0.1443336457014084, 26.910669326782227, -19.48871421813965, 28.258996963500977, 25.475078582763672, 27.840715408325195]"
6,[50],"[6, 8, 1, 0, 7, 16, 4, 28, 49, 21, 22, 24, 18, 19, 30, 20, 26, 27, 35, 40, 39, 51, 41, 23, 29, 9, 17, 37, 33, 56, 54, 38, 42, 43, 52, 53, 44, 45, 34, 10, 31, 11, 3, 12, 14, 32, 36, 2, 15, 13, 46, 55, 57, 58, 5, 59, 25, 47, 48]","[array([55], dtype=int64), array([68], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([48], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([30], dtype=int64), array([6], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([35], dtype=int64), array([39], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([83], dtype=int64), array([50], dtype=int64), array([62], dtype=int64), array([34], dtype=int64), array([54], dtype=int64), array([42], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([63], dtype=int64), array([38], dtype=int64), array([24], dtype=int64), array([60], dtype=int64), array([77], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([28], dtype=int64), array([71], dtype=int64), array([32], dtype=int64), array([29], dtype=int64), array([54], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([51], dtype=int64), array([20], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[60.045509338378906, 46.97209548950195, 56.6673698425293, 39.1289176940918, 38.45265197753906, 50.56515121459961, 23.93007469177246, 39.338600158691406, 42.20146560668945, 48.149417877197266, 40.31898498535156, 34.34282684326172, 33.65326690673828, 35.590850830078125, 32.611820220947266, 40.65840530395508, 36.97064971923828, 42.980289459228516, 34.44392013549805, 51.152366638183594, 40.64574432373047, 45.46359634399414, 59.03689193725586, 38.35248947143555, 33.66299057006836, 42.768348693847656, 43.67660903930664, 59.69748306274414, 47.215118408203125, 32.032691955566406, 37.52668762207031, 59.417842864990234, 34.16646957397461, 41.94556427001953, 26.47406768798828, 38.6182746887207, 44.96180725097656, 33.05097961425781, 44.624168395996094, 32.70266342163086, 30.706541061401367, 37.6895866394043, 33.68577194213867, 37.05469512939453, 28.56071662902832, 19.432785034179688, 42.88581848144531, 20.623790740966797, 9.188980102539062, 5.941949844360352, 5.434790134429932, -9.949236869812012, 3.6243886947631836, -0.1443336457014084, 26.910669326782227, -19.48871421813965, 28.258996963500977, 25.475078582763672, 27.840715408325195]"
7,[20],"[9, 32, 6, 11, 37, 49, 38, 16, 1, 35, 40, 22, 24, 28, 19, 23, 53, 34, 39, 18, 56, 29, 51, 52, 41, 21, 54, 26, 30, 27, 33, 17, 42, 43, 31, 10, 44, 3, 12, 0, 7, 36, 14, 45, 8, 46, 13, 2, 4, 50, 15, 55, 57, 58, 5, 59, 25, 47, 48]","[array([48], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([35], dtype=int64), array([63], dtype=int64), array([6], dtype=int64), array([77], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([83], dtype=int64), array([50], dtype=int64), array([32], dtype=int64), array([35], dtype=int64), array([30], dtype=int64), array([41], dtype=int64), array([42], dtype=int64), array([71], dtype=int64), array([54], dtype=int64), array([62], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([71], dtype=int64), array([34], dtype=int64), array([28], dtype=int64), array([54], dtype=int64), array([41], dtype=int64), array([60], dtype=int64), array([63], dtype=int64), array([53], dtype=int64), array([37], dtype=int64), array([38], dtype=int64), array([14], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([32], dtype=int64), array([51], dtype=int64), array([20], dtype=int64), array([20], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([68], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[77.58174896240234, 52.373470306396484, 50.396461486816406, 52.64139938354492, 50.117652893066406, 48.71730422973633, 49.7873420715332, 51.627498626708984, 46.174129486083984, 53.47832489013672, 48.016510009765625, 52.682125091552734, 47.083534240722656, 46.76531982421875, 46.065914154052734, 36.345863342285156, 36.937522888183594, 43.35287857055664, 45.32904815673828, 41.381317138671875, 47.23162078857422, 40.22621154785156, 44.499420166015625, 45.54225158691406, 62.212589263916016, 36.328529357910156, 42.51835632324219, 36.853546142578125, 44.368919372558594, 48.35868453979492, 47.80319595336914, 40.6833381652832, 34.50047302246094, 48.75307083129883, 36.76395797729492, 35.89906692504883, 45.46742630004883, 30.952590942382812, 41.41864013671875, 37.33021545410156, 36.261104583740234, 33.16938781738281, 31.503583908081055, 18.11155891418457, 56.555843353271484, 14.571329116821289, 16.608871459960938, 17.08882713317871, 13.843377113342285, 11.269735336303711, 6.888286590576172, -9.949236869812012, 3.6243886947631836, -0.1443336457014084, 26.910669326782227, -19.48871421813965, 28.258996963500977, 25.475078582763672, 27.840715408325195]"
8,[14],"[9, 1, 0, 11, 49, 5, 16, 12, 29, 54, 45, 33, 44, 42, 43, 6, 39, 40, 37, 41, 38, 51, 35, 56, 22, 19, 20, 24, 30, 21, 26, 18, 27, 17, 23, 8, 7, 2, 36, 34, 48, 25, 10, 55, 47, 53, 32, 31, 13, 46, 15, 4, 57, 58, 59, 28, 3, 52, 50]","[array([48], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([20], dtype=int64), array([71], dtype=int64), array([60], dtype=int64), array([29], dtype=int64), array([38], dtype=int64), array([32], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([55], dtype=int64), array([62], dtype=int64), array([50], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([77], dtype=int64), array([34], dtype=int64), array([83], dtype=int64), array([24], dtype=int64), array([32], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([35], dtype=int64), array([53], dtype=int64), array([41], dtype=int64), array([63], dtype=int64), array([39], dtype=int64), array([37], dtype=int64), array([14], dtype=int64), array([42], dtype=int64), array([68], dtype=int64), array([48], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([54], dtype=int64), array([74], dtype=int64), array([8], dtype=int64), array([37], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([30], dtype=int64), array([51], dtype=int64), array([28], dtype=int64), array([0], dtype=int64)]","[40.38154983520508, 42.71586608886719, 34.127105712890625, 47.11330032348633, 28.28005027770996, 23.298433303833008, 33.33332443237305, 19.205448150634766, 25.975709915161133, 51.58311080932617, 38.84528732299805, 47.83122634887695, 46.06793975830078, 42.552181243896484, 48.67512512207031, 38.585174560546875, 32.5357666015625, 41.048370361328125, 37.25281524658203, 50.74623107910156, 45.53461456298828, 49.47695541381836, 47.288944244384766, 41.61886978149414, 47.680118560791016, 41.69405746459961, 43.199073791503906, 41.80171203613281, 43.32678985595703, 40.23249816894531, 51.955284118652344, 38.08644104003906, 57.98149490356445, 33.00348663330078, 31.353008270263672, 43.25077438354492, 44.17649841308594, 32.937652587890625, 18.956209182739258, 31.10162925720215, 35.7615966796875, 47.75559997558594, 31.934526443481445, 39.77199172973633, 30.27853775024414, 39.525943756103516, 23.161510467529297, 8.615409851074219, 8.601655006408691, 5.451080322265625, -0.09235306084156036, 5.594187259674072, -0.7882567048072815, -7.38826847076416, -11.454296112060547, 40.6827278137207, 18.661924362182617, 46.077117919921875, 1.9444597959518433]"
9,[29],"[6, 11, 49, 8, 1, 44, 41, 38, 37, 21, 24, 35, 28, 51, 40, 53, 39, 33, 16, 22, 34, 54, 52, 56, 26, 30, 27, 19, 20, 9, 17, 42, 43, 18, 10, 12, 0, 7, 14, 3, 32, 23, 36, 50, 45, 31, 2, 55, 4, 58, 13, 57, 15, 46, 5, 59, 25, 47, 48]","[array([55], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([68], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([54], dtype=int64), array([77], dtype=int64), array([63], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([83], dtype=int64), array([30], dtype=int64), array([34], dtype=int64), array([50], dtype=int64), array([71], dtype=int64), array([62], dtype=int64), array([38], dtype=int64), array([7], dtype=int64), array([32], dtype=int64), array([54], dtype=int64), array([60], dtype=int64), array([28], dtype=int64), array([24], dtype=int64), array([63], dtype=int64), array([53], dtype=int64), array([37], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([58], dtype=int64), array([26], dtype=int64), array([39], dtype=int64), array([37], dtype=int64), array([20], dtype=int64), array([20], dtype=int64), array([48], dtype=int64), array([13], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[82.10274505615234, 56.39059829711914, 65.82402038574219, 44.93593215942383, 50.652069091796875, 50.690834045410156, 56.20622634887695, 43.01498794555664, 72.981201171875, 55.355567932128906, 49.308860778808594, 51.462947845458984, 57.892486572265625, 49.630470275878906, 56.62394332885742, 44.03163528442383, 47.7071533203125, 64.03498077392578, 44.18688201904297, 48.34593963623047, 55.40753936767578, 44.76578140258789, 48.44722366333008, 42.34457778930664, 41.09368896484375, 45.814247131347656, 51.34953689575195, 46.22940444946289, 43.25350570678711, 39.89985275268555, 41.03359603881836, 36.12491989135742, 37.85261535644531, 35.98925018310547, 38.049400329589844, 40.46662902832031, 34.27363204956055, 43.51457595825195, 29.48633575439453, 31.13178253173828, 29.141721725463867, 31.632200241088867, 31.989791870117188, 25.55073356628418, 25.538997650146484, 19.496990203857422, 17.059179306030273, 7.568666934967041, 7.181036472320557, 5.58174467086792, 17.866159439086914, 6.171834468841553, -0.6933410167694092, -5.721959590911865, 26.910669326782227, -19.48871421813965, 28.258996963500977, 25.475078582763672, 27.840715408325195]"
