random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 37, 30, 40, 28, 21, 9, 24, 38, 16, 10, 29, 26, 51, 27, 39, 41, 43, 53, 50, 14, 22, 35, 52, 33, 34, 23, 8, 20, 49, 19, 6, 11, 7, 17, 0, 58, 3, 31, 45, 2, 18, 12, 32, 42, 44, 15, 46, 36, 55, 56, 5, 57, 13, 4, 59, 25, 47, 48]","[array([0], dtype=int64), array([63], dtype=int64), array([53], dtype=int64), array([50], dtype=int64), array([30], dtype=int64), array([41], dtype=int64), array([48], dtype=int64), array([35], dtype=int64), array([77], dtype=int64), array([7], dtype=int64), array([37], dtype=int64), array([71], dtype=int64), array([63], dtype=int64), array([34], dtype=int64), array([37], dtype=int64), array([62], dtype=int64), array([54], dtype=int64), array([26], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([32], dtype=int64), array([83], dtype=int64), array([28], dtype=int64), array([38], dtype=int64), array([54], dtype=int64), array([42], dtype=int64), array([68], dtype=int64), array([53], dtype=int64), array([6], dtype=int64), array([41], dtype=int64), array([55], dtype=int64), array([35], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([1], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[85.26435089111328, 89.67544555664062, 70.11030578613281, 66.0015869140625, 62.24114990234375, 63.76800537109375, 58.507198333740234, 53.27434158325195, 49.2255859375, 61.53194046020508, 56.76142501831055, 47.537315368652344, 54.95564270019531, 56.08654022216797, 53.71907424926758, 58.632537841796875, 56.64067840576172, 46.000152587890625, 66.01429748535156, 38.20758819580078, 63.445865631103516, 38.56853103637695, 36.398834228515625, 52.93587112426758, 72.74927520751953, 59.68706130981445, 44.538108825683594, 42.51190948486328, 46.4638671875, 57.78290557861328, 46.01670455932617, 46.681663513183594, 39.61797332763672, 61.41095733642578, 36.88261413574219, 56.99452209472656, 34.21074295043945, 51.98942947387695, 46.01418685913086, 39.99076461791992, 38.99760818481445, 36.976776123046875, 36.00362014770508, 66.92362976074219, 34.78261947631836, 37.01002883911133, 28.632043838500977, 23.326936721801758, 60.0810432434082, 28.22808837890625, 19.555660247802734, 15.494303703308105, 17.859529495239258, 19.954666137695312, 3.9882400035858154, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
1,[8],"[1, 29, 9, 16, 28, 34, 38, 51, 37, 40, 14, 21, 22, 33, 52, 35, 41, 30, 6, 49, 19, 50, 23, 53, 39, 26, 10, 11, 27, 20, 24, 54, 7, 17, 0, 43, 58, 3, 31, 45, 2, 18, 12, 32, 42, 44, 15, 46, 4, 55, 36, 56, 13, 5, 57, 59, 25, 47, 48]","[array([0], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([7], dtype=int64), array([30], dtype=int64), array([54], dtype=int64), array([77], dtype=int64), array([34], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([13], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([83], dtype=int64), array([54], dtype=int64), array([53], dtype=int64), array([55], dtype=int64), array([6], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([71], dtype=int64), array([62], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([35], dtype=int64), array([37], dtype=int64), array([53], dtype=int64), array([35], dtype=int64), array([60], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([26], dtype=int64), array([1], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[82.16471099853516, 90.99706268310547, 91.99845123291016, 89.9939956665039, 79.6781234741211, 67.76675415039062, 67.0803451538086, 61.726959228515625, 67.56160736083984, 57.87962341308594, 62.27779769897461, 69.40306091308594, 55.876407623291016, 55.20290756225586, 52.79494094848633, 52.80756378173828, 67.03955841064453, 56.14785385131836, 59.36802673339844, 68.53592681884766, 56.87592697143555, 55.50813674926758, 54.72116470336914, 55.284481048583984, 45.55458450317383, 86.98377990722656, 87.98726654052734, 89.99252319335938, 46.2287712097168, 47.825191497802734, 50.300636291503906, 36.6306037902832, 65.79383850097656, 39.16342544555664, 56.991249084472656, 37.14969253540039, 34.21074295043945, 51.98942947387695, 46.01418685913086, 39.99076461791992, 38.99760818481445, 36.976776123046875, 36.00362014770508, 66.92362976074219, 34.78261947631836, 37.01002883911133, 28.632043838500977, 23.326936721801758, 23.807313919067383, 27.60851287841797, 96.99404907226562, 26.987098693847656, 19.986446380615234, 33.880741119384766, 8.977710723876953, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
2,[55],"[1, 22, 28, 9, 54, 29, 53, 41, 16, 38, 14, 30, 51, 26, 27, 40, 39, 52, 19, 37, 43, 50, 24, 21, 20, 35, 33, 34, 31, 23, 49, 57, 56, 42, 44, 45, 6, 17, 7, 46, 10, 11, 8, 0, 3, 2, 18, 12, 32, 4, 15, 36, 13, 5, 58, 59, 25, 47, 48]","[array([0], dtype=int64), array([32], dtype=int64), array([30], dtype=int64), array([48], dtype=int64), array([60], dtype=int64), array([71], dtype=int64), array([71], dtype=int64), array([54], dtype=int64), array([7], dtype=int64), array([77], dtype=int64), array([13], dtype=int64), array([53], dtype=int64), array([34], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([50], dtype=int64), array([62], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([63], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([83], dtype=int64), array([38], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([29], dtype=int64), array([55], dtype=int64), array([14], dtype=int64), array([48], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([35], dtype=int64), array([68], dtype=int64), array([20], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[82.8077163696289, 31.76153564453125, 72.2450180053711, 63.12370681762695, 70.65715789794922, 72.50396728515625, 69.79776763916016, 68.86527252197266, 89.99433898925781, 70.99870300292969, 72.22537994384766, 54.37614059448242, 60.561031341552734, 47.83697509765625, 50.221981048583984, 63.926395416259766, 55.5585823059082, 40.371307373046875, 37.20076370239258, 61.33164978027344, 38.43095397949219, 41.4217414855957, 35.28219985961914, 29.473033905029297, 33.77330780029297, 55.94283676147461, 71.18511962890625, 56.075836181640625, 45.58137130737305, 45.61181640625, 45.753570556640625, 28.343442916870117, 36.98080062866211, 33.609031677246094, 53.676673889160156, 39.64009475708008, 24.003931045532227, 28.8005428314209, 46.511375427246094, 34.404605865478516, 88.00139617919922, 89.94634246826172, 45.03662109375, 56.9986457824707, 51.99348068237305, 38.98440933227539, 31.43180274963379, 21.440982818603516, 66.90679931640625, 17.475200653076172, 18.32283592224121, 96.98880004882812, 19.980751037597656, 33.761390686035156, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
3,[15],"[14, 18, 29, 28, 9, 10, 16, 37, 51, 30, 26, 27, 40, 3, 38, 52, 35, 49, 39, 6, 53, 41, 11, 1, 19, 33, 22, 20, 21, 50, 34, 23, 7, 17, 32, 24, 54, 44, 45, 42, 55, 46, 57, 0, 43, 31, 12, 8, 2, 36, 56, 4, 13, 5, 58, 59, 25, 47, 48]","[array([13], dtype=int64), array([39], dtype=int64), array([71], dtype=int64), array([30], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([7], dtype=int64), array([63], dtype=int64), array([34], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([50], dtype=int64), array([51], dtype=int64), array([77], dtype=int64), array([28], dtype=int64), array([83], dtype=int64), array([6], dtype=int64), array([62], dtype=int64), array([55], dtype=int64), array([71], dtype=int64), array([54], dtype=int64), array([35], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([38], dtype=int64), array([32], dtype=int64), array([53], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([42], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([60], dtype=int64), array([32], dtype=int64), array([29], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([20], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([68], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[78.9845199584961, 43.64385986328125, 79.65934753417969, 71.90867614746094, 67.13520812988281, 45.15096664428711, 89.99334716796875, 48.36400604248047, 58.6612434387207, 46.300140380859375, 58.655181884765625, 55.425689697265625, 52.26495361328125, 51.3642578125, 50.97029113769531, 60.73514175415039, 52.47962951660156, 61.27599334716797, 86.98058319091797, 93.00823974609375, 76.99591827392578, 69.98125457763672, 89.98919677734375, 68.00487518310547, 48.40131759643555, 62.7231330871582, 39.33200454711914, 38.96337127685547, 41.52914810180664, 41.193084716796875, 65.64514923095703, 54.752872467041016, 52.943878173828125, 43.832054138183594, 66.9808578491211, 44.558467864990234, 33.38288116455078, 48.96084213256836, 49.86219024658203, 31.15224266052246, 46.832183837890625, 37.08253479003906, 38.537010192871094, 56.990745544433594, 36.24045181274414, 33.353397369384766, 41.0197868347168, 48.009586334228516, 38.948646545410156, 53.70152282714844, 26.68062400817871, 23.04694366455078, 19.980751037597656, 33.761390686035156, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
4,[15],"[14, 18, 29, 28, 9, 10, 16, 37, 51, 30, 26, 27, 40, 3, 38, 52, 35, 49, 39, 6, 53, 41, 11, 1, 19, 33, 22, 20, 21, 50, 34, 23, 7, 17, 32, 24, 54, 44, 45, 42, 55, 46, 57, 0, 43, 31, 12, 8, 2, 36, 56, 4, 13, 5, 58, 59, 25, 47, 48]","[array([13], dtype=int64), array([39], dtype=int64), array([71], dtype=int64), array([30], dtype=int64), array([48], dtype=int64), array([37], dtype=int64), array([7], dtype=int64), array([63], dtype=int64), array([34], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([50], dtype=int64), array([51], dtype=int64), array([77], dtype=int64), array([28], dtype=int64), array([83], dtype=int64), array([6], dtype=int64), array([62], dtype=int64), array([55], dtype=int64), array([71], dtype=int64), array([54], dtype=int64), array([35], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([38], dtype=int64), array([32], dtype=int64), array([53], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([42], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([60], dtype=int64), array([32], dtype=int64), array([29], dtype=int64), array([58], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([20], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([68], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[78.9845199584961, 43.64385986328125, 79.65934753417969, 71.90867614746094, 67.13520812988281, 45.15096664428711, 89.99334716796875, 48.36400604248047, 58.6612434387207, 46.300140380859375, 58.655181884765625, 55.425689697265625, 52.26495361328125, 51.3642578125, 50.97029113769531, 60.73514175415039, 52.47962951660156, 61.27599334716797, 86.98058319091797, 93.00823974609375, 76.99591827392578, 69.98125457763672, 89.98919677734375, 68.00487518310547, 48.40131759643555, 62.7231330871582, 39.33200454711914, 38.96337127685547, 41.52914810180664, 41.193084716796875, 65.64514923095703, 54.752872467041016, 52.943878173828125, 43.832054138183594, 66.9808578491211, 44.558467864990234, 33.38288116455078, 48.96084213256836, 49.86219024658203, 31.15224266052246, 46.832183837890625, 37.08253479003906, 38.537010192871094, 56.990745544433594, 36.24045181274414, 33.353397369384766, 41.0197868347168, 48.009586334228516, 38.948646545410156, 53.70152282714844, 26.68062400817871, 23.04694366455078, 19.980751037597656, 33.761390686035156, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
5,[39],"[1, 29, 9, 16, 38, 35, 28, 53, 41, 51, 37, 33, 23, 14, 40, 30, 52, 26, 27, 19, 20, 34, 6, 7, 49, 54, 42, 17, 24, 44, 55, 46, 43, 8, 10, 22, 11, 0, 45, 50, 3, 31, 21, 2, 18, 12, 32, 57, 36, 56, 15, 4, 13, 5, 58, 59, 25, 47, 48]","[array([0], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([7], dtype=int64), array([77], dtype=int64), array([83], dtype=int64), array([30], dtype=int64), array([71], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([63], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([13], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([28], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([54], dtype=int64), array([55], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([58], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([26], dtype=int64), array([68], dtype=int64), array([37], dtype=int64), array([32], dtype=int64), array([35], dtype=int64), array([20], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[84.17517852783203, 90.99796295166016, 91.9962158203125, 90.0002212524414, 89.99602508544922, 89.0008316040039, 81.6343765258789, 63.71792984008789, 66.85941314697266, 66.54535675048828, 78.02718353271484, 76.43280029296875, 60.74837112426758, 79.79779052734375, 48.97584533691406, 49.608882904052734, 53.49776840209961, 60.59055709838867, 45.35979080200195, 45.91511917114258, 46.32126235961914, 62.6514778137207, 53.32227325439453, 54.1643180847168, 55.337852478027344, 44.47614669799805, 50.95932388305664, 49.005271911621094, 41.31119918823242, 54.53843307495117, 41.05854034423828, 43.68386459350586, 37.52960205078125, 37.021053314208984, 88.001953125, 44.19044876098633, 89.92093658447266, 56.99019241333008, 47.681556701660156, 31.179426193237305, 51.99534606933594, 46.0023307800293, 43.01686477661133, 38.959930419921875, 36.99862289428711, 36.00142288208008, 66.91770935058594, 21.092830657958984, 55.04983139038086, 24.29278564453125, 17.708452224731445, 23.04694366455078, 19.980751037597656, 33.761390686035156, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
6,[50],"[1, 22, 53, 40, 29, 9, 38, 16, 24, 34, 6, 39, 37, 14, 51, 35, 41, 33, 30, 26, 27, 28, 10, 49, 11, 52, 20, 19, 44, 21, 7, 8, 23, 54, 18, 17, 0, 3, 32, 42, 45, 57, 55, 12, 46, 31, 43, 4, 2, 56, 15, 5, 13, 36, 58, 59, 25, 47, 48]","[array([0], dtype=int64), array([32], dtype=int64), array([71], dtype=int64), array([50], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([77], dtype=int64), array([7], dtype=int64), array([35], dtype=int64), array([54], dtype=int64), array([55], dtype=int64), array([62], dtype=int64), array([63], dtype=int64), array([13], dtype=int64), array([34], dtype=int64), array([83], dtype=int64), array([54], dtype=int64), array([38], dtype=int64), array([53], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([30], dtype=int64), array([37], dtype=int64), array([6], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([53], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([41], dtype=int64), array([48], dtype=int64), array([68], dtype=int64), array([42], dtype=int64), array([60], dtype=int64), array([39], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([58], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[87.63446044921875, 31.552913665771484, 61.1162223815918, 72.17913818359375, 90.99937438964844, 91.99897766113281, 90.00200653076172, 89.99667358398438, 61.54743194580078, 70.28424072265625, 62.40394592285156, 57.05341339111328, 69.65972137451172, 58.10857391357422, 65.66453552246094, 49.405094146728516, 54.979801177978516, 60.04837417602539, 59.07096862792969, 54.54736328125, 60.91637420654297, 56.8994140625, 87.99398803710938, 52.03215026855469, 89.97718811035156, 44.79732131958008, 38.26665496826172, 46.55533218383789, 38.874813079833984, 35.181148529052734, 41.332557678222656, 37.6419677734375, 52.868892669677734, 53.54130935668945, 30.804672241210938, 39.245819091796875, 56.98016357421875, 51.988136291503906, 66.92890930175781, 35.48691940307617, 41.72383499145508, 36.97557830810547, 38.19761657714844, 36.309181213378906, 29.971309661865234, 46.003692626953125, 20.503541946411133, 24.259174346923828, 38.924617767333984, 30.544130325317383, 18.32283592224121, 33.95960998535156, 19.931331634521484, 96.9382553100586, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
7,[20],"[1, 27, 40, 9, 28, 53, 39, 29, 16, 33, 35, 51, 37, 41, 23, 54, 38, 34, 14, 52, 19, 6, 31, 26, 42, 44, 55, 45, 46, 49, 50, 30, 24, 43, 10, 21, 22, 17, 2, 56, 18, 57, 7, 8, 11, 32, 36, 4, 3, 12, 13, 0, 5, 58, 15, 59, 25, 47, 48]","[array([0], dtype=int64), array([37], dtype=int64), array([50], dtype=int64), array([48], dtype=int64), array([30], dtype=int64), array([71], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([7], dtype=int64), array([38], dtype=int64), array([83], dtype=int64), array([34], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([42], dtype=int64), array([60], dtype=int64), array([77], dtype=int64), array([54], dtype=int64), array([13], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([55], dtype=int64), array([0], dtype=int64), array([63], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([35], dtype=int64), array([26], dtype=int64), array([37], dtype=int64), array([41], dtype=int64), array([32], dtype=int64), array([14], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([48], dtype=int64), array([68], dtype=int64), array([35], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[85.58672332763672, 61.20988082885742, 66.06993103027344, 51.3580207824707, 49.38447570800781, 54.69872283935547, 48.581787109375, 91.00067901611328, 90.00227355957031, 65.41816711425781, 62.47208786010742, 72.99429321289062, 80.7718276977539, 69.17745208740234, 61.06696319580078, 60.050235748291016, 64.00828552246094, 70.97864532470703, 64.88468170166016, 50.00617599487305, 51.73579788208008, 55.974205017089844, 48.370849609375, 48.41380310058594, 50.897674560546875, 56.87910079956055, 41.63429641723633, 49.43596649169922, 51.227622985839844, 50.83625030517578, 43.2481803894043, 38.660579681396484, 41.08100128173828, 36.58833694458008, 25.16216468811035, 32.826324462890625, 39.001163482666016, 33.05515670776367, 30.4301815032959, 23.334728240966797, 35.29528045654297, 18.661684036254883, 30.981868743896484, 56.53278732299805, 20.694211959838867, 17.962949752807617, 50.63115310668945, 18.186967849731445, 17.69562339782715, 25.89111328125, 9.710063934326172, 56.972904205322266, 33.82982635498047, 8.309144020080566, 2.016899347305298, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
8,[14],"[1, 29, 9, 16, 28, 26, 51, 27, 30, 35, 39, 40, 41, 37, 54, 19, 38, 53, 52, 33, 42, 20, 43, 55, 34, 22, 49, 50, 44, 24, 21, 17, 23, 7, 18, 45, 56, 57, 6, 10, 11, 32, 8, 46, 12, 3, 31, 36, 0, 15, 2, 4, 13, 5, 58, 59, 25, 47, 48]","[array([0], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([7], dtype=int64), array([30], dtype=int64), array([63], dtype=int64), array([34], dtype=int64), array([37], dtype=int64), array([53], dtype=int64), array([83], dtype=int64), array([62], dtype=int64), array([50], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([60], dtype=int64), array([41], dtype=int64), array([77], dtype=int64), array([71], dtype=int64), array([28], dtype=int64), array([38], dtype=int64), array([58], dtype=int64), array([53], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([32], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([14], dtype=int64), array([42], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([37], dtype=int64), array([35], dtype=int64), array([0], dtype=int64), array([68], dtype=int64), array([0], dtype=int64), array([20], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[54.63270950317383, 90.99966430664062, 92.00022888183594, 89.9957504272461, 76.45579528808594, 65.21034240722656, 61.75486755371094, 59.71586608886719, 54.50655746459961, 52.541011810302734, 59.01615905761719, 65.35940551757812, 62.83601379394531, 52.20288848876953, 47.090816497802734, 52.11940383911133, 61.47480773925781, 55.74700164794922, 48.840972900390625, 60.4281120300293, 50.80078125, 47.460018157958984, 53.945228576660156, 51.33191680908203, 66.32196044921875, 50.50286865234375, 48.63844680786133, 44.364524841308594, 55.74435806274414, 36.71875762939453, 34.46147155761719, 34.745391845703125, 32.47490692138672, 30.283056259155273, 33.76053237915039, 41.69691467285156, 25.379657745361328, 34.77240753173828, 28.95012092590332, 87.99884033203125, 89.95137023925781, 35.62386703491211, 51.5269660949707, 25.45565414428711, 20.604761123657227, 51.997493743896484, 45.998695373535156, 45.140682220458984, 27.34995460510254, 23.413122177124023, 38.95227813720703, 23.04694366455078, 19.980751037597656, 33.761390686035156, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
9,[29],"[1, 9, 38, 16, 35, 28, 39, 53, 41, 51, 37, 33, 23, 14, 40, 30, 52, 26, 27, 19, 20, 34, 6, 7, 49, 54, 42, 17, 24, 44, 55, 46, 43, 8, 10, 22, 11, 0, 45, 50, 3, 31, 21, 2, 18, 12, 32, 57, 36, 56, 15, 4, 13, 5, 58, 59, 25, 47, 48]","[array([0], dtype=int64), array([48], dtype=int64), array([77], dtype=int64), array([7], dtype=int64), array([83], dtype=int64), array([30], dtype=int64), array([62], dtype=int64), array([71], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([63], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([13], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([28], dtype=int64), array([63], dtype=int64), array([37], dtype=int64), array([41], dtype=int64), array([53], dtype=int64), array([54], dtype=int64), array([55], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([58], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([26], dtype=int64), array([68], dtype=int64), array([37], dtype=int64), array([32], dtype=int64), array([35], dtype=int64), array([20], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([51], dtype=int64), array([74], dtype=int64)]","[82.17802429199219, 92.00127410888672, 89.99628448486328, 90.00325775146484, 88.99890899658203, 86.38020324707031, 76.20953369140625, 63.71792984008789, 66.85941314697266, 66.54535675048828, 78.02718353271484, 76.43280029296875, 60.74837112426758, 79.79779052734375, 48.97584533691406, 49.608882904052734, 53.49776840209961, 60.59055709838867, 45.35979080200195, 45.91511917114258, 46.32126235961914, 62.6514778137207, 53.32227325439453, 54.1643180847168, 55.337852478027344, 44.47614669799805, 50.95932388305664, 49.005271911621094, 41.31119918823242, 54.53843307495117, 41.05854034423828, 43.68386459350586, 37.52960205078125, 37.021053314208984, 88.001953125, 44.19044876098633, 89.92093658447266, 56.99019241333008, 47.681556701660156, 31.179426193237305, 51.99534606933594, 46.0023307800293, 43.01686477661133, 38.959930419921875, 36.99862289428711, 36.00142288208008, 66.91770935058594, 21.092830657958984, 55.04983139038086, 24.29278564453125, 17.708452224731445, 23.04694366455078, 19.980751037597656, 33.761390686035156, 6.000008583068848, 8.997512817382812, 32.999542236328125, 60.998680114746094, 67.9981918334961]"
