random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 6, 11, 37, 10, 9, 49, 0, 16, 3, 32, 30, 14, 28, 12, 38, 13, 26, 50, 29, 27, 55, 35, 20, 39, 19, 22, 24, 21, 40, 51, 18, 53, 31, 7, 2, 23, 15, 34, 8, 46, 41, 17, 36, 58, 5, 42, 4, 52, 33, 43, 45, 56, 57, 44, 59, 25, 47, 48]","[array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([98], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([19], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([43], dtype=int64), array([82], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([92], dtype=int64), array([3], dtype=int64), array([55], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[74.7409896850586, 86.01524353027344, 90.8772201538086, 75.90348052978516, 95.10761260986328, 95.55776977539062, 15.042662620544434, 92.92061614990234, 91.86717224121094, 96.88516998291016, 14.998835563659668, 12.949251174926758, 9.145562171936035, 7.000863552093506, 38.96318054199219, 5.091951370239258, 5.001890182495117, 3.9965596199035645, 3.947108745574951, 3.0284838676452637, 2.5267069339752197, 1.9869134426116943, 88.95271301269531, 88.95879364013672, 88.01177215576172, 0.234782874584198, 89.96627807617188, 88.99031829833984, 88.08661651611328, 87.00758361816406, 87.92266082763672, 86.99960327148438, 94.01817321777344, 24.079164505004883, 16.915348052978516, 37.10732650756836, 12.239177703857422, 13.024274826049805, 2.971967935562134, 29.158100128173828, 1.9435310363769531, 1.1709507703781128, 1.1710072755813599, 1.0298405885696411, 1.0394333600997925, 22.127931594848633, 0.16442395746707916, 0.36048609018325806, 0.03594628721475601, 0.05477488413453102, 0.06326206773519516, 0.039433278143405914, -0.0023379100020974874, 0.02421790361404419, -0.04773824289441109, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
1,[8],"[14, 11, 1, 0, 10, 5, 9, 49, 30, 28, 32, 38, 13, 3, 50, 26, 29, 27, 55, 6, 54, 37, 35, 42, 20, 7, 22, 19, 24, 21, 51, 23, 18, 40, 17, 31, 43, 53, 39, 41, 33, 34, 58, 16, 15, 2, 46, 12, 36, 4, 44, 45, 56, 57, 59, 25, 47, 48, 52]","[array([49], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([71], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([56], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([82], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([92], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([97], dtype=int64), array([16], dtype=int64), array([50], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64), array([1], dtype=int64)]","[62.325958251953125, 90.00286102294922, 94.82036590576172, 80.89269256591797, 78.95069885253906, 24.016613006591797, 28.980653762817383, 14.987167358398438, 12.984445571899414, 6.951352119445801, 15.011343955993652, 5.09543514251709, 5.037968635559082, 4.9799580574035645, 4.002042293548584, 3.987849712371826, 3.000633955001831, 2.680065631866455, 1.9890495538711548, 0.18626156449317932, 0.14729808270931244, 0.13686369359493256, 0.18803748488426208, 0.23125572502613068, 0.17916685342788696, 0.2674131691455841, 0.225260391831398, 0.15681947767734528, 0.347379595041275, 0.44034481048583984, 0.25702598690986633, 0.1847635805606842, 0.49763453006744385, 0.31386059522628784, 83.00788116455078, 0.08813795447349548, 0.17049138247966766, 0.09299993515014648, 67.6433334350586, 51.92546081542969, 93.71649169921875, 67.87708282470703, 36.879730224609375, 32.012115478515625, 12.992348670959473, 37.244773864746094, 1.9987139701843262, 74.72248077392578, 1.0010411739349365, 0.18956689536571503, 0.0324474573135376, 0.020338447764515877, 0.02774963341653347, 0.12712591886520386, 0.9198349118232727, 2.551661491394043, 14.858654975891113, 10.018793106079102, 0.06650394201278687]"
2,[55],"[1, 11, 0, 5, 37, 10, 9, 49, 30, 33, 35, 3, 14, 28, 12, 38, 13, 50, 26, 27, 29, 6, 2, 51, 19, 20, 22, 24, 31, 7, 23, 21, 15, 18, 53, 34, 16, 8, 46, 58, 17, 32, 40, 39, 41, 36, 4, 56, 45, 42, 44, 54, 52, 43, 57, 59, 25, 47, 48]","[array([98], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([71], dtype=int64), array([50], dtype=int64), array([98], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([10], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([19], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([82], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([55], dtype=int64), array([28], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([92], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[67.37238311767578, 90.92799377441406, 80.87684631347656, 24.018789291381836, 93.98442840576172, 78.95333862304688, 29.034950256347656, 14.996919631958008, 58.01536178588867, 93.97887420654297, 61.85179138183594, 55.03654479980469, 9.001799583435059, 6.949701309204102, 38.920257568359375, 5.275204658508301, 5.0123982429504395, 3.9879963397979736, 3.9041669368743896, 3.5626754760742188, 2.9809324741363525, 0.16221433877944946, 5.990597248077393, 0.10860219597816467, 0.14169366657733917, 0.19589196145534515, 23.93578338623047, 25.967159271240234, 24.12583351135254, 16.982351303100586, 12.262288093566895, 11.380404472351074, 13.334853172302246, 7.849997520446777, 6.998236179351807, 2.941645622253418, 2.115476131439209, 29.195077896118164, 1.921410083770752, 1.1087366342544556, 1.2141892910003662, 56.250457763671875, 1.0126969814300537, 1.1401783227920532, 1.0247092247009277, 1.0155117511749268, 0.194139301776886, 0.03437978774309158, 0.031364452093839645, 0.03443604335188866, 0.015559282153844833, 0.1294683814048767, -0.006502524018287659, 0.11341482400894165, 0.00825642142444849, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
3,[15],"[1, 6, 11, 38, 37, 9, 10, 49, 30, 0, 32, 27, 14, 28, 12, 13, 3, 26, 50, 29, 55, 35, 39, 31, 53, 20, 2, 19, 22, 21, 51, 24, 23, 7, 18, 34, 16, 8, 46, 40, 17, 41, 58, 36, 5, 4, 44, 42, 54, 43, 33, 45, 56, 57, 52, 59, 25, 47, 48]","[array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([19], dtype=int64), array([50], dtype=int64), array([80], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([95], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([3], dtype=int64), array([82], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([85], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([92], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[55.93687438964844, 82.24073791503906, 89.9985580444336, 90.01436614990234, 75.96611785888672, 29.015213012695312, 78.98668670654297, 15.013111114501953, 57.9753532409668, 81.00723266601562, 15.011738777160645, 51.04568862915039, 9.026288032531738, 7.0041608810424805, 38.95441436767578, 5.006513595581055, 4.98884916305542, 4.156285762786865, 3.985286235809326, 3.003835439682007, 1.963775873184204, 88.95841217041016, 86.88887023925781, 0.20500217378139496, 0.15858325362205505, 0.07015322893857956, 6.084633827209473, 0.15740960836410522, 0.12141039967536926, 88.11227416992188, 87.93699645996094, 26.428470611572266, 12.02790355682373, 16.931011199951172, 6.0246076583862305, 2.9946937561035156, 2.1882545948028564, 29.11007308959961, 1.9093266725540161, 1.1814948320388794, 1.1352733373641968, 1.0885441303253174, 1.025731086730957, 1.0071582794189453, 22.235692977905273, 0.3519609570503235, 0.023831965401768684, 0.08263102918863297, 0.15351414680480957, 0.04157335311174393, 0.05861577391624451, 0.020338447764515877, 0.02774963341653347, 0.12712591886520386, -0.01297263614833355, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
4,[15],"[1, 6, 11, 38, 37, 9, 10, 49, 30, 0, 32, 27, 14, 28, 12, 13, 3, 26, 50, 29, 55, 35, 39, 31, 53, 20, 2, 19, 22, 21, 51, 24, 23, 7, 18, 34, 16, 8, 46, 40, 17, 41, 58, 36, 5, 4, 44, 42, 54, 43, 33, 45, 56, 57, 52, 59, 25, 47, 48]","[array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([19], dtype=int64), array([50], dtype=int64), array([80], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([95], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([55], dtype=int64), array([3], dtype=int64), array([82], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([85], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([92], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[55.93687438964844, 82.24073791503906, 89.9985580444336, 90.01436614990234, 75.96611785888672, 29.015213012695312, 78.98668670654297, 15.013111114501953, 57.9753532409668, 81.00723266601562, 15.011738777160645, 51.04568862915039, 9.026288032531738, 7.0041608810424805, 38.95441436767578, 5.006513595581055, 4.98884916305542, 4.156285762786865, 3.985286235809326, 3.003835439682007, 1.963775873184204, 88.95841217041016, 86.88887023925781, 0.20500217378139496, 0.15858325362205505, 0.07015322893857956, 6.084633827209473, 0.15740960836410522, 0.12141039967536926, 88.11227416992188, 87.93699645996094, 26.428470611572266, 12.02790355682373, 16.931011199951172, 6.0246076583862305, 2.9946937561035156, 2.1882545948028564, 29.11007308959961, 1.9093266725540161, 1.1814948320388794, 1.1352733373641968, 1.0885441303253174, 1.025731086730957, 1.0071582794189453, 22.235692977905273, 0.3519609570503235, 0.023831965401768684, 0.08263102918863297, 0.15351414680480957, 0.04157335311174393, 0.05861577391624451, 0.020338447764515877, 0.02774963341653347, 0.12712591886520386, -0.01297263614833355, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
5,[39],"[1, 11, 0, 5, 10, 9, 49, 30, 35, 37, 14, 28, 12, 38, 3, 13, 50, 26, 27, 29, 55, 6, 19, 21, 20, 22, 53, 24, 51, 18, 33, 31, 7, 2, 23, 15, 34, 16, 8, 46, 17, 32, 40, 58, 41, 36, 4, 56, 45, 42, 44, 54, 52, 43, 57, 59, 25, 47, 48]","[array([98], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([71], dtype=int64), array([98], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([43], dtype=int64), array([50], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([19], dtype=int64), array([10], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([82], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([85], dtype=int64), array([4], dtype=int64), array([92], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[66.47299194335938, 84.91610717773438, 80.8675537109375, 23.999305725097656, 78.95796966552734, 29.00687026977539, 15.011453628540039, 58.01168441772461, 61.78402328491211, 75.87957000732422, 9.022244453430176, 6.9665961265563965, 39.004608154296875, 5.120604038238525, 5.017849922180176, 4.985744953155518, 3.9836034774780273, 3.946124315261841, 3.5025925636291504, 3.0171046257019043, 1.966903805732727, 0.14696599543094635, 0.12036136537790298, 0.15706032514572144, 91.96090698242188, 90.0047836303711, 93.98577880859375, 88.84150695800781, 87.84388732910156, 87.0896224975586, 93.87091827392578, 24.18313217163086, 16.98284912109375, 37.161991119384766, 12.123978614807129, 13.216387748718262, 2.9225120544433594, 2.173194408416748, 29.138111114501953, 1.9597216844558716, 1.0676977634429932, 56.24884033203125, 1.0950696468353271, 1.014166235923767, 1.0247092247009277, 1.0155117511749268, 0.194139301776886, 0.03437978774309158, 0.031364452093839645, 0.03443604335188866, 0.015559282153844833, 0.1294683814048767, -0.006502524018287659, 0.11341482400894165, 0.00825642142444849, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
6,[50],"[1, 11, 0, 5, 10, 9, 37, 49, 33, 30, 35, 3, 14, 28, 12, 38, 13, 26, 29, 27, 55, 6, 8, 7, 16, 42, 39, 44, 19, 51, 24, 21, 22, 20, 17, 31, 23, 18, 54, 43, 41, 53, 15, 40, 58, 52, 34, 56, 45, 32, 2, 46, 36, 4, 57, 59, 25, 47, 48]","[array([98], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([71], dtype=int64), array([98], dtype=int64), array([80], dtype=int64), array([50], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([43], dtype=int64), array([10], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([19], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([39], dtype=int64), array([28], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([82], dtype=int64), array([7], dtype=int64), array([55], dtype=int64), array([4], dtype=int64), array([92], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[69.01380920410156, 86.70468139648438, 80.86229705810547, 24.001916885375977, 78.94637298583984, 28.991947174072266, 93.9704360961914, 15.007943153381348, 93.98584747314453, 58.0326042175293, 61.80335235595703, 55.00924301147461, 8.980673789978027, 6.955580711364746, 38.92802810668945, 5.182708263397217, 5.001305103302002, 3.964219808578491, 3.013443946838379, 2.33111572265625, 1.9740400314331055, 0.16221433877944946, 0.08134178817272186, 0.2300616055727005, 0.11130575835704803, 0.2013094127178192, 0.14413250982761383, 0.09064227342605591, 0.1310151070356369, 0.12403728812932968, 0.09596272557973862, 0.24323225021362305, 24.09847640991211, 39.0444450378418, 82.93866729736328, 24.338319778442383, 12.09443187713623, 86.98793029785156, 75.87294006347656, 53.49644088745117, 51.70787048339844, 93.88911437988281, 13.017241477966309, 42.666378021240234, 36.18684768676758, 31.04348373413086, 67.91683197021484, 25.764184951782227, 13.97464656829834, 91.70760345458984, 27.544462203979492, 1.8532394170761108, 1.0618164539337158, 0.3894319534301758, 0.00825642142444849, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
7,[20],"[24, 22, 6, 11, 38, 18, 21, 9, 10, 3, 35, 19, 1, 0, 49, 7, 12, 30, 14, 28, 2, 13, 50, 26, 29, 27, 55, 41, 37, 51, 31, 32, 17, 23, 15, 54, 53, 34, 16, 8, 46, 40, 39, 36, 58, 5, 42, 4, 52, 33, 43, 45, 56, 57, 44, 59, 25, 47, 48]","[array([85], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([19], dtype=int64), array([92], dtype=int64), array([99], dtype=int64), array([80], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([43], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([99], dtype=int64), array([28], dtype=int64), array([50], dtype=int64), array([99], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([50], dtype=int64), array([4], dtype=int64), array([55], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([56], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[82.24763488769531, 83.65850830078125, 92.94965362548828, 90.0373764038086, 90.00163269042969, 93.52886199951172, 92.15921020507812, 90.4897689819336, 93.73877716064453, 91.82936096191406, 93.88142395019531, 80.67850494384766, 84.56288146972656, 80.90452575683594, 15.013215065002441, 82.15526580810547, 38.92534255981445, 13.046041488647461, 9.015182495117188, 6.984730243682861, 6.0773606300354, 4.973658561706543, 3.994661569595337, 3.966095209121704, 3.0323517322540283, 2.1598024368286133, 2.0291154384613037, 90.90990447998047, 93.85968017578125, 87.9083251953125, 23.86208724975586, 56.00627899169922, 82.99591064453125, 12.157835960388184, 13.03596019744873, 75.94144439697266, 93.94288635253906, 3.021620988845825, 2.1114723682403564, 29.154800415039062, 1.9545120000839233, 1.2447386980056763, 1.133172869682312, 1.0298405885696411, 1.0394333600997925, 22.127931594848633, 0.16442395746707916, 0.36048609018325806, 0.03594628721475601, 0.05477488413453102, 0.06326206773519516, 0.039433278143405914, -0.0023379100020974874, 0.02421790361404419, -0.04773824289441109, 0.988442599773407, 2.396191120147705, 14.843759536743164, 10.006915092468262]"
8,[14],"[9, 38, 11, 1, 10, 0, 5, 49, 30, 28, 32, 13, 3, 50, 26, 27, 29, 55, 35, 6, 37, 8, 42, 20, 19, 24, 23, 22, 21, 54, 7, 39, 18, 40, 51, 17, 33, 31, 43, 41, 53, 34, 58, 16, 15, 12, 46, 2, 36, 4, 44, 45, 56, 57, 59, 25, 47, 48, 52]","[array([80], dtype=int64), array([19], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([71], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([43], dtype=int64), array([95], dtype=int64), array([50], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([82], dtype=int64), array([99], dtype=int64), array([85], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([56], dtype=int64), array([28], dtype=int64), array([2], dtype=int64), array([92], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([50], dtype=int64), array([16], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64), array([1], dtype=int64)]","[60.869285583496094, 90.03858947753906, 94.97769165039062, 94.92778015136719, 78.97817993164062, 80.85071563720703, 24.015296936035156, 15.003080368041992, 12.944799423217773, 6.964353561401367, 15.008427619934082, 5.012255668640137, 5.004478931427002, 3.990086793899536, 3.9758622646331787, 3.694317579269409, 3.016467332839966, 2.001678466796875, 0.16476120054721832, 0.2245989739894867, 0.18478071689605713, 0.20828738808631897, 0.1707717478275299, 0.15940773487091064, 0.206976979970932, 0.35253921151161194, 0.17121142148971558, 0.5179460048675537, 0.2607727646827698, 0.24228888750076294, 0.21021969616413116, 0.1375276893377304, 0.28287672996520996, 0.1889101266860962, 87.9460678100586, 83.05460357666016, 93.94398498535156, 81.73497772216797, 53.75113296508789, 51.64177703857422, 93.66910552978516, 67.87708282470703, 36.879730224609375, 32.012115478515625, 12.992348670959473, 74.77027893066406, 1.93648099899292, 37.40743637084961, 1.0010411739349365, 0.18956689536571503, 0.0324474573135376, 0.020338447764515877, 0.02774963341653347, 0.12712591886520386, 0.9198349118232727, 2.551661491394043, 14.858654975891113, 10.018793106079102, 0.06650394201278687]"
9,[29],"[18, 11, 38, 1, 0, 10, 9, 49, 32, 30, 14, 28, 2, 13, 3, 50, 26, 27, 55, 6, 35, 20, 22, 37, 24, 21, 51, 19, 33, 31, 7, 12, 23, 15, 53, 34, 16, 8, 46, 17, 40, 39, 41, 36, 58, 5, 4, 56, 45, 42, 44, 54, 59, 43, 57, 25, 47, 48, 52]","[array([92], dtype=int64), array([97], dtype=int64), array([19], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([80], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([49], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([43], dtype=int64), array([82], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([85], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([28], dtype=int64), array([50], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([71], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64), array([1], dtype=int64)]","[90.5320816040039, 90.04682159423828, 90.02793884277344, 94.94581604003906, 80.8469009399414, 78.95008850097656, 28.99588966369629, 15.04799747467041, 14.987202644348145, 12.912407875061035, 9.030953407287598, 6.998960494995117, 6.0516557693481445, 5.009403705596924, 4.984378814697266, 3.9837729930877686, 3.9408297538757324, 2.3178136348724365, 1.9414633512496948, 0.24164055287837982, 88.96380615234375, 91.95677185058594, 90.00757598876953, 90.90914154052734, 88.92362976074219, 87.98798370361328, 87.97150421142578, 86.18859100341797, 93.92739868164062, 24.13677215576172, 17.003332138061523, 74.78958892822266, 12.118431091308594, 12.999784469604492, 6.935585975646973, 3.0012621879577637, 2.2508304119110107, 29.229572296142578, 1.9181278944015503, 1.1855213642120361, 1.0347458124160767, 1.1318496465682983, 1.0373502969741821, 0.9995940923690796, 1.0094362497329712, 22.15704917907715, 0.194139301776886, 0.03437978774309158, 0.031364452093839645, 0.03443604335188866, 0.015559282153844833, 0.1294683814048767, 0.9476580619812012, 0.040147148072719574, -0.013859197497367859, 2.551661491394043, 14.858654975891113, 10.018793106079102, 0.06650394201278687]"
