random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 14, 10, 9, 16, 39, 2, 49, 13, 12, 6, 0, 32, 31, 11, 30, 7, 15, 18, 50, 21, 17, 22, 24, 19, 42, 3, 35, 20, 53, 27, 23, 44, 29, 33, 52, 34, 36, 51, 37, 38, 40, 26, 41, 46, 8, 28, 43, 55, 45, 56, 57, 4, 58, 5, 59, 25, 47, 48]","[array([83], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([93], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([42], dtype=int64), array([51], dtype=int64), array([31], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([92], dtype=int64), array([3], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([46], dtype=int64), array([16], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([4], dtype=int64), array([69], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[53.6242561340332, 82.27207946777344, 87.13072204589844, 89.52922058105469, 89.93780517578125, 77.71585083007812, 84.5936508178711, 82.9432144165039, 80.81391906738281, 78.03214263916016, 87.76337432861328, 67.79241943359375, 71.75528717041016, 56.12931823730469, 70.6905746459961, 41.91221618652344, 83.63654327392578, 52.64183044433594, 34.67803192138672, 49.253143310546875, 32.7338981628418, 39.52470779418945, 32.884063720703125, 37.97475814819336, 36.261573791503906, 41.25792694091797, 41.51667022705078, 33.1290168762207, 21.0782413482666, 18.06505012512207, 10.900300025939941, 14.775107383728027, 9.20792293548584, 10.83669662475586, 10.314886093139648, 13.268389701843262, 3.5368480682373047, 5.929525375366211, 7.773362636566162, 6.180847644805908, 5.442432403564453, 2.1772212982177734, 4.90373420715332, 3.834287405014038, 3.0363450050354004, 57.02286911010742, 1.8877758979797363, 1.2241127490997314, 0.9880841970443726, -0.2997397482395172, 2.188002347946167, 0.2472246289253235, 20.207544326782227, -1.0721993446350098, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
1,[8],"[1, 14, 9, 16, 19, 10, 49, 31, 42, 6, 3, 2, 13, 12, 0, 32, 53, 18, 21, 11, 22, 24, 35, 7, 23, 17, 30, 54, 50, 20, 33, 27, 44, 37, 52, 38, 29, 15, 43, 28, 51, 46, 26, 34, 36, 55, 40, 39, 56, 41, 45, 57, 4, 58, 5, 59, 25, 47, 48]","[array([83], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([93], dtype=int64), array([21], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([23], dtype=int64), array([4], dtype=int64), array([88], dtype=int64), array([69], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([31], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([12], dtype=int64), array([53], dtype=int64), array([46], dtype=int64), array([92], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([3], dtype=int64), array([49], dtype=int64), array([2], dtype=int64), array([16], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[78.18445587158203, 83.00132751464844, 83.16016387939453, 89.30470275878906, 95.2746353149414, 82.65087127685547, 63.14057540893555, 70.66199493408203, 77.62311553955078, 90.38125610351562, 77.93392181396484, 59.44462966918945, 64.62336730957031, 64.89754486083984, 58.60245132446289, 76.60627746582031, 78.71248626708984, 39.220054626464844, 33.81498336791992, 90.49891662597656, 35.41971206665039, 34.48796081542969, 26.08867073059082, 69.90076446533203, 21.134300231933594, 22.074153900146484, 19.622085571289062, 17.113847732543945, 12.967287063598633, 12.92551326751709, 7.06441068649292, 10.459932327270508, 5.815544605255127, 9.654704093933105, 13.502306938171387, 4.9520463943481445, 7.40383768081665, 46.825260162353516, 4.846695423126221, 4.193932056427002, 5.846627712249756, 2.9674031734466553, 3.024341106414795, 5.03256368637085, 7.556599140167236, 0.8598399758338928, 1.8037384748458862, 1.6898102760314941, 1.4645198583602905, 3.7256643772125244, 1.4023548364639282, 0.2472246289253235, 20.207544326782227, -1.0721993446350098, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
2,[55],"[1, 10, 28, 9, 16, 14, 29, 49, 2, 3, 6, 32, 13, 0, 11, 31, 12, 42, 7, 15, 18, 22, 21, 24, 19, 35, 17, 30, 54, 20, 23, 50, 53, 52, 33, 44, 37, 8, 27, 26, 38, 34, 41, 51, 43, 46, 56, 45, 39, 4, 40, 36, 57, 58, 5, 59, 25, 47, 48]","[array([83], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([89], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([1], dtype=int64), array([42], dtype=int64), array([73], dtype=int64), array([69], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([23], dtype=int64), array([31], dtype=int64), array([4], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([73], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[65.05388641357422, 80.6673583984375, 92.10997009277344, 77.78538513183594, 80.78703308105469, 91.42078399658203, 77.8966293334961, 88.74868774414062, 84.97428131103516, 82.96484375, 80.75750732421875, 80.2260513305664, 74.69254302978516, 71.9639663696289, 86.07699584960938, 68.47393798828125, 62.14825439453125, 54.9783935546875, 85.8626480102539, 39.99993133544922, 29.71836280822754, 44.916507720947266, 40.94001388549805, 38.08265686035156, 35.25555419921875, 31.71805763244629, 23.485336303710938, 20.251243591308594, 15.705656051635742, 18.47110366821289, 12.370018005371094, 16.704113006591797, 7.553475856781006, 10.276754379272461, 9.150208473205566, 7.270421504974365, 6.916216850280762, 54.343475341796875, 6.104800224304199, 7.765377044677734, 6.57132625579834, 6.368165493011475, 4.738656520843506, 4.747013568878174, 3.654205322265625, 6.764790058135986, 2.7815957069396973, 0.3254093825817108, 1.2887376546859741, 10.752894401550293, -0.4792010486125946, 6.567615985870361, -0.6893784403800964, -1.0721993446350098, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
3,[15],"[42, 9, 50, 37, 16, 10, 29, 49, 14, 18, 11, 6, 1, 3, 7, 31, 8, 22, 21, 0, 24, 13, 2, 19, 4, 30, 17, 20, 23, 54, 32, 52, 35, 43, 27, 33, 39, 44, 26, 51, 5, 46, 25, 38, 56, 41, 28, 55, 47, 40, 57, 45, 59, 48, 58, 36, 12, 34, 53]","[array([4], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([1], dtype=int64), array([42], dtype=int64), array([91], dtype=int64), array([53], dtype=int64), array([92], dtype=int64), array([88], dtype=int64), array([83], dtype=int64), array([69], dtype=int64), array([49], dtype=int64), array([23], dtype=int64), array([73], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([62], dtype=int64), array([38], dtype=int64), array([51], dtype=int64), array([73], dtype=int64), array([21], dtype=int64), array([33], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([82], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([31], dtype=int64), array([5], dtype=int64), array([12], dtype=int64)]","[44.968666076660156, 72.1392593383789, 66.63520050048828, 89.85246276855469, 62.041465759277344, 85.29772186279297, 76.55255126953125, 78.04678344726562, 62.66307067871094, 36.982479095458984, 85.64640045166016, 84.48971557617188, 70.04469299316406, 82.26029968261719, 87.11361694335938, 67.77229309082031, 70.63726806640625, 42.31782531738281, 43.48555374145508, 58.770023345947266, 45.04783630371094, 37.14207458496094, 62.67036437988281, 34.11370849609375, 53.76533126831055, 21.243879318237305, 28.407764434814453, 19.935688018798828, 13.879755973815918, 16.45636749267578, 58.07752227783203, 9.91421890258789, 10.840537071228027, 8.569079399108887, 8.574562072753906, 10.410120010375977, 6.105784893035889, 10.211858749389648, 4.914716720581055, 3.593352794647217, 57.90333557128906, 6.978549480438232, 45.51979064941406, 3.4954991340637207, 3.8251163959503174, 3.1035802364349365, 1.8001632690429688, 2.107374668121338, 2.8347854614257812, 1.8707505464553833, 0.6493925452232361, 1.1636955738067627, 0.10089628398418427, -1.1646528244018555, -1.2419774532318115, 5.421455383300781, 42.97048568725586, -1.2576488256454468, 4.76469612121582]"
4,[15],"[42, 9, 50, 37, 16, 10, 29, 49, 14, 18, 11, 6, 1, 3, 7, 31, 8, 22, 21, 0, 24, 13, 2, 19, 4, 30, 17, 20, 23, 54, 32, 52, 35, 43, 27, 33, 39, 44, 26, 51, 5, 46, 25, 38, 56, 41, 28, 55, 47, 40, 57, 45, 59, 48, 58, 36, 12, 34, 53]","[array([4], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([1], dtype=int64), array([42], dtype=int64), array([91], dtype=int64), array([53], dtype=int64), array([92], dtype=int64), array([88], dtype=int64), array([83], dtype=int64), array([69], dtype=int64), array([49], dtype=int64), array([23], dtype=int64), array([73], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([62], dtype=int64), array([38], dtype=int64), array([51], dtype=int64), array([73], dtype=int64), array([21], dtype=int64), array([33], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([82], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([31], dtype=int64), array([5], dtype=int64), array([12], dtype=int64)]","[44.968666076660156, 72.1392593383789, 66.63520050048828, 89.85246276855469, 62.041465759277344, 85.29772186279297, 76.55255126953125, 78.04678344726562, 62.66307067871094, 36.982479095458984, 85.64640045166016, 84.48971557617188, 70.04469299316406, 82.26029968261719, 87.11361694335938, 67.77229309082031, 70.63726806640625, 42.31782531738281, 43.48555374145508, 58.770023345947266, 45.04783630371094, 37.14207458496094, 62.67036437988281, 34.11370849609375, 53.76533126831055, 21.243879318237305, 28.407764434814453, 19.935688018798828, 13.879755973815918, 16.45636749267578, 58.07752227783203, 9.91421890258789, 10.840537071228027, 8.569079399108887, 8.574562072753906, 10.410120010375977, 6.105784893035889, 10.211858749389648, 4.914716720581055, 3.593352794647217, 57.90333557128906, 6.978549480438232, 45.51979064941406, 3.4954991340637207, 3.8251163959503174, 3.1035802364349365, 1.8001632690429688, 2.107374668121338, 2.8347854614257812, 1.8707505464553833, 0.6493925452232361, 1.1636955738067627, 0.10089628398418427, -1.1646528244018555, -1.2419774532318115, 5.421455383300781, 42.97048568725586, -1.2576488256454468, 4.76469612121582]"
5,[39],"[1, 14, 3, 49, 2, 13, 9, 10, 0, 6, 16, 12, 32, 11, 31, 7, 18, 42, 28, 15, 35, 22, 21, 24, 17, 19, 50, 30, 20, 54, 23, 53, 44, 37, 33, 8, 52, 29, 27, 38, 51, 41, 46, 34, 36, 56, 40, 43, 55, 26, 45, 57, 4, 58, 5, 59, 25, 47, 48]","[array([83], dtype=int64), array([91], dtype=int64), array([69], dtype=int64), array([42], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([89], dtype=int64), array([91], dtype=int64), array([62], dtype=int64), array([88], dtype=int64), array([93], dtype=int64), array([31], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([23], dtype=int64), array([49], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([21], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[68.12261962890625, 83.53522491455078, 87.42473602294922, 80.3195571899414, 76.95672607421875, 71.13599395751953, 68.65550994873047, 68.75850677490234, 72.05441284179688, 80.2171630859375, 61.81460952758789, 83.79745483398438, 70.80020904541016, 86.775634765625, 65.98853302001953, 82.919921875, 53.771610260009766, 45.7480583190918, 59.22828674316406, 40.93586349487305, 72.0069808959961, 39.08515167236328, 42.50874710083008, 35.126644134521484, 35.043434143066406, 31.0965576171875, 22.93775749206543, 18.253829956054688, 16.420257568359375, 17.678232192993164, 13.393250465393066, 9.88570785522461, 11.136282920837402, 10.136650085449219, 9.844326972961426, 61.9030647277832, 7.470318794250488, 12.619035720825195, 5.6456379890441895, 4.505985736846924, 4.294845104217529, 2.5534963607788086, 5.280242919921875, 4.3278703689575195, 5.744117736816406, 2.8026530742645264, 0.9777105450630188, 0.5275905132293701, 1.9269812107086182, 1.1175798177719116, 1.4023548364639282, 0.2472246289253235, 20.207544326782227, -1.0721993446350098, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
6,[50],"[1, 14, 3, 49, 9, 16, 37, 10, 2, 13, 12, 6, 0, 32, 11, 31, 7, 15, 29, 18, 24, 21, 22, 19, 17, 42, 30, 20, 53, 23, 54, 27, 44, 35, 52, 33, 51, 8, 38, 26, 34, 43, 55, 45, 46, 28, 39, 56, 4, 40, 36, 57, 58, 41, 5, 59, 25, 47, 48]","[array([83], dtype=int64), array([91], dtype=int64), array([69], dtype=int64), array([42], dtype=int64), array([89], dtype=int64), array([93], dtype=int64), array([10], dtype=int64), array([91], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([31], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([23], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([38], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[54.686546325683594, 83.75032806396484, 86.91710662841797, 83.88845825195312, 85.8883056640625, 78.76522064208984, 76.45443725585938, 77.57872772216797, 81.17813873291016, 76.5040283203125, 72.69966125488281, 85.11161804199219, 59.28401565551758, 65.01216888427734, 87.37344360351562, 73.57269287109375, 79.07109069824219, 50.228240966796875, 79.01416015625, 29.9249267578125, 36.42923355102539, 36.752418518066406, 35.23922348022461, 37.54218292236328, 27.494848251342773, 36.46005630493164, 19.836315155029297, 19.943777084350586, 19.069869995117188, 11.690568923950195, 18.152008056640625, 11.675662994384766, 13.182727813720703, 12.308934211730957, 10.210275650024414, 11.593127250671387, 7.295753002166748, 57.59749984741211, 3.4070913791656494, 3.160402536392212, 3.0170257091522217, 1.89601731300354, 3.13694167137146, 2.9012954235076904, 4.484954833984375, 3.137549877166748, 2.8087158203125, 1.2704956531524658, 14.76005744934082, 0.8372241258621216, 4.047496318817139, 8.292630195617676, -0.06488670408725739, -0.9061444401741028, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
7,[20],"[1, 14, 49, 10, 29, 2, 0, 9, 6, 32, 11, 31, 16, 13, 12, 7, 18, 42, 15, 3, 22, 21, 17, 24, 19, 35, 54, 23, 50, 30, 33, 26, 53, 52, 8, 27, 39, 43, 34, 46, 44, 38, 37, 28, 51, 56, 55, 4, 45, 40, 36, 57, 58, 41, 5, 59, 25, 47, 48]","[array([83], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([91], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([23], dtype=int64), array([93], dtype=int64), array([51], dtype=int64), array([31], dtype=int64), array([49], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([69], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([16], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[77.20575714111328, 85.5825424194336, 87.13572692871094, 81.79060363769531, 84.0550537109375, 87.18069458007812, 76.36446380615234, 79.11146545410156, 83.10189819335938, 78.36597442626953, 87.45104217529297, 77.96217346191406, 78.47516632080078, 69.09320068359375, 60.49537658691406, 83.49444580078125, 39.21446228027344, 43.69388198852539, 40.42998123168945, 48.33852767944336, 35.76236343383789, 42.37278366088867, 32.88367462158203, 36.1834602355957, 28.931127548217773, 41.19850158691406, 18.066362380981445, 17.43267822265625, 30.53877830505371, 14.159649848937988, 8.412548065185547, 11.716999053955078, 7.7806396484375, 10.224775314331055, 58.501625061035156, 6.565079689025879, 5.313092231750488, 6.767329692840576, 6.084958553314209, 5.261388778686523, 5.603097438812256, 3.1146116256713867, 7.797065258026123, 3.1922078132629395, 5.668703556060791, 2.613912343978882, 2.4832682609558105, 11.966265678405762, -0.10170280933380127, 0.8372241258621216, 4.047496318817139, 8.292630195617676, -0.06488670408725739, -0.9061444401741028, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
8,[14],"[5, 9, 16, 38, 10, 3, 49, 6, 11, 13, 0, 12, 2, 31, 32, 1, 42, 22, 18, 21, 7, 24, 19, 17, 23, 53, 50, 20, 54, 30, 37, 29, 15, 52, 27, 33, 44, 28, 35, 56, 43, 46, 55, 34, 51, 39, 8, 26, 41, 45, 36, 58, 40, 4, 57, 59, 25, 47, 48]","[array([73], dtype=int64), array([89], dtype=int64), array([93], dtype=int64), array([11], dtype=int64), array([91], dtype=int64), array([69], dtype=int64), array([42], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([31], dtype=int64), array([73], dtype=int64), array([23], dtype=int64), array([82], dtype=int64), array([83], dtype=int64), array([4], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([46], dtype=int64), array([49], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[91.52198791503906, 82.19820404052734, 87.5372314453125, 89.11599731445312, 88.06646728515625, 88.70048522949219, 87.6951675415039, 84.75255584716797, 85.86805725097656, 81.30299377441406, 78.05115509033203, 64.40876007080078, 74.75558471679688, 61.99106979370117, 58.65200424194336, 79.22940826416016, 40.91939163208008, 75.50637817382812, 44.037662506103516, 46.61119079589844, 56.83732223510742, 31.888704299926758, 35.983009338378906, 30.61885643005371, 22.56767463684082, 24.99767303466797, 24.011959075927734, 17.23173713684082, 17.283077239990234, 15.371150016784668, 13.227418899536133, 10.059785842895508, 45.45498275756836, 10.761517524719238, 9.052390098571777, 9.630827903747559, 7.720665454864502, 5.941561222076416, 7.4616570472717285, 5.450157642364502, 4.106658935546875, 4.896678924560547, 2.6163454055786133, 4.246031284332275, 5.27620792388916, 2.7525012493133545, 58.870826721191406, 0.6067103147506714, 0.1589282751083374, 0.11779331415891647, 4.999688625335693, -1.354611873626709, -0.6717835068702698, 43.76906967163086, -2.17999267578125, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
9,[29],"[14, 10, 2, 49, 0, 9, 6, 11, 32, 1, 31, 16, 3, 13, 12, 7, 42, 15, 18, 22, 24, 21, 19, 35, 44, 17, 20, 53, 30, 50, 54, 8, 23, 52, 27, 37, 33, 51, 38, 26, 34, 43, 55, 45, 46, 28, 39, 56, 36, 40, 41, 57, 4, 58, 5, 59, 25, 47, 48]","[array([91], dtype=int64), array([91], dtype=int64), array([73], dtype=int64), array([42], dtype=int64), array([62], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([83], dtype=int64), array([23], dtype=int64), array([93], dtype=int64), array([69], dtype=int64), array([51], dtype=int64), array([31], dtype=int64), array([49], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([46], dtype=int64), array([21], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[66.14999389648438, 88.08273315429688, 91.55879211425781, 86.81986999511719, 75.53495788574219, 76.71129608154297, 85.53327941894531, 85.6901626586914, 78.3377914428711, 88.16629028320312, 69.40691375732422, 71.67098236083984, 70.30917358398438, 75.18729400634766, 56.649314880371094, 86.37569427490234, 39.728981018066406, 44.21424865722656, 37.91298294067383, 47.56165313720703, 43.12193298339844, 41.31983947753906, 35.4260368347168, 31.47943878173828, 18.706287384033203, 30.772432327270508, 22.148494720458984, 28.970478057861328, 19.248401641845703, 10.665657997131348, 17.57746124267578, 65.99248504638672, 12.503166198730469, 11.183998107910156, 6.961674690246582, 5.4308929443359375, 5.75721549987793, 3.366865873336792, 3.4070913791656494, 3.160402536392212, 3.0170257091522217, 1.89601731300354, 3.13694167137146, 2.9012954235076904, 4.484954833984375, 3.137549877166748, 2.8087158203125, 1.2704956531524658, 6.756886959075928, -0.17827537655830383, 0.4181263744831085, 0.2472246289253235, 20.207544326782227, -1.0721993446350098, 59.670291900634766, 1.3256146907806396, 49.82152557373047, 1.542556643486023, -1.5187100172042847]"
