random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 1, 7, 0, 32, 12, 38, 11, 3, 49, 5, 31, 53, 21, 35, 14, 22, 18, 16, 10, 29, 19, 24, 20, 37, 13, 2, 46, 30, 27, 6, 34, 23, 15, 26, 17, 58, 40, 8, 51, 57, 4, 52, 50, 39, 28, 41, 33, 56, 36, 45, 44, 43, 42, 55, 59, 25, 47, 48]","[array([89], dtype=int64), array([94], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([68], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([70], dtype=int64), array([80], dtype=int64), array([51], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([86], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([34], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([73], dtype=int64), array([69], dtype=int64), array([89], dtype=int64), array([92], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([59], dtype=int64), array([75], dtype=int64), array([39], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([74], dtype=int64), array([48], dtype=int64), array([0], dtype=int64), array([87], dtype=int64), array([44], dtype=int64), array([12], dtype=int64), array([38], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([61], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([87], dtype=int64), array([14], dtype=int64), array([3], dtype=int64)]","[44.485069274902344, 64.6590576171875, 85.03044891357422, 87.18753051757812, 64.79331970214844, 75.11043548583984, 71.7146224975586, 73.7212142944336, 75.40576934814453, 70.43228912353516, 82.3182373046875, 68.54869079589844, 65.35482025146484, 73.9320297241211, 68.21778869628906, 73.40518951416016, 73.96385955810547, 80.96272277832031, 67.28244018554688, 94.54842376708984, 69.47181701660156, 60.29120635986328, 73.7857437133789, 76.55789184570312, 66.83521270751953, 83.83753204345703, 85.71436309814453, 61.46650695800781, 53.39738845825195, 58.62698745727539, 79.60003662109375, 56.597694396972656, 57.96284103393555, 63.268253326416016, 52.947120666503906, 73.33434295654297, 74.49324035644531, 58.09477996826172, 55.631099700927734, 48.31981658935547, 51.246337890625, 75.9609603881836, 48.645263671875, 51.3704833984375, 45.40098571777344, 41.138938903808594, 40.639217376708984, 30.97991371154785, 32.400047302246094, 41.12757110595703, 17.256641387939453, 5.4431939125061035, 46.71879196166992, 47.177791595458984, -6.301510810852051, 33.07045364379883, 60.489524841308594, 37.3800048828125, 17.128311157226562]"
1,[8],"[6, 0, 1, 7, 32, 38, 3, 13, 20, 49, 21, 14, 22, 18, 24, 19, 30, 35, 10, 37, 9, 29, 17, 31, 58, 53, 12, 16, 50, 27, 34, 2, 23, 11, 42, 54, 57, 44, 39, 15, 36, 46, 43, 51, 26, 33, 40, 4, 56, 28, 41, 5, 45, 52, 55, 59, 25, 47, 48]","[array([88], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([89], dtype=int64), array([73], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([85], dtype=int64), array([86], dtype=int64), array([79], dtype=int64), array([80], dtype=int64), array([57], dtype=int64), array([51], dtype=int64), array([91], dtype=int64), array([69], dtype=int64), array([89], dtype=int64), array([34], dtype=int64), array([79], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([70], dtype=int64), array([92], dtype=int64), array([93], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([59], dtype=int64), array([92], dtype=int64), array([75], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([38], dtype=int64), array([75], dtype=int64), array([61], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([35], dtype=int64), array([87], dtype=int64), array([15], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([94], dtype=int64), array([9], dtype=int64), array([44], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([87], dtype=int64), array([14], dtype=int64), array([3], dtype=int64)]","[83.41397857666016, 72.33348846435547, 88.00807189941406, 82.37246704101562, 86.38941192626953, 82.09381866455078, 78.64836883544922, 78.68821716308594, 77.09772491455078, 76.50914764404297, 72.94540405273438, 72.78235626220703, 77.79704284667969, 79.35665130615234, 72.1852798461914, 75.38086700439453, 72.93559265136719, 66.8185806274414, 83.06269073486328, 63.240478515625, 94.10396575927734, 59.566184997558594, 64.7945785522461, 73.5003662109375, 70.14820098876953, 65.87249755859375, 94.17436218261719, 65.6375961303711, 62.38508987426758, 59.151790618896484, 55.167171478271484, 82.89128112792969, 65.81629943847656, 93.9637680053711, 63.87065887451172, 70.63591003417969, 64.10355377197266, 65.45315551757812, 61.64784240722656, 67.49183654785156, 51.19169235229492, 63.73160171508789, 55.11357498168945, 55.407310485839844, 53.08399963378906, 52.280399322509766, 47.645565032958984, 63.63182830810547, 47.11158752441406, 40.93944549560547, 46.68125534057617, 82.28250885009766, 24.378376007080078, 24.61970329284668, -6.301510810852051, 33.07045364379883, 60.489524841308594, 37.3800048828125, 17.128311157226562]"
2,[55],"[6, 8, 1, 32, 0, 7, 3, 38, 14, 12, 53, 21, 22, 18, 29, 49, 13, 19, 24, 28, 20, 37, 2, 35, 26, 30, 27, 16, 31, 17, 58, 11, 10, 4, 34, 57, 46, 23, 15, 5, 36, 40, 51, 25, 59, 54, 41, 47, 39, 56, 33, 45, 42, 43, 44, 48, 9, 52, 50]","[array([88], dtype=int64), array([74], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([70], dtype=int64), array([80], dtype=int64), array([85], dtype=int64), array([86], dtype=int64), array([34], dtype=int64), array([87], dtype=int64), array([89], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([73], dtype=int64), array([69], dtype=int64), array([92], dtype=int64), array([51], dtype=int64), array([39], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([93], dtype=int64), array([92], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([59], dtype=int64), array([75], dtype=int64), array([94], dtype=int64), array([61], dtype=int64), array([35], dtype=int64), array([48], dtype=int64), array([87], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([38], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([9], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([57], dtype=int64), array([3], dtype=int64), array([89], dtype=int64), array([44], dtype=int64), array([12], dtype=int64)]","[66.57304382324219, 73.97142028808594, 71.37882995605469, 72.61844635009766, 86.9444580078125, 78.22792053222656, 81.27155303955078, 82.06781768798828, 77.3982162475586, 75.14585876464844, 83.02997589111328, 76.01421356201172, 78.33789825439453, 74.64083862304688, 71.41744232177734, 84.41767120361328, 79.90345764160156, 77.59056854248047, 80.69605255126953, 68.12397766113281, 73.79917907714844, 69.78330993652344, 74.98129272460938, 66.78268432617188, 68.17127990722656, 65.82850646972656, 64.90848541259766, 70.96967315673828, 63.33744430541992, 76.2744369506836, 67.77969360351562, 86.41484832763672, 92.80208587646484, 61.640968322753906, 59.437015533447266, 64.50457763671875, 60.82444381713867, 59.757076263427734, 64.10032653808594, 91.88263702392578, 38.96664047241211, 60.54199981689453, 54.681312561035156, 84.58405303955078, 48.00627899169922, 43.30720901489258, 36.91322708129883, 47.110511779785156, 36.87820053100586, 27.416433334350586, 35.6790885925293, 10.757585525512695, 12.938507080078125, 32.398414611816406, 67.44087982177734, 19.278234481811523, 93.89550018310547, 26.560300827026367, 55.43050003051758]"
3,[15],"[6, 8, 0, 11, 49, 16, 14, 7, 37, 12, 53, 13, 29, 2, 32, 3, 38, 31, 1, 57, 30, 18, 22, 21, 46, 19, 24, 20, 35, 26, 4, 27, 5, 25, 48, 17, 40, 23, 45, 58, 59, 47, 28, 36, 34, 54, 41, 51, 39, 33, 56, 43, 42, 44, 55, 10, 9, 52, 50]","[array([88], dtype=int64), array([74], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([49], dtype=int64), array([69], dtype=int64), array([92], dtype=int64), array([70], dtype=int64), array([89], dtype=int64), array([34], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([80], dtype=int64), array([15], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([39], dtype=int64), array([87], dtype=int64), array([36], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([3], dtype=int64), array([79], dtype=int64), array([35], dtype=int64), array([59], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([14], dtype=int64), array([29], dtype=int64), array([61], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([48], dtype=int64), array([38], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([5], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([44], dtype=int64), array([12], dtype=int64)]","[86.80319213867188, 72.46293640136719, 77.69600677490234, 89.03460693359375, 82.65519714355469, 80.92548370361328, 84.81893157958984, 79.5475845336914, 78.41924285888672, 76.22013854980469, 81.89329528808594, 82.2817611694336, 70.90234375, 84.54013061523438, 82.76199340820312, 83.58561706542969, 63.06831741333008, 67.7406997680664, 87.27969360351562, 75.51519012451172, 66.22672271728516, 72.814697265625, 78.91053009033203, 75.33710479736328, 74.07454681396484, 66.88269805908203, 73.76681518554688, 76.80733489990234, 67.11551666259766, 58.49076461791992, 68.56058502197266, 52.02508544921875, 90.39967346191406, 75.94659423828125, 49.02629470825195, 70.4782943725586, 54.774539947509766, 52.80174255371094, 62.964046478271484, 56.04362106323242, 53.271392822265625, 53.06325149536133, 41.183284759521484, 58.36835479736328, 64.54878997802734, 43.170997619628906, 32.38300704956055, 29.078815460205078, 31.92328453063965, 24.968643188476562, 22.77083969116211, 14.139138221740723, 32.97924041748047, 52.84892654418945, -3.636202573776245, 97.38481140136719, 93.89550018310547, 26.560300827026367, 55.43050003051758]"
4,[15],"[6, 8, 0, 11, 49, 16, 14, 7, 37, 12, 53, 13, 29, 2, 32, 3, 38, 31, 1, 57, 30, 18, 22, 21, 46, 19, 24, 20, 35, 26, 4, 27, 5, 25, 48, 17, 40, 23, 45, 58, 59, 47, 28, 36, 34, 54, 41, 51, 39, 33, 56, 43, 42, 44, 55, 10, 9, 52, 50]","[array([88], dtype=int64), array([74], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([49], dtype=int64), array([69], dtype=int64), array([92], dtype=int64), array([70], dtype=int64), array([89], dtype=int64), array([34], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([80], dtype=int64), array([15], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([39], dtype=int64), array([87], dtype=int64), array([36], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([3], dtype=int64), array([79], dtype=int64), array([35], dtype=int64), array([59], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([14], dtype=int64), array([29], dtype=int64), array([61], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([48], dtype=int64), array([38], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([5], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([44], dtype=int64), array([12], dtype=int64)]","[86.80319213867188, 72.46293640136719, 77.69600677490234, 89.03460693359375, 82.65519714355469, 80.92548370361328, 84.81893157958984, 79.5475845336914, 78.41924285888672, 76.22013854980469, 81.89329528808594, 82.2817611694336, 70.90234375, 84.54013061523438, 82.76199340820312, 83.58561706542969, 63.06831741333008, 67.7406997680664, 87.27969360351562, 75.51519012451172, 66.22672271728516, 72.814697265625, 78.91053009033203, 75.33710479736328, 74.07454681396484, 66.88269805908203, 73.76681518554688, 76.80733489990234, 67.11551666259766, 58.49076461791992, 68.56058502197266, 52.02508544921875, 90.39967346191406, 75.94659423828125, 49.02629470825195, 70.4782943725586, 54.774539947509766, 52.80174255371094, 62.964046478271484, 56.04362106323242, 53.271392822265625, 53.06325149536133, 41.183284759521484, 58.36835479736328, 64.54878997802734, 43.170997619628906, 32.38300704956055, 29.078815460205078, 31.92328453063965, 24.968643188476562, 22.77083969116211, 14.139138221740723, 32.97924041748047, 52.84892654418945, -3.636202573776245, 97.38481140136719, 93.89550018310547, 26.560300827026367, 55.43050003051758]"
5,[39],"[6, 8, 1, 2, 32, 49, 3, 14, 13, 16, 0, 12, 11, 21, 24, 26, 18, 22, 31, 10, 17, 9, 58, 29, 35, 7, 50, 19, 20, 46, 53, 23, 38, 37, 51, 15, 34, 41, 57, 36, 30, 27, 28, 54, 40, 33, 4, 5, 56, 59, 43, 42, 44, 45, 55, 25, 47, 48, 52]","[array([88], dtype=int64), array([74], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([93], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([39], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([79], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([34], dtype=int64), array([51], dtype=int64), array([49], dtype=int64), array([12], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([15], dtype=int64), array([70], dtype=int64), array([59], dtype=int64), array([68], dtype=int64), array([69], dtype=int64), array([48], dtype=int64), array([75], dtype=int64), array([62], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([61], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([31], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([87], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([44], dtype=int64)]","[74.2197265625, 73.58834838867188, 69.0560302734375, 77.04835510253906, 81.40583038330078, 83.4273452758789, 92.80606842041016, 85.22539520263672, 84.40550994873047, 82.863037109375, 95.985595703125, 75.9650650024414, 93.65101623535156, 80.16722106933594, 82.54528045654297, 78.48482513427734, 78.24884033203125, 74.82343292236328, 81.16989135742188, 103.91265869140625, 73.87620544433594, 82.04901123046875, 73.37967681884766, 87.64005279541016, 67.213134765625, 77.7975845336914, 60.073631286621094, 75.67445373535156, 63.34882354736328, 56.531394958496094, 60.61581039428711, 56.01361083984375, 61.57633590698242, 52.132835388183594, 53.0291633605957, 50.8957405090332, 57.252620697021484, 48.754642486572266, 46.375274658203125, 49.177120208740234, 51.143009185791016, 51.14530563354492, 45.7913703918457, 49.98005676269531, 30.716543197631836, 37.44021224975586, 42.2424201965332, 91.10987091064453, 31.561140060424805, 30.290739059448242, 12.724447250366211, 32.32552719116211, 56.86557388305664, 16.001157760620117, -4.70697021484375, 72.90575408935547, 55.05086898803711, 24.321529388427734, 23.626123428344727]"
6,[50],"[9, 8, 1, 32, 0, 12, 13, 3, 2, 5, 14, 49, 22, 21, 18, 38, 37, 16, 29, 35, 31, 17, 10, 11, 58, 24, 19, 53, 6, 20, 51, 7, 57, 30, 27, 15, 40, 46, 26, 54, 28, 23, 41, 39, 33, 34, 4, 56, 36, 59, 43, 42, 44, 45, 55, 25, 47, 48, 52]","[array([89], dtype=int64), array([74], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([85], dtype=int64), array([80], dtype=int64), array([86], dtype=int64), array([68], dtype=int64), array([69], dtype=int64), array([93], dtype=int64), array([34], dtype=int64), array([51], dtype=int64), array([92], dtype=int64), array([79], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([80], dtype=int64), array([70], dtype=int64), array([88], dtype=int64), array([73], dtype=int64), array([48], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([75], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([59], dtype=int64), array([24], dtype=int64), array([38], dtype=int64), array([31], dtype=int64), array([62], dtype=int64), array([87], dtype=int64), array([15], dtype=int64), array([61], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([87], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([44], dtype=int64)]","[67.32955932617188, 73.50194549560547, 73.73490142822266, 82.54927825927734, 89.2856216430664, 75.3311996459961, 77.58590698242188, 87.82003784179688, 77.21044158935547, 81.60658264160156, 80.04763793945312, 77.52182006835938, 79.42537689208984, 85.27420806884766, 82.38223266601562, 75.43538665771484, 71.29512023925781, 68.17301177978516, 85.77274322509766, 68.92011260986328, 73.74937438964844, 75.95845031738281, 99.05296325683594, 100.93724060058594, 67.6480484008789, 73.38932800292969, 74.76949310302734, 70.3734130859375, 94.97117614746094, 59.76974868774414, 65.84241485595703, 78.51795196533203, 61.475494384765625, 61.869449615478516, 58.45402526855469, 64.56205749511719, 51.26137161254883, 63.56040954589844, 46.8164176940918, 58.273067474365234, 43.10309982299805, 50.189613342285156, 37.9780387878418, 37.98550796508789, 33.7988166809082, 61.72917938232422, 63.55192565917969, 37.30422592163086, 61.82912826538086, 30.290739059448242, 12.724447250366211, 32.32552719116211, 56.86557388305664, 16.001157760620117, -4.70697021484375, 72.90575408935547, 55.05086898803711, 24.321529388427734, 23.626123428344727]"
7,[20],"[9, 11, 8, 1, 0, 7, 32, 13, 3, 49, 29, 16, 14, 2, 6, 12, 5, 10, 15, 19, 24, 4, 54, 35, 21, 18, 22, 30, 46, 26, 23, 17, 58, 37, 57, 38, 40, 51, 27, 25, 41, 36, 48, 59, 34, 47, 53, 39, 33, 56, 43, 44, 42, 45, 55, 31, 28, 52, 50]","[array([89], dtype=int64), array([92], dtype=int64), array([74], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([34], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([87], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([80], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([57], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([59], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([69], dtype=int64), array([0], dtype=int64), array([68], dtype=int64), array([35], dtype=int64), array([48], dtype=int64), array([36], dtype=int64), array([87], dtype=int64), array([24], dtype=int64), array([61], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([62], dtype=int64), array([14], dtype=int64), array([70], dtype=int64), array([38], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([92], dtype=int64), array([29], dtype=int64), array([44], dtype=int64), array([12], dtype=int64)]","[98.38318634033203, 84.5840835571289, 82.28237915039062, 79.41748809814453, 87.56520080566406, 80.89677429199219, 76.43966674804688, 78.62784576416016, 82.38127899169922, 80.13436126708984, 79.31780242919922, 79.91439056396484, 95.97783660888672, 83.69315338134766, 82.40493774414062, 84.7876968383789, 72.18492126464844, 101.44776153564453, 76.07158660888672, 72.14570617675781, 77.042724609375, 76.1627426147461, 71.96479797363281, 73.12606048583984, 74.81315612792969, 79.62415313720703, 71.05389404296875, 71.34551239013672, 78.2815933227539, 57.20594024658203, 57.59736633300781, 51.731842041015625, 69.72064971923828, 49.08287811279297, 64.43087768554688, 65.15550994873047, 54.59645080566406, 46.89440155029297, 54.512489318847656, 53.916385650634766, 38.854759216308594, 39.50629806518555, 45.228355407714844, 41.08665084838867, 57.12400817871094, 36.42017364501953, 65.03502655029297, 37.769351959228516, 30.353248596191406, 22.321517944335938, 7.256201267242432, 44.006526947021484, 28.426239013671875, 24.12421989440918, -4.531311988830566, 43.9995002746582, 44.23973846435547, 26.560300827026367, 55.43050003051758]"
8,[14],"[6, 8, 11, 0, 1, 49, 3, 32, 13, 21, 19, 20, 16, 29, 38, 22, 18, 24, 37, 12, 2, 31, 17, 58, 30, 7, 53, 4, 57, 35, 5, 15, 46, 26, 23, 51, 59, 25, 27, 48, 33, 45, 28, 40, 41, 36, 47, 34, 39, 56, 54, 43, 42, 44, 55, 10, 9, 52, 50]","[array([88], dtype=int64), array([74], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([80], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([93], dtype=int64), array([34], dtype=int64), array([68], dtype=int64), array([85], dtype=int64), array([86], dtype=int64), array([79], dtype=int64), array([69], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([49], dtype=int64), array([70], dtype=int64), array([87], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([94], dtype=int64), array([75], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([59], dtype=int64), array([48], dtype=int64), array([0], dtype=int64), array([87], dtype=int64), array([36], dtype=int64), array([3], dtype=int64), array([31], dtype=int64), array([9], dtype=int64), array([29], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([61], dtype=int64), array([14], dtype=int64), array([62], dtype=int64), array([38], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([5], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([44], dtype=int64), array([12], dtype=int64)]","[81.51683044433594, 81.48381042480469, 81.91665649414062, 81.84159851074219, 82.47779846191406, 78.24839782714844, 77.46821594238281, 88.63888549804688, 80.88024139404297, 80.30412292480469, 80.49958801269531, 80.76496124267578, 81.12039947509766, 84.29550170898438, 76.53895568847656, 75.10107421875, 77.601806640625, 78.15467071533203, 72.22645568847656, 85.56806182861328, 86.3448257446289, 73.69657897949219, 83.9674072265625, 77.37895965576172, 69.22506713867188, 75.6636962890625, 66.72338104248047, 74.25608825683594, 72.0298843383789, 73.69544982910156, 88.9483413696289, 66.19635772705078, 70.24383544921875, 64.21888732910156, 60.08420181274414, 60.16913604736328, 70.26617431640625, 62.518287658691406, 49.96922302246094, 52.21078109741211, 53.29871368408203, 46.57998275756836, 46.35693359375, 51.97866439819336, 38.881195068359375, 58.955787658691406, 46.75855255126953, 47.327327728271484, 38.62032699584961, 30.60960578918457, 30.477277755737305, 14.139138221740723, 32.97924041748047, 52.84892654418945, -3.636202573776245, 97.38481140136719, 93.89550018310547, 26.560300827026367, 55.43050003051758]"
9,[29],"[6, 8, 0, 1, 32, 2, 3, 16, 14, 12, 13, 31, 11, 53, 49, 10, 7, 4, 36, 58, 34, 52, 9, 50, 22, 18, 21, 24, 26, 19, 20, 35, 23, 38, 17, 51, 37, 42, 43, 57, 54, 44, 33, 40, 15, 46, 56, 28, 41, 45, 30, 27, 5, 39, 55, 59, 25, 47, 48]","[array([88], dtype=int64), array([74], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([92], dtype=int64), array([92], dtype=int64), array([70], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([49], dtype=int64), array([87], dtype=int64), array([61], dtype=int64), array([0], dtype=int64), array([62], dtype=int64), array([44], dtype=int64), array([89], dtype=int64), array([12], dtype=int64), array([85], dtype=int64), array([86], dtype=int64), array([80], dtype=int64), array([79], dtype=int64), array([39], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([59], dtype=int64), array([68], dtype=int64), array([79], dtype=int64), array([48], dtype=int64), array([69], dtype=int64), array([75], dtype=int64), array([57], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([31], dtype=int64), array([35], dtype=int64), array([75], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([29], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([36], dtype=int64), array([94], dtype=int64), array([38], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([87], dtype=int64), array([14], dtype=int64), array([3], dtype=int64)]","[65.0971450805664, 74.99378204345703, 69.45166015625, 81.05538940429688, 83.38734436035156, 80.66873931884766, 83.1737289428711, 73.53309631347656, 81.09486389160156, 77.68546295166016, 86.26837921142578, 72.4114990234375, 99.6324234008789, 76.72185516357422, 78.18256378173828, 97.95410919189453, 70.9616470336914, 66.27806854248047, 63.32554626464844, 62.88193130493164, 59.472007751464844, 63.02936553955078, 90.83697509765625, 53.87781524658203, 53.64017105102539, 81.4789047241211, 62.85491943359375, 60.91077423095703, 72.89077758789062, 73.01580810546875, 74.15790557861328, 68.66556549072266, 60.602989196777344, 53.857666015625, 52.97221374511719, 62.780364990234375, 70.99249267578125, 60.5125846862793, 67.61157989501953, 64.43647003173828, 73.48949432373047, 59.919559478759766, 57.831485748291016, 54.56995391845703, 67.01886749267578, 55.59014129638672, 43.88654708862305, 43.53225326538086, 50.72856140136719, 47.932411193847656, 41.35026931762695, 42.39749526977539, 74.71844482421875, 39.52219772338867, -6.301510810852051, 33.07045364379883, 60.489524841308594, 37.3800048828125, 17.128311157226562]"
