random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 9, 37, 30, 14, 10, 12, 0, 32, 49, 6, 18, 16, 13, 29, 2, 21, 3, 11, 22, 24, 7, 19, 42, 17, 44, 20, 31, 43, 50, 23, 27, 15, 51, 40, 45, 28, 26, 35, 53, 8, 52, 39, 33, 56, 38, 46, 55, 34, 41, 36, 4, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([14], dtype=int64), array([29], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([34], dtype=int64), array([41], dtype=int64), array([37], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([38], dtype=int64), array([60], dtype=int64), array([33], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([34], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([34], dtype=int64), array([30], dtype=int64), array([40], dtype=int64), array([28], dtype=int64), array([24], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([22], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([27], dtype=int64), array([18], dtype=int64), array([40], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([21], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[84.33584594726562, 60.358306884765625, 75.99750518798828, 98.99984741210938, 68.61819458007812, 78.99845123291016, 38.99991989135742, 80.99547576904297, 15.012885093688965, 15.000104904174805, 60.89581298828125, 47.09173583984375, 53.407875061035156, 38.11674118041992, 98.85093688964844, 52.551658630371094, 34.87174606323242, 37.4057731628418, 57.023902893066406, 34.23765563964844, 35.10616683959961, 46.22202682495117, 29.89337730407715, 30.344457626342773, 30.978227615356445, 34.12119674682617, 28.01728630065918, 29.695470809936523, 30.120424270629883, 24.804698944091797, 24.816648483276367, 23.059812545776367, 25.209354400634766, 23.643077850341797, 22.4033260345459, 22.785350799560547, 25.16190528869629, 21.23805809020996, 19.957412719726562, 26.351974487304688, 59.19815444946289, 25.36801528930664, 20.103275299072266, 22.204015731811523, 21.53094482421875, 21.693227767944336, 15.157892227172852, 15.939573287963867, 22.583473205566406, 13.094901084899902, 17.125473022460938, 40.91340637207031, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
1,[8],"[14, 29, 35, 3, 10, 21, 49, 2, 9, 12, 6, 16, 0, 18, 13, 11, 1, 42, 31, 7, 24, 54, 44, 17, 22, 37, 43, 19, 32, 50, 20, 23, 51, 40, 30, 28, 27, 26, 39, 53, 52, 33, 15, 38, 55, 34, 56, 41, 46, 4, 45, 36, 57, 5, 58, 59, 25, 47, 48]","[array([40], dtype=int64), array([22], dtype=int64), array([18], dtype=int64), array([35], dtype=int64), array([66], dtype=int64), array([35], dtype=int64), array([54], dtype=int64), array([40], dtype=int64), array([70], dtype=int64), array([34], dtype=int64), array([63], dtype=int64), array([60], dtype=int64), array([41], dtype=int64), array([38], dtype=int64), array([33], dtype=int64), array([58], dtype=int64), array([62], dtype=int64), array([43], dtype=int64), array([40], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([19], dtype=int64), array([34], dtype=int64), array([33], dtype=int64), array([32], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([37], dtype=int64), array([24], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([21], dtype=int64), array([22], dtype=int64), array([29], dtype=int64), array([25], dtype=int64), array([30], dtype=int64), array([27], dtype=int64), array([24], dtype=int64), array([40], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[78.8466796875, 71.00016021728516, 94.00650024414062, 98.00118255615234, 50.27736282348633, 98.00473022460938, 56.68738555908203, 57.09117126464844, 57.08506774902344, 38.99409103393555, 62.07484436035156, 47.42055892944336, 50.75398635864258, 42.809051513671875, 42.356937408447266, 57.56414794921875, 60.02444839477539, 34.93433380126953, 34.81356430053711, 42.609066009521484, 34.42106628417969, 32.48281478881836, 34.15601348876953, 33.98181915283203, 31.278718948364258, 28.58146095275879, 30.039003372192383, 28.784067153930664, 54.24424743652344, 26.454219818115234, 25.173126220703125, 22.82879638671875, 21.01167106628418, 19.79840660095215, 21.726999282836914, 20.246793746948242, 23.85247039794922, 19.338459014892578, 20.935161590576172, 24.084693908691406, 30.723033905029297, 28.749181747436523, 29.097158432006836, 20.99256134033203, 20.196819305419922, 22.403766632080078, 18.596927642822266, 17.293426513671875, 11.407015800476074, 39.936344146728516, 5.7211079597473145, 15.281355857849121, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
2,[55],"[1, 9, 3, 29, 16, 10, 14, 2, 49, 6, 0, 18, 32, 13, 21, 42, 44, 17, 11, 26, 24, 31, 37, 12, 22, 7, 19, 43, 20, 23, 50, 30, 54, 28, 15, 27, 51, 45, 53, 35, 40, 39, 34, 8, 52, 33, 38, 56, 41, 46, 4, 36, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([35], dtype=int64), array([22], dtype=int64), array([60], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([41], dtype=int64), array([38], dtype=int64), array([37], dtype=int64), array([33], dtype=int64), array([35], dtype=int64), array([43], dtype=int64), array([34], dtype=int64), array([33], dtype=int64), array([58], dtype=int64), array([27], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([32], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([28], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([29], dtype=int64), array([19], dtype=int64), array([25], dtype=int64), array([42], dtype=int64), array([30], dtype=int64), array([21], dtype=int64), array([1], dtype=int64), array([40], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([21], dtype=int64), array([5], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[85.7921142578125, 63.803958892822266, 65.72159576416016, 91.00032806396484, 68.43888854980469, 59.373226165771484, 67.42627716064453, 58.80113983154297, 45.307621002197266, 52.95784378051758, 51.85053634643555, 41.48825454711914, 59.38498306274414, 37.22837829589844, 31.816741943359375, 39.82139205932617, 39.60031509399414, 36.13688278198242, 48.38689041137695, 86.98058319091797, 39.021385192871094, 39.743831634521484, 37.832481384277344, 37.56332778930664, 36.11067199707031, 53.50328063964844, 28.90258026123047, 27.850534439086914, 28.254663467407227, 26.675243377685547, 25.389156341552734, 27.817699432373047, 26.509214401245117, 24.90876007080078, 29.483112335205078, 25.253870010375977, 26.124990463256836, 23.086641311645508, 18.818805694580078, 29.269554138183594, 20.514955520629883, 20.268478393554688, 20.598339080810547, 58.67317199707031, 24.453989028930664, 20.532466888427734, 21.958032608032227, 20.25092887878418, 13.560249328613281, 11.321524620056152, 37.289329528808594, 15.281355857849121, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
3,[15],"[1, 9, 29, 16, 10, 14, 3, 2, 12, 40, 18, 49, 6, 0, 42, 13, 44, 11, 21, 32, 24, 7, 17, 22, 54, 43, 19, 37, 31, 20, 23, 50, 51, 55, 30, 35, 27, 28, 26, 45, 53, 39, 34, 8, 52, 33, 38, 56, 41, 46, 4, 36, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([22], dtype=int64), array([60], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([35], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([22], dtype=int64), array([38], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([41], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([34], dtype=int64), array([58], dtype=int64), array([35], dtype=int64), array([37], dtype=int64), array([34], dtype=int64), array([54], dtype=int64), array([33], dtype=int64), array([32], dtype=int64), array([19], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([30], dtype=int64), array([25], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([40], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([21], dtype=int64), array([5], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[82.0183334350586, 67.15288543701172, 90.99903869628906, 63.21291732788086, 67.18305969238281, 65.48686218261719, 98.0025405883789, 57.54594802856445, 39.001102447509766, 58.994529724121094, 44.880470275878906, 48.34224319458008, 56.98044204711914, 47.96569061279297, 42.4839973449707, 43.14073181152344, 41.18900680541992, 53.49063491821289, 38.58226013183594, 52.819210052490234, 34.74075698852539, 46.345367431640625, 34.1646842956543, 31.51754379272461, 35.318138122558594, 29.875886917114258, 28.58646583557129, 29.776580810546875, 26.404775619506836, 25.830507278442383, 23.274568557739258, 26.481332778930664, 20.946435928344727, 20.579452514648438, 20.450254440307617, 22.039865493774414, 21.56458854675293, 22.03939437866211, 20.341867446899414, 24.487346649169922, 21.741039276123047, 20.268478393554688, 20.598339080810547, 58.67317199707031, 24.453989028930664, 20.532466888427734, 21.958032608032227, 20.25092887878418, 13.560249328613281, 11.321524620056152, 37.289329528808594, 15.281355857849121, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
4,[15],"[1, 9, 29, 16, 10, 14, 3, 2, 12, 40, 18, 49, 6, 0, 42, 13, 44, 11, 21, 32, 24, 7, 17, 22, 54, 43, 19, 37, 31, 20, 23, 50, 51, 55, 30, 35, 27, 28, 26, 45, 53, 39, 34, 8, 52, 33, 38, 56, 41, 46, 4, 36, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([22], dtype=int64), array([60], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([35], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([22], dtype=int64), array([38], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([41], dtype=int64), array([43], dtype=int64), array([33], dtype=int64), array([34], dtype=int64), array([58], dtype=int64), array([35], dtype=int64), array([37], dtype=int64), array([34], dtype=int64), array([54], dtype=int64), array([33], dtype=int64), array([32], dtype=int64), array([19], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([30], dtype=int64), array([25], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([40], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([21], dtype=int64), array([5], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[82.0183334350586, 67.15288543701172, 90.99903869628906, 63.21291732788086, 67.18305969238281, 65.48686218261719, 98.0025405883789, 57.54594802856445, 39.001102447509766, 58.994529724121094, 44.880470275878906, 48.34224319458008, 56.98044204711914, 47.96569061279297, 42.4839973449707, 43.14073181152344, 41.18900680541992, 53.49063491821289, 38.58226013183594, 52.819210052490234, 34.74075698852539, 46.345367431640625, 34.1646842956543, 31.51754379272461, 35.318138122558594, 29.875886917114258, 28.58646583557129, 29.776580810546875, 26.404775619506836, 25.830507278442383, 23.274568557739258, 26.481332778930664, 20.946435928344727, 20.579452514648438, 20.450254440307617, 22.039865493774414, 21.56458854675293, 22.03939437866211, 20.341867446899414, 24.487346649169922, 21.741039276123047, 20.268478393554688, 20.598339080810547, 58.67317199707031, 24.453989028930664, 20.532466888427734, 21.958032608032227, 20.25092887878418, 13.560249328613281, 11.321524620056152, 37.289329528808594, 15.281355857849121, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
5,[39],"[1, 9, 37, 16, 10, 30, 14, 2, 49, 0, 6, 18, 13, 42, 3, 44, 32, 21, 24, 11, 22, 7, 17, 19, 54, 12, 20, 43, 23, 31, 15, 51, 50, 53, 27, 33, 8, 28, 52, 29, 26, 38, 40, 45, 35, 34, 56, 41, 55, 46, 36, 4, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([14], dtype=int64), array([60], dtype=int64), array([66], dtype=int64), array([29], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([54], dtype=int64), array([41], dtype=int64), array([63], dtype=int64), array([38], dtype=int64), array([33], dtype=int64), array([43], dtype=int64), array([35], dtype=int64), array([34], dtype=int64), array([37], dtype=int64), array([35], dtype=int64), array([34], dtype=int64), array([58], dtype=int64), array([32], dtype=int64), array([54], dtype=int64), array([33], dtype=int64), array([34], dtype=int64), array([19], dtype=int64), array([34], dtype=int64), array([30], dtype=int64), array([28], dtype=int64), array([30], dtype=int64), array([40], dtype=int64), array([42], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([25], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([27], dtype=int64), array([21], dtype=int64), array([22], dtype=int64), array([1], dtype=int64), array([18], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[84.07622528076172, 62.54686737060547, 75.99950408935547, 63.74784469604492, 61.02778625488281, 98.99874877929688, 67.88590240478516, 61.61054611206055, 50.537967681884766, 50.7697639465332, 54.36951446533203, 43.80899429321289, 41.61368942260742, 41.232566833496094, 37.838314056396484, 40.251739501953125, 56.166805267333984, 37.67302322387695, 34.0907096862793, 53.9493293762207, 33.300872802734375, 48.813316345214844, 35.49137878417969, 30.341907501220703, 30.61331558227539, 33.64139938354492, 30.060781478881836, 29.017189025878906, 25.47171401977539, 30.653194427490234, 33.652923583984375, 23.839033126831055, 25.063615798950195, 23.347932815551758, 28.43222999572754, 27.30402374267578, 61.04331970214844, 25.925657272338867, 25.01348876953125, 24.896759033203125, 24.686059951782227, 25.547258377075195, 21.2530517578125, 25.854490280151367, 23.904708862304688, 21.372482299804688, 19.33018684387207, 18.083627700805664, 17.87446403503418, 11.321524620056152, 17.125473022460938, 40.91340637207031, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
6,[50],"[14, 3, 53, 29, 17, 12, 13, 20, 35, 9, 16, 10, 6, 1, 49, 8, 11, 18, 7, 0, 21, 42, 4, 24, 44, 2, 22, 54, 37, 19, 30, 43, 28, 27, 31, 26, 32, 45, 52, 51, 23, 40, 39, 33, 38, 56, 46, 55, 15, 34, 41, 5, 57, 36, 58, 59, 25, 47, 48]","[array([40], dtype=int64), array([35], dtype=int64), array([40], dtype=int64), array([22], dtype=int64), array([33], dtype=int64), array([34], dtype=int64), array([33], dtype=int64), array([30], dtype=int64), array([18], dtype=int64), array([70], dtype=int64), array([60], dtype=int64), array([66], dtype=int64), array([63], dtype=int64), array([62], dtype=int64), array([54], dtype=int64), array([57], dtype=int64), array([58], dtype=int64), array([38], dtype=int64), array([54], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([43], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([32], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([29], dtype=int64), array([28], dtype=int64), array([25], dtype=int64), array([30], dtype=int64), array([40], dtype=int64), array([27], dtype=int64), array([37], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([21], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([21], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([42], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[83.41290283203125, 56.006553649902344, 93.99955749511719, 90.99772644042969, 69.99382781982422, 50.00063705444336, 51.9971809387207, 47.99610900878906, 46.984317779541016, 48.28011703491211, 57.56479263305664, 50.90896224975586, 56.75959014892578, 52.35405349731445, 51.35067367553711, 50.90705108642578, 62.08338165283203, 47.9148063659668, 48.89073181152344, 52.704708099365234, 36.68264389038086, 36.86944580078125, 35.866783142089844, 35.63866424560547, 35.6203727722168, 57.449012756347656, 33.74295425415039, 32.90323257446289, 29.255592346191406, 28.13327407836914, 25.789684295654297, 26.475143432617188, 27.31092643737793, 24.814682006835938, 30.137237548828125, 25.251747131347656, 57.50647735595703, 26.46540069580078, 21.248085021972656, 21.4797306060791, 24.336565017700195, 26.233848571777344, 26.485820770263672, 24.33893394470215, 20.816200256347656, 22.230440139770508, 16.3606014251709, 18.80593490600586, 31.359289169311523, 16.52670669555664, 14.256511688232422, 57.48653793334961, 6.966739654541016, 11.916831016540527, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
7,[20],"[1, 9, 29, 14, 16, 49, 10, 2, 6, 0, 42, 18, 44, 13, 11, 17, 32, 3, 26, 24, 7, 31, 54, 22, 15, 21, 12, 19, 37, 43, 23, 27, 30, 35, 51, 28, 50, 45, 40, 53, 8, 52, 39, 33, 56, 38, 46, 55, 34, 41, 4, 36, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([60], dtype=int64), array([54], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([63], dtype=int64), array([41], dtype=int64), array([43], dtype=int64), array([38], dtype=int64), array([34], dtype=int64), array([33], dtype=int64), array([58], dtype=int64), array([33], dtype=int64), array([37], dtype=int64), array([35], dtype=int64), array([27], dtype=int64), array([34], dtype=int64), array([54], dtype=int64), array([40], dtype=int64), array([19], dtype=int64), array([32], dtype=int64), array([42], dtype=int64), array([35], dtype=int64), array([34], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([21], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[84.21096801757812, 67.82621765136719, 90.99883270263672, 71.28587341308594, 61.67007827758789, 55.08045196533203, 55.97109603881836, 57.695289611816406, 62.93561553955078, 50.137474060058594, 44.64323043823242, 42.456748962402344, 42.538490295410156, 41.561195373535156, 52.30131149291992, 45.64628219604492, 46.90885543823242, 45.22139358520508, 86.9897689819336, 39.994869232177734, 47.955631256103516, 35.28335952758789, 38.28721237182617, 37.439666748046875, 33.11894607543945, 33.97041320800781, 36.68102264404297, 30.387107849121094, 31.589519500732422, 30.04009246826172, 23.253677368164062, 26.38418197631836, 28.227266311645508, 25.526771545410156, 24.691600799560547, 27.306697845458984, 21.465333938598633, 21.545759201049805, 23.189075469970703, 26.351974487304688, 59.19815444946289, 25.36801528930664, 20.103275299072266, 22.204015731811523, 21.53094482421875, 21.693227767944336, 15.157892227172852, 15.939573287963867, 22.583473205566406, 13.094901084899902, 37.289329528808594, 15.281355857849121, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
8,[14],"[5, 29, 9, 10, 12, 40, 3, 0, 16, 13, 49, 6, 2, 18, 21, 42, 44, 11, 24, 1, 17, 7, 22, 31, 54, 43, 37, 19, 32, 20, 23, 55, 50, 30, 51, 35, 53, 52, 27, 26, 28, 33, 38, 34, 56, 15, 45, 39, 41, 46, 8, 4, 57, 36, 58, 59, 25, 47, 48]","[array([41], dtype=int64), array([22], dtype=int64), array([70], dtype=int64), array([66], dtype=int64), array([34], dtype=int64), array([22], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([60], dtype=int64), array([33], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([40], dtype=int64), array([38], dtype=int64), array([35], dtype=int64), array([43], dtype=int64), array([34], dtype=int64), array([58], dtype=int64), array([34], dtype=int64), array([62], dtype=int64), array([33], dtype=int64), array([54], dtype=int64), array([32], dtype=int64), array([40], dtype=int64), array([19], dtype=int64), array([28], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([37], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([29], dtype=int64), array([21], dtype=int64), array([18], dtype=int64), array([40], dtype=int64), array([22], dtype=int64), array([30], dtype=int64), array([27], dtype=int64), array([25], dtype=int64), array([9], dtype=int64), array([21], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([42], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([57], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([18], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[62.77071762084961, 98.9938735961914, 46.49411392211914, 78.99752044677734, 38.996646881103516, 58.97938537597656, 98.00752258300781, 80.9964599609375, 61.37684631347656, 49.09382629394531, 48.04352951049805, 52.40858459472656, 45.95942306518555, 43.79230499267578, 34.33835220336914, 36.153160095214844, 40.00680160522461, 41.68103790283203, 34.68416976928711, 51.12959671020508, 32.621925354003906, 35.3388671875, 32.6574821472168, 34.269081115722656, 30.466129302978516, 27.84648323059082, 30.58081817626953, 29.010591506958008, 58.650848388671875, 25.755807876586914, 26.708141326904297, 22.861019134521484, 21.296634674072266, 22.243844985961914, 23.008712768554688, 21.90734100341797, 21.59003257751465, 26.891887664794922, 27.109416961669922, 25.990760803222656, 27.659822463989258, 23.033857345581055, 25.847585678100586, 22.905065536499023, 22.599491119384766, 25.02326774597168, 18.8150634765625, 15.642077445983887, 15.297455787658691, 11.605541229248047, 57.097068786621094, 33.817440032958984, 6.966739654541016, 11.916831016540527, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
9,[29],"[1, 9, 16, 10, 14, 3, 2, 12, 40, 0, 13, 49, 18, 6, 42, 44, 32, 21, 17, 11, 7, 24, 15, 22, 54, 43, 19, 37, 31, 20, 23, 50, 51, 55, 30, 35, 27, 28, 26, 45, 53, 39, 34, 8, 52, 33, 38, 56, 41, 46, 36, 4, 57, 5, 58, 59, 25, 47, 48]","[array([62], dtype=int64), array([70], dtype=int64), array([60], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([35], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([33], dtype=int64), array([54], dtype=int64), array([38], dtype=int64), array([63], dtype=int64), array([43], dtype=int64), array([34], dtype=int64), array([37], dtype=int64), array([35], dtype=int64), array([33], dtype=int64), array([58], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([42], dtype=int64), array([32], dtype=int64), array([19], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([30], dtype=int64), array([25], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([40], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([9], dtype=int64), array([21], dtype=int64), array([5], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([0], dtype=int64)]","[82.71427917480469, 66.09636688232422, 68.36767578125, 61.41103744506836, 68.38185119628906, 98.00204467773438, 59.502166748046875, 38.9997673034668, 58.99119567871094, 50.114933013916016, 45.5646858215332, 45.69873046875, 42.286529541015625, 55.41453170776367, 41.33797073364258, 39.9315185546875, 57.20463180541992, 35.813961029052734, 40.24064254760742, 57.33258819580078, 38.04586410522461, 33.86424255371094, 36.62999725341797, 31.51754379272461, 35.318138122558594, 29.875886917114258, 28.58646583557129, 29.776580810546875, 26.404775619506836, 25.830507278442383, 23.274568557739258, 26.481332778930664, 20.946435928344727, 20.579452514648438, 20.450254440307617, 22.039865493774414, 21.56458854675293, 22.03939437866211, 20.341867446899414, 24.487346649169922, 21.741039276123047, 20.268478393554688, 20.598339080810547, 58.67317199707031, 24.453989028930664, 20.532466888427734, 21.958032608032227, 20.25092887878418, 13.560249328613281, 11.321524620056152, 17.125473022460938, 40.91340637207031, 5.80857515335083, 57.67401885986328, 2.0514087677001953, 4.888106822967529, 38.013214111328125, 3.429260492324829, 0.8508192300796509]"
