random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 8, 32, 2, 13, 16, 3, 0, 7, 14, 5, 12, 53, 49, 37, 38, 10, 26, 11, 24, 31, 21, 19, 6, 20, 22, 18, 35, 1, 15, 40, 17, 29, 30, 42, 43, 51, 44, 45, 55, 57, 50, 46, 27, 39, 23, 28, 41, 36, 33, 4, 58, 34, 56, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([78], dtype=int64), array([62], dtype=int64), array([53], dtype=int64), array([65], dtype=int64), array([69], dtype=int64), array([74], dtype=int64), array([81], dtype=int64), array([79], dtype=int64), array([60], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([14], dtype=int64), array([72], dtype=int64), array([45], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([31], dtype=int64), array([67], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([38], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([25], dtype=int64), array([40], dtype=int64), array([13], dtype=int64), array([24], dtype=int64), array([57], dtype=int64), array([33], dtype=int64), array([21], dtype=int64), array([48], dtype=int64), array([8], dtype=int64), array([23], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([19], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([10], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[72.15760803222656, 51.46318054199219, 66.8134765625, 62.89138412475586, 67.20578002929688, 67.27465057373047, 66.22341918945312, 68.835693359375, 63.267852783203125, 70.69548034667969, 60.52296447753906, 64.58283233642578, 65.3153076171875, 56.38926315307617, 61.77975082397461, 60.08072280883789, 79.93656158447266, 46.39242935180664, 72.17469787597656, 39.06133270263672, 45.321800231933594, 43.42257308959961, 36.31278991699219, 74.3769302368164, 32.34107971191406, 35.28758239746094, 36.134864807128906, 29.26569366455078, 67.31906127929688, 60.807186126708984, 32.66111373901367, 29.216169357299805, 30.332929611206055, 26.25482749938965, 28.060972213745117, 38.0389289855957, 25.534290313720703, 46.495975494384766, 38.11106491088867, 28.36321449279785, 27.298933029174805, 28.109176635742188, 35.962833404541016, 24.141143798828125, 24.558305740356445, 23.97576904296875, 20.274381637573242, 26.292333602905273, 23.34286117553711, 14.608025550842285, 46.066062927246094, 19.288219451904297, 18.20819854736328, 11.426044464111328, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
1,[8],"[9, 32, 2, 5, 12, 14, 16, 0, 7, 13, 49, 1, 20, 37, 3, 53, 10, 54, 38, 31, 30, 6, 21, 22, 58, 18, 19, 35, 28, 24, 46, 29, 42, 44, 43, 27, 17, 40, 45, 51, 41, 55, 39, 50, 11, 26, 23, 15, 34, 57, 36, 56, 33, 4, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([70], dtype=int64), array([78], dtype=int64), array([79], dtype=int64), array([60], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([74], dtype=int64), array([62], dtype=int64), array([76], dtype=int64), array([83], dtype=int64), array([28], dtype=int64), array([42], dtype=int64), array([65], dtype=int64), array([21], dtype=int64), array([69], dtype=int64), array([39], dtype=int64), array([15], dtype=int64), array([58], dtype=int64), array([24], dtype=int64), array([67], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([31], dtype=int64), array([38], dtype=int64), array([12], dtype=int64), array([45], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([33], dtype=int64), array([19], dtype=int64), array([40], dtype=int64), array([25], dtype=int64), array([8], dtype=int64), array([21], dtype=int64), array([15], dtype=int64), array([23], dtype=int64), array([18], dtype=int64), array([34], dtype=int64), array([72], dtype=int64), array([14], dtype=int64), array([29], dtype=int64), array([45], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[88.35462188720703, 69.89927673339844, 64.7133560180664, 65.53369903564453, 72.75282287597656, 77.3641586303711, 74.68147277832031, 69.92046356201172, 74.28858184814453, 69.7555160522461, 66.9251480102539, 73.18533325195312, 73.25150299072266, 72.68500518798828, 62.41499710083008, 56.78160858154297, 83.47766876220703, 54.211265563964844, 56.76632308959961, 35.65764617919922, 41.780372619628906, 75.33767700195312, 32.88995361328125, 37.06196975708008, 37.630531311035156, 35.84521484375, 37.060123443603516, 42.76942443847656, 32.407264709472656, 32.25000762939453, 39.07477951049805, 28.463842391967773, 25.932069778442383, 36.26649856567383, 42.34101486206055, 29.14668083190918, 28.139379501342773, 28.803747177124023, 34.5672607421875, 24.98055076599121, 26.485898971557617, 24.18287467956543, 22.519357681274414, 26.074769973754883, 72.09809112548828, 22.222089767456055, 24.115800857543945, 53.29656219482422, 25.038047790527344, 17.06532859802246, 23.406356811523438, 22.957796096801758, 18.388057708740234, 51.958553314208984, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
2,[55],"[9, 8, 32, 13, 2, 5, 12, 0, 16, 7, 1, 3, 19, 14, 53, 49, 37, 38, 10, 30, 31, 6, 54, 35, 46, 58, 22, 21, 24, 18, 20, 28, 42, 43, 44, 45, 29, 17, 40, 11, 41, 23, 26, 39, 36, 27, 15, 51, 50, 33, 4, 34, 57, 56, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([79], dtype=int64), array([60], dtype=int64), array([69], dtype=int64), array([53], dtype=int64), array([74], dtype=int64), array([83], dtype=int64), array([65], dtype=int64), array([31], dtype=int64), array([81], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([24], dtype=int64), array([58], dtype=int64), array([67], dtype=int64), array([39], dtype=int64), array([38], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([57], dtype=int64), array([33], dtype=int64), array([48], dtype=int64), array([8], dtype=int64), array([13], dtype=int64), array([40], dtype=int64), array([25], dtype=int64), array([72], dtype=int64), array([15], dtype=int64), array([29], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([10], dtype=int64), array([19], dtype=int64), array([45], dtype=int64), array([21], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[69.18468475341797, 49.664302825927734, 69.00534057617188, 61.55992889404297, 61.21531295776367, 67.87418365478516, 71.05333709716797, 64.53659057617188, 68.09842681884766, 69.35411071777344, 73.19873046875, 66.82035827636719, 67.84720611572266, 65.44319915771484, 62.12262725830078, 56.830406188964844, 59.64839553833008, 57.36066818237305, 78.56534576416016, 42.62934112548828, 42.55687713623047, 77.17378997802734, 36.7918586730957, 41.378299713134766, 35.37596130371094, 35.08110427856445, 34.8019905090332, 36.002906799316406, 34.61219787597656, 36.76251983642578, 37.71613693237305, 32.828861236572266, 33.70368194580078, 37.34280014038086, 46.966148376464844, 29.754070281982422, 43.744468688964844, 34.69261932373047, 29.170307159423828, 80.49898529052734, 23.59154510498047, 24.536928176879883, 24.62517547607422, 23.313678741455078, 22.191564559936523, 23.798067092895508, 41.699283599853516, 23.416950225830078, 17.22551155090332, 21.66097640991211, 41.9068717956543, 13.521005630493164, 13.067145347595215, 11.426044464111328, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
3,[15],"[9, 8, 32, 2, 5, 12, 0, 3, 7, 16, 53, 1, 14, 49, 35, 37, 21, 13, 54, 10, 30, 38, 24, 22, 19, 31, 18, 6, 20, 58, 28, 46, 42, 44, 40, 43, 29, 17, 45, 51, 55, 11, 50, 57, 23, 41, 27, 26, 39, 34, 36, 56, 33, 4, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([78], dtype=int64), array([79], dtype=int64), array([60], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([74], dtype=int64), array([53], dtype=int64), array([21], dtype=int64), array([83], dtype=int64), array([81], dtype=int64), array([76], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([40], dtype=int64), array([62], dtype=int64), array([39], dtype=int64), array([69], dtype=int64), array([24], dtype=int64), array([15], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([31], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([67], dtype=int64), array([28], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([25], dtype=int64), array([33], dtype=int64), array([13], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([21], dtype=int64), array([23], dtype=int64), array([72], dtype=int64), array([34], dtype=int64), array([2], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[69.88789367675781, 55.724021911621094, 66.8122787475586, 65.51609802246094, 65.417236328125, 72.48784637451172, 68.08651733398438, 68.24683380126953, 71.65496826171875, 69.048828125, 68.11239624023438, 72.03205108642578, 58.768882751464844, 64.73585510253906, 64.4870376586914, 66.91671752929688, 53.546627044677734, 61.749088287353516, 47.21364974975586, 75.93009948730469, 42.02713394165039, 59.76306915283203, 41.34149932861328, 38.375526428222656, 40.81296920776367, 43.270362854003906, 37.46126174926758, 74.53581237792969, 37.36519241333008, 33.750755310058594, 26.495155334472656, 28.9148006439209, 28.99601936340332, 43.10135269165039, 34.11123275756836, 35.40326690673828, 29.125093460083008, 29.412336349487305, 31.40334701538086, 22.254396438598633, 26.00760841369629, 75.28837585449219, 25.73140525817871, 26.50717544555664, 22.77328109741211, 23.847293853759766, 20.860300064086914, 22.2978572845459, 23.934743881225586, 15.952474594116211, 23.406356811523438, 22.957796096801758, 18.388057708740234, 51.958553314208984, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
4,[15],"[9, 8, 32, 2, 5, 12, 0, 3, 7, 16, 53, 1, 14, 49, 35, 37, 21, 13, 54, 10, 30, 38, 24, 22, 19, 31, 18, 6, 20, 58, 28, 46, 42, 44, 40, 43, 29, 17, 45, 51, 55, 11, 50, 57, 23, 41, 27, 26, 39, 34, 36, 56, 33, 4, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([78], dtype=int64), array([79], dtype=int64), array([60], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([74], dtype=int64), array([53], dtype=int64), array([21], dtype=int64), array([83], dtype=int64), array([81], dtype=int64), array([76], dtype=int64), array([38], dtype=int64), array([42], dtype=int64), array([40], dtype=int64), array([62], dtype=int64), array([39], dtype=int64), array([69], dtype=int64), array([24], dtype=int64), array([15], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([31], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([67], dtype=int64), array([28], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([25], dtype=int64), array([33], dtype=int64), array([13], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([21], dtype=int64), array([23], dtype=int64), array([72], dtype=int64), array([34], dtype=int64), array([2], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[69.88789367675781, 55.724021911621094, 66.8122787475586, 65.51609802246094, 65.417236328125, 72.48784637451172, 68.08651733398438, 68.24683380126953, 71.65496826171875, 69.048828125, 68.11239624023438, 72.03205108642578, 58.768882751464844, 64.73585510253906, 64.4870376586914, 66.91671752929688, 53.546627044677734, 61.749088287353516, 47.21364974975586, 75.93009948730469, 42.02713394165039, 59.76306915283203, 41.34149932861328, 38.375526428222656, 40.81296920776367, 43.270362854003906, 37.46126174926758, 74.53581237792969, 37.36519241333008, 33.750755310058594, 26.495155334472656, 28.9148006439209, 28.99601936340332, 43.10135269165039, 34.11123275756836, 35.40326690673828, 29.125093460083008, 29.412336349487305, 31.40334701538086, 22.254396438598633, 26.00760841369629, 75.28837585449219, 25.73140525817871, 26.50717544555664, 22.77328109741211, 23.847293853759766, 20.860300064086914, 22.2978572845459, 23.934743881225586, 15.952474594116211, 23.406356811523438, 22.957796096801758, 18.388057708740234, 51.958553314208984, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
5,[39],"[9, 0, 11, 8, 32, 14, 49, 3, 16, 13, 2, 7, 37, 38, 12, 10, 30, 31, 21, 6, 53, 19, 54, 1, 20, 22, 18, 24, 29, 17, 15, 28, 35, 42, 44, 40, 43, 58, 45, 55, 23, 26, 50, 46, 41, 27, 51, 33, 4, 5, 57, 36, 34, 56, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([72], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([81], dtype=int64), array([76], dtype=int64), array([65], dtype=int64), array([53], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([74], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([60], dtype=int64), array([69], dtype=int64), array([24], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([67], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([39], dtype=int64), array([83], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([13], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([12], dtype=int64), array([38], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([25], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([23], dtype=int64), array([29], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([21], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[62.32881164550781, 47.75444793701172, 65.90723419189453, 57.68437576293945, 60.13436508178711, 65.97538757324219, 62.91038131713867, 62.86640548706055, 62.446678161621094, 62.74858474731445, 56.3685302734375, 66.63773345947266, 61.78153610229492, 52.30131530761719, 53.076175689697266, 72.04059600830078, 51.01679229736328, 40.24414825439453, 45.787330627441406, 74.00910186767578, 45.247772216796875, 39.82537078857422, 47.25222396850586, 67.8924789428711, 34.72835159301758, 37.75875473022461, 39.36293029785156, 32.97211456298828, 34.711544036865234, 32.2010612487793, 49.2169075012207, 28.294677734375, 25.24455451965332, 35.2603759765625, 47.2242546081543, 27.973264694213867, 41.89906311035156, 40.7203369140625, 29.89311981201172, 24.630640029907227, 24.28911018371582, 25.504213333129883, 26.24017906188965, 21.61244010925293, 26.8023738861084, 20.490541458129883, 20.472658157348633, 21.6185245513916, 35.74903869628906, 53.7608642578125, 14.225398063659668, 19.610666275024414, 18.20819854736328, 11.426044464111328, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
6,[50],"[9, 11, 8, 32, 0, 2, 13, 14, 3, 15, 12, 16, 5, 53, 38, 10, 49, 54, 30, 22, 6, 31, 21, 18, 42, 44, 43, 19, 17, 45, 29, 24, 20, 55, 1, 46, 57, 40, 35, 27, 41, 37, 23, 28, 7, 51, 26, 58, 39, 34, 4, 33, 36, 56, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([72], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([78], dtype=int64), array([62], dtype=int64), array([81], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([60], dtype=int64), array([53], dtype=int64), array([79], dtype=int64), array([21], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([76], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([40], dtype=int64), array([67], dtype=int64), array([58], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([33], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([13], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([23], dtype=int64), array([83], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([25], dtype=int64), array([38], dtype=int64), array([19], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([29], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[78.35504150390625, 59.38865661621094, 58.62877655029297, 67.73590850830078, 69.4025650024414, 62.965492248535156, 62.86494827270508, 67.64118194580078, 61.293724060058594, 62.11626434326172, 58.930545806884766, 66.72225189208984, 56.24769973754883, 62.677249908447266, 61.32223129272461, 73.94432067871094, 49.80487823486328, 40.90353775024414, 37.44900894165039, 40.37202072143555, 77.8318862915039, 40.06459045410156, 33.43433380126953, 36.01801681518555, 29.851600646972656, 41.48845672607422, 38.60405349731445, 34.93231201171875, 35.00296401977539, 34.387977600097656, 35.24786376953125, 31.128870010375977, 30.454742431640625, 28.011783599853516, 67.11324310302734, 28.020265579223633, 27.081884384155273, 29.799278259277344, 29.105154037475586, 25.15977668762207, 27.262327194213867, 25.879056930541992, 25.23028564453125, 23.592918395996094, 60.172489166259766, 23.357219696044922, 23.061702728271484, 23.001399993896484, 23.934743881225586, 15.952474594116211, 38.523216247558594, 13.9150390625, 14.889130592346191, 11.426044464111328, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
7,[20],"[9, 11, 8, 0, 1, 32, 14, 3, 13, 12, 16, 2, 4, 53, 49, 37, 54, 38, 10, 31, 27, 6, 21, 22, 18, 19, 7, 24, 29, 17, 23, 35, 40, 30, 50, 46, 58, 42, 44, 56, 43, 26, 51, 41, 45, 55, 39, 28, 33, 15, 5, 34, 57, 36, 52, 59, 25, 47, 48]","[array([63], dtype=int64), array([72], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([81], dtype=int64), array([65], dtype=int64), array([62], dtype=int64), array([60], dtype=int64), array([53], dtype=int64), array([78], dtype=int64), array([52], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([42], dtype=int64), array([39], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([58], dtype=int64), array([19], dtype=int64), array([67], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([31], dtype=int64), array([74], dtype=int64), array([45], dtype=int64), array([13], dtype=int64), array([40], dtype=int64), array([29], dtype=int64), array([38], dtype=int64), array([25], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([15], dtype=int64), array([8], dtype=int64), array([23], dtype=int64), array([18], dtype=int64), array([12], dtype=int64), array([6], dtype=int64), array([45], dtype=int64), array([79], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[57.90493392944336, 58.51122283935547, 49.33641052246094, 59.97551727294922, 57.1285514831543, 65.66168212890625, 66.35840606689453, 62.429481506347656, 60.92088317871094, 52.544830322265625, 52.28819274902344, 60.2952766418457, 44.7218017578125, 48.673072814941406, 55.71600341796875, 68.97953796386719, 55.53080749511719, 56.16500473022461, 78.80662536621094, 39.66845703125, 41.049686431884766, 71.88075256347656, 32.86704635620117, 35.38613510131836, 36.505958557128906, 30.947521209716797, 65.697998046875, 29.679340362548828, 32.083065032958984, 26.403661727905273, 29.720821380615234, 32.30386734008789, 33.168766021728516, 25.33317756652832, 34.69342803955078, 30.31017303466797, 37.15455627441406, 29.929431915283203, 46.38319396972656, 23.651782989501953, 33.05360412597656, 26.261672973632812, 23.402122497558594, 25.635570526123047, 23.526430130004883, 21.088638305664062, 24.745548248291016, 21.104402542114258, 18.245338439941406, 50.581504821777344, 61.34892272949219, 22.489408493041992, 13.665250778198242, 14.574633598327637, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
8,[14],"[6, 8, 32, 2, 11, 3, 13, 16, 0, 7, 12, 26, 53, 49, 37, 38, 10, 54, 31, 1, 22, 21, 9, 19, 24, 18, 29, 20, 46, 15, 17, 35, 40, 42, 44, 43, 45, 30, 57, 27, 23, 41, 55, 51, 39, 4, 28, 58, 33, 36, 50, 34, 5, 56, 52, 59, 25, 47, 48]","[array([67], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([78], dtype=int64), array([72], dtype=int64), array([65], dtype=int64), array([62], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([74], dtype=int64), array([60], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([76], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([39], dtype=int64), array([58], dtype=int64), array([83], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([45], dtype=int64), array([47], dtype=int64), array([13], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([38], dtype=int64), array([25], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([33], dtype=int64), array([8], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([23], dtype=int64), array([21], dtype=int64), array([18], dtype=int64), array([52], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([34], dtype=int64), array([11], dtype=int64), array([79], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[82.89432525634766, 66.0958251953125, 67.87188720703125, 63.16209030151367, 72.94001007080078, 69.88764953613281, 65.45956420898438, 64.36434173583984, 63.72004318237305, 68.32868957519531, 54.20026397705078, 60.620330810546875, 48.93852233886719, 51.38853454589844, 64.72834777832031, 60.41753005981445, 73.40696716308594, 53.442138671875, 43.731475830078125, 73.87342071533203, 41.18864822387695, 37.754798889160156, 73.24722290039062, 39.59249496459961, 34.55485916137695, 36.38290786743164, 33.831077575683594, 38.65275955200195, 28.522924423217773, 38.749446868896484, 31.209550857543945, 28.00758171081543, 26.063480377197266, 28.462642669677734, 36.73782730102539, 41.529544830322266, 32.20302963256836, 28.10685157775879, 27.023788452148438, 26.05165672302246, 27.861316680908203, 27.297483444213867, 26.389211654663086, 25.6197452545166, 20.629905700683594, 33.305118560791016, 18.82840347290039, 19.283971786499023, 17.373228073120117, 16.95110511779785, 20.27253532409668, 12.811902046203613, 54.09701156616211, 11.426044464111328, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
9,[29],"[6, 8, 0, 1, 32, 14, 3, 13, 2, 7, 12, 53, 16, 49, 30, 37, 38, 10, 31, 54, 21, 19, 9, 11, 22, 18, 24, 20, 26, 50, 42, 44, 43, 55, 45, 17, 15, 35, 57, 40, 23, 46, 41, 28, 39, 51, 58, 27, 36, 34, 4, 33, 5, 56, 52, 59, 25, 47, 48]","[array([67], dtype=int64), array([78], dtype=int64), array([69], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([81], dtype=int64), array([65], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([74], dtype=int64), array([60], dtype=int64), array([21], dtype=int64), array([53], dtype=int64), array([76], dtype=int64), array([24], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([58], dtype=int64), array([39], dtype=int64), array([40], dtype=int64), array([31], dtype=int64), array([63], dtype=int64), array([72], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([45], dtype=int64), array([28], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([33], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([38], dtype=int64), array([2], dtype=int64), array([25], dtype=int64), array([29], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([18], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([52], dtype=int64), array([6], dtype=int64), array([79], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[55.64091491699219, 52.28694152832031, 53.65092468261719, 64.85977935791016, 67.84566497802734, 72.48648071289062, 61.861595153808594, 61.023353576660156, 59.43319320678711, 70.64856719970703, 60.62538146972656, 48.41217041015625, 64.01223754882812, 61.42670822143555, 62.94786071777344, 63.43265151977539, 56.756103515625, 72.46436309814453, 40.38005447387695, 51.92033004760742, 40.60297775268555, 39.18142318725586, 71.79035186767578, 66.93920135498047, 36.525543212890625, 38.052940368652344, 31.685962677001953, 33.67694091796875, 28.981645584106445, 32.65961837768555, 38.611026763916016, 46.64767837524414, 41.0189094543457, 37.53126907348633, 40.002716064453125, 39.43047332763672, 56.12326431274414, 33.270816802978516, 31.807565689086914, 36.58539581298828, 26.269861221313477, 29.600292205810547, 27.7957820892334, 23.67475128173828, 22.48223304748535, 23.45316505432129, 22.349544525146484, 19.827116012573242, 16.203638076782227, 14.712401390075684, 34.032493591308594, 18.282289505004883, 54.09701156616211, 11.426044464111328, 1.3755513429641724, 24.82684326171875, 40.94043731689453, 14.866286277770996, 17.515832901000977]"
