random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[14, 29, 35, 53, 26, 39, 37, 38, 42, 41, 20, 30, 34, 3, 40, 9, 6, 23, 21, 19, 7, 18, 33, 10, 27, 24, 11, 51, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 8, 16, 49, 57, 36, 58, 1, 4, 2, 32, 50, 13, 31, 5, 15, 46, 55, 59, 25, 47, 48]","[array([57], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([20], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([57], dtype=int64), array([47], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[82.87494659423828, 70.9976577758789, 82.9964828491211, 70.99879455566406, 62.99853515625, 61.99910354614258, 63.003780364990234, 76.99393463134766, 57.992061614990234, 53.995513916015625, 52.99556350708008, 52.99127960205078, 54.00022888183594, 50.997459411621094, 50.001922607421875, 47.9996223449707, 55.007232666015625, 41.994693756103516, 40.99921798706055, 40.978580474853516, 48.003944396972656, 38.99235916137695, 37.98466110229492, 36.993690490722656, 36.98087692260742, 34.9996223449707, 34.991397857666016, 33.984336853027344, 32.0133056640625, 31.99311637878418, 29.994264602661133, 28.999021530151367, 28.00482749938965, 25.979642868041992, 23.998340606689453, 19.995332717895508, 19.987607955932617, 14.009722709655762, 67.96929168701172, 7.005274295806885, 6.011993885040283, 2.0243654251098633, 38.986244201660156, 0.9873101711273193, 0.03364960849285126, 0.03038911521434784, 0.04545411467552185, 0.07933861017227173, 0.032687731087207794, 0.06041045859456062, 0.08050065487623215, 0.023618634790182114, 0.06199990212917328, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
1,[8],"[42, 51, 35, 40, 37, 41, 16, 29, 26, 53, 39, 54, 30, 20, 38, 3, 9, 34, 23, 21, 19, 6, 18, 33, 10, 27, 11, 24, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 14, 7, 49, 57, 36, 58, 1, 4, 2, 32, 50, 13, 31, 5, 15, 46, 55, 59, 25, 47, 48]","[array([36], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([6], dtype=int64), array([51], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([10], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([11], dtype=int64), array([25], dtype=int64), array([57], dtype=int64), array([1], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([47], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([26], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([22], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[60.449615478515625, 76.998779296875, 94.00224304199219, 58.99303436279297, 90.99826049804688, 90.98786926269531, 91.0003662109375, 71.00178527832031, 62.99790573120117, 70.99710083007812, 61.99998474121094, 59.99889373779297, 52.99885940551758, 52.988739013671875, 76.98389434814453, 50.9890251159668, 47.99592590332031, 54.004005432128906, 41.984779357910156, 41.001502990722656, 40.96492004394531, 55.008506774902344, 39.00225067138672, 37.991783142089844, 36.992801666259766, 36.9880256652832, 35.00217819213867, 34.98623275756836, 32.011898040771484, 31.99003791809082, 29.993877410888672, 28.99164581298828, 28.000818252563477, 25.982107162475586, 23.997406005859375, 19.993999481201172, 19.9919490814209, 14.000479698181152, 12.999768257141113, 47.983516693115234, 6.011993885040283, 2.0243654251098633, 38.986244201660156, 0.9873101711273193, 0.03364960849285126, 0.03038911521434784, 0.04545411467552185, 0.07933861017227173, 0.032687731087207794, 0.06041045859456062, 0.08050065487623215, 0.023618634790182114, 0.06199990212917328, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
2,[55],"[14, 11, 9, 10, 12, 0, 49, 32, 30, 29, 35, 53, 26, 39, 54, 37, 38, 42, 41, 20, 34, 3, 40, 6, 23, 21, 19, 7, 18, 33, 27, 24, 51, 44, 22, 28, 45, 52, 43, 56, 17, 8, 16, 36, 57, 58, 1, 13, 2, 31, 4, 15, 5, 46, 50, 59, 25, 47, 48]","[array([57], dtype=int64), array([24], dtype=int64), array([57], dtype=int64), array([47], dtype=int64), array([33], dtype=int64), array([50], dtype=int64), array([53], dtype=int64), array([59], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([20], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([47], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([29], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([46], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([31], dtype=int64), array([37], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[85.4472885131836, 66.24175262451172, 29.008480072021484, 78.98805236816406, 39.00164794921875, 80.9844970703125, 15.000619888305664, 15.00179672241211, 13.00024700164795, 70.99898529052734, 82.96887969970703, 70.99687957763672, 62.998756408691406, 62.001670837402344, 60.00206756591797, 63.00475311279297, 76.97866821289062, 57.98552322387695, 53.99000549316406, 52.98671340942383, 53.9974479675293, 50.994102478027344, 49.98735046386719, 55.00530242919922, 41.99530029296875, 40.99996566772461, 40.9985466003418, 48.0037841796875, 38.99911880493164, 37.98807144165039, 36.97247314453125, 34.9982795715332, 33.97816848754883, 32.01712417602539, 31.987804412841797, 29.986989974975586, 29.00016212463379, 27.998403549194336, 25.98805809020996, 23.993640899658203, 14.004023551940918, 67.96833038330078, 7.000373363494873, 39.002525329589844, 1.9881646633148193, 0.9933319091796875, 0.0869033932685852, 0.02655600942671299, 0.05210399255156517, 0.0687892735004425, 0.040369533002376556, 0.08407829701900482, 0.03576405718922615, 0.020552614703774452, 0.026807362213730812, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
3,[15],"[1, 10, 29, 35, 53, 26, 39, 54, 37, 38, 41, 42, 20, 30, 34, 3, 40, 6, 9, 23, 21, 19, 7, 18, 33, 27, 24, 11, 51, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 14, 8, 16, 49, 57, 36, 58, 32, 13, 2, 31, 50, 4, 5, 46, 55, 59, 25, 47, 48]","[array([54], dtype=int64), array([47], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([36], dtype=int64), array([20], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([47], dtype=int64), array([57], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([46], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([31], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.52014923095703, 59.1769905090332, 70.99788665771484, 82.98558807373047, 70.99657440185547, 63.00056457519531, 62.00114822387695, 60.00312423706055, 63.002010345458984, 76.97772216796875, 54.00039291381836, 57.989227294921875, 52.993408203125, 52.99187469482422, 54.00124740600586, 50.99984359741211, 49.99724578857422, 55.00200271606445, 47.995540618896484, 41.989967346191406, 40.99894714355469, 40.99205017089844, 48.00327682495117, 38.99580764770508, 37.99699783325195, 36.98672866821289, 35.00082015991211, 35.00016403198242, 33.98972702026367, 32.008663177490234, 31.997116088867188, 29.990612030029297, 29.00356101989746, 27.9984130859375, 25.982521057128906, 23.997943878173828, 19.99659538269043, 19.994125366210938, 14.002368927001953, 12.995380401611328, 67.9673080444336, 7.006775379180908, 6.033364295959473, 2.0052003860473633, 39.01616287231445, 1.0097163915634155, 0.035012826323509216, 0.036264289170503616, 0.12916891276836395, 0.03586132451891899, 0.012709412723779678, 0.010823852382600307, 0.02664845809340477, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
4,[15],"[1, 10, 29, 35, 53, 26, 39, 54, 37, 38, 41, 42, 20, 30, 34, 3, 40, 6, 9, 23, 21, 19, 7, 18, 33, 27, 24, 11, 51, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 14, 8, 16, 49, 57, 36, 58, 32, 13, 2, 31, 50, 4, 5, 46, 55, 59, 25, 47, 48]","[array([54], dtype=int64), array([47], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([36], dtype=int64), array([20], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([47], dtype=int64), array([57], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([46], dtype=int64), array([48], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([31], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.52014923095703, 59.1769905090332, 70.99788665771484, 82.98558807373047, 70.99657440185547, 63.00056457519531, 62.00114822387695, 60.00312423706055, 63.002010345458984, 76.97772216796875, 54.00039291381836, 57.989227294921875, 52.993408203125, 52.99187469482422, 54.00124740600586, 50.99984359741211, 49.99724578857422, 55.00200271606445, 47.995540618896484, 41.989967346191406, 40.99894714355469, 40.99205017089844, 48.00327682495117, 38.99580764770508, 37.99699783325195, 36.98672866821289, 35.00082015991211, 35.00016403198242, 33.98972702026367, 32.008663177490234, 31.997116088867188, 29.990612030029297, 29.00356101989746, 27.9984130859375, 25.982521057128906, 23.997943878173828, 19.99659538269043, 19.994125366210938, 14.002368927001953, 12.995380401611328, 67.9673080444336, 7.006775379180908, 6.033364295959473, 2.0052003860473633, 39.01616287231445, 1.0097163915634155, 0.035012826323509216, 0.036264289170503616, 0.12916891276836395, 0.03586132451891899, 0.012709412723779678, 0.010823852382600307, 0.02664845809340477, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
5,[39],"[1, 29, 35, 9, 53, 26, 54, 37, 38, 34, 41, 30, 20, 42, 3, 40, 6, 23, 21, 19, 7, 18, 33, 10, 27, 24, 11, 51, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 14, 8, 16, 49, 36, 57, 58, 4, 2, 32, 50, 13, 31, 5, 15, 46, 55, 59, 25, 47, 48]","[array([54], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([57], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([47], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[84.11082458496094, 91.00144958496094, 82.9923324584961, 92.00676727294922, 70.99774169921875, 63.000606536865234, 60.000633239746094, 63.004146575927734, 76.9851303100586, 53.99836730957031, 53.998291015625, 52.998313903808594, 52.96942901611328, 57.98503875732422, 50.999568939208984, 49.97848892211914, 55.00164031982422, 41.99440002441406, 40.999839782714844, 40.99294662475586, 48.010475158691406, 38.99781036376953, 37.9934196472168, 36.99613571166992, 36.985595703125, 35.00486373901367, 34.993133544921875, 33.9901123046875, 32.011131286621094, 32.00212097167969, 29.99240493774414, 28.998620986938477, 27.999557495117188, 25.985515594482422, 23.98917579650879, 20.002639770507812, 19.98881721496582, 14.001041412353516, 12.995488166809082, 67.96744537353516, 7.006523609161377, 6.0223846435546875, 39.01130676269531, 1.9969875812530518, 1.0171563625335693, 0.03038911521434784, 0.04545411467552185, 0.07933861017227173, 0.032687731087207794, 0.06041045859456062, 0.08050065487623215, 0.023618634790182114, 0.06199990212917328, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
6,[50],"[1, 51, 29, 35, 26, 37, 39, 54, 38, 42, 41, 6, 30, 20, 8, 9, 47, 40, 7, 23, 19, 21, 48, 18, 33, 10, 27, 24, 11, 44, 22, 28, 45, 52, 43, 56, 34, 0, 17, 14, 12, 16, 49, 57, 3, 58, 53, 4, 15, 13, 31, 46, 2, 55, 32, 5, 36, 59, 25]","[array([54], dtype=int64), array([9], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([13], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([40], dtype=int64), array([57], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([22], dtype=int64), array([21], dtype=int64), array([30], dtype=int64), array([31], dtype=int64), array([8], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([50], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([33], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([31], dtype=int64), array([37], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([8], dtype=int64), array([48], dtype=int64), array([11], dtype=int64), array([59], dtype=int64), array([52], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64)]","[84.72147369384766, 76.99552917480469, 70.99491119384766, 82.99038696289062, 63.001041412353516, 63.00151824951172, 61.99688720703125, 60.002830505371094, 76.98645782470703, 57.98334503173828, 54.00297546386719, 54.99951934814453, 52.999168395996094, 52.989688873291016, 67.99610137939453, 89.9961929321289, 51.00170135498047, 49.9822998046875, 47.98678970336914, 41.979827880859375, 41.000205993652344, 40.98685073852539, 73.99913024902344, 38.995521545410156, 38.00059127807617, 36.99951934814453, 36.98419189453125, 34.98374557495117, 34.9752197265625, 32.02304458618164, 32.007850646972656, 30.016448974609375, 28.988309860229492, 28.009443283081055, 25.98271369934082, 23.998458862304688, 53.99959182739258, 19.99373435974121, 14.002042770385742, 12.996410369873047, 19.99691390991211, 7.000485420227051, 6.011113166809082, 2.000818967819214, 51.00479507446289, 1.0080960988998413, 70.91265106201172, 0.010819022543728352, 0.004794236272573471, 0.0026258332654833794, 0.007020265329629183, 0.003807862289249897, 0.058049704879522324, -0.0005233666161075234, 0.10059524327516556, 0.033423759043216705, 38.97581100463867, 2.002284288406372, 8.000001907348633]"
7,[20],"[1, 29, 35, 53, 26, 39, 54, 37, 38, 42, 41, 30, 34, 3, 40, 6, 9, 23, 21, 19, 7, 18, 33, 10, 27, 24, 11, 51, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 14, 8, 16, 49, 36, 57, 58, 4, 2, 32, 50, 13, 31, 5, 15, 46, 55, 59, 25, 47, 48]","[array([54], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([47], dtype=int64), array([57], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[83.7094955444336, 70.99739837646484, 82.99822998046875, 70.99900817871094, 62.99871826171875, 61.996456146240234, 60.00056457519531, 63.0011100769043, 76.97660064697266, 57.98970031738281, 54.000247955322266, 52.986507415771484, 53.99843215942383, 50.9957389831543, 49.99025344848633, 55.001251220703125, 47.99790573120117, 41.99440002441406, 40.999839782714844, 40.99294662475586, 48.010475158691406, 38.99781036376953, 37.9934196472168, 36.99613571166992, 36.985595703125, 35.00486373901367, 34.993133544921875, 33.9901123046875, 32.011131286621094, 32.00212097167969, 29.99240493774414, 28.998620986938477, 27.999557495117188, 25.985515594482422, 23.98917579650879, 20.002639770507812, 19.98881721496582, 14.001041412353516, 12.995488166809082, 67.96744537353516, 7.006523609161377, 6.0223846435546875, 39.01130676269531, 1.9969875812530518, 1.0171563625335693, 0.03038911521434784, 0.04545411467552185, 0.07933861017227173, 0.032687731087207794, 0.06041045859456062, 0.08050065487623215, 0.023618634790182114, 0.06199990212917328, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
8,[14],"[5, 10, 37, 29, 35, 26, 53, 39, 54, 38, 42, 41, 30, 20, 34, 3, 40, 9, 6, 23, 21, 19, 7, 18, 33, 27, 11, 24, 51, 44, 22, 28, 45, 52, 43, 56, 12, 0, 17, 8, 16, 49, 57, 36, 58, 1, 2, 32, 13, 15, 31, 4, 50, 46, 55, 59, 25, 47, 48]","[array([52], dtype=int64), array([47], dtype=int64), array([13], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([10], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([57], dtype=int64), array([47], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([26], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([33], dtype=int64), array([50], dtype=int64), array([29], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([46], dtype=int64), array([37], dtype=int64), array([6], dtype=int64), array([31], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[68.22972106933594, 98.995849609375, 76.00152587890625, 70.99874877929688, 82.98589324951172, 63.00020980834961, 70.99957275390625, 61.99934005737305, 60.00068283081055, 76.98011779785156, 57.9933967590332, 53.98905563354492, 52.99860382080078, 52.99065017700195, 54.00166320800781, 50.99543380737305, 49.999595642089844, 48.00098419189453, 54.99350357055664, 41.995174407958984, 40.99895095825195, 40.991397857666016, 48.00243377685547, 38.997161865234375, 37.98286437988281, 36.98622512817383, 35.005088806152344, 34.99757766723633, 33.98854446411133, 32.00410461425781, 31.997188568115234, 29.968307495117188, 29.000978469848633, 27.998781204223633, 25.995227813720703, 23.998376846313477, 19.990808486938477, 19.990848541259766, 13.998651504516602, 67.9694595336914, 7.0037641525268555, 6.004861831665039, 2.0251095294952393, 39.00687026977539, 0.9987837076187134, 0.043870970606803894, 0.03814448043704033, 0.13835637271404266, 0.034590691328048706, 0.06531859934329987, 0.03848014771938324, 0.03219780698418617, 0.027276935055851936, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
9,[29],"[1, 9, 35, 53, 26, 39, 54, 37, 38, 34, 41, 30, 20, 42, 3, 40, 6, 23, 21, 19, 7, 18, 33, 10, 27, 24, 11, 51, 44, 22, 28, 45, 52, 43, 56, 0, 12, 17, 14, 8, 16, 49, 36, 57, 58, 4, 2, 32, 50, 13, 31, 5, 15, 46, 55, 59, 25, 47, 48]","[array([54], dtype=int64), array([57], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([14], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([47], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([30], dtype=int64), array([22], dtype=int64), array([41], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([50], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([57], dtype=int64), array([40], dtype=int64), array([51], dtype=int64), array([53], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([48], dtype=int64), array([59], dtype=int64), array([10], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([8], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([37], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[83.0017318725586, 92.00193786621094, 82.99695587158203, 70.9986343383789, 63.000572204589844, 61.99967956542969, 60.000633239746094, 63.004146575927734, 76.9851303100586, 53.99836730957031, 53.998291015625, 52.998313903808594, 52.96942901611328, 57.98503875732422, 50.999568939208984, 49.97848892211914, 55.00164031982422, 41.99440002441406, 40.999839782714844, 40.99294662475586, 48.010475158691406, 38.99781036376953, 37.9934196472168, 36.99613571166992, 36.985595703125, 35.00486373901367, 34.993133544921875, 33.9901123046875, 32.011131286621094, 32.00212097167969, 29.99240493774414, 28.998620986938477, 27.999557495117188, 25.985515594482422, 23.98917579650879, 20.002639770507812, 19.98881721496582, 14.001041412353516, 12.995488166809082, 67.96744537353516, 7.006523609161377, 6.0223846435546875, 39.01130676269531, 1.9969875812530518, 1.0171563625335693, 0.03038911521434784, 0.04545411467552185, 0.07933861017227173, 0.032687731087207794, 0.06041045859456062, 0.08050065487623215, 0.023618634790182114, 0.06199990212917328, 0.012347681447863579, -0.0008396061602979898, 2.0072011947631836, 8.006562232971191, 51.13665771484375, 73.06217956542969]"
