random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[42, 29, 3, 17, 14, 35, 12, 13, 20, 9, 10, 0, 11, 49, 1, 30, 28, 2, 38, 50, 26, 27, 55, 37, 6, 41, 22, 53, 24, 21, 51, 18, 19, 33, 31, 7, 34, 39, 23, 43, 32, 40, 58, 15, 16, 52, 56, 44, 45, 8, 4, 46, 57, 36, 5, 59, 25, 47, 48]","[array([2], dtype=int64), array([5], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([45], dtype=int64), array([96], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([32], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[93.17361450195312, 91.0014877319336, 74.00132751464844, 69.98468017578125, 75.9836654663086, 82.99835205078125, 50.00001907348633, 51.998023986816406, 47.98748016357422, 43.99992752075195, 78.9963150024414, 80.99574279785156, 94.9922866821289, 15.003668785095215, 94.98485565185547, 12.995285034179688, 6.996351718902588, 5.997308254241943, 4.971609592437744, 3.9994006156921387, 3.997424364089966, 2.038398265838623, 2.0085561275482178, 0.022273868322372437, 0.044175442308187485, 90.99330139160156, 90.00366973876953, 93.98799133300781, 89.03060913085938, 87.99321746826172, 87.99498748779297, 86.97992706298828, 86.04259490966797, 93.99127960205078, 81.95191192626953, 89.98712921142578, 68.00885772705078, 67.99310302734375, 61.94446563720703, 53.972862243652344, 92.00357818603516, 42.87614059448242, 36.986385345458984, 36.942996978759766, 32.01432800292969, 31.005128860473633, 25.986190795898438, 20.995229721069336, 13.97918701171875, 93.89109802246094, 12.04835033416748, 3.9995830059051514, 2.0374155044555664, 49.99671173095703, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
1,[8],"[1, 29, 40, 9, 16, 3, 17, 37, 26, 10, 49, 35, 14, 12, 30, 0, 11, 28, 2, 13, 38, 50, 27, 55, 6, 53, 22, 24, 51, 21, 18, 19, 20, 31, 39, 54, 33, 34, 23, 43, 41, 7, 42, 58, 32, 52, 56, 44, 45, 15, 4, 46, 57, 36, 5, 59, 25, 47, 48]","[array([45], dtype=int64), array([5], dtype=int64), array([53], dtype=int64), array([97], dtype=int64), array([13], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([90], dtype=int64), array([9], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([7], dtype=int64), array([4], dtype=int64), array([63], dtype=int64), array([96], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([54], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([59], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([32], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[97.57504272460938, 91.00003814697266, 59.00244903564453, 74.12348937988281, 76.95455169677734, 73.99919891357422, 69.99629211425781, 75.9962158203125, 62.99769592285156, 78.00163269042969, 79.00045776367188, 61.99641036987305, 86.9867935180664, 74.98546600341797, 57.99571228027344, 80.97772979736328, 94.97301483154297, 6.9951677322387695, 6.001401424407959, 5.005643367767334, 5.011295318603516, 3.998490810394287, 2.034515142440796, 1.993416428565979, 0.06849801540374756, 70.984130859375, 90.00154876708984, 88.99798583984375, 87.98755645751953, 87.97966766357422, 86.99454498291016, 86.03842163085938, 92.0369644165039, 81.99019622802734, 61.96418762207031, 75.98361206054688, 93.9755859375, 68.01219177246094, 61.92689895629883, 53.991641998291016, 51.940277099609375, 89.98271942138672, 43.968746185302734, 36.99095153808594, 91.96709442138672, 31.01423454284668, 25.99463653564453, 20.964929580688477, 13.98090934753418, 36.93586349487305, 12.04835033416748, 3.9995830059051514, 2.0374155044555664, 49.99671173095703, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
2,[55],"[1, 3, 35, 17, 9, 37, 10, 49, 29, 30, 12, 13, 27, 38, 26, 28, 20, 6, 19, 0, 24, 31, 16, 41, 22, 53, 33, 21, 51, 11, 2, 7, 32, 23, 15, 18, 54, 34, 39, 43, 14, 42, 40, 58, 52, 56, 50, 44, 45, 8, 4, 46, 57, 36, 5, 59, 25, 47, 48]","[array([45], dtype=int64), array([98], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([90], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([5], dtype=int64), array([96], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([81], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([94], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([32], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[82.8077163696289, 51.159725189208984, 94.00411987304688, 69.99536895751953, 69.17655944824219, 75.9939193725586, 77.99938201904297, 78.9980697631836, 90.99838256835938, 58.001888275146484, 74.99222564697266, 57.99992370605469, 50.99851989746094, 48.98680877685547, 47.00157928466797, 43.00053024291992, 38.973812103271484, 74.00682067871094, 33.996429443359375, 73.99150848388672, 26.00040626525879, 24.00840187072754, 90.9975357055664, 90.99778747558594, 90.00617218017578, 94.00071716308594, 93.9876708984375, 87.99077606201172, 87.95894622802734, 74.01664733886719, 37.00346374511719, 16.81825065612793, 55.99880599975586, 12.066235542297363, 13.082998275756836, 86.99866485595703, 75.98229217529297, 68.00297546386719, 67.9260482788086, 53.965293884277344, 89.95165252685547, 43.99037551879883, 42.89934539794922, 36.9866943359375, 31.004030227661133, 25.987092971801758, 21.00834083557129, 20.995229721069336, 13.97918701171875, 93.89109802246094, 12.04835033416748, 3.9995830059051514, 2.0374155044555664, 49.99671173095703, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
3,[15],"[1, 9, 53, 29, 16, 20, 3, 17, 35, 37, 27, 26, 28, 22, 33, 38, 24, 51, 21, 49, 18, 19, 14, 0, 6, 30, 10, 12, 13, 31, 11, 7, 2, 39, 54, 34, 23, 43, 41, 32, 42, 40, 58, 52, 55, 56, 50, 44, 45, 8, 4, 46, 57, 36, 5, 59, 25, 47, 48]","[array([45], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([17], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([96], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([23], dtype=int64), array([4], dtype=int64), array([94], dtype=int64), array([10], dtype=int64), array([32], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[85.60543060302734, 53.993717193603516, 94.00015258789062, 90.99964904785156, 92.2104721069336, 92.00139617919922, 73.99970245361328, 69.99828338623047, 83.0007095336914, 94.00535583496094, 90.9996109008789, 62.99977111816406, 90.98991394042969, 90.00043487548828, 93.99752807617188, 94.97614288330078, 88.99960327148438, 87.99519348144531, 87.98445129394531, 87.00193786621094, 87.01720428466797, 86.00434112548828, 89.99913787841797, 85.98271179199219, 84.00537872314453, 58.021209716796875, 77.99946594238281, 74.98709869384766, 57.993534088134766, 24.00551414489746, 74.01647186279297, 16.971132278442383, 36.999725341796875, 61.99470138549805, 76.00128936767578, 68.00799560546875, 61.956138610839844, 53.990848541259766, 51.944278717041016, 91.95626831054688, 43.99836349487305, 42.925846099853516, 36.99079513549805, 31.006608963012695, 31.0050048828125, 25.987092971801758, 21.00834083557129, 20.995229721069336, 13.97918701171875, 93.89109802246094, 12.04835033416748, 3.9995830059051514, 2.0374155044555664, 49.99671173095703, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
4,[15],"[1, 9, 53, 29, 16, 20, 3, 17, 35, 37, 27, 26, 28, 22, 33, 38, 24, 51, 21, 49, 18, 19, 14, 0, 6, 30, 10, 12, 13, 31, 11, 7, 2, 39, 54, 34, 23, 43, 41, 32, 42, 40, 58, 52, 55, 56, 50, 44, 45, 8, 4, 46, 57, 36, 5, 59, 25, 47, 48]","[array([45], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([17], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([96], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([23], dtype=int64), array([4], dtype=int64), array([94], dtype=int64), array([10], dtype=int64), array([32], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[85.60543060302734, 53.993717193603516, 94.00015258789062, 90.99964904785156, 92.2104721069336, 92.00139617919922, 73.99970245361328, 69.99828338623047, 83.0007095336914, 94.00535583496094, 90.9996109008789, 62.99977111816406, 90.98991394042969, 90.00043487548828, 93.99752807617188, 94.97614288330078, 88.99960327148438, 87.99519348144531, 87.98445129394531, 87.00193786621094, 87.01720428466797, 86.00434112548828, 89.99913787841797, 85.98271179199219, 84.00537872314453, 58.021209716796875, 77.99946594238281, 74.98709869384766, 57.993534088134766, 24.00551414489746, 74.01647186279297, 16.971132278442383, 36.999725341796875, 61.99470138549805, 76.00128936767578, 68.00799560546875, 61.956138610839844, 53.990848541259766, 51.944278717041016, 91.95626831054688, 43.99836349487305, 42.925846099853516, 36.99079513549805, 31.006608963012695, 31.0050048828125, 25.987092971801758, 21.00834083557129, 20.995229721069336, 13.97918701171875, 93.89109802246094, 12.04835033416748, 3.9995830059051514, 2.0374155044555664, 49.99671173095703, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
5,[39],"[1, 14, 9, 37, 20, 53, 28, 27, 35, 22, 33, 10, 49, 30, 12, 13, 3, 38, 26, 29, 0, 19, 6, 24, 31, 2, 11, 32, 7, 23, 21, 15, 40, 18, 34, 16, 51, 17, 54, 41, 43, 42, 58, 52, 55, 56, 50, 44, 45, 8, 36, 46, 57, 4, 5, 59, 25, 47, 48]","[array([45], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([90], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([54], dtype=int64), array([81], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([96], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([99], dtype=int64), array([94], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([23], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([98], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([9], dtype=int64), array([53], dtype=int64), array([95], dtype=int64), array([10], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[84.1298599243164, 53.8945426940918, 28.99930763244629, 75.99146270751953, 92.00180053710938, 93.9991455078125, 90.99991607666016, 90.99527740478516, 90.00923919677734, 89.99996948242188, 93.99990844726562, 77.97679138183594, 78.99954986572266, 58.009483337402344, 74.9971694946289, 58.001312255859375, 54.99234390258789, 48.96134948730469, 47.01630401611328, 46.993473052978516, 73.9830551147461, 34.00446701049805, 74.0012435913086, 26.020463943481445, 24.023685455322266, 36.99959182739258, 73.9957046508789, 55.97802734375, 16.979217529296875, 12.03413200378418, 11.02782917022705, 12.996837615966797, 87.01557922363281, 6.160563945770264, 2.9948813915252686, 2.089625358581543, 87.95797729492188, 82.96925354003906, 75.96817779541016, 51.952728271484375, 53.95523452758789, 43.98309326171875, 36.99079513549805, 31.006608963012695, 31.0050048828125, 25.987092971801758, 21.00834083557129, 20.995229721069336, 13.97918701171875, 93.89109802246094, 50.00023651123047, 4.001662731170654, 2.064706563949585, 12.007719993591309, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
6,[50],"[1, 14, 9, 40, 29, 37, 35, 10, 49, 6, 30, 11, 3, 27, 38, 26, 28, 20, 0, 19, 8, 24, 31, 22, 13, 7, 51, 2, 18, 21, 17, 39, 15, 33, 23, 32, 53, 34, 16, 54, 41, 43, 42, 58, 55, 52, 56, 44, 45, 4, 12, 46, 57, 5, 36, 59, 25, 47, 48]","[array([45], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([53], dtype=int64), array([5], dtype=int64), array([90], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([98], dtype=int64), array([96], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([81], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([94], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([54], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([10], dtype=int64), array([59], dtype=int64), array([10], dtype=int64), array([13], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([36], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[87.63446044921875, 57.53715896606445, 28.999265670776367, 58.999385833740234, 71.00131225585938, 75.99343872070312, 42.005619049072266, 77.99977111816406, 79.0008773803711, 74.0007553100586, 58.00080490112305, 73.99893951416016, 55.000579833984375, 51.0068244934082, 48.992618560791016, 62.999820709228516, 42.997802734375, 38.98259353637695, 74.00798034667969, 34.000038146972656, 29.019575119018555, 26.023054122924805, 24.00245475769043, 23.99205780029297, 58.00215530395508, 17.00301742553711, 85.00556182861328, 36.99601364135742, 87.00403594970703, 88.00679016113281, 82.99789428710938, 61.98982620239258, 12.988985061645508, 93.98622131347656, 11.948333740234375, 56.078155517578125, 6.999874114990234, 3.00105619430542, 2.059951066970825, 75.98285675048828, 51.9823112487793, 53.94384765625, 43.91014099121094, 36.992610931396484, 31.00948715209961, 31.020126342773438, 25.99281120300293, 20.96175765991211, 13.983366012573242, 12.036370277404785, 77.00537872314453, 3.9995830059051514, 2.0374155044555664, 74.00189971923828, 49.97944641113281, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
7,[20],"[24, 22, 14, 29, 53, 37, 9, 27, 28, 33, 10, 49, 35, 30, 26, 21, 19, 16, 12, 0, 11, 1, 3, 2, 38, 51, 13, 50, 18, 6, 17, 31, 7, 39, 32, 23, 15, 54, 43, 41, 34, 42, 40, 58, 52, 55, 56, 44, 45, 8, 4, 46, 57, 36, 5, 59, 25, 47, 48]","[array([97], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([59], dtype=int64), array([90], dtype=int64), array([97], dtype=int64), array([81], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([7], dtype=int64), array([96], dtype=int64), array([9], dtype=int64), array([98], dtype=int64), array([94], dtype=int64), array([13], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([23], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([32], dtype=int64), array([9], dtype=int64), array([94], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[92.87629699707031, 88.64640045166016, 101.07365417480469, 71.00065612792969, 93.99964141845703, 93.98695373535156, 91.0001449584961, 90.99866485595703, 90.9987564086914, 93.99808502197266, 77.99748229980469, 78.99292755126953, 93.98674011230469, 98.99820709228516, 98.99554443359375, 99.0025405883789, 98.98765563964844, 97.99623107910156, 38.98207473754883, 80.95706939697266, 94.97084045410156, 94.9780044555664, 54.93544006347656, 5.998507976531982, 5.034048080444336, 87.98514556884766, 5.03633975982666, 3.999713897705078, 87.0289535522461, 84.01229095458984, 82.98703002929688, 23.999553680419922, 16.96062469482422, 62.01373291015625, 56.023681640625, 11.996978759765625, 13.004668235778809, 75.98828887939453, 53.98885726928711, 51.912654876708984, 67.99636840820312, 43.9893913269043, 42.90468215942383, 36.987770080566406, 31.0072021484375, 30.991846084594727, 25.986190795898438, 20.995229721069336, 13.97918701171875, 93.89109802246094, 12.04835033416748, 3.9995830059051514, 2.0374155044555664, 49.99671173095703, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
8,[14],"[42, 18, 53, 37, 40, 35, 39, 20, 28, 9, 27, 22, 33, 24, 10, 49, 30, 12, 13, 3, 38, 26, 6, 29, 0, 19, 2, 31, 11, 32, 50, 1, 7, 51, 23, 21, 15, 17, 34, 16, 54, 41, 43, 58, 52, 55, 56, 44, 45, 8, 36, 46, 57, 4, 5, 59, 25, 47, 48]","[array([2], dtype=int64), array([95], dtype=int64), array([59], dtype=int64), array([90], dtype=int64), array([53], dtype=int64), array([7], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([81], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([96], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([98], dtype=int64), array([5], dtype=int64), array([99], dtype=int64), array([94], dtype=int64), array([23], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([13], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[49.09260559082031, 39.96806716918945, 94.00025177001953, 94.00218963623047, 58.99803924560547, 42.00648880004883, 55.98820877075195, 92.00701904296875, 91.00089263916016, 90.99613189697266, 90.99849700927734, 90.00077056884766, 93.99776458740234, 88.99890899658203, 77.9958724975586, 79.00019836425781, 58.028114318847656, 74.99504089355469, 58.00161361694336, 54.99861145019531, 48.90171432495117, 47.013954162597656, 73.99849700927734, 46.98334884643555, 73.98945617675781, 33.991451263427734, 37.00408935546875, 23.988271713256836, 74.00341033935547, 56.000240325927734, 4.003696441650391, 47.0909538269043, 16.940040588378906, 87.95172882080078, 11.970345497131348, 11.679280281066895, 13.0008544921875, 82.96974182128906, 3.0080952644348145, 2.0767018795013428, 75.99710083007812, 51.91938018798828, 53.94886016845703, 36.987770080566406, 31.0072021484375, 30.991846084594727, 25.986190795898438, 20.995229721069336, 13.97918701171875, 93.89109802246094, 50.00023651123047, 4.001662731170654, 2.064706563949585, 12.007719993591309, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
9,[29],"[1, 42, 3, 17, 37, 40, 35, 10, 49, 9, 16, 12, 0, 11, 30, 14, 28, 2, 38, 13, 26, 50, 27, 55, 6, 32, 20, 41, 24, 22, 51, 21, 18, 19, 53, 31, 54, 33, 34, 39, 23, 43, 7, 15, 58, 52, 56, 44, 45, 8, 36, 46, 57, 4, 5, 59, 25, 47, 48]","[array([45], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([90], dtype=int64), array([53], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([97], dtype=int64), array([13], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([96], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([95], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([10], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([59], dtype=int64), array([4], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([32], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[84.77401733398438, 56.74011993408203, 73.99966430664062, 69.99600219726562, 75.99617004394531, 58.97992706298828, 42.01059341430664, 78.00053405761719, 78.99641418457031, 92.00105285644531, 90.00054931640625, 39.002479553222656, 80.98287200927734, 94.9935302734375, 12.993719100952148, 8.996527671813965, 6.993461608886719, 5.998817443847656, 5.005172252655029, 4.998981952667236, 3.9965736865997314, 3.9957451820373535, 2.0427212715148926, 1.9997297525405884, 0.05759430304169655, 15.010575294494629, 0.04011954739689827, 0.009494653902947903, 0.009165190160274506, 89.97681427001953, 87.9980697631836, 87.97018432617188, 87.00173950195312, 86.07811737060547, 93.99890899658203, 81.93515014648438, 76.00946807861328, 93.96742248535156, 68.01306915283203, 67.98100280761719, 61.90245056152344, 53.92300796508789, 89.99508666992188, 36.98847961425781, 36.99437713623047, 31.005128860473633, 25.986190795898438, 20.995229721069336, 13.97918701171875, 93.89109802246094, 50.00023651123047, 4.001662731170654, 2.064706563949585, 12.007719993591309, 73.96685791015625, -0.003947967663407326, 84.01729583740234, 5.047497272491455, 1.002684235572815]"
