random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 29, 35, 53, 26, 39, 37, 38, 41, 42, 9, 16, 10, 14, 6, 40, 11, 7, 32, 49, 0, 3, 52, 22, 34, 31, 19, 30, 21, 45, 2, 33, 18, 24, 23, 12, 8, 20, 36, 28, 27, 51, 56, 13, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 15, 59, 25, 47, 48]","[array([12], dtype=int64), array([79], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([20], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([88], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([88], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[86.43170166015625, 70.99482727050781, 82.99783325195312, 70.99913787841797, 63.000877380371094, 61.996646881103516, 62.99250411987305, 77.01798248291016, 54.01723861694336, 57.98207473754883, 92.00028991699219, 89.99897003173828, 87.99813842773438, 90.99788665771484, 93.03813171386719, 79.94530487060547, 90.00016021728516, 84.99744415283203, 66.99308776855469, 59.00668716430664, 56.99196243286133, 52.00192642211914, 51.0008430480957, 49.99642562866211, 48.013065338134766, 46.01435470581055, 45.02046585083008, 44.9989128112793, 43.00191879272461, 40.000789642333984, 39.00624084472656, 37.00541305541992, 37.00041580200195, 36.00105285644531, 35.97654342651367, 35.96514129638672, 85.0003890991211, 33.074790954589844, 96.97291564941406, 29.950271606445312, 29.209369659423828, 29.01978874206543, 26.99468994140625, 20.018409729003906, 13.029141426086426, 10.988910675048828, 10.005060195922852, 33.985713958740234, 8.969697952270508, 8.000226974487305, 5.997066497802734, 4.014082908630371, 3.996772050857544, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
1,[8],"[14, 3, 29, 9, 16, 35, 38, 39, 26, 37, 10, 40, 53, 41, 6, 11, 1, 7, 49, 0, 52, 22, 34, 31, 30, 19, 21, 45, 2, 33, 18, 12, 23, 24, 32, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 15, 59, 25, 47, 48]","[array([91], dtype=int64), array([22], dtype=int64), array([79], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([91], dtype=int64), array([81], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([80], dtype=int64), array([12], dtype=int64), array([91], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([88], dtype=int64), array([60], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[96.1427993774414, 93.19170379638672, 90.99966430664062, 92.00077819824219, 89.99537658691406, 88.99098205566406, 89.98745727539062, 86.99551391601562, 86.99403381347656, 84.99785614013672, 87.99496459960938, 80.0039291381836, 76.99481201171875, 69.99738311767578, 93.0133285522461, 90.00352478027344, 67.99847412109375, 84.99827575683594, 58.99977111816406, 56.99580383300781, 50.99921417236328, 49.996273040771484, 48.00310516357422, 46.00413131713867, 45.0072135925293, 44.988643646240234, 42.99830627441406, 39.99668502807617, 39.01458740234375, 37.005184173583984, 36.998321533203125, 35.9977912902832, 36.0014533996582, 35.993621826171875, 66.92302703857422, 33.094154357910156, 96.94709777832031, 32.0101432800293, 29.993825912475586, 29.12538719177246, 29.0498046875, 26.994003295898438, 20.012998580932617, 19.994396209716797, 13.029141426086426, 10.988910675048828, 10.005060195922852, 33.985713958740234, 8.969697952270508, 8.000226974487305, 5.997066497802734, 4.014082908630371, 3.996772050857544, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
2,[55],"[1, 24, 29, 35, 53, 26, 9, 16, 38, 10, 39, 14, 6, 37, 40, 41, 11, 7, 32, 49, 0, 3, 52, 22, 34, 31, 19, 30, 21, 45, 2, 18, 33, 12, 23, 8, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 43, 15, 59, 25, 47, 48]","[array([12], dtype=int64), array([88], dtype=int64), array([79], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([81], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([88], dtype=int64), array([77], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[82.8077163696289, 42.31744384765625, 70.99716186523438, 82.9906997680664, 70.99559783935547, 63.000667572021484, 92.00066375732422, 90.00029754638672, 89.99713897705078, 88.00141143798828, 86.98503112792969, 90.9972152709961, 92.98246002197266, 84.99734497070312, 79.9754638671875, 70.00194549560547, 90.0003662109375, 84.99852752685547, 66.9954833984375, 59.00408935546875, 56.98666763305664, 51.99746322631836, 51.00282287597656, 49.989559173583984, 48.003475189208984, 46.0113525390625, 45.006046295166016, 44.997562408447266, 43.00231170654297, 39.997257232666016, 38.98353576660156, 37.0074348449707, 37.004146575927734, 35.99874496459961, 35.98362350463867, 84.99591064453125, 33.0722541809082, 96.95792388916016, 32.00584411621094, 29.999622344970703, 29.069074630737305, 29.003156661987305, 26.99595832824707, 20.008323669433594, 19.991605758666992, 13.025257110595703, 10.990233421325684, 10.001384735107422, 33.97414016723633, 8.985068321228027, 8.007533073425293, 5.997865676879883, 4.006207466125488, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
3,[15],"[14, 9, 29, 16, 35, 10, 26, 39, 38, 37, 6, 40, 53, 41, 11, 1, 7, 32, 49, 0, 3, 52, 22, 34, 31, 30, 19, 21, 45, 2, 18, 33, 23, 24, 12, 8, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 59, 25, 47, 48]","[array([91], dtype=int64), array([90], dtype=int64), array([79], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([81], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([12], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([66], dtype=int64), array([88], dtype=int64), array([40], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[82.03697204589844, 82.41780090332031, 91.00035858154297, 90.00064086914062, 88.98530578613281, 88.00479888916016, 86.99629211425781, 86.99250030517578, 90.00555419921875, 85.00532531738281, 93.0008316040039, 79.95793914794922, 76.99951171875, 70.00171661376953, 90.0008773803711, 67.98981475830078, 84.99871063232422, 66.97688293457031, 58.99847412109375, 56.99280548095703, 51.99950408935547, 51.00309371948242, 49.9986457824707, 48.00348663330078, 46.01987838745117, 45.00117111206055, 44.99018859863281, 42.99583053588867, 39.9987678527832, 38.97941589355469, 37.003841400146484, 36.998104095458984, 35.99711608886719, 35.99164581298828, 35.97545623779297, 84.99313354492188, 33.08882522583008, 96.97286224365234, 31.998920440673828, 29.99510955810547, 29.039682388305664, 29.027259826660156, 26.99657440185547, 20.039661407470703, 19.993497848510742, 13.066374778747559, 10.995716094970703, 9.997773170471191, 34.014705657958984, 8.990373611450195, 8.008744239807129, 6.003752708435059, 4.012184143066406, 3.9884800910949707, 3.0707828998565674, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
4,[15],"[14, 9, 29, 16, 35, 10, 26, 39, 38, 37, 6, 40, 53, 41, 11, 1, 7, 32, 49, 0, 3, 52, 22, 34, 31, 30, 19, 21, 45, 2, 18, 33, 23, 24, 12, 8, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 59, 25, 47, 48]","[array([91], dtype=int64), array([90], dtype=int64), array([79], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([81], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([12], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([66], dtype=int64), array([88], dtype=int64), array([40], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[82.03697204589844, 82.41780090332031, 91.00035858154297, 90.00064086914062, 88.98530578613281, 88.00479888916016, 86.99629211425781, 86.99250030517578, 90.00555419921875, 85.00532531738281, 93.0008316040039, 79.95793914794922, 76.99951171875, 70.00171661376953, 90.0008773803711, 67.98981475830078, 84.99871063232422, 66.97688293457031, 58.99847412109375, 56.99280548095703, 51.99950408935547, 51.00309371948242, 49.9986457824707, 48.00348663330078, 46.01987838745117, 45.00117111206055, 44.99018859863281, 42.99583053588867, 39.9987678527832, 38.97941589355469, 37.003841400146484, 36.998104095458984, 35.99711608886719, 35.99164581298828, 35.97545623779297, 84.99313354492188, 33.08882522583008, 96.97286224365234, 31.998920440673828, 29.99510955810547, 29.039682388305664, 29.027259826660156, 26.99657440185547, 20.039661407470703, 19.993497848510742, 13.066374778747559, 10.995716094970703, 9.997773170471191, 34.014705657958984, 8.990373611450195, 8.008744239807129, 6.003752708435059, 4.012184143066406, 3.9884800910949707, 3.0707828998565674, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
5,[39],"[40, 9, 29, 3, 38, 16, 35, 10, 26, 14, 37, 6, 53, 41, 11, 1, 7, 32, 49, 0, 52, 22, 34, 31, 30, 19, 21, 45, 2, 18, 33, 24, 12, 23, 8, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 15, 59, 25, 47, 48]","[array([87], dtype=int64), array([90], dtype=int64), array([79], dtype=int64), array([22], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([81], dtype=int64), array([82], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([12], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([88], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[87.6619873046875, 92.17164611816406, 90.99690246582031, 73.99662780761719, 89.99801635742188, 89.99501037597656, 88.97911834716797, 87.99163055419922, 86.98928833007812, 90.98634338378906, 84.9990234375, 93.00617980957031, 77.00369262695312, 70.0050277709961, 90.00310516357422, 68.00310516357422, 84.98688507080078, 66.98883819580078, 59.00039291381836, 56.97129440307617, 50.99851989746094, 49.99091339111328, 48.00153350830078, 46.00257110595703, 45.03280258178711, 44.991939544677734, 42.9976692199707, 39.994911193847656, 39.0001335144043, 37.00325393676758, 36.99638748168945, 35.99565124511719, 35.99313735961914, 35.97813034057617, 84.98635864257812, 33.094154357910156, 96.94709777832031, 32.0101432800293, 29.993825912475586, 29.12538719177246, 29.0498046875, 26.994003295898438, 20.012998580932617, 19.994396209716797, 13.029141426086426, 10.988910675048828, 10.005060195922852, 33.985713958740234, 8.969697952270508, 8.000226974487305, 5.997066497802734, 4.014082908630371, 3.996772050857544, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
6,[50],"[1, 22, 29, 35, 9, 38, 16, 10, 26, 39, 37, 6, 11, 40, 7, 41, 8, 32, 14, 49, 0, 47, 52, 48, 36, 30, 19, 21, 45, 2, 18, 33, 12, 24, 23, 5, 20, 25, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 59, 57, 58, 4, 55, 43, 15, 34, 53, 31, 3]","[array([12], dtype=int64), array([72], dtype=int64), array([79], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([81], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([80], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([98], dtype=int64), array([60], dtype=int64), array([91], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([65], dtype=int64), array([44], dtype=int64), array([73], dtype=int64), array([85], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([40], dtype=int64), array([88], dtype=int64), array([66], dtype=int64), array([5], dtype=int64), array([89], dtype=int64), array([55], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([22], dtype=int64), array([22], dtype=int64)]","[85.5343017578125, 36.39781188964844, 70.9953384399414, 82.99901580810547, 92.00115966796875, 89.99918365478516, 89.99979400634766, 88.00016021728516, 87.00043487548828, 86.98582458496094, 85.00415802001953, 92.99775695800781, 89.99981689453125, 79.9791259765625, 84.9957275390625, 70.01338195800781, 85.00382232666016, 66.996826171875, 90.96771240234375, 59.000701904296875, 56.98118209838867, 61.00208282470703, 51.002479553222656, 68.005859375, 96.94351959228516, 45.0084114074707, 44.99946975708008, 43.00107955932617, 39.99834060668945, 38.98500442504883, 37.00633239746094, 37.00227355957031, 36.003238677978516, 35.997955322265625, 35.99006652832031, 33.98250961303711, 33.06403732299805, 33.000091552734375, 31.99961280822754, 30.006717681884766, 29.060911178588867, 29.01922607421875, 26.99724006652832, 20.016450881958008, 19.999345779418945, 13.037531852722168, 10.995548248291016, 10.000218391418457, 8.997614860534668, 8.995844841003418, 6.000439643859863, 4.006113529205322, 3.985212564468384, 3.0373144149780273, 2.032701253890991, 47.994388580322266, 77.06309509277344, 46.02031707763672, 51.99467849731445]"
7,[20],"[24, 29, 3, 28, 26, 22, 30, 51, 27, 18, 9, 19, 16, 35, 40, 38, 10, 39, 14, 6, 37, 53, 41, 11, 1, 54, 7, 32, 42, 49, 0, 52, 34, 31, 21, 45, 2, 33, 23, 12, 8, 36, 56, 13, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 15, 59, 25, 47, 48]","[array([88], dtype=int64), array([79], dtype=int64), array([22], dtype=int64), array([86], dtype=int64), array([82], dtype=int64), array([72], dtype=int64), array([77], dtype=int64), array([85], dtype=int64), array([84], dtype=int64), array([34], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([81], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([12], dtype=int64), array([58], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([20], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([44], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([73], dtype=int64), array([66], dtype=int64), array([40], dtype=int64), array([98], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[89.01829528808594, 71.00047302246094, 73.998779296875, 90.45905303955078, 86.98636627197266, 84.5638656616211, 80.28765869140625, 74.37036895751953, 86.85420227050781, 71.33560180664062, 75.23399353027344, 81.29962158203125, 83.918701171875, 90.11933135986328, 92.39216613769531, 90.01551818847656, 87.99693298339844, 86.97618103027344, 90.95674896240234, 93.02973937988281, 84.99642944335938, 76.99227142333984, 70.03033447265625, 89.98567962646484, 68.0111312866211, 60.006317138671875, 84.9822998046875, 66.9241943359375, 57.98976135253906, 58.98656463623047, 56.969329833984375, 51.001155853271484, 48.00107955932617, 46.0433349609375, 43.03334426879883, 39.99565124511719, 38.98167037963867, 37.00798797607422, 36.050994873046875, 35.970672607421875, 84.98870086669922, 96.92021179199219, 26.99468994140625, 20.018409729003906, 13.029141426086426, 10.988910675048828, 10.005060195922852, 33.985713958740234, 8.969697952270508, 8.000226974487305, 5.997066497802734, 4.014082908630371, 3.996772050857544, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
8,[14],"[11, 29, 3, 9, 35, 16, 39, 26, 10, 37, 38, 40, 53, 41, 6, 1, 7, 32, 49, 0, 52, 22, 34, 31, 30, 19, 21, 45, 2, 18, 33, 24, 12, 23, 8, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 15, 59, 25, 47, 48]","[array([80], dtype=int64), array([79], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([81], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([12], dtype=int64), array([91], dtype=int64), array([60], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([88], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[89.22349548339844, 91.00023651123047, 73.99898529052734, 92.00110626220703, 88.99897766113281, 89.99014282226562, 87.00057220458984, 86.99256134033203, 87.98793029785156, 85.00331115722656, 89.98443603515625, 80.00226593017578, 76.991455078125, 69.99828338623047, 93.00311279296875, 68.00310516357422, 84.98688507080078, 66.98883819580078, 59.00039291381836, 56.97129440307617, 50.99851989746094, 49.99091339111328, 48.00153350830078, 46.00257110595703, 45.03280258178711, 44.991939544677734, 42.9976692199707, 39.994911193847656, 39.0001335144043, 37.00325393676758, 36.99638748168945, 35.99565124511719, 35.99313735961914, 35.97813034057617, 84.98635864257812, 33.094154357910156, 96.94709777832031, 32.0101432800293, 29.993825912475586, 29.12538719177246, 29.0498046875, 26.994003295898438, 20.012998580932617, 19.994396209716797, 13.029141426086426, 10.988910675048828, 10.005060195922852, 33.985713958740234, 8.969697952270508, 8.000226974487305, 5.997066497802734, 4.014082908630371, 3.996772050857544, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
9,[29],"[1, 9, 16, 38, 35, 10, 26, 39, 14, 37, 6, 40, 53, 41, 11, 32, 7, 49, 0, 3, 52, 22, 34, 31, 30, 19, 21, 45, 2, 18, 33, 24, 12, 23, 8, 20, 36, 54, 28, 27, 51, 56, 13, 42, 17, 44, 46, 5, 57, 50, 58, 4, 55, 43, 15, 59, 25, 47, 48]","[array([12], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([81], dtype=int64), array([82], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([60], dtype=int64), array([91], dtype=int64), array([44], dtype=int64), array([45], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([72], dtype=int64), array([91], dtype=int64), array([22], dtype=int64), array([77], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([26], dtype=int64), array([8], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([88], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([98], dtype=int64), array([89], dtype=int64), array([85], dtype=int64), array([58], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([85], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([73], dtype=int64)]","[85.74014282226562, 92.00001525878906, 90.0, 90.00086975097656, 89.00650787353516, 87.99657440185547, 86.9975814819336, 86.98170471191406, 90.99970245361328, 84.99749755859375, 93.01314544677734, 80.00186920166016, 76.99816131591797, 70.00141143798828, 89.99860382080078, 66.97911071777344, 84.99923706054688, 58.99943923950195, 56.99825668334961, 51.998329162597656, 50.99851989746094, 49.99091339111328, 48.00153350830078, 46.00257110595703, 45.03280258178711, 44.991939544677734, 42.9976692199707, 39.994911193847656, 39.0001335144043, 37.00325393676758, 36.99638748168945, 35.99565124511719, 35.99313735961914, 35.97813034057617, 84.98635864257812, 33.094154357910156, 96.94709777832031, 32.0101432800293, 29.993825912475586, 29.12538719177246, 29.0498046875, 26.994003295898438, 20.012998580932617, 19.994396209716797, 13.029141426086426, 10.988910675048828, 10.005060195922852, 33.985713958740234, 8.969697952270508, 8.000226974487305, 5.997066497802734, 4.014082908630371, 3.996772050857544, 3.0926640033721924, 2.0218799114227295, 9.00048542022705, 33.00170135498047, 61.01581573486328, 67.88111877441406]"
